api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/1302224,Plies,100% Real Nigga,https://genius.com/Plies-100-real-nigga-lyrics,http://api.genius.com/songs/1302224,100% Real Nigga,2005-03-01," I was fortunate enough, dog, as a young nigga To see what a real nigga look like I was raised during the real era Where being a real nigga meant something, nigga   I'm committed to being a real nigga and nothing else 100% real nigga, nothing less I stand a real nigga till God take my last breath I do this shit for the few real niggas in the streets left I'm committed to being a real nigga and nothing else 100% real nigga, nothing less I stand a real nigga till God take my last breath I do this shit for the few real niggas in the streets left   I had a part time daddy, the streets made me a man If I had to do it all over, I'd let the streets raise me again The indictment showed me ain't no such thing as a real friend I had to learn that a good heart, that shit'll do you in Been fucked over by my homies, been fucked over by my kin I'll bet one motherfucking thing: it won't happen again A pussy nigga break, a real nigga don't bend Don't trust a nigga that don't smile no more than you trust a nigga that grin Don't know if Heaven is going to accept me, I got to many sins I hope God don't overlook me, I hope he understand Free all the real niggas in prison, give them one more chance Until that happen, I'ma be they motherfucking spokesman   Everything I claim to be, that's whats the streets tell me This music shit just make stars, but the streets make legends Not being real, but staying real, that's been my biggest blessing These niggas hate you when you got it, that's been my biggest lesson But ain't a hoe that can hurt me, ain't a nigga that can scare me I was born to be a real nigga, so I'ma die one 100% real nigga, real as they come Remember when being a real nigga used to mean something These niggas rather you lie to them, the truth they run from I'm a self made motherfucker, thanks, I owe none The niggas that had it all done lost it, that's who I learn from I'ma real nigga, 365, until I'm done   Being a real nigga, that's a fuck nigga's dream But that's a milestone that only a few niggas can obtain This shit ain't about money, this shit ain't about fame This shit a way life, it ain't about what you claim Only God can judge me, that's some bullshit You really felt like that, nigga? Why you trying to impress a bitch? The streets' opinion matter, that's why I'm on G shit My name is all I got, I'm willing to die for that shit I won't change for nothing, what you see is what you get A real nigga and a fuck nigga is something that don't mix I got my own cash, never been a ""yes man"" The few real niggas in the streets left, I'm your biggest fan  "
/songs/4642,Plies,100 Years,https://genius.com/Plies-100-years-lyrics,http://api.genius.com/songs/4642,The Real Testament,2007-08-07," My nigga e'erytime I think this shit gettin' rough out here For me my nigga... I just remind myself dog Monday through Friday homie... From 8 in the mornin' to 5 in the evenin' Dog... It's some niggas in the court room 'round the country My nigga... Fightin' for they muhfuckin' lives dog... The Crackers bannin' niggas e'eryday my nigga   My dog went to court today they gave him fifteen Cracker banned my lil' nigga he was se'enteen Young nigga don't even know what all that time mean Pussy ass crackers done shattered my nigga dreams They holl'in' mandatory they want him to do the whole thang Nigga showed up in court on my dog and did his thang Nigga did my nigga now I got to bust his brain Nigga woulda did me my dog'd do the same His lady callin' me cryin' and now I feel her pain Tired of losin' all my niggas to the chain gang In thirty minutes a nigga whole life can change Cracker over sinister niggas when this shit gon' change?   Pussy ass cracker give a nigga a hundred years Have ya mama leavin' out the courtroom in tears Crackers don't love to have a nigga breathin' for real Take a nigga life from him they don't know how it feel Pussy ass cracker give a nigga a hundred years Have ya mama leavin' out the courtroom in tears Crackers don't love to have a nigga breathin' for real Take a nigga life from him they don't know how it feel   Ain't talked to my dog yet but I know he sick Next fifteen years of his life behind a fence Cracker find a nigga guilty and hit him wit' the bench Gave one of my dogs twenty-seven on his first offense The time they givin' the nigga for the crime ain't makin' sense They jacked the number up now it's eighty-five percent They did that to make you fuck niggas out here snitch And put conspiracy in the game to railroad the click And crackers feel like niggas ain't got no common sense A nigga paper ain't right they banned him off the rip A public defender don't get you shit but a long trip And judge sentencin innocent niggas without a guilt   How in the fuck can fo' birds get you a life sentence? But give a cracker seven years for money launderin' millions Shoot a nigga in the leg they sentence you like you killed 'em Cracker catch you wit' that iron and put you under the buildin' You a nigga that mean you guilty 'til proven innocent Money talk and bullshit walk a thousand miles You ain't got a paid lawyer then don't go to trial Crackers owe each other favors, they'll swap ya out ""You give us him, we'll give you him"" know what I'm talkin' 'bout Nigga took thirty years on a cop out The fuck you get thirty years for breakin' in a bitch house? Crackers playin' a dirty game boy this shit wild  "
/songs/117347,Plies,1 Day,https://genius.com/Plies-1-day-lyrics,http://api.genius.com/songs/117347,Definition of Real,2008-06-10," Man I hope ya'll can excuse me for a lil minute man Just sittin here thinkin bout my lil partner who just got killed man Its wild dog how the motherfuckers you love the most Seem like they the ones who always die first homie Dog I just wish I had the oppurtunity to bring my nigga back for 1 day homie   Wish I could bring my nigga back for 1 day Take him by the daycare to see his son play And go to show him how his baby mama done went a stray And how the fuck niggas claimed they loved him walked away Wish I could bring my nigga back for 1 day Take him by the daycare to see his son play And go to show him how his baby mama done went a stray And how the fuck niggas claimed they loved him walked away   God give me my nigga for 24 hours So we can ride and laugh at these pussy ass cowards Hit the liquor store, park, and just talk for hours Show him half the niggas die when they lose they power Nigga forget about you dog after they give you them flowers Ol trifflin ass baby mama don got wilder Now she fuckin the nigga you robbed with da pink impala But like I told you before dog dat ho sour You can fuck these hoes dog well gon house em Bitch you ain't got shit dog, money arouse em After niggas dead and gone they lose their value Ho'll cry at yo funeral and change right after     You first died, niggas sat around yo mama all day But since your funeral them niggas ain't went that fuckin way Cause when you die yo dog suppose to step to da plate You ain't gotta worry , I got her,imma make sure she straight Make you question if the love was real or was it fake Out of sight,out of mind,guess its true what they say When you was here them was the main niggas in ya face Ain't got to deal wit dem fuck niggas, you in a better place I almost cried when I seen ya son da other day You couldn't deny dat one boy, look like you all da way I thought love was forever I guess dat ain't the case First you die,then they bury you,then niggas walk away     Im sittin right here homie, eyes full of tears Never thought that pain last these many yrs One thing I learned from all this shit,life real Rep yo name till I die homie dats how I feel Watched how everything changed since u got killed Two days after you died niggas broke in ya crib Niggas sayin yo lil cousin da one who stole yo wheels This shit probably shouldn't fuck wit me, but it really is You motherfuckaz showed me what shisty really is Whats gon happen after I die?? one of my biggest fears Seein what my partner don been through got me scared to live I pray to God my life dont end like his  "
/songs/62528,Plies,#1 Fan,https://genius.com/Plies-1-fan-lyrics,http://api.genius.com/songs/62528,Definition of Real,2008-06-10," It's Plies, baby (Plies, baby) Ay, next time you see somebody homie That's so bad that you can't resist them Walk up to them and tell them you they #1 fan   Hey I've been watchin' you all night (all night) Since the DJ play that one song, I decided I had to make you mine (all mine) I don't need no more convincing you got my attention (you got me baby) I'm your number one Your number one, I'm your number one fan Your number one, I'm your number one Your number one, I'm your number one fan See you got me going, baby I can't explain it Whatever you doin' is working, baby don't change it (Eh, Eh) I'm your number one I'm your number one, I'm your number one, fan   I like to salute you baby for recognizing swag You still a virgin if a goon ain't something you ever had Prefer mine out tha hood, but I respect class Glad you didn't let me scare you how my pants sag Guarantee off top, I'm better than your last Good girls I love 'em, I like to turn 'em bad One night I can make you forget all 'bout your past When it's over be able to teach your own class Opportunity of a life time, don't let it pass Longer we wait tha better, we ain't got to move fast For it's over my name gon' be on your car tag Tha feelin' you lookin' for, baby I can give you that   Hey, I've been watchin' you all night (all night) Since the DJ play that one song, I decided I had to make you mine (all mine) I don't need no more convincing you got my attention (you got me baby) I'm your number one, (Your number one) Your number one, (number one), I'm your number one fan (Ohhh Baby) Your number one, (Oooo), your number one, (I'm your number one) I'm your number one, (number one), your number one fan See you got me goin', baby I can't explain it Whatever you doin' is workin', baby don't change it (Eh) I'm your number one Your number one, your number one fan   Done seen a lot of things, done been all around the world But never once have I met somebody this bad girl I don't know if you a fan of mine, but I'm a fan of yours Cute face and a pretty smile and nice curves Couldn't even talk when I seen you, I was at a loss for words Been your number one fan, ever since I seen you girl Fell victim for you when I seen your body twirl Couldn't sit back and wait, had to get to you first Let you play in my bank account to see you splurge All I can think about since I seen you is his and hers You've been promised it all in a line you ain't heard I'm your number one fan, I mean every word  [Hook: J. Holiday + (*Keyshia Cole) + {Both}] Hey, I've been watchin' you all night (all night, heyyyy) (*Since the DJ play that one song, I've decided I had to make you mine, mine, all mine, m-mine baby) I don't need no more convincin' you got my attention (you got me baby) {I'm your number one} {Your number one, I'm your number one fan} {Your number one, I'm your number one} {Your number one, I'm your number one fan} {You got me goin', baby I can't explain it} {Whatever you doin' is workin', baby don't change it} {Eh, Eh I'm your number one} {I'm your number one, I'm your number one, fan {*echoes*}}"
/songs/1233164,Plies,1 Mo Time,https://genius.com/Plies-1-mo-time-lyrics,http://api.genius.com/songs/1233164,The Real Testament,2007-08-07,"(Chorus 2x) I know you caught me cheating And you tired of me lyin Imma be honest with you baby I know I crossed tha line If you dont wanna f**k with me no mo than cool it's fine But before you go baby Can we f**k one more time  (Verse 1) I know I f**ked up and sorry ain't What you wanna here but i can't change That shit dog it is what it is You can go f**k another nigga if thats how you feel If thats goin to make you feel better than gone do it hell you asked me about this lil petty Shit and i kept it real, know that shit probably hard for you to swallow still I ain't know how Bad i hurt you til' I seen ya tears I ain't asking you to accept how a nigga live, if you feel Like another nigga can treat you better, than it is what it is. but let the truth be told its Been my pussy for years. now you got all ya lil home girls up in ya ear just lets f**k one more Time before you dip  (Chorus 2x)  (Verse 2) I know its probably best for us to go our seperate ways, cause i know me imma f**k up again Anyway but in my muhf**kin heart a nigga want you to stay cause once you f**k up this shit can Never be straight im dead ass wrong thats why i ain't got shit to say bet you think a nigga didn't Give a f**k anyway i just had to f**k you good the other day and how that pussy was bitin i Didn't wanna scape you rode that dick so long until you started to shake and i can tell when you Would nut i can see it in ya face imma miss f**kin you from the back and how i grabbed ya waist But most of all imma miss how that pussy taste  (Chorus 2x)  (Verse 3) It ain't another nigga who's going to f**k you like I Do you can talk that shit all you want But bae you know its true I know i f**ked up i said im sorry now its on you. you can play Stupid and give me away if you want too. if you say f**k it its over then i guess we through i Know if i caught you cheating ill probably cut you loose dont get it f**ked up i ain't tryin to Tell you what to do. whatever decision you make i gotta live with it but whatever your answer Is just make sure you can deal with it but if we do break up imma keep tryin to get it this Shit we going through right now is real silly gone cuss me out and lets f**k and gone kill it  (Chorus 2x)"
/songs/587839,Plies,2 Good 4 Me,https://genius.com/Plies-2-good-4-me-lyrics,http://api.genius.com/songs/587839,Da Last Real Nigga Left 2,2014-11-13," I don’t know if I’m the only one that’s ever been trough something like this know what I’m sayin’ But you ever had you a mother fucker that was so good to you man Mother fucker that was 10 toes down for you love you till death do anything for you But you knew you was’t giving them the same thing in return When you look back at that shit you feel like damn man I ain’t even deserve this mother fucker for real man Like that mother fucker for real man just was like too good for me man   You was too good for me So I’m apologize to you from me ‘Cause you was too good for me And only thing that I can tell you Is I’m apologize to you from me ‘Cause you was too good for me So I’m apologize to you from me And only thing that I can tell you Is I’m apologize to you from me   You wanted to settle down, I wanted to party You wanted to spend time, I was too busy ballin’ You wanted the movies, I wanted the streets All I wanted was money, all you wanted was me You was looking for love, I was looking for licks You really care ‘bout a nigga, I was so full of shit I was moving too fast, the streets was soaking me up I neglected you and all and damn that was fucked up But I was thinking about ya, I guess that wasn’t enough You was holding me down, but I wasn’t holding you up You kept that pussy on ice, you kept it waiting for me And you would drive cross town to make sure that I eat You wasn’t like these lil hoes, you was a good girl for real You ain’t want shit from me, you just had love for the kid I had love for you too, I just ain’t showed you I did I guess that’s why I fucked up at it and thats why I said     You was wifey material, I just took you for granted You just wanted the simple shit, and I couldn’t even handle it All the nights that you called me, You was laying in the bed You just wanted to see me, I went with my niggas instead The same time you was calling baby, so was the bread And I don’t know if you understand, without the paper your dead I was just grinding I promise, I’m gon get right back But if you did it to me, I wasn’t going for that They say undo to others, you wanna undo to you But one thing ‘bout a street nigga, we don’t play by the rules I just thought ‘cause you loved me, that you would forever understand But like my momma always told me, that’s just an excuse for a man I don’t know if she right, and I don’t know if she wrong But one thing I do know, you damn sure miss when it’s gone And I don’t know if you ain’t, or if you listening baby It ain’t have shit to do with you, it was all on me  "
/songs/2053384,Plies,2 good me,https://genius.com/Plies-2-good-me-lyrics,http://api.genius.com/songs/2053384,None,2019-04-02," I don’t know if I’m the only one that’s ever been trough something like this know what I’m sayin’ But you ever had you a mother fucker that was so good to you man Mother fucker that was 10 toes down for you love you till death do anything for you But you knew you was’t giving them the same thing in return When you look back at that shit you feel like damn man I ain’t even deserve this mother fucker for real man Like that mother fucker for real man just was like too good for me man   You was too good for me So I’m apologize to you from me ‘Cause you was too good for me And only thing that I can tell you Is I’m apologize to you from me ‘Cause you was too good for me So I’m apologize to you from me And only thing that I can tell you Is I’m apologize to you from me   You wanted to settle down, I wanted to party You wanted to spend time, I was to busy ballin’ You wanted the movies, I wanted the streets All I wanted was money, all you wanted was me You was looking for love, I was looking for licks You really care ‘bout a nigga, I was so full of shit I was moving too fast, the streets was soaking me up I neglected you and all and damn that was fucked up But I was thinking about ya, I guess that wasn’t enough You was holding me down, but I wasn’t holding you up You kept that pussy on ice, you kept it waiting for me And you would drive cross town to make sure that I eat You wasn’t like these lil hoes, you was a good girl for real You ain’t want shit from me, you just had love for the kid I had love for you too, I just ain’t showed you I did I guess that’s why I fucked up at it and thats why I said   You was too good for me So I’m apologize to you from me ‘Cause you was too good for me And only thing that I can tell you Is I’m apologize to you from me ‘Cause you was too good for me So I’m apologize to you from me And only thing that I can tell you Is I’m apologize to you from me   You was wild materialized, I just took you for granted You just wanted the simple shit, and I couldn’t even handle it All the nights that you called me, You was laying in the bed You just wanted to see me, I went with my niggas instead The same time you was calling baby, so was the bread And I don’t know if you understand, without the paper your dead I was just grinding I promise, I’m gon get right back But if you did it to me, I wasn’t going for that They say undo to others, you wanna undo to you But one thing ‘bout a street nigga, we don’t play by the rules I just thought ‘cause you loved me, that you would forever understand But like my momma always told me, that’s just an excuse for a man I don’t know if she right, and I don’t know if she wrong But one thing I do know, you damn sure miss when it’s gone And I don’t know if you ain’t, or if you listening baby It ain’t have shit to do with you, it was all on me   You was too good for me So I’m apologize to you from me ‘Cause you was too good for me And only thing that I can tell you Is I’m apologize to you from me ‘Cause you was too good for me So I’m apologize to you from me And only thing that I can tell you Is I’m apologize to you from me"
/songs/37326,Plies,2nd Chance,https://genius.com/Plies-2nd-chance-lyrics,http://api.genius.com/songs/37326,Da REAList,2008-12-16," I went to see my nigga, he doin seventeen One of the realest niggas, I done ever seen Got caught with a bird, but his record was clean Comin back from Dade, on the Gator with speed He a real soldier, but his partner was green Get out when he 40, went in at 23 How seventeen years worth one key(kilo) Some shit cost twenty grand can get you over ten piece He ain't wanna hurt nobody, he was just tryin to eat He had a real job, went to work fo' days a week Said this his last trip, and he was gettin out the streets He a good nigga, second chance all he need   Some niggas make mistakes, off fucked up circumstance Now they life gone, probably gon' die in the pen They done gave up on life, done put it in God's hands I thought this was America, what happened to a second chance?   Wish I had one chance, to sentence the Judge kids And watch 'em beg fo' they life like my niggas did Give them a life sentence, fo' some shit that wasn't big 'Fore they get granted they appeal they gotta do ten Shoe got to be on the other foot for you to understand The scariest shit in the world to be a black man What my future holds, wish I knew in advance I 'proach life everyday just hopin I win A lot us already lost, we sittin in the pen This shit crazy cause God, he forgive sin But when it come to the system that shit don't bend I guess it do, dependin on the color of yo' skin   I thought it was understood, nobody was perfect So how can one mistake, make yo' life worthless? God made us all, put us here to serve a purpose Yo' life in twelve strangers hands to come back with a verdict But is that really fair? What if they all was dirty? You mess up one time, and they come back with thirty But if you ain't got money, yo' whole family hurtin Then you ain't got a choice, you gotta cop out early But if you was rich, you wouldn'ta got them thirty What if the Judge racist? Nobody to overturn it This system fucked up, because it ain't sturdy Welcome to America, home of the controversy  "
/songs/4197943,Plies,36 Ounces,https://genius.com/Plies-36-ounces-lyrics,http://api.genius.com/songs/4197943,36 Ounces (A Whole Brick),None," Uh oh, uh oh Ay, I don't know the niggas who invented the dope game But from me to you, Plies wanna tell you thank you for the dope game Y'all gave street niggas a way of hope 36 ounces of yola, nigga That's a whole brick And 'fore you lose that whole ounce, nigga, splash some cold water in that motherfucker   Nigga, I'm out here, I'm trying to get these 36's 'Cause I can ball how I want to and I get them 36's And y'all niggas don't wanna see me with them 36's But y'all niggas gon' know that I get them 36's That 36 ounces, nigga, that's a whole brick And I'm one flip away from getting a 36 And I'ma either go Fed or I'm gon' be rich A motherfucker better not me get them 36's   Ain't graduate from college, that's the White American dream But for a nigga in the hood, it's 36 of them things And in the hood, hitting the lottery would make your life change But a key of cocaine the next best thing Nigga, I'm trying to get rich and stay out of these crackers' face And in the process, keep you fuck niggas out my face Thought when my money wasn't right, nigga, I stayed in my place And I do need the same pussy niggas to stay out my face Up in the hood with 20 G's, you a motherfucker I ain't got to be getting ten birds to be a motherfucker If I'm with 20 G's, you would never know, motherfucker I know a quarter birds [?] But with a key, I can live off the cheddar I know you pussy niggas don't wanna see me get money When I get them 36's, I'ma show you some real stunting And I'ma show you pussies what to do with this dope money   Nigga, I'm out here, I'm trying to get these 36's 'Cause I can ball how I want to and I get them 36's And y'all niggas don't wanna see me with them 36's But y'all niggas gon' know that I get them 36's That 36 ounces, nigga, that's a whole brick And I'm one flip away from getting a 36 And I'ma either go Fed or I'm gon' be rich A motherfucker better not me get them 36's   I'm trying to stack mine 'cause stunting get the Feds' attention And I ain't gotta go to prison first before I start listening I got in the game for the money, y'all can have the bitches 'Cause a bitch ain't gon' send me nothing when I start [?] I understand there's a lot of bullshit that money bring And motherfuckers quick to tell you money ain't everything Them be the main motherfuckers who ain't got a thing 'Cause money ain't everything, nigga, it's the only thing But I've done been broke before and that's a fucked up feeling And I refuse to go broke again long as I'm living So if that means I'm throwing rocks at the penitentiary If I'ma be out here broke, I'd rather be in the penitentiary   Nigga, I'm out here, I'm trying to get these 36's 'Cause I can ball how I want to and I get them 36's And y'all niggas don't wanna see me with them 36's But y'all niggas gon' know that I get them 36's That 36 ounces, nigga, that's a whole brick And I'm one flip away from getting a 36 And I'ma either go Fed or I'm gon' be rich A motherfucker better not me get them 36's   Religion and dope the only hope the hood got And the Bible is something that I don't really know about So I'ma speak through what I know and that's grinding it out And long as reefer and [?] And I ain't got too many options, so I'ma just stick to hustling This shit crazy right now, I can't afford a loss And everybody around here jacking up the cost Only thing that I'm finna do is [?] But somebody else got to get it 'cause I can't eat the loss I'm online right now, I can't get shut off I got to have mine, young nigga, at all costs And I got to have mine, young nigga, at all costs   Nigga, I'm out here, I'm trying to get these 36's 'Cause I can ball how I want to and I get them 36's And y'all niggas don't wanna see me with them 36's But y'all niggas gon' know that I get them 36's That 36 ounces, nigga, that's a whole brick And I'm one flip away from getting a 36 And I'ma either go Fed or I'm gon' be rich A motherfucker better not me get them 36's   Ay, all them niggas out there getting money, man Can y'all do me a favor and watch it out there, man? Ay, if you got a spot, my nigga If them niggas ain't got no twerk, cuz Don't have them niggas around your spot, dog Only thing dog done doing is getting your spot hotter, man You ain't got no twerk, dog Stay off the block, you feel me? 36 ounces, nigga 36, 36, 36, 36"
/songs/2995198,Plies,50 Grand Short,https://genius.com/Plies-50-grand-short-lyrics,http://api.genius.com/songs/2995198,100% Real Nigga,2005-03-01," I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught   And all the niggas I looked up to done gone Fed And all the niggas I admired had picked bread And I was taught that a real nigga don't beg And these streets were never designed for the scared The niggas who got real paper, they done took a chance So if you're on your dick, you better not show your hand Nigga told me I can't sell dope forever I told that nigga I don't wanna hear shit from a broke nigga 'Cause in these streets, if you're broke, you're in the way, nigga Fuck what you heard, I'm trying to get rich in a today, nigga So don't talk to me about it if it don't pay, nigga Money excite me, not hoes, okay, nigga? And how I feel, if you're broke, you deserve to be 'Cause it's too many ways out here to get cheese And ain't nothing come to a nigga that's sleep but a dream And I ain't sleeping, you can put that on everything   I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught   Wanna thank you fuck niggas 'cause y'all make me hustle harder That's how the game go: broke today and rich tomorrow I'm a go-getter, nigga, hustling ain't one of my problems All the losses I done took, fuck it, I'll charge them All that mean is the next nigga, I gotta starve them I'ma get mine, dog, if that mean I gotta rob them If money one of your issues, nigga, you better solve them I'ma keep chasing this street money, I got a goldenmine I get mine out the streets, I got blood on mine They say the dope game, nigga, come prepared time You might be right, nigga, but I live for right now Forgive me, dog, fuck that, I gotta get mine   I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught I wanna buy me a Benz, but I'm fifty grand short Now I got to get this cheese without the boy getting caught"
