api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2845669,Queen,13,https://genius.com/Queen-13-lyrics,http://api.genius.com/songs/2845669,Made in Heaven,1995-11-06,  Are you running? (are you running?) (are you running?) Are you running? (are you running?) (are you running?)  Are you running? (are you running?) (are you running?)  Ha ha ha H'huu h'huu  Fab!
/songs/308923,Queen,'39,https://genius.com/Queen-39-lyrics,http://api.genius.com/songs/308923,A Night at the Opera,1975-11-21," In the year of '39 assembled here the Volunteers In the days when lands were few Here the ship sailed out into the blue and sunny morn Sweetest sight ever seen And the night followed day and the story tellers say That the score brave souls inside For many a lonely day sailed across the milky seas Ne'er looked back, never feared, never cried   Don't you hear my call though you're many years away? Don't you hear me calling you? Write your letters in the sand for the day I take your hand In the land that our grandchildren knew   In the year of '39 came a ship in from the blue The volunteers came home that day And they bring good news of a world so newly born Though their hearts so heavily weigh For the Earth is old and grey, little darlin', wellaway But my love, this cannot be For so many years are gone though I'm older but a year Your mother's eyes from your eyes cry to me   Don't you hear my call though you're many years away? Don't you hear me calling you? Write your letters in the sand for the day I take your hand In the land that our grandchildren knew   Don't you hear my call though you're many years away? Don't you hear me calling you? All your letters in the sand cannot heal me like your hand For my life, still ahead, pity me"
/songs/309869,Queen,Action This Day,https://genius.com/Queen-action-this-day-lyrics,http://api.genius.com/songs/309869,Hot Space ,1982-05-21," Action   This street honey is a mean street Living in this street honey needs a mean streak We've got criminals living in this street   But there's a heartbeat pulse that keeps on pumping Like a jukebox playing the same dead record Or a radio in the corner keeps blaring I gotta feeling, this world is using me   This town honey is a dead town Living in this town honey is a let-down Coming to this town honey is a showdown   But there's a heartbeat pulse that keeps on pumping Some sunshine ray through a crack in a shutter Or a sight of a light at the end of a tunnel Still, there's a feeling, this world is using me   Action this day Action this night Oh, we've gotta learn to learn to live to love You can't say it ain't right Action this day Action this night Oh, you've got the power, you've got the power You've got the power to love and to live You can't say it ain't right   Your mind honey is a bleak place Living in your mind's living in a blank space Your mind is coming from a rat race   But there's a heartbeat pulse that keeps on pumping Like a jukebox playing the same dead record Or a radio in the corner keeps blaring I gotta feeling that just won't quit, this world is using me   Action this day, yeah Action this night Ooh, we've got to learn to learn to live You can't say it ain't right Action this day, yeah Action this night You've got the power, you've got the power You've got the power to love and to live You can't say it ain't right   Action (hey) (Hey hey hey) Action this day Action this day (this day, yeah) Action this day Action this day Action this day"
/songs/311614,Queen,A Human Body,https://genius.com/Queen-a-human-body-lyrics,http://api.genius.com/songs/311614,None,1980-05-30, They were talking in whispers In bear skins and fur Captain Scott and his heroes to be To have laboured so long To have made it this far Ooh it's been such a long ride Ooh you know it's been a long way For a human human human For a human body you see Can you believe it happens? Now it happens here Do you believe do you believe or really care Can you believe it happens? Now it happens here To a human human With a human body you see There ain't nobody gets out of this moonlight Today is surprisingly fair Oh oh oh oh woo woo We've got problems the Lone Ranger can't fix The invisible man couldn't see It takes a tough guy To learn some new tricks Ooh it takes such a long time Ooh it's been such a long way For a human human human For a human body you see Can you believe it happens? Now it happens here Do you believe do you believe or really care Can you believe it happens? Now it happens here To a human human With a human body you see   You know it's been such a long while It's been such a long while Takes such a long time It takes such a long time It's been such a long way Been such a long way It's been such a long while Been such a long while Yeah yeah yeah yeah yeah yeah! It's going tobe a long ride
/songs/309616,Queen,A Kind of Magic,https://genius.com/Queen-a-kind-of-magic-lyrics,http://api.genius.com/songs/309616,A Kind of Magic,1986-03-17," It's a kind of magic It's a kind of magic A kind of magic, no way   One dream, one soul, one prize, one goal One golden glance of what should be It's a kind of magic  One shaft of light that shows the way No mortal man can win this day It's a kind of magic  The bell that rings inside your mind Is challenging the doors of time It's a kind of magic   The waiting seems eternity The day will dawn of sanity Ooh, ooh, ooh, ooh   Is this a kind of magic? It's a kind of magic There can be only one This rage that lasts a thousand years Will soon be done   This flame that burns inside of me I'm hearing secret harmonies It's a kind of magic The bell that rings inside your mind Is challenging the doors of time It's a kind of magic It's a kind of magic   This rage that lasts a thousand years Will soon be, will soon be, will soon be done This is (This is) a kind (A kind) of magic There can be only one, one, one, one This rage that lasts a thousand years Will soon be done, done   Magic, it's a kind of magic It's a kind of magic Magic, magic, magic, magic Magic, ha-ha-ha-ha, it's magic Ha-ha Yeah, yeah Whoo It's a kind of magic"
/songs/309003,Queen,"All Dead, All Dead",https://genius.com/Queen-all-dead-all-dead-lyrics,http://api.genius.com/songs/309003,News of the World,1977-10-28," She came without a farthing A babe without a name So much ado 'bout nothing Is what she'd try to say So much ado my lover So many games we played Through every fleeted summer Through every precious day   All dead, all dead All the dreams we had And I wonder why I still live on All dead, all dead And alone I'm spared My sweeter half instead All dead and gone All dead   All dead, all dead At the rainbow's end And still I hear her own sweet song All dead, all dead Take me back again You know my little friend's all dead and gone   Her ways are always with me I wander all the while But please you must forgive me I am old but still a child   All dead, all dead But I should not grieve In time it comes to everyone All dead, all dead But in hope I breathe Of course I don't believe you're dead and gone   All dead and gone"
/songs/310117,Queen,All God's People,https://genius.com/Queen-all-gods-people-lyrics,http://api.genius.com/songs/310117,Innuendo,1991-02-05," So all you people give freely Make welcome inside your homes Thank God you people give freely Don't turn your back on the lesson of the Lord All prime ministers (yeah) and majesty around the world Open your eyes, look, touch and feel Rule with your heart (rule with your heart ) Live with your conscience (live with your conscience) Love, love Love, love and be free We're all God's people (we're all God's people)   Gotta face up, better grow up Gotta stand tall and be strong Gotta face up, better grow up Gotta face up, better grow up Gotta stand tall and be strong Gotta face up, better grow up We're all God's people (gotta face up, better grow up) (Gotta face up, better grow up) Yeah   Yes - yeah Yes, there was this magic light I said to myself I'd better go to bed and have an early night Then I, then I, then I, then I went into a dream Rule with your heart and live with your conscience   We're all God's people give freely (yeah) Make welcome inside your homes Let us be thankful, He's so incredible   We're all God's people We're all God's people We're all God's people We're all God's people"
/songs/1184464,Queen,A New Life Is Born,https://genius.com/Queen-a-new-life-is-born-lyrics,http://api.genius.com/songs/1184464,Unreleased Songs,None,"When love breaks up When the dawn lights wakes up A new life is born There's no waters blowing down There's no rain (ad-libbed) to the sea Get lonely Dee-dee-dee Dah, day, dah Dee-dee-dee, by the sea There's muddy waters In my hands Across the (ad-libbed) Dah, dah, dah"
/songs/75243,Queen,Another One Bites the Dust,https://genius.com/Queen-another-one-bites-the-dust-lyrics,http://api.genius.com/songs/75243,The Game,1980-06-30," Ooh, let's go!   Steve walks warily down the street With the brim pulled way down low Ain't no sound but the sound of his feet Machine guns ready to go Are you ready? Hey, are you ready for this? Are you hanging on the edge of your seat? Out of the doorway the bullets rip To the sound of the beat, yeah   Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust, yeah Hey, I'm gonna get you too Another one bites the dust   How do you think I'm going to get along Without you, when you're gone You took me for everything that I had And kicked me out on my own Are you happy, are you satisfied? How long can you stand the heat? Out of the doorway the bullets rip To the sound of the beat Look out   Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust Hey, I'm gonna get you, too Another one bites the dust    Hey Oh, take it Bite the dust, hey Another one bites the dust Another one bites the dust, ow Another one bites the dust, hey hey Another one bites the dust, hey-eh-eh Ooh   There are plenty of ways you can hurt a man And bring him to the ground You can beat him, you can cheat him, you can treat him bad And leave him when he's down, yeah But I'm ready, yes I'm ready for you I'm standing on my own two feet Out of the doorway the bullets rip Repeating the sound of the beat Oh yeah   Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust, yeah Hey, I'm gonna get you, too Another one bites the dust    Shoot out Ay-yeah Alright"
/songs/4006450,Queen,Another One Bites the Dust (2011 Remaster),https://genius.com/Queen-another-one-bites-the-dust-2011-remaster-lyrics,http://api.genius.com/songs/4006450,Bohemian Rhapsody (The Original Soundtrack),2018-10-19," Ooh, let's go!   Steve walks warily down the street With the brim pulled way down low Ain’t no sound but the sound of his feet Machine guns ready to go Are you ready? Hey, are you ready for this? Are you hanging on the edge of your seat? Out of the doorway the bullets rip To the sound of the beat, yeah   Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust, yeah Hey, I'm gonna get you too Another one bites the dust   How do you think I'm going to get along Without you, when you’re gone You took me for everything that I had And kicked me out on my own Are you happy, are you satisfied? How long can you stand the heat? Out of the doorway the bullets rip To the sound of the beat Look out   Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust Hey, I'm gonna get you, too Another one bites the dust    Hey Oh, take it Bite the dust, hey Bites the dust, hey Another one bites the dust Another one bites the dust, ow Another one bites the dust, hey hey Another one bites the dust, hey-eh-eh Ooh, shootout   There are plenty of ways you can hurt a man And bring him to the ground You can beat him, you can cheat him, you can treat him bad And leave him when he's down, yeah But I'm ready, yes I'm ready for you I'm standing on my own two feet Out of the doorway the bullets rip Repeating to the sound of the beat Oh yeah   Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust, yeah Hey, I'm gonna get you, too Another one bites the dust    Shootout Ay-yeah Alright"
