api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2104216,Randy Houser,Absolutely Nothing,https://genius.com/Randy-houser-absolutely-nothing-lyrics,http://api.genius.com/songs/2104216,How Country Feels,2013-01-01," I backed my Chevrolet out the driveway straight to the station Filled it up with gas, grabbed a bag of ice, a Mountain Dew and a Slim Jim Oh, and a couple of ice cold beers too And I swung a little gravel rock burning out that parking lot Found a long dirt road and the perfect river spot And broke out them beach chairs And we sat down right there and I pulled out my guitar And started strumming on it   I wrote a song 'bout absolutely nothing With my toes tapping in the sand She sang along, just me and my baby humming Nothing, nothing like just doing Absolutely nothing (whoo hoo hoo) Absolutely nothing (whoo hoo hoo)   Well she was skipping rocks, grabbed my seat And I was popping tops and I popped a string Yeah man that sun must've been a hundred degrees Oh but we had a cold river at our feet And every now and then a cool, cool breeze We were blowing smoke with our eyes closed Neither one of us was saying a word Nah, we weren't saying a word, we were just a-touching toes every now and then And she gave me a smile It was beer-thirty all day long, all day long   And I wrote a song 'bout absolutely nothing With my toes tapping in the sand She sang along, just me and my baby humming Nothing, nothing like just doing Absolutely nothing (whoo hoo hoo) Absolutely nothing (whoo hoo hoo)   I wrote a song 'bout absolutely nothing Singin' nah nah nah nah nah nah She sang along, just me and my baby humming Nothing, nothing like just doing Absolutely nothing (whoo hoo hoo) Absolutely nothing (whoo hoo hoo) Absolutely nothing (whoo hoo hoo) Absolutely (whoo hoo hoo) nothing"
/songs/1778847,Randy Houser,Addicted,https://genius.com/Randy-houser-addicted-lyrics,http://api.genius.com/songs/1778847,They Call Me Cadillac,None," Your love is a drug That I just can't get off of my shoulders There's never enough And I am the junkie that it's taken over I've never tasted something so pure You're either the death or the cure   Cause I'm aching, I'm sweating This lonely ain't helping If only you'd stay for the night Been hooked on that feeling That high that you're dealing Just look what you've done to my life I found what was missing And I can't resist it Oh, baby, I'm addicted   Just like alcohol Cigarettes and cocaine You start at my heart And you run through my veins And I'm constantly craving I'm chancing and chasing   Your love is a drug That I just can't get Off of my shoulders"
/songs/2131607,Randy Houser,Along For the Ride,https://genius.com/Randy-houser-along-for-the-ride-lyrics,http://api.genius.com/songs/2131607,How Country Feels,2014-05-19," If you were to give me a crystal ball and tell me I had one glance to see my future One chance to see it all I'd pick it up and throw it down and tell I'm not here forever I'm here for here and now and   I'm just along for the ride I'm just here for the good times That's the greatest thing about This crazy life, we're All just along for the ride   If I could see the world from God's view I probably wouldn't want to See what it is coming to And I never wanna know the day I die Or what Heaven really looks like It'd just spoil the big surprise   'Cause it's all gonna fall right in the line Everything's gonna happen in it's own sweet time So why do we worry, try To ask ourselves why We're all just along for the ride   That's the greatest thing about This crazy life, we're All just along for the ride We're all just along for the ride"
/songs/1778849,Randy Houser,A Man Like Me,https://genius.com/Randy-houser-a-man-like-me-lyrics,http://api.genius.com/songs/1778849,They Call Me Cadillac,None," Well I don’t do things like I used to Well I don’t stay gone like I used to Well I don’t drop the ball, let everything go wrong No I don’t do things like I used to And I can’t believe the way you love me Well I don’t deserve the way you love me Well I've caused so many tears, honey why are you still here Well I can’t believe the way you love me   Well I wake up every morning Glad another day is dawning And I start my day with a kiss and a cup of coffee Man I sure don’t want to leave As soon as I’m gone I want to get back home And love you all night long Honey, once you fall asleep I’m going to hit my hands and knees Yea and thank God he made a woman Love a man like me   Well I’d do anything, girl to keep you Forever in these arms I’m going to hold you Well I've come to understand, just how lucky I am Well words just can’t explain how much I need you     Thank God he made a woman Love a man like me"
/songs/1007273,Randy Houser,Anything Goes,https://genius.com/Randy-houser-anything-goes-lyrics,http://api.genius.com/songs/1007273,Anything Goes,2008-06-02," Normally this time of night, you wouldn't find me here I'd be reaching for a good night kiss instead of one more beer I'd never take a second look at the blond across the bar Much less invite her over and let things go this far   But anything goes, when everything's gone You ain't around to give a damn whether I do right or wrong So bring it on, anything goes, when everything's gone   Another morning after, a crazy night before I'm searching for my blue jeans on the stranger's bedroom floor Shouldn't I feel guilty? Well I don't feel a thing I'd wake her up and say good bye but I can't recall her name Anything goes, when everything's gone You ain't around to give a damn whether I do right or wrong So bring it on, anything goes, when everything's gone If you'd a left a single thread for me to hold on to I'd have one good reason not to do the things I do   But anything goes, when everything's gone You ain't around to give a damn whether I do right or wrong So bring it on, anything goes, when everything's gone"
/songs/2889657,Randy Houser,Back,https://genius.com/Randy-houser-back-lyrics,http://api.genius.com/songs/2889657,Fired Up,2016-03-11," Starin' my life through a rolled down window Reminiscin' those main streets nights with the radio loud Just I like I did when I was a kid I was cool as hell, bad to the bone, I knew it all I remember that needle buzzin' ink, got that cross in my forearm Hit it pretty good 'til that summer workin' on the farm Talk about dad, talk about mad Givin' me the talk about   Was I the kinda man Who gave his word when he shook a hand Did I get it so wrong, just to get it right For once in my life and would I live it twice Did I fill my boots with every step I made Did I walk all over my daddy's good name Am I gonna see the me I was born to be From where I'm at When I look back   To a right at the light steeple that I ran from Feelin' one of those stained glass flashbacks comin' on Ain't been inside since daddy died Took the end of his own life to get me thinkin' 'bout mine   Was I the kinda man Who gave his word when he shook a hand Did I get it so wrong, just to get it right For once in my life and would I live it twice Did I fill my boots with every step I made Did I walk all over my daddy's good name Am I gonna see the me I was born to be From where I'm at When I look back When I look back   Yeah when I stand before God at the end of my life Will the tears turn to smiles that I leave behind Did I use to all the good Did I give all the love that I had inside   Was I the kinda man Who gave his word when he shook a hand Did I get it so wrong, just to get it right For once in my life and would I live it twice Did I fill my boots with every step I made Did I walk all over my daddy's good name Am I gonna see the me I was born to be From where I'm at When I look back Hmm when I look back   Starin' my life through a rolled down window Reminiscin' those main streets nights with the radio loud Just I like I did when I was a kid"
/songs/2890226,Randy Houser,Before Midnight,https://genius.com/Randy-houser-before-midnight-lyrics,http://api.genius.com/songs/2890226,Fired Up,2016-03-11," Get your pretty little self shined up Girl were gettin' outta here, yeah we're getting' out there tonight We can take it through town 'til the roads run out Where the world slows down Watch the moon get drunk on you Smile Can't get there quick enough Can't wait to drink it up Gonna find your favorite song And watch it turn you on   So I can see your sweet little summer time silhouette swayin' Shakin' in the shadows of the headlights I'm sittin' here sweatin' I'm losin' my breath And I'm catchin' that green light look in your blue eyes You got me all messed up, you're lookin' so damn fine Girl there ain't no way, I'm gonna get you home Before midnight  (No way I'm gonna get you home) (No way I'm gonna get you home)   Ruby red deep Eddy in your cup Just a sip of that stuff makes your lips so sweet when ya kiss me Kiss me baby Get your bare feet in the cool grass Get to movin' that oh yeah oh yeah ya know just how to kill me Killin' me baby The sun is burnin' out Let's pull it over now Can't wait to watch ya let your hair down, hair down   So I can see that sweet little summer time silhouette swayin' Shakin' in the shadows of the headlights, hmm I'm sittin' here sweatin' I'm losin' my breath And I'm catchin' that green light look in your blue eyes You got me all messed up, you're lookin' so damn fine Girl there ain't no way, I'm gonna get you home Before midnight I can see your sweet little summer time silhouette swayin' Shakin' in the shadows of the headlights I'm sittin' here sweatin' I'm losin' my breath And I'm catchin' that green light look in your blue eyes You got me all messed up, you're lookin' so damn fine Girl there ain't no way, I'm gonna get you home Before midnight Before midnight   Get you home before midnight (No way I'm gonna get you home) (No way I'm gonna get you home) Before midnight (No way I'm gonna get you home) Before midnight"
/songs/637927,Randy Houser,Boots On,https://genius.com/Randy-houser-boots-on-lyrics,http://api.genius.com/songs/637927,Anything Goes,2009-02-23," Man, I've been working too hard Ten hour days and I'm tired Damn this knuckle busted' Back breakin', no paying job Know where I'm goin from here Hot headed women, cold beer Kick up my heels for a little while And do it country style   In my dirty 'ole hat With my crooked little grin Granny beaded neck And these calloused hands And a muddy pair of jeans With that copenhagen ring No need to change a thing, hey y'all I'm going out with my boots on   How I keep catching her eye Man, I keep wondering why Ain't nothing special 'bout An ""awe shucks"" country boy Lord, she's sure lookin' good Like something from Hollywood She got me thinkin' that I just might Leave here with her tonight   In my dirty 'ole hat With my crooked little grin Granny beaded neck And these calloused hands And a muddy pair of jeans With that copenhagen ring No need to change a thing, hey y'all I'm going out with my boots on   Cause I am who I am and that's The man I'm gonna be, yeah And when the Lord comes callin' Well, he ain't gonna have To holler, y'all There'll be no trouble finding me   In my dirty 'ole hat With my crooked little grin Granny beaded neck And these calloused hands And a muddy pair of jeans With that copenhagen ring No need to change a thing, hey y'all I'm going out with my boots on   With my boots on He's gonna take me home Lord, with my boots on"
/songs/2889660,Randy Houser,Chasing Down a Good Time,https://genius.com/Randy-houser-chasing-down-a-good-time-lyrics,http://api.genius.com/songs/2889660,Fired Up,2016-03-11," We don't turn out the lights 'Cause the party's never over We stare down the sun Make it rise a little slower While everyone else is fast asleep We'll crank it up, we'll feel the beat We'll feel the heat, you and me   Somewhere in the shadows In between the street lights Runnin' with our eyes closed Chasing down a good time We ain't got forever Living for the moment Any way we want it Take it like we own it   Somewhere in the shadows In between the street lights Baby this is our night our life Chasing down a good time   I love to watch your lips When they sing your favorite song Then they turn into a kiss And I can't help but sing along Yeah While everyone else is fast asleep We'll crank it up, we'll feel the beat We'll feel the heat, you and me   Somewhere in the shadows In between the street lights Runnin' with our eyes closed Chasing down a good time We ain't got forever Living for the moment Any way we want it Take it like we own it   Somewhere in the shadows In between the street lights Baby this is our night our life Chasing down a good time Chasing down a good time  Oh!  While everyone else is fast asleep We'll crank it up, we'll feel the beat We'll feel the heat, you and me   Somewhere in the shadows In between the street lights Runnin' with our eyes closed Chasing down a good time We ain't got forever Living for the moment Any way we want it Take it like we own it   Somewhere in the shadows In between the street lights Baby this is our night our life Chasing down a good time Chasing down a good time   Oh! (Chasing down a good time) Oh! (Chasing down a good time) We don't turn out the lights 'Cause the party's never over"
/songs/3920537,Randy Houser,Evangeline,https://genius.com/Randy-houser-evangeline-lyrics,http://api.genius.com/songs/3920537,Magnolia,2019-01-11," Baby, let's get a little two-lane-crazy tonight We got a bottle of low-rent rum and one taillight That will prob'ly be there when you wake up But you can sleep on my shoulder in your makeup Baby, let's get a little two-lane-crazy tonight   Ride with me down to Louisiana Roll with me down to New Orleans We'll dip our toes in the Mississippi River Ride with me, Evangeline   If we leave right now, they'll never even know we're gone And you say you ain't never been south of McComb We'll drive all night to get there Watch the sun come up from Jackson Square If we leave right now, they'll never even know we're gone   Ride with me down to Louisiana Roll with me down to New Orleans We'll dip our toes in the Mississippi River Ride with me, Evangeline   Baby, let me show you the streets that gave you your name Your name   Ride with me down to Louisiana Roll with me down to New Orleans We'll dip our toes in the Mississippi River Ride with me, ride with me Won't you ride with me down to Louisiana Roll with me down to New Orleans We'll dip our toes in the Mississippi River (In the Mississippi, baby) Ride with me, Evangeline Won't you ride with me down to Louisiana Roll with me down to New Orleans We'll dip our toes in the Mississippi River (In the Mississippi River) Ride with me, Evangeline   (Won't you ride with me)"
