api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/1633001,Reba McEntire,A Christmas Letter,https://genius.com/Reba-mcentire-a-christmas-letter-lyrics,http://api.genius.com/songs/1633001,Merry Christmas to You,None,At an antique desk An old man sits alone It's Christmas Eve And it's almost time to go  He signs his name to a letter he just wrote Then he reads it back with a voice as soft as snow  Chorus: I want peace on earth for Christmas In a world where there's not one hungry child They would hope and faith Conquers fear and hate All I'm asking for is a little more love  Then he walks outside And he climbs up on his sleigh And calls out to his reindeer Off they fly away Oh tonight he'll make a million dreams appear While he wishes that his own dreams would come true this year  Repeat Chorus  That they would hope and faith Conquers fear and hate All I'm asking for is a little more love
/songs/1714632,Reba McEntire,A Cowboy Like You,https://genius.com/Reba-mcentire-a-cowboy-like-you-lyrics,http://api.genius.com/songs/1714632,Oklahoma Girl Disc 1,None,(Tompall Glaser)  Well there's a jukebox in my ear Playing so loud I can hardly hear And it's telling a story About a boy like you  And each selection that I make Tells me how my heart will break Falling in love with a cowboy like you  When it's just an old machine Without a heart but oh so mean Says I'll probably spend my whole life feeling blue So I'll just put in one more dime And play that same song one more time Cause I want to hear about a cowboy like you  Repeat Verse #3  I guess that I should go on home But I can't stand to be alone Cause I'll only dream about A cowboy like you Yeah I'll only dream about A cowboy like you
/songs/337307,Reba McEntire,A Little Want To,https://genius.com/Reba-mcentire-a-little-want-to-lyrics,http://api.genius.com/songs/337307,All The Women I Am ,None," There are no excuse, that's what my mama said You got to get up and get out of bed Roll up your sleeves, put your back into it If you're going to get it done then you better get to it No matter what it is you want to do   You got to have a little want to inside of you That goes a long, long way A little nothing I can't do, attitude No matter what folks say Well, big dreams do come true All you got to do is have a little want to   Well, I remember sitting on the living room floor And my brother trying to show me how to make the G chord My hands are small, my fingers hurt That's when he said, ""It'll take a lot of work But if I can do it, girl, so can you""   Whoa, now I make my living Out here singing on the stage Well, people ask me how I got here I just look at them and say  "
/songs/336941,Reba McEntire,All Dressed Up (With Nowhere to Go),https://genius.com/Reba-mcentire-all-dressed-up-with-nowhere-to-go-lyrics,http://api.genius.com/songs/336941,For My Broken Heart,1991-10-01," The sign says, ""families welcome"" At the Oaks Retirement Home But mostly, no one comes except on the weekends Ruby Wilson lives in 303 Where she spends most her time But it's almost noon on Sunday And she's been sitting in the lobby since nine   She's all dressed up in her best hat and gloves She's all dressed up Watching and waiting, but nobody comes Some days sure are lonely days And time can move so slow When you're all dressed up With nowhere to go   As Ruby watches all the others Leaving with their families The nurse tells her, it's time to come to dinner She says she's expecting company They're just running late But, the nurse knows the truth too well She just sighs and walks away  "
/songs/337316,Reba McEntire,All of You,https://genius.com/Reba-mcentire-all-of-you-lyrics,http://api.genius.com/songs/337316,If You See Him / If You See Her Bonus EP,1998-06-02," I think about holding you and kissing you Wanting you and missing you   Clock is ticking and the wind is howling And I'm just staring at the candle burning Bottle of red that we never opened Your voice in my head, tossing and turning The radio is playing our song I can't sing along, can't even listen I dial your number but I don't let it ring   I think about Holding you and kissing you Wanting you and missing you Building up and breaking down walls I dream about Finding you and keeping you Loving you and living you I'm telling you, I want it all All of you   I can't let go and I keep can't holding on to nothing But i just keep trying To tell myself there's a damn good reason But it's not enough To keep me from crying I've memorized every look, every touch Every time you told me our hearts weren't lying I'm wondering now, do you even know   I can't break free of you I don't know how Oh, I'm not about To let go of you I love you I need you now  "
/songs/337262,Reba McEntire,All The Women I Am,https://genius.com/Reba-mcentire-all-the-women-i-am-lyrics,http://api.genius.com/songs/337262,All The Women I Am ,None," Mhm, Mhm, Oh, Yeah   Well I can summon up my courage Take on the whole world Turn around and break down just like a little girl And I come out swinging when my back's against the wall  And my mama always told me, better walk before you crawl I need a man who can love all the women I am  I'm a mother of lost causes A sister of the road I give my heart to a song, but I never sell my soul I'm good at keeping it together when the edges start to fray  When I'm sewing up the loose ends of everyday I need a man who can love all the women I am   Sometimes I'm hard to handle Burn hotter than a candle, but I melt in the right hands Boy you love without condition It isn't always easy living with all the women I am   I'm a daughter of the red dirt, Okie dust still in my bones But I can light up New York City with my red hair and rhinestones I'll still be my Mama's baby when my babies fly away My moods change like the weather, but my faith it stays the same  I need a man who can stand all the women I am I need a man who can love all the women I am   Hey I'm a realist I'm a dreamer I'm a silver lining seeker I'm a devil or an angel who come running when you need her   Because I need a man who can love all the women I am Oh I want a man who can love all the women I am Hey you're a man who can love all the women I am You're the man I needed all along You can handle me baby All the women I am Yeah, you're the man All the women I am"
/songs/337129,Reba McEntire,All This Time,https://genius.com/Reba-mcentire-all-this-time-lyrics,http://api.genius.com/songs/337129,If You See Him,1999-03-30," I remember the first time I held you all night long Well, we're still here now But where have all the years gone? Holding you this way tonight It's easy to see why   All this time We held on to each other We knew we had to be strong All this time Through the tears and the laughter It's still forever after all this time   In the fast moving world Love is made and just thrown away But we've always kept the promises that we made Who would of thought you and me? Would still be here where we said we would be  "
/songs/2978868,Reba McEntire,Amazing Grace,https://genius.com/Reba-mcentire-amazing-grace-lyrics,http://api.genius.com/songs/2978868,Sing It Now: Songs of Faith & Hope,2017-02-03," Amazing grace How sweet the sound That saved a wretch like me I once was lost But now I'm found I was blind but now I see   T'was grace that taught my heart to fear And grace my fears relieved How precious did that grace appear The hour I first believed  When we've been there ten thousand years Bright shining as the sun We've no less days to sing God's praise Than when we've first begun   Amazing grace How sweet the sound That saved a wretch like me I once was lost But now I'm found I was blind but now I see I was blind, oh, but now I see I see"
/songs/336943,Reba McEntire,Am I The Only One Who Cares,https://genius.com/Reba-mcentire-am-i-the-only-one-who-cares-lyrics,http://api.genius.com/songs/336943,Sweet Sixteen,1989-05-02," Jamie turned 13 tonight But she didn't blow out the birthday lights Jamie and her momma had another big fight She locked herself in her room  She climbed up on her windowsill Sat and stared at the cars on the street And listened to her own heart beat And whispered to the moon  Am I the only one who cares what I do Because if I'm the only one then who can I turn to Oh moon can you tell me that it's not just me and you   Or am I the only one who cares what I do   The moon said Jamie can't you hear yourself You're acting like there isn't nobody else Come on girl take a big, old breath You know what you got to do  There's one more thing before I go A woman's been standing at the window below Searching for the words to let you know How much she loves you too  And you're not the only one who cares what you do And I'm not the only one that you can turn to Now Jamie please believe me It's not just me and you   Jamie heard her mama Softly knocking at her door The moon just smiled and whispered You all don't need me anymore  I'm not the only one who cares what you do And I'm not the only one you can tell your troubles to I've done the best I can Now the rest is up to you  "
/songs/337051,Reba McEntire,And Still,https://genius.com/Reba-mcentire-and-still-lyrics,http://api.genius.com/songs/337051,Read My Mind,1995-02-18,"Thousands of people live in this town And I had to run into him When I saw him there on that busy street Those feelings came back again There was nowhere to run, nowhere to hide He walked up to me, looked in my eyes  And still The world stood still I couldn't move And all I could feel Was this aching in my heart Saying I loved him still  He said how have you been It's great to see you again You're really a sight for sore eyes I said I can't complain Oh, I'm doing fine We talked as the people rushed by We laughed about old times and all we went through That's when he hugged me and said I've missed you  And still The world stood still I couldn't move And all I could feel Was this aching in my heart Saying I loved him still  That's when she walked up to him He said this is my wife I gave my best smile But I was dying inside He said we've got to go now It's getting late It was so good to see you Then they walked away  And still My world stood still I couldn't move And all I could feel Was this aching in my heart Saying I loved him still"
/songs/336993,Reba McEntire,A New Love,https://genius.com/Reba-mcentire-a-new-love-lyrics,http://api.genius.com/songs/336993,Sweet Sixteen,1989-05-02," Love's the only thing I know in this life That's cut me deeper than the sharpest knife And once again, here I am And I'd pay any price for a new love  I still hurt for the one I lost I'm standing here on a bridge that I can't get across And I can't burn, but I will When I walk with a new love   (And/Oh) I believe (I believe that) It's going to be better than ever before That's why I'm looking for A new love for this old heart A new love and I just can't wait to start (To feel that way again) I want to feel that way again (Oh I'm wondering when) On when I find my new love For this old heart of mine   Said I'm looking for a new love Somebody tell me where I'll find a new love For this old heart of mine  Love's the only thing that's ever made me cry But nothing's ever made me feel more alive And that's why, once again, here I am Looking for the eyes of a new love  I know that somewhere in this world tonight There's a guy, and I'd take a bus, car, a train or a flight I'd even walk if I thought I might find a new love   Said I need a new love For this old heart of mine   Oh, I'm looking for a new love For this old heart of mine"
/songs/336284,Reba McEntire,Angel In Your Arms,https://genius.com/Reba-mcentire-angel-in-your-arms-lyrics,http://api.genius.com/songs/336284,Reba McEntire,1977-08-15," Do you think I'm such a fool To believe everything you say is true Well that just goes to show That you really don't know While you are out painting the town Do you think I'm home just sitting around Waiting on you Now who is really the fool?   When I first found out I hurt all over I felt so left out until I got to know her So I drive away as she got over And I became just like her   So don't be surprised to find that The angel in your arms this morning Is going to be the devil in someone else's arms tonight Yes, the angel in your arms this morning Is going to be the devil in someone else's arms tonight   Why would you slip around secretly If you were tired of loving me? Why do you keep holding on When love was already gone? The time you said you were not feeling well Did you think I could not tell You have been with someone else? You were only kidding yourself  "
/songs/3292525,Reba McEntire,Angel on My Shoulder,https://genius.com/Reba-mcentire-angel-on-my-shoulder-lyrics,http://api.genius.com/songs/3292525,Sing It Now: Songs of Faith & Hope,2017-02-03,"Wish I could explain, but there's no explanation How I got out of some desperate situations Turned around at the end of a dead end road The devil got my tongue every time I went to pray Didn't know what to ask or know what to say Oh heaven only knows how to save a stubborn soul like me  There must be an angel on my shoulder Whispering in my ear Thank God, the angel on my shoulder Knows it ain't good for me to be alone down here  Never looking forward, but I'm always finding trouble Good at digging holes, don't even have a shovel I get myself into something, something always helps me out Make another promise there ain't gonna be a next time Then I turn around, I'm back in the same bind Crying out please, ""Somebody come and rescue me""  Must be an angel on my shoulder Whispering in my ear Thank God, the angel on my shoulder Oh, knows it ain't good for me to be alone down here  Oh, must be an angel on my shoulder Oh, whispering in my ear Thank God, the angel on my shoulder Oh, knows it ain't good for me to be alone down here  Angel on my shoulder Whispering in my ear Hey, thank God, the angel that's on my shoulder Knows it ain't good for me to be alone down here Oh, no, I don't need to be alone down here, oh no"
/songs/3563033,Reba McEntire,Angel's Lullaby,https://genius.com/Reba-mcentire-angels-lullaby-lyrics,http://api.genius.com/songs/3563033,None,None,"Midnight moonlight shining through the curtain lace Paints a perfect picture on your perfect face One sweet angel sleeping in my arms You are the promise I knew God would keep You are the gift that makes my world complete  And you'll never know how much I love you But I'll keep on telling you my whole life through Now I believe in miracles, and you're the reason why So dream on while I sing you my angel's lullaby"
/songs/3050329,Reba McEntire,Angels Singin',https://genius.com/Reba-mcentire-angels-singin-lyrics,http://api.genius.com/songs/3050329,Sing It Now: Songs of Faith & Hope,2017-02-03,"Midnight moonlight shining through the curtain lace Paints a perfect picture on your perfect face One sweet angel sleeping in my arms You are the promise I knew God would keep You are the gift that makes my world complete  And you'll never know how much I love you But I'll keep on telling you my whole life through Now I believe in miracles, and you're the reason why So dream on while I sing you my angel's lullaby"
/songs/336515,Reba McEntire,A Poor Man's Roses (Or a Rich Man's Gold),https://genius.com/Reba-mcentire-a-poor-mans-roses-or-a-rich-mans-gold-lyrics,http://api.genius.com/songs/336515,Feel the Fire,1980-10-06, I must make up my mind today What to have what to hold A poor man's roses Or a rich man's gold One's as wealthy as a king in a palace Though he's chalice and cold He may learn to give his heart for love Instead of buying it with gold   Then the poor man's roses And the thrill when we kiss Will be memories of paradise That I'll never miss   And yet the hand that brings a rose tonight Is the hand that I will hold For the rose of love means more to me More than any rich man's gold   Then the poor man's roses And the thrill when we kiss Will be memories of paradise That I'll never miss   And yet the hand that brings a rose tonight Is the hand that I will hold For the rose of love means more to me More than any rich man's gold
