api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/371132,Romeo Santos,7 Días,https://genius.com/Romeo-santos-7-dias-lyrics,http://api.genius.com/songs/371132,"Formula, Vol. 2",2014-02-25,"Ah Who’s back? The king Solo escucha  (Verse 1) Cariñito no seas mala Te lo ruego Asómate a tu balcón He venido aquí descalzo Melancólico y borracho Como un perro Si a caso me llevan preso Tírame un besito de adiós Ya te he escrito tres bachatas Como muestra que tengo sentimientos Loco, amante y bohemio Tu romeo moderno Un demente seductor  (Coro) Dame 7 días Intento regalarte el cielo A una jornada amorosa mi reina te llevo El domingo empieza el juego de seducción Monday night una velada entre tú y yo Martes te hago mi novia en París By wednesday you’ll love me the way it should be Y el jueves el anillo down on my knees Te propongo matrimonio Dices que sí¿ Friday we’ll marry Wherever you want Luna de miel es el Sábado Hermoso final  (Interlude) All I need is 7 days boo! ¡Ay chi chi! Ponla a llorar  ¿Y le gusta mi bachata amiguita? Ajá Volvió El chico de las poesías Gustoso  (Verse 2) Un cariñito una semana Es suficiente pa' mostrar que el amor Es veloz, es eterno No juzgará en cuanto tiempo Nos conocemos los dos  (Coro) Dame 7 días Intento regalarte el cielo A una jornada amorosa mi reina te llevo El domingo empieza el juego de seducción Monday night una velada entre tú y yo Martes te hago mi novia en París By wednesday you’ll love me the way it should be Y el jueves el anillo down on my knees Te propongo matrimonio Dices que sí¿ Friday we’ll marry Wherever you want Luna de miel es el Sábado Hermoso final  (Outr) Swagger on another level Let me find out"
/songs/58775,Romeo Santos,All Aboard,https://genius.com/Romeo-santos-all-aboard-lyrics,http://api.genius.com/songs/58775,"Fórmula, Vol. 1",2011-11-08," Hey Escucha las palabras... de Romeo You need this in your life Ven aqui   I am gonna give you instructions You just got to follow my lead Your body's making sounds like percussion I'm orchestrating your fantasies   And when you wake up Feeling like a dream You are not going to believe And everything you need Girl, you going to receive it tonight And I know your condition I'ma let me make you feel alive Relax and feel the ride   So act like it's the last time The last chance for you to go there There's one ticket left, and girl it's for you baby The last grind, and girl you won't find this feeling no where You better hurry because the train is leaving All aboard  (Come on) (Montate, mami)   I use words as persuasion I don't got a reason to speak It's always a special occasion And it's on your layer with me     Yeah She want to ride that Wayne train So I am a bag her like baggage claim We smoked that Mary not plain Jane And everything is just fine I keep a picture of her smiling in the back of my mind I grab the back of her head she throw it back like rewind I put her face in the pillow, taste it a little Shawty said she feel like she's sitting on a missile I said 5-4-3-2, the one can only be you Shawty said, oh Lord, I'm coming, I said me too My love has no equal, get on top And if you ride this train, get off at your stop  "
/songs/371114,Romeo Santos,Amigo,https://genius.com/Romeo-santos-amigo-lyrics,http://api.genius.com/songs/371114,"Formula, Vol. 2",2014-02-25,"   Hey, The King is back Ajá   No te imaginas el placer y honor que es tenerte como amigo Cuantos años recorridos Yo soy tu hermano y un soldado en devoción Los golpes en la vida son muy crueles Y a veces sale herido aquel que no lo ha merecido Anoche fui testigo e' una traición   Vi a tu esposa con un hombre cariñosa (ja-ja-ja) Los primos no se besan en la boca (ja-ja-ja) Lo que te ha hecho es un delito Y sus besos son malditos, falso amor   La vi bien sospechosa cuando entraba a un motel Con gafas y peluca, el traje rojo de Channel El que le diste pa' su aniversario, la muy descarada En tu propio BM lo montó y con él se fue Y le tiré dos fotos para prueba que es infiel Mientras le das el cielo, ella con otro se estruja en la cama Lo que te ha hecho es un delito Y sus besos son malditos, falso amor   Gostoso Ay, amigo mío, no sea palomo (She gotta do again) Es una bárbara   Vi a tu esposa con un hombre cariñosa (ja-ja-ja) Los primos no se besan en la boca (ja-ja-ja) Lo que te ha hecho es un delito Y sus besos son malditos, falso amor   La vi bien sospechosa cuando entraba a un motel Con gafas y peluca, el traje rojo de Channel El que le diste pa' su aniversario, la muy descarada En tu propio BM lo montó y con él se fue Y le tiré dos fotos para prueba que es infiel Mientras le das el cielo, ella con otro se estruja en la cama (she's dirty) Lo que te ha hecho es un delito Y sus besos son malditos, falso amor   Abran paso 'Cause daddy's back Ay, mis hijos   Ella te engaña No comprende el concepto de ser dama (falso amor) Amigo mío no seas tonto No hagas caso a sus palabras (falso amor, listen to me) Arrogando con sus besos Sus caricias y su cuerpo, qué malvada (falso amor) Le diste la Luna, una estrella y mira como paga (falso amor) Te ha jugado una sucieza, no merece tu perdón"
/songs/4446643,Romeo Santos,Amor Enterrado,https://genius.com/Romeo-santos-amor-enterrado-lyrics,http://api.genius.com/songs/4446643,Utopía,2019-04-05,"[Letra de ""Amor Enterrado"" ft. Joe Veras]   Quizás no lo puedas comprender Quizás no entiendas la narrativa Pero algo te puedo prometer No quiero hacerle daño a tu vida   De ese amor que ayer fue lumbre Ni se encuentran las cenizas Eran épicos los besos Hoy sólo es juntar saliva   Llevo 2 años pensando estresando Qué le hago, ay pa' volverte a querer Puse mis fuerzas, mas todo fue en vano Amor enterrado no vuelve a renacer  Intenté exigirle al alma que te amara Amenazando el corazón con un puñal Como un zombie cuando tú me acariciabas Ni mi carne has podido provocar Si pudiera volver al pasado Yo, no tengo el poder Pobre de los niños, pero no te amo   Romeo, ¿esa es la luna que llora? ¡Oyela! Lorra Joe, llora  [Verso 2: Joe Veras, Romeo Santos] Quizás por no quererte fallar Notaste sentimientos actuados Por miedo a herirte fingí Vergüenza que me trae cabizbajo   De ese amor que ayer fue lumbre Ni se encuentran las cenizas Eran épicos los besos Hoy sólo es juntar saliva  [Coro: Joe Veras, Romeo Santos, Ambos] Llevo 2 años pensando estresando Qué le hago, ay pa' volverte a querer Puse mis fuerzas, mas todo fue en vano Amor enterrado no vuelve a renacer  Intenté exigirle al alma que te amara Amenazando el corazón con un puñal Como un zombie cuando tú me acariciabas Ni mi carne has podido provocar Si pudiera volver al pasado Yo, no tengo el poder Pobre de los niños, pero no te amo, no te amo  [Outro: Joe Veras, Romeo Santos, Ambos] No te amo Dime cómo le hago, ay mujer No te amo En una máquina de tiempo así tal vez No te amo Nadie logra mandar al corazón No te amo Ay, no te quiero causar dolor Turu-Turu, turu-turu No te amo Turu-turu, turu-turu  Y lamentablemente sigo siendo ¡El hombre de tu vida!"
/songs/368150,Romeo Santos,Animales,https://genius.com/Romeo-santos-animales-lyrics,http://api.genius.com/songs/368150,"Formula, Vol. 2",2014-02-25,"Letra de ""Animales"" ft. Nicki Minaj   Dejaste en mi cama tu aroma y sudor No olvido el día que perdimos el pudor   Quiero que hagamos el amor como animales Similar a aquella noche cuando fuimos indomables Ra-pa-pá-pá-pá Agresivo y salvaje Ra-pa-pá-pá-pá Enfermitos incurables   Yo no te dije ni una frase de amor Y no digo que sea ilógico Pero esa noche tu cuerpo pidió calor Sin romance nada bíblico No te lleve serenata a tu ventana Ni escribí mil poesías en bachata Solo te vi, me mirastes así Nos hicimos sentir un ratito feliz   Quiero que hagamos el amor como animales Similar a aquella noche cuando fuimos indomables Ra-pa-pá-pá-pá Agresivo y salvaje Ra-pa-pá-pá-pá Enfermitos incurables   Romeo... It's me, yo, the CEO Dame beso, yo necesito Dominicana, Puerto Rico Fly me out where is warm, hace frío And you can hit it like José Canseco Yeah, I'm-a give you this hit; caliente But I'mma need a big sweet Presidente Baby, you like it rough? Give it to me toda la noche Por favor, baby, rip me right out of my Dolce Gabbana, como animales Baby, como animales   Ven a mi, no arruinemos el momento No hay tiempo pa' palabras Que la noche se haga larga, larga, larga, larga...   Quiero que hagamos el amor como animales Similar a aquella noche cuando fuimos indomables Ra-pa-pá-pá-pá Agresivo y salvaje Ra-pa-pá-pá-pá Enfermitos incurables"
/songs/2183268,Romeo Santos,Animales - Commentary,https://genius.com/Romeo-santos-animales-commentary-lyrics,http://api.genius.com/songs/2183268,None,2014-02-25,"Dejaste en mi cama tu aroma y sudor No olvido el día que perdimos el pudor Quiero que hagamos el amor como animales Similar a aquella noche cuando fuimos indomables Ra pa pa pa pa Agresivo y salvaje Ra pa pa pa pa Enfermitos incurables Yo no te dije ni una frase de amor Y no digo que sea ilógico Pero esa noche tu cuerpo pidió calor Sin romance nada bíblico No te lleve serenata a tu ventana Ni escribí mil poesías en bachata Solo te vi, me miraste así Nos hicimos sentir un ratito feliz Quiero que hagamos el amor como animales Similar a aquella noche cuando fuimos indomables Ra pa pa pa pa Agresivo y salvaje Ra pa pa pa pa Enfermitos incurables Romeo It's me yo, the CEO Dame beso, yo necesito Dominicana, Puerto Rico Fly me out where is warm, hace frío And you can hit it like José Canseco Yeah, and I'ma give you this hit caliente But Ima need a big sweet Presidente Baby if you like it rough Give it to me toda la noche Por favor baby rip me right out of my Dolce Gabanna, como animales Baby, como animales Ven a mí No arruinemos el momento No hay tiempo pa palabras Que la noche se haga larga (larga, larga) Quiero que hagamos el amor como animales Similar a aquella noche cuando fuimos indomables Ra pa pa pa pa Agresivo y salvaje Ra pa pa pa pa Enfermitos incurables"
/songs/4446646,Romeo Santos,Años Luz,https://genius.com/Romeo-santos-anos-luz-lyrics,http://api.genius.com/songs/4446646,Utopía,2019-04-05,"[Letra de ""Años Luz"" ft. Monchy & Alexandra]  [Verso 1: Romeo Santos, Monchy, Alexandra] Hoy pensé, si yo no te vuelvo a ver No podré desprenderte de mí ser A todo individuo le llegan etapas, personas diversas Eres la mujer de mis sueños con imperfecciones perfectas No existe otro hombre en la tierra Que me haga temblar de las piernas Con sólo mirarte estremezco Hoy quiero ilustrar que por ti vivo  [Coro: Monchy & Alexandra, Romeo Santos, Alexandra] Tú, para mí eres la luz Amarte es una virtud Voy a agregarte a la biblia por divina y tan buena Tú, la calma en su plenitud Te amo tantos años luz Eres mi hombre prodigio La que más amo en el planeta  [Puente: Monchy, Alexandra, Romeo Santos] Tu Monchy Y yo Alexandra You know  [Verso 2: Monchy, Romeo Santos, Alexandra] Mi persona elegida, mi reina Primero Dios luego tú, mi doncella Hasta bendito sea el lugar donde nos conocimos Mi presente, mi futuro eres tú, uuh  [Coro: Monchy & Alexandra, Romeo Santos, Alexandra] Tú, para mí eres la luz Amarte es una virtud Voy a agregarte a la biblia por divina y tan buena Tú, la calma en su plenitud Te amo tantos años luz Eres mi hombre prodigio La que más amo en el planeta   Let me find out  [Coro: Monchy & Alexandra, Romeo Santos, Alexandra] Tú (Mi primavera y mi otoño), para mí eres la luz (Baby, you are my life) Amarte es una virtud Voy a agregarte a la biblia por divina y tan buena Tú, la calma en su plenitud Te amo tantos años luz Eres mi hombre prodigio La que más amo en el planeta"
/songs/3156696,Romeo Santos,Ay Bendito,https://genius.com/Romeo-santos-ay-bendito-lyrics,http://api.genius.com/songs/3156696,Golden,2017-07-21,"Letra de ""Ay Bendito"" Acho, mira a Romeo llorando Dale, canta   Lerolai lerolai vengo a rogar mujer No me desampares capullito de mi amor Búscame una brújula que voy sin dirección Tú eres alimento, eres aire en mi existir Más que una costilla, el conjunto, mi raquis   (¡Ay bendito!) Es tener hasta que mueres Se acabaron los placeres, ya no puedo ni dormir (¡Ay bendito!) Si es que me vas a abandonar Dime que cuesta una alma justa Pa' comprarte sentimientos  Y si yo me muero, tú tienes la culpa Desde hoy escógeme una lápida sepulcral A mi entierro no, no me lleves flores Ni des condolencias cuando tú fuiste la criminal  (¡Ay bendito!) Y ya verás has de llorar Todas las noches yo regreso en fantasma a tu alcoba   Y desde la isla del encanto En el cuatro, Alvin Medina He's nasty!   (¡Ay bendito!) Es tener hasta que mueres Se acabaron los placeres, ya no puedo ni dormir (¡Ay bendito!) Si es que me vas a abandonar Dime que cuesta una alma justa Pa' comprarte sentimientos  Y si yo me muero, tú tienes la culpa Desde hoy escógeme una lápida sepulcral A mi entierro no, no me lleves flores Ni des condolencias cuando tú fuiste la criminal  (¡Ay bendito!) y ya verás has de llorar Todas las noches yo regreso en fantasma a tu alcoba   Hea rayo, que sentimiento   (Lelolai lelolai) El no tenerte es mi calvario (Lelolai lelolai) Si yo fallezco no será un mito (Lelolai lelolai) Yo te molesto cada vez que estés durmiendo   Y si yo me muero, tú tienes la culpa Desde hoy escógeme una lápida sepulcral A mi entierro no, no me lleves flores Ni des condolencias cuando tú fuiste la criminal   No sé si suba al cielo o derecho al infierno Pero si por ti muero Acho prepárate nena Que vuelvo"
/songs/3156682,Romeo Santos,Bella y Sensual,https://genius.com/Romeo-santos-bella-y-sensual-lyrics,http://api.genius.com/songs/3156682,Golden,2017-07-21,"[Letra de ""Bella y Sensual"" ft. Nicky Jam & Daddy Yankee]   Hola mi amor, vengo acompañado DY Nicky, Nicky, Nicky Jam Let me holla at you for a second   Uno de nosotros es de barrio fino Un tipo muy real (The Big Boss) Nos jugó una apuesta, que ni te miremos Que te va a robar (Tamo' ready) El otro es medio loco, con veinte tatuajes Y ese swing de calle (Dimelo papi) Y en su Lamborghini, con labia salvaje Quiere impresionarte El tercero es un poeta, trae serenatas Brilla como el sol (Sólo escucha) El chico de las poesías Atentamente, tu servidor   Bella y sensual, sobrenatural Uno de nosotros te tiene que conquistar Bella y sensual, sobrenatural Uno de nosotros te tiene que conquistar   Quiero ser dueño de tu cama, ah Tratarte como una dama, ah Los tres tenemos la fama, ah Pero a mí nadie me gana, escúchame Romeo te habla bonito y Yankee tiene a Yamilette Yo te hago travesuras, mami hasta el amanecer Tengo lo que hace falta para hacerte enloquecer Por eso te pregunto si quieres ser mi mujer ¿Con quién te vas? Tengo la curiosidad Dime si soy yo, dame la oportunidad Yo seré un loquito pero puedo amarte Dime mamacita, porque quiero llevarte   Bella y sensual, sobrenatural Uno de nosotros te tiene que conquistar (Zumba Nicky, Come on!) Bella y sensual, sobrenatural Uno de nosotros te tiene que conquistar (You know who's this baby)   (Da-ddy!) Si tú dejas que te invite, te doy lo que necesite Tenemos algo en común y es que conmigo nadie compite Me gusta que tienes pique, no te me desubiques Si quieres una película, mami, yo tengo los tickets Si estás enfermita te doy mi Robitussin Conviértete en mi rusa, ponteme media Putin Nicky vuela como un fénix y Romeo, el bachata king Pero sigo siendo el mejor libra por libra en el ring Baby, yo sé que está difícil la decisión Reconoce que aquí no hay liga, yo soy tu opción Yo sé que seras mía-ía Cuando tiro no falla mi puntería-ía Soy el mejor de esta trilogía Pero quien tú escojas, te ganas la lotería  [Coro: Romeo Santos, Nicky Jam / Daddy Yankee] Bella y sensual, sobrenatural Uno de nosotros te tiene que conquistar Bella y sensual, sobrenatural Uno de nosotros te tiene que conquistar   Oye, Pina Tell 'em The Hitmakers in the building Da-ddy! N-I-C-K Golden combination"
/songs/4446639,Romeo Santos,Canalla,https://genius.com/Romeo-santos-canalla-lyrics,http://api.genius.com/songs/4446639,Utopía,2019-04-05,"[Letra de ""Canalla"" ft. El Chaval de la Bachata]   Y sigue El Chaval Con El Chico de las Poesías   Hoy voy a morir de un amargue Y la asesina eres tú Este masoquismo es rentable Aunque me afecta la salud  [Pre-Coro: El Chaval & Romeo Santos] Me hago el sordo y ciego Sabiendo me puede ir mejor Cuidadito y te crees que eres muy sabia Amor, no quita conocimiento, yo sé bien quién eres tú (Mera)   Mala, tú eres mala Así me gustas, así me encantas Malvada, pero estás buena No me importa que seas una canalla Tú me enciendes, y me apagas Me subes a la cima y me lanzas Esa vaina, me acorrala Una psicología que me atrapa   Oye esa maldita guitarra You're a bad girl! But I like it   Voy a permitir tus chantajes Aunque resulten mi perdición Tengo una paciencia adaptable Que se amolda a esta situación  [Pre-Coro: Romeo Santos & El Chaval] Me hago el sordo y ciego Sabiendo me puede ir mejor Cuidadito y te crees que eres muy sabia Amor, no quita conocimiento, yo sé bien quién eres tú (Ah, ¿tú cree' que yo no sé?)   Mala, tú eres mala Así me gustas, así me encantas Malvada, pero estás buena Y no me importa que seas una canalla Tú me enciendes, y me apagas Me subes a la cima y me lanzas Esa vaina, me acorrala Una psicología que me atrapa  [Puente 2: Romeo Santos & El Chaval] Ja, dígame Chaval Pero es verdad que es mala la tipa   Mala, tú eres mala Así me gustas, así me encantas Malvada, pero estás buena No me importa que seas una canalla Tú me enciendes, y me apagas Me subes a la cima y me lanzas Esa vaina, me acorrala Una psicología que me atrapa   Sentimiento And don't forget Romeo Ah-ah (Bitch)"
