api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/335704,Sara Bareilles,1000 Times,https://genius.com/Sara-bareilles-1000-times-lyrics,http://api.genius.com/songs/335704,The Blessed Unrest,2013-07-12," Back of the room Looking at you Counting the steps Between us A hundred and five Little blades in a line From your skin to mine And I feel it Eyes on the ground But I can't look up now Don't wanna give it away My secret   In another life My teeth and tongue Would speak aloud what until now I've only sung   'Cause I would die to make you mine You bleed me dry each and every time But I don't mind, no I don't mind it I will come back 1000 times You can make me wait forever Push me away and tell me never But I don't mind, no I don't mind it I will come back 1000 times   Kiss me goodnight like a good friend might And I'll do the same, but won't mean it 'Cause love is a cage, and these words on a page Can carry the pain, but they don't free it   In another life, I wouldn't need to Console myself as I resign to release you   'Cause I would die to make you mine You bleed me dry each and every time But I don't mind, no I don't mind it I will come back 1000 times You can make me wait forever Push me away and tell me never But I don't mind, no I don't mind it I will come back 1000 times   Again, again I let it go, let it go Cover my mouth Don't let a single word slip out I wouldn't wanna tell you, no, tell you, no Nothing could be worse Than the risk of losing what I don't have now I'm weaker by the minute, though Is it so bad if I wanna cry out–   That I would die to make you mine? You bleed me dry almost every time But I don't mind, no I don't mind it I will come back 1000 times Make me wait forever Push me away and tell me never But I don't mind, no I don't mind it I will come back 1000 times I will come back 1000 times Hey, hey I will come back 1000 times"
/songs/392397,Sara Bareilles,Any Way the Wind Blows,https://genius.com/Sara-bareilles-any-way-the-wind-blows-lyrics,http://api.genius.com/songs/392397,Little Voice,2007-07-03," Can't tell you the truth 'Least I don't lie about that A kind of comfort in you Comes when you lie right back Safe from such a strange point of view To hear your own words on you   I'm onto you; go to be gone You are any way the wind blows Any way the wind blows in Don't want to come down too low Any way the wind blows Any way the wind blows in Any way the wind blows in   Similar creatures, we are Chasing the pipe dream down Love elusive so far Keeps us divided now Go, go on and write me love songs So I've something to sing when you're gone   I'm onto you; go to be gone You are any way the wind blows Any way the wind blows in Don't want to come down too low Any way the wind blows Any way the wind blows in Don't want to come down do you know the way To be in one place but sway any way the wind's blowing?   You are loved You are monsters and angels Untouched, unseen All in one, I take all that you are Because you're just like me But you move And it's hard to stay close to a satellite So I lose sight of you Till you come 'round again I'm watching the wind   Hey-ey, hey-ey Hey-ey, yeah Any way the winds blowin'   I'm onto you; go to be gone You are any way the wind blows Any way the wind blows in Don't want to come down too low Any way the wind blows Any way the wind blows in Don't want to come down do you know the way To be in one place but stay any way the wind's blowing? Any way the wind's blowing"
/songs/4042171,Sara Bareilles,Armor,https://genius.com/Sara-bareilles-armor-lyrics,http://api.genius.com/songs/4042171,Amidst the Chaos,2018-10-26," Let it begin, let Adam in Step one, original sin Underneath the leaves, Adam found Eve Both of them found something sweet under the apple tree Then it was over, roads divide Step two, learning how to lie Let me ask a question to present day How the hell did Eve end up with all the damn blame? All the damn blame   To all the dirty looks, the kitty-cat calls To the ones who try and throw us up against the back walls Let me tell you something you'll understand: Only the little boys tell you they're a big man To all my sisters and all our friends We have to thank them, please Strength means blessed with an enemy   All my, my, my, my armor comes from you You make me try, try, try, try harder Oh, that's all I ever do, ever do Oh, no no, my, my, my, my armor comes from you You make me stronger, stronger Now hand me my armor (Hand me my armor, hand me my armor)   Step three, I see The unforgettable, incredible ones who came before me Brought poetry, brought science Sowed quiet seeds of self-reliance Bloomed in me, so here I am You think I am high and mighty, mister? Wait 'til you meet my little sister   All my, my, my, my armor comes from you You make me try, try, try, try harder Oh, that's all I ever do, ever do Oh, no no, my, my, my, my armor comes from you You make me stronger, stronger Now hand me my armor   What you didn't do to bury me But you didn't know I was a goddamn seed You don't scare me, I am of the earth So tired of your empire Blind men only set the world on fire Sad you can't see it You brought the flame, here comes the phoenix You make me try harder Oh, it's all I ever do, ever do Oh, no no, my, my, my, my armor comes from you You make me stronger, stronger Hand me my armor   All my, my, my, my armor comes from you You make me try, try, try, try harder Oh, that's all I ever do, ever do Oh, no no, my, my, my, my armor comes from you You make me stronger, stronger Hand me my armor   (Hand me my armor, hand me my armor) (Hand me my armor, hand me my armor) Hand me my armor (Hand me my armor) Hand me my armor, hand me my armor"
/songs/4314516,Sara Bareilles,A Safe Place to Land,https://genius.com/Sara-bareilles-a-safe-place-to-land-lyrics,http://api.genius.com/songs/4314516,Amidst the Chaos,2019-04-05," When holding your breath is safer than breathing When letting go is braver than keeping When innocent words turn to lies And you can't hide by closing your eyes   When pain is all that they offer Like the kiss from the lips of a monster You know the famine so well, but never met the feast When home is the belly of the beast  [Chorus 1: Sara Bareilles & John Legend (Both)] The ocean is wild and over your head And the boat beneath you is sinking Don't need room for your bags, hope is all that you have So say the Lord's Prayer twice, hold your babies tight Surely someone will reach out a hand And show you a safe place to land  [Verse 3: John Legend & Sara Bareilles (Both)] Oh, imagine yourself in a building Up in flames, being told to stand still The window's wide open, this leap is on faith You don't know who will catch you, but maybe somebody will  [Chorus 1: Sara Bareilles & John Legend (Sara Bareilles)] The ocean is wild and over your head And the boat beneath you is sinking Don't need room for your bags, hope is all that you have So say the Lord's Prayer twice, hold your babies tight Surely someone will reach out a hand And show you a safe place to land  [Chorus 2: Sara Bareilles & John Legend] Be the hand of a hopeful stranger Little scared, but you're strong enough Be the light in the dark of this danger 'Til the sun comes up Be the hand of a hopeful stranger Little scared but you're strong enough Be the light in the dark of this danger 'Til the sun comes up Be the hand of a hopeful stranger Little scared but you're strong enough Be the light in the dark of this danger 'Til the sun comes up  [Post-Chorus- Sara Bareilles & John Legend (Both)] 'Til the sun comes up (Oh) 'Til the sun comes up ('Til the sun) 'Til the sun comes up (Ooh) 'Til the sun ('Til the sun) Comes up"
/songs/392350,Sara Bareilles,Basket Case,https://genius.com/Sara-bareilles-basket-case-lyrics,http://api.genius.com/songs/392350,Kaleidoscope Heart,2010-09-07," I don't want to talk about it to you I'm not an open book that you can rifle through The cold hard truth that you'll see right to I'm just basket case without you He's not a magic man or a perfect fit But had a steady hand and I got used to it And a glass cage heart and invited me in And now I'm just a basket case without him   You're begging for the truth So I'm saying it to you I've been saving your place And what good does it do? Now I'm just a basket case Now I'm just a basket case   I don't say much and it'll stay that way You got a steel train touch and I'm just a track you lay So I'll stay right here underneath you I'm just a basket case and that what we do   You're begging for the truth So I'm saying it to you I've been saving your place And what good does it do? Now I'm just a basket case Now I'm just a basket case   Won't somebody come on in and tug at my seams? Oh, send your armies in of robbers and thieves To steal the state I'm in I don't want it anymore   You're begging for the truth So I'm saying it to you I've been saving your place And what good does it do? Now I'm just a basket case Now I'm just a basket case Now I'm just a basket case Now I'm just a basket case"
/songs/395887,Sara Bareilles,Beautiful Girl,https://genius.com/Sara-bareilles-beautiful-girl-lyrics,http://api.genius.com/songs/395887,The Blessed Unrest,2012-04-21," You wanna walk into the room like that other girl does The one that’s always making everybody fall in love You see - girl you’re a lot like me She rearranges all the light in the room so you’re always in the shadows Well that’s what it feels like to you… Baby, I’ve been there too And I know how much it can sometimes hurt You feel like the whole world has made you the ugly girl Take it from me that you have to see it first   So before you trade in your summer skin for those high heeled shoes To make him want to be with you Let me remind you one more time… That just maybe, you’re beautiful but you just can't see So why don’t you trust me They’ll see it too you beautiful girl you   You wanna lay the blame on somebody else All these tiny little minds that leave you up on a shelf But okay, I’ve seen it done that way Just in case nobody ever comes through Riding in to come to your rescue You still have a chance You don’t have to be asked to dance I know how much you’ve been dying to say Look how much everybody loves me Guess who gets left when everyone else fades away   So before you trade in your summer skin for those high heeled shoes To make him want to be with you Let me remind you one more time… That just maybe, you’re beautiful but you just can't see So why don’t you trust me They’ll see it too you beautiful girl you"
/songs/392295,Sara Bareilles,Between the Lines,https://genius.com/Sara-bareilles-between-the-lines-lyrics,http://api.genius.com/songs/392295,Little Voice,2007-07-03," Time to tell me the truth To burden your mouth for what you say No pieces of paper in the way 'Cause I can't continue pretending to choose These opposite sides on which we fall The loving-you-laters, if at all No right minds could wrong be This many times   My memory is cruel I'm queen of attention to details Defending intentions if he fails Until now: he told me her name It sounded familiar in a way And I could have sworn I'd heard him say it Ten thousand times Oh, If only I had been listening   Leave unsaid unspoken Eyes wide shut, unopened You and me Always between the lines Between the lines   I thought I, thought I was ready to bleed That we'd move from the shadows on the wall And stand in the center of it all Too late, two choices: to stay or to leave Mine was so easy to uncover He'd already left with the other So I've learned to listen through silence   Leave unsaid unspoken Eyes wide shut, unopened You and me, always be– You and me, always be–   I tell myself all the words he surely meant to say I'll talk until the conversation doesn't stay on ""Wait for me, I'm almost ready"" When he meant, ""Let go""   Leave unsaid unspoken Eyes wide shut, unopened You and me, always be– You and me, always between the lines Between the lines Between the lines Mmm..."
/songs/3550049,Sara Bareilles,Bittersweet,https://genius.com/Sara-bareilles-bittersweet-lyrics,http://api.genius.com/songs/3550049,The Summer Sessions,2003-01-01,"Bittersweet seasons Mistake a warm winter for spring Seems like I’m best at leaving when leaving is not the best thing  You couldn’t help it if you needed more than I could give That’s just the way it goes  I call you misplaced but never a waste of my time Everybody’s gonna make mistakes But you’ll never be one of mine  You couldn’t help it if you needed more than I could give That’s just the way it goes I knew you felt me leaving long before I ever did That’s just the way it goes now Loved me fearless when you needed to You would not rest till you came through So god bless and thank you  There is no anger, it's just you and I and the truth You can try to make her but love will not be forced to bloom  You couldn’t help it if you needed more than I could give That’s just the way it goes The only love worth fighting for is one that you can win and That’s just the way it goes now You would not break but you could bend And for love’s sake you let love end But I still swear that you were god sent  And you stood before me knowing that the wings I have you gave And that’s just the way it goes now And I barely have the breath to breathe much less to fly away And that’s just the way it goes now And a silence entered the room for a one last ""I’m gonna love you."" So god bless and thank you So god bless and thank you Thank you"
/songs/392375,Sara Bareilles,Bluebird,https://genius.com/Sara-bareilles-bluebird-lyrics,http://api.genius.com/songs/392375,Kaleidoscope Heart,2010-09-07," Word came through in a letter One of us changing our minds You won't need to guess who Since I usually do not send letters to me That are mine I told him I saw this coming That I'd practically packed up my things I was glad at the time that I said I was fine But all honesty knows, I wasn't ready, no   And so here we go bluebird Back to the sky on your own Oh, let him go bluebird Ready to fly You and I Here we go Here we go   This pair of wings worn and rusted From too many years by my side They can carry me, swear to be Sturdy and strong but see Turning them on still means goodbye   And so here we go bluebird Gather your strength and rise up Oh, let him go bluebird Oh, let him go bluebird Oh, let him go bluebird Ready to fly You and I Here we go Here we go"
/songs/348659,Sara Bareilles,Bottle It Up,https://genius.com/Sara-bareilles-bottle-it-up-lyrics,http://api.genius.com/songs/348659,Little Voice,2008-03-10," There'll be girls across the nation That'll eat this up babe I know that it's your soul but could you bottle it up and Get down to the heart of it No it's my heart you're shit out of your luck Don't make me tell you again my love love love love Love love love love I am aiming to be somebody this somebody trusts With her delicate soul I don't claim to know much except soon as you start To make room for the parts That aren't you it gets harder to bloom in a garden of Love love love love Love Love love love   Only thing I ever could need, only one good thing Worth trying to be and it's Love, love, love, love I do it for love Love, love, love   We can understand the sentiment you're saying to us Oh, but sensible sells could you kindly shut up And get started At keeping your part of the bargain Aw please, little darlin' You're killing me sweetly with love love love love Love love love love   Only thing I ever could need, only one good thing Worth trying to be and it's Love, love, love, love I do it for love Love, love, love   Started as a flicker meant to be a flame Skin has gotten thicker, but it burns the same Still a baby in a cradle gotta take my first fall Baby's getting next to nowhere with her back Against the wall You meant to make me happy make me sad Wanna make it better, better so bad But save your resolutions for your never new year There is only one solution I can see here   Love you're all I ever could need Only one good thing worth trying to be And it's Love, love, love, love I do it for love, love, love Only gonna get get what you give away Love, love, love, love"
