api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2443899,Sean Kingston,All I Got,https://genius.com/Sean-kingston-all-i-got-lyrics,http://api.genius.com/songs/2443899,None,2016-03-20," Kingston Oh, yeah yeah yeah Oh, yeah yeah yeah Woo!   Girl, I'm the type See what I want, take it right down Up every night Roll in you deep if you let me Yeah, all up inside Coupe in the roof, yeah, the mind gone We geekin' tonight You front for them but, girl, I know   Rolling, rolling, dopin' out my mind (ohh) Drinking, hope I don't black out tonight (no, no) She don't wanna get me, oh, why not? (hold on) Tell me now, how can I make you mine? (na, na, na)   Real niggas all around me That's all I got Little Hennessy and Vodka That's all I got Can you drop it down for me? That's all I got 'Round and 'round, now let me see That's all I got Bad hoes, yeah, they poppin' That's all I got Mo' money, mo' problems That's all I got Can you drop it down for me? That's all I got 'Round and 'round, now let me see That's all I got   Hold on tight Please buckle up for this ride, now Colossal tonight Up in the air where your legs be Yeah, all up inside You would if you know what I know We're wildin' tonight Girl, if your body, then let's go   Rolling, rolling, dopin' out my mind (ohh) Drinking, hope I don't black out tonight (no, no) She don't wanna get me, oh, why not? (hold on) Tell me now, how can I make you mine? (na, na, na)   Real niggas all around me That's all I got Little Hennessy and Vodka That's all I got Can you drop it down for me? That's all I got 'Round and 'round, now let me see That's all I got Bad hoes, yeah, they poppin' That's all I got Mo' money, mo' problems That's all I got Can you drop it down for me? That's all I got 'Round and 'round, now let me see That's all I got   Ohh-woah-ohh That's all I got Ohh-woah-ohh That's all I got Can you drop it down for me? That's all I got 'Round and 'round, now let me see That's all I got   We geekin' tonight We geekin' tonight We geekin' tonight Oh, yeah yeah yeah"
/songs/785091,Sean Kingston,Ayo (16th Floor),https://genius.com/Sean-kingston-ayo-16th-floor-lyrics,http://api.genius.com/songs/785091,Back 2 Life,2013-09-01," Ayo ayo It's a party going on the 16th floor But she just lookin for the summer turn up I think she lookin for the summer turn up Ayo ayo It's a party going on the 16th floor I think she lookin for the summer turn up So I'm a show her how the summer turn up So all you gotta do is take it to the head non-stop girl I think she lookin for the summer turn up So I'm a show her how the summer turn up  She wanna party like a rock star, zoom in the fast car We gon get it in tonight girl I can see it in your eyes that you need a real guy I'm gone come and beat it right girl I need it, in every way this is gonna be right yea So don't waste my time time  We gon enjoy the summer I'm a be your no. 1 lover As long as you're mine We gon turn up and say   Ayo ayo It's a party going on the 16th floor But she just lookin for the summer turn up I think she lookin for the summer turn up So all you gotta do is take it to the head non-stop girl I think she lookin for the summer turn up So I'm a show her how the summer turn up  Hey Shawty this here a pool party I'll get you wet like I should girl 'Cause it's summertime fine I think it's bout time me and you should link up now 'Cause I want it, in every way this is gonna be right yea Pour up and relax your mind  'Cause we about to turn up Shut the club down, watch it burn up 'Cause girl you're so fine That I have to say   Ayo ayo It's a party going on the 16th floor But she just lookin for the summer turn up I think she lookin for the summer turn up Ayo ayo It's a party going on the 16th floor But she just lookin for the summer turn up I think she lookin for the summer turn up So all you gotta do is take it to the head non-stop girl I think she lookin for the summer turn up So I'm a show her how the summer turn up  Summer summertime Wind up your waist and we gotta wind 'Cus girl you're one of a kind Love come divine, I have to make you mine like Ayo, I will give you my pesos Just to have you so close Girl you amazing, you hot like Asian, you're blazing   Ayo ayo It's a party going on the 16th floor But she just lookin for the summer turn up I think she lookin for the summer turn up Ayo ayo It's a party going on the 16th floor I think she lookin for the summer turn up So I'm a show her how the summer turn up"
/songs/128144,Sean Kingston,Beat It,https://genius.com/Sean-kingston-beat-it-lyrics,http://api.genius.com/songs/128144,Back 2 Life,2013-04-15," Kingston Breezy, right Let 'em know Hey  [Chorus: Chris Brown, Sean Kingston, Both] He ain't fly enough, he don't even drive, no That's why you're calling my phone, and won't leave me alone He ain't even fly though, you ain't gotta lie, no That's why you're calling my phone And you're wanting me to get, get, get it Beat, beat, beat it, beat, beat, beat it You wanting me to beat, beat, beat it Beat, beat, beat it, beat, beat, beat it Not a problem, baby Beat, beat, beat it, beat, beat, beat it You wanting me to beat, beat Beat, beat, beat it, beat, beat  [Verse 1: Sean Kingston & Chris Brown] I've been out here looking for a girl like you So already settled down and loyal to your dude You-you-you-you got your eyes on me, and girl, he got his eyes on you My eyes are on this money and it's nothing he can do (About it)   He ain't fly enough, he don't even drive, no (He ain't fly, he don't drive) That's why you're calling my phone, and won't leave me alone (My phone, yeah, yeah) He ain't even fly enough, you ain't gotta lie, no (He ain't fly, no lie) That's why you're calling my phone And you're wanting me to get, get, get it Beat, beat, beat it, beat, beat, beat it (Go) You wanting me to beat, beat, beat it Beat, beat, beat it, beat, beat, beat it (Say what) Not a problem, baby Beat, beat, beat it, beat, beat, beat it You wanting me to beat, beat, beat it (Yeah) Beat, beat, beat it, beat, beat, beat it (Yeah, yeah)  [Verse 2: Chris Brown & Sean Kingston] You've been out here looking for a guy like me And I ain't never settled down, just loyal to my team (Yeah) You got your eyes on me, girl and I got my eyes on green Your nigga, he so bummy, need to a boost his self-esteem   'Cause he ain't fly enough, he don't even drive, no (He ain't fly, don't drive) That's why you're calling my phone, and won't leave me alone (My phone, yeah, yeah) He ain't even fly enough, you ain't gotta lie, no (He ain't fly, girl, please don't lie) That's why you're calling my phone And you're wanting me to get, get, get it Beat, beat, beat it, beat, beat, beat it (Get it, get it) You wanting me to beat, beat, beat it (Me to beat it up) Beat, beat, beat it, beat, beat, beat it (Baby, you want me to) Not a problem, baby Beat, beat, beat it, beat, beat, beat it (Beat it up) You wanting me to beat, beat, beat it (Beat it up) Beat, beat, beat it, beat, beat, beat it   Uh, you say you want a fly nigga Roll something and get high, nigga I'm spending all the moss And if he ain't coming close, it's time that you tell him bye I'll take you up in the sky, we'll be floating Get you wet, like the ocean I'm-I'm-I'ma speed up on it If your pussy was a book, I would read up on it Girl, I'm just trying to get you back to my crib Seen all them Instagram pictures you post So I already know what it is Talk to me now   'Cause he ain't fly enough, he don't even drive, no (He ain't fly, don't dive) That's why you're calling my phone, and won't leave me alone (My phone, yeah, yeah) He ain't even fly enough, you ain't gotta lie, no (He ain't fly, girl, please don't lie) That's why you're calling my phone And you're wanting me to get, get, get it Beat, beat, beat it, beat, beat, beat it (Get it, get it) You wanting me to beat, beat, beat it (Me to beat it up) Beat, beat, beat it, beat, beat, beat it (Baby, you want me to) Not a problem, baby Beat, beat, beat it, beat, beat, beat it (Beat it up) You wanting me to beat, beat, beat it (Beat it up) Beat, beat, beat it, beat, beat, beat it"
/songs/42480,Sean Kingston,Beautiful Girls,https://genius.com/Sean-kingston-beautiful-girls-lyrics,http://api.genius.com/songs/42480,Sean Kingston,2008-02-10,"[Intro: J.R. Rotem] J.R., Sean Kingston   You're way too beautiful, girl That's why it'll never work You'll have me suicidal, suicidal When you say it's over Damn, all these beautiful girls They only wanna do you dirt They'll have you suicidal, suicidal When they say it's over   See it started at the park Used to chill after dark Oh, when you took my heart That's when we fell apart 'Cause we both thought That love lasted forever (lasted forever) They say we're too young To get ourselves sprung Oh, we didn't care We made it very clear And they also said That we couldn't last together (last together)   See it's very defined You're one of a kind But you mash up my mind You haffi get declined Oh lord, my baby is drivin' me crazy   You're way too beautiful, girl That's why it'll never work You'll have me suicidal, suicidal When you say it's over Damn, all these beautiful girls They only wanna do you dirt They'll have you suicidal, suicidal When they say it's over   It was back in '99 Watchin' movies all the time Oh, when I went away for doin' my first crime And I never thought That we was gonna see each other (See each other) And then I came out Mami moved me down south Oh I'm with my girl who I thought was my world It came out to be That she wasn't the girl for me (Girl for me)   See it's very defined You're one of a kind But you mash up my mind You haffi get declined Oh lord, my baby is drivin' me crazy   You're way too beautiful, girl That's why it'll never work You'll have me suicidal, suicidal When you say it's over Damn, all these beautiful girls They only wanna do you dirt They'll have you suicidal, suicidal When they say it's over   Now we're fussin' And now we're fightin' Please tell me why I'm feelin' slighted And I don't know How to make it better (Make it better) You're datin' other guys You're tellin' me lies Oh, I can't believe What I'm seein' with my eyes I'm losin' my mind And I don't think it's clever (Think it's clever)   You're way too beautiful, girl That's why it'll never work You'll have me suicidal, suicidal When you say it's over Damn, all these beautiful girls They only wanna do you dirt They'll have you suicidal, suicidal, suicidal, suicidal"
/songs/774371,Sean Kingston,Bomba,https://genius.com/Sean-kingston-bomba-lyrics,http://api.genius.com/songs/774371,Back 2 Life,2013-09-01,"We gonna party round the world Rude boys and sexy girls We gonna party around the world Party people of the world   Bomba, that's how you win her Let it all go down yeo Bomba, that's how you win her Let it all go down yeo oooh oooh oooh Eo oooh oooh oooh Eyo  Close your eyes, picture a perfect night  The music's loud, the starts around we collide I feel in love but tension in the air It's paradise, paradise   Pop that ting! She swing her waist, I wind from side to side Drop that ting! She burnin up, call the fire truck oooh Drop that ting! Me so turnt up and I'm lost in the riot Let's march tonight, march all night  We gonna party round the world Party people of the world   Bomba, that's how you win her Let it all go down yeo Bomba, that's how you win her Let it all go down yeo oooh oooh oooh Eo oooh oooh oooh Eyo  Fly with me, we can be on our way  From the streets to the beach set your world ablaze The place can move, make the moon shine away 'Cause it's our night in paradise   Pop that ting! She swing her waist, I wind from side to side Drop that ting! She burnin up, call the fire truck oooh Girl rock that ting! Me so turnt up and I'm lost in the riot Let's march tonight, march all night  We gonna party round the world Party people of the world   Bomba, that's how you win her Let it all go down yeo Bomba, that's how you win her Let it all go down yeo oooh oooh oooh Eo oooh oooh oooh Eyo  Move up in it, say I wind on yo dick and mi love I put pon you Boy you a trip but I'm going with your wish 'cause your wish just might of come true Girl don't play, better watch what you say 'cause the fight is right for us too Come a little closer, boy let me show ya exactly what I'm gonna do  We gonna party round the world Party people of the world   Bomba, that's how you win her Let it all go down yeo Bomba, that's how you win her Let it all go down yeo oooh oooh oooh Eo oooh oooh oooh Eyo"
/songs/65729,Sean Kingston,Born To Be Wild,https://genius.com/Sean-kingston-born-to-be-wild-lyrics,http://api.genius.com/songs/65729,Back 2 Life,2011-12-01," Ah! Well this ah di big bod Nicki Minaj (Kingston!) And dem should know! (JR! We back.)   I was just a player in the game of love 'Til she came and turned mi tables around Stacking up mi chips lining up all mi cars Still they all came tumbling down   Man I think I might, think I might make her the one Take them stealin' me up on the run She hits me like a shot gun, I’m done If love is the beat she’s the stead of my drum Fly me away, the kingdom come She got me going, daram-dam-daram-dam   Hey-o, hey-o, I was born to be wild Oh no, oh no, 'til love shot me down I’d rather die a thousand times, than live without your love I'm sayin, hey-o, hey-o, I was born to be wild Oh no, oh no 'til you came around I’d rather die a thousand times, than live without your love Hey-o, hey-o, I was born to be wild  Oooohh I’m blown away, uh whoa, I’m blown away  Love was just a word 'til I bought me a ballah Oh you everything for holding me down I'm tellin all my homies that mi find mi a queen In the jungle so you facing the crowd   Man I think I might, think I might make her the one Take them stealin' me up on the run She hits me like a shot gun, I’m done If love is the beat she’s the stead of my drum Fly me away, the kingdom come She got me going, daram-dam-daram-dam   Hey-o, hey-o, I was born to be wild Oh no, oh no, 'til love shot me down I’d rather die a thousand times, than live without your love I'm sayin, hey-o, hey-o, I was born to be wild Oh no, oh no 'til you came around I’d rather die a thousand times, than live without your love Hey-o, hey-o, I was born to be wild   If you would die, then why would you try And if you reply, a suit and a tie Is what I would buy, then you will be mine Because you and I, we're born to be wild I am Martha; you King Arthur, who knew you would land me? I've been known to eat these rappers, cook 'em like chef Ramsey Mission accomplished, you're my accomplice Cover of Vogue, yeah, I'mma go topless I'mma go bonkers I'mma go crazy I'mma get reckless and have a baby Then hang the baby off of the balcony Teachin him to moon walk, tell him he's Japanese Yeahhh!! (Konichiwa!)   Hey-o, hey-o, I was born to be wild Oh no, oh no, 'til love shot me down I’d rather die a thousand times, than live without your love I'm sayin, hey-o, hey-o, I was born to be wild Oh no, oh no 'til you came around I’d rather die a thousand times, than live without your love Hey-o, hey-o, I was born to be wild"
/songs/1850454,Sean Kingston,Can You Feel It,https://genius.com/Sean-kingston-can-you-feel-it-lyrics,http://api.genius.com/songs/1850454,Sean Kingston,2007-01-01,"(Oh lord, I can feel it) When me look in your eyes, fo' sho' (Can you feel it?) Me haffi make you mine, let's go (I can feel it) If you give me a chance I'll show ya girl (Can you feel it?) Me ah go' have you when the night over (Oh lord)  Dis here ah man me na care nuh 'Cause I want you and need you right here love Ain't no problem, we can share 'Cause you the one (You the one)  I never saw a girl that look so She dance to reggae and calypso She's my type of description Here I come (Here I come)  Baby, baby, you fine as hell And I know I might sound crazy, crazy But I just don't mind if you cheat 'Cause you're not my lady, lady And the situation got us acting shady, shady 'Cause I want you here  (Oh lord, I can feel it) When me look in your eyes, fo' sho' (Can you feel it?) Me haffi make you mine, let's go (I can feel it) If you give me a chance I'll show ya girl (Can you feel it?) Me ah go' have you when the night over (Oh lord)  Me love the way ya look wid ya eyes so Tell ya boyfriend to move, he's a joker The way you dance and move Ya turn me on (Turn me on)  Oh my baby come closer Lemme get a good look at that figure How dem jeans just hold it together Tell me how (Tell me how)  Baby, baby, you fine as hell And I know I might sound crazy, crazy But I just don't mind if you cheat 'Cause you're not my lady, lady And the situation got us acting shady, shady 'Cause I want you here  (Oh lord, I can feel it) When me look in your eyes, fo' sho' (Can you feel it?) Me haffi make you mine, let's go (I can feel it) If you give me a chance I'll show ya girl (Can you feel it?) Me ah go' have you when the night over  Yes, you gotta man shawty But I just don't care shawty Eh, I wanna be with you tonight (You tonight)  Let's leave the club shawty It's a quarter to three shawty Eh, I wanna be with you tonight (You tonight)  Baby, baby, you fine as hell And I know I might sound crazy, crazy But I just don't mind if you cheat 'Cause you're not my lady, lady And the situation got us acting shady, shady 'Cause I want you here  (Oh lord, I can feel it) When me look in your eyes, fo' sho' (Can you feel it?) Me haffi make you mine, let's go (I can feel it) If you give me a chance I'll show ya girl (Can you feel it?) Me ah go' have you when the night over (Oh lord, oh lord, oh lord, oh lord)"
/songs/2970801,Sean Kingston,Chance,https://genius.com/Sean-kingston-chance-lyrics,http://api.genius.com/songs/2970801,Made in Jamaica - EP,2017-01-30," Kingston Fi di gyal dem Worldwide   You, you owe me one Runnin', runnin Run me my, run me my chance You, you owe me one Runnin', runnin Run me my, run me my, oh, chance   I'm waiting on you to get here You say you won't take that long I'm waiting on you to find me You never right here at home Don't give me no 'cuses Just make it up No baby, just come see 'bout me Yeah yeah yeah yeah yeah yeah   You owe me one You owe me one, run that You owe me one You owe me one, run me my chance You owe me one Runnin', runnin Run me my, oh, chance   Gyal you a my favorite girl Yeah, me love yuh bumper, di way it work Yeah, the roadway is good Oh no, no wait, okay, reverse Sit down pon it girl Mmh, fuckin' sexy from birth (smile) Let me take a picture Triple X scene, dont play this in church Daddy woulda say, ""Oh Lord"" Isn't she lovely? Yami Bolo Comin' in from the cold like Bob You will freeze girl please let me hold ya You told me once It used only once Me no care if you take Two thousand man Come through, hold me hand It's a utopia   You owe me one You owe me one, run that You owe me one You owe me one, run me my chance You owe me one Runnin', runnin Run me my, oh, chance   Don't play with my love I need it like I need my money I need it like I need my money I never let you take that from me I gave you the blueprint Don't mess it up No baby, just come see 'bout me Yeah yeah yeah yeah yeah yeah   You owe me one You owe me one, run that You owe me one You owe me one, run me my chance You owe me one Runnin', runnin Run me my, oh, chance"
/songs/774531,Sean Kingston,Change,https://genius.com/Sean-kingston-change-lyrics,http://api.genius.com/songs/774531,Sean Kingston,2008-03-13," Change, Change, Change Change, Change, Change   Oh i wish i had the power, the power to change the world But im just one man trying to do it on my own Oh i wish i had the power, the power to change the world But im just one man trying to do it on my own Can someone help me? (change the world) Can somebody help me? (change the world)   Everyday i saw you there chilling on the corner Puffin on crack and marijuana Because i know how your life is Nobody just be guidin, no Hope to see black people living longer Also less kids without fathers We should all come together Please stop fighting and killing eachother  Its what happens when your living in the street life Its so dark and you dont get sunlight People seeing why you dont get treated right But ima try to change it   Oh i wish i had the power, the power to change the world But im just one man trying to do it on my own Oh i wish i had the power, the power to change the world But im just one man trying to do it on my own Can someone help me? (change the world) Can somebody help me? (change the world)   Many people living off welfare Hoping things get better next year But I'm covered in tears So many sick without health care Too many innocent people dyin' And I don't know why You gotta keep your eyes open even when your rollin' As days go by   Its what happens when your living in the street life Its so dark and you dont get sunlight People seeing why you dont get treated right But ima try to change it   Oh i wish i had the power, the power to change the world But im just one man trying to do it on my own Oh i wish i had the power, the power to change the world But im just one man trying to do it on my own   Somebody change the world We've got little boys and little girls Growing up on this sinful earth Oh whats happening? I dont know, but please tell me We've got all these criminals and discretes Killin people for no reason I dont know why   Oh i wish i had the power, the power to change the world But im just one man trying to do it on my own Oh i wish i had the power, the power to change the world But im just one man trying to do it on my own Can someone help me? (change, change, change) Can somebody help me? (change, change, change)"
/songs/42482,Sean Kingston,Colors,https://genius.com/Sean-kingston-colors-lyrics,http://api.genius.com/songs/42482,You Know What It Is Vol 4 - Murda Game Chronicles,2007-04-08," (Rick Ross) (*The Game) Yah mon!!! JR!!! Sean Kingston yuh know (Ross!) (*And the doctor's advocate) Beluga Heights! (*Let's go)   (The Game) Miami have colors, colors, colors, colors, colors (Californ-i-a) Jamaica have colors, colors, colors, colors, colors (All the way to Dade County) My jewels have colors, colors, colors, colors, colors My people die over colors, colors, colors, colors, colors   Check it! I'm the Bastard Of The Party, shit start off off coke and bacardi Bandanas tied around the dubs on the Ferarri I'm the bloods to what Pac was to thugs What Snoop is to crips I'm the California king Let it be known, I reign Supreme like Kenneth McGriff Reincarnated put me in Queens and give me a strip A couple red tops while the feds watchin Infiltrate get a head shot Compton is the city of God My block originators I said blood one on a Dr. Dre track Now the world is affiliated Some authentic some niggas Milli Vanilli bangers Some get smoked others smoke chronic out of philly papers Game time is really Jacob watches got them silly faces Add red rubies to the dial they 'gon really hate us I inherited gang bangin from my mother And what I didn't get from her I picked up watchin colors   Colors, colors, colors, colors, colors Jamaica have colors, colors, colors, colors, colors My jewels have colors, colors, colors, colors, colors My people die over colors, colors, colors, colors, colors   I'm from a world of different colors different faces Different slang different races different gangs different places Air Ones different laces Different culture different livin different thugs different ages The sky's blue the money's green the weed is purple The ice is white you try me I'm a have to hurt you Kingston boy I rep like no other Black, yellow and green I bleed the Jamaican colors The grill is cold the wheels is gold the chrome is silver Nickel plated if it's blazin than the chrome will kill ya Certain dudes get one in the head Certain places you wear certain colors you dead Fi yuh gang bang yuh diss mi yuh a dead man Cau gunshot a be like drum pan weh mi come from And it's the same old story We don't give a damn about your guts and glory   Miami have colors, colors, colors, colors, colors Jamaica have colors, colors, colors, colors, colors My jewels have colors, colors, colors, colors, colors My people die over colors, colors, colors, colors, colors   Painted the car blue, that's for the sweat and blood In my red tennis shoes fool cause the pain is love I'm bout my green (Green) So my sky's blue (Blue) Purple and the strawberry philly up in my five coupe Yeah I'm in the yellow boss, they in the white gold You might fold I'm platinum go ask them white hoes I got black hoes slammin cadillac do's Gettin cheese out a rat trap like I'm that close Whippin keys in the back that's how I stack dough Waitin on that jack boys get him in his afro These assholes must be gone on that crack smoke Try to cross the boss well let's front 'em what they ask for Uh! I'm in the thangs, ten tennis chains That's how I present it to ya you think I got 'em ten a thang He green as spinach just another lame middle man Standin in the street wavin my flag in the middle lane   Colors, colors, colors, colors, colors Jamaica have colors, colors, colors, colors, colors My jewels have colors, colors, colors, colors, colors My people die over colors, colors, colors, colors, colors"
/songs/795267,Sean Kingston,Don't Let Me Go,https://genius.com/Sean-kingston-dont-let-me-go-lyrics,http://api.genius.com/songs/795267,King of Kingz,None,"Remember those days when we use to be close Life ain't the same how we use to be known Out the window... You letting everything go I say my whole world use to be about you Now it's kinda strange living life without you I can't even think now... We ain't anything now Yeah remember them days I was waiting in the rain Accepted all my fairs and accepted all my pain We were so close don't let it go nooo Don't let me go Don't let me go Don't let me go, Don't let me go Don't let me go Don't let me go Don't let me go Don't let me go I keep reminiscing how you use to be mine No other women it was you on my mind Can't replace it All I can do is face it See why would u leave me You left me to be free I need you but we don't speak and I hardly see you We should work it out why you playing these games You loved me back then but now everything changed We were so close Don't let it go no Don't let me go Don't let me go Don't let me go, Don't let me go Don't let me go Don't let me go Don't let me go Datpiff dot com"
/songs/396037,Sean Kingston,Drummer Boy,https://genius.com/Sean-kingston-drummer-boy-lyrics,http://api.genius.com/songs/396037,Sean Kingston,2008-03-13,"Bahm, bahm, bahm, bahm, bahm I can hear 'em say Bahm, bahm, bahm, bahm, bahm All my soldiers say  Bahm, bahm, bahm, bahm, bahm If you wit me go Bahm, bahm, bahm, bahm, bahm Yeah, yeah, yeah, yeah  Can we make it to de top and den the world will see we shine woah shine woah And then the world we see will look at you jump on that grind woah, grind woah  Bahm, bahm, bahm, bahm, bahm I can hear 'em say Bahm, bahm, bahm, bahm, bahm All my soldiers say  Bahm, bahm, bahm, bahm, bahm If you wit me go Bahm, bahm, bahm, bahm, bahm Yeah, yeah, yeah, yeah  Say it I'm marching with the army of kids All my soldiers in the streets raise your arms like this Miss America we are, we here for the crown If you not digging the movement, kick ground  I do one for the teams who crowding in each town And I'mma hold it down, they do it for me now The beat, it's a drummer boy, hot like the summer boy In the streets I ain't eat for weeks, I got hunger boy  I can feel it in my pain hear it in my voice I'm the leader of the ghetto youse girls and boys Kingston, Jamaica yeah they know my back Where my jack Right, yeah we move like that  Can we make it to de top and den the world will see we shine woah shine woah And then the world we see will look at you jump on that grind woah, grind woah Bahm bahm bahm bahm bahm I can hear 'em say Bahm bahm bahm bahm bahm All my soldiers say Bahm bahm bahm bahm bahm If you wit me go (Bahm bahm bahm bahm bahm Yeah yeah yeah yeah)  Sing!  Then the world if we make it they wanna bring us down But we here if we take it, yeah it's ours now! Ochiree is on pay Put my killers on play Kingston, the last name and that's what yo boys say Yeah, we kickin' doors down, who want what? Yeah, we ready fo war now, we scrapped up!  World boys shot us like pigs in fences This ain't a movie and I ain't pretendin' Try to tell 'em but they can't comprehend it No more bahm bahm bahm bahm Yeah, it's all authentic! March wit me let me show you the passage At the end of the tunnel where the lights is flashin' Hey!  Can we make it to de top and den the world will see we shine woah shine woah And then the world we see will look at you jump on that grind woah, grind woah Bahm bahm bahm bahm bahm I can hear 'em say Bahm bahm bahm bahm bahm All my soldiers say Bahm bahm bahm bahm bahm If you wit me go (Bahm bahm bahm bahm bahm Yeah yeah yeah yeah)  Get up and Stand up and Fight for yo rights! Make the most so Them can't take the light Get up and Stand up and Fight for yo rights! Two soldiers are my chore tonight. x2  Can we make it to de top and den the world will see we shine woah shine woah And then the world we see will look at you jump on that grind woah, grind woah Bahm bahm bahm bahm bahm I can hear 'em say Bahm bahm bahm bahm bahm All my soldiers say Bahm bahm bahm bahm bahm If you wit me go (Bahm bahm bahm bahm bahm Yeah yeah yeah yeah)  Sing!"
/songs/775503,Sean Kingston,Dry Your Eyes,https://genius.com/Sean-kingston-dry-your-eyes-lyrics,http://api.genius.com/songs/775503,Sean Kingston,2008-03-13,"Mommy just dry your eyes, mommy dont you cry I know we've been through hard times and the struggles And I just wanna tell you I love you   Only 15 put under pressure First month 27th day They took away my mother I was left to be raised by my brother Tought to be a hustla Mommy gone gotta stick together Stay strong through the stormy weather Became a top seller, look how we stackin this chedder When you jump mommy life would be better Just like Rihanna you can stand under my umbrella   You know how to make me better Even when we lose our chedder Even through the stormy weather You hold me down   Mommy just dry your eyes, mommy dont you cry I know we've been through hard times and the struggles And I just wanna tell you I love you  17 got a little money Feelin kinda blue Cause it's lookin you doin 10 to 20 Ridin bein broke ain't funny It's all bein hungry But ima keep hustlin for my mommy Until I get rich like puffy Never had a blamby You said I can be all I can be Some day Ima buy you miami So when I win my Grammy You commin cause I do this for my family   You know how to make me better Even when we lose our chedder Even through the stormy weather You hold me down   Mommy just dry your eyes, mommy dont you cry I know we've been through hard times and the struggles And I just wanna tell you I love you  17 now my mommys gone Can't wait till she come back home Missin her face like dust till dawn,while she went away Never think it be this long I feel like cryin while I'm writin this song Can't wait till that day come on When she leave the place   Hey whats up mom,how you doin? Its been about 2 years since I saw your face I miss you like crazy Know the money orders the pre paid costs Bein on my own No Knee Kurt Canino But I love you though This for you   You know how to make me better Even when we lose our chedder Even through the stormy weather You hold me down   Mommy just dry your eyes, mommy dont you cry I know we've been through hard times and the struggles And I just wanna tell you I love you "
