api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/4432,Snoop Dogg,10 Lil' Crips,https://genius.com/Snoop-dogg-10-lil-crips-lyrics,http://api.genius.com/songs/4432,Tha Blue Carpet Treatment,2006-11-21," Ten little Crip niggas runnin outside All from the turf and they bangin out lives Far from a scrub cuzz from the Eastside Where they don't die they just multiply So.. don't give them niggas a reason To turn it into spray season Don't give them niggas a reason Because they'll turn it into Crip season   The gangsta's back, the bank is fat The gangsta MAC, in a gangsta 'llac Hmm.. fools be like, ""Break off some cheese"" Friends and enemies, aww nigga please Fuck, you thought who pumped you up Stop, you stuck too much, pop, drop, you plucked It's all similar to gettin laaaid On ya back when the motherfuckin K spraaays I grind for my shine about my bidness Lunatic on the shit and I get ignit (ignit) Gonna proceed to squeeze with ease One of these, they can't believe how I leave 'em Look into a mind of a nigga that's crazy Seventeen years old and still a baby Gangstas real, they pop the pill You cap back, young motherfucker it's like that   Wake up in the morning lookin funny and shit Fuck a honey dip.. cause I got money to get Ain't no books, ain't no help, ain't no role to this Stay focused young homey, that's the code to this Keep a strap in ya pocket when you trip through the towns There's a million motherfuckers tryna get you down A lot of pain in this game, cocaine is the thang If ya money right then you might get you a chain But if ya money is low, there's only one way to go Jack a rapper at a local rap radio show So mean, so green, crip back to the block Then brag to the homies, show 'em what you got It's a gangsta jack (gangsta jack), in gangsta black (black) And they thought we just gangsta rapped Yeah nigga, we take your snaps Your shooby dooby, hooroobies, and your Scooby snacks (It's like that?) It's like that!   It's a whole lot of fillin when you on the Eastside On the Eastside, nigga we ride And it's a whole lot of dealin when you on the Eastside On the Eastside, nigga we ride And it's a whole lot of stealin when you on the Eastside On the Eastside, nigga we ride And it's a whole lot of killin when you on the Eastside Eastside, yeah nigga we ride     They say it's crazy out here, it ain't no more fun I can't walk down the street without my gun, gun"
/songs/43014,Snoop Dogg,1800,https://genius.com/Snoop-dogg-1800-lyrics,http://api.genius.com/songs/43014,Malice N Wonderland,2009-12-08," + (Lil Jon) Yeah! Yhey ain't ready for this one nephew (NAH!) Lil jon (HEY!) Snoop Dogg (UH-HUH!) Turn this shit up nigga! (LET'S GO!)   1800, I'm blunted, fa cert' We get on you hoes, everybody here turnt 1800, I'm blunted, fa cert' We get on you hoes, everybody here turnt Well nigga I'm burnt, lil' mama what it do? Yeah nigga I'm burnt, lil' mama what it do? Shorty you burnt, lil' mama what it do? If a nigga make a move, lil' mama comin to   1800, I'm blunted, fa cert' Snoop D-O-dub', pocket full of dubs All my niggas dubs, rollin on candy Feelin like meh, square bitches can't stand me Hey! My niggas turnt up, I'm a beast bitch West coast, I'm on the East bitch When I'm in the place, the hoes lose it They say they love me, and the music The spot jerkin, they be gettin low She wanna roll, that's what I'm here fo' I threw a grand up, and watch it come down That ain't for you bitch, I like to hear the sound Now put your hands up, I wanna see you work She blew a kiss, I blew the purp' I'm geeked up girl, I'm on my tip too My niggas all on, and I'mma get you   1800, I'm blunted, fa cert' Snoop D-O-dub', I'm higher than a mug Cameras goin off all the chickens want hugs And when I'm on the bill I fa'sho' fill the club E'rybody know me, nigga I'm a star Long Beach Laker, see the faces in the car? Pimpin what it do, she poppin like a pill 1800 then my hand made it spill Your party on E, if Snoopy don't come You smoke about a zone, I smoke about a drum Burnt in the club, my hands on her thigh A Eastside nigga put his hood in the sky She like what I say, I like what she do Turn that ass around and drop it like a fool I'm geeked up girl, I'm on my tip too The homies all on, but I'mma get you   1800, I'm blunted, fa cert' Snoop D-O-dub', turn that shit up I don't buy bub, tequila got me goin Burnt in the club, and e'rybody known Nigga I'm a boss, I do what I do Millionaire status, nigga who is you? My locs on bright, baby look at me She like how I talk, I get it from the P Lil Jon did it, the party goin dumb Put it in the air, listen to the drum Snoop Dogg said it, we gettin turnt up Swishers all around, gettin burnt up Look at how I do, I grab her by the waist Whisper in her ear, then I touch her on the face I'm geeked up girl, I'm on my tip too E'rybody on, but I'mma get you (LET'S GO!)   OA-KAYYY!"
/songs/1947733,Snoop Dogg,1st We Blaze It Up,https://genius.com/Snoop-dogg-1st-we-blaze-it-up-lyrics,http://api.genius.com/songs/1947733,Stoner's EP,2012-04-16,"I have been listening to the radio lately A lot of these capers making these rap love songs I got one I wanna do, my nigga huh huh, yeah Now my nigga Joseph on the track I'm gonna start mine off like bitch dig this One move, two look, three little breezes All in line, fine, trying hit my breezy You ain't the dog, they dont believe me They want me to talk that talk, Im like fear sissy Now you know its me But you drink down, grab your coats and roll with me We are going to the palace where I lay my head Said the ten room house with the make bed You are really rolling with a player Who found his nails and takes care of his hair But enough about me, let us talk about you all What do you all prefer? The cats or dogs? Jeans or skirts? Music or movies? Tom and Jerry? Shaggy or Scooby? Groovy, you can use me and abuse me And we can do the hoochy coochy in my Jacuzzi First we blaze it up When we do, it stays. What is up? Said you can't get enough The one we dont do act like First we blaze it up When we do, it stays. What is up? You said you can't get enough The one we dont do act like After the party, yeah yeah You know I felt like blowing to let you know how I was feeling, let me get back to flowin Im goinig on a little journey Would you like to come and join me? Cause I got a lot of room for your time to consume for ya Man, this is really some ill shit A pimp ass nigga like myself to deal with Baby girl, can you feel this? The niggers is fake and Snoop Dogg is the realest You with me its like wee I get it how I live and I make it how I want it Somebody told me a long time ago If you got a better flow so I guess I am gonna flow So proceed with speed So you can have what you want Just name what you need First we blaze it up When we do, it stays. What up? Said you can't get enough The one we dont do act like First we blaze it up When we do, it stays. What is up? You said you can't get enough The one we dont do act like After the party, yeah yeah Are you in the mood for some Marvin Gay Or you just wanna cruise through LA Let me kiss you on your belly And take a few flicks of your slay I know you like it when I turn into a freak avoid And you momma thinking I was just your home boy You know Im down with the D-low I hope your baby daddy dont try to pull a D-bow Wait notice, everywhere that we go I know Im just bullshitting girl, you get peoples You got to have some joy and some laughter To each and every relationships chapter Now, in the beginning you will feel the rapture Its easy to capture, let me know what youre after 1st we blaze it up When we do, it stays. What up? Said you can't get enough The one we dont do act like First we blaze it up When we do, it stays. What up? You said you can't get enough The one we dont do act like After the party, yeah yeah"
/songs/43106,Snoop Dogg,2001,https://genius.com/Snoop-dogg-2001-lyrics,http://api.genius.com/songs/43106,Tha Doggfather,1996-11-12," All I wanna do is make the whole crowd bounce y'all... All I wanna do is make the whole crowd bounce y'all...   Instructions to this game, it's instinct mixed with knowledge I'm a player in the game and I know not from college Eyes open, focus, scoping out the scene Watch the gangsta haters close 'cause they worse than dope fiends I hope things get better for you Cos I'm gon' make things get better for me And keep the Doggystyle hottest thing out the LB The L-L-G wit DPG by the sea We ride at high tide, the East is my side Let me tell you 'long as my voice is recordable That plan you got ain't gonna work you better audible Oh yes I'm fresh 'til i expire from existence With persistence, I proceed Supplying you with what you need, no room for greed Better go around and when it come to you Don't bite off more than you can chew Respect the game and the game will respect you back Game is life, life is struggle Without the coastal juggle So if you drop I test that, fragile as a crystal (Will you get mad and go pull out your pistol?) Or will you be a man and pick up all the pieces And put it back together and remain tougher than leather As for me I'm tryin to keep it real Dogg All I wanna do is make the whole crowd bounce y'all   Just keep it real Dogg All I wanna do is make the whole crowd bounce y'all Just keep it real Dogg All I wanna do is make the whole crowd bounce y'all Just keep it real Dogg All I wanna do is make the whole crowd bounce y'all   T Lee, hold 'em, shake 'em, roll Fly G boys and all you hoodrat girls Pound puts it down all around the world The best pick out the litter, LB young nigga I'll eat your soul out my dog bowl, I bark when it get dark Bitches in heat we tear the beat up, what? On the microphone I bury the bone Always, strays try to follow me home Uhh, to get the pooper scooper, why? They droppin' doo-doo I'm steppin' on shit, lift up the bottom of my shoe See I'm smashin' full-breaded wit no leash When I mob, make marks across the street See I'm vicious like hell, got 'em waggin they tail For the bow-wow LBC style Hit you like the Dogg bopper fever, I fetch paper On the receiver, go get it like a retriever I want 'em close enough so I can lock on 'em Wit the mizzic, see I let the Doggz loose on 'em Check this out here man, I lick 'em, sick 'em Man's best friend, I hit you for ten, uhh Fleas can't seize my pack, what, what's my name? Major trick we're hittin' licks like the Doberman Gang Y'done trip and try to fuck me up ever since a young puppy Run a cat up a tree, nigga it's DPG   Just keep it real Dogg All I wanna do is make the whole crowd bounce y'all Just keep it real Dogg All I wanna do is make the whole crowd bounce y'all Just keep it real Dogg All I wanna do is make the whole crowd bounce y'all   They say once upon a time in the land of the loccs Where it's all about dope and pistol smoke I packs me a heavy calibre .38 revolver Weed out, DP'd out, GC'd out Oh, did you not know Snoop wit the .44 knockin at'cha door We the passion for smashin and mashin the masses Knockin' niggas like Cassius, Dogg Pound Gangsta assassin It's like in a action Cos for the cash in my own zone we known for blastin Bustin, no need for discussion We don't discuss, we stay close as 10 inches then bust Close enough to touch then rush Clean and radical and get clutch The Dogg is the Don like killer Corleone Free the D-O-double G with the solid gold bone   Just keep it real Dogg All I wanna do is make the whole crowd bounce y'all Just keep it real Dogg All I wanna do is make the whole crowd bounce y'all Just keep it real Dogg All I wanna do is make the whole crowd bounce y'all"
/songs/42981,Snoop Dogg,20 Dollars to My Name,https://genius.com/Snoop-dogg-20-dollars-to-my-name-lyrics,http://api.genius.com/songs/42981,"Da Game is to be Sold, Not to be Told",1998-08-04," Damn a nigga only got 20 dollars shit Check this out   Nigga 20 dollars to my name Deep in this dice game I dust off my knees I fucked off two g's Nothing left to do, but buy some shells for my Glock Why? so I can rob every known dope spot I'm having hard times, grit, and grind Shit I'm trying to get mine Ain't nothing to lose plus I'm living on the frontline It's a cold twist the way that shit goes Gotta keep your hands on some motherfuckin' fetty yo And keep a down bitch for when your money run out And get you gun out And shoot'em up 'til they come out I'm blowing in the wind It feels good my friend Silkk brought the Gin & Juice and my nigga chipped in I'm amongst killers with a dub in my pocket loc A drug dealer at the same time I love to smoke But if I wasn't in this rap game Would a nigga Snoop Dogg have 20 dollars to my name   Now 20 dollars to my name in this game of drugs And the only thing we now is gan bangers and thugs If my yale don't sell how shall we proceed Because we can't slang the urb Cause we smoke too much weed Now 20 dollars to my name in this game of drugs And the only thing we now is gan bangers and thugs If my yale don't sell how shall we proceed Because we can't slang the urb Cause we smoke too much weed   I got 19 dollars and 50 cents up in my pocket with what? With this automatic rocket Gotta have it to pop it, unlock it, and take me up a hostage Let'em now this itch of my finger is worser than jock itch Extended Glock clips allow me to cop chips Erasing cops tips and sisters that pop lip, stop this Cold blooded killing for [?] this Soda couldn't rock this Chop a shelf when I drop this My [?] can't chop this The hunger that I hold Setting here wondering should I take it from his soul See this here with a hole Allowed that silencer to blow And took motherfuckin' lives for less than twenty before   Now with this last 20 dollars I might buy me some douja Because that weed from Magnolia still have a nigga sober I seen my nigga nigga from way way back Me and him used to jack and rock a rental Cadillac He sees my nick, he sees my grill, he says I'm flossin He sees my wrist, he says damn nigga you flossin And I'm bossin, and tossin' 'em up at the same time So if you thinking about with me it'll be your death in ??? And why put your life in danger over 20 dollars, that's all I got And my weed habit is so close to smoking powder it ain't worth being Shot   Now 20 dollars to my name in this game of drugs And the only thing we now is gan bangers and thugs If my yale don't sell how shall we proceed Because we can't slang the urb Cause we smoke too much weed Now 20 dollars to my name in this game of drugs And the only thing we now is gan bangers and thugs If my yale don't sell how shall we proceed Because we can't slang the urb Cause we smoke too much weed  [Verse 4: Silkk the Shocker] Now look, I'm fresh up out of jail it feels good to be on the outside I had 120 dollars, but I spent a 100 on my ride Now the only thing I got left is 20 dollars to my name Nigga want front me some motherfuckin' caine I told him weed charge it 2 the game Nigga now now I gotta be on some murder one shit Some slum shit Some out the projects dumb shit Some weed and blunt shit Some I don't give a fuck shit Where it from shit Some penitentiary solitary Confinement never see no motherfuckin' sun shit Now I got 20 dollars to my motherfuckin' name, and I gotta get more So I tell nigga hit the floor I'm about to pull a motherfuckin' kick Door Now whether it's rapping, or jacking, kidnapping, or gun totting Y'all call me down [?] do get scared I ain't flipped 'til my guns smoking It be a hustle just to eat And it be hard on these streets Gotta get my hustle On Got 20 dollars y'all now that shit don't last long picture this  "
/songs/43139,Snoop Dogg,20 Minutes,https://genius.com/Snoop-dogg-20-minutes-lyrics,http://api.genius.com/songs/43139,No Limit Top Dogg,1999-05-11," Hey yo Goldie Loc let me hear some dog (puff) We gotta go some for the hood that's on the real Yeah, this is a public service anouncement from the mathafuckin LBC Yeah, check this out cuzz, uhm    Hey yo Goldie Loc Let's do this for the homies in the hood The dub, waddup No disrespect to them other hoods But this is where I'm from 3-2-1 I can't cum No other way No way, no how You know the bow wow do it Long Beach style To the fullest young niggero With my steal I cap home feeling like a O No he didn't, yes he did Bank your chin in her crib This ain't no fed But now he live On the other side where the cowboys at Where the brown blast black And the black blast right back That's a fact in the city where I'm from You betta get ready Caus here they kitty come cum Nigga we get dumb on your bitchass I ain't trippin caus I'm from the oldschool And I never hesitate to blast See, when your in it You gotta be in it to win it Holla back nigga in 20 minutes   Gimme the mic and watch me brake these niggas How they figga Bustas get shot tryin to plot Blew the dice hit them twice hit a seven Now Snoop watch me trip when I back your eleven Mix for licks to double my chips I'm bangin so much I got cheerleaders on the dick Now back up and watch me stack up my dirt I sting like bees and when you broke i bet it hurt Watch me strike matches no need for no practice Fuck around and get straight stomped with the package Dogg keep the beat bangin I'm wit the homies feel If me and you left here for hangin I feel like givin it up Caus I'm a young nigga livin it up Me and Snoop ain't give a fuck 20 minutes to get your C-walk on Before I get my ride on I blew about a zone Check this out dog, you don't know me shit You know I respresent the eastside Long Beach 20 crip nigga   Two's, O's, fo's and hoes Nigga only fuckin with the real 2-0's 20 minutes, 20 minutes Holla at me, 20 minutes  Deuce, fo's, hoes and clothes Nigga only fuckin with the real 2-0's 20 minutes, 20 minutes Holla at me, 20 minutes   We ride Sliding of to the eastside Hoo-ride, to homicide Rollin in the G-ride So what yall bustas gon'do When the pimps, bangers and hustlaz smash on you One for the money And two for the shizzo I'm lil Goldie Loc that gives a fuck about a hizzo Three to the fizzo And five to the sizzix My nigga snoop dogg gives a fuck about a bi-zitch Yeah you heard it from me, mmm Authograve that ass Nigga, L-A-L-G Little Goldie Loc Goldie locks the same thang Smashing for the hood caus I wanted to gangbang Will I change Hell nah nigga Quick to jack that ass to make my bank roll bigga   Trip I shot em down I shot em , shot em down And if the too damn big Then I cut em , cut em down Nigga where the pound Hell yeah I'm from the pound Nigga how that sound Dogg pound bounce I got homies from the dub that bang everyday I got homies from the hood that do the same all day I keep my feet real close to the street And keep my hands real close to the heat I'm not descreet when it comes to the dogg I'm a real O like eight-ball We C no explainin , gangbangin, Crackslangin, entertain us Sippin silver satin out the container Askin which one of yall niggas wanna scrap We can do it G-style Mathafucker strap Just like I tought nigga You got caught Ol'bitchass nigga droppin all that soul You see, first thangs first when your a grown man You gotta get up, get out and get your own man See, I don't owe you and you don't owe me It's 1999 I'm the OG Respect your G'z is what my homies told me So I show real love to the dubs   (Outro) 20 minutes, 20 minutes cuzz Yeah, nigga 20 minutes cuzz And like I said Deuce, fo's, hoes and shows Nigga only fuckin with the real 2-0's Yeah 20 minutes Holla at me nigga like I said Two's, fo's, hoes and shows Nigga only fuckin with the real 2-0's 20 minutes, 20 minutes Holla at me cuzz 20 minutes Roll, roll, roll your dubs Eastside R-T-C Goldie Loc & Doggy Dogg Nigga this D-P-G"
/songs/43060,Snoop Dogg,21 Jumpstreet,https://genius.com/Snoop-dogg-21-jumpstreet-lyrics,http://api.genius.com/songs/43060,Murder Was the Case - The Soundtrack ,1994-10-15," Smoking a fat sack, right here on the station that plays Only platinum hits, W Ballz My dicks in your ear, caller you wanna say what? Hello? Hello? Caller? Oh the hell with it This is something new for the underground In the L.B... See you when I get back Dedicated to the East Side, Two One Street My favorite and your favorite Snoop Froggy Dogg and somebody new Tha Dogg Pound Check it out right here on the station that plays only platinum hits 187.4 on your FM dial We be taking caller number 21 for those Janet Jackson tickets So call in, 310-D.A.P.O.U.N.D That's 310-P.O.U.N.D. bitch That's Da Pound   Hear ye, hear ye, come one come all It's the first annual G-nic and all my Doggs Are invited, so go on and light it Cause it's the first time in a long time (right) Reminiscing about the Fresh Fest back in '85 When the dubs and the San Dieg's used to hoo ride On motherfuckers like it was the thing to do Eighty-five, eighty-fo', eight-three, and year eighty-two (eighty-two) You know what the fuck I'm talking about After party on the lake at the big homie's house And bet nobody bring a motherfucking gun Cause everybody in the house's from two-one...   Twenty-first street, burst street, where it all started And you know East Side, Long Beach, the hardest Niggas coming realer than The Real McCoy So step with your rap and we bring the noise It's the gang of fly bitches, homiez on the switches Dice in the back if ya wanna get your riches No snitches allowed inside the crowd Cause this is the G thang, East Side L.B.C. brang Finna have some fun represent two-one And bet nobody bring a mothafucking gun and a...   Yeah, King Park was the location And to be a G, that was my destination (We were) lookin' up to niggas coming up before me And L.B.C. into my East Side homies..... (It's like)   Nobody can see you, but you (yeah, the East Side's perfect) Nobody can see you, but you (ha ha, now that's worth it) Nobody can see you, but you (hell yeah, the East Side's perfect) Nobody can see you, but you (ha ha, yeah, now that's worth it)  Tatataratatatara...   If ya bring a strap, then ya have to trip (so if you're on a mission nigga, go on and dip) We got meat to eat, (freaks to meet) And chronic we can smoke on, (and forever get a loc on) Strolling through the Park one day Puffing on a fat ass J, with my homie named Tray Deee tryin' to see if we could put this LBC thing Back together like it was supposed to see   Cause ya know I'm down with ya, to make 'em get the picture And if I have to sit ya, down then I spit ya Game from the heart, I came from the start See I was regulating, when Cragars was the Daytons   Nigga let me interact with my black croaker sacks* And a gray golf hat tilted to the back (what's up?) Ditchin' Sunday school to get a pack of Now and Laters While I'm rolling with the Steelers and killin' with the raiders   And when we bang with the Saints then we ain't no joke Come around from outta bounds and we goes for broke   Now we're breaking 'em up (hmm hmm), shaking em up (yeah) And just for a second we're waking 'em up (continue) Giving up game on this tight ass beat With a small dedication, to two-one street"
/songs/3521016,Snoop Dogg,220,https://genius.com/Snoop-dogg-220-lyrics,http://api.genius.com/songs/3521016,220 - EP,2018-02-20," 220 get dressed up, jumped on a boat Fuck with my locs Breakin' the bread   220 on the boat, here's a toast to my folks It's a holiday, Crip, I'ma fuck with my locs Get dressed, so fresh, big S on my chest Now I'm feelin' work, yellow Steeler shirt 501's with the Stacy Adams tips Picture a room full of Long Beach 20 Crips Doin' this, who in this? You in this? We in this bitch Wish the dead homeboys was seein' this shit Neither, none, best 20 minutes or less It's a C-Walk contest, who do it the best? Right your set with the feet, skip along to the beat Represent your shit and bang out your street For real though, king of the hill though Run up on a nigga, you get popped like a pill yo See I'm a dub motherfucker, and all y'all know So if you're with it, let's get it 432-O, come on   (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin'   I got my 'do dirt' locs on, you better leave them gloves alone Popped up on them blocks, [?] 15s rumblin', carvin' up the concrete I go back like G-Man and SA double G, yeah Doggie Dogg scooped a nigga up a long time ago And said, ""We gotta do this for the big 2-O"", you know Let's slap some dominos, and crack some bitches, cuz Catch me yellin' out (what?) Trick, I been the dub This a hood day, nigga what a good day Where them homies , hit him and tell him let's parlae Never outta [?] with  I keep the line open Meditatin', contemplatin' the way we grind on em' Big beefin' always told me always keep my crippin' tight This one goes out to goats, cuh, 20 crip for life Never ever will I switch up My colors black and gold, all the homies throw your dubs up   (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin'   I'm shootin' like I just started But I'ma walk up in this motherfucker cold-hearted I know you niggas don't see me as much as you'd like 'Cause I'm out gettin' money when I'm rockin' the mic I'm a long way from Locus Ave, my locas have Been there with me through the good and bad Know look, let me reminisce, and twist a fuckin' blunt to spark I got put on, '84 at King Park Shottin' hoops with Charlie Mo and [?] With the bumblebees, real east-side G's Then go to [?] and ball out for any black ass And wait for all the bitches at Poly to get outta class I'm poppin' at 'em from a distant, but I'm persistent That's some 20 crip shit See I'm a dub motherfucker and all y'all know So if you're with it, let's get it 432-O, come on   (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin'   What up cuh Happy 220 day to you my nigga Yeah cuh I'm just shittin' out here my nigga, know what I'm sayin'? Drinkin' on this Miller Genuine Draft Feelin' real good, ye know I'm sayin'? It's hood day today cuh Yeah, what's y'all gon' do cuh? Shit, my nigga Shit, the homies gettin' together cuh We gon' fuck with the homies two times then Alright I'll be dressed in 'round 20 mins then cuh Let me know the location Ra, ra, rollin', rollin' In a minute cuh (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin' (Me and my, me and my niggas) (Me and my, me and my, me and my niggas) We rollin'"
/songs/3527980,Snoop Dogg,220 EP Intro,https://genius.com/Snoop-dogg-220-ep-intro-lyrics,http://api.genius.com/songs/3527980,220 - EP,2018-02-20," Ayo Tim Spielberg Let's make a muthafuckin' movie You know man I've been doin' this shit for like 25, 26 years And one thing about the game The game don't change Just the playas So what I wanna do right now I wanna shoot a shoutout To all the famous playas, globally Ya dig? If youse a famous playa, this is for you 220, ya dig? A lil' somethin' to ride to My nigga Tim Spielberg on the track This is a EP From your favorite rapper's rapper Bigg Snoop Dogg And I know ya gonna dig this Hahaha, yeah  Oh yeah, I can't forget about the ladies All the ladies out there that's been down with the Dogg for so long I love you too baby Oh ya momma love me too? Wassup momma? Mmm-mmm, I see where ya get it from Yeah So what we gon' do right here We gon' slow it down just a tad bit And get this EP kicked off 220 from Bigg Snoop Dogg Understand me? Understood"
/songs/839,Snoop Dogg,2 Minute Warning,https://genius.com/Snoop-dogg-2-minute-warning-lyrics,http://api.genius.com/songs/839,Malice N Wonderland,2009-12-08," Sometimes I feel lost like a runaway, read over the dire Reap while I stay gettin Richard like Pryor Need to put the gun away cause I got priors It's hard to stay rollin when the world full of riders Bullet tip on fire, flyin down sunset Motivated to win, like I ain't won yet Think shit over? Hell naw I ain't done yet I L-B-see y'all prayin that a G fall Tonight it's goin down like free fall Chevy bouncin up and down like a fuckin see-saw Trippin off hate, no Hee-Haw All blacks locs on the loc actin like I don't see y'all Doing that shit to demean Dogg But when I bring it to you, you be like ""What you mean Dogg?"" Then we go back and forth, like it's ping-pong Knowin I should just ring ya bell, ding dong! But that's one thing about this shit partner Every move is so watched by these rich boxers So why should I lose all my rich sponsors? I'm gone then you suddenly hip-hoppin? Sheeit, sip the gin then I'm in the wind Pop a beam like a M&M So strong yet a nigga thin Rappers stay sayin Slim so Shady but ain't talkin Eminem So fuck you, him, and him I was gangbangin befo' a nigga entered in No facade, I went from the yard To a three-car garage to, instant menage it's Vintage, relentless, I mean this, I promise No Suge, No Dre, I'da did this regardless And thats what I'm supposed to think Flinch at me like I'm supposed to blink Motherfucker this Crip still, hard to swallow like a big pill Pushin 40's still a big deal Ponytail still swangin, hair still braided Laker to a Clipper I won't be faded Nigga! So buzz on that shit Backflip back to plaque shit Blue red white to black shit, but for the green I send a whole motherfuckin team to clap shit React to mack shit, problem, terrorist Fuck this rap shit!   Shots fired Suspect down Request EMT immediately"
