api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2905788,Sting,"50,000",https://genius.com/Sting-50000-lyrics,http://api.genius.com/songs/2905788,57th & 9th ,2016-11-11,"Another obituary in the paper today One more for the list of those who've already fallen Another one of our comrades is taken down Like so many others of our calling  We tweet our anecdotes, our commentary Or we sing his songs in some sad tribute While the tabloids are holding a story of kiss and tell That he's no longer able to deny or refute  50,000 voices rising every time he'd sing And every word he ever wrote reflecting back to him  How well I remember the stadiums we played And the lights sweeping across a sea of 50,000 souls we'd face A serious drug that you could never kick Or one that you couldn't imagine you'd ever replace  We flew like kites on the wings of amphetamine Secured only to a bass line and a snare drum beat But really what did any of it mean? When there's a higher philosophy in reflection and defeat  50,000 voices rising every time he'd sing And every word he ever wrote reflecting back to him Still believing that old lie, the one that your own face betrays Rock Stars don't ever die, they only fade away  Reflecting now on my own past Inside this prison I've made of myself I'm feeling a little better today Although the bathroom mirror is telling me something else  These lines of stress, one bloodshot eye The unhealthy pallor of a troubled ghost Where did I put my spectacle case? I'm half blind and as deaf as any post  50,000 hands are raised to a man that's just like you and me We create the gods we can and gift them immortality Still believing that old lie, the one that your own face betrays Rock Stars don't ever die, they only fade away"
/songs/389564,Sting,A Cradle Song [Bonus Track],https://genius.com/Sting-a-cradle-song-bonus-track-lyrics,http://api.genius.com/songs/389564,None,2010-11-24," Sweet dreams, form a shade Over my lovely infant's head Sweet dreams of pleasant streams By happy, silent, moony beams Sweet sleep, with soft down Weave thy brows an infant crown Sweet sleep, Angel mild Hover over my happy child Sleep, sleep, happy child All creation slept and smiled Sleep, sleep, happy sleep While over thee thy mother weep Sweet babe, in thy face Holy image I can trace Sweet babe once like thee Maker lay and wept for me Wept for me, for thee, for all When He was an infant small Thou His image ever see Heavenly face that smiles on thee Smiles on thee, on me, on all Who became an infant small Infant smiles are His own smiles Heaven and earth to peace beguiles"
/songs/1524567,Sting,A Day in the Life,https://genius.com/Sting-a-day-in-the-life-lyrics,http://api.genius.com/songs/1524567,None,2010-11-24,"I read the news today oh boy About a lucky man who made the grade And though the news was rather sad I just had to laugh I saw the photograph  He blew is mind out in car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure If he was from the house of lords  I saw a film today oh boy The english army had just won the war A crowd of people turned away  But I just had to look Having read the book I'd love to turn you on  Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke Somebody spoke and I went into a dream  I read the news today oh boy Four-thousand holes in blackburn, lancashire And though the holes were rather small they had to count them all Now they know how many holes it takes to fill the albert hall I'd love to turn you on"
/songs/389353,Sting,After The Rain Has Fallen,https://genius.com/Sting-after-the-rain-has-fallen-lyrics,http://api.genius.com/songs/389353,Brand New Day,1999-09-24," The palace guards are all sleeping Their fires burn into the night There's a threat of rain on the dark horizon And all that's left is a quarter moon of light He climbs up through the darkness No weapon but his surprise The greatest thief in the high Sahara Enters the room where a sleeping princess lies All your money, your pretty necklace This is my work on such a night There's a storm coming over the mountain I'll be gone long before the morning   After the rain has fallen After the tears have washed your eyes You find that I've take nothing, that Love can't replace in the blink of an eye   He was as gentle as the night wind As no lover had been before And the rings she wore for her bride groom Slipped from her fingers and fell to the floor Take me with you, take me with you Before my lonely life is set I've been promised to another To a man I've never even met   After the rain has fallen After the tears have washed your eyes You'll find that I've take nothing, that Love can't replace in the blink of an eye After the thunder's spoken, and After the lightning bolt's been hurled After the dream is broken, there'll Still be love in the world   She said take me to another life Take me for a pirate's wife Take me where the wind blows Take me where the red wine flows Take me to the danger Take me to the life of crime Take me to the stars Take me to the moon while we still have time   After the rain has fallen After the tears have washed your eyes You'll find that I've taken nothing, that Love can't replace in the blink of an eye After the thunder's spoken, and After the lightning bolt's been hurled After the dream is broken, there'll Still be love in the world "
/songs/1754082,Sting,Ain't No Sunshine,https://genius.com/Sting-aint-no-sunshine-lyrics,http://api.genius.com/songs/1754082,None,2010-11-24,"Ain't no sunshine when she's gone It's not warm when she's away Ain't no sunshine when she's gone And she's always gone too long anytime she goes away  Wonder this time where she's gone Wonder if she's gone to stay Ain't no sunshine when she's gone And this house just ain't no home anytime she goes away  And I know, I know, I know, I know, I know I know, I know, I know, I know, I know, I know, I know  I know, I know, I know, I know, I know, I know I know, I know, I know, I know, I know, I know, I know, I know  Hey, I ought to leave the young thing alone But ain't no sunshine when she's gone, only darkness everyday Ain't no sunshine when she's gone And this house just ain't no home anytime she goes away  Anytime she goes away Anytime she goes away Anytime she goes away Anytime she goes away"
/songs/389346,Sting,All Four Seasons,https://genius.com/Sting-all-four-seasons-lyrics,http://api.genius.com/songs/389346,Mercury Falling,None," With her smile as sweet as a warm wind in summer She's got me flying like a bird in a bright June sky And then just when she thinks that I've got her number Brings me down to the ground with her wintry eye That's my baby She can be all four seasons in one day   And when the nighttime comes with no interference To our warm summer love with all its charms But like a thoroughbred horse she can turn on a sixpence And I find that I'm back in Mistress Winter's arms That's my baby She can be all four seasons in one day   How will I know? How can I tell? Which side of the bed she takes when the day begins She can be kind She can be cruel She's got me guessing like a game show fool   She can change her mind like she changes her sweaters From one minute to the next it's hard to tell She blows hot and cold just like stormy weather She's my gift from the Lord or a fiend from hell That's my baby She can be all four seasons in one day   Watching the weatherman's been no good at all Winter, spring, summer, I'm bound for a fall There are no long term predictions for my baby She can be all four seasons in one day   If it's a sunny day I take my umbrella Just in case the raindrops start to fall You could say that I'm just a cautious fellow I don't want to be caught in a sudden squall That's my baby She can be all four seasons in one day That's my baby She can be all four seasons in one day"
/songs/241370,Sting,All This Time,https://genius.com/Sting-all-this-time-lyrics,http://api.genius.com/songs/241370,The Soul Cages,1991-01-22," I looked out across the river today Saw a city in the fog and an old church town where the seagulls play Saw the sad shire horses walking home in the sodium light Two priests on the ferry October geese on a cold winter's night   All this time the river flowed Endlessly to the sea   Two priests came 'round our house tonight One young, one old, to offer prayers for the dying to serve the final rite One to learn, one to teach which way the cold wind blows And fussing and flapping in priestly black like a murder of crows   All this time the river flowed Endlessly to the sea If I had my way I'd take a boat from the river And I'd bury the old man I'd bury him at sea   Blessed are the poor, for they shall inherit the earth Better to be poor than be a fat man in the eye of the needle As these words were spoken I swear I hear the old man laughing What good is a used up world and how could it be worth having?  All this time the river flowed Endlessly like a silent tear All this time the river flowed Father, if Jesus exists then how come he never lives here?   Teachers told the Romans built this place They built a wall and a temple and an edge of the empire garrison town They lived and they died They prayed to their gods, but the stone gods did not make a sound And their empire crumbles 'till all that was left Were the stones the workmen found   All this time the river flowed In the falling light of a Northern sun If I had my way, take a boat from the river Men go crazy in congregations, they only get better one by one One by one"
/songs/946174,Sting,All Would Envy,https://genius.com/Sting-all-would-envy-lyrics,http://api.genius.com/songs/946174,None,2010-11-24,"Old enough to be her dad But the young men were just mad they nursed their grievances And she was flattered by his charm It wouldn't do her any harm they all had their chances  He sent her flowers and limousines She was treated like a queen Anything she ever wanted It was no problem for a man like him And everyone expected soon That she could ask him for the moon If she would wear his ring  Knowing glances from his friends In the homes at the weekends of high society But he didn't give a damn He never felt more like a man  And all the time the clock was ticking And all would envy the older man and his beautiful young wife Yes, all would envy  In a house upon a hill She was there with time to kill She lived a life she'd only dreamed The life was never what it seemed To all her friends that she'd ignored She denied she was bored She had no time for dancing, no time for dancing  But the clock upon the wall That was ticking in the hall Always reminded her That life was going on as well But she was happy and she would swear she wouldn't change a thing  And all would envy the older man and his beautiful young wife Yes, all would envy  Now it's 5 o'clock AM She must have spent the night again with that old friend of hers She loves to dance She's missing more and more these days But he's still stuck in his old ways Perhaps she needs a little more romance But the clock upon the wall is still ticking in the hall She must be home soon, soon Where a younger man would weep He takes a pill and goes to sleep  Now who would envy the older man and his beautiful young wife Who would envy? Who would envy?"
/songs/389571,Sting,And Yet,https://genius.com/Sting-and-yet-lyrics,http://api.genius.com/songs/389571,The Last Ship,2013-08-13," This town, this stain on the sunrise Disguised in the mist this morning It's 8 a.m., a seagull shouts a sailor's warning This sky, this bend in the river Slows down and delivers me, the tide rolls back And all my memories fade to black   And yet, and yet, I'm back   This town has a strange magnetic pull Like a homing signal in your skull And you sail by the stars of the hemisphere Wondering how in the Hell did ye end up here? It's like an underground river, or a hidden stream That flows through your head, and haunts your dreams And you stuffed those dreams in this canvas sack And there's nothing round here that the wide world lacks   And yet, and yet, you're back   Some nights I'd lie on the deck and I'd stare at the turning of the stars Those constellations hanging up there from the cables and the rigging I'd wonder if she saw the same, or managed to recall my name But why would she ever think of me? Some boy she loved who fled to sea? And why waste time debating whether she'd be waiting for the likes of me? So you drift into port with the scum of the seas To the dance halls and the brothels where you took your ease! And the ship's left the dock but you're half past caring And you haven't got a clue whose bed you're sharing And your head's like a hammer on a bulkhead door And it feels like somebody might have broken your jaw And there's bloodstains and glass all over the floor And you swear to God you'll drink no more And yet, and yet In truth, it's too late to find her Too late to remind her at some garden gate Where a servant tells me I should wait And perhaps a door's slammed in my face My head must be in outer space   And yet, and yet Before the sun has set Before the sea There may be something else that's waiting for The likes of me   This town, this stain on the sunrise"
/songs/389573,Sting,Angel Eyes,https://genius.com/Sting-angel-eyes-lyrics,http://api.genius.com/songs/389573,Leaving Las Vegas (Original Motion Picture Soundtrack),None," Have you ever had the feeling That the worlds gone and left you behind? Have you ever had the feeling That you're that close to losing your mind? You look around each corner Hoping that she's there You try to play it cool, perhaps Pretend that you don't care But it doesn't do a bit of good You got to seek 'til you find Or you'll never unwind Try to think that loves not around Still it's uncomfortably near My old heart, ain't gaining no ground Because my angel eyes ain't here Angel eyes that old devil sent They glow unbearably bright Need I say, that my loves misspent? Misspent with angel eyes tonight So drink up all you people Order anything you see Have fun you happy people The drink, and the laughs on me Pardon me, but I've got to run The facts uncomfortably clear Got to find who's now number one And why my angel eyes ain't here Tell me why my angel eyes ain't here Asking why my angel eyes ain't here Excuse me, while I disappear"
