api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/445575,Sugarland,50 Cent Lovin',https://genius.com/Sugarland-50-cent-lovin-lyrics,http://api.genius.com/songs/445575,Premium Quality Tunes,2006-11-07," I'm so tired of being all alone So frustrated waiting by the phone When I think of everything I miss Wonder why I carry on like this I can't hide my love for you But I can surely do without The shit you put me through   You can tell me that you're sorry til your face turns blue Oughta go out with you brother and your best friend too Sit on the porch and drink some more beer I don't need your fifty-cent loving round here Round here  Fifty-cent loving round here   No use trying, I won't change my mind You've been cheating honey I'm not blind I'm not half the fool you took me for No surprise I don't love you anymore Take your love and diamond ring Shove them up your buttercup Cause they don't mean a thing  "
/songs/272059,Sugarland,All I Want to Do,https://genius.com/Sugarland-all-i-want-to-do-lyrics,http://api.genius.com/songs/272059,Love on the Inside,2008-05-19," I don't want to get up, baby lets turn off the phone I don't want to go to work today or even put my make-up on I got better things to do than my to-do list anyway Hide under the covers and waste away the day Let's just lay here and be lazy, baby, drive me crazy   All I want to do All I want to do..... is love you   I got my whole life to change the world and climb the ladders Looking at you looking at me is the only thing that matters Come a little closer baby, we can talk without words Hang a sign on the door, ""Please do not disturb"" Let's just lay here and be lazy, baby, drive me crazy   All I want to do All I want to do..... is love you   Give me a kiss, from that Elvis lip You don't want to miss this   All I want to do..... All I want to do..... is love you   All I really want to do is All I really want to do is All I really want to do is love you and love you and love you Come a little closer baby we can talk without words Hang a sign on the door ""Please do not, please do not, please do not, please do not disturb""   When I lay down in the evening All I really want to do is When I wake up when I wake up in the morning baby All I really want to do is Ooo...... Ooo......"
/songs/445539,Sugarland,All We Are,https://genius.com/Sugarland-all-we-are-lyrics,http://api.genius.com/songs/445539,The Incredible Machine,2010-10-19," Fire like lightening Burnin' up the night Smoke horizon Won't give up the fight   Fire like lightening Burnin' up the night a smoke horizon Won't give up the fight Well, deep inside can you hear that call? Wakin' your heart and shaking your walls Where love is found, the nations fall A cry will rise above it all   All we are (We are!) All we are (We are!) All we are (We are!) All we are, We are young!   Shine like diamonds Cut the night into the sky Light riding Show me your love Deep inside I can hear that call Waking my hear and shaking my walls Where love is found, the nations fall A cry will rise above it all   Lift me up (Fire like lightening, baby) It's not over (Fire like lightening, baby) We are young (Fire like lightening, baby) Tell me (Fire like lightening, baby) Over and over (Over and over) We are young (Over and over) Over and over (Over and over) Over and over and over and over and over and over Fire like lightening"
/songs/445239,Sugarland,Already Gone,https://genius.com/Sugarland-already-gone-lyrics,http://api.genius.com/songs/445239,Love on the Inside,2008-07-22," My mama mapped out the road that she knows Which hands you shake and which hands you hold In my hand-me-down mercury, ready to roll She knew that i had to go And hang out, make lots of noise And lay out late with a boy Make the mistakes that she made 'cause she knew all along   I was already gone I was already gone I was already gone Life is a runaway train you can't wait to jump on   They say the first time won't ever last But that didn't stop me. The first time he laughed All my friends tried to warn me the day that we met ""Girl, don't you lose your heart yet"" But his dark eyes dared me with danger And sparks fly like flame to a paper Fire in his touch burning me up, but still i held on   The last time i saw him, we packed up my things And he smiled like the first time he told me his name And we cried with each other We split the blame for the parts that we couldn't change Pictures, dishes and socks It's our whole life down to one box there he was waving goodbye on the front porch alone   But i was already gone I was already gone I was already gone I was already gone I was already gone Hang out, make lots of noise And lay out late with a boy Make the mistakes that she made, life is a runaway train His dark eyes dared me with danger And sparks fly like flame to a paper, fire in his touch Life is a runaway train you can't wait to jump on"
/songs/445128,Sugarland,April Showers,https://genius.com/Sugarland-april-showers-lyrics,http://api.genius.com/songs/445128,Enjoy The Ride ,2006-11-07," Looking for an angel in these hills Looking for a map to find what we left behind Knowing that we will Always end up right where we start Cause i got time on my hands and hope in my heart We both understand we weren't meant to be apart   April showers bring may flowers I have seen rain before But if sunday morning lets that sun in What are we waiting for Cause love leaves an open door   If i had one wish i'd wish for two One for me, baby, and one for you And it would find you right where you are With time on your hands and hope in your heart We both understand we were written in the stars   It's worth all the cost Till i find what i lost in your eyes And you realize   April showers bring may flowers I have seen rain before But if sunday morning lets that sun in What are we waiting for Cause love leaves an open Wishing and hoping Love leaves an open"
/songs/3646550,Sugarland,Babe,https://genius.com/Sugarland-babe-lyrics,http://api.genius.com/songs/3646550,Bigger,2018-04-20," What a shame Didn't wanna be the one that got away, yeah Big mistake, broke the sweetest promise That you never should have made   I'm here on the kitchen floor You call, but I won't hear it You said no one else, how could you do this, babe?   You really blew this, babe We ain't gettin' through this one, babe This is the last time I'll ever call you, babe This is the last time, this is the last time This is the last time, I'll ever call you babe   What a waste Takin' down the pictures and the plans we made, yeah And it's strange how your face doesn't look so innocent Your secret has its consequence and that's on you, babe   I break down every time you call We're a wreck, you're the wreckin' ball We said, ""No one else"", how could you do this, babe?   You really blew this, babe We ain't gettin' through this one, babe This is the last time I'll ever call you, babe This is the last time, this is the last time This is the last time   Since you admitted it, I keep picturin' Her lips on your neck, I can't unsee it I hate that because of you, I can't love you Babe What a shame, didn't want to be the one that got away How could you do this, babe?   You really blew this, babe We ain't gettin' through this one, babe How could you do this, babe This is the last time, this is the last time This is the last time, I'll ever call you babe   How could you do this, babe? I'm here on the kitchen floor, you call but I won't hear it You said I'm no one else, we ain't gettin' through this one, babe I break down every time you call, this is the last time We're a wreck, you're the wreckin' ball This is the last time, this is the last time You said no one else, this is the last time I'll never call you babe"
/songs/445080,Sugarland,Baby Girl,https://genius.com/Sugarland-baby-girl-lyrics,http://api.genius.com/songs/445080,Premium Quality Tunes,2004-10-24," They say this town The stars stay up all night Don't know can't see them For the glow of the neon lights And it's a long way from here To the place where the home fires burn Well it's 2,000 miles and one left turn   Dear Mom and Dad Please send money I'm so broke that it ain't funny I don't need much just enough to get me through Please don't worry because I'm alright (I'm playing here at the bar tonight) This time I'm going to make our dreams come true Well I love you more than anything in the world Love, your baby girl   Black top blue sky Big town full of little white lies Everybody's your friend you can never be sure They'll promise fancy cars and diamond rings All sorts of shiny things Girl, you'll remember what your knees are for   Dear Mom and Dad Please send money I'm so broke that it ain't funny I don't need much just enough to get me through Please don't worry because I'm alright (I'm playing here at the bar tonight) This time I'm going to make our dreams come true Well I love you more than anything in the world Love, your baby girl   I know that I'm on my way When I can tell every time I play And I know it's worth all the dues I pay When I can write to you and say   Dear Mom and Dad I'll send money I'm so rich that it ain't funny Well it ought to be more then enough to get you through Please don't worry because I'm alright I'm stayin here at the Ritz tonight What do you know we made our dreams come true! And there are fancy cars and diamond rings But you know that they don't mean a thing Well they all add up to nothing compared to you Well, remember me in ribbons and curls I still love you more than anything in the world Love, your baby girl   Your baby girl Your baby girl Dear Mom and Dad Please send money I'm so broke that it ain't funny Don't need much just enough to get me through Please don't worry because I'm alright I'm playin here at the bar tonight Dreams come true"
/songs/3647585,Sugarland,Bigger,https://genius.com/Sugarland-bigger-lyrics,http://api.genius.com/songs/3647585,Bigger,2018-04-13," People walkin' around like the world's about to end And if you’re asking me, my mind would agree These days we all feel small, my friend It’s getting harder and harder to hold our heads up high Baby, let’s circle the wagons Show all the dragons they don’t own the sky We know how to fly   Gravity can’t hold us down We're moving at the speed of sound Past the point from here on out There’s no going back   'Cause we were born for better days We’ll find a way, yeah We’re gonna be bigger Don't give up, you’re more than enough Believe me love, yeah You’re gonna be bigger   Lookin' at everybody else And you hate yourself And it hurts your heart Yeah, it’s easy to let it Make you forget it You are perfect the way you are   Gravity can’t hold you down You’re moving at the speed of sound Past the point from here on out There’s no going back   'Cause we were born for better days We’ll find a way, yeah We’re gonna be bigger Don't give up, you’re more than enough Believe me love, yeah You’re gonna be bigger   If they’re uninvited, don't shut your mouth, don't keep quiet Just let 'em know that they can't try it That this body's your temple and they can’t buy it 'Cause nobody’s money, no 'mount of power No kind of bait can make you take And hate yourself for what they did You won’t forget, you can't forgive They think they're big, but you’re bigger   'Cause we were born for better days We’ll find a way, yeah We’re gonna be bigger Don't give up you’re more than enough (Gonna be gonna be) believe me love, yeah You're gonna be bigger 'Cause we were born for better days We’ll find (gonna be, gonna be) a way, yeah We’re gonna be bigger Don't give up you’re more than enough Believe me love, yeah You’re gonna be bigger Yeah, you’re gonna be bigger"
/songs/3647590,Sugarland,Bird in a Cage,https://genius.com/Sugarland-bird-in-a-cage-lyrics,http://api.genius.com/songs/3647590,Bigger,2018-06-08," It's safe and quiet, all you've ever known You didn't choose it, but you call it home You wouldn't have these wings If you weren't meant to fly It's where you learn to sing I'll meet you on the outside   A bird in a cage Don't know that you were born to fly away The world's a bigger place Than all the fear you face It's hard to explain To a bird in a cage   You dreamed you heard a song Outside the open door They told you it was wrong So you don't dream no more They tell you to believe What they believe is right Will you choose fight or flight?   For a bird in a cage Don't know that you were born to fly away The world's a bigger place Than all the fear you face It's hard to explain To a bird in a cage   Same hands that hold your prayer Same hands that keep you there You try to shift the blame When there's nowhere to put the pain but Who you are is back behind it And I believe that you can find it When the dark feels like it's darker You've tried easy and I've tried harder to chase   You're not a bird in a cage You were born to fly away The world's a bigger place Than all the fear you face And you were never made Are we all birds in a cage? (birds in a cage) Are we all born this way? (are we born this way?) We try not to think about it What we would be without it You were never made (you were never made) To be a bird in a cage (to be a bird in a cage) You were born to fly away The world's a bigger place Than all the fear you face And you were never made To be a bird in a cage"
/songs/1593993,Sugarland,Circle,https://genius.com/Sugarland-circle-lyrics,http://api.genius.com/songs/1593993,None,2008-07-22,"Me, I'm a part of your circle of friends And we notice you don't come around And me, I think it all depends On you catching ground with us but  I quit, I give up, nothing's good enough For anybody else, it seems I quit, I give up, nothing's good enough For anybody else, it seems  And being alone is the, is the best way to be When I'm by myself it's the best way to be When I'm all alone it's the best way to be When I'm by myself, nobody else can say goodbye  Everything is temporary anyway When the streets are wet, the colors slip into the sky But I don't know why that means you and I are That means you and I  I quit, I give up, nothing's good enough For anybody else, it seems I quit, I give up, nothing's good enough For anybody else, it seems  And, and being alone is the, is the best way to be When I'm by myself it's the best way to be When I'm all alone it's the best way to be When I'm by myself nobody else can say  Me, I'm a part of your circle of friends And we notice you don't come around La, la, la, la, la, la, la"
/songs/445153,Sugarland,City of Silver Dreams,https://genius.com/Sugarland-city-of-silver-dreams-lyrics,http://api.genius.com/songs/445153,Gold And Green,2009-10-13, The windows in New York City All dressed up with ribbons and smiles Snow covers the park like a carpet Bells on white carriages roll by in style St. Patrick's cathedral is all lit up When the doors open wide I can see All of those candles burning inside Looks like somebody's birthday party to me   Snowy night Catch the light Shimmer bright Angels sing Here below Children know Faces glow Bells they ring Through a city of silver dreams   They hung a star over 5th Avenue Like a beacon that's calling you home With our gifts we come looking for comfort May we find in each other we're not so alone   It's like this whole town has swallowed some magic With a taxi horns singing away They say that this city will change you But it ain't me that's been changing From what I can tell  
/songs/445357,Sugarland,Coming Home,https://genius.com/Sugarland-coming-home-lyrics,http://api.genius.com/songs/445357,Gold And Green,2009-10-13," Well hello, it's been a long time And I want to know What's been going down Since I been gone And are you alright? Are you okay? Me, I'm alright But is there any way that you could Make space, say grace Set my place at the table? And tell them I'm coming home Tell them I'm coming home Yes, I know, I know she loves me And she wore it so And I know just what she'll say Each time I call She'll say, ""Are you alright? How's your work? Are you alright? How's my baby girl?"" And I'll say, ""I'm feeling strong But it's been too long"" So I wrote this song to say I miss you And tell you I'm coming home Momma, I'm coming home   Angels on high at the top of a tree Stars in the sky shine away, I can see Oh Momma, please leave a light on for me   I'm coming home (I'm coming home) Tell them I'm coming home (I'm coming home) Tell them I'm coming home (I'm coming home, I'm coming home) I'm going home, I'm going home, I'm going home (I'm going home) Momma, won't you leave a light on for me? I'm coming home, leave a light on for me (I'm coming home) And I'm coming home (I'm coming home, I'm coming home) Tell them I'm coming home"
