api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2095668,Susan Boyle,Abide with me,https://genius.com/Susan-boyle-abide-with-me-lyrics,http://api.genius.com/songs/2095668,Hope,2014-10-21,"Abide with me, falls the eventide The darkness deepens, Lord, with me abide When other helpers fail and comforts flee Help of the helpless, O abide with me  Hold Thou Thy cross before my closing eyes; Shine through the gloom and point me to the skies; Heavens morning breaks, and earths vain shadows flee; In life, in death, O Lord, abide with me In life, in death, O Lord, abide with me"
/songs/1836876,Susan Boyle,All I Ask of You,https://genius.com/Susan-boyle-all-i-ask-of-you-lyrics,http://api.genius.com/songs/1836876,Standing Ovation: The Greatest Songs from the Stage,2012-11-13,"No more talk of darkness Forget these wide-eyed fears I'm here, nothing can harm you My words will warm and calm you  Let me be your freedom Let daylight dry your tears I'm here, with you, beside you To guard you and to guide you  Say you'll love me every waking moment Turn my head with talk of summer time Say you need me with you now and always Promise me that all you say is true That's all I ask of you  Let me be your shelter Let me be your light You're safe, no one will find you Your fears are far behind you  All I want is freedom A world with no more night And you, always beside me To hold me and to hide me  Then say you'll share with me one love, one lifetime Let me lead you from your solitude Say you need me with you here, beside you Anywhere you go, let me go too Christine, that's all I ask of you  Say you'll share with me one love, one lifetime Say the word and I will follow you  Share each day with me, each night, each morning  Say you love me  You know I do  Love me, that's all I ask of you  Anywhere you go, let me go too Love me, that's all I ask of you  I gave you my music, made your song take wing And now, how you've repaid me, denied me and betrayed me He was bound to love you, when he heard you sing Christine, Christine  Say you'll share with me one love, one lifetime Say the word and I will follow you Share each day with me, each night, each morning...  You will curse the day you did not do all that the Phantom asked of you!"
/songs/1430200,Susan Boyle,Amazing Grace,https://genius.com/Susan-boyle-amazing-grace-lyrics,http://api.genius.com/songs/1430200,I Dreamed a Dream,2010-08-15,"Amazing grace, how sweet the sound That saved a wretch like me I once was lost but now am found Was blind but now I see  Through many dangers, toils and snares I have already come 'Tis grace that brought me safe thus far And grace will lead me home  When we've been there ten thousand years Bright, shining as the sun We've no less days to sing God's praise Than when we first begun  Amazing grace, how sweet the sound That saved a wretch like me I once was lost but now am found Was blind but now I see Was blind But now I see"
/songs/4541836,Susan Boyle,A Million Dreams,https://genius.com/Susan-boyle-a-million-dreams-lyrics,http://api.genius.com/songs/4541836,TEN,2019-05-03," I close my eyes and I can see A world that's waiting up for me That I call my own Through the dark, through the door Through where no one's been before But it feels like home  [Pre-Chorus: Susan Boyle & Michael Ball] They can say, they can say it all sounds crazy They can say, they can say I've lost my mind I don't care, I don't care, if they call us crazy We can live in a world that we design   'Cause every night I lie in bed The brightest colors fill my head A million dreams are keeping me awake I think of what the world could be A vision of the one I see A million dreams is all it's gonna take A million dreams for the world we're gonna make   However big, however small Let me be part of it all Share your dreams (Share your dreams with me) You may be right, you may be wrong But say that you'll bring me along To the world you see To the world I close my eyes to see I close my eyes to see   'Cause every night I lie in bed The brightest colors fill my head A million dreams are keeping me awake (A million dreams, a million dreams) I think of what the world could be A vision of the one I see A million dreams is all it's gonna take A million dreams for the world we're gonna make   For the world we're gonna make"
/songs/2045527,Susan Boyle,Angel,https://genius.com/Susan-boyle-angel-lyrics,http://api.genius.com/songs/2045527,Hope,2014-10-21,"Hark the herald angels sing ""Glory to the newborn King! Peace on earth and mercy mild God and sinners reconciled"" Joyful, all ye nations rise Join the triumph of the skies With the angelic host proclaim: ""Christ is born in Bethlehem"" Hark! The herald angels sing ""Glory to the newborn King!"" Christ by highest heav'n adored Christ the everlasting Lord! Late in time behold Him come Offspring of a Virgin's womb Veiled in flesh the Godhead see Hail the incarnate Deity Pleased as man with man to dwell Jesus, our Emmanuel Hark! The herald angels sing ""Glory to the newborn King!"" Hail the heav'n born prince of peace! Hail the Son of righteousness! Light and life to all He brings Ris'n with healing in His wings Mild He lays His glory by Born that man no more may die Born to raise the sons of earth Born to give them second birth Hark! The herald angels sing ""Glory to the newborn King!"""
/songs/873026,Susan Boyle,As Long as He Needs Me,https://genius.com/Susan-boyle-as-long-as-he-needs-me-lyrics,http://api.genius.com/songs/873026,Standing Ovation: The Greatest Songs from the Stage,2012-11-13,"As long as he needs me... Oh, yes, he does need me... In spite of what you see... ...I'm sure that he needs me  Who else would love him still When they've been used so ill? He knows I always will... As long as he needs me  I miss him so much when he is gone But when he's near me I don't let on...  ...The way I feel inside The love, I have to hide... The hell! I've gone my pride As long as he needs me  He doesn't say the things he should He acts the way he thinks he should But all the same I'll play This game His way  As long as he needs me... I know where I must be I'll cling on steadfastly... As long as he needs me  As long as life is long... I'll love him right or wrong And somehow, I'll be strong... As long as he needs me  If you are lonely Then you will know...  When someone needs you You love them so  I won't betray his trust... Though people say I must  I've got to stay true, just As long as he needs me"
/songs/1587661,Susan Boyle,Auld Lang Syne,https://genius.com/Susan-boyle-auld-lang-syne-lyrics,http://api.genius.com/songs/1587661,The Gift,2010-11-08,"Should auld acquaintance be forgot And never brought to mind? Should auld acquaintance be forgot And auld lang syne?  For auld lang syne, my dear For auld lang syne We'll tak a cup of kindness yet For auld lang syne!  And there's a hand my trusty fiere  And gie's a hand o thine And we'll tak a right guid-willie waught For auld lang syne  For auld lang syne, my dear For auld lang syne We'll tak a cup of kindness yet For auld lang syne!"
/songs/1205506,Susan Boyle,Autumn Leaves,https://genius.com/Susan-boyle-autumn-leaves-lyrics,http://api.genius.com/songs/1205506,Someone to Watch Over Me,2011-11-01,"Autumn leaves under frozen souls Hungry hands turning soft and old My hero cried as we stood out there in the cold Like these autumn leaves i dont have nothing to hold  Handsome smile, wearing handsome shoes Too young to say, though i swear he knew And i hear him singing while he sits there in his chair While these autumn leaves float around everywhere  I look at you, and i see me Making noise so restlessly But now its quiet and i can hear you saying 'my little fish dont cry, my little fish dont cry.'  Autumn leaves have faded now That smile i lost, well i've found somehow 'cause you still live on in my fathers eyes  These autumn leaves Oh these autumn leaves Oh these autumn leaves are yours tonight"
/songs/1050075,Susan Boyle,Away in a Manger,https://genius.com/Susan-boyle-away-in-a-manger-lyrics,http://api.genius.com/songs/1050075,The Gift,2010-11-08,"Away in a manger No crib for His bed The little Lord Jesus Laid down His sweet head  The stars in the bright sky Looked down where He lay The little Lord Jesus Asleep on the hay  The cattle are lowing The poor Baby wakes But little Lord Jesus No crying He makes  I love Thee, Lord Jesus  Look down from the sky And stay by my side 'Til morning is nigh  Be near me, Lord Jesus I ask Thee to stay Close by me forever And love me I pray  Bless all the dear children In Thy tender care And take us to heaven To live with Thee there"
/songs/1255378,Susan Boyle,Both Sides Now,https://genius.com/Susan-boyle-both-sides-now-lyrics,http://api.genius.com/songs/1255378,Someone to Watch Over Me,2011-11-01,"Bows and flows of angel hair and ice cream castles in the air And feather canyons everywhere, I've looked at clouds that way But now they only block the sun they rain and snow on everyone So many things I would have done, but clouds got in my way  I've looked at clouds from both sides now From up and down and still somehow It's cloud's illusions I recall I really don't know clouds at all  Moons and Junes and ferris wheels the dizzy dancing way you feel As every fairy tale comes real, I've looked at love that way But now it's just another show, you leave 'em laughin when you go And if you care don't let them know, don't give yourself away  I've looked at love from both sides now From give and take and still somehow It's love's illusions I recall I really don't know love at all  Tears and fears and feeling proud, to say, ""I love you"" right out loud Dreams and schemes and circus crowds, I've looked at life that way But now old friends are acting strange they shake their heads, they say I've changed But something's lost but something's gained in living every day  I've looked at life from both sides now From win and lose and still somehow It's life's illusions I recall I really don't know life at all"
/songs/2079235,Susan Boyle,Bridge over troubled water,https://genius.com/Susan-boyle-bridge-over-troubled-water-lyrics,http://api.genius.com/songs/2079235,None,2014-10-24,"When you're weary, feeling small When tears are in your eyes, I will dry them all; I'm on your side. When times get rough And friends just can't be found Like a bridge over troubled water I will lay me down  When you're down and out When you're on the street When evening falls so hard I will comfort you I'll take your part When darkness comes And pain is all around Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down  Sail on silvergirl, sail on by Your time has come to shine All your dreams are on their way See how they shine If you need a friend I'm sailing right behind Like a bridge over troubled water I will ease your mind Like a bridge over troubled water I will ease your mind I will ease your mind"
/songs/1240190,Susan Boyle,Bring Him Home,https://genius.com/Susan-boyle-bring-him-home-lyrics,http://api.genius.com/songs/1240190,Standing Ovation: The Greatest Songs from the Stage,2012-11-13,Valjean God on high Hear my prayer In my need You have always been there He is young He's afraid Let him rest Heaven blessed Bring him home Bring him home Bring him home He's like the son I might have known If God had granted me a son The summers die One by one How soon they fly On and on And I am old And will be gone Bring him peace Bring him joy He is young He is only a boy You can take You can give Let him be Let him live If I die Let me die Let him live Bring him home Bring him home Bring him home
/songs/1720927,Susan Boyle,Cry Me a River,https://genius.com/Susan-boyle-cry-me-a-river-lyrics,http://api.genius.com/songs/1720927,I Dreamed a Dream,2009-11-23,"Now you say you're lonely You cried the long night through Well, you can cry me a river, cry me a river I cried a river over you  Now you say you're sorry For being so untrue Well, you can cry me a river, cry me a river I cried a river over you  You drove me, nearly drove me out of my head While you never shed a tear Remember, I remember all that you said Told me love was too plebeian Told me you were through with me  And now you say you love me Just to prove that you do Well you can cry me a river, cry me a river I cried a river over you"
/songs/1306276,Susan Boyle,Daydream Believer,https://genius.com/Susan-boyle-daydream-believer-lyrics,http://api.genius.com/songs/1306276,I Dreamed a Dream,2009-11-23,"Oh, I could hide 'neath the wings of the bluebird as she sings The six o'clock alarm would never ring But it rings and I rise, wipe the sleep out of my eyes But tears of yesterday don't mean a thing  Cheer up, sleepy Jean Oh, what can it mean To a daydream believer And a homecoming queen?  You once thought of me as a white knight on his steed Now you know how happy I can be Oh, and our good time starts and end without dollar one to spend But how much, baby, do we really need?  Cheer up, sleepy Jean Oh, what can it mean To a daydream believer And a homecoming queen?  Cheer up, sleepy Jean Oh, what can it mean To a daydream believer And a homecoming queen?  Cheer up, sleepy Jean Oh, what can it mean To a daydream believer And a homecoming queen?"
