api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/186987,Taylor Swift,Ain't Nothing 'Bout You,https://genius.com/Taylor-swift-aint-nothing-bout-you-lyrics,http://api.genius.com/songs/186987,None,2010-04-19," The way you look, the way you laugh The way you love with all you have There aren’t nothing about you that don't do something for me   Once I thought that love was something I could never do Never knew that I could feel this much But this yearning in the deep part of my heart for you Is more than a reaction to your touch It's a perfect passion and I can't get enough   The way you look, the way you laugh The way you love with all you have There aren’t nothing about you that don't do something for me The way you kiss, The way you cry The way you move when you walk by There's aren’t nothing about you (there aren’t nothing about you) That don't do something for me  Whoa   In my life I've been hammered by some heavy blows That never knocked me off my feet All you got to do is smile at me and down I go And baby it's no mystery why I surrender Girl you got everything   The way you look, the way you laugh The way you love with all you have There aren’t nothing about you that don't do something for me The way you kiss, The way you cry The way you move when you walk by There's aren’t nothing about you (there aren’t nothing about you) That don't do something for me  I love your attitude, your rose tattoo, your every thought Your smile, you lips and girl the list goes on and on and on   The way you look, the way you laugh The way you love with all you have There aren’t nothing about you that don't do something for me The way you kiss, The way you cry The way you move when you walk by There's aren’t nothing about you (there aren’t nothing about you) That don't do something for me   The way you look, the way you laugh The way you love with all you have Your dance, your drive, you make me feel alive   The way you talk, the way you tease By now I think you see that There aren’t nothing about you that don't do something for me"
/songs/2364298,Taylor Swift,All Night Diner,https://genius.com/Taylor-swift-all-night-diner-lyrics,http://api.genius.com/songs/2364298,Unreleased Songs,2005-01-01," I wake up I stretch out I wonder what you're doin' right now Yeah I slept, in my makeup again Tell myself 'I must be crazy' Thinkin' 'bout him I find myself something decent to wear Take the towel out of my hair About that time, you call me And I'm reminded, without you   I'd be a stranger in an all night diner Waiting for a love to find her Lonely like a harbor light That's never seen a boat Like a line in an old love letter No one ever wrote   I go to work Work all day I'm a walking tape recorder Of everything you say Walk to the car, dig out my keys Start thinkin' if you were with anyone but me   I'm a stranger in an all night diner Waiting for a love to find her Lonely like a harbor light That's never seen a boat Like a line in an old love letter No one ever wrote   There you are On the street Just standing there, waiting on me I show you, my new shoes You say you love them 'Nd baby without you -   I'm a stranger in an all night diner Waiting for a love to find her Lonely like a harbor light That's never seen a boat Like a line in an old love letter No one ever wrote   I wake up I stretch out I wonder what you're doin' right now"
/songs/102701,Taylor Swift,All Too Well,https://genius.com/Taylor-swift-all-too-well-lyrics,http://api.genius.com/songs/102701,Red,2012-10-22," I walked through the door with you The air was cold But something 'bout it felt like home somehow, and I Left my scarf there at your sister's house And you've still got it In your drawer, even now   Oh, your sweet disposition And my wide-eyed gaze We're singing in the car getting lost upstate Autumn leaves falling down like pieces into place And I can picture it after all these days   And I know it's long gone and That magic's not here no more And I might be okay, but I'm not fine at all Oh, oh, oh   'Cause there we are again on that little town street You almost ran the red 'cause you were looking over at me Wind in my hair, I was there, I remember it all too well   Photo album on the counter Your cheeks were turning red You used to be a little kid with glasses in a twin-sized bed And your mother's telling stories 'bout you on the tee ball team You told me about your past, thinking your future was me   And I know it's long gone and There was nothing else I could do And I forget about you long enough To forget why I needed to   'Cause there we are again in the middle of the night We're dancing round the kitchen in the refrigerator light Down the stairs, I was there, I remember it all too well, yeah   Maybe we got lost in translation Maybe I asked for too much But maybe this thing was a masterpiece 'Til you tore it all up Running scared, I was there, I remember it all too well And you call me up again just to break me like a promise So casually cruel in the name of being honest I'm a crumpled up piece of paper lying here 'Cause I remember it all, all, all Too well   Time won't fly, it's like I'm paralyzed by it I'd like to be my old self again But I'm still trying to find it After plaid shirt days and nights when you made me your own Now you mail back my things and I walk home alone But you keep my old scarf From that very first week 'Cause it reminds you of innocence And it smells like me You can't get rid of it 'Cause you remember it all too well, yeah   'Cause there we are again when I loved you so Back before you lost the one real thing you've ever known It was rare, I was there, I remember it all too well   Wind in my hair, you were there, you remember it all Down the stairs, you were there, you remember it all It was rare, I was there, I remember it all too well"
/songs/186996,Taylor Swift,American Boy,https://genius.com/Taylor-swift-american-boy-lyrics,http://api.genius.com/songs/186996,Vol. 2 Demo CD,None," American boy, living life as it goes Sitting on the fence posts Living in the lie American boy, living in the real world Trying just to get the girl Trying to survive   The simple things in life are always new Growing up on Sam Hill avenue Mama makes her cookies and daddy's just The greatest living hero that ever was Nothing in the world can ever once destroy The hope of an American boy   Living off of bar tips, trying for relationships Looking for the love Suddenly rise, an American beauty Suddenly he cheats, sent from above   The simple things in life are always new Growing up on Sam Hill avenue Mama makes her cookies and daddy's just The greatest living hero that ever was Nothing in the world can ever once destroy The hope of an American boy   American boy, raising little babies Hearing daddy maybe, I'll be like you Suddenly life, seems just like a new dawn That's grown up, American boy   The simple things in life are always new Growing up on Grandview avenue Mama makes her cookies and daddy's just The greatest living hero that ever was Nothing in the world will ever once destroy No, nothing in the world will ever once destroy The hope of an American boy"
/songs/187003,Taylor Swift,American Girl,https://genius.com/Taylor-swift-american-girl-lyrics,http://api.genius.com/songs/187003,None,2009-06-30," Well, she was an American girl Raised on promises She couldn't help thinking that there was a little more to life Somewhere else  After all it was a great big world With lots of places to run to And if she had to die trying She had one little promise she was going to keep   Oh yeah, all right Take it easy baby Make it last all night She was an American girl   Well, it was kind of cold that night She stood alone on her balcony She could see the cars roll by Out on 441 Like waves crashing on the beach  And for one desperate moment there He crept back in her memory God, it's so painful It's something that's so close but still so far out of reach   Oh yeah, all right Take it easy baby Make it last all night She was an American girl   Oh yeah, all right Take it easy baby Make it last all night Oh yeah, all right Take it easy baby Oh, take it easy now   Oh yeah, all right She was an American girl"
/songs/186991,Taylor Swift,Am I Ready For Love,https://genius.com/Taylor-swift-am-i-ready-for-love-lyrics,http://api.genius.com/songs/186991,Unreleased Songs,2011-10-15," Sometimes I wonder how it's going to feel Will my first love be true and real? Will I be ready when my heart starts to fall? What will I do when my love comes to call? And my daddy tells me that I light up his world Everyday he says, darling you're my best girl He tried to teach me from the very start The meaning of love so nobody breaks my heart   Will my love come in a bowl of fire? Will it be filled with hope and desire? Will my love come in a pouring rain? Am I ready for the joy, am I ready for the pain Am I ready for the boy, am I ready for love   I know I'm not a little girl anymore Cause I'm feeling things I've never felt before Sweet sensations and anticipations Calling commotion to my emotions And I hear the words my daddy said to me He said be true 2 yourself & keep your spirit free And love will find you one way or another Be good to yourself and be good to each other   It's a run around the world And it's moving so fast Though I want to find A love that's going to last A love so strong That I can withstand The weight of the world In the palm of its hand   Will my love come in a bowl of fire? Will it be filled with hope and desire? Will my love come in a pouring rain? Am I ready for the joy, am I ready for the pain Am I ready for the boy, am I ready for this game Am I ready for the kiss, am I ready for the stars Am I ready for the bliss, am I ready for love"
/songs/2466692,Taylor Swift,Angelina,https://genius.com/Taylor-swift-angelina-lyrics,http://api.genius.com/songs/2466692,2004 Demo CD,2008-07-15," Angelina’s got a pretty face And really long brown hair Lives somewhere in some wide open space I’ve never been there I guess some people come around and purpose she But I don’t cause   I have always been a bit reckless And I am not your typical princess I’m fine just a bit of a mess And I’m not perfect you could say I wasn’t brought up that way  Just watched Stephen run across the field Watched him catch the ball He’s got everything you’d wanna be He’s funny, dark and tall Watch him run across to Angelina But I won’t cause    Stardom pushed across the line Tripped over my two feet hey oh yeah But ain’t it funny how It all comes out Isn’t life sweet?  I have always been a bit reckless And I am not your typical princess I’m fine just a bit of a mess And I’m not perfect you could say  "
/songs/3026420,Taylor Swift,Animal,https://genius.com/Taylor-swift-animal-lyrics,http://api.genius.com/songs/3026420,None,2011-09-28," Here we go again I kinda wanna be more than friends So take it easy on me I'm afraid you're never satisfied Here we go again We're sick like animals We play pretend So take it easy And I'm afraid I won't get out alive No, I won't sleep tonight   Oh, oh I want some more Oh, oh What are you waiting for? Take a bite of my heart tonight Oh, oh I want some more Oh, oh What are you waiting for? Say goodbye to my heart tonight  Neon Trees!   Here we are again I feel the chemicals kickin' in It's getting heavy And I wanna run and hide I wanna run and hide I do it every time You're killin' me now And I won't be denied by you The animal inside of you   Oh, oh I want some more Oh, oh What are you waiting for? Take a bite of my heart tonight Oh, oh I want some more Oh, oh What are you waiting for? Say goodbye to my heart tonight   Hush, hush the world is quiet Hush, hush we both can't fight it It's us that made this mess Why can't you understand? Well, I won't sleep tonight  Oh, oh Oh, oh Oh, oh   Oh oh I want some more Oh oh What are you waiting for? Take a bite of my heart tonight Oh oh I want some more Oh oh What are you waiting for? What are you waiting for?  What are you waiting Say goodbye to my heart tonight"
/songs/132101,Taylor Swift,A Perfectly Good Heart,https://genius.com/Taylor-swift-a-perfectly-good-heart-lyrics,http://api.genius.com/songs/132101,Taylor Swift,2007-11-06," Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?   Maybe I should've seen the signs, should've read the writing on the wall And realized by the distance in your eyes that I would be the one to fall No matter what you say, I still can't believe That you would walk away It don't make sense to me, but   Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart,now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?   It's not unbroken anymore How do I get it back the way it was before?   Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart? Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?"
/songs/132080,Taylor Swift,A Place In This World,https://genius.com/Taylor-swift-a-place-in-this-world-lyrics,http://api.genius.com/songs/132080,Taylor Swift,2006-10-24," I don't know what I want, so don't ask me Cause I'm still trying to figure it out Don't know what's down this road, I'm just walking Trying to see through the rain coming down Even though I'm not the only one Who feels the way I do   I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world   Got the radio on, my old blue jeans And I'm wearing my heart on my sleeve Feeling lucky today, got the sunshine Could you tell me what more do I need And tomorrow's just a mystery, oh yeah But that's OK   I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world   Maybe I'm just a girl on a mission But I'm ready to fly   I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh I'm alone, on my own, and that's all I know Oh I'm just a girl, trying to find a place in this world   Oh I'm just a girl Oh I'm just a girl, oh, oh Oh I'm just a girl"
