api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/425877,The Band Perry,All Your Life,https://genius.com/The-band-perry-all-your-life-lyrics,http://api.genius.com/songs/425877,The Band Perry,2011-08-08," Would you walk to the edge of the ocean Just to fill my jar with sand? Just in case I get the notion To let it run through my hand Let it run through my hand   Well, I don't want the whole world The sun, the moon, and all their light I just want to be the only girl You love all your life You love all your life   Would you catch a couple thousand fireflies Yeah, and put them in a lamp to light my world? All dressed up in a tux and bow tie Hand delivered to a lonely girl To a lonely, lonely girl   Well, I don't want the whole world The sun, the moon, and all their light I just want to be the only girl You love all your life You love all your life   Lately I've been writing desperate love songs I mostly sing them to the wall You could be the center piece of my obsession If you would notice me at all, yeah   Well, I don't want the whole world The sun, the moon, and all their light I just want to be the only girl You love all your life You love all your life   You love all your life Life Yeah"
/songs/855084,The Band Perry,All Your Life (EP),https://genius.com/The-band-perry-all-your-life-ep-lyrics,http://api.genius.com/songs/855084,None,None,"Would you walk to the edge of the ocean* Just to fill my jar with sand Just in case I get the notion to let it run through my hand Let it run through my hand Well, I don't want the whole world, the sun and moon and all their light I just want to be the only girl You love all your life You love all your life Would you catch a couple thousand fireflies , yeah Put them in a lamp to light my world all dressed up in tux and bow tie and delivered to a Lonely girl, to lonely,lonely girl Well, I don't want the whole world, the sun and moon and all their light I just want to be the only girl, You love all your life, You love all your life Lately I've been writing desperate love songs, and mostly singuing them to the wall You could be the center piece of my obsession, If would noticed me at all Well, I don't want the whole world, the sun and moon and all their life I just want to be the only girl, You love all your life, You love all your life You love all your life, life, yeah"
/songs/426000,The Band Perry,Back To Me Without You,https://genius.com/The-band-perry-back-to-me-without-you-lyrics,http://api.genius.com/songs/426000,Pioneer,2013-04-02,"[Verse 1: The Band Perry] I want to wake where I was born and breathe the old air in I need a haunt from a ghost that I knew way back then Oh I hope they left the light on I want someone who knows me just to say my name To tell me though things are different now somehow I'm still the same Oh I can almost hear them calling   I don't know if I'll be back again Turns out they were right again (Get back to what you know Get back to what you do) Got to get back to me, oooh If it's true home is where the heart is I guess now I'm homeless (Get back to what you know Get back to what you do) Got to get back to me without you  [Verse 2: The Band Perry] For two years I've lived my life way out on a limb I put my faith in you not knowing you would break in the end I hate feeling fallen   I don't know if I'll be back again Turns out they were right again (Get back to what you know Get back to what you do) Got to get back to me, oooh If it's true home is where the heart is I guess now I'm homeless (Get back to what you know Get back to what you do) Got to get back to me without you  Oooooh Oooooh  [Verse 3: The Band Perry] I added rain to your ocean What did it do, it meant nothing to you You made grief my chief emotion Why'd you have to do what you thought you had to do   I don't know if I'll be back again Turns out they were right again (Get back to what you know Get back to what you do) Got to get back to me, oooh If it's true home is where the heart is I guess now I'm homeless (Get back to what you know Get back to what you do) Got to get back to me without you   The slow death of a slow dance The tailspin of a romance I gotta get back and breathe the old air in"
/songs/3268165,The Band Perry,Best One Yet,https://genius.com/The-band-perry-best-one-yet-lyrics,http://api.genius.com/songs/3268165,None,None," You are the best one yet, you are the best one yet You are the best one yet, you are the best one yet   I still can't fall asleep 'cause you're stuck in my brain So many fish up in the sea, but I'm stuck on your brain 'Cause you're the light up in the hall and I can't sleep without you So many people I would call [?] say I won't live without you, without you   And I know they'll say there's so much waiting for me up ahead But I don't care, you are the best one yet   Of all the hearts, of all the hearts Of all the hands I've held in the dark Of all the things I will regret Yes, yes, you are the best one yet Of all the nights, of all the nights Of all the [?] light Of all the beats I've felt in my chest Yes, yes, you are the best one yet   A hundred words that I can write, but I'm stuck on your name A hundred ways that I could fly, but I'm stuck on your plane [?] dreams I haven't had, [?] I should think of other things, but it's only your body, your body   And I know they'll say there's so much waiting for me up ahead But I don't care, you are the best one yet   Of all the hearts, of all the hearts Of all the hands I've held in the dark Of all the things I will regret Yes, yes, you are the best one yet Of all the nights, of all the nights Of all the [?] light Of all the beats I've felt in my chest Yes, yes, you are the best one yet   Take my hand, I don't care if they believe No more plans 'cause nothing's guaranteed   Of all the hearts, of all the hearts Of all the hands I've held in the dark Of all the things I will regret Yes, yes, you are the best one yet Of all the nights, of all the nights Of all the [?] light Of all the beats I've felt in my chest Yes, yes, you are the best one yet"
/songs/265402,The Band Perry,Better Dig Two,https://genius.com/The-band-perry-better-dig-two-lyrics,http://api.genius.com/songs/265402,Pioneer,2012-10-29," I told you on the day we wed I was gonna love you 'til I's dead Made you wait 'til our wedding night That's the first and the last time I wear white   So if the ties that bind ever do come loose Tie them in a knot like a hangman's noose 'Cause I'll go to heaven or I'll go to hell Before I'll see you with someone else   Put me in the ground Put me six foot down And let the stone say:   Here lies the girl whose only crutch Was loving one man just a little too much If you go before I do I'm gonna tell the gravedigger that he better dig two   Well It won't be whiskey, it won't be meth It'll be your name on my last breath If divorce or death ever do us part The coroner will call it a broken heart   So put me in the ground Put me six foot down And let the stone say:   Here lies the girl whose only crutch Was loving one man just a little too much If you go before I do I'm gonna tell the gravedigger that he better dig two Dig two   I took your name when I took those vows I meant 'em back then and I mean 'em right now Oh, right now   If the ties that bind ever do come loose If forever ever ends for you If that ring gets a little too tight You might as well read me my last rites   And let the stone say:   Here lies the girl whose only crutch Was loving one man just a little too much If you go before I do Gonna tell the gravedigger that he better dig, uh! There'll be a stone right next to mine We'll be together 'til the end of time Don't you go before I do I'm gonna tell the gravedigger that he better dig two   I told you on the day we wed I was gonna love you 'til I's dead"
/songs/855184,The Band Perry,Better Dig Two (Single),https://genius.com/The-band-perry-better-dig-two-single-lyrics,http://api.genius.com/songs/855184,None,None,"I told you on the day we wed I was gonna love you 'til I's dead Made you wait 'til our wedding night That's the first and the last time I wear white So if the ties that bind ever do come loose Tie them in a knot like a hangman's noose Cause I'll go to heaven or I'll go to hell Before I'll see you with someone else Put me in the ground Put me six foot down And let the stone say: Here lies the girl whose only crutch Was loving one man just a little too much If you go before I do I'm gonna tell the gravedigger that he better dig two Well It won't be whiskey, won't be meth It'll be your name on my last breath If divorce or death ever do us part The coroner will call it a broken heart So put me in the ground Put me six foot down And let the stone say: Here lies the girl whose only crutch Was loving one man just a little too much If you go before I do I'm gonna tell the gravedigger that he better dig two Dig two Ooh, ooh I took your name when I took those vows I meant 'em back then and I mean 'em right now Oh, right now If the ties that bind ever do come loose If forever ever ends for you If that ring gets a little too tight You might as well read me my last rights And let the stone say: Here lies the girl whose only crutch Was loving one man just a little too much If you go before I do Gonna tell the gravedigger that he better dig, uh! Heavy stone right next to mine We'll be together 'til the end of time Don't you go before I do I'm gonna tell the gravedigger that he better dig two I told you on the day we wed I was gonna love you 'til I's dead"
/songs/425995,The Band Perry,Chainsaw,https://genius.com/The-band-perry-chainsaw-lyrics,http://api.genius.com/songs/425995,Pioneer,2014-03-03," We scratched our names In that oak tree 'Cause I loved you And you loved me A jagged little heart, so the whole town knew it Carved in the bark with an arrow through it I came out here to see it one more time   And I got my chainsaw Oh, you know it's got to go, it's such a shame y'all But I ain't gonna be happy until those names fall And I'm sittin' on a stump Love is shady Love is tragic It's hard to bury the hatchet Holdin' a chainsaw   Well, I guess all those years They don't mean nothing Now I can't wait To count those rings Nothing left of us but dust and splinters A big pile of wood to keep me warm through the winter Because I, I don't have you   But I got my chainsaw Oh, you know it's got to go, it's such a shame y'all But I ain't gonna be happy until those names fall And I'm sittin' on a stump Love is shady Love is tragic It's hard to bury the hatchet Holdin' a chainsaw Woah, oh Yeah Just a little ol' chainsaw   I remember what you said that night That you would love me for the rest of your life We wrote ""forever"" with a pocketknife But forever's going down tonight   'Cause I got my chainsaw Oh it's got to go, it's such a shame doll But I ain't gonna be happy until those names fall And I'm sitting on a stump Love is shady Love is tragic It's hard to bury the hatchet Love is shady Love is tragic It's hard to bury the hatchet Holding a chainsaw Chain, chain, chainsaw Woo!   Da, da, da, da, da, da, da (chain, chain, chainsaw) Da, da, da, da, da Da, da, da, da, da Da, da, da, da, da"
/songs/2827034,The Band Perry,Comeback Kid,https://genius.com/The-band-perry-comeback-kid-lyrics,http://api.genius.com/songs/2827034,My Bad Imagination,2016-08-01," They like to kick you when you're down They like it better when you're there on the ground And up 'til now I've never made a sound Hey, hey I bet they've never had a broken heart But they sure know how to beat the hell out of one Sometimes I think they do it just for the fun Hey, hey   But no, I'm not leaving, even though I'm bleeding Even though this nightmare makes me wish I was dreaming Even though I hate it, I'm gonna take it Until I win   Cause I'm a comeback, I'm a comeback kid Don't know why bad things happened, but they did I don't think I deserve the hurt I get, but I'm made for it It's not the end, no, it's not the end I'm a comeback kid Down for a minute; I'll get up again Looks like I'm breaking, but it's just a bend; it's not over yet Cause in the end I'm a comeback, I'm a comeback kid   I'm gonna finish what I started now You interrupted me with all your doubts How dare you forget where I started out Uh-oh, uh-oh   But no, I'm not leaving, even though I'm bleeding Even though this nightmare makes me wish I was dreaming Even though I hate it, I'm gonna take it Until I win   Cause I'm a comeback, I'm a comeback kid Don't know why bad things happened, but they did I don't think I deserve the hurt I get, but I'm made for it It's not the end, no, it's not the end I'm a comeback kid Down for a minute; I'll get up again Looks like I'm breaking, but it's just a bend; it's not over yet Cause in the end I'm a comeback, I'm a comeback kid, uh-huh   I believe in what I am; I believe in what I was I believe in losing you, I've never been given so much I believe it's been a year, the worst one I've ever lived I believe I'm better now than I have ever been I believe that ever since everything went south I believed in every word that ever came out of my mouth I believe you missed me, but you don't have to miss me, cause I'm not leaving again   Cause I'm a comeback, I'm a comeback kid Down for a minute; I'll get up again Looks like I'm breaking, but it's just a bend; it's not over yet Cause in the end Yeah, I'm a comeback, I'm a comeback kid Not leaving again, I'm not leaving Not leaving again, I'm not leaving Not leaving again, I'm not leaving   I'll save you a spot at my big parade You're all invited on my comeback day I'll serve you ice cream and lemonade Hey, hey"
/songs/3963484,The Band Perry,DEAR DEPARTED,https://genius.com/The-band-perry-dear-departed-lyrics,http://api.genius.com/songs/3963484,COORDINATES,2018-09-21," Falling is a feeling that I never wanna feel again, feel again Haunted in a feeling that I never wanna feel again, feel again Dear departed, d-dear departed   My friends, we've come to bury the dear departed me With a death of youth comes a cold, hard truth Can someone comfort me? We've gathered here to remember the kid that I used to be We've got colorful hats with those rubber band straps And alcoholic drinks Wear some dark clothes, we're in mourning But we're gon' party until the morning comes A celebration, maybe a séance For all our innocence lost   Nothing lasts forever, no, you can't hold on, ayy Nothing lasts forever, so just have fun (Just have fun, just have fun) Falling is a feeling that I never wanna feel again, feel again Dear departed, d-dear departed   One time, I said goodbye to somebody Who taught me how to tie my shoes If it was not for him, I would not have been And my laces would still be loose Some precious things just slip away And some things you never find Still, you've got to dance with the things you lost And I've got to dance with mine   Nothing lasts forever, no, you can't hold on, ayy Nothing lasts forever, so we just move on Die, feel, then you cry, heal, oh Nothing lasts forever, so just have fun (Just have fun, just have fun) Falling is a feeling that I never wanna feel again, feel again Dear departed, d-dear departed   Wear your dark shades, we're in mourning But we're gon' party until the morning comes A celebration, or standing ovation For all our innocence lost   Nothing lasts forever, no, you can't hold on, ayy Nothing lasts forever, so what's done is done First you ie, feel, then you cry, then you heal, ooh Nothing lasts forever, so just have fun (Just have fun, just have fun) Falling is a feeling that I never wanna feel again, feel again Dear departed, d-dear departed"
/songs/156345,The Band Perry,Done.,https://genius.com/The-band-perry-done-lyrics,http://api.genius.com/songs/156345,Pioneer,2013-03-11," You've been wearing that crown and tearing me down It's been a while since you've treated me right You strung me along for far too long 'Cause I never gave up the fight Until now   It's gonna hit you hard 'til you see stars It’s gonna put you through a world of hurt Oh, I don't believe in getting even But giving what you deserve Oh my, oh my, huh   Mama always told me that I should play nice She didn't know you when she gave me that advice I'm through with you You're one bridge I'd like to burn Bottle up the ashes, smash the urn I'm through with you, la dee da   I don't wanna be your ""just for fun"" Don't wanna be under your thumb All I wanna be is done Done   You crossed the line too many times I'm gonna put you in your place You play with dynamite, don't be surprised When I blow up in your face Oh my, oh my, huh   Mama always told me that I should play nice She didn't know you when she gave me that advice I'm through with you You're one bridge I'd like to burn Bottle up the ashes, smash the urn I'm through with you, la dee da   I don't wanna part of your fun Don't wanna be under your thumb All I wanna be is done   Done with your selfish ways Done and all the games you play I'm through with you and everything you say   Mama always told me that I should play nice She didn't know you when she gave me that advice Mama always taught me that I should play nice But she didn't know you when she gave me that advice I'm through with you You're one bridge I'd like to burn Scatter the ashes, smash the urn I'm through with you, la dee da   I don't wanna be your ""just for fun"" Don't wanna be under your thumb All I wanna be is done Done   Hey, hey, ooh I wanna be done (so done) So done (so done) So done"
