api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/4078608,The Beatles,A Beginning (Take 4) / Don’t Pass Me By (Take 7),https://genius.com/The-beatles-a-beginning-take-4-dont-pass-me-by-take-7-lyrics,http://api.genius.com/songs/4078608,The Beatles (White Album) [Super Deluxe],2018-11-09," This is the introduction to Ringo's ""Don't Pass Me By"" Take 4     I listen for your footsteps Coming up the drive Listen for your footsteps But they don't arrive Waiting for your knock dear On my old front door I don't hear it Does it mean you don't love me any more?   I hear the clock a'ticking On the mantle shelf See the hands a'moving But I'm by myself I wonder where you are tonight And why I'm by myself I don't see you Does it mean you don't love me any more?   Don't pass me by Don't make me cry Don't make me blue 'Cause you know, darling, I love only you You'll never know it hurt me so I hate to see you go Don't pass me by Don't make me cry   I'm sorry that I doubted you I was so unfair You were in a car crash And you lost your hair You said that you would be late About an hour or two I said that's alright I'm waiting here Just waiting to hear from you   Don't pass me by Don't make me cry Don't make me blue 'Cause you know, darling, I love only you You'll never know it hurt me so I hate to see you go Don't pass me by Don't make me cry   I listen for your footsteps Coming up the drive Listen for your footsteps But they don't arrive Waiting for your knock dear On my old front door I don't hear it Does it mean you don't love me any more?   Don't pass me by Don't make me cry Don't make me blue 'Cause you know, darling, I love only you You'll never know it hurt me so I hate to see you go Don't pass me by Don't make me cry   I'm waiting for you, honey Hurry up to me I don't want you to pass me by I don't want you to make me cry I want you to make me happy Happy, happy 'Cause that's what I want This is so friendly This is so friendly This is so friendly"
/songs/123444,The Beatles,Across the Universe,https://genius.com/The-beatles-across-the-universe-lyrics,http://api.genius.com/songs/123444,Let It Be,1969-12-12," Words are flowing out like endless rain into a paper cup They slither wildly as they slip away across the universe Pools of sorrow, waves of joy are drifting through my opened mind Possessing and caressing me   Jai Guru Deva, Om Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world   Images of broken light which dance before me like a million eyes They call me on and on across the universe Thoughts meander like a restless wind inside a letter box They tumble blindly as they make their way across the universe   Jai Guru Deva, Om Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world   Sounds of laughter, shades of life are ringing through my open ears Inciting and inviting me Limitless undying love which shines around me like a million suns It calls me on and on across the universe   Jai Guru Deva, Om Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world   Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva"
/songs/123816,The Beatles,Act Naturally,https://genius.com/The-beatles-act-naturally-lyrics,http://api.genius.com/songs/123816,Help!,1965-08-06," They're gonna put me in the movies They're gonna make a big star out of me We'll make a film about a man that's sad and lonely And all I gotta do is act naturally   Well I'll bet you I'm gonna be a big star Might win an Oscar, you can never tell The movies gonna make me a big star 'Cause I can play the part so well   Well I hope you'll come and see me in the movies Then I know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally   We'll make the scene about a man that's sad and lonely And begging down upon his bended knee I'll play the part and I won't need rehearsing All I have to do is act naturally   Well I'll bet you I'm gonna be a big star Might win an Oscar, you can never tell The movies gonna make me a big star 'Cause I can play the part so well   Well I hope you'll come and see me in the movies Then I know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally"
/songs/1436,The Beatles,A Day in the Life,https://genius.com/The-beatles-a-day-in-the-life-lyrics,http://api.genius.com/songs/1436,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01," I read the news today, oh boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of Lords I saw a film today, oh boy The English Army had just won the war A crowd of people turned away But I just had to look Having read the book I'd love to turn you on     Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke And somebody spoke and I went into a dream   I read the news today, oh boy 4,000 holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall I'd love to turn you on  "
/songs/3112274,The Beatles,A Day in the Life (Take 1 with Hums),https://genius.com/The-beatles-a-day-in-the-life-take-1-with-hums-lyrics,http://api.genius.com/songs/3112274,Sgt. Pepper's Lonely Hearts Club Band 50th Anniversary Bonus Disc,2017-05-26," Paul: ""In the Life Of"", Take 1 John: Dab the mic on the piano, and quite low, this, just keep it in like, maracas you know. You know those old pianos John:  Okay we're on. Mouth John: Sugarplum fairy, sugarplum fairy   I read the news today, oh boy About a lucky man who made the grade And though the news was rather sad Well I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of Lords   I saw a film today, oh, boy The English Army had just won the war A crowd of people turned away But I just had to look Having read the book I'd love to turn you on   Four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen, nineteen, twenty     I read the news today, oh boy Four-thousand holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall I'd love to turn you on   Four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen, nineteen, twenty   Umm"
/songs/118166,The Beatles,A Hard Day's Night,https://genius.com/The-beatles-a-hard-days-night-lyrics,http://api.genius.com/songs/118166,A Hard Day's Night,1964-07-10," It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright   You know I work all day To get you money to buy you things And it's worth it just to hear you say You're gonna give me everything So why on earth should I moan Because when I get you alone You know I feel okay   When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeh   It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright Ah!     So why on Earth should I moan 'Cause when I get you alone You know I feel okay   When I'm home everything seems to be right When I'm home feeling  you holding me tight, tight, yeh   It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I feel alright You know I feel alright"
/songs/210540,The Beatles,Ain't She Sweet,https://genius.com/The-beatles-aint-she-sweet-lyrics,http://api.genius.com/songs/210540,Anthology 1,1995-12-04," Oh ain't she sweet? Well see her walking down that street Yes I ask you very confidentially Ain't she sweet?   Oh ain't she nice? Well look her over once or twice Yes I ask you, very confidentially Ain't she nice?   Just cast an eye In her direction Oh me, oh my Ain't that perfection?   Oh I repeat Well don't you think that's kind of neat? Yes I ask you, very confidentially Ain't she sweet?   Oh ain't she sweet? Well see her walking down that street? Yes I ask you, very confidentially Ain't she sweet?   Oh ain't she nice? Well look her over once or twice Yes I ask you, very confidentially Ain't she nice?   Just cast an eye In her direction Oh me, oh my Ain't that perfection?   Oh I repeat Well don't you think that's kind of neat? Yes I ask you, very confidentially Ain't she sweet?   Oh ain't she sweet? Well see her walking down that street? Well I ask you, very confidentially Ain't she sweet? Well I ask you, very confidentially Ain't she sweet?"
/songs/210315,The Beatles,A Little Rhyme,https://genius.com/The-beatles-a-little-rhyme-lyrics,http://api.genius.com/songs/210315,Live At The BBC. Disk 1,1994-11-30," Now, for the final number, John's got a card in his hand with a little rhyme on it. What is it?  It's from the form up a third at Hemel Hempstead  Oh!  It says, ""Dear George, John, Ringo, Paul, here's hoping that you'll please us all A beauty song and swinging voice, we leave it up to you, the choice We think you're fab and really cool, so brighten up our lads at school"" Dig this, for here's Paul, whistling ""Clarabella"""
/songs/123414,The Beatles,All I've Got to Do,https://genius.com/The-beatles-all-ive-got-to-do-lyrics,http://api.genius.com/songs/123414,With the Beatles,1963-11-22," Whenever I want you around, yeah All I got to do Is call you on the phone And you'll come running home Yeah, that's all I got to do   And when I, I want to kiss you, yeah All I got to do Is whisper in your ear The words you long to hear And I'll be kissin' you   And the same goes for me Whenever you want me at all I'll be here, yes, I will Whenever you call You just got to call on me, yeah You just got to call on me   And when I, I want to kiss you, yeah All I got to do Is call you on the phone And you'll come runnin' home Yeah, that's all I got to do   And the same goes for me Whenever you want me at all I'll be here, yes, I will Whenever you call You just got to call on me, yeah You just got to call on me"
/songs/123415,The Beatles,All My Loving,https://genius.com/The-beatles-all-my-loving-lyrics,http://api.genius.com/songs/123415,With the Beatles,1963-11-22," Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home everyday And I'll send all my loving to you   I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true And then while I'm away I'll write home every day And I'll send all my loving to you   All my loving I will send to you All my loving, darling I'll be true   Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home everyday And I'll send all my loving to you   All my loving I will send to you All my loving, darling I'll be true All my loving, all my loving ooh All my loving I will send to you"
