api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/1705336,Thomas Rhett,All American Middle Class White Boy,https://genius.com/Thomas-rhett-all-american-middle-class-white-boy-lyrics,http://api.genius.com/songs/1705336,It Goes Like This,2013-10-29," We wasn't rich, we wasn't poor Lived on a cul-de-sac 'til my parents divorced I drove a hand-me-down Ford pickup truck We had to drive ten miles just to sink it in the mud Come on, come on Come on, come on   I went to private school for a couple of years And I loved Jesus, but I still drank beer I played high school football, but I didn't start Coach said I was slow but I hit real hard   Hey, hey what can I say I grew up in the heartland USA I sing it loud and proud and I make a lotta noise I'm an all-American middle class white boy Hey, hey   Lived in the sticks 'til I moved to the city But the stars ain't as bright and the girls ain't as pretty I still say ""yes sir, ma'am and y'all"" So don't you be hatin' on the way I talk Hoss   Hey, hey what can I say I grew up in the heartland USA I sing it loud and proud and I make a lotta noise I'm an all-American middle class white boy Hey, hey   I like what I like, I am who I am And even when they lose, I'm still a Bulldog fan I rocked DMX when I was I kid And now I sing country music like my daddy did   Hey, hey what can I say I grew up in the heartland USA I sing it loud and proud and I make a lotta noise I'm an all-American Hey, hey what can I say I grew up in the heartland USA I sing it loud and proud and I make a lotta noise I'm an all-American middle class white boy Hey Middle class white boy Hey"
/songs/2893731,Thomas Rhett,American Spirit,https://genius.com/Thomas-rhett-american-spirit-lyrics,http://api.genius.com/songs/2893731,Tangled Up (Deluxe Edition),2016-10-28," Ridin' down red dirt Drivin' in a white truck Lookin' at a pretty blue sky Tired eyed kids playin' in a sprinkler Daddy drinkin' cold bud light Talk about a big life In a small town, ain't got a lot But we sure found what we were looking for Georgia red lipstick, tied white tanktop Levi denim blue eyes Bottle rockets blowin' up Hot dogs servin' up It ain't even fourth of july That's just how it is 'round here and we love it We wouldn't trade it all in for nothin' more   Ohhh It's in the song, baby can't you feel it? Ohhh And if you can't baby, listen to the lyrics It's Friday night freedom Football game It's proud of where you from Its your last name It's thirteen stripes and fifty stars in the wind So hold up your beer and holler if you hear it That American spirit   Old red six string, white piece of paper Scribbled down, lovin' blue ink Sweet pretty girl, sweet southern melody Sweep her right off of her feet It's a preacher, it's an aisle It's a ring on a finger and bible And a title on a fixer up house   Ohhh It's in the song, baby can't you feel it? Ohhh And if you can't baby, listen to the lyrics It's Friday night freedom Football game It's proud of where you from Its your last name It's thirteen stripes and fifty stars in the wind So hold up your beer and holler if you hear it That American spirit Ohhh It's in the song, baby can't you feel it? Ohhh And if you can't baby, listen to the lyrics It's Friday night freedom Football game It's proud of where you from Its your last name It's thirteen stripes and fifty stars in the wind So hold up your beer and holler if you hear it That American spirit   Ridin' down red dirt Drivin' in a white truck Lookin' at a pretty blue sky"
/songs/2316961,Thomas Rhett,Anthem,https://genius.com/Thomas-rhett-anthem-lyrics,http://api.genius.com/songs/2316961,Tangled Up,2015-09-25," This is the beat that puts the fire in your feet Gives you the license to be a little crazy This is the groove that gives you swagger to move And gets you talkin' real smooth to a lady This is the hook that gets you givin' the look That gets you gettin' the number in your pocket This is the part where the bass gonna start And even last call can't stop it   All night anthem Ain't never gonna leave your head All night anthem Ain't nobody goin' to bed 'Til the drinks go down And the sun comes up The rhythm's gonna hold you for ransom It's an all-night anthem   And this is the verse where you don't know the words And you don't give a damn cause it feels good Put a whole generation in heavy rotation Play it over and over and it's still good This is the sound of a big little town Just throwin' it down where the floor is You startin' to feel the momentum build So bring it on back to the chorus   All night anthem Ain't never gonna leave your head All night anthem Ain't nobody goin' to bed 'Til the drinks go down And the sun comes up The rhythm's gonna hold you for ransom It's an all-night anthem (Whoa, yeah) (Ooohhhhh oooohhh)   This ain't about who's got money And it ain't about what kind of car you drive This ain't about where you came from And it ain't about how you're gettin' home tonight This ain't' about who's got money And it ain't about what kind of car you drive This ain't about where you came from It's about livin' while you're alive   All night anthem Ain't never gonna leave your head All night anthem Ain't nobody goin' to bed 'Til the drinks go down And the sun comes up The rhythm's gonna hold you for ransom It's an all-night anthem   It's an all-night anthem, yeah, yeah It's an all-night anthem, baby All-night anthem All-night anthem"
/songs/2893734,Thomas Rhett,Background Music,https://genius.com/Thomas-rhett-background-music-lyrics,http://api.genius.com/songs/2893734,Tangled Up (Deluxe Edition),2016-10-28," Well it's shoulder to shoulder up in here tonight Got bottles poppin', floor is rockin', packed in tight It's hot, and it's hazy And it's loud, and it's crazy Girl, when you take my hand You don't even understand   Everything that's going on is just background music And everything except you girl just fades away It's like me and you, are the only two Dancin' 'round this crowded room So, tell me how you do it (tell me how do you do it) Turning everything into background music Tell me how you do it (tell me how do you do it) Turning everything Into background music (background music) (Hey, hey, hey!)   Girl it don't really matter where we are Your face outshines the moon, the sun, and stars (hey, hey) Baby, your eyes are like diamonds And your smile's so blindin' I could be front row at the Stones And I wouldn't even know they're on   Everything that's going on is just background music And everything except you girl just fades away It's like me and you, are the only two Dancin' 'round this crowded room So, tell me how you do it (tell me how do you do it) Turning everything into background music Tell me how you do it (tell me how do you do it) Turning everything into background music Tell me how you do it (tell me how you do it) Turning everything into background music Tell me how you do it (tell me how you do it) Turning everything into background music   Oh baby girl, you know you got all my attention Ain't even gotta say a word cause baby I miss it Everything that's goin' on is just background music (background music) Everything except you girl just fades away (fades away) It's like me and you are the only two Dancin' 'round this crowded room, so   Everything that's going on is just background music And everything except you girl just fades away It's like me and you, are the only two Dancin' 'round this crowded room So, tell me how you do it (tell me how do you do it) Turning everything into background music Tell me how you do it (tell me how do you do it) Turning everything into background music Tell me how you do it (tell me how you do it) Turning everything into background music Tell me how you do it Turning everything into background music"
/songs/4428635,Thomas Rhett,Beer Can't Fix,https://genius.com/Thomas-rhett-beer-cant-fix-lyrics,http://api.genius.com/songs/4428635,Center Point Road,2019-05-17," You're all alone at a party, you wanna dance with somebody But you ain't got a clue how to ask You and your girl had a fight and now she's sayin' goodbye She ran upstairs and packed her bags   It could be rainin' on your perfect vacation You could be stressed about your work situation Ain't gotta listen to me, but all I'm sayin'   Ain't nothing that a beer can't fix Ain't no pain, it can't wash away From the moment that it hits your lips Makes those clouds look a little less grey Oh, you could be lonely Or heartbroken Or hungover from the night before Turn that frown into a smile real quick There ain't nothing that a beer can't fix   You're on a lake and you're fishin' It's hot and all that you're gettin' is a little nibble here and there You're sitttin' watchin' your team losin' that championship ring And you're feelin like life ain't fair   It could be rainin' on your perfect  vacation You could be stressed about your work situation   Ain't nothing that a beer can't fix Ain't no pain, it can't wash away From the moment that it hits your lips Makes those clouds look a little less grey Oh, you could be lonely Or heartbroken Or hungover from the night before Turn that frown into a smile real quick Ain't nothing that a beer can't fix (Yeehaw!)   It could be rainin' on your perfect vacation You could be stressed about your work situation Ain't gotta save it for a special occasion  [Chorus: Thomas Rhett & Jon Pardi, Both] Ain't nothing that a beer can't fix Ain't no pain, it can't wash away, no From the moment that it hits your lips Makes those clouds look a little less grey Oh, you could be lonely (Lonely) Or heartbroken (Heartbroken) Or hungover from the night before Turn that frown into a smile real quick It might take one or it might take six Drink it down, it will do the trick Ain't nothing that a beer can't fix"
/songs/985259,Thomas Rhett,Beer with Jesus,https://genius.com/Thomas-rhett-beer-with-jesus-lyrics,http://api.genius.com/songs/985259,It Goes Like This,2012-09-04," If I could have a beer with Jesus Heaven knows I’d sip it nice and slow I’d try to pick a place that ain’t too crowded Or gladly go wherever he wants to go You can bet I’d order up a couple tall ones And tell the waitress put ‘em on my tab I’d be sure to let him do the talkin’ Careful when I got the chance to ask   Tell me, how’d you turn the other cheek To save a sorry soul like me? Do you hear the prayers I send? What happens when life ends? And when you think you’re comin’ back again? I’d tell everyone, but no one would believe it If I could have a beer with Jesus   If I could have a beer with Jesus Yeah, I’d put my whole paycheck in that jukebox And I'd fill it up with nothing but the good stuff Sit somewhere we couldn’t see a clock   And ask him, how’d you turn the other cheek To save a sorry soul like me? Have you been there from the start? How’d you change a sinner’s heart? And is heaven really just beyond the stars? Yeah, I’d tell everyone, but no one would believe it If I could have a beer with Jesus   He can probably only stay, for just a couple rounds But I hope and pray he’s stayin’ till we shut the whole place down   Ask him, how’d you turn the other cheek To save a sorry soul like me? What’s on the other side? Is Mom and Daddy alright? And if it ain’t no trouble, tell them I said hi I’d tell everyone but no one would believe it If I could have a beer with Jesus I’d tell everyone but no one would believe it If I could have a beer with Jesus"
/songs/1056673,Thomas Rhett,Call Me Up,https://genius.com/Thomas-rhett-call-me-up-lyrics,http://api.genius.com/songs/1056673,It Goes Like This,2013-10-29," When you're sick of the same old songs From the same old band on the bar marquee, call me up If you're climbin' the walls, baby we could hang, hang, hang If you're ridin' around this re-run town And you need a little company baby, call me up Hit me up, tell ya what, it ain't no thang thang thang   Call me up Yeah I'm down if you feel like messin' around Whatever you want, shoot, I don't care, you can come over here I can come over there And pick you up, that's right On a sit around Saturday night with nothing to do And you just want something to do Hey why don't you call me up All you gotta do, all ya gotta do, is call me up And I'll pick right up   When you're starin' at the same ol ceiling And you're watching the fan go 'round and round call me up Whatcha waitin' on girl give me a ring, ring, ring I'll flip the script, I'll hit the switch When that bottle of wine ain't doin' the trick, baby get your fix Girl let your lips say my name, name, name   Call me up Yeah I'm down if you feel like messin' around Whatever you want, shoot, I don't care, you can come over here I can come over there And pick you up, that's right On a sit around Saturday night with nothing to do And you just want something to do Hey why don't you call me up All you gotta do, all ya gotta do, is call me up And I'll pick right up   When you're twistin' your hair with your feet up on the couch Don't wanna go nowhere or if ya wanna get out Call me up   Yeah I'm down if you feel like messin' around Whatever you want, shoot, I don't care, you can come over here I can come over there And pick you up, that's right On a sit around Saturday night with nothing to do And you just want something to do Why don't you call me up All you gotta do, all ya gotta do, is call me up And say what's up   Get out your phone girl if you're home alone girl Don't ya know girl, all you gotta do is call me up Yeah, call me up"
/songs/3234490,Thomas Rhett,Cardboard Heart,https://genius.com/Thomas-rhett-cardboard-heart-lyrics,http://api.genius.com/songs/3234490,Life Changes,2017-09-08," We carved our initials that old live oak tree Your hand next to my hand in the brand new concrete Your love changed just like the weather So cold, girl, I oughta wear a sweater Who knew that forever could be so temporary?   Sometimes I wish I had a cardboard heart It wouldn't hurt me when you tore it apart And movin' on wouldn't be so dang hard If I only, if I only had a cardboard heart   Fold it up, I could just fold it up and move on, yeah Fold it up, I could just fold it up and move on   There ain't no prescription for this breakup drama No kind of physician that could fix this trauma Now she's on a plane to Hawaii First class with a brand new guy Who knew she could play me like an old ukulele?   Sometimes I wish I had a cardboard heart It wouldn't hurt me when you tore it apart And movin' on wouldn't be so dang hard If I only, if I only had a cardboard heart   Fold it up, I could just fold it up and move on, yeah Fold it up, I could just fold it up and move on   Oughta head down to the UPS Grab a box, cut it out, stick it on my chest I know it ain't real, but it feels no pain Now sing along with me if you feel the same   Sometimes I wish I had a cardboard heart It wouldn't hurt me when you tore it apart And movin' on wouldn't be so dang hard If I only, if I only had a cardboard heart   Fold it up, I could just fold it up and move on, yeah Fold it up, I could just fold it up and move on Fold it up, I could just fold it up and move on, yeah Fold it up, I could just fold it up and move on"
/songs/3360205,Thomas Rhett,Castle on the Hill,https://genius.com/Thomas-rhett-castle-on-the-hill-lyrics,http://api.genius.com/songs/3360205,Spotify Singles,2017-12-08," When I was six years old I broke my leg I was running from my brother and his friends And tasted the sweet perfume of the mountain grass I rolled down I was younger then, take me back to when I   Found my heart and broke it here Made friends and lost them through the years And I've not seen the roaring fields in so long, I know I've grown But I can't wait to go home   I'm on my way Driving at 90 down those country lanes Singing to ""Tiny Dancer"" And I miss the way you make me feel, and it's real We watched the sunset over the castle on the hill   Fifteen years old and smoking hand-rolled cigarettes Running from the law through the backfields and getting drunk with my friends Had my first kiss on a Friday night, I don't reckon that I did it right But I was younger then, take me back to when   We found weekend jobs, when we got paid We'd buy cheap spirits and drink them straight Me and my friends have not thrown up in so long, oh how we've grown But I can't wait to go home   I'm on my way Driving at 90 down those country lanes Singing to ""Tiny Dancer"" And I miss the way you make me feel, and it's real We watched the sunset over the castle on the hill Over the castle on the hill Over the castle on the hill   One friend left to sell clothes One works down by the coast One had two kids but lives alone One's brother overdosed One's already on his second wife One's just barely getting by But these people raised me And I can't wait to go home   And I'm on my way, I still remember These old country lanes When we did not know the answers And I miss the way you make me feel, it's real We watched the sunset over the castle on the hill Over the castle on the hill Over the castle on the hill"
/songs/3234486,Thomas Rhett,Country Gold,https://genius.com/Thomas-rhett-country-gold-lyrics,http://api.genius.com/songs/3234486,Life Changes,2017-09-08," Anybody wanna pop a top on a random Tuesday night? Anybody wanna build a fire in a circle of truck headlights? Anybody wanna hit the field and get into some trouble? Or go way, way, way back in the woods with a big ol' capital W? You got my number, hit me up if you're tryin' to fill your cup All you ladies in Luccheses with that denim all riped up, I'm singin'   Ain't no gate code, just hop that fence Ain't no dress code, baby, come on in Just pour your worries on Sonic ice, yeah And we gon' get you feelin' alright   Got that country gold comin' out of your radio A little more funk at the end of your gravel road Ain't tryin' to brag, but we got it all figured out That's how we do it in the dirty south Break it down like, like, like   The smaller the town, the bigger the party (We gon' turn it up) We out in the sticks and gettin' it started So grab all your friends and tell everybody The smaller the town, the biggger the party (Turn it up some) I will not take a pill in Ibiza, but I will do a shot of tequila I'll break out my guitar under the stars And sing you some Oh My Maria Yeah, we got a handle of Tito's just me and all my amigos Gonna hit a little bump, bump, bumpy road On the way to the spot only we know   Ain't no gate code, just hop that fence Ain't no dress code, baby, come on in Just pour your worries on Sonic ice, yeah And we gon' get you feelin' alright Got that country gold comin' out of your radio A little more funk at the end of your gravel road Ain't tryin' to brag, but we got it all figured out That's how we do it in the dirty south Break it down like, like, like And the drums go Break it down, hey   Ain't no gate code, just hop that fence Ain't no dress code, baby, come on in Just pour your worries on Sonic ice, yeah And we gon' get you feelin' alright   Got that country gold comin' out of your radio A little more funk at the end of your gravel road Ain't tryin' to brag, but we got it all figured out That's how we do it in the dirty south Break it down like, like, like (One more time, like) Got that country gold comin' out of your radio A little more funk at the end of your gravel road Ain't tryin' to brag, but we got it all figured out That's how we do it in the dirty south Break it down like, like, like   Ah, that country gold, ah Country gold"
