api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/30274,Timbaland,2 Man Show,https://genius.com/Timbaland-2-man-show-lyrics,http://api.genius.com/songs/30274,Shock Value,2007-02-04," Hold up y'all, hold up Not yet Elton, hold up Let the beat ride for one second Now... Go 'head John Go 'head John I like that Yeah Hmm Let's move it out, let's move it out Break it down like this (Ooh-ooh-ooooh-ooooh-ooh-oooooh) (Ooh-ooh-ooooh-ooooh-ooh-oooooh) Yeah, yeah, yeah (Ooh-ooh-ooooooooooh) Uh-huh (ooooooooooh) uh-huh (OOOOOOOOOOH!) Yeah, yeah (Ooh-ooh-ooooooooooh-ooooooooooh-ooh) Let's move it out like this (HUMMMMMMMMMMM) Bring it in   I heard that (yeah) come on and play that back (uh-huh) I'm really feelin that (yeah) c'mon let's smash the track (uh-huh) It's just a regularrrrr (regular baby) Two man show (uhh, uhh, uhh, uhh, uhh, I SAID) I heard that (yeah) come on and play that back (huh?) I'm really feelin that (what?) c'mon let's smash the track (uh-huh) It's just a regularrrrr (regular baby) Two man show (uhh, uhh, uhh, uhh, uhh)   (Ooh-ooh-ooooooooooh) Yeah (ooooooooooh) yeah (ooh-ooooooooooh) Don't it sound good to ya, don't you agree? (Ooh-ooh-ooooooooooh) Yeah (ooooooooooh) yeah (ooh-ooooooooooh) Don't it sound good to ya, don't you agree? (Ooh-ooh-ooooooooooh) Yeah (ooooooooooh) yeah (OOOOOOOOOOH!) Say what? (Ooh-ooh-ooooooooooh-ooooooooooh-ooh) Break it down for me (HUMMMMMMMMMMM) Slow it up Yeah Uh-huh C'mon Elton, break it down Elton, what, huh? OHHH! Yeah   I heard that (I heard that) come on and play that back (come play it) I'm really feelin that (I'm feelin it) c'mon let's smash the track (uh yeah) It's just a regularrrrr (regular baby) Two man show (sounds so good, DON'T YOU AGREE?) I heard that (huh?) come on and play that back (HUH?) I'm really feelin that (YEAH?) c'mon let's smash the track (c'mon!) It's just a regularrrrr (regular baby) Two man show (two man show that is, me and Elton John)   (Ooh-ooh-ooooooooooh-ooooooooooh-ooh-ooooooooooh) Don't it sound good to ya, don't you agree? (Ooh-ooh-ooooooooooh-ooooooooooh-ooh-ooooooooooh) Don't it sound GOOD to ya, don't you agree? (Ooh-ooh-ooooooooooh-ooooooooooh) Just switch it up right here (OOOOOOOOOOH!) Yeah, I like that (Ooh-ooh-ooooooooooh) Why? (ooooooooooh-ooh) Gimme that, gimme that (HUMMMMMMMMMMM) {*whispering*} I like that~!   C'mon Elton, take me to the higher levels Go higher than that baby Higher! (HUMMMMMMMMMMM) Switch it up... I like that! Huh, huh (HUMMMMMMMMMMM) Kill 'em Yeah, ease it out for 'em I like that Now grab your cigar, grab your lady Hug her tight and tell her that you love her Uh-huh, uh-huh, uh-huh It's been a pleasure y'all Shock Value, is now, officially over Me, and Elton John, signin out"
/songs/30294,Timbaland,3:30 in the Morning,https://genius.com/Timbaland-3-30-in-the-morning-lyrics,http://api.genius.com/songs/30294,Tim's Bio: Life From Da Bassment,1998-11-28," Tell me why you trippin', out on me, mm Everytime I wanna hang out You get mad at me Why can't I do the things, that I like to do, mmm Why can't you put your trust in me Like I put my trust in you Even if I'm...   Even if I'm out 'til 3:30 in the morning I won't talk to no one, I'ma tell 'em about my honey Even if the guys try to tip me with their money I'ma let 'em know I'm dedicated to my honey   Why you wanna argue with me, all the time? Even when I'm out with my girls You be on my mind Why can't you sit down And understand That no matter where I be, or where I am I let them know that you're my man, you're my man   Even if I'm out 'til 3:30 in the morning I won't talk to no one, I'ma tell 'em about my honey Even if the guys try to tip me with their money I'ma let 'em know I'm dedicated to my honey   No one but you I'll be coming home to you No one but you Even if it's after two   Even if I'm out 'til 3:30 in the morning I won't talk to no one, I'ma tell 'em about my honey Even if the guys try to tip me with their money I'ma let 'em know I'm dedicated to my honey"
/songs/71560,Timbaland,808,https://genius.com/Timbaland-808-lyrics,http://api.genius.com/songs/71560,Timbaland Thursdays ,2011-01-27," I can't believe you be coming around the clock with that same old blahzay I got plans to drive past you, to make you regret, yeah And why the hell you be parked with your volume, turned up all the way I'm not a phantom, you're picking your snare, your career'sin jeopardy I got pretty big songs, pretty big songs, yeah, yeah I got speakers and sounds, bigger than dolls, yeah, yeah None of that,(clapping) in the beat here, beat down man, yeah, yeah I won't tell you radio go away  And when the music's gone, there be no more songs, no more songs When the party's broke, I said I still live on, still live on And when the music's gone, there be no more tone, no more tone When the spell is broke and that I have told, I still got getaway  You hear me from a block away, I still got getaway Check it, I got the feeling I'mma hurt your feelings when you hear my system Check it, so loud my surround sound will take no victims I'm not a phantom, you're picking your snare, your courage is in jeopardy I got pretty big songs, pretty big songs, yeah, yeah I got speakers and sounds, bigger than dolls, yeah, yeah None of that,(clapping) in the beat here, beat down man, yeah, yeah I won't tell you radio go away  And when the music's gone, there be no more songs, no more songs When the party's broke, I said I still live on, still live on And when the music's gone, there be no more tone, no more tone When the spell is broke and that I have told, I still got getaway  You hear me from a block away, I still got getaway Baby can you hear me now, can you hear me now? Baby can you hear me now, can you hear me now?  I'm like the bass and the trunk if you want I can ride the way Baby just tell me where you're at and I'm on my way No matter how far, we could push cruise control Any way you want, tell me where you want to go  And when the music's gone, there be no more songs, no more songs When the party's broke, I said I still live on, still live on And when the music's gone, there be no more tone, no more tone When the spell is broke and that I have told, I still got getaway Get over, you hear me from a block away, I still got getaway"
/songs/2506716,Timbaland,All I See Is You,https://genius.com/Timbaland-all-i-see-is-you-lyrics,http://api.genius.com/songs/2506716,King Stays King,2016-02-03," Not that i'm cocky or anything But any other nigga that i'm fucking with Any other bitch that he had or that he will have It doesn't matter that bitch could cook for u That bitch is prettier than me That bitch can have more money than me it doesn't matter Cause could round all them hoes up Dick sucking contest i'm winning   In a world full of pretty ass women all i see is you In a world full of big ol booty stippers all i see is, you In a world where they fucking cause you next All i see is you the best baby fuck the rest All i all i, all i see is you babe Oh my oh my all i see is you babe All i all i, all i see is you babe Oh my oh my all i see is you babe   She never need a man and I know that she gon go and get the dough And she could make it back, go get it Shawty never go without the cashflow, she don't Stake the stake she going where the cash go Keep them broke ass niggas far away from her Small circle of friends, stay away from drama All Day everyday put her kids first Never settle for whatever cause shawty know her worth Your independence makes you so sexy girl i can't believe it Got me all up in my feelings Always on ma mind girl you super duper stupid fine and you're mine Everytime you walk by so fly I wish i could press rewind Girl you a dime i wish i could multiply you   In a world full of pretty ass women all i see is you In a world full of big ol booty stippers all i see is, you In a world where they fucking cause you next All i see is you the best baby fuck the rest All i all i, all i see is you babe Oh my oh my all i see is you babe All i all i, all i see is you babe Oh my oh my all i see is you babe"
/songs/104641,Timbaland,All Y'all,https://genius.com/Timbaland-all-yall-lyrics,http://api.genius.com/songs/104641,Timbaland Thursdays ,2001-10-01," Uh, feel me To all the women across the world, we can't diss y'all We gotta love ya, that's real, uh   To all my ladies in lingerie Never underage, who stay gettin paid Who like to take trips where the sun is shade To my women who love to ball out And spend all that money 'til ya fall out I feel like a pimp with a different pimp game With a different pimp name, with a little pimp fame I'm loaded with cash, loaded with class, loaded with a lot of things Even got a gat loaded for that ass I love my mind, love my soul, love my body I don't drink or smoke that's why I love my body You might catch me chillin with a little short hottie With a little piercin on her body Yes, I get it poppin, 'specially overseas Japenese girls even love my beats They say, ""Timbaland we love you We love the dope things that you do"" Even in London they say, ""Tim, we love ya"" They even call me things like wicked, and the f'n gov'na That's why I can't forget y'all That's why I had to make this roll call, uh   This here's for one and all It's so good to feel all a y'all, oooh Make that move and just ball out, oooh Life's too short for some time out, oooh This here's for one and all It's so good to feel all a y'all, oooh Make that move and just ball out, oooh Life's too short for some time out, oooh   Back when shorty cherished the thing Yo' time was frequently saved For us stoppin and whiskey popping to the Marvin and Gaye Sonny, don't plan tomorrow but live for today Sonny, here's a quarter for that groovy arcade From Cool J to Kane dawg, we changin the game So graphic with things Pac-Man ain't looking the same Haters, get more familiar who you robbing for change Sebast', a.k.a. Tyler Durden's the name   Guess what people It's the first of the month Guess what people, I can do what I want I can take, all my peoples on first class flights I can buy all my homegirls lightning new bikes I'm a don when it comes to just servin girls I'm a don so that's why nobody's in my world Cause Timabaland's that cool cat Aka Thomas Crown, don't forget that, uh   I'm just tryna find what I need But I'd rather be smokin weed   Live life to the fullest, drive cars, eat hot food Live in a mansion next to Hanson   I ain't forgot that I'm from yo' hood I'm just tryna' be who you would   Cause I hate the game, I hate the glory I could be with y'all It would be another story   You don't know all the things I seen More than fame and his naked greed   They took my cash, take my name Put it up in bright lights I ain't got a damn right   Think I'm chilling and living large Girl he's Mag not El DeBarge   But I'm a be the man in charge in due time All my P-Town folk getting paid, bottom line  "
/songs/30287,Timbaland,Birthday,https://genius.com/Timbaland-birthday-lyrics,http://api.genius.com/songs/30287,Tim's Bio: Life From Da Bassment,1998-11-28," Oahahohhhhhhhh Happy birthday baby Baby, baby, baby   Girl when you're with me You know we ball For sure And baby every time I have a ball With you So I made reservations for, this special day Baby Baby bring your baby oil, and your lingerie C'mon   We got a five star room, the luxury suite With marble floors, and don't thank me Cause I did -- I did this for your birthday All for you, all for you With a king size bed, the Cognac bar The sweet TV with the VCR And I did it -- I did this for your birthday  Yeahahahah, yeah yeah yeah Whoahowhoa, ahh yeah   I felt like I could break a couple of rooms, for you That's how I brought myself to buy this expensive room Let's do it in the jacuzzi On the balcony, baby, whoahhahhh Girl let's enjoy this special night Cause the bill's on me   We got a five star room, the luxury suite With marble floors, and don't thank me Cause I did -- I did this for your birthday (didn't i, didn't i, didn't i Didn't i do it baby) With a king size bed, the Cognac bar The sweet TV with the VCR And I did it -- I did this for your birthday (I'm what you want, I'm what you need)   Let's get on the floor - let's get on the floor Let's get in the chair - in the chair On the sink - on the sink In the bed - in the bed Back on the rug - back on the rug In the tub - in the tub I perform - I perform Anywhere - anywhere  [Chorus till ride out- w/Playa adlibs]"
/songs/30279,Timbaland,Boardmeeting,https://genius.com/Timbaland-boardmeeting-lyrics,http://api.genius.com/songs/30279,Shock Value,2007-02-04," Clap your hands everybody, if you got, what it takes I'm Timbo and I want you to know that these, are, da breaks! (Uh-huh, uh-huh) Hey, get your back up off the wall (Uh-huh, uh-huh) Hey, get your back up off the wall (Uh-huh, uh-huh) Hey, get your back up off the wall (Uh-huh, uh-huh) Huh, let me tell you   You got me feenin' for your body parts You said you're lonely and you need it bad Come and see me when you wanna start And where we're going, you don't have to ask   Come to my cipher, put that blunt in the air Let me seduce you, let me play in your hair I see that you're hyper, let's take it upstairs Hey girl, let's have a meeting, meeting   I know a quiet place where we can talk Girl, relax and let me do my thang Baby, I don't wanna break yo' heart I just wanna make you say my name   Come to my cipher, put that blunt in the air Let me seduce you, let me play in your hair I see that you're hyper, let's take it upstairs Hey girl, let's have a meeting, meeting   I'mma check, make her heart break her man fo' sho' In the back in my mind, girl, you in for dough Even though you a stunt, I'm a fan of chess Role-play, you the best, you supply the sess Yes, I'm a fiend of your hole One hit of you and I lose control I look through your eyes, I'mma see your soul Bank roll and a hole through the cars and go   Come to my cipher, put that blunt in the air Let me seduce you, let me play in your hair I see that you're hyper, let's take it upstairs Hey girl, let's have a meeting, meeting   (Uh-huh, uh-huh) Get your back up off the wall (Uh-huh, uh-huh) Hey, get your back up off the wall (Uh-huh, uh-huh) Get your back up off the wall (Uh-huh, uh-huh) Meeting's adjourned (Heh, the meeting just begun, watch this)"
/songs/30278,Timbaland,Bombay,https://genius.com/Timbaland-bombay-lyrics,http://api.genius.com/songs/30278,Shock Value,2007-02-04," {*harmonizing for 6 seconds*}  Mere zindagi... tere ho gayhe (c'mon) Ye diwanagi (huh) na roke kubi (yeah)   Mere zindagi, tere ho gayhe (Bring it back) Ye diwandigi, na roke kubi (Bring it back) Mere zindagi, tere ho gayhe (Bring it back) Ye diwandigi, na roke kubi (Break it down) Mudhoss hayra dil mai bat kiya? (Say what?) Ah-ha-ha-ha, pucho na; ah-ha-ha-ha, pucho na Mudhoss hayra dil mai bat kiya? Ah-ha-ha-ha, pucho na; ah-ha-ha-ha (Frikki-frikki-c'mon) Ahja tu ahja mere saminay tu ahja jaanu (Ah) Kitna tashowu gay, kitna bolowo gay muchay tum (Ah) Ahja tu ahja mere saminay tu ahja jaanu (Oh) Kitna tashowu gay, kitna bolowo gay muchay tum (Frikki-frikki-uh)   Ain't no way in the world I'm gon' leave you, baby You're my treasure and I got the key to you, baby Let's ride on my Titanic, baby Daily lovin' go down as one of the greatest There's no me without you, you Baby girl, you make my dream come true, sing it to me Tu hay tu hay, hum yaha hay Aahoo chulay, ish jahan say Aahoo millay, zazah millay Ubb hum bahoto, ek ho jahay   Hey, hey, hey, hey - put it up y'all Hey, hey, hey, hey - and give it to me Hey, hey, hey, hey - put it up y'all Hey, hey, hey, hey - and give it to me (C'mon) Hey, hey, hey, hey - put it up y'all Hey, hey, hey, hey - and give it to me Hey, hey, hey, hey - put it up y'all Hey, hey, hey, hey - and give it to me Hey, hey, hey, hey - put it up y'all Hey, hey, hey, hey - and give it to me   Hey, hey, hey, hey - put it up y'all Hey, hey, hey, hey - Jim Beamz break it down now   Ooooooo-ah-ahhhhh, ooooooo-ah-ahhhhh (I like that, uh) Ooooooo-ah-ahhhhh, ooooooo-ah-ahhhhh (I like that, uh) Ooooooo-ah-ahhhhh, ooooooo-ah-ahhhhh (I like that, uh) Ooooooo-ah-ahhhhh, ooooooo-ah-ahhhhh (frikki-frikki-break, down)  {*skatting for the last 20 seconds*}"
/songs/30275,Timbaland,Bounce,https://genius.com/Timbaland-bounce-lyrics,http://api.genius.com/songs/30275,Shock Value,2007-02-04," (Tempo has reached critical level) (Tempo has reached critical level)   Come here girl, come here girl, come here girl, bounce Come here girl, come here girl, come here girl, bounce Come here girl, come here girl, come here girl, bounce Come here girl, come here girl, come here gi-ir-rl   Let me see them big titties Don't be actin' sad-idy you're not pretty Break bread if you wanna get with me All I wanna do is dig up in them kidneys Tell your boyfriend he better mind his business 'Fore he end up in the trunk of my Bentley I'm considered a boss, you can't get me You ain't got enough paper to deal with me Baby girl wanna two step with me Turn around with her ass up against me Roll along and got tipsy, hit it tonight, tomorrow you the mystery All you haters on that ho shit miss me I stay strapped, security don't frisk me Fed it off 'til the motherfucker empty I'll turn around and do the same shit next week, come on   (Bounce) like your ass had the hiccups (Bounce) like we was ridin' in my pickup (Bounce) why you lookin' so sad, baby girl? You need to cheer up (Bounce) I got the remedy, it's you on me and me on you It's you on me and me on you and you on her And her on me, and her on you, and y'all on me And me on y'all and y'all on me Ménage à trois, ménage à trois, ahh, uhh  [Verse 2: Dr. Dre] There she go, just what the doc's been lookin' for She just what I need, lookin' Chinese like Sum Yung Ho I got a bungalow, we can disappear for a week or so Yeah, I gotta stadium flow, Superbowl with it like I'm Dungy, yo Oh, yes, congratulations, you run a millionaire invitation Sorry I'm so demanding You can save the dancing for back at the mansion And this money handsome, ain't that a panty anthem? I kill me, just like you from the back, you'll see   (Bounce) like your ass had the hiccups (Bounce) like we was ridin' in my pickup (Bounce) why you lookin' so sad, baby girl? You need to cheer up (Bounce) I got the remedy, it's you on me and me on you It's you on me and me on you and you on her And her on me, and her on you, and y'all on me And me on y'all and y'all on me Ménage à trois, ménage à trois, ahh, uhh   Hold up, hell naw, like Britney Spears, I wear no drawls In the club I drink it up, goomp goomp, drink it up Got Patron sippin' in my cup, hey, where's your man? I bet that I could make him love me, oooh When he see the jugs he will wanna rush to get a quick touch Of this big ole butt, mmhmm, big ole butt Thick legs, big ole jugs, legs stick like rims on the truck Take 'em to the crib, yeah, we gon' fuck You could call me a freak, I like to get BUCK, BUCK And I don't have to do much to make him get it up Sum Yung Ho, she worth two dollars I'm worth more dollars than make up beauty parlors I pop collars, ca-ca-ca-ca-collars I don't buy shots, I only buy the bottles Only rich girls, we only buy the bottles But like a porn star, I'm best when I swallow   (Bounce) like your ass had the hiccups (Bounce) like we was ridin' in my pickup (Bounce) why you lookin' so sad, baby girl? You need to cheer up (Bounce) I got the remedy, it's you on me and me on you It's you on me and me on you and you on her And her on me, and her on you, and y'all on me And me on y'all and y'all on me Ménage à trois, ménage à trois, ahh, uhh"
/songs/1835575,Timbaland,Break Ya Back,https://genius.com/Timbaland-break-ya-back-lyrics,http://api.genius.com/songs/1835575,None,2012-04-17," Do that, you the big boy prove that, yeah Or you like the way I do that , yeah Got the club like cootie, yeah What I'm trying to do is Break ya back (Uh-huh), Break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), Break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), break ya back (Uh-huh)   (Go on, Tim) Timmy is my nickname, making beats' my main thing When it comes to women, if you know you're working bootey Money is no object, what I want I got that Don't get it twisted, cause I still hand in the budgets Platinum plaques from way back, look what I provided Virginia on the map now we causing a riot And the Virginia Islands, Belly you's a hot-head I'm so fly, can't tell I switched to chocolate Back to this clubin' ""Lady where's your husband?"" I got you thighs rubbin from this bass I be pumpin (Bum bum bum bum bum) Timbaland I be buzzing Haters I hear ya talking but ya be soundin' fuzza' When I know you love me, only God above me Timbaland, Timbaland got to got to cry out for me Go and toast your bluntly, Act a fool, get ugly Cause I'm bout to beak ya, break ya Break yo back homie  [Pre-Hook: Timbaland (Dev)] Break your back homie (Uh-huh), Break your back homie (Uh-huh) Break-break-break-break, Break-break-break-break (Uh-huh) Break your back homie (Uh-huh) Break your back homie (Uh-huh), Break your back homie (Uh-huh) Break-break-break-break, Break-break-break-break (Uh-huh) Break your back homie (Uh-huh)   Do that, you the big boy prove that, yeah Or you like the way I do that , yeah Got the club like cootie, yeah What I'm trying to do is Break ya back (Uh-huh), Break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), Break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), break ya back (Uh-huh)   Dev out here from Cali, no one in my alley All the boys is at me tryna find my hidden valley All dressed in Cavalli, in a black Denali My swagger is so, so, so hot, I can start a pep rally The game, they can't deny me, bitches is gon' try me I just keep on going cause I'm cooler than ice-cream Dev on your flatscreen, yes, I rap plus sing I know you wanna be my be like me but you can be my offspring Hehe hehe hehe, boys, calm yo pee pee I know you see this phatty but no touchies and no feelies Boom boom boom boom boom, the bass breaking ceiling I'm the top, bitch, don't get caught in your feeling Get used to hear me, better yet, just kill me I'm gon' be around for a while, you feel me? Club in the frizzy, all my girls tipsy Now who in the world, the world you know fucking with me? Imma   Break ya back (Uh-huh), Break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), Break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), break ya back (Uh-huh)   Do that, you the big boy prove that, yeah Or you like the way I do that , yeah Got the club like cootie, yeah What I'm trying to do is Break ya back (Uh-huh), Break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), Break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), break ya back (Uh-huh) I'm tryna break ya back (Uh-huh), break ya back (Uh-huh)   My gatorade is different, Girl's like body piercing I'm here right now in your town and down *Phew* like a worldwind My-my-my master done this darling, but who been really carin' L-L-long as it sounds good and my bass hit was a low hit F-F-fella keep that chosen, cause you don't really know them Some girls they look clean, but they clean is really poison A.B. is the foundation, and MoNiKe is dispose You all be callin' us if you don't heat up precation Uh-uh-uh, I'm nauseous, I'm so cold you frost-bit I still got it, my crew got it, but nigga you lost it Be machine incause it, put it in your closet And don't try to compete with me People be nigga forfeit You need to make wise choice, cause I'm like fresh big porget My engine is like, like-like-like 700 hundred horses Orianous light your torches Act a fool get towards it Cause I'm bout to break-break-break Break ya back, homie   Break your back homie, Break your back homie Break-break-break-break, Break-break-break-break Break your back homie Break your back homie, Break your back homie Break-break-break-break, Break-break-break-break Break your back homie"
