api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2335480,Toby Keith,10 Foot Pole,https://genius.com/Toby-keith-10-foot-pole-lyrics,http://api.genius.com/songs/2335480,35 MPH Town,2015-10-09,"We were 'bout as tight as we could be Cooked peas in a pot, thick as theives Never saw me without her Well, so much for the way things were We blew up, she blew by I ain't seen her since it all went south She don't call, she don't swing by She don't even know if I'm dead or alive  We were burnin' it up like Bonnie and Clyde Takin' on the world, baby, side by side Born to be together And lettin' the good times roll She changed her tune while I was busy strummin' We got so close I didn't see it comin' The hot time in this old town sure turned cold Hell, now I couldn't touch her with a ten foot pole  Saw her momma at the store, she wouldn't speak And her danged ol' daddy burned a hole through me You won't know it if you seen us at the mall That I was gonna be their son-in-law It's almost like I never met her She can write me off if it makes her feel better Our love is dead but I didn't die You can't take back that five year ride  We were burnin' it up like Bonnie and Clyde Takin' on the world, baby, side by side Born to be together And lettin' the good times roll She changed her tune while I was busy strummin' We got so close I didn't see it comin' The hot tme in this old town sure turned cold Hell, now I couldn't touch her with a ten foot pole  We were burnin' it up Like Bonnie and Clyde Takin' on the world Side by side She changed her tune while I was busy strummin' We got so close I didn't see it comin' The hot time in this old town sure turned cold Hell, now I couldn't touch her with a ten foot pole"
/songs/194629,Toby Keith,11 Months And 29 Days,https://genius.com/Toby-keith-11-months-and-29-days-lyrics,http://api.genius.com/songs/194629,Bullets In The Gun,None," When I busted in Austin Walking around in a daze Man, I am sitting in the slammer Looking out through the bars across a haze   It will all clear up In 11 months and 29 days   Keep that Lone Star cold The dance floor hot while I am gone Keep the Lone Star cold Dance floor hot while I am gone While I am gone  Keep your hands off my baby I am not going to be gone that long Incognito bandito   That old judge put a sledgehammer Put it in my hand when he said I am going to send you down to Huntsville And I am going to shave your face And I am going to shave your head  Doing 11/29 Cement floor for my bed  "
/songs/2290946,Toby Keith,35 MPH Town,https://genius.com/Toby-keith-35-mph-town-lyrics,http://api.genius.com/songs/2290946,35 MPH Town,2015-10-09," Mama locked the door last night For the first time in all of her years I said Mama you gotta be kiddin' me She said things ain't like they used to be 'round here You just wouldn't believe it Kids growin' up without Jesus A good thing your Daddy ain't here to see this now They stay higher than the water tower In this thirty-five mile an hour town   She said it ain't the drugs, it ain't the booze I've had a back road buzz or two myself It seems like heaven's slippin' further away The devil ain't got far to go when they raise hell We used to burn a hole through midnight Smoking a stolen Marlboro Light and On a good night might kill a fifth of Crown But now there's a lower higher power In this thirty-five mile an hour town   Oh we can't blame the babies for growin' up lazy And crazy, it ain't them that let them down If they ain't stealin', they're suin' Why work when we'll give it to 'em It's right there in the Bible we don't put out Spare the rod and you'll sour a Thirty-five mile an hour town   The ""yes ma'am's"" gone and the ""please's"" too It's out the door with the ""thank you"" In the evening you don't see a front yard football game The neighbor kids have done away With the shirts and skins No one hits the front porch lights To get their kids to come inside Cause the streets ain't safe For a bike to ride down Since they printed a prowler In this thirty-five mile an hour town   No they're going nowhere fast tonight No matter how fast they drive in this Thirty-five mile an hour town"
/songs/2840619,Toby Keith,A Few More Cowboys,https://genius.com/Toby-keith-a-few-more-cowboys-lyrics,http://api.genius.com/songs/2840619,None,2016-07-08," If the White House was in Texas, man We'd get a straighter answer If they'd let us smoke what we want We'd have a lot less cancer   There'd be a bunch more daddies Sons could be proud of We'd have half the crime We'd have twice the fun   With a few more cowboys Be a lot less outlaws With a few more amens Be a lot less bad calls With a few more yes Ma'ams And a lot less yes men This world would be a better place to live in With a few more cowboys   If we did it with a handshake We'd save a lot of paper That'd save a lot of trees We're shipping overseas to make her   If we stood by our word Took care of our own Bought it made in the USA We'd keep it here at home   With a few more cowboys Be a lot less outlaws With a few more amens Be a lot less bad calls With a few more yes Ma'ams And a lot less yes men This world would be a better place to live in With a few more cowboys   If we had a little more grit Less politics, more fist fighting Met 'em at high noon Hell, it's about high time We looked 'em in the eye Got our head out of the sand Hit 'em with a big John Wayne By God, they'd understand   With a few more cowboys Be a lot less outlaws With a few more amens Be a lot less bad calls With a few more yes Ma'ams And a lot less yes men This world would be a better place to live in With a few more cowboys   All in all we'd have a better world With a few more cowboys We'd have a few more cowboys With a few more cowboys   If the White House was in Texas, man We'd get a straighter answer If they'd let us smoke what we want Be a lot less cancer"
/songs/194614,Toby Keith,Ain't Breakin' Nothin',https://genius.com/Toby-keith-aint-breakin-nothin-lyrics,http://api.genius.com/songs/194614,Bullets In The Gun,None," I told you when I met you, do not try to love me But I love you for trying to anyway You are crying and it do not surprise me That you cannot find it in your heart to stay  This is not the first time to be my own worst enemy Baby, do not you worry, you found me   You is not saying nothing that is not been said You is not leaving something that is not been left Is not bringing me nothing I do not already know   You is not doing nothing that is not been done Is not starting something that is not begun And you say that it would not kill me to watch you go But you is not breaking nothing that is not already broke   I used up all the whiskey Me and Jesus got by But still you goodbye kiss me No matter how hard I try  I am down lower than I like to go This is not the first time that I have dug out a loving soul       Already broke Already broke Already broke"
/songs/194409,Toby Keith,Ain't It Just Like You,https://genius.com/Toby-keith-aint-it-just-like-you-lyrics,http://api.genius.com/songs/194409,Unleashed,2002-07-23," Girl your bags are packed And you ain’t coming back is written on them Take these memories with you They’re just sad, and they’re blue and I don’t want them Oh you’re not so sure that you’re in love anymore And I ain’t going to beg you to stay Ain’t it just like you to leave Ain’t it just like me to let you walk away  I hold a tender place in my heart for you and you know it I’ve never said it out loud Guess I was too proud to ever show it We always thought some night that we might get it right But that ain’t going to happen today Ain’t it just like you to leave Ain’t it just like me to let you walk away   Honey you must think my heart is a revolving door The way you come and go as you please I don’t know if I should give up or try Or get down on my knees Ain’t it just like me to pray Ain’t it just like you to turn and walk away   Here you are at my door You’re wanting in, you’re wanting more and it’s open You win me over with that grin So I let you on in, and I’m hoping That this time you might stay forever But baby that just ain’t your style Ain’t it just like you to smile Ain’t it just like me to let you stay awhile   Oh you must think my heart is a revolving door The way you come and go as you please And I don’t know if I should give up or try Or get down on my knees Ain’t it just like me to pray Ain’t it just like you to make me feel this way   Ain’t it just like you to smile Ain’t it just like me to let you stay awhile  Girl your bags are packed And you ain’t coming back is written on them"
/songs/194524,Toby Keith,Ain't No Right Way,https://genius.com/Toby-keith-aint-no-right-way-lyrics,http://api.genius.com/songs/194524,White Trash With Money,None, 7 in the morning She has to make a choice Precious baby girl Or bouncing baby boy She could either keep it Or give that child away So she quit school that morning And became a mom that day   There is no right way To do the wrong thing You can justify But it is still black and white Paint it any shade But it would not change There is no right way To do the wrong thing   News came on my TV A mother cried and said That her son was fighting for his life Because her husband lost his head Might have been a problem child If that boy were mine I would not beat him half to death Trying to make him walk the line   Now empowered politicians Trying to pass a law They would not let our children pray For the better of us all If God blessed America Then how could someone vote To take prayer from our classrooms Right when we need prayer the most  
/songs/194172,Toby Keith,Ain't No Thang,https://genius.com/Toby-keith-aint-no-thang-lyrics,http://api.genius.com/songs/194172,Toby Keith,1993-02-08," I let another one get away She said she's gone for good But that's all old hat now I always thought she would To tell you the truth I'm prepared to fall apart It's just like déjà vu I know it all by heart   It ain't no thing, I already know how it feels The same ol' pain, a different deal So if it looks like rain, I'm gonna let it rain 'Cause I know it ain't no thing   Well, I tried the crying thing But it only made it hurt That silly drinkin' thing Only made it worse Girls are gonna come And girls are gonna go The only thing I'm sure of The only thing I know   It ain't no thing, I already know how it feels The same ol' pain, a different deal So if it looks like rain, I'm gonna let it rain 'Cause I know it ain't no thing   It ain't no thing, I already know how it feels The same ol' pain, a different deal So if it looks like rain, I'm gonna let it rain 'Cause I know it ain't no thing   (Ain't no thang, ain't no thing) Well, I know, I know, I know how it feels It ain't no thing (Ain't no thang, ain't no thing Wah-ooh, hoo, hoo, hoo, hoo Ain't no thang, ain't no thing Wah-ooh)"
/songs/194176,Toby Keith,A Little Less Talk And A Lot More Action,https://genius.com/Toby-keith-a-little-less-talk-and-a-lot-more-action-lyrics,http://api.genius.com/songs/194176,Toby Keith,1993-02-08, I was getting kinda tired of her endless chatter Nothing I could say ever seemed to matter So I took a little drive just to clear my head I saw a flashing neon up ahead It looked like a place to find some satisfaction With a little less talk and a lot more action   I paid the man at the door and pushed my way to the bar Shouted for a drink over a screaming guitar A drunk on a stool tried to mess with my head But I did not even listen in a word he said I knew somewhere amid all this distraction Was a little less talk and a lot more action   A little less talk if you please A lot more loving is what I need Let us get on down to the main attraction With a little less talk and a lot more action   Well she was fighting them off at a corner table She had a longneck bottle she was peeling the label The look on her face it was perfectly clear She said somebody please get me out of here The look she shot me through the glass refraction Said a little less talk and a lot more action   A little less talk if you please A lot more loving is what I need Let us get on down to the main attraction With a little less talk and a lot more action
/songs/194460,Toby Keith,A Little Too Late,https://genius.com/Toby-keith-a-little-too-late-lyrics,http://api.genius.com/songs/194460,White Trash With Money,None," It is a little too late I am a little too gone A little too tired of this hanging on So I am letting go while I am still strong enough to It is got a little too sad I am a little too blue It is a little too bad You were too good to be true I am big time over your baby It is a little too late   No I do not want to want to talk about what we can do about us anymore Only time you and me wasting is the time it takes to walk right out that door Yeah talk about water under the bridge You should know by now girl that is all this is   There was a time This heart of mine Would take you back every time Do not you know? It is been two packs of cigarettes A sleepless night A nervous wreck, a day ago Now you have got no business coming around I am closing up shop Shutting us down  "
