api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3297480,Tove Lo,​9th of october,https://genius.com/Tove-lo-9th-of-october-lyrics,http://api.genius.com/songs/3297480,BLUE LIPS (lady wood phase II),2017-11-17," We never had coffee table books or dinner parties We always had hazy nights and sex cliché's in Paris Don't disturb on the top floor Getting high by the window In bed with your eyes locked into mine How perfect was it?   9th of October, I'll always remember No bad things had happened then Honestly, you never thought you'd fall for me But somehow you got pulled in Livin' so fast, makin' memories last 'Til our hearts couldn't hold no more Hear you explodin' while I am implodin' Now, how did we let this go?   We never had, ah We never wanted, ah We never had, ah We never wanted A normal kind of love   We never had time for useless fights 'Bout dirty laundry We always had tender, long goodbyes Packed bags and hurry Our last kiss at the bus stop Had I known, would've jumped off And now from the pieces of my heart, I'm so sorry   9th of October, I'll always remember No bad things had happened then Honestly, you never thought you'd fall for me But somehow you got pulled in Livin' so fast, makin' memories last 'Til our hearts couldn't hold no more Hear you explodin' while I am implodin' Now, how did we let this go?   We never had, ah We never wanted, ah We never had, ah We never wanted A normal kind of love   Waitin' for my heart, waitin' for my heart (We never wanted) Waitin' for my heart, waitin' for my heart Still waitin' for my heart, waitin' for my heart We never wanted a normal kind of love   9th of October, I always remember 9th of October, I always remember Those big words, I said them first 9th of October, I always remember 9th of October, can't think of it sober 'Cause all of it fuckin' hurts   Waitin' for my heart, waitin' for my heart (We never wanted) Waitin' for my heart, waitin' for my heart Still waitin' for my heart, waitin' for my heart We never wanted a normal kind of love Oh, waitin' for my heart, waitin' for my heart (We never wanted) Waitin' for my heart, waitin' for my heart Still waitin' for my heart, waitin' for my heart We never wanted a normal kind of love"
/songs/3297485,Tove Lo,​​bad days,https://genius.com/Tove-lo-bad-days-lyrics,http://api.genius.com/songs/3297485,BLUE LIPS (lady wood phase II),2017-11-17," You used to love me on my bad days When the sun wouldn't come out When I was called to make a statement I'd wait for you to figure out   Why what you said just a minute ago Triggered feelings from before From the time you don't remember Well I forgot, but can't let go   If it was easy, I'd forget about you, baby But I never really understood How people move on from a heart to love another Oh, if I could, I would If it was easy, I'd forget about you, baby But I never really understood How people move on from a heart to love another Oh, if I could, I would   I picked at all that I could think of I guess I picked that up from you No one could make me feel so useless I know I did it to you too   Why cuts so deep every word that we speak? Triggers shit we never thought I still remember all the good times If not, I'll recreate 'em all   If it was easy, I'd forget about you, baby But I never really understood How people move on from a heart to love another Oh, if I could, I would If it was easy, I'd forget about you, baby But I never really understood How people move on from a heart to love another Oh, if I could, I would   If I could, I would Oh, if I could, I would   Yeah, I try But we're in the same crowd Always at the same scene So I don't know how I'm supposed to act fine When we used to be burning love That died Colder than ice Why am I surprised? But I guess that's how I guess that's how we do it now   If it was easy, I'd forget about you, baby But I never really understood How people move on from a heart to love another Oh, if I could, I would If it was easy, I'd forget about you, baby But I never really understood How people move on from a heart to love another Oh, if I could, I would If I could, I would"
/songs/2896916,Tove Lo,​bitches,https://genius.com/Tove-lo-bitches-lyrics,http://api.genius.com/songs/2896916,BLUE LIPS (lady wood phase II),2017-11-17," Appreciate it Touch me like you know what you do and what you don't But I'm feeling jaded Know your own love, I don't fuck with no glove So why complicate it? Let me be your guide when you eat my pussy out 'Cause I've had one or two, even a few Yeah, more than you   All these girls stare at me, drop lip Dripping in harmony, like Fifth Lay 'em down, feel 'em up And they slide away, so easy   Bitches, I don't trust 'em But they give me what I want for the night Bitches, I don't trust 'em But I tell 'em and they do what I like, why Bitches, I don't trust 'em But they give me what I want for the night Bitches, I don't trust 'em But I tell 'em and they do what I like, why   They can't fake it Drying off the seat when they getting up to leave (So wet) So they get noticed I'm better if they blunt, I don't really wanna hunt So why complicate it? I call it respect when you givin' what you get So, baby, spread your legs, I'll do the same, already coming   All these girls stare at me, drop lip Dripping in harmony, like Fifth Lay 'em down, feel 'em up And they slide away, so easy   Bitches, I don't trust 'em But they give me what I want for the night (Give me what I want for the night) Bitches, I don't trust 'em But I tell 'em and they do what I like, why (Bitches doin' what I want, yeah) Bitches, I don't trust 'em But they give me what I want for the night Bitches, I don't trust 'em But I tell 'em and they do what I like, why Bitches, I don't trust 'em But they give me what I want for the night (What I want for the night) Bitches, I don't trust 'em But I tell 'em and they do what I like, why   Bitches, I don't trust 'em But they give me what I want for the night"
/songs/2828336,Tove Lo,Cool Girl,https://genius.com/Tove-lo-cool-girl-lyrics,http://api.genius.com/songs/2828336,Lady Wood,2016-08-04," You can run free, I won't hold it against ya You do your thing, never wanted a future Fuck if I knew how to put it romantic Speaking my truth, there's no need to panic   No, let's not put a label on it Let's keep it fun We don't put a label on it So we can run free, yeah I wanna be free like you   I'm a, I'm a I'm a cool girl, I'm a, I'm a cool girl Ice cold, I roll my eyes at you, boy I'm a cool girl, I'm a, I'm a cool girl Ice cold, I roll my eyes at you, boy   Rules you don't like, but you still wanna keep 'em Said you were fine so for whatever reason Sure we can chill, try and keep it platonic Now you can't tell if I'm really ironic   No, let's not put a label on it Let's keep it fun We don't put a label on it So we can run free, yeah I wanna be free like you   I'm a, I'm a I'm a cool girl, I'm a, I'm a cool girl Ice cold, I roll my eyes at you, boy I'm a cool girl, I'm a, I'm a cool girl Ice cold, I roll my eyes at you, boy I'm a cool girl, I'm a, I'm a cool girl Ice cold, I roll my eyes at you, boy I'm a cool girl, I'm a, I'm a cool girl Ice cold, I roll my eyes at you, boy   I got fever highs I got boiling blood I'm that fire kind We could burn together   I'm a I'm a cool girl, I'm a, I'm a cool girl Ice cold, I roll my eyes at you, boy I'm a cool girl, I'm a, I'm a cool girl Ice cold, I roll my eyes at you, boy   I'm a cool girl, I'm a, I'm a cool girl Too cool for you I'm a cool girl, I'm a, I'm a, I'm a, I'm a I'm a, I'm a cool girl, I'm a, I'm a cool girl Ice cold, I roll my eyes at you, boy"
/songs/522003,Tove Lo,Crave,https://genius.com/Tove-lo-crave-lyrics,http://api.genius.com/songs/522003,Queen of the Clouds,2014-09-30," (Ooh-ooh, ooh-ooh) I'm coming up out of the dark (Ooh-ooh, ooh-ooh) Take out the bullets from my heart (Ooh-ooh, ooh-ooh) You are my favourite mistake (Ooh-ooh, ooh-ooh) The one I keep loving to make (Ooh-ooh, ooh-ooh)   Craving, I'm craving I crave you Waiting, I'm waiting to touch you We're never forever, I know that Still I'm coming back   (Oooh-ooh-ooh-ooh) Bittersweet baby (Oooh-ooh-ooh-ooh) Summertime save me (Oooh-ooh-ooh-ooh) Holiday hazy, oh baby Craving, I'm craving I crave you (Oooh-ooh-ooh-ooh) Bittersweet baby (Oooh-ooh-ooh-ooh) Save me in the summertime (Oooh-ooh-ooh-ooh) Holiday hazy, oh baby Craving, I'm craving I crave you   (Ooh-ooh, ooh-ooh) Got my body all figured out (Ooh-ooh, ooh-ooh) Know what my trigger's all about (Ooh-ooh, ooh-ooh)   Craving, I'm craving I crave you Waiting, I'm waiting to touch you We're never forever, I know that Still I'm coming back   (Oooh-ooh-ooh-ooh) Bittersweet baby (Oooh-ooh-ooh-ooh) Summertime save me (Oooh-ooh-ooh-ooh) Holiday hazy, oh baby Craving, I'm craving I crave you (Oooh-ooh-ooh-ooh) Bittersweet baby (Oooh-ooh-ooh-ooh) Save me in the summertime (Oooh-ooh-ooh-ooh) Holiday hazy, oh baby Craving, I'm craving I crave you   Ooh baby, ooh Oh-oh-oh...   (Oooh-ooh-ooh-ooh) Bittersweet baby (Oooh-ooh-ooh-ooh) Summertime save me (Oooh-ooh-ooh-ooh) Holiday hazy, oh baby Craving, I'm craving I crave you (Oooh-ooh-ooh-ooh) Bittersweet baby (Oooh-ooh-ooh-ooh) Save me in the summertime (Oooh-ooh-ooh-ooh) Holiday hazy, oh baby Craving, I'm craving I crave you"
/songs/3297479,Tove Lo,​cycles,https://genius.com/Tove-lo-cycles-lyrics,http://api.genius.com/songs/3297479,BLUE LIPS (lady wood phase II),2017-11-17," What's your name? I can tell you our story before we get into the game We fall head over heels overnight See my face in your future I'm in your future, in your nights, mmm We're intense In a lip-lock now 24/7, don't want it to end But reality's waitin', they say better come up for air soon Yeah, come up for air soon Make a change, mmm   Fallin' again, and don't understand Never my plan, nah   I'm in a cycle Yeah, I admit it How can I change it when I don't know when I'm in it? I'm in a cycle Swear this is different Don't wanna end it, if you leave then I keep spinnin' My life's a cycle Don't mean we ain't true Just 'cause I talk about the things I've done before you I'm in a cycle Swear this is different Don't wanna end it, if you leave then I keep spinnin'   You're afraid (yeah) The way I love you now and my love in the past are the same And the things that I say are exactly what I used to tell them And that really hurts me, but I know, mmm   Fallin'  again, and don't understand Never my plan, no   I'm in a cycle Yeah, I admit it How can I change it when I don't know when I'm in it? I'm in a cycle Swear this is different Don't wanna end it, if you leave then I keep spinnin' My life's a cycle Don't mean we ain't true Just 'cause I talk about the things I've done before you I'm in a cycle Swear this is different Don't wanna end it, if you leave then I keep spinnin'   Guess I'm romantic in a way Why don't you catch me when I sway? 'Cause when my heart falls out of place I know (oh, oh, oh)   I'm in a cycle Yeah, I admit it How can I change it when I don't know when I'm in it? I'm in a cycle Swear this is different Don't wanna end it, if you leave then I keep spinnin' My life's a cycle Don't mean we ain't true Just 'cause I talk about the things I've done before you I'm in a cycle Swear this is different Don't wanna end it, if you leave then I keep spinnin'"
/songs/3218472,Tove Lo,​disco tits,https://genius.com/Tove-lo-disco-tits-lyrics,http://api.genius.com/songs/3218472,BLUE LIPS (lady wood phase II),2017-09-07," I say hi, you say hi We stay high, you look so pretty, yeah   I'm sweat from head to toe I'm wet through all my clothes I'm fully charged, nipples are hard Ready to go I'm sweat from head to toe I'm wet through all my clothes I'm fully charged, nipples are hard Ready to go   No, I don't, I don't have a type, take a hit Come on over tonight, take a hit You can follow my bloodstream, wild No, I don't have a type   Live right now, peakin' on top So wild now, I'm high as fuck, don't look down Mama, you can relax I know how to dial it back, not this time   I say hi, you say hi We stay high, you look so pretty, yeah   I'm sweat from head to toe I'm wet through all my clothes I'm fully charged, nipples are hard Ready to go I'm sweat from head to toe I'm wet through all my clothes I'm fully charged, nipples are hard Ready to go   No, I don't, I don't have a type, take a hit Come on over tonight, take a hit You can follow my bloodstream, wild No, I don't have a type   Live right now, peakin' on top So wild now, I'm high as fuck, don't look down Mama, you can relax I know how to dial it back, not this time   I say hi, you say hi We stay high, you look so pretty, yeah   I'm sweat from head to toe I'm wet through all my clothes I'm fully charged, nipples are hard Ready to go (Ah-ha ha-ha-ha!) I'm sweat from head to toe I'm wet through all my clothes I'm fully charged, nipples are hard Ready to go   You think I'm drunk now, but I am not You're so pretty, come roll with me I'm 'bout to get down, I'm high as fuck I'm no chemist, but it's good shit   I'm sweat from head to toe (oh) I'm wet through all my clothes I'm fully charged, nipples are hard Ready to go (oh, oh) I'm sweat from head to toe I'm wet through all my clothes (yeah) I'm fully charged, nipples are hard Ready to go   I say hi, you say hi We stay high, you look so pretty, yeah Got good shit, what is it? No chemist, still want that magic, yeah I say hi, you say hi We stay high, you look so pretty, yeah Got good shit, what is it? No chemist, still want that magic, yeah"
/songs/3297487,Tove Lo,​don't ask don't tell,https://genius.com/Tove-lo-dont-ask-dont-tell-lyrics,http://api.genius.com/songs/3297487,BLUE LIPS (lady wood phase II),2017-11-17," I'm curious to know who you are Know what turns you on, turns you off Know we're not kids anymore Know we've both been here before These butterflies scare me to death Feel them beating out of my chest Make me come, come so alive And go with your moves through the night   We've both seen the world Live and learn Don't know what you heard But it, but it can't be worse than I know We've both seen the world Live and learn Don't know what you heard But it, but it can't be worse than I know   And baby, don't ask, then don't tell Already know you're fucked up And it's cool with me My past and don't ask and don't tell No need to share too much Come on, let it be, ah (and baby)   Experienced in more than one way Whatever I need, you got me Whisper dirty things that we like Images stuck on my mind   We've both seen the world Live and learn Don't know what you heard But it, but it can't be worse than I know We've both seen the world Live and learn Don't know what you heard But it, but it can't be worse than I know   And baby, don't ask, then don't tell Already know you're fucked up And it's cool with me My past and don't ask and don't tell No need to share too much Come on, let it be, ah (and baby)   There's nothing I don't wanna know, yeah And I don't believe in lies Baby, we're so good together Does it matter what we hide?   And baby, don't ask, then don't tell Already know you're fucked up And it's cool with me My past and don't ask and don't tell No need to share too much Come on, let it be, ah (and baby) Don't ask, then don't tell Already know you're fucked up And it's cool with me My past and don't ask and don't tell No need to share too much Come on, let it be, ah (and baby)"
/songs/2841476,Tove Lo,Don't Talk About It,https://genius.com/Tove-lo-dont-talk-about-it-lyrics,http://api.genius.com/songs/2841476,Lady Wood,2016-10-28," Golden tables, broken mirrors, naked girls around Young and scared of love affairs so keep your conscience down The world is beautiful, believe it with another line Keep it up, if you're lucky enough you know you're winning at life Piles of paper, gonna make 'em roll around in it Watch it dripping from her lips and wash your sins with it Know it's hazy, but amazing, yeah, you like that shit Keep it up, if you're lucky enough you know you're winnin' at life   Safe with me Move so free Silently   Don't talk about it Sweep it under the rug like we do, do Don't talk about it If you're sitting with us, then you're in too (We) don't talk about it Your medallions blindin' your mind too Know you're loving the highs You get in-between the lines of a life you don't need Don't talk about it Sweep it under the rug like we do, do Don't talk about it If you're sitting with us, then you're in too (We) don't talk about it Your medallions blindin' your mind too Know you're loving the highs You get in-between the lines of a life you don't need   Pretty faces put in place to match the scenery Take our pics, it's like a fix for your anxiety The world is beautiful so why don't you feel anything? Keep it up, when you gettin' that rush you know you cash your way out   Safe with me Move so free Silently   Don't talk about it Sweep it under the rug like we do, do Don't talk about it If you're sitting with us, then you're in too (We) don't talk about it Your medallions blindin' your mind too Know you're loving the highs You get in-between the lines of a life you don't need Don't talk about it Sweep it under the rug like we do, do Don't talk about it If you're sitting with us, then you're in too (We) don't talk about it Your medallions blindin' your mind too Know you're loving the highs You get in-between the lines of a life you don't need   (Pushing, pulling) (Pushing, pulling 'til we die) (Pushing, pulling) (Pushing, pulling 'til we die) We can take perfect pictures (Pushing, pulling) We can take perfect pictures all night (Pushing, pulling 'til we die) We can take perfect pictures (Pushing, pulling) We can (Pushing, pulling 'til we die) You better keep a straight face for the camera flashes but you're fucked   Don't talk about it Sweep it under the rug like we do, do Don't talk about it If you're sitting with us, then you're in too (We) don't talk about it Your medallions blindin' your mind too Know you're loving the highs You get in-between the lines of a life you don't need Don't talk about it Sweep it under the rug like we do, do Don't talk about it If you're sitting with us, then you're in too (We) don't talk about it Your medallions blindin' your mind too Know you're loving the highs You get in-between the lines of a life you don't need"
/songs/700052,Tove Lo,Evil Spawn,https://genius.com/Tove-lo-evil-spawn-lyrics,http://api.genius.com/songs/700052,None,2017-06-09," It’s not the first time I screwed you over Why are you back here? I guess that you see something to discover But there’s nothing there You know what I am And I will let you down Still you crave me I’m evil spawn then Why do you hang around? Yeah what’s the point of giving me all?   I brutally broke you down You still got me on your mind Got me on your mind I brutally took you down You still want me all the time Want me all the time   You put your hand over your chest Try escape cardiac arrest The only thing you've done for me, for me We break and bleed broken hearts Somehow you're almost torn apart The only thing you've done for me, for me   I say it's fair game I'm good at lying But you know that And still you're open Yeah, still you're trying Try to get us back Back to our first days Yeah I was good to you Oh I was good to you But then our time passed Got bored to death by you It's true What's the point of giving me all?   I brutally broke you down You still got me on your mind Got me on your mind I brutally took you down You still want me all the time Want me all the time   You put your hand over your chest Try escape cardiac arrest The only thing you've done for me, for me We break and bleed broken hearts Somehow you're almost torn apart The only thing you've done for me, for me   Still got your heart in my hands I'll never get enough Still got your heart in my hands I'll never get enough   I brutally broke you down You still got me on your mind Got me on your mind I brutally took you down You still want me all the time Want me all the time   You put your hand over your chest Try escape cardiac arrest The only thing you've done for me, for me We break and bleed broken hearts Somehow you're almost torn apart The only thing you've done for me, for me"
