api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/181385,Travis Scott,12 Disciples,https://genius.com/Travis-scott-12-disciples-lyrics,http://api.genius.com/songs/181385,None,2013-09-22," I'm floatin' high, don't talk to me I'm rollin' high, don't bother me So follow me, yeah, come and follow me In the night streets, dim the lights, please   What the fuck they want? I'm drunk as hell Fuck work today, I wanna get some tail Damn my little nigga graduated, man, I wish him well Now there's no more breaking them pies And making that bail for them scales Step across that fence and that's your life When I run that town, that whip about town size Four chains, they hang on my neck, was dipped in that brown rice You think something wrong 'cause your shit don't shine bright But ain't nothing wrong 'cause your shit don't shine bright   I'm floatin' high, don't talk to me I'm rollin' high, don't bother me So follow me, yeah, come and follow me In the night streets, dim the lights, please   It was Friday, what a night, what a situation My nigga Chase momma called cause he missed that graduation He told her, ""Momma please, have a drink, have a little bit patience 'Cause soon we would be riding in a car with a little ventilation"" Pastor said that we gotta move to congregation I'm looking for salvation, but I'm drowning in the revelations XX revolution, this inauguration to the whole nation If it ain't no head, no sex, then it's masturbation   I'm floatin' high, don't talk to me I'm rollin' high, don't bother me So follow me, yeah, come and follow me In the night streets, dim the lights, please"
/songs/99717,Travis Scott,16 Chapels,https://genius.com/Travis-scott-16-chapels-lyrics,http://api.genius.com/songs/99717,Owl Pharaoh,2012-03-04," I don't know about you Feel like I'm floating through the night Slow move to the groove Often the feeling feels right (Dance like a 90s baby) Nanana Nanana Nanana Na na Feel like I'm floating through traffic (Then it ""poof"" like magic)   This shit be the coldest Wake up nigga, smell the Folgers Fuck she throwing up last night Only if the dumb bitch did what I told her She feel me, I feel her And she even the let me move my fingers up her skirt Fuck it live for the moment Had no bread, now the hoes spread like toast is Her legs spread like Moses On my way, raise your glass we can have a toast To the same ones that love talking that wild shit Be the same ones who wanna be around the most Tony said soon enough niggas will have a two-tone Two blond chicks with the roof gone Complaining now that her breasts out Well at least you could've thought to put the mink on   I don't know about you Feel like I'm floating through the night Slow move to the groove Often the feeling feels right Nanana Nanana Nanana Na na Feel like I'm floating through traffic (Then it ""poof"" like magic)   Wet dreams with the prom queen Now I'm tryna screw me a centerfold Every nigga have their wild dreams Mines is to fly to the summer in my winter clothes Sin city is a mile away I see the devil in a skirt, but it's a nightgown Hallelujah, does it even matter if it's night or day When we pull up, she gon' pull her shirt down This where we find em' Same niggas that sniff Donna And get drunk of the Mimosa Space green or designer Hermes based off of drama Call it spendin' yoda Six years catch me trying yoga In the Caesar Palace rocking a toga Throwing a toga party Chilling with your bitch and she extra naughty   I don't know about you Feel like I'm floating through the night Slow move to the groove Often the feeling feels right Nanana Nanana Nanana Na na Feel like I'm floating through traffic I don't know about you Feel like I'm floating through the night Slow move to the groove Often the feeling feels right Nanana Nanana Nanana Na na Feel like I'm floating through traffic (Then it ""poof"" like magic)"
/songs/2027385,Travis Scott,3500,https://genius.com/Travis-scott-3500-lyrics,http://api.genius.com/songs/2027385,Rodeo (Deluxe Edition),2015-06-08," Bandana wrapped-wrapped 'round your head The bandana wrapped 'round your head Fuck niggas, they scared Ain't nobody triller than me Ain't nobody triller than Scott Ain't nobody trill, man, I'm takin' they spot Yah, these niggas is scared (Ooh)   30's in the city movin' slow 30-30-3500 for the coat Only-only-only real niggas keep you float (Keep you float) Only trill niggas I know Only-only-only trill niggas I know Only-only-only trill niggas I know Only trill niggas I know Only-only-only trill niggas I know   (30's in the city movin' slow) Ladies order up the champagne, a whole lot of it (Yeah!) (Only real niggas keep you float) Painkillers, ain't got back pain, know you gotta love it (Yeah!) Tens out in NY, they in my hallways, I got a lobby of 'em (Only trill niggas I know) Up and Down with Chase, Monday nights, we made a hobby of it (Alright! 30's in the city movin' slow) Still down with the same dogs, man, they never loved us (Only real niggas keep you float) Gave my niggas all gold chains to remind me of it (Yeah!) (Only trill niggas I know) We're still holdin' that old thing, tryna rob me of it (Oh no!) One time for the trill bitches that'll let me touch it (Score!) (30's in the city movin' slow) I'm papi though, they get it poppin' with me when I'm out in public (Straight up!) Flyin' through, I got a young 'Yoncé with a Iggy on her (Yeah!) (Only trill niggas I know) Me and Metro do the same drugs, got a lot of it (Woo!) All these cups and damn, all these hoes These niggas up to somethin' (Oah!) Touch down out in H-Town, there it might get ugly (Woo!) It's trill niggas, where it's trill niggas, a whole army of 'em (Woo!) (Only trill niggas I know) I run the check up, I'm a hot nigga, don't turn my 'countant on me (Yeah!) Free Rowdy Rowdy, free Bobby Bobby, them the Shmurda homies Good lord! (Good lord! Ooh)   30's in the city movin' slow 30-30-3500 for the coat Only-only-only real niggas keep you float (Keep you float) Only trill niggas I know Only-only-only trill niggas I know Only-only-only trill niggas I know Only trill niggas I know Only-only-only trill niggas I know 30's in the city movin' slow 30-30-3500 for the coat Only-only-only real niggas keep you float (Keep you float) Only trill niggas I know Only-only-only trill niggas I know Only-only-only trill niggas I know Only trill niggas I know Only-only-only trill niggas I know  [Verse 2: Future and Travis Scott] Smoke with me, drank with me, lean like I'm Clark Copping a Wraith then I throw it in park You niggas some marks and you ain't got no heart I know lil' one gon come with that A and that R (Only trill niggas I know) I know lil' one gon come with that A and that R I'm counting, I'm dripping, I'm fiending I'm not from this planet, I was abandoned Trill niggas, real niggas, popping them pill niggas Stack up a mil', nigga like it's a lil' nigga This for the one who gon' load up that K for me This for the ones that ran off and didn't wait on me This for the niggas ran off and didn't wait on me This for you, bitch, you ran off and didn't wait on me (Only trill niggas I know) Hood nigga, fuck all that red carpet shit Hood nigga, I fuck a red carpet bitch I put a Rolls and a Royce on my wrist You can smell promethazine when I piss I pray to God he bring me Actavis Ain't nobody triller than Metro, ain't nobody triller than Scooter Hop on the private, I do it, take all the mollies, I do it The Bentley put up with no mileage, I do it These Styrofoams with me legitimate I'm proudly downing these Percocets We just want to be stoners lately, I've been on, on, on This money an option, this weed is an option, this lean is an option Your bitch is an option, her bitch is an option I send them through auctions You paying that price for that punani This gold on my neck is a new Grammy  [Chorus: Travis Scott and 2 Chainz] 30's in the city movin' slow 30-30-3500 for the coat Only-only-only real niggas keep you float (Keep you float) Only trill niggas I know Only-only-only trill niggas I know Only-only-only trill niggas I know Only trill niggas I know Only-only-only trill niggas I know 30's in the city movin' slow 30-30-3500 for the coat Only-only-only real niggas keep you float (Keep you float) Only trill niggas I know Only-only-only trill niggas I know Only-only-only trill niggas I know (Yeahhh) Only trill niggas I know Only-only-only trill niggas I know (2 Chainz)   My bathtub the size of swimming pools Backstroke to my children room Maybach in the living room (Ooh) I spent racks on these tennis shoes (Tell 'em) Niggas know what I'm finna do Time for me to put the mink up (I did) Forgiattos on the Brinks truck My favorite rapper drove a pink truck (Killa) I do shit that you dreamed of I was born with a mean mug (Damn) I was born with some nappy hair Drinkin' breast milk out a lean cup Tity Boi's my alias (Yeah) Real niggas my radius (Yeah) (Only trill niggas I know) Trill niggas on the song with me If she bad as hell I'll pay the babysitter (I will!) In a black Mercedes with her (Skrrt) Doin' about 180 with her (Skrrt) I was born a hustler, paraphernalia in my baby pictures Resident all elegant, (Elegant) Leather shit in my front yard (Swear) TV by my swimming pool (Swear) Got that built like a sports bar (Aye) Chevelle with a new motor (Err) Got the bitch like a sports car (Yeah) Yeah, my name is Tity Boi (Oh) I don't fuck with hoes that wear sports bras (Nah!) Crib bigger than your imagination Call the trap house the gas station (I did) Call momma's house the Jag station (Haha) Emoji, sad faces (Damn) Look at these niggas (Look!) I need to buy pocketbooks for these niggas  [Chorus: Travis Scott and 2 Chainz] 30's in the city movin' slow (Punkass) 30-30-3500 for the coat (3500) Only-only-only real niggas keep you float (Keep you float) Only trill niggas I know (Real shit only here) Only-only-only trill niggas I know (Definitely) Only-only-only trill niggas I know (Definitely) Only trill niggas I know Only-only-only trill niggas I know (Ooh) 30's in the city movin' slow 30-30-3500 for the coat Only-only-only real niggas keep you float (Keep you float) Only trill niggas I know Only-only-only trill niggas I know Only-only-only trill niggas I know Only trill niggas I know Only-only-only trill niggas I know   Ain't nobody triller than me, ain't nobody triller than Scott Ain't nobody trill man, I'm takin' their spot, yah, we ride on a yacht Ain't nobody triller than Metro, ain't nobody triller than Scooter Ain't nobody triller, I knew it, ain't nobody triller, we knew it Pour up in H-Town, them niggas don't play 'round like Jas and Jr (Only real niggas keep it float) Say fuck all the rumors, say fuck all the rumors (Only trill niggas I know) Say fuck all the rumors, say fuck all the rumors (Only trill niggas I know) Say fuck all the rumors, say fuck all the rumors   30's in the city movin' slow 30-30-3500 for the coat Only-only-only real niggas keep you float (Keep you float) Only trill niggas I know Only-only-only trill niggas I know Only-only-only trill niggas I know Only trill niggas I know Only-only-only trill niggas I know"
/songs/3876986,Travis Scott,5% TINT,https://genius.com/Travis-scott-5-tint-lyrics,http://api.genius.com/songs/3876986,ASTROWORLD,2018-08-03," Who's that creeping through my window? 'Fore you come outside, I got the M4 Took her to the endzone from the Enzo Know I love to smoke, you love the liq more Wanna hit the Jack, then what you call for? All that out-your-name shit, that ain't called for, mm   Who that creepin'? Know the tint is dark (Five percent) All that fall-in-love shit, gotta Kevin Hart (Yeah, yeah) All that speed and fly shit, we might teleport, yeah (Skrrt, skrrt) All that cop harass shit, I might clip a sarge, yeah (12) Keep bouncin' that ass, you just might get award, yeah If she bad, she get a pass into the tour (Passes, yeah) I pick through the family, grab the bad sister like Janet Opps outside, don't panic, gotta switch, gotta change up transit Still jump around, move antsy, and I still don't like shit fancy Up late feelin' real chancy, they outside really tryna end me, yeah   Who's that creeping through my window? (My window) 'Fore you come outside, I got the M4 (M4) Took her to the endzone from the Enzo (Yah) Know I love to smoke, you love to lick more (Yah-yah) Wanna hit the Jack, then what you call for? (Yah-ah) All that out-your-name shit, that ain't called for (Ya-ah)   Who the fuck is this? Met somebody baby mama inside of the VIP, while I'm tryna tip Shawty said she holding, got a razor in her lip Mix my cup and twist one up, I love that ratchet shit She like, iced out wrists, iced out-iced out wrists (Iced out wrists) Fuck don't kiss, fuck, she fuck don't kiss (Mwah) Look like friends but she say they twins (Twins) Jump right in, there's leg room in this Benz (Leg room in this Benz) Ten miles to the crib, you know that's deep (Deep, yeah) I think it's someone out there watching me, yeah   Who's that creeping through my window? (My window, who?) 'Fore you come outside, I got the M4 (M4) Took her to the end zone from the Enzo (Yah, yeah!) Know I love to smoke, you love to lick more (Lick! Yah-yah) Wanna hit the Jack, then what you call for? (Yah-ah, Jack!) All that out-your-name shit, that ain't called for (Ya-ah)   Who's that creeping through my window? 'Fore you come outside, I got the M4 Took her to the end zone from the Enzo Know I love to smoke, you love to lick more"
/songs/2290813,Travis Scott,90210,https://genius.com/Travis-scott-90210-lyrics,http://api.genius.com/songs/2290813,Rodeo (Deluxe Edition),2015-09-02,"  [Intro: Travis Scott, Kacy Hill & Chantel Jeffries] (Dean, what's poppin'? Yo, Travis) Mhm, ooo-ooo-ooo-ooo-ooo Mama's bailing down that road, craving 9021...  [Verse 1: Travis Scott & Chantel Jeffries] She a porn star girl, oh, from the valley (Honestly, God bless) Who left her hometown world all for the alley Oh, created Lake Tahoe all from her panties (I hope it was wet like my jumper, though) Ooh, used to take the long way home Long way home, all for that candy, mm   Baby's hooked on feeling low Do, do, do Do, doo   Jacques turn La Flame, now he rolling on an Addy 50 on a chain, another 50 on a Caddy, oh He might pop him a pill, pop him a seal, pop anyone Pop anything, pop anything to find that alley Hmm, yeah, then find an alley, mm   Baby's hooked on feeling low Do, do, do Do, doo   In the 90210, 90210, looking for that alley In the 90210, 90210, looking for that alley, ooh It's the superstar girl, superstar girl, roaming in that alley Baby's hooked on feeling low In the 90210, 90210, somewhere in that alley     Yeah, my granny called, she said, ""Travie, you work too hard I'm worried you'll forget about me"" I'm falling in and out of cuffs, don't worry, I'ma get it, Granny What happened? Now my daddy happy, Mama called me up That money coming and she love me, I done made it now I done found life's meaning now All them days her heart'd break, her heart not in pieces now Friends turning into fraud niggas Practicing, have the passion, you niggas packaged different All you niggas, you niggas want the swag, you can't have it I'ma sell it, you niggas salary bout' to cap, bitch Youngest nigga outta Houston at the Grammys Smiling at 'em laughing at me I passed the rock to Ye, he pump faked and passed it back, bitch All of this off of rapping, should've wrote this in Latin Yeah, mmm, I know, I know, I know, I know, I know I know, I know, I know, I know, I know Cuzzo said we in the store, yeah, we 'bout to drop a 4 He pass the cigarette, I choke Tell my auntie put them ports down, them ports down Now you know you love your own now Hit the stage, they got their hands up, don't put your nose down I ain't knockin', nigga, I knocked the door down, for sure now Whole crew, I swear they counting on me Gold chains, gold rings, I got an island on me Houses on me, he got them ounces on him Holy father, come save these niggas, I'm styling on 'em Good Lord, I see my good fortune in all these horses I'm driving too fast to stop, so all these signs, I ignore them Distant sky, from north of the border my chips is in order My mom's biggest supporter so now niggas support a nigga"
/songs/3089195,Travis Scott,A man,https://genius.com/Travis-scott-a-man-lyrics,http://api.genius.com/songs/3089195,Madden NFL 18,2017-05-15," Yeah, like Niggas be actin' like act like, a lil d— Ooh, ooh, ooh, ooh Only dirty South gonna fuck with this You hear this shit boy? Fucking up these stages Fucking a girl up and you know how I rap Throw this shit up, nigga   People tryna say I'm only into me Got a code with my dawgs, can't get in between I can't give them life, no more energy Man, man, a man   Spent 'bout sixty on the time, I can't even lie No way in, no way out, this shit do or die So I roll, when I roll, must be suicide A man, man, man (yeah) I can't rock Benz, I don't do peace (yeah) I'll beast, I'll beast, I gotta eat (it's lit) Sabertooth tiger, diamond two-teeth  (straight up) Rocking right now, won't you come peek (alright) P was outside, P was outside (P) The way that ass shake, leave your mouth wide You need to say grace 'fore you say thanks (yeah) A man, man, man (yeah) What's left in my life? Don't know what's in store I've been dealing with these blessings that I can't ignore (can't ignore) Putting up the numbers, we ain't keeping score Man, man, a man I get on the block, wit' it in my sock Running in the house 'fore it's twelve o'clock (yeah) Yeah, the hood love me but you gotta watch Man, man, a man (yeah) I just popped three, I don't do sleep, yeah Tryna shoot a scene, make a movie (straight up) We 'gone fall thru, coming thru deep (it's lit) Man, man, a man (yeah) Packed up from the South, moved into the West Iced out logo on the cross, threw it on my neck, yeah When I rep the set, gotta stay blessed, yeah Man, man, a man   People tryna say I'm only into me Gotta code with my dawgs, can't get in between I can't give them life, no more energy Man, man, a man   Man, fuck what it meant to me Everybody tryna take that identity Everybody around me turned to a fr-enemy Sit back while I sip on the remedy I cannot let it get into me It's playing a toll on me, mentally"
/songs/128392,Travis Scott,Analogue,https://genius.com/Travis-scott-analogue-lyrics,http://api.genius.com/songs/128392,None,2019-03-18," The stars are out tonight Let 'em fall over you If I run away tonight I blame it all on you And we party every night And I blame it all on you  [Verse 1: Travi$ Scott] And we gon' fly to Vegas We gon' raise them glasses when I finally make it And go home and hit up all the places Where a nigga grew up and see these bitches I dated So eager, to treat us like Caesars I'mma catch amnesia, they gon' have they D's up So I might remember, when the nights was dimmer Had nobody to look to, older brother was iller Seen the look in his eyes, then see straight to her soul What he feeling inside, damn I never would know   And we party every night And I blame it all on you The stars are out tonight Let 'em fall over you If I run away tonight I’ll blame it all on you And we party every night And I blame it all on you And I blame it all on you And I blame it all on you And we party every night And I blame it all on you   Sweet winter, got head before my dinner Scream by the half and now we in the mirror Around this time tonight, niggas is niggas So we gon' hit the town tonight, roll up the killa There go my soul, you get the picture Holy grail filled with wine to pass time What I fantasize in due time that come alive And we just pray to god we all be still alive And we so fly tonight Hope a nigga touch the sky tonight   And the stars is out so bright Let 'em shine over you And we dance across tonight I blame it all on you   Shut the lights down when I’m in the place The time is right now, feelin' out of space It’s like '99, whatever happened to Ma$e Gotta make it ahead of time like hookers in a race We gon' shine before they hate us Eat before the waiters, now more than ever   The stars are out tonight Let 'em fall over you If I run away tonight I'll blame it all on you And we party every night And I blame it all on you"
/songs/103300,Travis Scott,Animal,https://genius.com/Travis-scott-animal-lyrics,http://api.genius.com/songs/103300,None,2019-03-18," I'm floating from the ground I'm floating, I'm floating, I'm floating, I'm floating From the ground I'm floating, I'm floating, I'm floating, I'm floating From the ground   We lost in the world who's feeling safe It's parked outside been in the case We walk outside feel like a mason The preacher at the altar to tell you to have a taste White wine, go ahead and sip your race And walk in the closet and feel amazed Ain't no retire, fall out of line and we get to pacin And we gonna simply reside and fill up the space and Took the travis may leave you around and place it That's a classic, no other way to have it Remember me and my brother slept on that mattress And look how many bitches piled up on that mattress I'm feeling too proud, cause all my niggas around I gotta prove it right now waitin' for ‘em to feel it It was cool for a second, but now might take a minute Cause now I'm in the building, god damn, I'm about to kill it   I'm floating from the ground I'm floating, I'm floating, I'm floating, I'm floating From the ground I'm floating, I'm floating, I'm floating, I'm floating From the ground  [Verse 2: T.I.] 3-57 apparel the shit I wearo be Balenciaga Prada, Margiela or something hotter Double barrel your medulla oblongata send you to Allah A million dollars on my wardrobe, damier on my collars Nothing short of an assassin, garments I stick my ass in Kill niggas dead on the scene, no casket Basking in my glory on the 37th story of a highrise Ten hoes, nice thighs, mai tais Serving umbrellas, but I knew the perfect fellow So impressive, she would this Beretta if I let her Have a blast of a lifetime, ass of a lifetime I swear this dick I give her it'll last her a lifetime A nice night selling hard rock in the pipeline Put in their life and now they love a nigga longtime Wednesday three freaks, Thursday four hoes Five on Friday, yesterday six chicks Today is the Sabbath I got seven going at it On a mattress doing shit you can't imagine, I'm laughing True story, real talk, that's classic   I'm floating from the ground I'm floating, I'm floating, I'm floating, I'm floating From the ground I'm floating, I'm floating, I'm floating, I'm floating From the ground   Had to leave from home, better off than hell Skip the town somehow I ended up in jail Loved the jail, it was better in the cell Did a little crime, too that shit never ever tell Somewhat I'm partying the third partying First she started gargling, and end up swallowing And went to class too and got some knowledge You fucking with the devil like she over popping him She love the pills too she over popping em' She's standing in the line, just to do the line Fuck is that fresher than a motherfucker Tell me wanna fuck with us Frontline hands up, niggas while we thrown dust   I'm floating from the ground I'm floating, I'm floating, I'm floating, I'm floating From the ground I'm floating, I'm floating, I'm floating, I'm floating From the ground"
/songs/2145913,Travis Scott,Antidote,https://genius.com/Travis-scott-antidote-lyrics,http://api.genius.com/songs/2145913,Rodeo (Deluxe Edition),2015-06-23,"   Don't you open up that window Don't you let out that antidote (Yeah!) Poppin' pills is all we know (Ooh!) In the hills is all we know (Hollywood!) Don't go through the front door (Through the back!) It's lowkey at the night show (Ooh!) So don't you open up that window (Ooh!) Don't you let out that antidote (Yeah!)   Party on a Sunday (That was fun!) Do it all again on Monday (One more time!) Spent a check on a weekend (Oh my God!) I might do it all again (That's boss shit) I just hit a three peat (Ooh!) Fucked three hoes I met this week (Robert Horry!) I don't do no old hoes (Oh, no, no) My nigga, that's a no-no (Straight up!) She just want the coco (Cocaína!) I just want dinero (Dinero) Who that at the front door? (Who that is?) If it's the feds, oh, no, no, no (Don't let 'em in, shhh!)   Don't you open up that window (Yah!) Don't you let out that antidote (Yah, ooh) Poppin' pills is all we know (Yah!) In the hills is all we know (Hollywood) Don't go through the front door (In the back!) It's lowkey at the night show (Ooh!)   Ayy, ooh, ooh At the night show (Oooohh-wah) At the night show (Higher) At the night show (Oooohh-wah) Ooh, at the night show (Get lit, my nigga) Ooh, at the night show   Anything can happen at the night show (Yah!) Everything can happen at the night show (Oooohh-wah) Ooh, at the night show Anything can happen at the night show (Yah!) Ooh, at the night show Ooh, your bitch not at home, she at the night show Ooh (Straight up!) fuckin' right, ho Ooh, had to catch a flight for the night show Ooh (Let's go!) let's get piped though Bottles got us right though, we ain't sippin' light, no Aaahhhhhhh! (La Flame!) I ain't got no type though Only got one night though, we can do it twice though   (Aaaahhhhhhhh!) It's lit! At the night show Ooh, at the night show (Ooh, ooh) At the night show Ooh, at the night show Yeah, at the night show Everything can happen at the night show Ooh, at the night show Anything can happen at the night show Ooh   Stackin' up day to day, young nigga You know you gotta go get it, go get it, my nigga They hatin', they stankin', they waitin' Don't be mistaken, we dyin', they stayin' Lord, I'm on fire, they think that I'm Satan Callin' me crazy on different occasions Kickin' the cameraman off of my stages 'Cause I don't like how he snappin' my angles I'm overboard and I'm over-impatient Over my niggas and these kids my ages Dealin' with Mo' shit that's more complicated Like these two bitches that might be related H-Town, you got one And you Bun B like a number one It's late night, got a late show If you wanna roll, I got a place where—   Poppin' pills is all we know (Ooh!) In the hills is all we know (Hollywood!) Don't go through the front door (Through the back!) It's lowkey at the night show (Ooh!) So don't you open up that window (Ooh!) Don't you let out that antidote"
/songs/2290817,Travis Scott,Apple Pie,https://genius.com/Travis-scott-apple-pie-lyrics,http://api.genius.com/songs/2290817,Rodeo (Deluxe Edition),2015-09-04," She say your bad ass always had a thing for sweets Guess that's why I'm so hot on the street Won't you and your friends come eat with me And let me show you how to whip that recipe She say your bad ass always had a thing for sweets Guess that's why I'm so hot on the street Won't you come over and eat with me And let me show you how to whip-whip-whip-whip that recipe   I don't want your apple pie, mama Yeah, I ain't tryna dap up niggas blockin' me Yeah, made it out the spot, straight to Quintana And I'm still that nigga with diamonds on my blocka I say when they come at me I bet they have some backup I bet I take your bitch, she take that dick straight up the stasher Keep an ounce of garlic just to keep away the Draculas I just seek out to find my home, why can't they just leave me 'lone   'Cause I don't want your apple pie, no no mama I don't want your apple pie, no, yeah I don't want your apple pie, mama I don't want your apple pie no more I need my own pepper pepper, please, pepper, pepper seeds Need my own reme-remedy, my own legacy Yeah I don't want your apple pie, mama I need my own pepper please My own legacy, my own recipe   I came to get it nominated From a spot that y'all seen Bun B blow up (Ooh) I hate to break your heart, I bet I'll make the mark That y'all see a legacy go up (Ooh) Goyard done break your pockets Boy I'm out in Paris lettin' all these beats go up (Ooh) I make in one appearance What these niggas hatin' makin' in four seasons (Ooh) H-Town, know we gon' stunt I'm for real and your Rollie tick (Ooh) Look bitch, this the Rodeo But I ain't goin' out for your bullshit (Ooh) And I don't want your apple pie, mama (Ooh) I don't wanna dap up niggas blockin' me (Ooh) I am everything except a rapper Shit, I got at least 25 lighters on my dresser, aw, yeah (Ooh)   Roxanne tonight Roxanne tonight (Yup, yup) Roxanne tonight (Yup, yup, yup) Roxanne tonight (Yup, yup, yup) Roxanne tonight (Yup, yup, yup) Roxanne tonight (Yup, yup, yup)   Que será, será, so the story goes On and on and back and forth, the evolution's absolute Tours and shows and groupie whores Wouldn't hesitate if he had to shoot Though he'd rather not Forever been the elephant in the room That everyone can't wait to run and tell about The head to the body of the belligerent militant group That sponsors the revolution that will not be televised Decide to cross those lil' guys, you've obviously been ill-advised Yet and still, the question that arises to the mind Will he make it? Was it worth it? Did he win? Will he survive the Rodeo?"
