api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3030034,Trey Songz,#1Fan,https://genius.com/Trey-songz-1fan-lyrics,http://api.genius.com/songs/3030034,Tremaine,2017-03-24," I don't wanna do too much I don't wanna speak too much I don't wanna breathe the wrong way I don't wanna kill this moment This moment shared between us 'Cause I been thinking 'bout it all day, oh woah   You told me I'm all you wanted And I don't wanna ruin your expectations And all your body language, I'm gon' read it, ayy As best as I can (as best as I can) 'cause tonight I am   Having sex with my number one fan So why am I so nervous? So why am I so nervous? Having sex with my number one fan So why am I so nervous? Having sex with my number one fan So why am I so nervous?   I don't wanna move too fast Girl, I wanna make it last Tonight we gonna do it my way, ooh I know you been waiting for it You gotta just lay back I just wanna take my time, babe   You told me I'm all you wanted And I don't wanna ruin your expectations, oh no no no no Your body language, I'm gon' read it As best as I can (as best as I can) 'cause tonight I am   Having sex with my number one fan So why am I so nervous? So why am I so nervous? Having sex with my number one fan So why am I so nervous? Having sex with my number one fan So why am I so nervous?   You ready? Will I live up to the man she sees? Will I give her everything she needs? I just hope that when we're done she's pleased I hope it's everything you thought it'd be, oh   You told me I'm all you wanted And I don't wanna ruin your expectations, oh no no no no And all your body language, I'm gon' read it (all night long) As best as I can (as best as I can) 'cause tonight I am   Having sex with my number one fan (so why am I) So why am I so nervous? (nervous, baby) So why am I so nervous? Having sex with my number one fan (I just wanna get it right for you, baby) So why am I so nervous? Having sex with my number one fan (I just wanna get it right for you, baby) So why am I so nervous?"
/songs/3030036,Trey Songz,1x1,https://genius.com/Trey-songz-1x1-lyrics,http://api.genius.com/songs/3030036,Tremaine,2017-03-24," It's 3AM, I'm back for more, yeah Just two of us Show me what I'm waiting for One by one, one by one   I saw, I waited I took time, yeah, I spend it First time, in a minute That I worked this hard, that I worked this hard Thank God, that I did it One time and I was in it, yeah But one time ain't enough I need some more   'Cause there ain't nothing better than you Got me watching every move Like you're the only one in the room Ooh, baby, I can't help myself And I don't know why but I can't stop thinking 'Bout late last night, when you put it down Had to turn around and   Now it's 3AM, I'm back for more, yeah Just two of us Show me what I'm waiting for One by one, one by one, o-one It's 3AM, I'm back for more Just two of us Sets of clothes fall to the floor One by one, one by one O-one by one, we're switching up positions O-one by one, girl, show me what I'm missing   I saw, I waited I took time, yeah, I spend it First time, in a minute That I worked this hard, that I worked this hard Thank God, that I did it One time and I was in it, yeah But one time ain't enough I need some more   'Cause there ain't nothing better than you Got me watching every move Like you're the only one in the room Ooh, baby, I can't help myself And I don't know why but I can't stop thinking 'Bout late last night, when you put it down Had to turn around and   Now it's 3AM, I'm back for more, yeah (I'm back, I'm back for more) Just two of us Show me what I'm waiting for One by one, one by one (o-one) It's 3AM, I'm back for more (ooh) Just two of us Sets of clothes fall to the floor One by one, one by one O-one by one, we're switching up positions O-one by one, girl, show me what I'm missing   Ooh, baby, you sexy Ooh, tell me you ready Girl, you got that sauce, that sauce Let me get that spaghetti Ooh, baby, you fine Ooh, one more time, yeah I done hit it once right, home run, fuck her friend zone Hit it once, twice, now I'm back at it again   It's 3AM, I'm back for more, yeah (I'm back, I'm back for more) Just two of us Show me what I'm waiting for (know that you're mine) Number one, number one (o-one) It's 3AM, I'm back for more (ooh) Just two of us Sets of clothes fall to the floor One by one, one by one O-one by one, we're switching up positions O-one by one, girl, show me what I'm missing   Ooh, baby, you fine (one by one, girl, show me what I'm missing) One by one, girl, show me what I'm missing (ooh, I'm on time, yeah) One by one, one by one, girl, show me what I'm missing One by one, one by one"
/songs/2447786,Trey Songz,2 Girls,https://genius.com/Trey-songz-2-girls-lyrics,http://api.genius.com/songs/2447786,None,2016-01-16," Oh girl you nasty ​Kissing your friend while looking back at it Best you ever had, shit Two girls one savage I'm doing damage oh I know you want it and girl you can have it If you can manage Switch places with your friend girl tap out tap in Having sex with you Yeah sexing the two of you Tell you what Imma do Taste her while I'm hitting you Imma savage girl this is true Now is you up for the challenge I told you already girl I am a savage   Yeah girl I'm a savage Yes I like livin' lavish I don't fuck with bitches that are average, my friend's established My money long I lease the final on a shot of patron Got 'em sayin' that they love my cologne You wanna have sex with me and Trey Songz Bitch, tu amiga se sabe la clave Dicen que no y Porque nos fuimos de viaje Asi que prepara tu equipaje Yo quiero ver todo el paisaje   Oh girl you nasty ​Kissing your friend while you looking back at it Best you ever had, shit Two girls one savage I'm doing damage oh I know you want it and girl you can have it If you can manage Switch places with your friend girl tap out tap in Having sex with you Yeah sexing the two of you Tell you what Imma do Taste her while I'm hitting you Imma savage girl this is true Now is you up for the challenge I told you already girl I am a savage"
/songs/77632,Trey Songz,2 Reasons,https://genius.com/Trey-songz-2-reasons-lyrics,http://api.genius.com/songs/77632,Chapter V,2012-06-12,"[Intro: Trey Songz & T.I.] Tell the DJ turn it up Bet the DJ bring it back Tell him play that shit again Tell him that you like that, like that, oh Trey, I ain't got but two reasons to be here man All the ballers poppin' bottles   I know it's somebody birthday Right now, right now, right now, right now, right now Yeah and somebody gettin' drunk too Right now, right now, right now, right now, right now Catch me in the club like I own that bitch Shawty dancin' like she on that dick Bad bitches never hold back Send me a picture, where your phone at?   I only came here for two reasons I came for, whatchu came for? I only came for the bitches and the drinks Bitches and the drinks, bitches and the drinks For the bitch, ca-came for the bitches and the drinks Bitches and the drinks, bitches and the drinks, what you came for? Baby, get your glass up, only came for bitches and the drinks Baby, get your ass up, that's what I came for   I see you tryin' to handcuff her on the street Stop trippin', you can't control that freak Ain't nobody got a body like hers Ghetto booty, but she came from the 'burbs Got a dark skinned girl dancin' on me Two white girls dancin' on me Bad yellow bone, yeah I'm in my zone Waitress keep comin' back, so you know we hella gone   I only came here for two reasons I came for, whatchu came for? I only came for the bitches and the drinks Bitches and the drinks, bitches and the drinks For the bitch, ca-came for the bitches and the drinks Bitches and the drinks, bitches and the drinks, what you came for? Baby, get your glass up, only came for bitches and the drinks Baby, get your ass up, that's what I came for  [Verse 3: T.I.] I hit the club and buy the bar In VIP, just see my partners and a lot of broads And such a G' I be, just pop them bottles, party hard I'm done with today, I'm lookin' for tomorrow All I do is turn up, ain’t no dough it don’t concern us All this bubba kush I burn up, smell some regular, it ruined us Turning corners, fishtailin' out the parking lot yellin' Bankhead, west side, eight or nine chicks trailin' Right behind us, been this way since we were minors If it wasn't for the chicks up in this bitch, you wouldn't find us Even way out in China, same thing when I came through the door Like, here you go again, where the bitches and the drink, yo   I only came for I only came for the bitches and the drinks Bitches and the drinks, bitches and the drinks You need to know what I came for Bitches and the drinks Bitches and the drinks, bitches and the drinks I know you know what I came for Baby, get your glass up, only came for bitches and the drinks Baby, get your ass up, that's what I came for   Hey girl, you heard what I said, get your ass up If you hot, you cold, you Florida, Alaska Chicago, Virginia, New York City Houston where the girls all thick LA, the Bay, tell your girl 'bout this Matter fact tell the whole GA Ooh, you know they fine up and down the Carolinas Shout to every ten I see when I'm down in Tennessee   I only came here for two reasons I came for, whatchu came for? I only came for the bitches and the drinks"
/songs/2479800,Trey Songz,3 Times In a Row,https://genius.com/Trey-songz-3-times-in-a-row-lyrics,http://api.genius.com/songs/2479800,None,2016-05-25,"[Hook: TK-N-Cash] Tryna be real baby just to let you know Fuck you on the counter and move you to the floor Have you going all night baby, 3 times in a row Hitting that back to back, 3 times in a row 3 times in a row, 3 times in a row 3 times in a row, 3 times in a row 3 times in a row, 3 times in a row 3 times in a row, let me hold that beat (I like it)   I'm the pussy killer, everybody know that If you got a girl, better get a LoJack She don't like to smoke but I let her roll that Mr. I-ain't-never-got-her, holla where the hoes at Say she wanna fuck, yeah, just to let me know So I hit her up, put her on the schedule Then I eat her up like a nigga Hannibal And I got the whole thing on the camera roll   Ooh, the first time, we won't make it to the bed Yeah the second time, you be so weak in your legs By the third round, you know I invented sex Three times in a row, I bet I leave that pussy Leave that pussy dead, leave that pussy dead Leave that pussy dead, leave that pussy dead Leave that pussy dead, leave that pussy dead 3 times in a row with me, I made that pussy RIP   Put that pussy straight to sleep, wake it up, put it right back Tell me where the girls that done had it like that Tell me where the girls that imagine like that Got 'em feeling on your titties while I'm dicking from the back When we switching up positions, got it dripping down your ass crack Just the second round, you already having flashbacks Nasty nigga, fucking with your boy yeah Your ass get bigger, hit 'em with the shit now   Ooh, the first time, we won't make it to the bed Yeah the second time, you be so weak in your legs By the third round, you know I invented sex Three times in a row, I bet I leave that pussy Leave that pussy dead, leave that pussy dead Leave that pussy dead, leave that pussy dead Leave that pussy dead, leave that pussy dead 3 times in a row with me, I made that pussy RIP  [Hook: TK-N-Cash] Tryna be real baby just to let you know Fuck you on the counter and move you to the floor Have going all night baby, 3 times in a row Hitting that back to back, 3 times in a row 3 times in a row, 3 times in a row 3 times in a row, 3 times in a row 3 times in a row, 3 times in a row 3 times in a row, let me hold that beat"
/songs/2954674,Trey Songz,93 Unleaded,https://genius.com/Trey-songz-93-unleaded-lyrics,http://api.genius.com/songs/2954674,Anticipation 3,2017-01-12," Yeah   Fill like it's 93 (I ain't tryna gas you up) Baby, come ride with me (I ain't tryna gas you up) You just so fly to me (I ain't tryna gas you up) I just feel like you the one, you the one, I can patch you up Fill like it's 93 (I ain't tryna gas you up) Baby, come ride with me (I ain't tryna gas you up) You just so fly to me (I ain't tryna gas you up) I just feel like you the one, you the one, I can't pass you up, no no no   Look at your hair, look at your clothes Yeah, look at your nails, check out your toes, yeah Body on slow mo, come here You got a nigga froze like a lil baby deer (God damn) Ooh, baby girl, you're cool like this time of year Girl, you hot as motherfuckin' fish grease, yeah You don't need a chair, sit it down right here And if you want it all, you can get that there Say you like to read, let me get between them pages Know you like to work out, I can spot while you squat Know these other girls, they ain’t got what you got Tryna fill your tank 'til the top   Fill like it's 93 (I ain't tryna gas you up) Baby, come ride with me (I ain't tryna gas you up) You just so fly to me (I ain't tryna gas you up) I just feel like you the one, you the one, I can patch you up Fill like it's 93 (I ain't tryna gas you up) Baby, come ride with me (I ain't tryna gas you up) You just so fly to me (I ain't tryna gas you up) I just feel like you the one, you the one, I can't pass you up, no no no   Money, I got plenty, girl, it's nothin', I could spend it all on you Yeah, winter, spring, summer, yeah, make the money fall, fall on you Yeah, money, I got plenty, girl, it's nothin', I could spend it all on you Yeah, winter, spring, summer, yeah, make the money fall, fall on you   Ay, look at your body, wait, look in my eyes Ay, picture my face, ay, between your thighs Ay, my lips on yours, drip, drip some more All of my time, I'm goin' down Tryna find your spot, I'm tryna keep it there (ay, ay) I be goin' deep, so baby, be prepared Super direct, no disrespect, yeah Oh, so sexy, I need that, yeah   Fill like it's 93 (I ain't tryna gas you up) Baby, come ride with me (I ain't tryna gas you up) You just so fly to me (I ain't tryna gas you up) I just feel like you the one, you the one, I can patch you up Fill like it's 93 (I ain't tryna gas you up) Baby, come ride with me (I ain't tryna gas you up) You just so fly to me (I ain't tryna gas you up) I just feel like you the one, you the one, I can't pass you up, no no no   93, you gotta fuck wanna ride with me I look like I hit the lottery, only with niggas that die for me I used to be at with all the hammers and all the scammers and all where the powder be You hated, so fuck your apology, you see that red stripe on my Prada tee I jump out the Rover now, fully loaded Ain't hard to see, I've been took over now Same bitches wouldn't even pay attention I can bend them over, choke 'em now Bottom of my teeth golden now Only backwoods, I can roll a pound Homies locked, I can hold 'em down Got Givenchy stars on my shoulder now New grib, new bitch, true Crip, whip like a bowlin' ball Yves Saint Laurent or the Dolce shades, I don't even know though, sure Only if she bad I might see it, full of Henny, so I might eat it Only socks and my wife beater, her brain better than a mind reader   Fill like it's 93 (I ain't tryna gas you up) Baby, come ride with me (I ain't tryna gas you up) You just so fly to me (I ain't tryna gas you up) I just feel like you the one, you the one, I can patch you up Fill like it's 93 (I ain't tryna gas you up) Baby, come ride with me (I ain't tryna gas you up) You just so fly to me (I ain't tryna gas you up) I just feel like you the one, you the one, I can't pass you up, no no no   Money, I got plenty, girl, it's nothin', I could spend it all on you Yeah, winter, spring, summer, yeah, make the money fall, fall on you Yeah, money, I got plenty, girl, it's nothin', I could spend it all on you, (I just feel like you the one) Yeah, winter, spring, summer, yeah, make the money fall, fall on you"
/songs/2954802,Trey Songz,A3,https://genius.com/Trey-songz-a3-lyrics,http://api.genius.com/songs/2954802,Anticipation 3,2017-01-12," Look at this here, baby   I brought some party favors, party favors Got you naughty, babe, so naughty, babe, so naughty, baby I brought some party favors, party favors We mix the drink with emotions We gonna wake the neighbors I'm so impressed with your vibe  and I got all kind of flavors, kind of flavors So many clockin' your time, feel like I should compensate ya I put in work like a boss Girl, this ain't nothin' new So many used and abused, like they don't have a clue Baby, your ass the truth Always on the side, yeah, that's how they treat ya You could be my girl, be my señorita One on one sex, I could be the teacher Knock it out the park like Derek Jeter   Who gon' do, do your body like I do? Nobody Nobody, nobody, nobody, nobody Nobody Nobody, nobody, nobody, nobody  [Verse 2: Trey Songz & MIKExANGEL] Pullin' up to your crib Baby, you know we about to have a lil party (I brought some party favors) You know girl, you know that we 'bout to get started (And I got all kind of flavors) And when you go to work, you be goin' so hard, I feel like I (Like I should compensate ya) And girl, we got the room all foggy, condensation This is elation, I'm so impatient This feels like day one, anticipation Anticipation, anticipation Ain't this amazing?   Who gon' do, do your body like I do? Nobody Nobody, nobody, nobody, nobody MIKExANGEL sing, MIKExANGEL sing, ANGEL sing, yeah Nobody Anticipation, nobody, nobody, nobody, nobody Ain't this amazing? Baby, can you believe it? Can you believe it?   Oh, woah, hey Baby, can you believe it? Can you believe it? Oh, woah Baby, can you believe it? Can you believe it? Yeah Oh, woah, this is amazing, this feels like day one Baby, can you believe it? Can you believe it? Oh, woah, anticipation Anticipation, I know you been waitin' for me, baby Oh, oh   It's okay, it's okay Baby, you ain't gotta wait, baby No no Anticipation, Trigga"
/songs/834011,Trey Songz,About Da Game,https://genius.com/Trey-songz-about-da-game-lyrics,http://api.genius.com/songs/834011,Coach Carter (Music from the Motion Picture),2005-01-11," It ain't about the rims on ma truck Ain't about the ice on ma watch Ain't about the coup on ma truck Baby, it's about the game  Ride and low (Ride and low) Lay back in the seats and creep That's just how I roll  With some fresh nice ones on ma feet This is how we go (This is how we go) And I'm tryin' to find a chick who ain't about the duo 'Cause it ain't about that no more   It ain't about the rims on ma truck Ain't about the ice on ma watch Ain't about the coup on ma truck Baby, it's about the game  It ain't about the shows that I f*** Ain't about the duo or ma rocks And am lyf that I live it don't stop Baby, it's about the game  Look at me (Look at me) When u ask why I sit in the streets, that's who I be Yo, I live for the duo for feelin' free  They are too many other dudes You can choose that got this luxury But without it all (All the haters want to hate me) But just nuthin' (But the ladies just want to luv me) And they luv me for what I do   It ain't about the rims on ma truck Ain't about the ice on ma watch Ain't about the coup on ma truck Baby, it's about the game It ain't about the shows that I f*** Ain't about the duo or ma rocks And am lyf that I live it don't stop Baby, it's about the game  Ride and low (Ride and low) Lay back in the seats and creep That's just how I roll  With some fresh nice ones on ma feet This is how we go (This is how we go) And I'm tryin' to find a chick who ain't about the duo 'Cause it ain't about that no more   It ain't about the rims on ma truck Ain't about the ice on ma watch Ain't about the coup on ma truck Baby, it's about the game It ain't about the shows that I f*** Ain't about the duo or ma rocks And am lyf that I live it don't stop Baby, it's about the game"
/songs/1864605,Trey Songz,About You,https://genius.com/Trey-songz-about-you-lyrics,http://api.genius.com/songs/1864605,Trigga: Reloaded,2015-05-18," Ay, this for you, baby, you know who I'm talkin' to   This your favorite song when they put it on Girl, I know you know it's all about you I ain't saying no names, but you know what I'm saying I could tell it by the way that you move   Calling all the cuties to the floor right now It's a lot of booty on the floor right now Take it to the bus, we can go right now We can roll right now, right now It's some pretty titties on the bus right now Tell the hotel we pulling up right now Elevator up, take a ride right now Baby, ride right now, right now   Got a room full of fly girls, got a thing for a shy girl Don't you want to be my girl? It's all about you Get up on it like you should, girl 'Cause I love it when a hood girl turn around and be a good girl   This your favorite song when they put it on Girl, I know you know it's all about you I ain't saying no names, but you know what I'm saying I could tell it by the way that you move Girl, I bet you think this song is about you, don't you? I bet you think this song is about you Yeah, I bet you think this song is about you, don't you? I bet you think this song is about you   Call up all your friends on the phone right now Tell 'em all to come up to the room right now It's a lot of things we could do right now 'Bout to get another room right now Front desk calling up, saying, ""Turn that down"" Take another puff, baby, burn that now It's a lot of girls, it's a ton You know you're the one   Got a room full of fly girls, got a thing for a shy girl Don't you want to be my girl? It's all about you Get up on it like you should, girl 'Cause I love it when a hood girl turn around and be a good girl   This your favorite song when they put it on Girl, I know you know it's all about you I ain't saying no names, but you know what I'm saying I could tell it by the way that you move Girl, I bet you think this song is about you, don't you? I bet you think this song is about you Yeah, I bet you think this song is about you, don't you? I bet you think this song is about you This your favorite song when they put it on Girl, I know you know it's all about you I ain't saying no names, but you know what I'm saying I could tell it by the way that you move   Girl, you know it's all about you"
/songs/835261,Trey Songz,A Change Is Gonna Come,https://genius.com/Trey-songz-a-change-is-gonna-come-lyrics,http://api.genius.com/songs/835261,None,2019-02-04,"I was born by the river in a little tent And oh, just like the river I I've been running ever since  It's been a long, long time coming But I know a change's gonna come Oh yes, it will  It's been too hard living But I'm afraid to die 'Cause I don't know what's up there no, no Beyond the sky  It's been a long, long time coming But I know a change gonna come Oh yes, it will  Then I go to my brother I said brother, help me please But he winds up knocking me down I got to go to my knees  Oh, there's been times that I thought I wouldn't last for long But I think I'm able to carry on  It's been a long time coming But I know a change gonna come Keep it right there"
