api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/47123,UNK,2 Step,https://genius.com/Unk-2-step-lyrics,http://api.genius.com/songs/47123,Beat'n Down Yo Block,None," (Four, three, two, two) A two Step, a two step Now gon' n two step, (two step) now gon' n two step (two step) Now gon' n two step, (two step) now gon' n two step (two step) Now get, jiggy wit it, (jiggy wit it) Now get, jiggy wit it (jiggy wit it) Now get, jiggy wit it, (jiggy wit it) Now get, jiggy wit it, (jiggy wit it) Now gon' n two step, (two step), aye Watch me two step, (two Step) Now can you two step, (two step), like I two step (two step) Watch me get, jiggy wit it, watch me get, jiggy wit it Watch me get, jiggy wit it, watch me get, jiggy wit it Gon n' two step   I hit the club fresh, my stunna shades on (shades on) 2 Steppin gettin jiggy wit my J's on (J's on) Don't get yo steps wroooong, don't try to bite mine (bite mine) 2 Steppin, yea I'm back, Unk, one mo' time (one mo' time) See we gon form a liiiine, and we gon step it right (step it right) Now step it to the left, girl you know you dynomite Now have some good tiiiiimes, I see you got it right (got it right) Beat my wrist ice, colder than a Bud Light (Bud Light) Now I'ma take my tiiiiime, where the gangstaz at (where the gangstaz at?) And you can still post the wall, nigga holla back (holla back) Grey Goose and 'Yak, blunt filled wit kush (wit kush) I'm gettin jiggy wit it, smokin on that Gaw'rge Bush - step   (Four, three, two, two) A two Step, a two step Now gon' n two step, (two step) now gon' n two step (two step) Now gon' n two step, (two step) now gon' n two step (two step) Now get, jiggy wit it, (jiggy wit it) Now get, jiggy wit it (jiggy wit it) Now get, jiggy wit it, (jiggy wit it) Now get, jiggy wit it, (jiggy wit it) Now gon' n two step, (two step), aye Watch me two step, (two Step) Now can you two step, (two step), like I two step (two step) Watch me get, jiggy wit it, watch me get, jiggy wit it Watch me get, jiggy wit it, watch me get, jiggy wit it Gon n' two step   Now take two steeeeeeps - to the left Now take two steeeeeeps - to the right Now bring it back, bring it back - yeah I made y'all walk it out Ev'rybody two Steppin, now we finna turn it out Now here we go agaiiiin - you already slow If you ain't two Steppin, get yer shit and hit the do' (hit the do') I'm shootin at ya toes, like a Western (Western) I see you baby girl, sweatin outcha lil' perm (lil' perm) They call me Big Wooooorm - where my money at? (money at) 2 Steppin wit my stacks, BITCH holla back (holla back) The O.C. is back, y'all besta deal wit it (deal wit it) And don't be steppin on my shoes when I get jiggy wit it (jiggy wit it)   (Four, three, two, two) A two Step, a two step Now gon' n two step, (two step) now gon' n two step (two step) Now gon' n two step, (two step) now gon' n two step (two step) Now get, jiggy wit it, (jiggy wit it) Now get, jiggy wit it (jiggy wit it) Now get, jiggy wit it, (jiggy wit it) Now get, jiggy wit it, (jiggy wit it) Now gon' n two step, (two step), aye Watch me two step, (two Step) Now can you two step, (two step), like I two step (two step) Watch me get, jiggy wit it, watch me get, jiggy wit it Watch me get, jiggy wit it, watch me get, jiggy wit it Gon n' two step   A two step A gon' n two step A two step A gon' n two step A two step A gon' n two step A two step A gon' n two step A two step A gon' n two step A two step A gon' n two step A two step A gon' n two step A two step A gon' n two step"
/songs/47121,UNK,Back it Up,https://genius.com/Unk-back-it-up-lyrics,http://api.genius.com/songs/47121,Beat'n Down Yo Block,None," Y'all better look out back there I'm fin' to back this big ol' thang up~! {*truck backing up with beeping noise*}   Okay now, I need all my ladies to report to the dance floor If you got a big, big ol' butt You need to be on the dance floor right now cause this is yo' song I need all my ladies to back it up Ay ay, let's go, ay ay, let's go~!   Back that ass up like a Tonka truck Back that ass up like a monster truck Back that ass up like a Tonka truck Back that ass up like a monster truck Make it drop like a six-fo' {*repeat 3X*} Make them ass cheeks clap to this hoe   Back that thang up hoe Bend over and touch your toes Now jack that thang up, whoa~! Make it roll like them 24's Now pull up to the bumper baby And make these niggas love you baby Big booty on duty, you drive me crazy And I got somethin for you lady Go forward, reverse, and forward, again Table dance five dollars you can keep that whole ten! Whassup, tell that DJ can you play this shit again? I ain't seen a ass this big, since God knows when Back it up   I like the way she move her body Patron and Goose inside me She turned around politely (Back that ass up like a Tonka truck) I looked at her like what the fuck? Excuse me girl, is that your butt? If it is, then thats what's up Throw the motherfuckin dollars up Back it up, go on bring it right back Work that ass, make a nigga throw a stack Tonka truck! She got a ass so fat Ummmm - I ain;t seen nothin like dat! Thirty-six, twenty-fo', thirty-six This girl here be super thick DJ Unk gotta have some of that And I don't give a fuck who you with   - repeat 2X"
/songs/47124,UNK,Beat'n Down Yo Block,https://genius.com/Unk-beatn-down-yo-block-lyrics,http://api.genius.com/songs/47124,Beat'n Down Yo Block,None," Yeah~! One time dis ya boy DJ Montay right We doin this shit for all my motherfuckin hood niggas All my niggas that beat'n down they block Big Oomp Records, DJ Unk Tell them niggas how you ride nigga   I'm poppin my collar, I'm grippin that wood My kush in my hand, my trunk beatin good If it's knockin they jockin, feel that bass that's a hobby Beat through yo' hood them kickers kick off in yo' ass like karate They hear that bass wanna try me, honk at Greenbriar Mall I pop my trunk and all them hoes did the Westside walk I'm with Montay in the South, system soundin so mean 26's make it stretch, sittin high like Yao Ming Big Oomp down for my time, trunk thumpin somethin crucial Bumpin B.I.G. and T.I.P., hit up Club Crucial On my waist is a Ruger, love my bass and my amps Adjust ya tweeters make it sweeter, chain bright as a lamp They feel me   I'm beatin down ya block and you can hear when I'm comin {*4X*} Can you feel me? (Crank it up) I know they feel me now (I know you feel me) Can you feel me? (Turn it up) I know they feel me now (I know you feel me) Can you feel me? (Crank it up) I know they feel me now (I know you feel me) But can you feel me? (Turn it up) I know they feel me now (I know you feel me)   Yeah they bumpin the Camp, candy paint lookin good And I know that they can feel me half a block from the hood From the block hear you good, yo' trunk don't sound so clear I bump like D-Lo tell me lil' nigga do you hear what I hear? Speakers front to the rear, it's DJ Unk in yo' ear And free walk chain let it bang, for what shorty we here See how my name just appear, on CD players and screens DJ Jelly DVD's jump from scene to scene Fo'-fifteen hittin mean, tote the scope and the beam Turn it up a notch, bouncin off the roof I'm clean Steady stackin my green, money high as a star And the best part about it is the bass in my car   (Then I heard) From the amplifiers (DAAAAAAAAAM~!) can't bust 'em Cause my speakers built from West Coast Customs Customized sound, trunk shakin the whole block TV screens in the dash, champ playin the X-Box Yup I'm beatin down ya block, fo'-fo'-deuce sittin tall Bend my hat back, knockin down pictures off your wall A-T-L comin hard, beatin hard in a droptop Old school Chevy's, color candy, call it lollipop Cutlass with the T top, Buick with the brains out SS Impalas and Cadillacs stay pimped out Smoke 'dro then peal out, smash the gas I'm on my way Beatin down your block, fuck nigga, get up out my way   Nigga Oomp Camp all up in yo' ear nigga DJ Montay, DJ Unk, that's how that shit gon' always ride out nigga Keep your motherfucker speakers fixed nigga cause we gon' bump forever nigga Oomp Camp signin out, Big Oomp bitch"
/songs/47126,UNK,Brand New Day,https://genius.com/Unk-brand-new-day-lyrics,http://api.genius.com/songs/47126,Beat'n Down Yo Block,None," Yo... so that's how it goes down (yo) When I'm beat'n down yo' block (I hear you shorty) Ay this for all the haters E'rybody who didn't think I was gon' make it, y'knahmtalkinbout (All y'all haters) E'rybody who was down with me All my friends, all my family From hood to hood, from my hood to yo' hood A-Town stand up, yo it's a brand new day We gettin new money my nigga, check me out   Yo, hey, hey, hey, hey   Hey, hey~! Okay now here we go Swevin on 24's, blowin on plenty 'dro Hey, hey, I came and stole the show They thought thet I would blow, and now I get dough Every - day, day, I'm on the radio I got that killer flow, now everybody know My - name, name, name Hey, hey, hey, hey   Nobody in they life, thought I'd go this far My momma kept her faith so I pursued as a star Now what I say be real, my whole life now has changed It's money to the bank, my lil' girl got everythang And now we movin up (up) like Weezy and George I might of spent some shit, I used to couldn't afford And yes I rock it all, dedications to my dawgs And all my friends who stayed down wit'cha boy man this for y'all I let the people see (see) how it can be done (done) They watchin end up scopin interceptions so I run Now stay up on yo' grind, that's what the big man say I told that as advice, I'm shinin everyday Now they hear my name like wait (wait) I know that's DJ Unk They feel me in they speakers, I'm bumpin in they trunk I'm beatin down yo' block, keep you bouncin in yo' seat Top quality my sound, DJ Montay on the beat DJ Montay on the beat   I'm DJ Unk be cool, be calm and copacetic These niggas out here flexin, I told them they ain't ready Now what's the competition, they squares just like frames I barely here they songs, I barely here they names And I hold my head up high, blowin kisses to the sky R.I.P. Grandma Bell, love you Grandma ain't forgot Nigga now the world's gon' see (hey) how it's supposed to go (hey) If ten was at the table (table) five had to go (go) And that's just how it go (go) I soaked up all the game (game) We brought it to the world, Big Oomp baby do yo' thang Got diamonds on my neck, the neck match the ear The ear match the watch, the watch match the gear And this'll be my year, Big Oomp we let 'em burn Put that in yo' blunt and smoke it, you live and you learn Now straight you like a perm, I'm so strong as a bell When my Uncle Walt come home we throwin fo's in the air Throwin fo's everywere   You see I'm on a mission, success is how it happens Yo' boy at Fredrick Doug', I soon well saw what's happenin Before there's fingers snappin, you see I paid my dues Every flier that you seen, DJ Unk on 1's and 2's Two thousand is my crew, just a lil' bit of my past Now see he put me on, Big Oomp I meet at last Admit it it's a blast, I met up with the camp Now go on and bring it back, I got the heart of a champ These niggas say they vets, they only gettin slimmer They lookin good for breakfast, I ate them up for dinner I shoots them in they center, put some holes in your tummy I came through bein hard, niggas froze like the money Then money started comin, the hoes started shakin The collar got to poppin, the haters start hatin Some be congratulatin, I looks 'em dead in they eye DJ Unk, Southern style, Big Oomp Records let it ride Big Oomp Records let it ride   - 2X"
/songs/47128,UNK,Bring it Back,https://genius.com/Unk-bring-it-back-lyrics,http://api.genius.com/songs/47128,Beat'n Down Yo Block,None," Yeah, one time, it's ya boi DJ Montay right We got a brand new dance comin for you I don't care if you from the East coast, West coast Midwast, down South, but when that beat drop You gotta be on point - bring it back Top Quality Productions, Oomp Camp~! DJ Unk, tell 'em how to do it shorty   Catch the beat like me, bounce your body like this You can do it by yourself, go on and bounce on that bitch I'm so fresh out the press, Grey Goose on the rocks Bring it back, hit the stage with my balm in my socks Now these hoes wanna jock, hear my song so they cop Lean your shoulders to the beat and if you can't you need to stop Everybody bring it back like the trap, set up shop Fuck a hater, youse a snitch, you a flashlight cop Bring it back in the Chevy, leanin in the droptop Smokin purp', watch 'em work, you can bounce, you can rock Lean back like the Maybach, cool and relaxed Now they see I'm certified, dig him bitch, yeah we back Hey, now bring it back   (AYYY) bring it back, bring it back Bring it back, bring it back Catch the beat like this (AYYY) bring it back, bring it back Bring it back, bring it back Catch the beat like this (AYYY) bring it back, bring it back Bring it back, bring it back Catch the beat like this (AYYY) bring it back, bring it back Bring it back, bring it back   You ridin big? Bring it back! Hit the mall, jump fresh Spend a stack - bring it back! Hit the club, sippin Goose And the 'gnac - bring it back! Throwin up my hood niggas Where you at? Bring it back! Smokin kush, gettin head In the 'llac - bring it back! Hell naw, fuck that Break your back - bring it back! Bounce with it, lean with it Ride that - bring it back! DJ Montay on the track Bring it back, bring it back - Westside, Bankhead Bring it back, bring it back - in Decatur where it's greater Bring it back, bring it back - ridin down MLK Bring it back, bring it back - on that L, might as well Bring it back, bring it back - ATL e'rybody like this   Aight, aight, aight, aight Some of y'all know what I'm talkin 'bout out there Some of y'all don' I got my partner DJ Unk right, that's about to tell y'all how this thing go DJ Unk... ah crank 'em up!   Now crank it up (crank it up) crank it up (crank it up) Bounce with it, lean with it, crank it up (crank it up) Now ride out (ride out) now ride out (ride out) Now bring it back to the beat ride out (ride out) Now catch the beat, catch the beat like this (like this) If you can't bounce, don't bounce, just quit (just quit) Now bring it back (bring it back) now bring it back (bring it back) Now run for it like this, bring it back, catch the beat like this    Uh, uhh uhh (*repeat 8X*}"
/songs/2044106,UNK,Comin' Down Da Street,https://genius.com/Unk-comin-down-da-street-lyrics,http://api.genius.com/songs/2044106,None,None," I'm comin down the street, beatin on these hoes Switchin lane to lane Chevy sittin on 24's Got TV's everywhurr, that purp' is in the urr Plus I'm ridin dirty so you know that I don't curr  Ay, I'm comin down the street, rollin and smokin 'dro St. Louis and Mosley Park, big bodies and bike shows But dey can't fuck with mine, candy coated apple red Touch a button screens spill there's Paris Hilton givin head Hey, while I was gettin some head, I like to swerve to the curb At my back boys in the blue, say they protect and they serve Watchin me swerve on this purp', I put two shots in the air Big ol' spray, fresh fruit, no kush nowhere I got them big boy rims on the big boy whip I rock them big boy chains stackin big boy chips Fo'-fifty rocket unlock it, my bass stay punchin like Rocky Hit hit, hit it then I'm gone, beat'n down yo block you can't stop me   I'm beat'n down yo' block, comin with tremendous knock See me I'm fly on 26's systems, bitches keep spinnin when I stop Yup, I got that drop, but jackers got that Glock Come through when you see Big Oomp cause you know I gotta get that guac' I'm Simpson Road in a Simpson Road Chevy Sprayed Simpson Road green just like the street sign do you feel me Fo'-fifty-fo' motor under the hood so you know I'm runnin Got the traction when I'm mashin, wheels smokin, rubber burnin You don't wanna race, my nigga don't you try Blowin pipes oh so loud but my engine oh so quiet You know I'm in a big boy kit with that flip-flop chameleon Diamonds and the sun shinin got my Caddy back glistenin   Nope!"
/songs/47131,UNK,Coming Down Da Street,https://genius.com/Unk-coming-down-da-street-lyrics,http://api.genius.com/songs/47131,Beat'n Down Yo Block,None," I'm comin down the street, beatin on these hoes Switchin lane to lane Chevy sittin on 24's Got TV's everywhurr, that purp' is in the urr Plus I'm ridin dirty so you know that I don't curr   Ay, I'm comin down the street, rollin and smokin 'dro St. Louis and Mosley Park, big bodies and bike shows But dey can't fuck with mine, candy coated apple red Touch a button screens spill there's Paris Hilton givin head Hey, while I was gettin some head, I like to swerve to the curb At my back boys in the blue, say they protect and they serve Watchin me swerve on this purp', I put two shots in the air Big ol' spray, fresh fruit, no kush nowhere I got them big boy rims on the big boy whip I rock them big boy chains stackin big boy chips Fo'-fifty rocket unlock it, my bass stay punchin like Rocky Hit hit, hit it then I'm gone, beat'n down yo block you can't stop me   I'm beat'n down yo' block, comin with tremendous knock See me I'm fly on 26's systems, bitches keep spinnin when I stop Yup, I got that drop, but jackers got that Glock Come through when you see Big Oomp cause you know I gotta get that guac' I'm Simpson Road in a Simpson Road Chevy Sprayed Simpson Road green just like the street sign do you feel me Fo'-fifty-fo' motor under the hood so you know I'm runnin Got the traction when I'm mashin, wheels smokin, rubber burnin You don't wanna race, my nigga don't you try Blowin pipes oh so loud but my engine oh so quiet You know I'm in a big boy kit with that flip-flop chameleon Diamonds and the sun shinin got my Caddy back glistenin   Nope~!"
/songs/47127,UNK,Don't Make Us,https://genius.com/Unk-dont-make-us-lyrics,http://api.genius.com/songs/47127,Beat'n Down Yo Block,None," Yeah! One time it's your boy DJ Montay right Representin that Oomp Camp~! I got some niggas with me DJ Unk, Yola the Great, and me myself of course man We bearin up outta Oomp Camp, it goin down If you don't give a fuck in this motherfucker put your middle fingers up You don't give a fuck bout that other click nigga You know what time it is Ay ay ay!  Now put them middle fingers up if you don't give a fuck Put them middle fingers up if you don't give a fuck {*3X*} Fuck them haters, fuck them snitches (fuck 'em!) {*3X*} Fuck them haters, fuck them snitches   Nigga don't make 'em put them hands on you Nigga don't make 'em pull them heaters on you Nigga don't make us send the squad on you Nigga cause we don't give a fuck about you   You talk a lot of shit, but can you back it up Got 15's with red beams pointin out of trucks Oh now you backin up, I tried to tell 'em man You lookin sick, you out here Dodge'n like some Caravans Oh please don't make me mad, I turn your smile to frown I'ma put my middle finger up and start to countin down It goes one don't make me, two three go off Cause if I do, I'm gon' pop the trunk and reach for that sawed off Yeah! Cause we ain't playin games, yeah I'm from that 4th Ward Yeah! I'll find you dead on Bankhead up in Pull Apart{?} Yeah! You pussy niggas scared, yeah Unk will pull your card Fuck with that squad like some spades I'll cut your card It pays the cost to be the boss like Rick Ross I'm hustlin Fat stacks be doublin while other niggas be strugglin I got them hands and them heaters nigga now who buckin And I don't give a fuck nigga, better start duckin   Fuck you nigga! {*8X*} You say motherfuck me? Naw motherfuck you! {*4X*} Now rep your zone (represent) now rep your boys (repesent) {*4X*} I just don't give a fuck {*8X*} Pussy nigga!    [D.G. Yola] Yeah I don't like you, cause you a fuck nigga (you a FUCK~!) You lil' ho (you lil' ho) you old duck nigga (you a DUCK~!) Yeah I don't like you, cause you a bitch nigga (you a BITCH~!) You lil' snitch (you lil' snitch) you old fuck nigga (ha ha) Yeah I don't fucks wit'cha cause you on that other shit You don't fuck with me cause I'm on that gutter shit You know my steelo, I don't give a fuck When you see me, my middle finger up I slap the taste out'cha mouth, for talkin sideways Gon' introduce you to my motherfuckin 12 gauge Hit 'em up, what's up, I dump and leave a sucker ass in pieces Lil' bad ass nigga and nope, you you don't want to see me They say I'm crazy, like I anm with them demons We drankin and smokin, whylin and loc'n, and this what we screamin Yeah, addict temper ho, yeah addict temper bitch! Yeah, addict temper ho, yeah addict temper bitch!  "
/songs/47129,UNK,Flatline,https://genius.com/Unk-flatline-lyrics,http://api.genius.com/songs/47129,Beat'n Down Yo Block,None," Let's fuck his ass up! {*4X*} We fucked his ass up! {*4X*} Now call the ambulance! {*4X*} Flatliiiine~! {*4X*}   Fo'-fo' ducked off in my Chevy, let's fuck his ass up And if a hater buck, let's beat they ass up I'm black ski-masked up, whatever is whatever I'm watchin niggas posted mixin fruits and goose together I keep that black Beretta, I call that bitch my heater And if you play me close just like a bitch man I'mma skeet ya Them Western twins'll meet'cha, can greet'cha like a feature And change up all your features, call the Red Cross to treat'cha The club is off the meters, they crunk they doin they dance Security better check 'em, or we gon' throw them hands Now A-Town stomp that ass, watch me bow his ass up (Ay, back up!) Call the ambulance cause now you fucked Ready to pick yo' ass up, and take you on the stretcher We fucked his ass up, I hope that God bless ya Your team ain't here to help ya, you don't want it with us I told you that we gangsters, let's fuck his ass up     (Flatine!) Is he gone? (Flatline!) Lil' shorty dead (Flatine!) He bust a move (Flatline!) We rocked his dreads (Flatline!) Fo' to your dome (Flatline!) I split your wig I'mma grown-ass man, I don't play with fuckin kids These niggas swear they hard, these hoes think they bad But when it comes to beef, they all act like drags Sissies punks and fags, yo' life is slippin fast I hope you go to heaven, 2Pac gon' kick yo' ass I think you need to breathe, I'm cold so niggas chill Smoke you a blunt or kush, go try to get a deal Niggas bustin f'real, Big Oomp we tote the steel DJ Unk off in the 'llac, ready to twist yo' cap back f'real  "
/songs/47136,UNK,Hit the Dance Floor,https://genius.com/Unk-hit-the-dance-floor-lyrics,http://api.genius.com/songs/47136,Beat'n Down Yo Block,None," Now hit the dance flo', and bend your back low Shorty hit the dance flo', and bend your back low {*repeat 3X*} Shorty hit the dance now hit the dance now hit the dance flo' Now hit the dance now hit the dance now hit the dance flo' Now hit the dance flo', and bend your back low She do it with no hands, now stop pop and roll   Go 'head you got it momma, this right here yo' time to shine Grab your girl, hit the floor, I see you stayin on your grind I watch you twerk it baby, drop that thang to the flo' Now tell a friend that this yo' song, girl bend your back low She keep her hair fixex, she keep her nails done She goin by the bar, she throw a thousand ones She rock the stunna shades, Jazze she a stunna man Oh she see a stunna man, yeah Unk I'm the man Now brush your shoulders off, make that money let 'em hate Why you all in V.I.P. them other broads sit and wait I see you came to party, Big Oomp we be off the ave Smoke exotic kush, hypnotic girl did it with no hands I like the way she drop it, wobble and shake it Make make me wanna get naked, you wet it, do it, don't fake it Now break it down (break it down) girl throw yo' back at it Do your dance on the flo' and make 'em throw a stack at it   You gotta love it baby, you as fly as the sky Now work that Tinkerbell for that M-O-N-E-Y I see it in your eyes, dancin yeah she got the glare The baddest chick up in the club that's why they stop and stare The party's over here, yeah the party's over there The women representin and my niggas everywhere The club jumpin, DJ tell 'em hit the dance flo' Got DJ Montay on the beat now watch the speakers blow Yea baby girl, make 'em see a show Just pop it, drop it, down down to the flo' Your boy Unk representin, I do this for the people Got Big Oomp on my chain, she see my diamonds lethal I see she shakin plenty, cause she's a money maker Do this one for your boi, shake your salt shaker So go on and get your crew, and meet me on the flo' If you ain't here to party, you can hit the do'   Now get low, get low, get low, get low (I see you got it girl) Get low, get low, get low, get low (I see you got it girl) Get low, get low, get low, get low (I see you got it girl) Get low, get low, get low, get low (I see you got it) Now bend your back low, ay bend your back low Ay bend your back low, now stop pop and roll (I see you got it girl) Ay bend your back low, ay bend your back low Ay bend your back low, now stop pop and roll (I see you got it girl)  "
