api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/81165,Usher,2nd Round,https://genius.com/Usher-2nd-round-lyrics,http://api.genius.com/songs/81165,Looking 4 Myself,2012-06-08," Just touched down in town again You think about me now and then Been missing my lover friend Let's say we have a second round again (Yeah, Usher, baby I love all my friends)   Girl, it's been a while So I thought I'd hit you up You never left my mind Let's pick it up where we left off The last time I left you thirsty, baby So let me fill you up Yeah, it's been a minute I know you miss the way we touch You can think about you don't want it You don't wanna come across too anxious Gonna see if you're ready for the second round   Girl, I'm in your town, come over Girl, don't let me down, I won't be here for long I'll show you a good time, one that we'll both remember Girl, give me your best, expect none less, girl   Said you wouldn't, but you did it, oh girl I can tell you don't regret it 'cause you ain't been touched like this Since the last time The feeling that I get every time we connect, oh, there it is One more kiss and I'm out, but I'll be back around Baby, you can hang around if you want to But I gotta be out, handle some B.I When I get back, get ready for the second round   Girl, I'm in your town, come over Girl, don't let me down, I won't be here for long I'll show you a good time, one that we'll both remember Girl, give me your best, expect none less, girl   Just touched down in town again You think about me now and then Been missing my lover friend Let's say we have a second round again   Girl, I'm in your town, come over Girl, don't let me down, I won't be here for long I'll show you a good time, one that we'll both remember Girl, give me your best, expect none less, girl"
/songs/728859,Usher,All Falls Down,https://genius.com/Usher-all-falls-down-lyrics,http://api.genius.com/songs/728859,None,2015-03-21," She built a bridge out of her own insecurities No one was brave enough to cross except for me, here I am, yeah She built a castle from the piece she took from me I'm going crazy, think she brought out the worst in me, here I am, yeah   Guess the price was the fall if I get up 'Cause the strong will survive, that don't give up Where she fell in love, her heart is resting now Six feet underground   Oh, she feels stupid loving me for me, yeah And I'm the fool who falls too easily We all fall down sometimes, we all fall down sometimes So why can't I? Hey, oh, so why can't I?   You gotta go I know the time waits for no man Don't say your words unspoken, girl, I over stand, here I am What do we mean? Some questions don't have an answer Two out of three made me a believer, here I am   Guess the price was the fall if I get up 'Cause the strong will survive, that don't give up Where she fell in love, her heart is resting now Six feet underground   Oh, she feels stupid loving me for me, yeah And I'm the fool who falls too easily We all fall down sometimes, girl, we all fall down sometimes So why can't I? Hey, so why can't I?   Oh, she feels stupid loving me for me, oh yeah And I'm the fool who falls too easily We all fall down sometimes, we all fall down sometimes So why can't I? Hey, oh so why can't I?"
/songs/2072173,Usher,A mother's luv,https://genius.com/Usher-a-mothers-luv-lyrics,http://api.genius.com/songs/2072173,None,2018-10-15,"Paroles de la chanson A Mother's Luv : Time's rollin' forward I'm gettin' bored Layin' on my back I'm loozin' track Shifting patterns And nothin' matters 'Cause there's no one here And I've lost my fear Well I've got no place left to hide I'm running out of time Moving slowly The walls are closing In on me I can not see Appearing fine, well That's all a lie 'Cause I am not alright Extinct inside I'm runnin' out of time My mother says I'm fine A teenage suicide No place to hide Well I've got no place left to hide No place to hide I'm runnin' out of time No place to hide Ya, I've got no place left to hide No place to hide A teenage suicide"
/songs/3515806,Usher,Amsterdam,https://genius.com/Usher-amsterdam-lyrics,http://api.genius.com/songs/3515806,None,2018-10-15," Turn the lights on   Now it all seems like a blur All the things we saw and heard At least for me, it was a first Do you remember that night in Amsterdam? Do you remember that night in Amsterdam? Ohhh Maybe you were too gone, maybe I was gone too And I knew I was on you, and I didn't even want to land (Do you remember that night in Amsterdam?) 'Cause I remember clearly, yeah   So hard to describe the energy You had to be there, you had to feel it for yourself Walking through the static of the aromatics Started from the bottom, made it to the attic Hoping I don't leave up out this bitch an addict Halfway to the plane and we still going at it (woo, damn!) You was so sexy, cursing out taxi drivers You were so public, you was like fuck it, let me ride it! (right here) So I did, and you did Had that man getting big Wishing I could take you back to where I live Thought about you all the way back to the crib   Now it all seems like a blur All the things we saw and heard At least for me, it was a first Do you remember that night in Amsterdam? Do you remember that night in Amsterdam? Ohhh Maybe you were too gone, maybe I was gone too I know I was on you, and I didn't even want to land (Do you remember that night in Amsterdam?) 'Cause I remember clearly, yeah   All those smoky rooms filled with tiny dancers And all those voices calling my name, and I ain't tryna answer And when you lay down on me, I couldn't help but stand Had me all at attention, lost in this wonderland I was so in tune, didn't notice anyone else that was in the room Made a small shower, saw all the wall flowers Didn't have any other choice but to bloom Each moment run to the other, saw the beauty in every color With me standing in the light And you was like, ""let me get a light""   Now it all seems like a blur All the things we saw and heard At least for me, it was a first Do you remember that night in Amsterdam? Do you remember that night in Amsterdam? Ohhh Maybe you were too gone, maybe I was gone too But fuck it I was on you, and I didn't even want to land (Do you remember that night in Amsterdam?) 'Cause I remember clearly, yeah   Oohhhh, do you remember, yeah? Do you remember, I? Do you remember, yeah? Do you remember, I? Oohh I, oohh I"
/songs/93767,Usher,Appetite,https://genius.com/Usher-appetite-lyrics,http://api.genius.com/songs/93767,Here I Stand,2008-05-13," Usher, Usher Yeah, man True story Real G's with me on this one Yeah, yeah, yeah yeah   Wifey home, wedding band, I'm a lucky man You'd think I'd be satisfied and truthfully, yes I am But lately, only late at night, I find it hard to sleep Stay struggling with the part of me that wants to run the streets My Mac is in my backpack, I'm surfing on the sites I'm chatting, this ain't cheating, just telling myself a lie (oh) And it's almost like I'm caught up and living another life Man, I'm hungry for something, I need to feed this appetite   Tempted I must confess, but I better not make a mess Better give my girl my best, put my BS under arrest 'Cause I love my lady Fellas, if you love your girl, fight that appetite for the ladies Appetite for the ladies Could've picked up the phone, could've ended up doing wrong Man, I miss home, but I ate my dinner at home 'Cause I love my lady Fellas, if you love your girl, fight that appetite for the ladies Appetite for the ladies   I'm not trying to be late, rush through security gates With weather in Atlanta, all outgoing flights delayed No rooms left in the Mandarin, I gotta figure out a play Sparked up some conversation, she was going the same way We started talking business, she handed me a card We exchanged information, I rented me a car While I'm driving, she calling, I'm thinking this is how it starts Fine as hell, but I don't wanna break my baby's heart, no, no   Tempted I must confess, but I better not make a mess Better give my girl my best, put my BS under arrest 'Cause I love my lady Fellas, if you love your girl, fight that appetite for the ladies Appetite for the ladies Could've picked up the phone, could've ended up doing wrong Man, I miss home, but I ate my dinner at home 'Cause I love my lady Fellas, if you love your girl, fight that appetite for the ladies Appetite for the ladies   They call me U-S, H-E-R, R-A, Y-M, O-N-D And I just wanna do right by my lady But lately, I been slipping up Fantasies 'bout dimes on the side, dark tint on my ride I got a 10 in my ride, I can hide, I can't lie, lie But ever since I put that band on my hand More and more chicks trying to get at me than I know what to do Just trying to handle my grown man B.I Got a girl I don't want to lose, I don't want to lose Break her heart, I do want to do I don't want to be that fool, make that move Bend them a bit, but never break the rules Bend a bit but never break the rules   Tempted I must confess, but I better not make a mess Better give my girl my best, put my BS under arrest 'Cause I love my lady Fellas, if you love your girl, fight that appetite for the ladies Appetite for the ladies Could've picked up the phone, could've ended up doing wrong Man, I miss home, but I ate my dinner at home 'Cause I love my lady Fellas, if you love your girl, fight that appetite for the ladies Appetite for the ladies   She got the door locked and the lock don't fit your key Yeah, you punching up her numbers in the ADT You'll be wondering how the hell I let this happen to me Better not feed, feed, feed that appetite Now your baby's gone, you putting out an APB And some other brother been tossing up your PYT Get caught slipping you gon' wish you would've listened to me Brother, don't feed, feed, feed that appetite   Usher, Usher"
/songs/225138,Usher,Bad Girl,https://genius.com/Usher-bad-girl-lyrics,http://api.genius.com/songs/225138,Confessions,2004-03-23," Sho' 'nuff, shorty! What'd he do? Yeah! Ooooohhh! Sho' 'nuff, pimping Oh boy, uh   What y'all know about a supermodel? Fresh out of Elle magazine Buy her own bottles Look, pimp juice, I need me one Bad than a mother I hear you saying (I need a bad girl) Let me hear you (if you're a bad girl) Players, when you see me Act like you know me I keep a dollar worth of dimes You know pimping ain't easy For all my chicks in the club Who knows how to cut a rug (If you're a bad girl Get at me, bad girl)   Ooh, work me, baby Shaking it the way I like I'm ready to be bad I need a bad girl (say yeah) Get at me, bad girl What sexy lady's Coming home with me tonight? I'm ready to be bad I need a bad girl (super bad, baby) Get at me, bad girl   Now, I've seen a lot of broads All on one to call Everyone looked the same But take a look at my dame (my dame) For sure, she take that Hypnotic or Alizé There ain't much more I can say But I need a (I need a bad girl) Bad girl, yeah (if you're a bad girl) Got one thou' on the bar, now Chick need a drink on the floor, now Look at them bad girls moving it Making faces while they doing it Ah, I want to take one to the restroom So close, I'm smelling like your perfume If you're a bad girl Get at me, bad girl   Ooh, work me, baby Shaking it the way I like I'm ready to be bad I need a bad girl (say yeah) Get at me, bad girl What sexy lady's Coming home with me tonight? I'm ready to be bad I need a bad girl (super bad, baby) Get at me, bad girl   I'ma get me one of them, get me one of them Get me one of them, get me one of them Get me one of them, oh, oh, oh, oh, oh Get at me, bad girl I'ma get me one of them, get me one of them Get me one of them, get me one of them (maybe two or three) Get me one of them, oh, oh, oh, oh, oh (that's cool with me, shorty) Get at me, bad girl (I need a bad girl)   If you want to party I got what you're looking for Come see me in the V.I.P. (for bad company) It's very necessary To be that kind of girl for me If you are, then, baby girl, let's leave   Ooh, work me, baby Shaking it the way I like I'm ready to be bad I need a bad girl (say yeah) Get at me, bad girl What sexy lady's Coming home with me tonight? I'm ready to be bad I need a bad girl (super bad, baby) Get at me, bad girl   I'ma get me one of them, get me one of them Get me one of them (one of them) Get me one of them Get me one of them, oh, oh, oh, oh, oh Get at me, bad girl I'ma get me one of them, get me one of them Get me one of them, get me one of them Get me one of them, oh, oh, oh, oh, oh Get at me, bad girl I'ma get me one of them (calling all girls, around the world) Get me one of them Get me one of them (yeah, get bad) Get me one of them (if you're out there) Get me one of them (I wanna see you) Oh, oh, oh, oh, oh (if you hear me) Get at me, bad girl (get at me, bad girls) I'ma get me one of them (around the world) Get me one of them Get me one of them (yeah, stay bad) Get me one of them (if you're out there) Get me one of them (I wanna see you) Oh, oh, oh, oh, oh (if you hear me) Get at me, bad girl"
/songs/3206037,Usher,Balcony,https://genius.com/Usher-balcony-lyrics,http://api.genius.com/songs/3206037,None,2018-10-15,"(Verse 1: Yamine) Uh, baby girl let me touch that sexy body You over here up and down that pole for my freaking Rarri hey What do you like What do you need You need a mic On this balcony Hey I don't know what I'm talking bout I've been srubbing walls for a couple change in the South Hey Oh what do you mean? Yamine been down the row between 2 to 4 teams They strippin They know I'm tippin' 4 rounds and they trickin' Thotting the thots smoking the pot For Pippen I don't know what I'm whipping in this kitchen 40 hoes for this dick I'm gon' swimming I don't ever stop it Cuz me and Usher made this song For this girl can be on my Rocket The one I stick in the socket Naw nigga she gone for the week While me and Usher go on team fleet Hey She fresh and so clean  (Hook: Usher) We do it in the shower On the counter On the floor Then well make it to the bed I just want to test it me Then we'll do it so the world can see On the balcony, balcony (repeat)  (Verse 2: Yamine) Hey girl what you like? I need a couple rounds for this sprite I had 4 hoes last night I'm so sorry baby I was getting it right (yeah bro) Last mixtape was fire And I never retire Me and Usher in the aisle And they know I'm an owl I've been looking all day with a flashlight Young ass girl that loves to bite She knows that she loves me I've been loving this girl all day And she know that I love her And she loves me so cove her   (Hook: Usher) We do it in the shower On the counter On the floor Then well make it to the bed I just want to test it me Then we'll do it so the world can see On the balcony, balcony (repeat)"
/songs/348097,Usher,Bedtime,https://genius.com/Usher-bedtime-lyrics,http://api.genius.com/songs/348097,My Way,1997-09-16," Craving your body all through the night Feels like I'm going through withdrawals I wanna hold you I want you inside of these arms I'm dying to taste you, I can't deny Can't get out of my mind Please let me hold you 'Cause I need your loving tonight   Whenever I'm near you My love just comes down Whenever I see you I just want you around 'Cause I wanna feel you All through the day and the night Whenever I'm near you It feels like bedtime   Constantly thinking of things to do Places where we can make love I wanna freak you I'll freak you wherever you want Placing my kisses all over you Caressing you so nice and slow Oh, how I want you Girl, there's something I want you to know   Whenever I'm near you My love just comes down Whenever I see you I just want you around 'Cause I wanna feel you All through the day and the night Whenever I'm near you It feels like bedtime   (Do you get lonely?) I get lonely (Thinking about me) Thinking about you (Am I the only) Girl I dream of or think of at all? (Are you into me, out of your mind for me? Say you can't go a day without me) Girl, I love you and I want you And I need you, I need you, I need you   Whenever I'm near you My love just comes down Whenever I see you I just want you around 'Cause I wanna feel you All through the day and the night Whenever I'm near you It feels like bedtime Whenever I'm near you My love just comes down Whenever I see you I just want you around 'Cause I wanna feel you All through the day and the night Whenever I'm near you It feels like bedtime   It feels like bedtime"
/songs/121384,Usher,Before I Met You,https://genius.com/Usher-before-i-met-you-lyrics,http://api.genius.com/songs/121384,Here I Stand,2008-05-13," Saw you for you (Remember, remember, remember, remember) You changed my life in so many ways  (would you remember, remember, remember, remember) I just think back to  (would you remember, remember, remember, remember) How I used to be and how you dealt with me (would you remember, remember, remember, remember) Just want to thank you   Just in case I never see your face again Just in case the worst was meant to happen Just in case tomorrow never come, there is something you should know (should know) I've given you every bit of the man I am (the man I am) I know at times, it wasn't pretty, but it was all I had I never held back, not one little bit, and the world can attest to this And baby, you flipped my program upside down (upside down)   (Listen to me now) I was a hustler and player, girl (before I met you) I'd drink a little something, then hit a little something (before I met you) But how you made a (difference), look what I've been (missing) You got my life (together) and I thank you (forever) I really used to throw a lot (before I met you) But I do one every night and sometimes I had two But all of that done changed, my game, my frame of mind, you got it right And I love you for life, girl, I love you for life   There was so many times I wasn't there for you And for everyone of those times, I hated myself for The way I went about it, the ups and the downs One foot in, while the other foot's out Loving on you, loving on another But I ain't no different from any other brother So what I give to you right here, right now In this here place (is my voice, say it out) In this here space (let my heart pour out) As I state my case, as I break it down To tell you where I'm coming from so you've seen the good you've done So you've feel the change you've made, stay with me every day   I was a hustler and player, girl (before I met you) I'd drink a little something, then hit a little something (before I met you) But how you made a (difference), look what I've been (missing) You got my life (together) and I thank you (forever) I really used to throw a lot (before I met you) But I do one every night and sometimes I had two But all of that done changed, my game, my frame of mind, you got it right And I love you for life, girl, I love you for life   Girl, if I died tonight before I wake Know that you touched my life in oh so many ways And sugar, if this song is I had to give, would you remember? Remember my heart, remember it was good Remember that I tried as long as I could Remember that I gave 'til I had nothing else Remember my voice   I was a hustler and player, girl (before I met you) I'd drink a little something, then hit a little something (before I met you) But how you made a (difference), look what I've been (missing) You got my life (together) and I thank you (forever) I really used to throw a lot (before I met you) But I do one every night and sometimes I had two But all of that done changed, my game, my frame of mind, you got it right And I love you for life, girl, I love you for life   Remember, remember, remember, remember Would you remember, remember, remember, remember Would you remember, remember, remember, remember Would you remember, remember, remember, remember Remember, remember, remember, remember Would you remember, remember, remember, remember Would you remember, remember, remember, remember Would you remember, remember, remember, remember"
/songs/505073,Usher,Believe Me,https://genius.com/Usher-believe-me-lyrics,http://api.genius.com/songs/505073,None,2014-08-25,"[Produced by Mike WiLL Made It]   Uh, take off Take off, yeah, take off (EarDrummers) (Mike WiLL Made It) Usher, baby   Nobody has ever loved me like you do That shit just something I'm not used to, ooouuu So I always push you away (sorry) Even though I know I want you to stay with me   (I know) I was the one who made you love me (I know) just when you was beginning to trust me I do it all again, do it all again (I do it, do it) Hit her up again, hit her up again (I hit it, hit it) And you don't deserve it, she ain't even worth it But I still do it anyway And it breaks my heart, my heart To know I break your heart, your heart Believe me   I tried to apologize (sorry, baby) But I hurt you one too many times baby I had no reason why (no reason why) I just continued to make it right, ohhhh I   (I know) I was the one who made you love me (I know) just when you was beginning to trust me I do it all again, do it all again (I do it, do it) Hit her up again, hit her up again (I hit it, hit it) And you don't deserve it, she ain't even worth it But I still do it anyway And it breaks my heart, my heart To know I break your heart, your heart   Oh baby I know I hurt you so many times I tried to change it But I can't, it's apart of my life And I don't wanna to lie to you Although I always lie to you And I don't like to lie to you (no I don't wanna lie) But I always lie to you (I can't help it, no)   Sometimes it happens that way (I'm sorry) It happens that way (I know you heard me say it before) Girl I hate that it happens that way (I'll never do it again) But it happens that way (for real) Ohhh (believe me)   I do it all again, do it all again (I do it, do it) Hit her up again, hit her up again (I hit it, hit it) And you don't deserve it, she ain't even worth it But I still do it anyway And it breaks my heart, my heart To know I break your heart (To break your heart), your heart Believe me"
