,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2433524,2 Chainz,100 Joints,https://genius.com/2-chainz-100-joints-lyrics,http://api.genius.com/songs/2433524,COLLEGROVE,2016-03-04," Yeah uum No matter what they say I smoke 100 joints a day Laying by my chopper, chopper laying by my safe No matter what they say I smoke 100 joints a day Laying by my chopper, chopper laying by my safe No matter what they say I smoke 100 joints a day Yeah   Hop up out that motherfucker swagging Hop up out that motherfucker dabbing Had an old school on some 'rellis Used to go to school in some Bally's Flexing Macho Man Randy Savage Oh I'm 'bout to let these niggas have it School of hard knocks I graduated I got all my rims straight from Bailey's Yeah Laying by my chopper, chopper laying by my safe No matter what they say 100 joints a day I had 'em pre rolled all yesterday You need your passport for our second date You know I'm fly nigga rocking reptiles I'm whooping on this beat like a step child Big ring and a charm to match Ya my role model was Project Pat Life is too short, nigga born to mac I hop up out that coupe nigga rat, rat Hating on the style I hope you die today I hope they ass don't find your ass for 30 days Mind on my money, money on the stage Ain't judge a book by its cover turn the page I like her on the pole that's the business nigga As soon as she get off I'mma kick it with her   Laying by my chopper, chopper laying by my safe No matter what they say I smoke 100 joints a day Laying by my chopper, chopper laying by my safe Don't matter what they say I smoke 100 joints a day   Time to switch it up for 'em Time to flip it up for 'em Got a Masi on the corner Pull it out when I want to Pull your bitch when I want her Marijuana in the joint Codeine in a Styrofoam, that's getting to the point East Point in this motherfucker College Park in this motherfucker West Side in this motherfucker The best died in this motherfucker My damn street know I'm riding through it Four four two on the hood Do this shit here for the hood Why you niggas shit on the hood? Two two three at the sunroof Niggas spitting like one tooth Turn around and see white smoke when I leave out the mic booth I'm tight nigga that's known Put gold on the white coupe Put gold on the white tooth Put gold on my wife too   Laying by my chopper, chopper laying by my safe No matter what they say I smoke 100 joints a day Laying by my chopper, chopper laying by my safe No matter what they say I smoke 100 joints a day Yeah Laying by my chopper, its laying by my safe No matter what they say I smoke 100 joints a day Laying by my chopper, its laying by my safe No matter what they say I smoke 100 joints a day, lil' bitch",-0.9907,14,10,10,9,17,16,26,4,5,22
1,/songs/215204,2 Chainz,10 Summaz,https://genius.com/2-chainz-10-summaz-lyrics,http://api.genius.com/songs/215204,None,2019-03-01," A nigga hot, like ten summers Ten chains on, walking in a Benihana My money long, like ten Hummers I been getting to the money the last ten summers   Ten summers, ten summers I been getting to the money the last ten summers My money long, like ten Hummers That nigga full of shit, somebody call the plumber A nigga hot, like ten summers Ten chains on, walking in a Benihana My money long, like ten Hummers I been getting to the money the last ten summers   You know I keep it G, like ten hundreds I won't fuck that nasty bitch wearing ten condoms The chain cost me like ten Hondas 2Pac, dear ma, I'm tryna kill something You know I do this on the regular, I'm telling ya I smoke loud though, I don't smoke no regular Dear John letter to all my competitors: I dumped my last girlfriend because she wasn't wet enough If I hear about a lick, I'm like ""bet it up"" I got a young bitch that could set it up Summertime, I'm about whatever, bruh, and I'mma need a handicap sticker cause my whip is dumb     I fell in love with that money, she fell in love with my schwag Too fly for these niggas but we knee-deep in that trap You just getting that bread, since Bin Laden been dead Killing these niggas, wrist might get time in the feds I'm stunting, Evel Knievel, dirty Sprite by the liter Let that top down on my Beamer til' I'm tired of balling like Tila On the books just like De La, get you knocked right out your FILA Have your neighborhood drug dealer, just shoot yo' ass and peel out You know I got the streets hotter than the Gates of Hell Six for the nine-piece but you make it twelve It's simple math, yeah, we got the yola 20 million strong, MMG taking over     Ten summers, ten baby mommas Yeah, I got my baby girl tatted on my stomach Ten thousand worth of tats like an esé I got a bag of pills, who wanna play them ex-games? I do this for the trap cause I'm a trap star Inside of my car look like a laptop Outside of my car look like a crack spot and If you think you're lucky, it depends on your crap shot Baby, let me put my stick up in your matchbox All my verses hot, you might pass out Got your girl smoking loud with her ass out and If you didn't know then, bitch, I'm the man now Hot  ",-0.9507,21,16,11,10,15,23,22,11,10,12
2,/songs/2832350,2 Chainz,1 Yeezy Boot,https://genius.com/2-chainz-1-yeezy-boot-lyrics,http://api.genius.com/songs/2832350,Daniel Son; Necklace Don,2016-08-05," Gon' make me take a shot of, gon' make me take a shot of apple Crown. Ain't no apple Crown? Uh Cap, that's all Cap   I'ma talk that shit them niggas wanna hear Yeah, nigga drinkin' lean like he drinkin' beer Told him one time, it was our year That was last year... now the cash here   One Yeezy Boost, one Yeezy boot How a nigga do, jumpin' out the roof Need a parachute, got a pair of coupes Yeah the paramedics gon' have to carry you   I drop two verses, they on god level One goin' state, one goin' federal I get so busy, don't know what to tell you Man I had to put love somewhere on my schedule Ain't no time for that I had to grind for that I got the diamonds check You gon' rewind it back Nigga I'm so fly, I got the pilot back .44 Bulldog, I’m tryna find a vet From head to toe, I'm wearin' designer hats If not, I'm somewhere tryin' on a designer hat One Rolex, one AP One black and white, one HD   One Yeezy Boost, one Yeezy boot How a nigga do, jumpin' out the roof Need a parachute, got a pair of coupes Yeah the paramedics gon' have to carry you One Yeezy Boost, one Yeezy boot How a nigga do, jumpin' out the roof Need a parachute, got a pair of coupes Yeah the paramedics gon' have to carry you   Got my joint filled, with the real killa Where I come from, my bedroom was real little Now I'm mansion status, in my apparatus When they bring my check, I start cabbage patchin' What's cappin', captain? Around the mat relaxin' When she look down, I know that's chain reaction I done been through it, I got a pain reaction Introduce me to your nigga, I had a lame reaction Had me all itchin' and shit I come through on the blitz, I had the shoe with the kit I got an ink on my body, made the drophead do karate If I was in a dunk contest, I would jump over Ferrari   One Yeezy Boost, one Yeezy boot How a nigga do, jumpin' out the roof Need a parachute, got a pair of coupes Yeah the paramedics gon' have to carry you One Yeezy Boost, one Yeezy boot How a nigga do, jumpin' out the roof Need a parachute, got a pair of coupes Yeah the paramedics gon' have to carry you Yeah the paramedics gon' have to carry you",0.9672,5,8,2,10,7,6,18,4,3,10
3,/songs/3122236,2 Chainz,2 Chainz Freestyle | LA Leakers Freestyle #017,https://genius.com/2-chainz-2-chainz-freestyle-la-leakers-freestyle-017-lyrics,http://api.genius.com/songs/3122236,LA Leakers Freestyles,2017-06-13," Pretty Girls Like Trap Music, that's me Pretty Girls Like Trap Music, that's me   MAC-11 and the crack I'm sellin' in my DNA Frito-Lay, Aston Martin there's no need to kid and play Pick a day, bet I'll pull up on your ass with dealer plates Paper plates was my dinner plate, you prolly can't relate This that Dre mixed with 3K, Wayne and Kanye Andale, want no bullshit, no need to perpetrate Purple drank in that dirty cup, down south MC Eiht Down south MC Eiht, LA call me down south MC Eiht Half a million for the restaurant I have to renovate Man, I got so many demons, please don't make me demonstrate I know trappers, rappers, actors, got the Phantom 'fore the mansion Man that's backwards, ass-backwards, I'm a bachelor and I'm handsome And I'm straight up off the porch, and I landed in a Porsche And I ended on The Source, man I'm on the right course Turn your body to a corpse, turn this beat into a corpse Turn this beat into a body then shake and bake like Ricky Bobby, woo! Crib so big the livin' room like a lobby, woo! I can damn near fit a pool in the lobby, woo! Got your girl in here 'bout to drool in my lobby Cuz is a Blood, he like to bool in my lobby, yeah   Pretty Girls Like that Trap Music, that's me 'Bout to drop that shit around June 16th Pretty Girls Like that Trap Music, that's me 'Bout to drop it on your ass June 16th   First I met the plug, then I met his sister Bought 20 packs, then I turned around and kissed her Then you know I left, I been left, Derek Fisher Had a lot of prize, but I'm tryna get richer   Pretty Girls Like That Trap Music, that's me 'Bout to drop it on your ass June 16th Pretty Girls Like That Trap Music, that's me 'Bout to drop it on your ass June 16th   Man I got a dog, I paid 10 G's for it Fucked up her hair and bought a quick weave for it Somebody please come and get these boys L.A. Leakers, come and get these boys Smokin' on the loud, man I'm known to bring the noise This ain't Santa Claus when I'm comin' with the toys Got a duffle bag, man I got a duffle bag Got them suckas mad, man I got them, woo!",0.67,9,7,12,3,12,19,20,10,0,7
4,/songs/83646,2 Chainz,2 Chainz Sway in the Morning Freestyle,https://genius.com/2-chainz-2-chainz-sway-in-the-morning-freestyle-lyrics,http://api.genius.com/songs/83646,None,2019-03-01,  My rhyme style real nonchalant Trust me rude boy ain't what you want Hit your ass up have you doing somersaults Then I drop your trashy ass off in the garbage Every week I get my car washed This is the life of a hustler this is not facade And what you looking at is not a mirage You probably see me at the W having a Menage Performing Slap a little ass recording Im doing 160 for my niggas in Porsches They say I'm speeding cause im on that far left side I'm from the south but im smoking on that west side Im in my best ride I let my girl wash clothes on the G4 so I can let the jet dry I'm the best I know this And you ain't even notice Until I rode up on you in a Lotus Brushing dust off my shoulders Like fuck it im focused Im fucking with bitches thats only fucking with soldiers Now listen I got a old school the color of Okra The tires as wide as Oprah Watching it when its approaching Now listen Peace up A-Town down You know I got that piece up so I won't play around Got a extra round Plus I got a clip on it Pollute your block I put all that shit on it 2chain!,-0.892,5,2,6,1,1,10,5,2,1,5
5,/songs/4295932,2 Chainz,2 Dollar Bill,https://genius.com/2-chainz-2-dollar-bill-lyrics,http://api.genius.com/songs/4295932,Rap or Go to the League,2019-03-01," Yeah, I know that I'm winnin' I'm winnin', I'm winnin', I'm winnin' (Wow) Yeah, yeah, uh, I know that I'm winnin', I'm winnin' (Dos) I'm winnin', I'm winnin', yeah (Mustard on the beat, ho)   Yeah, I'm rare, I'm rare I'm rare (This shit hard), I'm rare I'm rare, I'm rare I'm rare, I'm rare   Like a two-dollar bill Like a two-dollar bill Like a two-dollar bill Like a two-dollar bill I'm rare, I'm rare I'm rare, I'm rare I'm rare (Rare), I'm rare (Rare) I'm rare (Yeah), I'm rare (Uh)   Spit cold shit, need Mucinex Diamond chain 'round my neck with the crucifix Got a family now so I gotta pipe down 'Fore a young ho fuck up my timeline I wear my shades at night like Corey Hart Stopped trappin' and the plug say I broke his heart On a seafood diet, I don't fuck with pork Foreign my safe drive, I got a lot of torque Trap check, check, one two She wanna split, dip, fondue Shinin', I'm in the sunroom Life a bitch so you better use a condom I'm rare like a nigga that's loyal I'm rare like a girl with me that ain't spoiled I'm rare like Mr. Clean with hair Yeah, I'm rare, uh   Like a two-dollar bill Like a two-dollar bill Like a two-dollar bill Like a two-dollar bill I'm rare, I'm rare I'm rare (Rare), I'm rare (Yeah) I'm rare (Yeah), I'm rare (Yeah) I'm rare (Yeah, yeah), I'm rare (Uh)   I'm rare, I promise, I swear I'm high, mid-air, don't vomit up here Like the 13th floor, fuck it, I'ma take the stairs Like what 2 Chainz wears, shit's from Rio de Janeiro I'm rare, like a commercial with Future and Cher Like a cop that's fair, like a triple-double dare I'm rare, really rare, you scared, you really scared I'm where? I'm here and there, you stare, you disappear Oh, yeah, that's really real, that flare, them semis tear That trigger softer than hair, silencer's hearing-impaired That's rare, shoot up a fair, that's rare, my goons don't care They bears, might get the chair, who cares? They say their prayers Oh yeah, the claps drop, I'm rare as Sasquatch Get spared, trap house, codeine, mascot I chill where it's hot, Brazil, backdrop, I'm real Her ass not, I'm rare, Tunechi   Like a two-dollar bill (Mula) Like a two-dollar bill (That's Mula) Like a two-dollar bill (That's rare) Like a two-dollar bill (That's rare) I'm rare (I'm rare), I'm rare (I'm rare) I'm rare (I'm rare), I'm rare (I'm rare) I'm rare (I'm rare), I'm rare (I'm rare) I'm rare (I'm rare), I'm rare (I'm rare)  [Verse 3: E-40] Rare like real niggas, rare like 12 figures Rare like wagu steak, rare like 88 Polaroid pictures My bite is stronger than my bark, this shit like dog park Treat a Bugatti just like a fuckin' go-kart (kart) 'Bout my business and my soil is my witness Only fuck with real niggas, them fake niggas, I have to diss 'em Fuck with 'em from a distance, I'm a tycoon Hella sharks in this business, stay with a harpoon I got game like Donald Goines Start-up companies, cryptocurrency coins Like a bicentennial quarter, I'm hella rare (Hella rare) I've been hustlin' since I was in daycare (Daycare) Now I'm a mothafuckin' millionaire (Millionaire) Money longer than Diana Ross hair (Ross hair) I'm rare like white running backs, these squares a box of Apple Jacks I'm an innovator, a trend-setter, far from a copycat I don't rap like none of you niggas, I'm one-of-one (One-of-one) The baddest bitch in the world could suck my dick and I bet I won't cum, bitch  [Chorus: 2 Chainz & E-40] Like a two-dollar bill (I'm rare, I'm rare) Like a two-dollar bill (I'm rare, I'm rare) Like a two-dollar bill (I'm rare, I'm rare) Like a two-dollar bill (Bitch) I'm rare, I'm rare I'm rare (Rare), I'm rare (Rare) I'm rare (Rare), I'm rare (Rare) I'm rare (Yeah), I'm rare (Uh)  [Outro: 2 Chainz, Lil Wayne & E-40] I'm rare (I'm rare), I'm rare (I'm rare) I'm rare (I'm rare), I'm rare (I'm rare) I'm rare (I'm rare), I'm rare (I'm rare) I'm rare (I'm rare), I'm rare (I'm rare) I'm rare (I'm rare), I'm rare (I'm rare) I'm rare (I'm rare), I'm rare (I'm rare)",0.9859,16,7,13,12,10,25,24,6,4,22
6,/songs/2122185,2 Chainz,2 of Everything,https://genius.com/2-chainz-2-of-everything-lyrics,http://api.genius.com/songs/2122185,None,2019-03-01,"(Verse) Big bank, all I do is get bank Niggas hating on me but their bitch ain't So conceited, I don't think my shit stank 400,000 dollars on a Mulsanne Come and kick it with a west side nigga Ain't about that action, wanna bet my nigga? All day thumbing through the check my nigga Boy you're broke, you can't even be a threat my nigga When you're talking to me say it with your chest little nigga I pull up on your set and make a mess little nigga Okay, I got a kilo of gold 36 O's Wrapped around the neck of a dope boy Gold yacht, that's the presi' diamond in those And just paid cash for a Rolls Royce A true trap nigga, I done sold everything Trouble man, hustle gang, all gold everything I said trouble man, hustle gang, all gold everything  (Verse) Bought a gold bottle now we on the Dom Big faced Rollie take up half my arm Porsche 911 with the carrot top All gold scale, that's my magic box Got the soft, my nigga Give me thirty minutes, I'll be right witcha Got the hard, my nigga Let me whip this here I'll get it right to ya Goddamn, I'm turned up I think the knob just broke and I don't give a fuck Goddamn, I'm fucked up The streets dry as hell, this work high as fuck She want white, boy, dudes take it easy man Shit I'd pay less for a pair of Yeezy's man All I wanna know if I'mma bounce with her Talking me to death like I'm a counselor She popped a Molly I'm guessing But if she throwing the pussy I'm catching 223 with a silencer Gon' rock that shit with the flyest fur All gold like Montana (Tony) Hoes all in my phantom (Rollies) Young done killed the gold remix A nigga don't like it, God damn him  (Hook) Gold all in my chain, gold all in my ring Gold all in my watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Gold all in my chain, gold all in my ring Gold all in my watch, don't believe me just watch  (Verse) Even all of my hat, snakeskin all in my hat Hit your girl with my chains on so that's gold all on her butt Gold all on my watch, so big it's like a clock Some people wear fox fur, on the Source cover I wore a fox This for all the DJ's that got this on replay I sell a brick on eBay, then I celebrate Several bitches in every state I'm in Miami with Wayne trying to skate, my family straight Ayo, ho 'bout to hyperventilate, I owe her one, we did a 68 I say hoes, my nigga, them ain't red bottoms, her bottom brown I'm smoking strong, my nigga, I'm on loud, not Bobby Brown That's souf side up in here, I spell ""souf"" with a F F stand for fuck y'all if you ain't fucking with my set Fuck with me and I'm busting, fuck with me and I'm busting Every time you see me think about what it would be like if I ain't do nothing Damn right, I'm stunting, damn right, I'm styling Just got a girl chauffeur and we on a motorcycle and she driving This Versace, that Versace, this Versace, too I got killers watching, niggas watching, bitches watching me too See I'm on lean, on loud, and I got my own lane You need to mind your own business, it's 2 Chainz and Trinidad (James)  (Hook) Gold all in my chain, gold all in my ring Gold all in my watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Gold all in my chain, gold all in my ring Gold all in my watch, don't believe me just watch",-0.993,20,26,15,30,7,31,49,9,2,26
7,/songs/214330,2 Chainz,36,https://genius.com/2-chainz-36-lyrics,http://api.genius.com/songs/214330,B.O.A.T.S. II #METIME,2013-09-09," 36 That’s how many ounces in a brick 36, 36, 36, 36 That’s how many ounces in a brick That’s how many ounces in a brick 36   Whip that shit, with my wrist I might whip your bitch if she ain’t with that shit Young whippersnapper, I might eat that snapper Got a yellow bitch, gotta whip to match her All I know is soda bakin’, all them other niggas fakin’ Watch them niggas fall to pieces all them other niggas flakin' Did it for my city sellin’ crack out my building Now I ride around with a crack in the ceiling Exhale, Ziplock, flip-flop with them burglar doors Yeah, I got that hard work, nigga, you are unemployed Residue all on the floor, just made a mill So you know that’s what I’m hungry for, get it how you live  ",-0.9648,7,4,6,5,1,14,3,5,1,0
8,/songs/3105427,2 Chainz,4 AM,https://genius.com/2-chainz-4-am-lyrics,http://api.genius.com/songs/3105427,Pretty Girls Like Trap Music,2017-05-30," Yeah, yeah, yeah M-M-M-Murda Yeah, yeah Damn right, bro   4 AM, I'm just gettin' started For my birthday I threw me a surprise party Reminiscin' 'bout the trap, playin' the first Carter My life changed when I had my first daughter Got my first quarter flippin' 50 dollar slabs Your nigga's lookin' at the bills, askin' you for half Cut from a different cloth, take pride in results Anytime she wanna dip I'm providin' the sauce You on side of the boss, so you kind of the boss You keep playin' with me, I end up signing your boss Drop an EP on a nigga for the free-free on a nigga Yeah you ZZ on a nigga, king like BB on you niggas Rock with Champagne P If it wasn't for the struggle then I wouldn't be me Call me Deuce or Dos, anything but broke Got my aim from the scope, got the game by the throat, damn!   Okay, you popped up on me by surprise (Yeah, yeah) You see I never took you for the poppin' type (Straight up) Damn, it's 4 AM so please believe the hype (It's lit) Hit the lights (Yeah), I'm way over top Pop it, flick it Drop a pin, send a location (Skrrt, skrrt) I'ma pull up in that bullet-coupe spaceship (Skrrt, skrrt) Drop off a bag of some dangerous (Yeah) I'ma hit you, 4 AM, see if you make it (Yeah)   I dropped ColleGrove out the sky, ooh In a group with the best rapper that's alive, ooh Never turn my back on my slime, ooh I ain't wanna fuck the bitch but she was fine, ooh Hold up baby, let me take my time, ooh Hard to get some head and try to drive, ooh Jumpin' out the cake and that's surprisin', ooh Pickin' up the duffel bag like exercisin', ooh Bought mama new house 'cause she deserve it, ooh Practice makes perfect but nobody's perfect, ooh Escobar is not open for service, ooh Send you to Dr. Miami for your surgery, ooh   Okay, you popped up on me by surprise (Yeah, yeah) You see I never took you for the poppin' type (Straight up) Damn, it's 4 AM so please believe the hype (It's lit) Hit the lights (Yeah), I'm way over top Pop it, flick it Drop a pin, send a location (Skrrt, skrrt) I'ma pull up in that bullet-coupe spaceship (Skrrt, skrrt) Drop off a bag of some dangerous (Yeah) I'ma hit you, 4 AM, see if you make it (Yeah)  [Verse 3: 2 Chainz & Travis Scott] Ooh, Riccardo Tisci on the crewneck Ooh, on a killin' rapper spree and nigga, you next Ooh, they talkin', chillin', watchin' Netflix (Straight up) Ooh, I used to trap and watch bootlegs Ooh, I'm on my wave like a durag Ooh, I see your boo, now where your crew at? Ooh, talkin' tequila for the pipe-up Ooh, I hope you got a clean vagina, yeah Drench god, drench god, really Representin', we the squad, really (Oh, yeah) Tec got the Rollie, now I get it I used to sell drugs for a living Got me a job sellin' records Had to use my jeweler for a reference Might buy a charm with the extras Might use her legs for a necklace   Okay, you popped up on me by surprise (Yeah, yeah) You see I never took you for the poppin' type (Straight up) Damn, it's 4 AM so please believe the hype (It's lit) Hit the lights (Yeah), I'm way over top Pop it, flick it Drop a pin, send a location (Skrrt, skrrt) I'ma pull up in that bullet-coupe spaceship (Skrrt, skrrt) Drop off a bag of some dangerous (Yeah) I'ma hit you, 4 AM, see if you make it (Yeah)   Don't stop trappin', boy Got 'bout 12 racks this mornin' Got 'bout 12 racks Started last night, still goin' 12 racks strong Got the pitbull in the corner, she pregnant Got the crackhead in the corner, she pregnant Everybody in here pregnant, 'cept my partner and them But we gettin' this money though, I'm tellin' you that",0.991,18,18,8,14,17,32,33,7,10,15
9,/songs/2064708,2 Chainz,7 minutes,https://genius.com/2-chainz-7-minutes-lyrics,http://api.genius.com/songs/2064708,None,2019-03-01," My cellphone ringin’ every 7 minutes (hello) I’m on here on my grind, chasin’ 7 digits (oh) I can’t waste no time, man, I gotta get it I ain’t even count it yet, I already spend it! My cellphone ringin’ every 7 minutes (hello) I’m on here on my grind, chasin’ 7 digits (oh) I can’t waste no time, man, I gotta get it I ain’t even count it yet, I already spend it!   Ridin’ ’round my city in a 100 Gs 30 bitches on my dick, I feel like Lil’ B Damn, Based God, look at that paint job (damn!) I took my ghetto bitch to Wingstop My phone still ringin’ and it won’t stop, nah! Think I’ll buy an extra phone for the extra guap Phonebook paper in my pocket, homie I can’t even fold the motherfuckin’ profit on me! Quit callin’ my phone if you ain’t talkin’ business I’m out here on my grind, chasin’ 7 digits     I already spend it, denim True Religion Give 7 minutes, I can pull me 7 bitches Plus I got a 7 in my Gucci tennis Drop this shit off, I need a pooper-scooper with me If you was with me, all you gotta do is do it with me If you act right, I’ll take you to the movies with me (get it?) The work here so I got that phone call… I meant to say that bird call I count money every night until I doze off Ridin’ in the Jeep with the doors off Got them 26s, so I took the 4s off If I put the jewelry on, we done had a froze off I do it for the Southside, spell it with an “F” And the “F” stands for “Yeah, you fuckin’ with the best”     Walk up in the club, lookin’ like a rapper $30,000 all twenties, feeling like a trapper We just wanna pour up that Ciroc, hoe Why the fuck you think I brought this extra guap for? A 100 miseed calls and they still text 20 bottles later I will still flex My phone don’t get no service in the VIP Her phone don’t get no service when she be with me, no! We was bending corners in my Flying Spur She never seen a car where the floor’s fur My phone’s still ringin’, I can’t answer, though I spent a lot of money, I ain’t count it, though My cellphone ringing every 7 minutes I’m out here on my grind, chasin’ 7 digits!  ",-0.9805,9,6,10,8,5,12,17,5,3,16
