,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/2467783,3OH!3,7-11,https://genius.com/3oh-3-7-11-lyrics,http://api.genius.com/songs/2467783,NIGHT SPORTS,2016-05-13," Space man High as outer space man Fucking ridiculous My favorite album, Space Jam Exit seat while I'm riding on your plane man And I don't go HAM, I go corned beef Singing slow jams in between gold teeth At a karaoke stand with your girl getting drunk chief She singing Journey Getting hella horny So she grabbed my face like Sigourney   At the 7-Eleven Parked in the alley out back we found heaven At the 7-Eleven Tracing lines on your skin we found heaven   She said she heard of me from that album Want She used to bump it in the Target parking lot In her '97 Dodge Well that's hot If her friends get together, maybe I could watch I got the conch, ain't no Lord of the Flies shit It's more like you'll be catching flies on your eyelids But I keep crashing in the rocks of the sirens Playing murder-fuck-kill with death on a desert island   At the 7-Eleven Parked in the alley out back we found heaven At the 7-Eleven Tracing lines on your skin we found heaven   and we would castaway We were marooned, yeah we were lost inside a foreign place We lit fire and said a prayer beneath the typhoon rain Then we wake up and we'd be here and it'd be light again   Tequila soda Talkin' like I'm Yoda Trying to convince a girl that my bed ain't a sofa Just come over Maybe I could show ya We could pull the mats out, you could teach me yoga Hold up, I can't appreciate and deviate from any sort of discourse that could maybe aggravate you Would you join me on a date through time? I'll take you to the future Where I blew your mind   At the 7-Eleven Parked in the alley out back we found heaven At the 7-Eleven Tracing lines on your skin we found heaven At the 7-Eleven Parked in the alley out back we found heaven At the 7-Eleven Tracing lines on your skin we found heaven",0.983,6,5,6,9,12,11,21,5,3,15
1,1,/songs/713752,3OH!3,Back To Life,https://genius.com/3oh-3-back-to-life-lyrics,http://api.genius.com/songs/713752,Omens,2013-03-05," There's a drum line in my heartbeat I know exactly what it's from They're turning off the street lamps They say the day is almost done There's a ringing in my ears now I remember how it was The feeling we had last night And it won't stop now because   Everybody says, ""Hey, no! We don't wanna see this day go If I ever had my say, so We can make this go all night, night, night""   'Cause if the party is dead We can bring it back to life Yeah, we can make it through the night If you listen to the words that I say 'Cause if the party is dead All we need is candle light And a little bit of dynamite Everybody will get out of our way   I got a song stuck in my head I know exactly why it's there There's a noise outside my bedroom And I don't even care   If I ever said, ""Go home"" Everybody here would say, ""Hell no!"" All we gotta do is just let go We can make it through the night   'Cause if the party is dead We can bring it back to life Yeah, we can make it through the night If you listen to the words that I say 'Cause if the party is dead All we need is candle light And a little bit of dynamite Everybody will get out of our way   Woah, woah-oh-oh-oh-oh Woah-oh-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah, woah-oh-oh-oh-oh (We can bring it back to life) Woah-oh-oh-oh-oh (Yeah, we can bring it back to life) Woah-oh-oh-oh-oh-oh-oh   'Cause I'm never gonna get these drums out of my head And I'm never gonna get some sleep inside of my bed And I'm sorry if ""goodnight"" is something I never said, said, said   'Cause if the party is dead We can bring it back to life Yeah, we can make it through the night If you listen to the words that I say 'Cause if the party is dead All we need is candle light And a little bit of dynamite Everybody will get out of our way   Woah, woah-oh-oh-oh-oh (We can bring it back to life) Woah-oh-oh-oh-oh (Yeah, we can bring it back to life) Woah-oh-oh-oh-oh-oh-oh",-0.9487,2,1,2,2,1,3,6,2,1,6
2,2,/songs/1155049,3OH!3,Bang Bang,https://genius.com/3oh-3-bang-bang-lyrics,http://api.genius.com/songs/1155049,SHT: From the Vault EP,2011-12-13," Faster than a bullet train She's like bang bang You won't even feel the pain She's like bang bang Faster than a bullet train She's like bang bang You won't even feel the pain She's like bang bang   You've read that I was bad news Before you even met me You know the dudes I hang with They ain't exactly friendly 99 bottles on the wall until they empty You were such a plain jane Now you go bang bang   It was only one kiss, one night But I know you'll never let it slide All I got is one shot to fix this And you know I'm gonna make it right   So put your hands in the air Hands in the air Hands in the air, she's gonna shoot So put your hands in the air Hands in the air Hands in the air, she's gonna shoot   She's got her finger on the trigger like bang bang And they're right there in the middle like bang bang So put your hands in the air Hands in the air Hands in the air, she's gonna shoot   I had 30 missed calls and dirty mix drinks When you found me getting in flirting with the girl on the sink Call me David Copperfield Poof, gone before you blink And you complain the blame game I think it goes bang bang   It was only one kiss, one night But I know you'll never let it slide All I got is one shot to fix this And you know I'm gonna make it right   So put your hands in the air Hands in the air Hands in the air, she's gonna shoot So put your hands in the air Hands in the air Hands in the air, she's gonna shoot   She's got her finger on the trigger like bang bang And they're right there in the middle like bang bang So put your hands in the air Hands in the air Hands in the air, she's gonna shoot   Faster than a bullet train She's like bang bang You won't even feel the pain She's like bang bang   So put your hands in the air Hands in the air Hands in the air, she's gonna shoot So put your hands in the air Hands in the air Hands in the air, she's gonna shoot  She's got her finger on the trigger like bang bang And they're right there in the middle like bang bang So put your hands in the air Hands in the air Hands in the air, she's gonna shoota",-0.9045,41,3,31,42,4,45,4,35,32,2
3,3,/songs/2440654,3OH!3,BASMF,https://genius.com/3oh-3-basmf-lyrics,http://api.genius.com/songs/2440654,NIGHT SPORTS,2016-03-17," Yeah I came into this world without a single idea That if you wanna get to the top Then you better learn how to steal When everything is mine, do I really need apostrophe? You better learn how to raise your hand if you wanna come here and talk to me I rock a bus pass cause you know that talk is cheap Can't make a living driving shit just like colostomy Plus, these bitches ain't King Koopa boss of me This shit is crunchy, like socks and Birkenstocks to me Upset your neighbors when the music makes you stomp your feet Upset the dead when we're in the graveyard dropping beats Crack your head when we take you out and rock the street Now everybody go ahead and sing along with me   We are the same old Boulder motherfuckers If our shit's so bad, why's your sister tryna fuck us? You'll be at the same job while the aliens abduct us Saying, ""Look at these bad ass stupid motherfuckers"" We are the same old Boulder motherfuckers If our shit's so bad, why's your sister tryna fuck us? You'll be at the same job while the aliens abduct us Saying, ""Look at these bad ass stupid motherfuckers""   Wrapped in a Navajo poncho With a beard soaked in patchouli to drip into your nachos I can get your blood boiling like Al Pacino Cause I'll be the one rapping in your ear While you're waiting for your Frappuccino Yeah, I get the crowd high like every word's a kilo While Nat gets radiation, you're making beats just like it's chemo We glow like mutant ooze that turns us into ninjas It goes three drinks, peace out - just the middle fingers   We are the same old Boulder motherfuckers If our shit's so bad, why's your sister tryna fuck us? You'll be at the same job while the aliens abduct us Saying, ""Look at these bad ass stupid motherfuckers"" We are the same old Boulder motherfuckers If our shit's so bad, why's your sister tryna fuck us? You'll be at the same job while the aliens abduct us Saying, ""Look at these bad ass stupid motherfuckers""   Captain, two specimens, both native and foreign (foreign) Belonging to their culture, yet answering to no one (no one) Both tall and exceedingly handsome (handsome) If I had to guess, I'd say they were wealthy and then some (and then some)   We are the same old Boulder motherfuckers If our shit's so bad, why's your sister tryna fuck us? You'll be at the same job while the aliens abduct us Saying, ""Look at these bad ass stupid motherfuckers"" We are the same old Boulder motherfuckers If our shit's so bad, why's your sister tryna fuck us? You'll be at the same job while the aliens abduct us Saying, ""Look at these bad ass stupid motherfuckers""",-0.9938,25,5,28,21,4,43,23,18,1,6
4,4,/songs/1523078,3OH!3,Black Hole,https://genius.com/3oh-3-black-hole-lyrics,http://api.genius.com/songs/1523078,Omens,2013-06-18," Hello yeah it’s me again, no homo sapien I’m an ancient alien; was sent to take your women You could say we’re winning, more than Charlie Sheen is And don’t get mad at me because your girl was on my dick You know that we’re rocking the computer, Stephen Hawking And if that bitch hangs up on me again you know I’m walkin Like Christopher; never catch me kissin on the mistletoe cause this is missile crisis time to light em up, go   Cold woman she sucked me in No air and I’ll never see the light again   I fell into a black hole I fell into a black hole I fell into a black hole She sucked me in, black hole And I'll never see the light again   Don’t get angry bird like I just hopped out the pig pen I’m used to havin' hands on me, yeah you can call me Big Ben It’s time to get stupid, yeah, it’s time to get Kardashian So pour that whiskey deep and hand that motherfucking flask again You’re a massive black hole and you say that I’m the asshole When I saw you at the last show, you were on me like a shadow Up the creek, no paddle; tell my Mommy and my Dad oh I ain't never comin back She sucked me in a black hole   Cold woman she sucked me in No air and I’ll never see the light again   I fell into a black hole I fell into a black hole I fell into a black hole She sucked me in, black hole And I'll never see the light again",-0.9818,4,5,7,4,1,27,4,19,2,4
5,5,/songs/713753,3OH!3,Chokechain,https://genius.com/3oh-3-chokechain-lyrics,http://api.genius.com/songs/713753,3OH!3,2007-07-02," I got this shit on lock I got this shit on lock Holler, holler at me if you on my block I got this shit on lock I got this shit on lock Holler, holler at me if you on my block   I got your dogs on a collar, baller So how you like that? Chokechain for their necks and I don’t think they bite back “Woof, woof” how they howl Get some chow, they ‘bout to growl Little dogs will kill you dude, as soon as you let ‘em out Pure bread (Pure bread) Got ‘em with the nice coat Your head (Your head) When I stick ‘em at the right throat Big teeth (Big teeth) Shock collars on their necks You fuck with 3OH!3 and motherfuckers know they next   Now getcha drum on (C’mon and getcha drum on) Getcha, getcha drum on (C’mon and getcha drum on)   I got a chokechain for my pitbull lane I got a shock collar for my rottweiler Got a chokechain for my pitbull lane I got a shock collar for my rottweiler Got a chokechain (Ch-ch-chokechain) I got a shock collar (Sh-sh-shock collar) I got a choke chain (Ch-ch-chokechain) I got a shock collar (Sh-sh-shock collar)   I got my wolf on my white Tee, he won’t bite me Fuckin’ with me, and you’ll get bitten most likely Howlin’ at the moon, growlin’ at the lightning Uh, this thing I spit is mad frightening We got the drum hits, tell your kid to get a bit of etiquette Before he splits his seed to try to spit a little bit of rhetoric You gotta sa-say, g-g-go put it away Yeah, we be runnin’ the game, yeah, it’s all one in the same   Now getcha drum on (C’mon and getcha drum on) Getcha, getcha drum on (C’mon and getcha drum on)   I got this shit on lock I got this shit on lock Holler, holler at me if you on my block I got this shit on lock I got this shit on lock Holler, holler at me if you on my block   I got a chokechain for my pitbull lane I got a shock collar for my rottweiler Got a chokechain for my pitbull lane I got a shock collar for my rottweiler Got a chokechain (Ch-ch-chokechain) I got a shock collar (Sh-sh-shock collar) I got a choke chain (Ch-ch-chokechain) I got a shock collar (Sh-sh-shock collar)   I got a chokechain for my pitbull lane I got a shock collar for my rottweiler Got a chokechain for my pitbull lane I got a shock collar for my rottweiler Chokechain (Ch-ch-chokechain) I got a shock collar (Sh-sh-shock collar) I got a choke chain (Ch-ch-chokechain) I got a shock collar (Sh-sh-shock collar)",-0.998,36,1,12,24,1,39,2,6,21,2
6,6,/songs/2467795,3OH!3,CLAUSTROPHOBIA,https://genius.com/3oh-3-claustrophobia-lyrics,http://api.genius.com/songs/2467795,NIGHT SPORTS,2016-05-13," Cold coffee, drive slow Watch the houses disappear, row by row Head hurts, sweatshirts Eyes to the ground; a town of introverts Cold sweat gets old Want the serotonin to come home Wake up, no luck Telling time by lines of beer in my cup   Take away all my fun You know you can tie a noose around my tongue The man at the wheel driving my mind is drunk The focus is gone   Claustrophobia The walls are slowly closing in This town has a hold of us The claws are tearing at my skin Now my conscience is leaving The words are for speaking There's no one to speak them to Claustrophobia The walls are slowly closing in   Matchbox, padlocks In the shopping bag 'cross the parking lot Small clouds, leave mouth See the shadow stretching 'til the light runs out   Take away all my fun You know you can tie a noose around my tongue The man at the wheel driving my mind is drunk The focus is gone (The focus is gone)   Claustrophobia The walls are slowly closing in This town has a hold of us The claws are tearing at my skin Now my conscious is leaving The words are for speaking There's no one to speak them to Claustrophobia The walls are slowly closing in   I always hoped that you could just stay there Radioactive in your crown of lead Deep underneath the pillars of this bed Yeah, I always hoped that you would just stay there   Claustrophobia The walls are slowly closing in This town has a hold of us The claws are tearing at my skin Now my conscious is leaving The words are for speaking There's no one to speak them to Claustrophobia The walls are slowly closing in",0.128,7,6,0,9,5,14,13,5,4,6
7,7,/songs/713757,3OH!3,Colorado Sunrise,https://genius.com/3oh-3-colorado-sunrise-lyrics,http://api.genius.com/songs/713757,Want (Deluxe Edition),2008-07-08," One! Two! Three!   And if I had something to say to you, I’d whisper it softly Ki-kiss you on your rosy lips and never let you off me Sh-shiver on our roof and see your face lit by starlight Hold you through the night and watch that Colorado sunrise   I’ve got five fingers on each hand for every mistake that I’ve made ‘Cause my tongue is tied to tonsils and I need to shit and shave I’m a shade too pale for handsome and have habits I can’t shake But if you try to take that from me, well, I’ll never be the same   Train wreck that I am And I am what I am, what I am, what I am A train wreck that I am And I am what I am, what I am, what I am A train wreck   And as long as it’s okay with you, I think I’ll stay right here I think I’ve got nowhere to go ‘cause where to go is up to you, dear You’re happy as a clam, I see the glimmer in your eyes Hold you through the night and watch that Colorado sunrise I got no car and never cared because I got no place to go live in A room, a single wall, I couldn’t pay a plant to grow You can try to make this pretty, pick up all my dirty clothes And if you never really get me then I guess you’ll never know the   Train wreck that I am And I am what I am, what I am, what I am A train wreck that I am And I am what I am, what I am, what I am A train wreck   I’ve got five fingers on each hand for every mistake that I’ve made Plus, my tongue is tied to tonsils and I need to shit and shave I’m a shade too pale for handsome and have habits I can’t shake But if you try to take that from me, well I wouldn’t be the same   Train wreck that I am And I am what I am, what I am, what I am (And watch that Colorado sunrise) A train wreck That I am And I am what I am, what I am, what I am (And watch that Colorado sunrise) Train wreck that I am (If I had something to say to you I’d whisper it softly) And I am what I am, what I am, what I am (Kiss you on your rosy lips and never let you off me) A train wreck that I am (Shiver on our roof and see your face lit by the starlight) And I am what I am, what I am, what I am (Hold you through the night and watch that Colorado sunrise) A train wreck",-0.9907,15,15,14,18,7,18,13,15,15,4
8,8,/songs/1418902,3OH!3,Dance With Me,https://genius.com/3oh-3-dance-with-me-lyrics,http://api.genius.com/songs/1418902,3OH!3,2007-07-02," Get your hands up The sky’s falling Get your hands up It’s the apocalypse Got a mouth full of lambs’ blood The dam broke down The whole town flooded Your man couldn’t cut it Got his fake ass gutted He muttered something monotone Under his breath Now he’s out first round With his hand on his chest Must have been a cardiac Now he’s searching for his Pontiac To get back to a bar attack To brush up on his battle rap We hit the hi-hats and make it clap We wear plaid after Labor Day and still get ass We’re high-class, low brow, over bomb beats Cloggin’ more arteries than the drive-thru at Arby’s   Singin’ I love rock ‘n’ roll So put another dime in the jukebox, baby I love rock ‘n’ roll Put another dime in, dance with me!   Get your hands clappin’ The aliens have landed Get your hands clappin’ Damn, I’m dope Been rockin’ since a zygote It won’t stop the price crossers opening for my ghost ‘Cause everybody knows that I’ve been backin’ the fans My rhymes touch more kids than Michael Jackson’s hands I’m iller than thriller Stiffer than a zombie Gagged with Abercrombie while your girl rides up on me And I’m callin’ up your sister and we’re cuddling to Amélie Oh! So you think you can rap So you walk eight miles and you think you can rap That’s cuter than the Olsens pre-coke, bitch and crack Or havin’ a teddy bear tattooed up on your back   Singin’ I love rock ‘n’ roll So put another dime in the jukebox, baby I love rock ‘n’ roll Put another dime in, dance with me!",-0.9198,7,2,3,7,11,12,18,4,3,6
9,9,/songs/713761,3OH!3,Déjà Vu,https://genius.com/3oh-3-deja-vu-lyrics,http://api.genius.com/songs/713761,Streets of Gold (Deluxe Edition),2010-06-01," Hey mister bartender, mix me a drink I really need something to tell me it's okay not to think Because I've been to all these bars and I've seen all these places I've hit on all these girls, I've heard the same conversations Cab driver, cab driver, take me away 'Cause I already know all the words that she'll say And I'll be creeping out the window at the first sight of day 'Cause every single night it seems to go the same way   I think I've been here before I think I've run into you I know the things that you do 'Cause this is déjà vu (woah) This is déjà vu (woah) This is déjà vu I think I've been here before I think I've run into you I know the things that you do 'Cause this is déjà vu (woah) This is déjà vu (woah) This is déjà vu   Mister bartender, you will kick me out And the blond girl in the back, you'll put your tongue down my mouth And the greaser in the jacket's gonna pick a fight And they'll probably kick my ass 'cause I'm drunk every night Officer, officer, tell me the truth How many times can I get in trouble with you Before they lock me up for all the bad things that I do? But you don't and that's why this feels like déjà vu   I think I've been here before I think I've run into you I know the things that you do 'Cause this is déjà vu (woah) This is déjà vu (woah) This is déjà vu I think I've been here before I think I've run into you I know the things that you do 'Cause this is déjà vu (woah) This is déjà vu (woah) This is déjà vu   I did it like this I did it like that And it always comes back around I don't know how to break this pattern down I did it like this I did it like that And it always comes back around I don't know how to break this pattern down   I think I've been here before I think I've run into you I know the things that you do 'Cause this is déjà vu (woah) This is déjà vu (woah) This is déjà vu I think I've been here before I think I've run into you I know the things that you do 'Cause this is déjà vu (woah) This is déjà vu (woah) This is déjà vu",0.8885,5,2,1,2,0,5,10,1,3,9
