,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/7017,50 Cent,187 Yayo,https://genius.com/50-cent-187-yayo-lyrics,http://api.genius.com/songs/7017,God's Plan,2002-11-01,"{*set to Dr. Dre & Snoop's ""Deep Cover"" instrumental*}   G-G-G-G-G-G-Unit! 50 Cent nigga, Tony Yayo (yeah) {WHOOOOOO... KID}   Yeah! And you don't stop I do a 187 on your motherfuckin block Yeah! And it don't quit It's G-Unit in your motherfuckin ass bitch~!   They say good things should happen to those who wait But I'm stuck in the game still slingin weight For that eggshell white, that tan and the brown For a XL-6 or a seven four pound Suede seats is hot but Italian leather is better And with cameras in the mirror, nigga cars costs cheddar I'm on first class flights, with flyin cooks Cause my verse sound nice when they fly in hooks Now I'm blowin weed yo, in Beverly Hills With some bad freak hoes in the Montreal Next year it's the new Hummer, stash box with the llama I drive through in the blue data bomber Heaven or hell'll prevail when I'm a goner Cause I eat up tracks, like Hannibal and Dahmer I'm the first one out, and last one on the corner Cause life is a hustle, any day you be a goner P89 Ruger with the silencer Let off a clip it sound like spitballs goin through straws We got, plenty of ratchets but not on sale We even got villagers that hold shotgun shells These rappers is talkin 'bout bricks in they rhymes You never did shit but some Mickey Mouse crimes I don't respect it, my work is never watered down So on the first I get mo' checks than Nike Town Sling in thirty-one hundreds, I been on the block Since niggas did the snake, running man and the wop When I was 15, I ain't want no workin papers I played the strip all night, servin niggas Listen nigga, we live like Italians in jail I got C.O.'s bringin cell phones to my cell Get rich in the game, niggas out to get you Fill your ass up with led turn yo' ass to a pencil I jumped out with the Ruger rapid-fire I had you on the run like Omar on ""The Wire"" I'm the only rapper you know that stay on the run I'm the only rapper you know that stay with a gun I'm a hustler, O.G.'s love to hate Cause I got old school money put away in the safe You can catch me in the hood where that dope and coke at Or you can catch me in cali in the Hollywood throwback I'm a bail jumper, you know them fish scale pumper Fuck Judge Wong, he won't catch me on the corner Nigga pay poor tax, homey you owe me You wanna rap we can battle for your see through Roley I be in M mansion, strippin them models His bathroom's so far you gotta piss in a bottle There's too many indians and not enough chiefs Why you buy all the guns if you ain't got enough beef The shit I spit'll cause an all out riot And my new four-fifth'll cause a hollow-tip diet I'm the type to tie up your lady, and gun butt your baby I'm like the mob nigga, fuck you pay me~! I'mma hide my assets, and disappear Make a quick twenty mill' and vanish in thin air I've finished my work now its time to cop And meet that Chinese lady at the baggage spot I need twelve 12's, and fifty-eight 58's Cause I got eight sales and they all gon' wait motherfucker!    YEAH! {Ha ha... WHOOOOO KID!!}",-0.9795,20,14,10,19,11,28,18,12,9,16
1,1,/songs/168,50 Cent,21 Questions,https://genius.com/50-cent-21-questions-lyrics,http://api.genius.com/songs/168,Get Rich or Die Tryin’,2003-04-29,"   New York City You are now rockin' With 50 Cent You gotta love it   I just want to chill and twist the lye Catch stunts in my 7-45 You drive me crazy, shorty, I Need to see you and feel you next to me I provide everything you need, and I Like your smile, I don't want to see you cry Got some questions that I got to ask And I hope you can come up with the answers, babe   Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me?   If I fell off tomorrow, would you still love me? If I didn't smell so good, would you still hug me? If I got locked up and sentenced to a quarter century Could I count on you to be there to support me mentally? If I went back to a hooptie from a Benz Would you poof and disappear like some of my friends? If I was hit and I was hurt, would you be by my side? If it was time to put in work, would you be down to ride? I get out and peel a nigga cap, chill and drive I'm askin' questions to find out how you feel inside If I ain't rap ‘cause I flip burgers at Burger King Would you be ashamed to tell your friends you're feelin' me? In the bed, if I used my tongue, would you like that? If I wrote you a love letter, would you write back? Now we can have a little drink, you know, a nightcap And we could go do what you like, I know you like that   Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me?   Would you leave me if your father found out I was thuggin'? Do you believe me when I tell you, you the one I'm lovin'? Are you mad ‘cause I'm askin' you 21 questions? Are you my soulmate? ‘Cause if so, girl, you a blessing Do you trust me enough to tell me your dreams? I'm starin' at you, tryna figure how you got in them jeans If I was down, would you say things to make me smile? I'll treat you how you want to be treated, just teach me how If I was with some other chick and someone happened to see And when you asked me about it I said it wasn't me Would you believe me? or up and leave me? How deep is our bond if that's all it takes for you to be gone? We only humans, girl, we make mistakes To make it up, I'll do whatever it take I love you like a fat kid love cake You know my style, I say anything to make you smile   Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me?   Could you love me in a Bentley? Could you love me on a bus? I'll ask 21 questions and they all about us Could you love me in a Bentley? Could you love me on a bus? I'll ask 21 questions and they all about us",0.9995,6,8,5,6,39,14,48,11,10,18
2,2,/songs/118418,50 Cent,21 Questions/21 Answers,https://genius.com/50-cent-21-questions-21-answers-lyrics,http://api.genius.com/songs/118418,None,2015-05-20," New York City! You are now ridin' With 50 Cent! You gotta love it!   I just wanna chill and twist the la Catch stunts in my 745 You drive me crazy, shorty I Need to see you and feel you next to me I provide everything you need and I Like your smile, I don't want to see you cry Got some questions that I got to ask, and I Hope you can come up with the answers, babe  [Verse 2: Lil' Mo] Cuz I just wanna chill and take a ride Shotgun in your 7-45 Oh baby you know I got your back, and I need to feel you next to me We got a baby and you know that I Would have another, man I want your child Sometimes I really wanna cry, cause the love is so good   Girl, it's easy to love me now Would you love me if I was down, and out? Would you still have love for me?  [Hook 2: Lil' Mo] Boy, if you really love me now Can we walk down the aisle? Cause you know I'm gonna hold you down Cause when you was down and out I was still around You gettin' money now, but I still got love for you   If I fell off tomorrow, would you still love me? If I didn't smell so good, would you still hug me? If I got locked up and sentenced to a quarter century Could I count on you to be there and support me mentally? If I went back to a hoopty from a Benz Would you poof! and disappear like some of my friends? If I was hit and I was hurt would you be by my side? If it was time to put in work would you be down to ride? I get out and peel a nigga cap, chill and drive I'm askin' questions to find out how you feel inside If I ain't rap cause I flipped burgers at Burger King Would you be ashamed to tell your friends you're feelin' me? In the bed if I used my tongue, would you like that? If I wrote you a love letter, would you write back? Now we can have a lil' drink, you know, a nightcap And we could do what you like, I know you like that  [Verse 4: Lil' Mo] If you fell off tomorrow, you could stay at my crib If you didn't smell so good, I would still have your kid If you got locked up, I'd put money on your books I'd marry you through conjugal visits, and it'd be off the hook You could still keep the hoopty, if you couldn't cop a Benz Boy I'd never dip out, like some of your friends If the boys try to get you, I'd be by your side Like Cleo from Set it Off, and you know I'll ride If you gotta peel a cap baby, do it papi And if a chick wanna a piece of me, I know you got me You have to work at Mickey D's or Burger King, I'd be there for you cause I kknow we gotta eat I ain't got too many friends, you know that babe If you use your tongue, baby I'll behave You know I don't drink, cause I wanna have ur baby Cause I'm your girl, and them other chicks is maybe   Girl, it's easy to love me now Would you love me if I was down, and out? Would you still have love for me?   Now would you leave me if your father, found out I was thuggin'? Do you believe me when I tell you, you the one I'm lovin'? Are you mad cause I'm askin' you 21 questions? Are you my soulmate, are you the one for me? Cause if so girl you a blessing Do you trust me enough to tell me your dreams? I'm starin' at ya trying to figure how you got in them jeans If I was down would you say things to make me smile? I treat you how you want to be treated, just teach me how If I was with some other chick and someone happened to see And when you asked me about it I said ""it wasn't me"" Would you believe me or up and leave me? How deep is our bond if that's all it takes for you to be gone? We only humans, girl, we make mistakes To make it up, I'll do whatever it takes I love you like a fat kid love cake You know my style I say anything to make you smile   Girl, it's easy to love me now Would you love me if I was down, and out? Would you still have love for me?  [Hook 2: Lil' Mo] Boy, if you really love me now Can we walk down the aisle? Cause you know I'm gonna hold you down Cause when you was down and out I was still around You gettin' money now, but I still got love for you   Could you love me in a Bentley? Could you love me on a bus? I'll ask 21 questions, and they all about us   If you only knew how I feel Boy you would know that my love is for real 21 answers to the questions you got I'll always love you if you got money or not",0.9997,11,18,11,8,50,22,64,13,17,31
3,3,/songs/6995,50 Cent,50/Banks,https://genius.com/50-cent-50-banks-lyrics,http://api.genius.com/songs/6995,50 Cent is the Future,2002-06-01," Uh, yeah, G-Unit, uh, yeah 50 Cent, uh, yo  [Chorus 1 - 50 Cent, imitating Timbaland] Timbaland sounds so good, but I might not be ready I don't know If I spend a 100 grand on the beat, then we done bumped already Now here we go  (*harmonizing over the beat - doo, doo, doo, doo, doo, doo, doo) (doo, doo, doo, doo, doo, doo, doo) (Pee Wee Herman) (doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo) (Niggas look down to Pee Wee Herman)   50, lefty, no gun in my right palm Bronx niggas love me, like they think our mics on (WOO) These rap niggas not like me, they too soft (yeah) Get shot down, I get up, shakin' shit off You know white collar crooks, do jokes on lap tops (uh huh) Real niggas snatch Glocks, and run up in spots We can talk Trump talk, real estate, stocks, and bonds Or gangsta shit, my Rugers and Glocks in palm (uh huh) Danger, ring the alarm, kiss the ring of the Don I conquer like Genghis Kahn, I said song in this song (god damn) I won't hesitate to put a knife or a slug in you And watch you bleed out, that little bit of thug in you You don't want to bump heads with me, and get hit up You, you ain't got what it takes to fuckin' get up Holla niggas names on records, that shit is played out But holla mine in your next line, and get layed out   My jewels look so good, and my chain is so heavy I don't know If I should stunt for these hoes again, cause I did that already Now here we go   (Lloyd Banks) I don't give a fuck if your favorite rapper dies, to me thats my spot I'll celebrate his burial and eat at IHOP (yeah) I've been hungry since a little nigga weed in my high top (Woo) Face burgundy red, in need of a eye drop (uh huh) I had the black Delta Force, blue in the front Back when Jordan was flyin', and Ewing could dunk Of course, you can fuck now, you was buyin' the shrimp then Me on the other hand, Don Bishop and Pimp King (*harmonizing of ""doo, doo"" plays in backgroud until G-Unit is yelled) I'm runnin' from a digital Munster I do this for the hood and every kid in a dumpster My name is poppin', and I ain't been at it long My neck's 16, and made Flex drop a Benz latin bomb (G-UNIT!) I'm the best thing to happen to hip hop Since (uh huh) ""Life After Death"" and that 2Pac shit drop I'm even good to a white boy with a slick top Stuck up in the mountains with a gun and the wrist pop Who? where?, Master P says our watch don't tick tock I'm cleanin' out my 6 shot, watchin' the Knicks flop Damn near the whole day I’m passing the green Thats how my bedroom, look like the World Trade after the scene (smoking) Breaking news, hijack, bus passenger scream (yeah) I'm your worst nightmare, I crush half of your team To me your line up is pussy, three wet Pampers The uzi will have you shakin' like them G-Dep dancers (damn dude)  (*50 Cent - harmonizing ""doo,doo,doo""*]  *beat stops   What the fuck happen to the rest of the beat man?  (50 Cent laughing)",0.8951,19,20,14,17,11,31,30,9,12,23
4,4,/songs/7033,50 Cent,50 Bars,https://genius.com/50-cent-50-bars-lyrics,http://api.genius.com/songs/7033,Guess Who's Back,2002-04-26," 50 bars of pleasure, 50 bars of pain When I'm dead and gone niggas gon' remember my name, 50   Black is flashy like Alpo, gun happy like Pappy Sneaky muthafucka 'mind me of nigga that clapped me He ain't the type you shoot dice with and win dog Unless you tryna get your ass laid out in Gilmore He had some soldiers, 'mind me Troy and E-Bags When they came through they hollored like ""What up comrade?"" Grimy niggas, they loved to get gully Summertime, still had on black gloves and skullies The Lex 450 pulled up that's Cornbread Them niggas from Philly woulda called him an old head But he a OG, 'mind me of Chaz and Bump, real low key Sounded like they don't know nothin about drama His money sent many men through trauma Switchy walked in son, this bitch had the baddest ass The bulletproof glass was rolled down on his S-Class Heard in DC, he kept mad blocks in order Picture this, a young nigga gettin it like Rich Porter Sonny came in for half a pit, he got knocked He on lock still controllin the spot from Comstock Pop pulled up in the CL5, surprised he came His man just got fucking murked by some lame Heard he got it in the Range nigga Caine popped one On his brain over some-thang, took his watch and his chain Country boys off the hook down there in Richmond mayne In the black 740 I sat, my hat turned back ""Down down baby,"" Nelly singin my wrist blingin what? I'm waiting on this nigga Wise, three loaves for two pies Son he smokin that shit, I can see it in his eyes Comin up Wise and locs is close And locs ride 'round lookin for wires to toast Benny hopped out the Escalade with a few thorough men From B-More, they sellin heroin in Maryland His first batch of diesel, he killed like 4 fiends His popularity grew, that only meant more cream First it was him and his brother, now he got a team Went from 5 and a half grams to livin the dream Seen he pulled up, goddamn, you know his format Bentley Azure, marble in the door, mink floor mats Hit the hazards, out the stash box popped two Glocks Theme song: ""All Eyez on Me,"" 2Pac Everybody know he a boss he still gotta floss He on the same bullshit that sent Gotti up north That's Ty in the blue GS, stuntin like he Nicky Barnes He broke but he talk like he a Don Homes hoppin out the Jag that's Max, Haitian cat Kill a nigga quick remind me of Haitian Jack I peeped his style son I know his steelo, he on the d-low He smile at niggas mumblin fuck you in Creole Heard war stories bout how he maneuver with the Ruger Hold the iron horizontally and send shots through ya Few niggas tried to merk him, most them got found Some turned away try to run they in wheelchairs now Banks hopped out, bulletproof this, bulletproof that Bulletproof snorkel, bulletproof hat Got out a black Hummer, he blew 90 on that Poppin mad shit like he gonna bulletproof that, let's go  ",-0.9937,13,5,8,13,8,25,25,13,7,12
5,5,/songs/86276,50 Cent,50 For President,https://genius.com/50-cent-50-for-president-lyrics,http://api.genius.com/songs/86276,None,2015-05-20," Ladies and gentleman, I know you were very surprised when you heard for the first time 50 Cent is running for the president. I like to thank you for all for tuning into these debates. Some really important issues to adress and I'd love to answer your questions and hear your suggestions. (Listen to this shit) after I propose. I'm not just another politician politicing, it's your boy. 50 - here we go   Yeah, I done smoked a couple pounds, but I ain't never inhale Been in custody before, but never in jail Baby, I love you like America, don't talk to me fly But I promise you if you do, bitch, I'll black ya eye See, the hood fucked up, I got a plan for the crisis Bring the dope in on boats and lower cocaine prices That's stage one of my plan to pass by depression When everybody high who gives a fuck 'bout recession? Imagine gas price is twenty dollars a gallon D's catch a nigga and have walk to the island My main aim's to take away pain It's okay, get fucked up, man Got that purple, roll that shit Got that pill pop, now take that trip Got the Hennessy, man, take that sip The pain'll go away if you get higher than a motherfucker And I know you think you know my style Sursprise, nigga, I done changed it now 5 years, I'm the nigga you been hating on December 9th I'mma give you what you waiting for Before I Self Destruct, motherfucker   It's 50 I'm in Detroit right now I got Eminem in the other room, Dre in here We putting it togheter I'm gon' hit, I'm finna hit the restart button It's gon' feel like I just started it all over again Like this '03 and this is Get Rich My album come with a full length movie Feautered film, I'm like Prince right now, man It's like Purple Rain, baby, stupid Reproduced and directed by 50 Cent starring Curtis ''50 cent'' Jackson Clifton Powell, Treach, Gabriel Casseus, Sasha Delvalle, Elijah Williams, Carlos Franco, Gabriel Ellis Shout out to all my niggas in Paris and New Jersey Aight, I gotta go work back on my album It's classic, December 9th, 50 That's right, Thisis50.com, On demand Entertainmant Peace - oh yeah, on't forget to vote for me",-0.9908,13,5,6,6,7,24,19,10,6,9
6,6,/songs/57078,50 Cent,50's My Favourite,https://genius.com/50-cent-50s-my-favourite-lyrics,http://api.genius.com/songs/57078,None,2015-05-20," I took a sip of the potion Little SK, a little Goose, now I’m loose   Quest for the cheddar I bought shiny Beretta I’m firing squad hard, you niggas should know better Than to bump with Ferrari, district calamari I kill like rebels in Warri, I’m sorry I ball like I think I’m the Prince of Abu Dhabi Black gold gush out the ground Gun powder fly out the pound I turn a clown smile upside down That’s 3 time zones in my watch face Still hard to tell time with diamonds all over my watch face Twinkle like I’m outta space, I'm the big dipper You a little dipper, pipe down little nigga Nice wheels, but don’t talk money, that's what I'm about I could fit your house inside my house And your neighbours and ya yard, oh my God This shit ain't about shit so I ain't gon’ go hard Now kick push, kick push, get the fuck outta here, kick push   You’re now being hypnotised, close your eyes And say 50′s my favourite, 50, 50's my favourite I’m not the the one to play with, I mean what I say, bitch 50′s my favourite, 50, 50′s my favourite Still on that gutter shit, forever on that gutter shit 50′s my favourite, 50, 50′s my favourite I know you love that shit, real niggas be loving this 50′s my favourite, 50, 50′s my favourite   Oh shit, now a nigga floating That Luger German, thats Kush burning I’m Einstein on the grind, my wheels turning I’m out in Cali Not in Hollywood, Silicon valley I’m bout to get rich, I mean real rich I’m talking Facebook and Spotify type shit I’m not a programmer, I use ghetto grammar Slang, pussy, I’m strong as David Banner The Hulk, my money come in bulk And if this shit go bad I go back to the dope Now pay attention to the murder I wrote This my light shit, my heavy shit on the album Lets get right, bitch  ",-0.9967,23,11,19,11,11,25,18,7,5,11
7,7,/songs/182803,50 Cent,5 Heartbeats,https://genius.com/50-cent-5-heartbeats-lyrics,http://api.genius.com/songs/182803,Hate It or Love It (G-Unit Radio Part 21),2006-07-05," Nights like this... I wish Rain drops would fall 5 heartbeats left One last deep breath   I got a 16 shot Ruger, I got 16 cars All over how I write 16 bars Ja, Joe and Jada they're fuckin' retards I run Interscope, uh-uh Oh, my God Your stuff I'll make it hot You want I'll get ya shot You're just open your coffin You're dead men walking Now when I'm out in London they say I'm so smart I fired rounds from pounds I came up so hard   I been around the world and aiya-ya-ya Must be goin' crazy Cause I'm still down To get down to let off rounds I'm loadin up my 380 I can't wait 'till I see death   I'm tryin' to pray to the preacher man but he in new gators My ASCAP check got a nigga new haters The condos in Vegas - cause NY freezin' My strap is the reason that you on the floor bleedin' I learned the Coke game Young and Watchin' 50! And learned the dope game fast ask Bo-Diddly Automatic Mossberg in the all white fur Shotgun pellets out of snow white spur.  {DAMN!}   I been around the world and aiya-ya-ya! Must be goin' crazy Cause I'm still down To get down to let off rounds I'm loadin' up my 380 I can't wait 'till I see - death! Oh babyyyy! Nigga I'm gonna... I'm gonna find you   It's the first of the month Hahahaha It's the first of the motherfuckin' month nigga OOOHHH! It's a fuckin' zoo out here, man These fuckin' chimpanzees, man Fuckin' monkeys talkin' 'bout me, man Pull through there man, it's hot These niggas out on the curb, I'm like look at these donkies Bunch of fuckin' jackasses Man go do something, nigga What the fuck, man? Damn, nigga go to jail nigga Give yourself an excuse for bein' Fuckin' broke nigga Come on, man Fuck is up man This 50, man South Side, man You already know what I'm about boy",-0.9916,12,9,6,13,5,19,7,11,6,5
8,8,/songs/106063,50 Cent,6 Out Of 6 (Get Gully),https://genius.com/50-cent-6-out-of-6-get-gully-lyrics,http://api.genius.com/songs/106063,None,2011-03-01,"I guess this is 6 out of 6 muthafuckers   Tell me how do you want it, the knife or the razor You running, I’m coming to get you boy You can hide if you want but nothing can save ya Times running out, I’ma get ya boy   I threw a b-boy style, bullet wound in my smile That beef I cook it, niggas I gets down Call it what you want, the clip, the ladder, banana I bet when I squeeze it, niggas scatter The hoes, that’s a whole different story Find out the baby ain’t mine, right there on Maury Me I make the whip fishtail, trunk full of fishscale Raw market itself, sucka the shit sell That’s 36 o’s of love, give me kiss, give me love Get to talking in codes, the phones bugged This Ferrari I get to the green, half man, hald machine (Tu, tu, tu) I’m on ya head with the beam So focused ferocious, I shoot ya pretty ass out them Gucci loafers You’re fucking with the wrong one The strong one that God gave the gift Stop the hater shit, you wanna make it Why would you be mad, I done made it bitch   Tell me how do you want it, the knife or the razor You running, I’m coming to get you boy You can hide if you want but nothing can save ya Times running out, I’ma get ya boy (Get get gully, g-g-get gully Get get gully, g-g-get gully We get gully and we get money Them schemin' ass chicks can’t get shit from me)   Rain drops from heaven, the angels are cryin' It’s raining outside, envision my gun firin' Red and white flashes, the police coming Nigga you ain't hittin' none, why the fuck are you running I make your momma wish your ass was a stillborn When that eagle get to chirping on the front lawn Where’s teh love, I don’t know but here’s the snub Sucker barrel swallow the slug, die like a thug You know it’s really not worth it To fuck with me, you’d rather tongue kiss the serpent Don’t cry we all die It’s just a matter of time Nigga one shot from the nine will shatter your spine Uh, the last of my breed, criminal tendencies inside of an emcee Fuck around I will line you Run from me, I will find you Forgot I’m nice, I will remind you     One, two, fifty coming for you Three, four, better lock ya door Five, six, grab ya crucifix Seven, eight, don’t stay up late The monsters back Yeah, I need a target So I can smash their head I’m nice!",0.8584,19,15,15,21,17,33,24,10,9,15
9,9,/songs/2281401,50 Cent,9 Shots,https://genius.com/50-cent-9-shots-lyrics,http://api.genius.com/songs/2281401,Street King Immortal,2015-08-13," Fifty, fifty Fifty, fifty Fifty, fifty Ferrari, Ferrari Ferrari, Ferrari Ferrari, Ferrari Shooter, shooter Shooter, shooter   I was innocent then, I ain’t do no wrong She said, “you mommy little man,” I said, “yep, uh huh” She was everything to me, when she came, I just lit up Sunday morning I was so sharp, all did up It was welfare or hustlin', they killed her for that The first shot, bullet wound in my back I’m fucked up, look at my sneakers, I’m fucked up Now I’m on my own, mommy gone Sam said, “you a young boy, why your clothes look so old? You don’t need fish, little nigga, you need a pole You need no new kicks, you need an O” Chop that, bag it, get right back at it That touched me, it hit me in my heart I’m a hustler, homie, you was giving me my start I am what I am, Sabrina’s only baby Practicing in the mirror, pulling out my .380 Oh man, I fucked up nana gonna kill me Whenever shit can go wrong it always will, see Seven grams of cocaine, three grams of dope Saint Mary medallion hanging from my rope Try to punk me and my gun smoke Look, I’m outta control, my gun go Off like it’s legal, call the cops, you need to Give ‘em my description, I ain’t bullshittin' My high school sweetheart love didn’t last long Niggas start flashing that bread and she was gone That hurt me like the bullet in my calf then My next girl was a pain in the ass I got two shots left, in case niggas try to get me That’s nine shots, we just call it Fifty   Mama said the Lord gon’ bless us Mama said, mama said Mama said the Lord gon’ bless us Then in came the landlord, beef, and the stresses Mama said the Lord gon’ bless us Mama said, mama said Mama said the Lord gon’ bless us The dope bought the shit the food stamps couldn’t get us Mama said the Lord gon’ bless us That’s what mama said, that's what mama said",-0.9851,12,11,9,16,12,28,21,11,5,19
