,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2136873,Adam Lambert,After Hours,https://genius.com/Adam-lambert-after-hours-lyrics,http://api.genius.com/songs/2136873,The Original High,2016-06-12," Gotta get out Gotta get outside I gotta get outside of my mind before I rip it out   I'm on a drive I'm on a night drive I gotta take a little trip, get twisted And ride it out   Always after hours I'm runnin' red lights Always after hours Late night, power I feel it at the wheel Always after hours I'm runnin' red lights Always after hours Late night, power I feel it at the wheel   I'm on a drive I'm on a night drive I gotta take a little trip, get twisted And ride it out   Always after hours I'm runnin' red lights Always after hours Late night, power I feel it at the wheel",0.0,0,0,0,0,0,3,0,3,2,0
1,/songs/209527,Adam Lambert,Aftermath,https://genius.com/Adam-lambert-aftermath-lyrics,http://api.genius.com/songs/209527,For Your Entertainment,2009-11-20," Have you lost your way? Living in the shadow of the messes that you made And so it goes Everything inside your circle starts to overflow   Take a step before you leap Into the colors that you seek You'll get back what you give away So don't look back on yesterday   Wanna scream out No more hiding Don't be afraid of what's inside Gonna tell ya, you'll be alright In the aftermath Anytime anybody pulls you down Anytime anybody says you're not allowed Just remember, you are not alone In the aftermath   You feel the weight Of lies and contradictions that you live with every day It's not too late Think of what could be if you rewrite the role you play   Take a step before you leap Into the colors that you seek You'll get back what you give away So don't look back on yesterday   Wanna scream out No more hiding Don't be afraid of what's inside Gonna tell ya, you'll be alright In the aftermath Anytime anybody pulls you down Anytime anybody says you're not allowed Just remember, you are not alone In the aftermath, in the aftermath   Before you break, you have to shed your armour Take a trip and fall into the glitter Tell a stranger that they're beautiful So all you feel is love, love All you feel is love, love   Wanna scream out No more hiding Don't be afraid of what's inside Gonna tell ya, you'll be alright In the aftermath Wanna scream out No more hiding Don't be afraid of what's inside Gonna tell ya, you'll be alright In the aftermath Anytime anybody pulls you down Anytime anybody says you're not allowed Just remember, you are not alone In the aftermath In the aftermath (Gonna tell ya, you'll be alright) In the aftermath In the aftermath (Just remember, you are not alone) In the aftermath In the aftermath",0.3287,18,4,21,27,7,31,15,18,7,7
2,/songs/209520,Adam Lambert,A Loaded Smile,https://genius.com/Adam-lambert-a-loaded-smile-lyrics,http://api.genius.com/songs/209520,For Your Entertainment,2010-05-11," If I say I'm sorry It's just me telling a lie When you're in my arms I feel emptier inside I never felt so satisfied   Everything falls into place but I feel I need a little more time And yeah, I know my life has changed but Honestly, I don't know if we'll survive A loaded smile An empty glass And one last dance   Walking hand in hand You are all I ever want And when you're not around, dear Don't even notice that you're gone We are barely hanging on   Everything falls into place but I think I need a little more time And yeah, I know my life has changed but Honestly, I don't know if we'll survive   Makes me want you baby Can't you feel it? Can't you feel it? Can't you feel it? Keeps me wanting you It's a certain kind of kind of crazy Makes me want you baby Can't you feel it? Can't you feel it? Can't you feel it? Keeps me wanting you It's a certain kind of kind of crazy, yeah   Everything falls into place but I think I need a little more time And yeah, I know my life has changed but Honestly, I don't know if we'll survive A loaded smile An empty glass And one last dance",0.9891,4,3,2,3,11,9,19,9,2,12
3,/songs/1885067,Adam Lambert,Another Lonely Night,https://genius.com/Adam-lambert-another-lonely-night-lyrics,http://api.genius.com/songs/1885067,The Original High,2015-10-16," Alone in the dark Hole in my heart Turn on the radio And the words fall out, but they got no place to go   Wasted on you High on the fumes Know I should let you go But the world won't stop and all I got is your ghost   Another day, another lonely night I would do anything to have you by my side Another day, another lonely night Don't wanna throw away another lonely life   No time to sleep All that I see Are old memories of you Yeah, I try my best, but there's no one left for me to lose   Tear in my eye I drive through the night As far as I can from you And I don't give a fuck if the sun comes up Yeah, it's just another   Another day, another lonely night I would do anything to have you by my side Another day, another lonely night (It's another lonely night) Don't wanna throw away another lonely life   No, I don't give a fuck if the sun comes up, yeah It's just another   Another day, another lonely night I would do anything to have you by my side (By my side) Another day, another lonely night (It's another lonely night) Don't wanna throw away another lonely life",-0.9865,13,3,13,13,2,15,9,14,3,8
4,/songs/209184,Adam Lambert,Broken English,https://genius.com/Adam-lambert-broken-english-lyrics,http://api.genius.com/songs/209184,Trespassing,2012-05-14," Tower of Babel has fallen down again Information disarray I don't know who I should believe in Everybody's an authority Fragments don't count They always end up falling through the cracks Don't think out loud 'Cause once it's out your mouth, can't take it back   Can't say all the little things that I wanna tell you right now I know you won't understand, but I gotta tell you somehow And on and on and on I go Connect the neck to what's below, I know Now your body language is broken, broken English   Lost inside communication breakdown Better just read my lips Come in clear when we get down Iceberg, just the tip   My words get lost Can you read the look that's on my face? Wires get crossed In communion with the human race   Can't say all the little things hat I wanna tell you right now I know you won't understand, but I gotta tell you somehow And on and on and on I go Connect the neck to what's below, I know Now your body language is broken, broken English   Ooh, ooh Ooh, ooh Ooh, no   Can't say all the little things that I wanna tell you right now I know you won't understand, but I gotta tell you somehow And on and on and on I go Connect the neck to what's below, I know Now your body language is broken, broken English",-0.9822,6,0,0,6,1,11,9,9,1,8
5,/songs/209529,Adam Lambert,Broken Open,https://genius.com/Adam-lambert-broken-open-lyrics,http://api.genius.com/songs/209529,For Your Entertainment,2010-05-11," Broken pieces, break into me So imperfectly what you should be   I don't want you to go Don't wanna see you back out in the cold Air you're breathing out fades you to grey Don't run away, find me   I know the battles of chasing the shadows of who you wanna be It doesn't matter, go on and shatter I'm all you need   Broken pieces, break into me So imperfectly what you should be Lay here, it's safe here, I'll let you be broken open Hide here, confide here so we can be broken open   Let's enlighten the night We can fall away, slip out of sight When you drop your guard Melt into time, so intertwined, quiet   I know the battles of chasing the shadows of who you wanna be It doesn't matter, go on and shatter I'm all you need   Broken pieces, break into me So imperfectly what you should be Lay here, it's safe here, I'll let you be broken open Hide here, confide here so we can be broken open   Broken pieces, break into me   Broken pieces, break into me So imperfectly what you should be Lay here, it's safe here, I'll let you be broken open Hide here, confide here so we can be broken open Lay here, it's safe here, I'll let you be broken open Hide here, confide here so we can be broken open",-0.9879,17,1,0,20,5,25,10,17,8,13
6,/songs/209216,Adam Lambert,By the Rules,https://genius.com/Adam-lambert-by-the-rules-lyrics,http://api.genius.com/songs/209216,Trespassing (Deluxe Version),2012-11-05," You are my lover My lava flow Burn like no other Right through the core Just like the constellations, we shine No wreck or ruin, our planets align   The tide and the moon yeah You pull like the sea In waves I can feel ya You're my ecstasy The lamb and the lion We lay down in peace Like air to the fire I need you to breathe   By the rules I play By the rules I play By the rules I play Let nature have its way Predator and prey That's the way we're made So by the rules By the rules By the rules   After the thunder Must come the rain After our beautiful karma Must come the pain Just like the constellations, we fade As blades of sunlight send, send night away   The tide and the moon, yeah You pull like the sea In waves I can feel ya You're my ecstasy The lamb and the lion We lay down in peace Like air to the fire I need you to breathe   By the rules I play By the rules I play By the rules I play Let nature have its way Predator and prey That's the way we're made So by the rules By the rules By the rules   By the rules I play By the rules I play By the rules I play Let nature have its way Predator and prey That's the way we're made So by the rules By the rules By the rules",0.9917,2,5,1,29,8,8,17,3,1,23
7,/songs/209190,Adam Lambert,Chokehold,https://genius.com/Adam-lambert-chokehold-lyrics,http://api.genius.com/songs/209190,Trespassing,2012-05-14," Staring at the ceiling in the dark Sheets are in a knot My heart is like a rock, aye Pictures flashing by inside my head I'm hanging by a thread But I'd do it all again, aye   I keep running away, running away, running away from you But I can't stand breaking the chains, breaking the chains, breaking the chains It's too good   'Cause I know the second you go Want you to bring it on back, bring it on back, bring it on back to me And you know I want your chokehold Want you to bring it on back, bring it on back, bring it on back to me Bring it on back to me Bring it on back to me   All without your touch, I suffocate I could asphyxiate But I kind of like the pain, hey Babe, I can smell you on my clothes I try to stay composed But I feel the fever grow, grow oh oh   I keep running away, running away. running away from you But I can't stand breaking the chains, breaking the chains, breaking the chains It's too good   'Cause I know the second you go Want you to bring it on back, bring it on back, bring it on back to me And you know I want your chokehold Want you to bring it on back, bring it on back, bring it on back to me Bring it on back to me Bring it on back to me   Oh, oh, oh, oh Oh, oh, hey, yeah Me, me, me, me Yeah, yeah Gonna bring it back hey Back to me   'Cause I know the second you go Want you to bring it on back, bring it on back, bring it on back to me And you know I want your chokehold Want you to bring it on back, bring it on back, bring it on back to me Bring it on back to me Bring it on back to me   Yeah, yeah, yeah Oh, you gotta bring it right back Bring it on back to me Bring it on back to me Oh, oh",0.9819,2,4,2,3,5,4,9,3,2,5
8,/songs/209161,Adam Lambert,Cuckoo,https://genius.com/Adam-lambert-cuckoo-lyrics,http://api.genius.com/songs/209161,Trespassing,2012-05-14," Feels like I'm having a meltdown It feels like I'm losing control They tell me I'm a danger to myself Now the crazy train is ready to roll, oh!   Walk that walk like you don't give a fuck You got a right to turn it up and get down Electric shock, no, I can't get enough 'Cause tonight we're taking over the town, hey   I wanna lose my mind, like a maniac And cross the line, never looking back We're on the loose, gettin' crazy And we've gone cuckoo Gonna party 'til they take us away   I'm swinging off of my hinges I'm cocked and I'm ready to go Go on and pack up your things And the crazy train is ready to roll, oh!   Walk that walk like you don't give a fuck You got a right to turn it up and get down Electric shock, no, I can't get enough 'Cause tonight we're taking over the town, hey   I wanna lose my mind, like a maniac And cross the line, never looking back We're on the loose, gettin' crazy And we've gone cuckoo Gonna party 'til they take us away   Lose my mind! I'm gonna lose my mind! Gonna get out of this straight jacket, whoa (Cuckoo) Gonna get out of this straight jacket, whoa Yeah!   I wanna lose my mind, like a maniac And cross the line, never looking back We're on the loose, gettin' crazy And we've gone cuckoo Gonna party 'til they take us away Lose my mind, gonna lose my mind I'm gonna Lose my mind Gonna party 'til they take us away Lose my mind, gonna lose my mind Yeah, gonna party 'til they take us away",-0.9591,24,3,10,24,2,30,4,21,14,2
9,/songs/1885060,Adam Lambert,Evil in the Night,https://genius.com/Adam-lambert-evil-in-the-night-lyrics,http://api.genius.com/songs/1885060,The Original High,2015-06-12," My life flashed before my eyes Razor blade lips and daggers up in your eyes Baby, your love is a crime Danger by day, but you're evil in the night My life flashed before my eyes Bombs over Broadway, f-fire in the sky Baby, your love is a crime Danger by day, but you're evil in the night Danger by day, but you're evil in the night Bombs over Broadway, f-fire in the sky   Hey, you lit up like a full moon Yeah, I heard you were the baddest on the street Hey, you work it like there's no rules Little criminal, I'm callin' the police   Keep me on a leash tonight There's nowhere for me to hide See you on the other side   My life flashed before my eyes Razor blade lips and daggers up in your eyes Baby, your love is a crime Danger by day, but you're evil in the night My life flashed before my eyes Bombs over Broadway, f-fire in the sky Baby, your love is a crime Danger by day, but you're evil in the night Danger by day, but you're evil in the night Bombs over Broadway, f-fire in the sky   Hey, I can tell your heart's cold Like a fallen angel walkin' in your sleep Hey, I guess you're just a lost soul But when the moon comes out you turn into a beast   Keep me on a leash tonight There's nowhere for me to hide See you on the other side   My life flashed before my eyes (Before my eyes) Razor blade lips and daggers up in your eyes Baby, your love is a crime Danger by day, but you're evil in the night My life flashed before my eyes Bombs over Broadway, f-fire in the sky Baby, your love is a crime Danger by day, but you're evil in the night Danger by day, but you're evil in the night Bombs over Broadway, f-fire in the sky Bombs over Broadway, f-fire in the sky",-0.9985,24,1,10,44,13,38,22,26,9,3
