,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2378169,Adele,25 Thank You Letter,https://genius.com/Adele-25-thank-you-letter-lyrics,http://api.genius.com/songs/2378169,25 ,2015-11-20,"Thank you for the time I've been given Thank you to everybody for your love and kindness, for your honesty and persuasion Thank you for telling me how it is but entertaining what I wanted it to be Thank you for listening and for letting me into your lives again  Love Adele x",0.9714,0,2,0,0,3,0,5,0,0,1
1,/songs/4295561,Adele,Adele-Lovesong(Aşk Şarkısı),https://genius.com/Adele-adele-lovesongask-sarks-lyrics,http://api.genius.com/songs/4295561,None,2015-12-21," Seninle ne zaman yalnız kalsam Beni tekrar evdeymişim gibi hissettiriyorsun Seninle ne zaman yalnız kalsam Beni tekrar evdeymişim gibi hissettiriyorsun  Seninle ne zaman yalnız kalsam Beni tekrar gençmişim gibi hissettiriyorsun Seninle ne zaman yalnız kalsam Beni tekrar eğlenceliymişim gibi hissettiriyorsun   Ne kadar uzakta olursam olayım, seni her zaman seveceğim Ne kadar kalırsam kalayım, seni her zaman seveceğim Ne söylersem söyleyeyim,  seni her zaman seveceğim Seninle ne zaman yalnız kalsam Ne kadar uzakta olursam olayım, seni her zaman seveceğim Ne kadar kalırsam kalayım, seni her zaman seveceğim Ne söylersem söyleyeyim,  seni her zaman seveceğim   Seni her zaman seveceğim Çünkü seni seviyorum Aşk, Aşk",0.0,0,0,0,0,0,0,0,0,0,0
2,/songs/2336647,Adele,All I Ask,https://genius.com/Adele-all-i-ask-lyrics,http://api.genius.com/songs/2336647,25 ,2015-11-20," I will leave my heart at the door I won't say a word They've all been said before, you know So why don't we just play pretend Like we're not scared of what is coming next Or scared of having nothing left?   Look, don't get me wrong I know there is no tomorrow All I ask is   If this is my last night with you Hold me like I'm more than just a friend Give me a memory I can use Take me by the hand while we do What lovers do It matters how this ends 'Cause what if I never love again?   I don't need your honesty It's already in your eyes And I'm sure my eyes, they speak for me No one knows me like you do And since you're the only one that mattered Tell me, who do I run to?   Look, don't get me wrong I know there is no tomorrow All I ask is   If this is my last night with you Hold me like I'm more than just a friend Give me a memory I can use Take me by the hand while we do What lovers do It matters how this ends 'Cause what if I never love again?   Let this be our lesson in love Let this be the way we remember us I don't want to be cruel or vicious And I ain't asking for forgiveness All I ask is   If this is my last night with you Hold me like I'm more than just a friend Give me a memory I can use Take me by the hand while we do What lovers do It matters how this ends 'Cause what if I never love again?",0.9702,2,7,2,1,10,6,18,2,1,14
3,/songs/109857,Adele,Best for Last,https://genius.com/Adele-best-for-last-lyrics,http://api.genius.com/songs/109857,19,2008-01-28," Wait, do you see my heart on my sleeve? It's been there for days on end And it's been waitin' for you to open up yours too Baby, come on now, I'm trying to tell you just how I'd like to hear the words roll out of your mouth finally Say that it's always been me   That's made you feel a way you've never felt before And I'm all you need and that you never want more Then you'd say all of the right things without a clue But you'd save the best for last like I'm the one for you   You should know that you're just a temporary fix This is not rooted with you, it don't mean that much to me You're just a filler in the space that happened to be free How dare you think you'd get away with tryin' to play me   Why is it every time I think I've tried my hardest It turns out it ain't enough? You're still not mentioning love What am I supposed to do to make you want me properly? I'm takin' these chances and getting nowhere And though I'm trying my hardest you go back to her And I think that I know things may never change I'm still hopin' one day I might hear you say   I make you feel a way you've never felt before And I'm all you need and that you never want more Then you'd say all of the right things without a clue But you'd save the best for last like I'm the one for you   You should know that you're just a temporary fix This is not rooted with you, it don't mean that much to me You're just a filler in the space that happened to be free How dare you think you'd get away with tryin' to play me   But, despite the truth that I know I find it hard to let go and give up on you Seems I love the things you do Like the meaner you treat me, more eager I am To persist with this heartbreak of runnin' around And I will do until I find myself with you   And make you feel a way you've never felt before And be all you need so that you never want more Then you'd say all of the right things without a clue And you'll be the one for me and me the one for you",0.9895,1,10,2,2,8,2,14,1,5,13
4,/songs/3030249,Adele,Black & Gold,https://genius.com/Adele-black-and-gold-lyrics,http://api.genius.com/songs/3030249,None,2015-12-21,If fish swam out of the ocean and grew legs and they started Walking And the apes climbed down from the trees And grew tall and they started talking  And the stars fell out of the sky and my tears rolled into The ocean Now I'm looking for a reason why you even set my world into Motion  'Cause if you're not really here then the stars don't even Matter Now I'm filled to the top with fear but it's all just a Bunch of matter  'Cause if you're not really here then I don't wanna be Either I wanna be next to you Black and gold Black and gold Black and gold  Oh Oh Oh Oh Yeah  Yeah Yeah Yeah  I looked up into the grey sky and see a thousand eyes Staring back And all around these golden beacons I see nothing but black  I feel a way of something beyond them Don't see what I can feel If vision is the only validation then most of my life isn't Real  'Cause if you're not really here then the stars don't even Matter Now I'm filled to the top with fear but it's all just a Bunch of matter  'Cause if you're not really here then I don't want to be Either I wanna be next to you Black and gold Black and gold Black and gold  Black and gold Black and gold Oh  'Cause if you're not really here then the stars don't even Matter Now I'm filled to the top with fear but it's all just a Bunch of matter 'Cause if you're not really here then I don't wanna be Either I wanna be next to you Black and gold Black and gold If you're not really here then I don't wanna be either I wanna be next to you Black and gold Black and gold Black and gold,0.6713,4,10,1,3,5,19,34,15,1,17
5,/songs/2371817,Adele,Can't Let Go,https://genius.com/Adele-cant-let-go-lyrics,http://api.genius.com/songs/2371817,25 ,2015-11-20," When did it go wrong? I will never know I have loved you all my life How did it slow down? I go round and around Thinking about it all the time   I gave you heaven on a platter baby I gave you everything you never gave me I never lied and I never faked it Only wanted for you to save me This love, it ain't over yet There's too much that I haven't said   Did you find the note that I wrote? I hid it in the seam of your coat It was hard to write with a lump in my throat Do you even know that I can't let go?   Why were you so cold? Let the truth be told Tell me, was it all for the thrill? What was I thinking? I gave you everything But you still went for the kill   I gave you heaven on a platter baby I gave you everything you never gave me I never lied and I never faked it Only wanted for you to save me   Did you find the note that I wrote? I hid it in the seam of your coat It was hard to write with a lump in my throat Do you even know that I can't let go?   Oooh, sometimes I feel like I'm in the dark Oooh, I thought I'd die in your arms   Did you find the note that I wrote? I hid it in the seam of your coat It was hard to write, I had a lump in my throat Do you even know that I can't let go?   Hope you know, I won't let go",-0.3125,0,4,0,3,7,7,9,3,2,5
6,/songs/109892,Adele,Cold Shoulder,https://genius.com/Adele-cold-shoulder-lyrics,http://api.genius.com/songs/109892,19,2008-01-28,"   You say it's all in my head And the things I think just don't make sense So where you been then? Don't go all coy Don't turn it 'round on me like it's my fault See I can see that look in your eyes The one that shoots me each and every time   You grace me with your cold shoulder Whenever you look at me I wish I was her You shower me with words made of knives Whenever you look at me I wish I was her   These days when I see you You make it look like I'm see-through Do tell me why you waste our time When your heart ain't admitting you're not satisfied You know I know just how you feel I'm starting to find myself feeling that way too   You grace me with your cold shoulder Whenever you look at me I wish I was her You shower me with words made of knives Whenever you look at me I wish I was her   Time and time again, I play the role of fool (Just for you) And even in the daylight when your gaming (I don't see through) I try to look for thing I hear but my eyes never find Though I do know how you play   You grace me with your cold shoulder Whenever you look at me I wish I was her You shower me with words made of knives Whenever you look at me I wish I was her You grace me with your cold shoulder Whenever you look at me I wish I was her You shower me with words made of knives Whenever you look at me I wish I was her",0.9848,2,5,3,3,2,9,19,2,1,13
7,/songs/109895,Adele,Crazy for You,https://genius.com/Adele-crazy-for-you-lyrics,http://api.genius.com/songs/109895,19,2008-01-28," Found myself today singin' out loud your name You said I'm crazy, if I am I'm crazy for you Sometimes sittin' in the dark, wishin' you were here Turns me crazy, but it's you who makes me lose my head   And every time I'm meant to be acting sensible You drift into my head and Turn me into a crumblin' fool   Tell me to run and I'll race If you want me to stop I'll freeze And if you want me gone, I'll leave Just hold me closer, baby And make me crazy for you Crazy for you   Lately with this state I'm in, I can't help myself but spin I wish you'd come over, send me spinning closer to you My, oh my, how my blood boils, it's sweet taste for you Strips me down bare and gets me into my favourite mood   I keep on trying, fighting these feelings away But the more I do The crazier I turn into   Pacing floors and opening doors Hoping you'll walk through And save me boy Because I'm too crazy for you Crazy for you",-0.9317,10,3,5,9,5,15,5,12,4,4
8,/songs/96684,Adele,Daydreamer,https://genius.com/Adele-daydreamer-lyrics,http://api.genius.com/songs/96684,19,2008-01-28," Daydreamer Sitting on the sea Soaking up the sun He is a real lover Of making up the past And feeling up his girl Like he's never felt her figure before   A jaw dropper Looks good when he walks Is the subject of their talk He would be hard to chase But good to catch And he could change the world With his hands behind his back, oh   You can find him sitting on your doorstep Waiting for a surprise And he will feel like he's been there for hours And you can tell that he'll be there for life   Daydreamer With eyes that make you melt He lends his coat for shelter Plus he's there for you When he shouldn't be But he stays all the same Waits for you Then sees you through   There's no way I could describe him What I've said is just what I'm hoping for   But I will find him sitting on my doorstep Waiting for a surprise And he will feel like he's been there for hours And I can tell that he'll be there for life And I can tell that he'll be there for life",0.967,1,6,1,4,7,4,11,1,7,7
9,/songs/61581,Adele,Don't You Remember,https://genius.com/Adele-dont-you-remember-lyrics,http://api.genius.com/songs/61581,21,2011-01-24," When will I see you again? You left with no goodbye, not a single word was said No final kiss to seal any seams I had no idea of the state we were in   I know I have a fickle heart and bitterness And a wandering eye, and a heaviness in my head   But don't you remember? Don't you remember? The reason you loved me before Baby, please remember me once more   When was the last time you thought of me? Or have you completely erased me from your memory? I often think about where I went wrong The more I do, the less I know   But I know I have a fickle heart and bitterness And a wandering eye, and a heaviness in my head   But don't you remember? Don't you remember? The reason you loved me before Baby, please remember me once more   Gave you the space so you could breathe I kept my distance so you would be free And hope that you find the missing piece To bring you back to me   Why don't you remember? Don't you remember? The reason you loved me before Baby, please remember me once more   When will I see you again?",0.9748,2,4,2,1,5,6,17,3,2,9
10,/songs/109898,Adele,First Love,https://genius.com/Adele-first-love-lyrics,http://api.genius.com/songs/109898,19,2008-01-28," So little to say but so much time Despite my empty mouth the words are in my mind Please wear the face, the one where you smile Because you lighten up my heart when I start to cry   Forgive me, first love, but I'm tired I need to get away to feel again Try to understand why Don't get so close to change my mind   Please wipe that look out of your eyes It's bribing me to doubt myself Simply, it's tiring   This love has dried up, and stayed behind And if I stay I'll be a lie Then choke on words I'd always hide Excuse me, first love, but we're through I need to taste the kiss from someone new   Forgive me, first love, but I'm too tired I'm bored to say the least and I, I lack desire Forgive me, first love, forgive me, first love Forgive me, first love, forgive me, first love, forgive me Forgive me, first love, forgive me, first love",0.9976,2,3,1,3,12,9,24,4,3,6
11,/songs/3137612,Adele,Hello (Teddy Cream x Louis Quinn Bootleg),https://genius.com/Adele-hello-teddy-cream-x-louis-quinn-bootleg-lyrics,http://api.genius.com/songs/3137612,None,2015-12-21," Hello, it's me I was wondering if after all these years you'd like to meet To go over everything They say that time's supposed to heal ya, but I ain't done much healing Hello, can you hear me? I'm in California dreaming about who we used to be When we were younger and free I've forgotten how it felt before the world fell at our feet There's such a difference between us And a million miles   Hello from the other side I must've called a thousand times To tell you I'm sorry For everything that I've done But when I call, you never seem to be home Hello from the outside At least I can say that I've tried To tell you I'm sorry, for breaking your heart But it don't matter It clearly doesn't tear you apart anymore  Hello from the other side I must've called a thousand times To tell you I'm sorry For everything that I've done But when I call, you never seem to be home anymore   Hello, how are you? It's so typical of me to talk about myself, I'm sorry I hope that you're well Did you ever make it out of that town where nothing ever happened? It's no secret that the both of us Are running out of time   So hello from the other side I must've called a thousand times To tell you I'm sorry For everything that I've done But when I call, you never seem to be home Hello from the outside At least I can say that I've tried To tell you I'm sorry, for breaking your heart But it don't matter It clearly doesn't tear you apart anymore  Hello from the other side I must've called a thousand times To tell you I'm sorry For everything that I've done But when I call, you never seem to be home anymore Hello from the outside At least I can say that I've tried To tell you I'm sorry, for breaking your heart But it don't matter It clearly doesn't tear you apart anymore  Hello from the other side I must've called a thousand times To tell you I'm sorry For everything that I've done But when I call, you never seem to be home anymore",-0.7926,0,9,0,1,3,2,8,2,1,7
12,/songs/66295,Adele,He Won't Go,https://genius.com/Adele-he-wont-go-lyrics,http://api.genius.com/songs/66295,21,2011-01-24," Some say I'll be better without you But they don't know you like I do Or at least the sides I thought I knew I can't bear this time It drags on as I lose my mind Reminded by things I find Like notes and clothes you left behind Wake me up, wake me up when all is done I won't rise until this battle's won My dignity's become undone   But I won't go I can't do it on my own If this ain't love, then what is? I'm willing to take the risk I won't go I can't do it on my own If this ain't love, then what is? I'm willing to take the risk   So petrified, I'm so scared to step into this ride What if I lose my heart and fail the climb? I won't forgive me if I give up trying I heard his voice today I didn't know a single word he said Not one resemblance to the man I met Just a vague and broken boy instead   But I won't go I can't do it on my own If this ain't love, then what is? I'm willing to take the risk I won't go I can't do it on my own If this ain't love, then what is? I'm willing to take the risk   There will be times we'll try and give it up Bursting at the seams, no doubt We'll almost fall apart then burn the pieces To watch them turn to dust But nothing will ever taint us   I won't go I can't do it on my own If this ain't love, then what is? I'm willing to take the risk I won't go I can't do it on my own If this ain't love, then what is? I, I'm willing to take the risk   Will he, will he still remember me? Will he still love me even when he's free? Or will he go back to the place where he will choose the poison over me? When we spoke yesterday He said to hold my breath and sit and wait ""I'll be home so soon, I won't be late""   He won't go He can't do it on his own If this ain't love, then what is? He's willing to take the risk So I won't go He can't do it on his own If this ain't love, then what is? I'm willing to take the risk   'Cause he won't go He can't do it on his own If this ain't love, then what is? We're willing to take the risk I won't go I can't do it on my own If this ain't love, then what is? I'm willing to take the risk",-0.9988,6,15,4,17,11,24,15,8,2,4
