,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/4066976,Aloe Blacc,All I Have Is Love,https://genius.com/Aloe-blacc-all-i-have-is-love-lyrics,http://api.genius.com/songs/4066976,Christmas Funk,2018-11-09," I'm sorry, baby, but daddy ain’t got no Christmas money I've been on my feet trying to get ends meet in this land of milk and honey Now every paycheck that I get, whatever I make, they take it from me So I'm sorry, baby, but daddy ain’t got no Christmas money   All I have is love, yeah Love, yeah, love, yeah Love, yeah   I'm sorry, baby, but daddy ain't got no Christmas spending cash It's hard enough trying to find a way to make the little but that I have in my pocket last Soon as I earn it, I got to turn around and spend on some gas So I'm sorry, baby, but daddy ain't got no Christmas spending cash   But what I have for you is endless It's a gift that is so tremendous It can wrap around from your head to the ground And lift you up when you're down All I have is love, yeah All I have is love, yeah All I have is love, yeah All I have is love, yeah   I really wish it was different, wish I had some better news You know I’d do anything if there was something I could do I’d love to get you some clothes that fit you and a brand new pair of shoes But the work is slow and every cent goes to paying rent and buying food   But what I have for you is endless It's a gift that is so tremendous It can wrap around from your head to the ground And lift you up when you’re down All I have is love, yeah All I have is love, yeah All I have is love, yeah All I have is love, yeah   All I have is L-O-V-E, love All I have is L-O-V-E, love",0.9993,6,6,0,4,28,2,31,2,4,9
1,/songs/4066972,Aloe Blacc,All I Want for Christmas Is You,https://genius.com/Aloe-blacc-all-i-want-for-christmas-is-you-lyrics,http://api.genius.com/songs/4066972,Christmas Funk,2018-11-09," All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now)   I don't want a lot for Christmas There's just one thing I need I don't care about the presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas Day   I just want you for my own More than you could ever know Make my wish come true 'Cause all I want for Christmas is you   All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now)   I won't ask for much this Christmas I won't even wish for snow And I'm just going to keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeer click   I just want you here tonight Holding on to me so tight What more can I do? 'Cause all I want for Christmas is you You, baby   All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now)   All the lights are shining So brightly everywhere And the sound of children The laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa, won't you bring me the one I really need? Won't you please bring my baby to me?   I don't want a lot for Christmas This is all I'm asking for I just want to see my baby Standing right outside my door   I just want you for my own More than you could ever know Make my wish come true 'Cause all I want for Christmas Is you   All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you All I want for Christmas, yeah, is you All I want for Christmas, yeah, is you All I want for Christmas, yeah, is you (I said it now)",0.9951,1,7,1,0,12,0,17,0,4,11
2,/songs/4043243,Aloe Blacc,A Million Dollars A Day,https://genius.com/Aloe-blacc-a-million-dollars-a-day-lyrics,http://api.genius.com/songs/4043243,None,2018-10-26," I got dreams, y'all (talk about it) Big old pie in the sky, hopes are high Crazy dreams, y'all (talk about it) Bucket list full of ignorance is bliss And fancy little things, y'all, twinkling in my eye Hoping that I live to see it all before I die   I heard about the power of intention Did I forget to mention, I just wanna get paid   A million dollars a day, hey A million dollars a day, hey Said I just wanna get paid, 'cause I'm worth it A million dollars a day, I deserve it A million dollars a day Hey   I got needs, y'all (talk about it) I'm in debt to my knees from tuition and fees From my degrees, y'all (talk about it) And my skills should pay the bills But I still got a couple mouths to feed, y'all And they ask me all the time: (""Daddy, why do we always gotta stand in this line?"")   I heard about the power of intention Did I forget to mention that I hope it works out for me?   Give me please a million dollars a day, hey A million dollars a day, hey Said I just wanna get paid, 'cause I'm worth it A million dollars a day, watch me work it A million dollars a day Hey, hey Hey, hey   In my wildest imagination (imagination) My whole life is just a vacation (just a vacation) If I believe in it (If I believe in it), I can achieve it (I can achieve it) Put it in the air, and wait to receive it A million dollars a day (Gimmie that money, gimmie that money, gimmie that money, yeah) A million dollars a day (Show me that money, show me that money, show me that money, yeah) Said I just wanna get paid (Gimmie that money, gimmie that money, gimmie that money, yeah) 'Cause I'm worth it A million dollars a day (Show me that money, show me that money, show me that money, yeah) I deserve it That's one, zero, zero, zero, zero, zero And an extra zero for me   A million dollars a day (Gimmie that money, gimmie that money, gimmie that money, yeah) A million dollars a day (Show me that money, show me that money, show me that money, yeah) Hey Said I just wanna get paid (Gimmie that money, gimmie that money, gimmie that money, yeah) 'Cause I'm worth it A million dollars a day (Show me that money, show me that money, show me that money, yeah) Watch me work it A million dollars a day (Gimmie that money, gimmie that money, gimmie that money, yeah)   Hey (Show me that money, show me that money, show me that money, yeah) Hey (Show me that money, show me that money, show me that money, yeah)",0.8767,37,45,0,4,42,8,56,3,36,58
3,/songs/4066977,Aloe Blacc,At Christmas,https://genius.com/Aloe-blacc-at-christmas-lyrics,http://api.genius.com/songs/4066977,Christmas Funk,2018-11-09," At Christmas At Christmas   Outside the snow is white We're sitting together by the firelight That's how we do it at Christmas, yeah, yeah The table is filled with food Record player spinning a groove That's how we do it at Christmas, yeah, yeah When the sun goes down, the lights go up I pour some eggnog in my cup A slice of fruitcake on my plate Let's trim the tree and decorate, yeah   At Christmas, at Christmas, yeah, yeah At Christmas, that's how we do it at Christmas   Playing games and singing songs Telling stories all night long That's how we do it at Christmas, yeah, yeah Sharing gifts and giving hugs We gon' fill this house with love That's how we do it at Christmas, yeah, yeah When the day is done, it's time to sleep We pray the Lord our souls to keep Give us blessings throughout the year And bring us back together right here   At Christmas, at Christmas, yeah, yeah At Christmas, that's how we do it at Christmas   Waking up at the creak of dawn Wearing 'jamas all day long That's how we do it at Christmas, yeah, yeah Roasting ham hock baking pies Make the chicken country-fried That's how we do it at Christmas, yeah, yeah Outside the snow is white And inside the mood just is right That's how we do it at Christmas, yeah, yeah That's how we do it at Christmas, yeah At Christmas Build a snowman in the snow Standing under the mistletoe That's how we do it at Christmas, yeah, yeah Hanging stockings over the chimney Sneak a peak, what did Santa bring me? That's how we do it at Christmas, yeah, yeah Watching movies snuggled up Apple cider in my cup   That's how we do it at Christmas, yeah, yeah That's how we do it at Christmas, woah-woah That's how we do it at Christmas, yeah, yeah That's how we do it at Christmas",0.9966,3,11,3,4,11,4,16,1,6,11
4,/songs/2877538,Aloe Blacc,Billie Jean,https://genius.com/Aloe-blacc-billie-jean-lyrics,http://api.genius.com/songs/2877538,The Time Is Now!,2016-10-07," She was more like a beauty queen from a movie scene I said don't mind, what do you mean I am the one Who will dance on the floor in the round, yeah She told me her name was Billie Jean as she caused a scene Then every head turned with eyes that dreamed of being the one Who will dance on the floor in the round, yeah   But people always told me be careful of what you do Don't go around breaking young girls' hearts And mother always told me got be careful who you love Be careful what you do cause the lie becomes the truth, hey   Billie Jean is not my lover She's just a girl who claims that I am the one But the kid is not my son She says I am the one, but the kid is not my son Oh no, no   People always told me be careful of what you do, what you do, what you do Don't go around breaking young girls' hearts And mother always told me be careful who you love Be careful what you do cause the lie becomes the truth, hey yeah",0.9733,2,5,2,0,10,4,21,4,2,10
5,/songs/51832,Aloe Blacc,Blind World,https://genius.com/Aloe-blacc-blind-world-lyrics,http://api.genius.com/songs/51832,Now-Again Re:Sounds (Vol. 1),2007-01-01," Yo It's a blind world Yo   What is the world coming to? The way I feel about my life right now is as if I don’t Do something quick that I might end up sick or homicidal Appreciate the blessings lingering in my vibrato Administrate the lessons I’m singing in my recital Give it another title, call it the daily bread A special formula you fix to get the baby fed It's brain food, that kind they ooze into a baby’s head So he won’t be misled and when the baby’s dead Bury him where they buried Terry just to grow a tree up They cutting down the rainforest looking for space to free up And paving paradise with parking lots where buildings be up What is the world coming to? It’s really messing me up I got a brand new nephew in about a year His lungs will be older than he is from the cloudy air Not saying cloudy like the molecules of H20 I’m talking about the factories and fumes, whatever you know And every time I’m driving, I’m thinking ""I’m such a culo!"" My contribution of pollution isn’t very cool though But what am I to do though? I got to work to live And if I happen to be living where my working is Then will I ever learn to celebrate it through my kids One day I’ll have 'em maybe but first I need a lady And will I give her all my time and will she really love me And will she give me shelter when the storms are up above me I know sometimes it be my personality is ugly And no amount of make up can make up for that But know I recognize a game and when I’m up to bat I’m gonna put a little change into the thinking cap Because to change the world you gotta change your mind We can’t go on living wrong inside of the same design It gotta be that you and me agree to make a difference Put up a canvas and manipulate the color pigments To paint a portrait of tomorrow full of broader figments In your imagination could you imagine nations? At peace and harmony instead of genocidal warring Where borders don’t exist and nobody’s considered foreign Mother Earth is respected, animals are protected Society perfected, Capitalism's rejected What is the world coming to? Almost the end of us And it’s the evils in the world today we tend to trust How could we let the ashes crumble till they come to dust I guess that’s what is meant to happen if you blind enough If you ready for what is coming, then come on with me Follow my voice, if you can hear it let the song lift me Into the graces of Heaven’s hugs, to learn love’s embrace And share with every beautiful face I place my right hand on my heart And say, let me be the start I pound my fist on my chest and request Allow me to be the test, and when I’m at my best I can make a Catholic priest confess Cause guilt is worse than the parasite in his flesh And the flesh is weak but the pride is strong And it can make a little lie last a little bit longer Than it was ever intended by whom ever intended to send it Watch the evil manifest that it rendered And I hope you remembered your place in this Look up at a shooting star, go 'head and make a wish Hopefully it will be granted by the gods Against all odds you’ll be wise enough to see through the facades What is the world coming to? I wish I had a answer Better than seeing human beings as a living cancer Better than being what I’m seeing hope I have a chance to Raise the consciousness Peace ya’ll and god bless   Blind World",0.9976,10,32,14,15,26,29,47,14,6,30
6,/songs/2830678,Aloe Blacc,Broke,https://genius.com/Aloe-blacc-broke-lyrics,http://api.genius.com/songs/2830678,None,2016-08-01," All that money and you still broke Being rich don't make you rich What's a silver spoon to a black pitchfork? Being rich don't make you rich, get your head right   To get to heaven, you gotta raise a bit of hell Raise the bar, get my brothers outta jail Raise the minimum wage and let my sisters live well Being rich don't make you rich, get your head right   So many cooks in the kitchen But the main ingredient is still missing So if you're really hoping and wishing Get off your knees and get on the mission, get your head right Being rich don't make you rich You son of a *bitch*   All that money and you still broke Being rich don't make you rich All that money and you still broke Being rich don't make you rich All that money and you still broke Being rich don't make you rich All that money and you still broke Being rich don't make you shit",0.9951,8,5,3,9,5,12,15,10,5,14
7,/songs/3643384,Aloe Blacc,Brooklyn in the Summer,https://genius.com/Aloe-blacc-brooklyn-in-the-summer-lyrics,http://api.genius.com/songs/3643384,Brooklyn In The Summer,2018-04-27," Remember we sat in the cold, no money in Montreal Underneath that waterfall, nobody else ever saw I packed up everything except those memories That only I can see, and can't get rid of I still remember the first, your body hit every nerve Used to wake up in my shirt, that's the one I had to burn Trying not to stare, but you are everywhere You're everywhere that I've ever known   You feel like Brooklyn in the summer Been hiding, half awake for so long And it's the subtleties only you've ever seen Bringing the mess of me back together You feel like Brooklyn in the summer Been stumbling, half awake for so long Gotta forget that feeling, give into something real I've got, I've gotta let you go Gotta let you go   This morning I walked to the train, just like you did every day Everyone else is the same, I wonder if you're the same And do you lay your head in someone else's bed To help you bury it? Just like you always did And now you're in all of my words, only way I can return Memories fade in reverse, but you will always be heard Wherever I can sing, you'll be right there with me In ghosts and melodies that only I can see   You feel like Brooklyn in the summer Been hiding, half awake for so long And it's the subtleties only you've ever seen Bringing the mess of me back together You feel like Brooklyn in the summer Been stumbling, half awake for so long Gotta forget that feeling, give into something real I've got, I've gotta let you go   But maybe I'm not really ready to give up you 'Cause nobody ever mattered to me like you do 'Cause you're so appealing, I caught that feeling And touch the ceiling, ooh I wish I could describe it but words just ain't enough And nothing that I could say would ever measure up But what I can't stand is you're outta my hands And I'm outta your plans, ooh   You feel like Brooklyn in the summer Been hiding, half awake for so long And it's the subtleties only you've ever seen Bringing the mess of me back together You feel like Brooklyn in the summer Been stumbling, half awake for so long Gotta forget that feeling, give into something real I've got, I've gotta let you go",0.9076,6,14,7,8,6,13,12,6,5,12
8,/songs/504995,Aloe Blacc,Can You Do This,https://genius.com/Aloe-blacc-can-you-do-this-lyrics,http://api.genius.com/songs/504995,Lift Your Spirit,2013-10-23," Grab your shotgun, cock it back Shoot the sun until the sky is black Now I shall hope that the sun got rhythm Cause he gon’ dance when that music hit him Like bang, bang, bang, darkness fall In the nighttime I’m camouflage   Now I, I, I, I don’t know who you are But girl I wanna know if you can move like this And I, I, I, I, don’t know if you’re gonna tell me But I wanna know what your name is And you gonna make me fall in love with you, with you Keep on shakin’ your hips   Now can you do this? (Yea, I can do that) Can you do this? (Yea, I can do that) Can you do this? (Yea, I can do that) Can you do this? (Yea, I can do that) I know you think that you can move But can you groove the way I groove?   Grab your slingshot, find a stone Shoot the moon until the night is gone Now I should hope that moon got rhythm Cause he gon’ rock when my stone hit him Like boom, boom, boom, let me shine He should know that the day is mine     Now why you standing on the wall Did you come to dance at all? I’m watching you girl, watching me You got moves, then let me see   Can you do this? (Can you do this lady?) Can you do this? (Can you move like I do?) Can you do this? (Can you shake, shake it mama?) Can you do this? (Can you break it on down?)  ",0.9521,12,4,3,6,8,15,16,8,9,8
9,/songs/797219,Aloe Blacc,Chasing,https://genius.com/Aloe-blacc-chasing-lyrics,http://api.genius.com/songs/797219,Lift Your Spirit,2014-03-11,"She 5 foot 2 On section 8, the first of 15th is her favorite date And in nine months she'll have the number 5 She only need one thing to survive She gives them how is she traps it low And you know how the story goes  I said the girls, girls, girls Chasing the boys, boys, boys Chasing their money Don't chase the money I said the girls, girls, girls Chasing the boys, boys, boys Chasing their money And the money don't run  They called my house When I'm not home And leave dirty messages on my phone When I come home they're at my door Telling me they the one they're looking for When I'm on stage all the ladies scream But all I'm thinking of is fairy creeps  I said the girls, girls, girls Chasing the boys, boys, boys Chasing their money Don't chase the money I said the girls, girls, girls Chasing the boys, boys, boys Chasing their money And the money don't run  I step in the bank Around the way, I needed some extraction to get me through the day The teller told me I was overdrawn Sorry Mr. Blacc but your money gone Sorry if you're flat but your money's gone Now I got to go and get my paper long  I said the girls, girls, girls Chasing the boys, boys, boys Chasing their money Don't chase the money I said the girls, girls, girls Chasing the boys, boys, boys Chasing their money And the money don't run Said the money don't run  I said the girls, girls, girls Chasing the boys, boys, boys Chasing their money Don't chase the money I said the girls, girls, girls Chasing the boys, boys, boys Chasing their money And the money don't run  Don't chase the money You can't chase the money No, don't chase the money Don't go chasing the money Cause the money don't run Don't chase the money Cause the money don't run And the money don't run",-0.7028,28,28,26,1,28,36,45,1,29,45
