,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/4143202,American Authors,A Real Place,https://genius.com/American-authors-a-real-place-lyrics,http://api.genius.com/songs/4143202,Seasons,2019-02-01," I told you that I'd call I got caught up with some people that never got to know me at all Guess I was wrong Is it all my fault? For thinking that my reason for leaving was a reason at all Maybe you're better off   Oh, I got something that I need to say out loud, oh Oh, I'll be coming back now just to talk it out   From a real place, I just wanna know the truth From a real place, tell me how to get to you, to you   Turns out I was lost I was busy with a lover, God knows I never loved her at all I needed somewhere to fall This is where I belong Standing right in front of you waiting for the past to move, oh I'll give it all that I got   Oh, I got something that I need to say out loud, to say out loud Oh, I'll be coming back now just to talk it out, to talk it out   From a real place, I just wanna know the truth From a real place, tell me how to get to you, to you   I remember late nights driving in the taxi, back seat Black leather jackets in a back streets asking Take me back, take me back I remember staying up high, we were chasing, making All the wrong moves in right places, saying Take me back, take me back   To a real place, I just wanna know the truth From a real place, tell me how to get to you, to you   Place (From a real place, from a real place From a real place, from a real place) Real place (From a real place, from a real place From a real place, from a real place) Place (From a real place, from a real place From a real place, from a real place) Real place (From a real place)",0.091,0,4,0,1,2,7,32,5,1,26
1,/songs/4143201,American Authors,Before I Go,https://genius.com/American-authors-before-i-go-lyrics,http://api.genius.com/songs/4143201,Seasons,2019-02-01," I'm so afraid of where my life's going Guess I've been ashamed, somehow I kept going So tell me I'm good, tell me I'm good Tell me I'm good Say I've done all I could, I've done all I could   I hope I find a peace of mind In all of my woes I hope the rain, it brings a light To my broken soul I hope I lose myself in the city But find my home I hope I live my life Before I go   Hope I've been awake and I didn't sleep through it all And every last drop of faith, oh I can drink it all I'll take it all in, I'll take it all in I'll take it all in   I hope I find a peace of mind In all of my woes I hope the rain, it brings a light To my broken soul I hope I lose myself in the city But find my home I hope I live my life Before I go I hope I live Before I go   I hope I I hope I I hope I I hope I   I hope I lose myself in the city, but find my home I hope I live my life before I go I hope I live before I go I hope I live before I go I hope I live before I go I hope I live before I go",0.9963,5,26,6,8,26,9,26,8,27,26
2,/songs/376156,American Authors,Believer,https://genius.com/American-authors-believer-lyrics,http://api.genius.com/songs/376156,"Oh, What A Life",2013-04-08," I'm just a believer, that things will get better Some can take it or leave it, but I don't wanna let it go I'm just a believer, that things will get better Some can take it or leave it, but I don't wanna let it go   I'm a little bit sheltered I'm a little bit scared I'm a little bit nervous I'm going nowhere I'm a little bit jealous I'm a little bit slow I'm a little bit hurtful And I don't wanna let it go No, and I don't wanna let it go I'm a little bit angry, when everyone's around But I get a little lonely, when no one's out I feel my demons misleading me   I'm just a believer, that things will get better Some can take it or leave it, but I don't wanna let it go I'm just a believer, that things will get better Some can take it or leave it, but I don't wanna let it go   Maybe when I get older And I'm in the ground The weights off my shoulders it was bringing me down (down) I've never been that lucky I've never tasted fame (fame) I'm always looking for something but I hate changin' Time fades There's no space As life breaks new ground   I'm just a believer, that things will get better Some can take it or leave it, but I don't wanna let it go I'm just a believer, that things will get better Some can take it or leave it, but I don't wanna let it go   It doesn't matter what is out there My head is spinning and it won't bail out It doesn't matter what is out there 'Cause time fades There's no space As life breaks new ground   I'm just a believer, that things will get better Some can take it or leave it, but I don't wanna let it go I'm just a believer, that things will get better Some can take it or leave it, but I don't wanna let it go I'm just a believer, that things will get better Some can take it or leave it, but I don't wanna let it go   Nah-na-na-na-na, nah-na-na-na-na, nah-na-na-na-na Nah-na-na-na-na, nah-na-na-na-na, nah-na-na-na-na I don't wanna let it go",-0.9321,7,4,8,6,2,20,17,15,13,26
3,/songs/284825,American Authors,Best Day of My Life,https://genius.com/American-authors-best-day-of-my-life-lyrics,http://api.genius.com/songs/284825,"Oh, What A Life",2013-03-19," I had a dream so big and loud I jumped so high, I touched the clouds (Wo-o-o-o-o-o-oh, wo-o-o-o-o-o-oh) I stretched my hands out to the sky We danced with monsters through the night (Wo-o-o-o-o-o-oh, wo-o-o-o-o-o-oh)   I'm never gonna look back, whoa Never gonna give it up, no Just don't wake me now   This is gonna be the best day of my life My li-i-i-i-i-i-ife This is gonna be the best day of my life My li-i-i-i-i-i-ife   I howled at the moon with friends And then the sun came crashing in (Wo-o-o-o-o-o-oh, wo-o-o-o-o-o-oh) But all the possibilities No limits, just epiphanies (Wo-o-o-o-o-o-oh, wo-o-o-o-o-o-oh)   I'm never gonna look back, whoa Never gonna give it up, no Just don't wake me now   This is gonna be the best day of my life My li-i-i-i-i-i-ife This is gonna be the best day of my life My li-i-i-i-i-i-ife   I hear it calling outside my window I feel it in my soul (soul) The stars were burning so bright The sun was out 'til midnight I say we lose control (control) (Wo-o-o-o-o-o-oh)   This is gonna be the best day of my life My li-i-i-i-i-i-ife This is gonna be the best day of my life My li-i-i-i-i-i-ife   This is gonna be the best day of my life My li-i-i-i-i-i-ife This is gonna be the best day of my life My li-i-i-i-i-i-ife   This is gonna be, this is gonna be This is gonna be the best day of my life Everything is lookin' up Everybody up now!  This is gonna be the best day of my life My li-i-i-i-i-i-ife",0.9955,1,4,1,2,4,3,7,1,3,6
4,/songs/4143200,American Authors,Bring It on Home,https://genius.com/American-authors-bring-it-on-home-lyrics,http://api.genius.com/songs/4143200,Seasons,2019-02-01," I've walked a million miles To chase down my own desires Out of fire, sea and stone Born to find that great unknown And when I find my joy, I'ma bring it on home   Bring it on home, bring it on home Bring it on home When I find my joy, I'ma bring it on home Bring it on home, bring it on home Bring it on home When I find my joy, I'ma bring it on home Yeah   I hung my heart up to dry On rooftops under blue skies No, I never would have grown if I'd never been alone So when I find my love, I'ma bring it on home (Come on)   Bring it on home, bring it on home Bring it on home When I find my love, I'ma bring it on home Bring it on home, bring it on home Bring it on home When I find my love, I'ma bring it on home (Yeah, whoo!)   When I find my love When I find my love, I'ma bring it on home   I've run the highest wire I've laughed, smiled, cried and been called a liar I thought to myself, win, lose or fail I won't let this train derail And when I find myself, I'ma bring it on home   Bring it on home, bring it on home Bring it on home When I find myself, I'ma bring it on home Bring it on home, bring it on home Bring it on home And when I find myself, I'ma bring it on home   Home, home is where the heart is Love is where you'll find it I'ma bring it on home, I'ma bring it on home Home, home is where the heart is Love is where you'll find it I'ma bring it on home, I'ma bring it on home   Home, home, home, bring it on home When I find myself, I'ma bring it on home Home, home, home, bring it on home When I find myself, I'ma bring it on home",0.9925,2,3,2,4,11,6,13,2,2,0
5,/songs/4143197,American Authors,Calm Me Down,https://genius.com/American-authors-calm-me-down-lyrics,http://api.genius.com/songs/4143197,Seasons,2019-02-01," I need you here to calm me down I need you here to calm me down   That day in New York, I spun out I fell short, but I felt close to you One night in Detroit, I thought there Was no point but I felt close to you   Everyone tellin' me what to do What to think, where to be But every day, every day, every day’s fillin' up with my anxiety I can barely open up my eyes Open up my eyes, eyes, eyes   I need you here to calm me down I need you here to calm me down I don't know if I can stay strong Hold on, for too long I’ve been lost I need you here to calm me down I need you here to calm me   That day in Brooklyn, I spun out You jumped in and I felt close to you One night in LA, I thought there Was no way but I felt close to you   Everyone tellin' me what to do What to think, where to be But every day, every day, every day's fillin' up with my anxiety I can barely open up my eyes Open up my eyes, eyes, eyes   I need you here to calm me down I need you here to calm me down I don't know if I can stay strong Hold on, for too long I've been lost I need you here to calm me down   I need you here to calm me Down, down I need you here to calm me Down, down I need you here to calm me   Everyone tellin' me what to do What to think, where to be But every day, every day, every day's fillin’ up with my anxiety I can barely open up my eyes Open up my eyes All this paranoia’s got my vision going blind Everybody tellin' me where to go How to live, how to see But every day’s, every day's, every day's fillin' up with insecurities I can barely open up my eyes Open up my eyes, eyes, eyes I need you here to calm me down I need you here to calm me down   I need you here to calm me down I need you here to calm me down I don’t know if I can stay strong Hold on, for too long I've been lost I need you here to calm me down   I need you here to calm me Down, down I need you here to calm me Down, down I need you here to calm me",0.992,3,9,0,5,0,10,24,7,0,3
6,/songs/4143199,American Authors,Can't Stop Me Now,https://genius.com/American-authors-cant-stop-me-now-lyrics,http://api.genius.com/songs/4143199,Seasons,2019-02-01," I threw away my innocence when I was seventeen Lost track of what's magnificent, forgot my memories But I'm marchin' on to a different drum And nothing will stand in my way   No, you can't stop me now No, you can't stop me now Hangin' on by a thread (Thread) Hangin' over my head (Head) But you won't knock me down (Up, up, up, up) Hear the roar of the crowd No, you can't stop me now No, I'm nothin' like you (Hey) I got so much to prove (Prove) No, you won't knock me down (Up, up, up, up)   I woke up from a dream, the voices sounded dissonant I followed a path that wasn't mine (Up, up, up, up) Took on the enemy, I told myself I'd never quit I gotta move forward, not back in time Singin', ""Ah-ooh, I'm gonna show you, show you"" The man in the mirror stole all my pride Ooh, now that I know you   No, you can't stop me now No, you can't stop me now Hangin' on by a thread (Thread) Hangin' over my head (Head) But you won't knock me down (Up, up, up, up) Hear the roar of the crowd (Up, up, up, up) No, you can't stop me now (Up, up, up, up) No, I'm nothin' like you (Hey) I got so much to prove (Prove) No, you won't knock me down (Up, up, up, up) Hey, hey!   When I was seventeen, I threw away my innocence The worst part of me took over my mind Singin', ""Ah-ooh, I'm gonna show you, show you"" The man in the mirror stole all my pride Ooh, now that I know you   No, you can't stop me now (No, you can't, no, you can't) No, you can't stop me now (Oh, nobody's stopping me) Hangin' on by a thread (Thread) Hangin' over my head (Head) But you won't knock me down (No, you can't, no, you can't, no, you can't, no, you can't) Hear the roar of the crowd (Up, up, up, up) No, you can't stop me now (Up, up, up, up) No, I'm nothin' like you (I'm nothin' like you) I got so much to prove (Got so much to prove) No, you won't knock me down (Whoo! Up, up, up, up)",-0.2187,1,3,1,1,3,3,12,1,1,5
7,/songs/3713388,American Authors,Deep Water,https://genius.com/American-authors-deep-water-lyrics,http://api.genius.com/songs/3713388,Seasons,2018-05-18," It comes and goes in waves It always runs back but it's never quite the same Well I think there's something wrong with me Got nothing to believe, can't you see it on my face?   I was going for the title, got hit by your tidal wave, uh Can't stay in the shallows, please tell me I won't wash away   When it pulls me under, will you make me stronger? Will you be my breath through the deep, deep water? Take me farther, give me one day longer Will you be my breath through the deep, deep water?   (Deep water) (Deep water)   Ain't even scratched the surface Thinking I deserve the dream but I don't deserve the hurting I want the flame without the burning But I can't find my purpose when I don't know what my worth is   I was going for the title, got hit by your tidal wave, uh Can't stay in the shallows, please tell me I won't wash away   When it pulls me under, will you make me stronger? Will you be my breath through the deep, deep water? Take me farther, give me one day longer Will you be my breath through the deep, deep water?   (Deep water) (Deep water)   When I'm sinking like a stone At least I know I'm not alone When I'm sinking like a stone At least I know I'm not alone   When it pulls me under, will you make me stronger? Will you be my breath through the deep, deep water? Take me farther, give me one day longer Will you be my breath through the deep, deep water?   (Deep water) When I'm sinking like a stone (Deep water) At least I know I'm not alone   It comes and goes in waves It always runs back but it's never quite the same",0.9893,8,2,0,1,0,7,10,1,0,6
8,/songs/3704759,American Authors,Do My Own Thing,https://genius.com/American-authors-do-my-own-thing-lyrics,http://api.genius.com/songs/3704759,None,2018-04-24," I spent my whole life trying to fit into a lane But I'm so over it I watched my friends fall out of love and go insane Bid on life and lose the game I saw them quit   I never wanna be like that A suit and tie copycat I never was into that   Hey-yo, nanana I said hey-yo, I'm all good I'ma do my own thing (I'ma, I'ma) I'ma do me I'ma do my own thing Hey-yo, na-na-na I said hey-yo, I'm all good I'ma do my own thing (I'ma, I'ma) I'ma do, I'ma do, I'ma do me I'ma do my own thing   I spent so long with my head buried in the sand My future needs a rewrite So I'll send a postcard from wherever I may land I ain't got no master plan and that's alright   I never wanna be like that A suit and tie copycat I never was into that   Hey-yo, na-na-na I said hey-yo, I'm all good I'ma do my own thing (I'ma, I'ma) I'ma do me I'ma do my own thing Hey-yo, na-na-na I said hey-yo, I'm all good I'ma do my own thing (I'ma, I'ma) I'ma do me I'ma do my own thing   I'ma do my own thing I'ma do, I'ma do, I'ma do me I'ma do my own thing   Time won't get the best of me I see the world so different You do you, you do you and I'll do me March into my own parade My heart don't beat any other way You do you, you do you and I'll do me, me, me, me   I'ma do my own thing (I'ma, I'ma) I'ma do me I'ma do my own thing   Hey-yo, na-na-na I said hey-yo, I'm all good I'ma do my own thing (I'ma, I'ma) I'ma do, I'ma do, I'ma do me I'ma do my own thing Hey-yo, na-na-na I said hey-yo, I'm all good I'ma do my own thing (I'ma, I'ma) I'ma do, I'ma do, I'ma do me I'ma do my own thing",0.974,4,10,3,4,9,10,13,3,8,8
9,/songs/3048080,American Authors,Everything Everything,https://genius.com/American-authors-everything-everything-lyrics,http://api.genius.com/songs/3048080,None,2018-04-24," I spent my whole life dreaming of a perfect world Where I thought you'd be (thought you'd be) I spent my whole life waiting for a moment With you next to me (next to me)   I pull you closer and closer Closer and closer I don't want to let you go   Hey yo, hey yo, yo hey I don't want to miss out on a single day Hey yo, hey yo, yo hey I don't want to miss out on a single day 'Cause you're my everything, everything Everything, everything   I heard your name up in the sky above the trees When it came to me (came to me) I spent my whole life trying to fill my heart When you're all I need (all I need)   I pull you closer and closer Closer and closer I don't want to let you go   Hey yo, hey yo, yo hey I don't want to miss out on a single day Hey yo, hey yo, yo hey I don't want to miss out on a single day 'Cause you're my everything, everything Everything, everything   Hey! Whoo! Hey! All right   It took my whole life It took my whole life To fall back into you It took my whole life It took my whole life To fall back into you I don't want to let you go   Hey yo, hey yo, yo hey I don't want to miss out on a single day Hey yo, hey yo, yo hey I don't want to miss out on a single day Cause you're my everything everything Everything everything",0.7385,1,4,1,0,2,5,14,2,1,12
