,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/247618,Amy Winehouse,Addicted,https://genius.com/Amy-winehouse-addicted-lyrics,http://api.genius.com/songs/247618,Back to Black,2006-10-26," Tell your boyfriend next time he around To buy his own weed and don't wear my shit down I wouldn't care if brave would give me some more I'd rather him leave you then leave him my draw   When you smoke all my weed man You got to call the green man So I can get mine and you get yours   Once is enough to make me attached So bring me a bag and your man can come back I'll check him at the door make sure he got green I'm tighter than airport security teams   When you smoke all my weed man You got to call the green man So I can get mine and you get yours   I'm my own man so when will you learn That you got a man but I got to burn Don't make no difference if I end up alone I'd rather have myself and smoke my homegrown It's got me addicted, does more than any dick did   Yeah I can get mine and you get yours Yeah I can get mine and you get yours",-0.0009,1,2,1,0,3,4,6,2,2,7
1,1,/songs/435850,Amy Winehouse,Alcoholic Logic,https://genius.com/Amy-winehouse-alcoholic-logic-lyrics,http://api.genius.com/songs/435850,None,2008-01-01," Swinging back and forth A beautiful thing taking you away My head is spinning   My girl tried to stop me But I had a taste of you Unfamiliar surroundings Left me wanting something new Physically you ain't my type But you're one of a kind So subconsciously on purpose I left my coat behind   I can't help it, need to stop it All that I put myself through Everyone is so denying Yeah, it's nice to meet you, too   I hate my alcoholic logic As I write this on the train Victoria's Secret in my bag And my thighs ache again Last night tips into my mind Through the puddle in my head I always get what I want I think I even said   I can't help it, need to stop it All that I put myself through Everyone is so denying Yeah, it's nice to meet you, too   Although I enjoyed it I should have tied up my loose ends But I left my jacket with you And you know my friends So maybe you will get my number Or ask them when I'm ached down But I may have forgotten you By the next time I'm in town   I can't help it, need to stop it All that I put myself through Everyone is so denying Yeah, it's nice to meet you, too",-0.8415,1,4,1,2,3,7,3,4,0,3
2,2,/songs/4376237,Amy Winehouse,All My Lovin',https://genius.com/Amy-winehouse-all-my-lovin-lyrics,http://api.genius.com/songs/4376237,None,2004-06-21,"  Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home everyday And I'll send all my loving to you    I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true And then while I'm away I'll write home every day And I'll send all my loving to you    All my loving I will send to you All my loving, darling I'll be true    Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home everyday And I'll send all my loving to you    All my loving I will send to you All my loving, darling I'll be true All my loving, all my loving ah, ah, ah All my loving I will send to you-ouu-ouuh-yo",0.9971,0,5,0,1,20,2,20,1,3,18
3,3,/songs/800473,Amy Winehouse,Amy Amy Amy,https://genius.com/Amy-winehouse-amy-amy-amy-lyrics,http://api.genius.com/songs/800473,Frank,2003-10-20," Attract me, till it hurts to concentrate Distract me, stops me doin' work I hate Just to show him how it feels I walk past his desk in heels One leg resting on the chair From the side he pulls my hair   Amy, Amy, Amy Although I've been here before Amy, Amy, Amy He's just too hard to ignore Masculine, you spin a spell I think you'd wear me well Amy, Amy, Amy Where's my moral parallel   It takes me, half an hour to write a verse He makes me imagine it from bad to worse My weakness for the other sex Every time his shoulders flex The way the shirt hangs off his back My train of thought spins right off track   Amy, Amy, Amy Although I've been here before Amy, Amy, Amy He's just too hard to ignore Masculine, he spins a spell, yeah I think he'd wear me well Amy, Amy, Amy So where's my moral parallel   His own style, right down to his Diesel jeans Immobile, I can't think by any means Underwear peeks out the top I'll let you know when you should stop From the picture my mind drew I know I'd look good on you   Amy, Amy, Amy Although I've been here before Amy, Amy, Amy You're too hard to ignore Masculine, you spin a spell I think you'd wear me well Amy, Amy, Amy So where's my moral parallel   Creative energy abused All my lyrics go unused When I clock black hair blue eyes I drift off, I fantasize   Amy, Amy, Amy Although I've been here before Amy, Amy, Amy He's just too hard to ignore Masculine, he spins a spell I think he'd wear me well Amy, Amy, Amy So where's my moral parallel Amy, Amy, Amy Although I've been here before Amy, Amy, Amy He's just too hard to ignore Masculine, he spins a spell I think he'd wear me well Amy, Amy, Amy Where's my moral parallel",-0.9524,8,7,2,4,2,18,16,6,1,15
4,4,/songs/328608,Amy Winehouse,Amy Amy Amy (Outro),https://genius.com/Amy-winehouse-amy-amy-amy-outro-lyrics,http://api.genius.com/songs/328608,None,2003-10-20," Attract me, till it hurts to concentrate Distract me, stop me doing work I hate Just to show him how it feels; I walk past his desk in heels One leg resting on the chair From the side he pulls my hair   Amy Amy Amy Although I've been here before Amy Amy Amy He's just too hard to ignore Masculine you spin a spell I think you'd wear me well Amy Amy Amy Where's my moral parallel?   It takes me half an hour to write a verse He makes me imagine it from bad to worse My weakness for the other sex Every time his shoulders flex The way the shirt hangs off his back My train of thought spins right off track   His own style, right down to his Diesel jeans Immobile, I can't think by any means Underwear peeks out the top I'll let you know when you should stop From the picture my mind drew I know I'd look good on you   Creative energy abused All my lyrics go unused When I clock black hair blue eyes I drift off I fantasize  ",-0.9403,4,7,2,4,2,10,8,6,1,7
5,5,/songs/328740,Amy Winehouse,A Song for You,https://genius.com/Amy-winehouse-a-song-for-you-lyrics,http://api.genius.com/songs/328740,Lioness: Hidden Treasures,2011-12-02," I've been so many places in my life and time I've sung a lot of songs, I've made some bad rhyme I've acted out my life in stages With ten thousand people watching But we're alone now and I'm singing this song for you I know your image of me is what I hope to be I've treated you unkindly but can't you see There's no one more important to me So darling, won't you please see through me? Because we're alone now and I'm singing this song for you You taught me precious secrets of the truth with holding nothing You came out in front, well baby I was high then But now I'm so much better with my words coming together Listen to the melody because my love is in there hiding I love you in a place where there's no space or time I love you for my life Because you the boy next door and a friend of mine And when my life is over Remember  Being together And I was singing this song for you   We were alone and And I was singing this song Singing this song **** We were all alone We belong And I was singing my song for you We were alone and I was singing our song for you",0.9865,1,5,2,2,8,2,11,1,2,8
6,6,/songs/1956712,Amy Winehouse,Back To Black - Steve Mac Vocal,https://genius.com/Amy-winehouse-back-to-black-steve-mac-vocal-lyrics,http://api.genius.com/songs/1956712,None,2015-10-30,"He left no time to regret Kept his d*** wet With his same old safe bet Me and my head high And my tears dry Get on without my guy You went back to what you knew So far removed from all that we went through And I tread a troubled track My odds are stacked I'll go back to black We only said good-bye with words I died a hundred times You go back to her And I go back to.... I go back to us I love you much It's not enough You love blow and I love puff And life is like a pipe And I'm a tiny penny rolling up the walls inside We only said goodbye with words I died a hundred times You go back to her And I go back to We only said good-bye with words I died a hundred times You go back to her And I go back to Black, black, black, black, black, black, black I go back to I go back to We only said goodbye with words I died a hundred times You go back to her And I go back to black",-0.6486,0,10,0,0,6,10,10,10,2,7
7,7,/songs/435834,Amy Winehouse,Beat the Point to Death,https://genius.com/Amy-winehouse-beat-the-point-to-death-lyrics,http://api.genius.com/songs/435834,None,2008-01-01," I make a name for myself in different ways All the while you will see my songs of praise How can I concentrate when all the while my head Throws me scenarios so I tease myself instead Though I can talk it through Really I find it tough My frustration is relieved but not nearly enough And added to that I'm sick of having to seek some peace Because I need emotion with my physical release, yeah   x2 Can't help But bring it up and beat the point to death But my Words are for nothin', I'm wasting my breath  Can't help But bring it up and beat the point to death But my words are for nothin', I just keep wasting my breath    They're everywhere I go and I always stare I justify attraction by your hands, or lips, or hair And so although I always look I know that I can't touch Uh Because I can only take a full time man so much And now I've reached a point where I don't care anymore It's a necessity just like it was before But these days I ignore the way my body aches Cause I'm the shit I earn I can't afford mistakes, no Oh, oh, oh   Can't help But bring it up and beat the point to death But my Words are for nothin', I'm wasting my breath  Can't help But bring it up and beat the point to death But my words are for nothin', I just keep wasting my breath (My words are) No, no   Can't help I can't help but bring it up, no  But my My  Can't help Ah I can't help, oh no But my words are for nothin', I just keep wasting my breath (My words are runnin' me) Yeah, oh, oh, oh, oh   Can't help But bring it up and beat the point to death But my Words are for nothin', I'm wasting my breath  Can't help But bring it up and beat the point to death But my words are for nothin', I just keep wasting my breath  Can't help But my Can't help But my words are for nothin', I just keep wasting my breath",-0.9976,9,10,16,14,2,22,18,20,6,13
8,8,/songs/328615,Amy Winehouse,Best Friend,https://genius.com/Amy-winehouse-best-friend-lyrics,http://api.genius.com/songs/328615,None,2015-10-30," I can't wait to get away from you And surprisingly you hate me too We only communicate when we need to fight But we are best friends, right? You are too good at pretending you don't care There's enough resentment in the air Now you don't want me in the flat When you are home at night But we're best friends right?   You are Stephanie and I'm Paulette You know what all my faces mean And it's easy to smoke it up, forget Everything that happened in between   Nicky's right when he says I can't win So I don't want to tell you anything I can't even think about How you feel inside But we are best friends, right? I don't like the way you say my name You're always looking for someone to blame Now you want me to suffer just cause You was born wide But we are best friends right?   So I had love for you when I was 4 And there's no one I wanna smoke with more Someday I'll buy the Rizla, so you get the dro Because we are best friends right, right, right, right? Because we are best friends right? Because we are best friends right?",0.9966,5,3,3,2,9,8,14,2,2,13
9,9,/songs/1795124,Amy Winehouse,Best Friends,https://genius.com/Amy-winehouse-best-friends-lyrics,http://api.genius.com/songs/1795124,"The Other Side of Amy Winehouse: B-Sides, Remixes & Rarities",2011-12-02,"I can't wait to get away from you And surprisingly you hate me too We only communicate when we need to fight But we are best friends...right?  You're too good at pretending you don't care There's enough resentment in the air Now you don't want me in the flat When you're home at night But we're best friends right?  You're Stephanie and I'm Paulette You know what all my faces mean And it's easy to smoke it up, forget Everything that happened in between  Nicky's right when he says I can't win So I don't wanna tell you anything I can't even think about How you feel inside But we are best friends, right?  I don't like the way you say my name You're always looking for someone to blame Now you want me to suffer just cause You was born wide But we are best friends right?  You're Stephanie and I'm Paulette You know what all my faces mean And its easy to smoke it up, forget Everything that happened in between  So I had love for you when I was 4 And there's no one I wanna smoke with more Someday I'll buy the Rizla, so you get the dro Cause we are best friends right, right, right, right? Because we are best friends right? Because we are best friends right?",0.9963,5,3,3,2,9,9,14,2,2,13
