,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/840232,Andrea Bocelli,"Ah, la paterna mano (from ""Macbeth"")",https://genius.com/Andrea-bocelli-ah-la-paterna-mano-from-macbeth-lyrics,http://api.genius.com/songs/840232,Il mare calmo della sera,1999-04-06,"O figli, o figlio miei! Da quel tiranno tutti uccisi voi foste E insiem con voi la madre Sventurata! Ah, fra gli artigli di quel tigre Io lasciai la madre e i figli?  Ah, la paterna mano non vi fu scudo O cari Dai perfidi sicari che a morte Vi ferîr! E me fuggiasco, occulto voi Chiamavate invano Coll'ultimo singulto, coll'ultio respir Ah! trammi al tiranno in faccia Signore, e s'ei mi sfugge Possa a colui le braccia del tuo",-0.7825,0,0,0,0,0,0,0,0,0,0
1,/songs/3970003,Andrea Bocelli,Ali di Libertà,https://genius.com/Andrea-bocelli-ali-di-liberta-lyrics,http://api.genius.com/songs/3970003,Sì,2018-10-26," Notte splendida notte, lascia cadere una stella Lascia che insegni ai miei figli che non c'è cosa più bella Di essere veri, di avere uno spirito puro Piedi piantati per terra e lo sguardo al futuro  Notte splendida notte, porta consiglio Fosse anche un fiato di vento, fosse solo un bisbiglio Quanto coraggio ci vuole a seguire un miraggio Per questo cuore migrante che inizia il suo viaggio   Ali di libertà Per vivere in un nuovo giorno adesso Ali per l'anima E per affrontare l'universo E sorvolare un mare aperto Verso un domani ancora incerto   Notte che lasci il tuo posto ad un nuovo giorno Partire è sempre difficile senza un ritorno Quanta speranza ci vuole a intraprendere un viaggio Lontano da un mondo che a volte ci tiene in ostaggio   Ali di libertà Per vivere in un nuovo giorno adesso Ali per l'anima E per affrontare l'universo E sorvolare un mare aperto Verso un domani ancora incerto",0.0,0,0,0,0,0,0,0,0,0,0
2,/songs/840440,Andrea Bocelli,Ama credi e vai (Because We Believe),https://genius.com/Andrea-bocelli-ama-credi-e-vai-because-we-believe-lyrics,http://api.genius.com/songs/840440,Amore,2006-10-18,Guarda fuori e'gia'mattina Questo e'un giorno che ricorderai Alzati in fretta e vai C'è chi crede in te Non ti arrendere  Il sole alto già ti chiama E qualcosa in te già trema Metti le ali Al bambino che c'è in te E lui volerà  Amo credo e so Che per avvincere Tu dovrai vincere Ama credi e vai E tutto in quell'attimo darai  Guarda avanti e non voltarti mai Accarezza con i sogni tuoi Le tue speranze e poi Verso il giorno che verrà C'è un traguardo là  Amo credo e so Che per avvincere Tu dovrai vincere Ama credi e vai E tutto in quell'attimo troverai  Non arrenderti Qualcuno è con te  Ama credi e vai Non voltarti mai E per avvincere Dovrai vincere E allora vincerai,0.0,0,0,0,0,0,2,0,0,0,0
3,/songs/840260,Andrea Bocelli,Amapola,https://genius.com/Andrea-bocelli-amapola-lyrics,http://api.genius.com/songs/840260,Amore,2006-10-18,"Amapola, lindisima amapola Será siempre mi alma tuya sola Yo te quiero, amada niña mia Iqual que ama la flor la luz del día Amapola, lindisima amapola No seas tan ingrate y ámame Amapola, amapola Cómo puedes tú vivir tan sola  Yo te quiero, amada niña mía Igual que ama la flor la luz del día  Amapola, lindísima amapola No seas tan ingrate y ámame Amapola, amapola Cómo puedes tú vivir tan sola",-0.6808,0,0,0,0,0,0,2,0,0,0
4,/songs/3970004,Andrea Bocelli,Amo Soltanto Te,https://genius.com/Andrea-bocelli-amo-soltanto-te-lyrics,http://api.genius.com/songs/3970004,Sì,2018-10-26, È troppo tempo che Non siamo soli io e te Non chiedo luce ormai Quindi il mio sole sarai   Siamo gli stessi qui Decisi liberi Intanto parlami Se cerchi le parole Prova ti amo ancora Dillo anche tu Non chiederei di più Sei la sola Senza un perché Amo soltanto te   E non sapevo ma Oggi è quel giorno che aspettai Pura e pazienza sei Da sempre sogno di noi  [Ritornello: Andrea Bocelli & Ed Sheeran & entrambi] Siamo gli stessi sì Decisi liberi Soltanto seguimi Se cerchi le parole Prova ti amo ancora Dillo anche tu Non chiederei di più Sei la sola Senza un perché Amo soltanto te  Prova ti amo ancora Dillo anche tu Non chiederei di più Sei la sola senza un perché Amo soltanto te   This is the only time That I won't be alone,0.1877,0,3,0,0,0,0,0,0,0,0
5,/songs/840682,Andrea Bocelli,Angels We Have Heard on High,https://genius.com/Andrea-bocelli-angels-we-have-heard-on-high-lyrics,http://api.genius.com/songs/840682,My Christmas,2009-11-03,"Angels we have heard on high Sweetly singing o'er the plains And the mountains in reply Echoing their joyful strains  Gloria, in excelsis Deo Gloria, in excelsis Deo  Shepherds why this jubilee Why your joyful strains prolong What the gladsome tidings be Which inspire your heavenly song  Gloria, in excelsis Deo Gloria, in excelsis Deo",0.9451,0,4,1,0,6,1,7,0,2,6
6,/songs/840776,Andrea Bocelli,Ave Maria No Morro,https://genius.com/Andrea-bocelli-ave-maria-no-morro-lyrics,http://api.genius.com/songs/840776,Il mare calmo della sera,1999-04-06,"C'è lassù fra i boschi Un minuscolo paese Così bello Che nel mondo non ce n'è  Vive felice come estasiato Come incantato Non possiede un campanile Come nella grande città  Ma nel tramonto L'arcobaleno risplende in ciel E nell'aria sembra udir Che una campana suoni lassù L'ora fatata della preghiera Che viene dal bosco Io la conosco Scende dal cielo Come un incanto un'armonia Ave Maria Ave Maria  Quando il giorno muore Canta un canto d'amore Ave Maria Ave Maria  E nell'aria sembra udir Che una campana suoni lassù L'ora fatata della preghiera Che viene dal bosco Io la conosco Scende dal cielo Come un incanto un'armonia Ave Maria Ave Maria  Quando il giorno muore Canta un canto d'amore Ave Maria, Maria, Maria",0.0,0,0,0,0,0,0,0,0,0,0
7,/songs/840452,Andrea Bocelli,Because We Believe,https://genius.com/Andrea-bocelli-because-we-believe-lyrics,http://api.genius.com/songs/840452,Amore,2006-10-18,Guarda fuori è già mattina Questo è un giorno che ricorderai Alzati in fretta e vai C'è chi crede in te Non ti arrendere  Once in every life There comes a time We walk out all alone And into the light The moment won't last but then We remember it again When we close our eyes  Like stars across the sky E per avvincere Tu dovrai vincere We were born to shine All of us here because we believe  Guarda avanti e non voltarti mai Accarezza con i sogni tuoi Le tue speranze e poi Verso il giorno che verrà C'è un traguardo là  Like stars across the sky E per avvincere Tu dovrai vincere We were born to shine All of us here because we believe  Non arrenderti Qualcuno è con te  Like stars across the sky We were born to shine E per avvincere Dovrai vincere E allora vincerai,0.85,0,4,0,0,3,0,9,0,0,3
8,/songs/2340607,Andrea Bocelli,Be My Love,https://genius.com/Andrea-bocelli-be-my-love-lyrics,http://api.genius.com/songs/2340607,Cinema,2015-10-23,Be my love For no one else can end this yearning This need that you and you alone create  Just fill my arms The way you've filled my dreams The dreams that you inspire With every sweet desire  Be my love And with your kisses set me burning One kiss is all I need to seal my fate  And hand in hand We'll find love's promised land There'll be no one but you for me eternally If you will be my love  Be my love For no one else can end this yearning This need that you and you alone create  Just fill my arms The way you've filled my dreams The dreams that you inspire With every sweet desire  (Be my love) (And with your kisses) Set me burning One kiss is all I need to seal my fate  And hand in hand We'll find love's promised land There'll be no one but you for me eternally If you will be my love (If you will be my love),0.9969,0,12,0,0,21,4,25,0,6,10
9,/songs/620870,Andrea Bocelli,Besame Mucho,https://genius.com/Andrea-bocelli-besame-mucho-lyrics,http://api.genius.com/songs/620870,Amore,2006-01-31,"Besame Besame mucho Como si fuera ésta noche La última vez  Besame, besame mucho Que tengo miedo a perderte Perderte después  Besame Besame mucho Como si fuera ésta noche La última vez  Besame, besame mucho Que tengo miedo a perderte Perderte después  Quiero tenerte muy cerca Mirarme en tus ojos Verte junto a mi Piensa que tal vez mañana Yo ya estaré lejos Muy lejos de ti  Besame Besame mucho Como si fuera ésta noche La última vez  Besame, besame mucho Que tengo miedo a perderte Perderte después  Besame Besame mucho Que tengo miedo a perderte Perderte despues  Que tengo miedo a perderte Perderte despues...",0.0,0,0,0,0,0,0,0,0,0,0
