,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,/songs/4067762,Ariana Grande,7 rings,https://genius.com/Ariana-grande-7-rings-lyrics,http://api.genius.com/songs/4067762,"thank u, next",2019-01-18," Yeah, breakfast at Tiffany's and bottles of bubbles Girls with tattoos who like getting in trouble Lashes and diamonds, ATM machines Buy myself all of my favorite things (Yeah) Been through some bad shit, I should be a sad bitch Who woulda thought it'd turn me to a savage? Rather be tied up with calls and not strings Write my own checks like I write what I sing, yeah (Yeah)   My wrist, stop watchin', my neck is flossy Make big deposits, my gloss is poppin' You like my hair? Gee, thanks, just bought it I see it, I like it, I want it, I got it (Yeah)   I want it, I got it, I want it, I got it I want it, I got it, I want it, I got it You like my hair? Gee, thanks, just bought it I see it, I like it, I want it, I got it (Yep)   Wearing a ring, but ain't gon' be no ""Mrs."" Bought matching diamonds for six of my bitches I'd rather spoil all my friends with my riches Think retail therapy my new addiction Whoever said money can't solve your problems Must not have had enough money to solve 'em They say, ""Which one?"" I say, ""Nah, I want all of 'em"" Happiness is the same price as red-bottoms   My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin') The way it shine, I know you've seen it (You've seen it) I bought a crib just for (Just for) the closet (Closet) Both his and hers, I want it, I got it, yeah   I want it, I got it, I want it, I got it I want it, I got it, I want it, I got it (Baby) You like my hair? Gee, thanks, just bought it (Oh yeah) I see it, I like it, I want it, I got it (Yep)   Yeah, my receipts be lookin' like phone numbers If it ain't money, then wrong number Black card is my business card The way it be settin' the tone for me I don't mean to brag, but I be like, ""Put it in the bag,"" yeah When you see them racks, they stacked up like my ass, yeah Shoot, go from the store to the booth Make it all back in one loop, gimme the loot Never mind, I got a juice Nothing but net when we shoot Look at my neck, look at my jet Ain't got enough money to pay me respect Ain't no budget when I'm on the set If I like it, then that's what I get, yeah   I want it, I got it, I want it, I got it (Oh yeah) I want it, I got it, I want it, I got it (Oh yeah, yeah) You like my hair? Gee, thanks, just bought it I see it, I like it, I want it, I got it (I see, yep)",12,10,5,8,14,17,19,8,5,13,0.9973
1,/songs/3056610,Ariana Grande,ABC,https://genius.com/Ariana-grande-abc-lyrics,http://api.genius.com/songs/3056610,None,2009-06-25,"A-buh-buh-buh-buh-buh (a-buh-buh-buh-buh-buh)   You went to school to learn, boy Things you never, never knew before Mmmhmm, like ""I before E, except after C"" And why two plus two makes four Now, now, now I'm gonna teach you all about love, boy Sit yourself down, take a seat All you gotta do is repeat after me   A, B, C Easy as 1, 2, 3 Or simple as do-re-mi A, B, C 1, 2, 3, baby, you and me, boy A, B, C Easy as 1, 2, 3 Or simple as do-re-mi A, B, C 1, 2, 3, baby, you and me, boy   Reading, writing, arithmetic Are the branches of the learning tree But without the roots of love every day, boy Your education ain't complete Te-te-te-teacher's gonna show you how to get an ""A"" (how to get an ""A"") Spell ""me"" and ""you"" and add the two Listen to me, baby, that's all you gotta do   A, B, C Easy as 1, 2, 3 Or simple as do-re-mi A, B, C 1, 2, 3, baby, you and me, boy A, B, C Easy as 1, 2, 3 Or simple as do-re-mi A, B, C 1, 2, 3 That's how easy love can be That's how easy love can be Sing a simple melody 1, 2, 3, baby, you and me   C'mon, c'mon, c'mon, c'mon boy   Shake it, shake it, baby Shake it, shake it, baby Shake it shake it, baby 1, 2, 3, baby A, B, C, baby Do-re-mi, baby That's how easy love can be   A, B, C Easy as 1, 2, 3 Or simple as do-re-mi A, B, C 1, 2, 3, baby, you and me, boy   Lemme teach how to sing it out C'mon, c'mon, c'mon, lemme show you what it's all about   A, B, C Easy as 1, 2, 3 Or simple as do-re-mi A, B, C 1, 2, 3, baby, you and me, boy A, B, C Easy as 1, 2, 3 Or simple as do-re-mi A, B, C 1, 2, 3, baby, you and me, boy   A, B, C 1, 2, 3 A, B, C 1, 2, 3 Baby, you and me",1,3,11,0,25,10,29,2,3,9,0.9953
2,/songs/4476779,Ariana Grande,ACT II SWT,https://genius.com/Ariana-grande-act-ii-swt-lyrics,http://api.genius.com/songs/4476779,None,2019-04-01," Last night, boy, I met you, yeah *kneels* When I was asleep, sleep.. You're such a dream to me. *blushes, smiles* Mmm, woah, and it was on a day like this, yeah. *looks* If you can believe, if you can believe. *poixnt mic* yeah.. You're such a dream to me   Before you speak, don't move. *poixnt mic* Don't wanna wake up, oh.. Boy, you're such a dream. *smiles* If you can believe, bcbe Boy, you're such a dream to me!   Excuse me, um.*poixnt mic* I lcve you, i know that's not the way to start a conversation, trouble I watch them other girls when they come and bcg you. *laughs* But I felt like I knew you, so I just wanted to hcg you. *point* Plus you don't know your way around You can stop your playing now All your worries, lay 'em down Is this real, bcby, yeah. *stand on one leg*  ""I love you—who starts a conversation like that?"", *dances* nobody but I do But you are not a picture, I can't cut you up and hide you *poixnt mic*, Mhm, or try to But I just want to stand and yell I will never dare to tell Think I heard some wedding bells, Ooooh! Is this re-a-al ?   Don't move, cause I don't wanna wake up Wake up, wake up, wake up Don't wanna wake up, oh no Wake up, wake up, wake up 'Cause you're such a dream If you can believe You're such a dream to me, mmm, boy! *stand up*   To me.. To mee, yuh. *dances* Wake up.. up.. *poses*  -Be alright-  Mmm, ooh ya. *poses* Aah, Ah   Midnight shadows When finding lo-ove is a battle..*point skies* But daylight is so close. *grab dancer arm* So don't you worry 'bout a thing *gives mic*   *does chorexo*   Baby, don't you know, all of them tears gon' come and go Baby, you just gotta make up your mind That every little thing is gonna be alright Baby, don't you know, all of them tears gon' come and go Baby, you just gotta make up your mind    *does chorexo* OoOh yeah. *dances* Sing ! Roblox c'mon !   In slow motion *lays* Can't seem to get where we're going But the hard times are golden.. *kneels* 'Cause they all lead to better days, Roblox let's go ! *poixnt mic*   We're gonna be alright We're gonna be alright We're gonna be alri- *dances* OoOOoh !   Baby, don't you know, all of them tears gon' come and go. *dances* Baby, you just gotta make up your mind That every little thing is gonna be alright Baby, don't you know.. Roblox I wanna hear you, make some noise ! Lets go ! OoOoh !    Say we're gonna be alright, boy ! OooOh! We're gonna be alright, bcby.. We're gonna be a-alright bcbe yeah ! *poses* uUuh..  -Sweetener-   Roblox, when life deals us cards. *smiles* Make everything taste like. *poixnt mic* BITTER TASTE TO A HAALT ! sing   You make me say oh, oh, ah. *dances*   I like the way you lick the bowl. *poses* Somehow your method toxches my soul It lifts me up to heights unknown So when they ask, ""How's life?"" I go!   When life deals us cards. *smiles* Make everything taste like it is salt ! Then you come through like the sweetener you are *poixnt mic* sing !   You make me say oh, oh You make me say oh   And then we lay it back, talk the rest of the night. Yeh ! Things that we can light make me say oh, oh Talking 'bout what you wanna do !, whether it’s wrong or right! I am followin' you 'cause you make me say oh, oh. sheesh ! Said I don't know what I'd do without you in my life, it'd be so sour! yeh I'm hoping that everybody can experience what we have in ours !   When life deals us cards ! Make everything taste like it is salt ! Then you come through like the sweetener you are ! *poixnt mic* TO HEER, OoOh YEAAH !   You make me say oh, oh Twist it, twist it, twist it, twist it! Mix it and mix it and mix it and mix it, yeah You make me say oh, bcbe.. OoOOh eeh! OOoOh ! Yeah ! OoOooh, Baby! oooOh OOOooOh yeaaah ! OoOoh bcby yuuh ! Roblox let's go !  -Successful-   Mmh, yeah. yuh Oh, oh !   I just got some real good news from work, boy You can't imagine what I'm 'bout to say It's so hard to hold back, bcby I'm so excited, I can hardly wait, listen, bce    Tonight, I'm a baller, bcbe Even way beneath it, yeah, oh, woah What else is there to say, boy? Say, bae, you should play with me, bcbe   *""strxip"", flip hair* I'm so successful, yeah *poixnt mic, gives mic-stand*   This ain't nothing ordinary for me We ain't goin' to your favorite place. *lays* You keep asking, ""What is so special?"" You really wanna know? You'll have to wait *stand up*   Tonight, I'm a baller, bcbe. *remove jacket* Even way beneath it, yeah What else is there to say, boy? Say, bce, you should play with me, bcbe   *poixnt mic* I, I, I ! Yuh ! you are so young ! And beautiful and so successful, yeah I'm so successful, yuh  -side to side-   I've been here all night *kneels* And boy,*poixnt mic* mh!   I'm talkin' to ya. *dances* See you standing over there with your body. *stand up* Feeling like I wanna rock with your body.. And we don't gotta think 'bout nothin I'm comin' at ya 'Cause I know you got a bad reputation Doesn't matter, 'cause you give me temptation And we don't gotta think 'bout nothin' *poses* sing !   These friends keep talkin' way too much. *jumps* Say I should give you up *poixnt mic* Roblox let me hear you let's go !   I've been here all night I've been here all day. *dances* And boy, got me walkin' side to side. *kneels* I've been here all night I've been here all day And boy, got me walkin' side to side   Been tryna hide it Bcby, what's it gonna hurt if they don't know? Makin' everybody think that we solo Just as long as you know you got me. *poixnt mic* And boy I got, bcby ! Cause tonight I'm making deals with the dcvil And I know it's gonna get me in trouble ! Just as long as you know you got me-yeeh! sing !   Give you up ! 'Cause I-I-I !   *does chorxeo* Bcby yuuh, i've been here all night I've been here all day And boy, got me walkin' side to side   *dances slowly* Yeh ! *does break-dance*   These friends keep talkin' way too much Say I should give him up ! Can't hear them, no, 'cause I…!   I've been here all night *dances* I've been here all day! And boy, got me walkin' side to side ! sing ! I've been here all night I've been here all day And bcby ! nah !   *dances* Aaah yeah ! Roblox, lets go ! go !  Been here all night Been here all day-yeh. go ! And boy, got me walkin' side to side",12,31,19,11,50,44,73,12,15,54,0.9989
3,/songs/4472102,Ariana Grande,ACT I : SWT,https://genius.com/Ariana-grande-act-i-swt-lyrics,http://api.genius.com/songs/4472102,None,2019-04-01," When raindrops fell Down from the sky The day you left me An angel cried.. Oh, she cried An angel cried! She cried! *hold notes*  *poses*   You, you love it how I move you You love it how I h you, my one When all is said and done: You'll believe God is a woman And I, I feel it after midnight A feelin' that you can't fight, my one It lingers when we're done You'll believe God is a woman   I don't wanna waste no time, yeah *touch arms* You ain't got a cne-trcck mind, yeah Have it any way you like, yeah! *looks* And I can tell that you know I know how I want it Ain't nobody else can relate *flip hair* Boy, I like that you ain't afraid Baby, lay me down and let's pray I'm tellin' you the way I like it, how I want it *lay head*   And I can be all the things you told me not to be When you try to ccme for mce, I keep on flourishing yeah ! And he see the universe when I'm the company, it's all in me   You, you love it how I move you. *gets on table and lays* You love it how I h you, my one When all is said and done: *gets up* You'll believe God is a woman And I! I feel it after midnight A feelin' that you can't fight, my one. *sit* It lingers when we're done You'll believe God is a woman    I tell you all the things you should know. *open lexgs* So bcby, take my hands, save your soul! *lays* We can make it last, take it slow, hmm I know how I want it, yeah But you're different from the rest. *gets down* And boy, if you confess, you might get blessed See if you deserve what comes next I'm tellin' you the way I like it, how I want it! *gets up*   And I can be all the things you told me not to be When you try to ccme for mce, I keep on flourishing, Yea-aah! And he see the universe when I'm the company. *smiles*  A-A-A-AaaaAaah ! *poses* AaAAaaAh-oh ! *fix mic*   TOU-U-UCH YOU MY ONE ! WHEN ALL IS SAID AND DONE ! YOU BELIEVE GOD IS A WOMAN YUH-YEAH ! MIDNIGHT, A FEELIN THAT YOU CANT FIGHT MY ONE ! IT LINGERS WHEN WE'RE DONE ! YOU'LL BELIEVE GOD IS A WOMAN, UMH YEAH YEAH !   I SAID BABY YEAAH YEAH YEAH BCBY ! YEAAH YEAH BCBY YEEAAH ! SAY YOU BELIEVE GOD ! YEAAAH YEAH YEEAAH ! OoOOOOoh ! It lingers when we're done *breathes* You believe god is a woman !  Roblox, Welcome to The Sweetener World Tour ! *smiles*  -BAD IDEA-   I've been outta sight I've been worried 'bout you lately. *sits on table* Runnin' outta time Wishin' you would come and save me   'Cause I don't wanna roll with it Tryna get control of it. *laughs* Why can't I let go of it? Gotta find somebody quickly   I got a bad idea. *opens lexgs* How 'bout we take a little bit of time away? I got a bad idea. *dances* Forget about it, yeah, forget about him, yeah, forget about me I got a bad idea Yeah, I'ma call you over here to numb the pain I got a bad idea. *nods* Forget about it, yeah, forget about him, yeah, forget about me   Yeah, I know we shouldn't, baby, but we will. *poses* Need somebody, gimme something I can feel But, boy, don't trip , you know this isn't real You should know I'm temporary. *kneels*   'Cause I don't wanna roll with it *looks in back* Tryna get control of it. *hxit leg* Why can't I let go of it? Gotta find somebody quickly, yeah!   I got a bad idea. *dances* Uh, how 'bout we take a little bit of time away? I got a bad idea Forget about it, yeah, forget about him, yeah, forget about me I got a bad idea *nods* Yeah, I'ma call you over here to numb the pain I got a bad idea. *poses* Forget about it, yeah, forget about him, yeah, forget about me. *sit, poses*   Gotta get control of it. *toxuch dancers* Why can't I let go of it, bcby..? Wishin' you would come and save me Umh, yeah. Oh yeah OoOooh ! OoOoh! *poses*   I got a bad ide-ea How 'bout we take a little bit of time away ! Bad idea, forget about it, yeah, forget about him, yeah, forget about me. *nods head* I got a bad idea Yeah, I'ma call you over here to numb the pai-i-i Bad ide-a Forget about him, yeah, forget about me-yuh   *kneels* *stand up* *sassy walk* *kneels* *""kccs"" dancer* *poses*  -BREAK UP WITH YOUR GIRLFRIEND-   You got me some type of way *looks* Ain't used to feelin' this way I do not know what to say. *approaches, blushes* But I know I shouldn't think about it. *flip hair, turn back* Took one' look at your face Now I wanna know how you taste. *point* Usually don't give it away But you know I'm out here thinkin' 'bout it   Then I realize she's right there. *walk* And I'm at home like, ""Dcmn, this ain't fair""!   Break up with your gcrlfrcend, yeah, yeah, 'cause I'm bored. *does chorexo* You could hct it in the mornin', yeah, yeah, like it's yours I know it ain't right, but I don't care. sing Break up with your gcrlfrcend, yeah, yeah, 'cause I'm bored   This always happen to me. *toxch* Why can't we just play for keeps? *kneels* Practically on my knees But I know I shouldn't think about it You know what you're doin' to me *make ""smell"" p.* You're singin' my songs in the streets, yeah, yeah. *lays* Actin' all innocent, please When I know you out here thinkin' 'bout it. *stand up*   Then you realize she's right there. *point* And you're at home like, ""Dcmn, she. Roblox sing !   Break up with your gcrlfrcend, yeah, yeah, 'cause I'm bored. *does chorexo* You could hct it in the mornin', yeah, yeah, like it's you-urs ! *point* But I don't care ! *poses* With your gcrlfrcend,'cause I'm bored !   Gcrlfrcend, baby yeah With your girlfrien-d With your, With your girlfriend, yeah, yeah   You could say I'm hatin' if you want to. *kneels, toxuch* But I only hate on her 'cause I want you Say I'm trippin' -ain't right Crazy! Want you! And I never even, met you Say I'm trippin' and it ain't right !    Sing !,With your gcrlfrcend, yeah, yeah, 'cause I'm bored Yeah, yeah, 'cause I'm bored! Hit in the mornin', yeah, yeah, yeah Yeah, yeah, like it's yours! I know it ain't right But I don't care-eh ! With your gcrlfrcend, yeah, yeah, 'cause I'm bored. *point, poses*   Gcrlfriend, bcby yuh. gcrlfriend ! gc-url friend yeh yeh. *poses*",27,21,19,30,32,67,47,22,11,34,0.9974
4,/songs/1968727,Ariana Grande,All I Want for Christmas Is You,https://genius.com/Ariana-grande-all-i-want-for-christmas-is-you-lyrics,http://api.genius.com/songs/1968727,None,2019-04-01,"I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree  I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you  I don't want a lot for Christmas There is just one thing I need And I don't care about the presents Underneath the Christmas tree  I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas day  I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you You, baby  Oh, I won't ask for much this Christmas I won't even wish for snow And I, I'm just gonna keep on waiting Underneath the mistletoe  I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake To hear those magic reindeer click  'Cause I just want you here tonight Holding on to me so tight What more can I do? Oh, baby all I want for Christmas is you You, baby  Oh, all the lights are shining So brightly everywhere And the sound of childrens' Laughter fills the air  And everyone is singing I hear those sleigh bells ringing Santa, won't you bring me The one I really need? Won't you please bring my baby to me quickly?  Oh, I don't want a lot for Christmas This is all I'm asking for I just wanna see my baby Standing right outside my door  Oh, I just want you for my own More than you could ever know Make my wish come true Oh, baby all I want for Christmas is you You, baby  All I want for Christmas is you, baby All I want for Christmas is you, baby All I want for Christmas is you, baby All I want for Christmas is you, baby",2,8,2,0,22,0,29,0,6,16,0.8918
5,/songs/203953,Ariana Grande,Almost Is Never Enough,https://genius.com/Ariana-grande-almost-is-never-enough-lyrics,http://api.genius.com/songs/203953,Yours Truly,2013-08-19," I'd like to say we gave it a try I'd like to blame it all on life Maybe we just weren't right But that's a lie, that's a lie   And we can deny it as much as we want But in time our feelings will show 'Cause sooner or later we'll wonder why we gave up The truth is, everyone knows   Almost, almost is never enough So close to being in love If I would have known that you wanted me the way I wanted you Then maybe we wouldn't be two worlds apart But right here in each others arms And we almost, we almost knew what love was But almost is never enough   If I could change the world overnight There'd be no such thing as goodbye You'd be standing right where you were And we'd get the chance we deserve, oh   Try to deny it as much as you want But in time our feelings will show 'Cause sooner or later we'll wonder why we gave up The truth is everyone knows   Almost, almost is never enough So close to being in love If I would have known that you wanted me the way I wanted you Then maybe we wouldn't be two worlds apart But right here in each others arms And we almost, we almost knew what love was But almost is never enough   Huh-huh, baby You know, you know, baby Almost, is never enough, baby You know, hey And we can deny it as much as we want But in time our feelings will show 'Cause sooner or later we'll wonder why we gave up The truth is, everyone knows   Almost, almost is never enough (Is never enough, baby) So close to being in love (So close) If I would have known that you wanted me The way I wanted you Then maybe we wouldn't be two worlds apart But right here in each others arms And we almost, we almost knew what love was (Baby) But almost is never enough   Huh-huh, baby (Almost) You know, you know, baby Almost, is never enough, baby You know, hey",10,7,6,4,17,9,22,5,4,10,0.9919
6,/songs/192859,Ariana Grande,Baby I,https://genius.com/Ariana-grande-baby-i-lyrics,http://api.genius.com/songs/192859,Yours Truly,2013-07-22," Baby, I got love for thee so deep inside of me I don’t know where to start Yeah, yeah I love you more than anything But the words can’t even touch what’s in my heart No, no   When I try to explain it, I be sounding insane The words don’t ever come out right I get all tongue-tied and twisted I can’t explain what I’m feeling And I say baby, baby (oh-woah, oh-woah), baby   (Baby, I) Oh baby, oh baby, my baby (Baby, I) Oh baby, baby, I (Baby, I) All I’m tryna say is you’re my everything, baby But every time I try to say it, words, they only complicate it Baby, baby (oh-woah, oh-woah)   Baby, I’m so down for you No matter what you do (real talk), I’ll be around Yeah, yeah Ooh, baby Baby, I been feeling you before I even knew what feelings were about Oh, baby   When I try to explain it, I be sounding all crazy Words don’t ever come out right I get all tongue-tied and (twisted) I can’t explain what I’m (feeling) And I say baby, baby (oh-woah, oh-woah), baby   (Baby, I) Oh baby, oh baby, my baby (Baby, I) Oh baby, baby, I (Baby, I) All I’m tryna say is you’re my everything, (baby) But every time I try to say it, words, they only complicate it Baby, baby (oh-woah, oh-woah) (Baby, baby) Ooh-woah   Straight up You got me all in How could I not be? I sure hope you know (I sure hope you know) If it’s even possible, I love you more than the word “love” can say, yeah It’s better not explaining That's why I keep saying   (Baby, I) Oh baby, oh baby, my baby (Baby, I) Oh baby, baby, I (Baby, I) All I’m tryna say is you’re my everything, baby But every time I try to say it, words, they only complicate it Baby, baby (oh-woah, oh-woah) Baby (baby, baby), baby, I Oh baby, oh baby, my baby (Baby, I) Oh baby, baby, I (Baby, I) All I’m tryna say is you’re my everything, baby But every time I try to say it, words, they only complicate it Every time I try to say it words, they only complicate it Every time I try to say it words, they only complicate it Baby, baby (oh-woah, oh-woah) Baby, baby",12,13,4,6,72,12,91,5,6,24,0.6481
7,/songs/4278902,Ariana Grande,Baby Loves,https://genius.com/Ariana-grande-baby-loves-lyrics,http://api.genius.com/songs/4278902,None,2019-04-01,"Baby loves, I'm tryna talk to you There's a boy And I don't quite know what to do Good things come to those who wait But patience ain't my thing The way he holds me shows me he's the one For sure the one I think I'd rather wait for him forever Instead of having him just for now At night, just when I look up at the moon I wonder if he's looking at it too And I don't know what to do",0,4,1,0,3,3,7,0,1,5,0.7391
8,/songs/4154699,Ariana Grande,Baby Loves (Intro),https://genius.com/Ariana-grande-baby-loves-intro-lyrics,http://api.genius.com/songs/4154699,Dangerous Woman,2017-02-03," Baby loves, I'm tryna talk to you There’s a boy And I don't quite know What to do Good things come to those who wait But patience ain't my thing The way he holds me, shows me, he’s the one For sure the one I think I'd rather wait for him forever Instead of having him just for now At night, just when I look up at the moon I wonder if he's looking at it too And I don't know what to do",0,4,1,0,3,3,7,0,1,5,0.7391
9,/songs/2457505,Ariana Grande,Bad Decisions,https://genius.com/Ariana-grande-bad-decisions-lyrics,http://api.genius.com/songs/2457505,Dangerous Woman,2016-05-20," Boy, you know that you drive me crazy But it's one of the things I like Cause I know when you need it, baby That I got that, ooh ooh Let 'em keep, let 'em keep on talkin' But it don't matter what they say Cause you know when you hear me knockin' Gonna get that, ooh ooh   I've been doing stupid things Wilder than I've ever been You've become my favorite sin So let 'em keep, let 'em keep on talking That's right   We got that hood love We got that good love We got that hot love We got that ""I don't give a what"" love We got that one life Gimme that all night We got that Bonnie and Clyde love They say it's wrong, but that's the way you turn me on We got that hood love We got that good love Make me make bad Boy, you make me make bad decisions Bad, boy, you make me make bad decisions   No, they ain't gonna understand it Understand what I see in you They don't know when you touch my body That I see the truth Let 'em keep, let 'em keep on talking Cause I know that I got someone Anytime that I need some danger Gonna get that, ooh ooh   I've been doing stupid things Wilder than I've ever been You've become my favorite sin So let 'em keep, let 'em keep on talking That's right   We got that hood love We got that good love We got that hot love We got that ""I don't give a what"" love We got that one life Gimme that all night We got that Bonnie and Clyde love They say it's wrong, but that's the way you turn me on We got that hood love We got that good love Make me make bad Boy, you make me make bad decisions Bad, boy, you make me make bad decisions   Don't you know I ain't fuckin' with them good boys? Know you love me like ain't nobody could, boy If you want it, boy, you got it Ain’t you ever seen a princess be a bad bitch?   We got that hood love We got that good love We got that hot love We got that ""I don't give a what"" love We got that one life Gimme that all night We got that Bonnie and Clyde love They say it's wrong, but that's the way you turn me on We got that hood love We got that good love Make me make bad Boy, you make me make bad decisions Bad, boy, you make me make bad decisions Bad, boy, you make me make bad decisions Bad, boy, you make me make bad decisions",30,7,38,28,32,45,40,22,7,16,0.9954
