,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/68311,Austin Mahone,11:11,https://genius.com/Austin-mahone-11-11-lyrics,http://api.genius.com/songs/68311,Extended Play,2013-05-29,"It's 11: 11 make a wish and make a wish and say  It's 11: 11 make a wish make a wish and say I hope you come true Yeah, 1 2 3 4 soon as you walk through the door Counting 5 6 7 8 9 one million thoughts quick hit my mind (Have you been running) Where have you been lately Ohh, you know it drives me crazy You know I miss your kiss Hate to let you see me like this Because I know when she's on my mind She's got me all worked up inside And I know it's going down tonight Because she's moving and it's feelin right Girl you got me feelin right And I know that you've been hatin me Let the things I say be history You can move like that, I can move like this Girl you know it's time to make a wish Make a wish girl  It's 11: 11 make a wish and make a wish and say  It's 11: 11 make a wish make a wish and say I hope you come true It's 11: 11 make a wish and make a wish and say  It's 11: 11 make a wish make a wish and say I hope you come true  Yeah 8 7 6 to the 5 I'll be singing your song and I'll sing it all night Cause 4 3 2 1 I don't wanna be singing alone You are the perfect melody but now my harmonys feelin outta key And I just wanna feel your love again (I wanna feel love) Why don't you say that we're more than friends Because I know that when she's on my mind She's got me all worked up inside And I know it's going down tonight Because she's moving and it's feelin right Girl you got me feeling right And I know that you've been hating me Let the things I say be history You can move like that, I can move like this Girl you know it's time to make a wish Make a wish girl  It's 11: 11 make a wish and make a wish and say  It's 11: 11 make a wish make a wish and say I hope you come true  Because your everything I'm looking for I know cause I'm not looking anymore And I'm so lucky with the love I found Make a wish so tomorrow comes around  It's 11: 11 make a wish and make a wish and say  It's 11: 11 make a wish make a wish and say I hope you come true It's 11: 11 make a wish and make a wish and say  It's 11: 11 make a wish make a wish and say I hope you come true It's 11: 11 make a wish and make a wish and say  It's 11: 11 make a wish make a wish and say I hope you come true  And I'm so lucky with the love I found, love I found, lo-love I found And I'm so lucky with the love I found, love I found, lo-love I found",0.9996,5,15,2,3,39,5,41,4,12,28
1,/songs/3287112,Austin Mahone,After This*,https://genius.com/Austin-mahone-after-this-lyrics,http://api.genius.com/songs/3287112,None,2019-04-04,"Lyrics From Snippet   Should we have another? What you have to drink We can get to know each other Tell me something 'bout you Don't leave me with nothing It's I with the games, with the games, with the games Pretty lady, what's your name? Won't you tell me where you're from? You said you're born and raised From a place where no one comes What you do in here in a place you don't know You said you don't care when your feeling letting go   I don't wanna leave when I know it's getting late I just wanna see you but I don't wanna wait Where you going, baby? Where you giong, baby? Don't know what you're doing after leaving this place The night is still young and it [?] Let me know baby, just let me know baby   What you're doing after this What you're doing after this What you're doing after this What you're doing after this What you're doing after this   So tell where you wanna go 'Cause I just can't end this when I'm on my own Tonight you're all in your zone And you say you don't wanna end it alone   So what you're doing after this? What you're doing after this? (Oh [?] baby) What you're doing after this? ('Cause [?], baby) What you're doing after this? What you're doing after this? What you're doing after this? (Tell me baby, what you're doing, tell me baby, what you're on) What you're doing after this? What you're doing after this? (Tell me baby, what you're doing, tell me baby, what you're on) What you're doing after this?",-0.5229,2,4,1,1,13,6,20,4,4,9
2,/songs/430542,Austin Mahone,All I Ever Need,https://genius.com/Austin-mahone-all-i-ever-need-lyrics,http://api.genius.com/songs/430542,The Secret ,2014-05-13," Don't the water grow the trees? Don't the moon pull the tide? Don't the stars light the sky Like you need to light my life? If you need me anytime You know I'm always right by your side And see, I've never felt this love You're the only thing that's on my mind   You don't understand how much you really mean to me I need you in my life, you're my necessity, yeah But believe me, you're everything that just makes my world complete My love is clear, the only thing that I'll ever see   You're all I ever need Baby, you're amazing You're my angel, come and save me Oh You're all I ever need Baby, you're amazing You're my angel, come and save me Oh   Don't the water grow the trees? Don't the moon pull the tide? Don't the stars light the sky Like you need to light my life? We can do anything you like I know we both can get it right tonight You got your walls built up high I can tell by looking in your eyes   You don't understand how much you really mean to me I need you in my life, you're my necessity, yeah But believe me, you're everything that just makes my world complete My love is clear, the only thing that I'll ever see   You're all I ever need Baby, you're amazing You're my angel, come and save me Oh You're all I ever need Baby, you're amazing You're my angel, come and save me Oh   When it comes to you, baby, I'm addicted You're like a drug, no rehab can fix it I think you're perfect, baby, even with your flaws You ask what I like about you, ooh, I love it all When it comes to you, baby, I'm addicted You're like a drug, no rehab can fix it I think you're perfect, baby, even with your flaws You ask what I like about you, ooh, I love it all   You're all I ever need (all I ever need) Baby, you're amazing You're my angel, come and save me Oh You're all I ever need Baby, you're amazing (amazing) You're my angel, come and save me (save me) Oh",0.9992,2,14,2,0,36,2,48,4,8,29
3,/songs/4439676,Austin Mahone,Anxious,https://genius.com/Austin-mahone-anxious-lyrics,http://api.genius.com/songs/4439676,None,2019-04-04," What's up? What's up? What's up? What's up? Usually I'm cool enough, but Usually I don't see someone That look like they could be the one, one   Don't wanna be forward Don't wanna create an awkward moment But you got me frozen Can't get my feet to do what I told 'em   Baby, your body make me wanna cut loose But when I try, I analyze a little too much Baby, 'cause your body makes me wanna tell the truth So, by the way   I can't help it, I want you more with every innocent touch The more I say we're just friends, the more I wanna explode Every time we're alone, I try to speak, but I choke Can't say it when it's just us 'Cause you make me so anxious   Can't wait, can't wait, I'm Can't wait, can't wait   Now my mind's already rollin' Takin' off your clothing, yeah Did I say that out loud? Say that out loud, I'm sorry   Don't wanna be forward Don't wanna create an awkward moment But you got me frozen Can't get my feet to do what I told 'em   Baby, your body makes me wanna tell the truth (Damn) So, by the way   I can't help it, I want you more with every innocent touch The more I say we're just friends, the more I wanna explode Every time we're alone, I try to speak, but I choke Can't say it when it's just us 'Cause you make me so anxious   Can't wait, can't wait, I'm Can't wait, can't wait, no patience Can't wait, can't wait, I'm Can't wait, can't wait, no patience   Can't help it, I want you more with every innocent touch The more I say we're just friends, the more I wanna explode Every time we're alone, I try to speak, but I choke Can't say it when it's just us 'cause you make me so anxious   Can't wait, can't wait, I'm Can't wait, can't wait, no patience Can't wait, can't wait, I'm Can't wait, can't wait, no patience",-0.9016,7,30,1,6,8,30,25,6,3,17
4,/songs/2391780,Austin Mahone,Apology,https://genius.com/Austin-mahone-apology-lyrics,http://api.genius.com/songs/2391780,This is Not the Album,2015-12-17," I'm trying to fit this letter in a bottle I only hope the message can sail to you safe Someone said turn to The Bible But I don't know what God's gonna say Cause I broke his angel's heart So it's kinda hard to pray tonight   Cause you're not here You say you don't want nothing to do with me My biggest fear Is you'll never hear my apology   Woah-ooh, my apology Woah-ooh, my apology Woah-ooh, my apology Woah-oo-ooh   I'm sorry I couldn't be everything you wanted me to be, oh, yeah And if this is all you remember of me, oh, yeah Then, girl, let this be the most beautiful letter That you'll ever read in your life I'm leaving my heart on this page Cause I should be there with you tonight   Cause you're not here You say you don't want nothing to do with me My biggest fear Is you'll never hear my—   I only want you to be Sitting here next to me I'll hold you close, look in your eyes Promise, girl, I'll make it right I only need a piece of you That still wants to be in my life Forever   Cause you're not here You say you don't want nothing to do with me My biggest fear Is you'll never hear my apology   Cause you're not here You say you don't want nothing to do with me My biggest fear Is you'll never hear my apology",-0.8105,4,6,0,7,7,5,18,1,3,11
5,/songs/283622,Austin Mahone,Banga! Banga!,https://genius.com/Austin-mahone-banga-banga-lyrics,http://api.genius.com/songs/283622,None,2013-11-10," Let me get it, ain't no playing with it Let me get it, let me get it   Fire, make it shoot, shoot, shoot, shoot, shoot You’re so automatic, can’t none of them see you Five stars going off on 'em, baby I love how you flex Your style is so crazy, you’re a fire on the set You’re a problem, girl, I gotta get you, ain’t no waitin’ with it The one you came here with, tell that boy forget it Too faded’s what to tell him, cause I got him next You don’t need no explanation, let him see and figure it out   Your eyes are telling that you’re riding with me But I’d be lyin’ if I didn’t admit The things I wanna say to you right here I didn’t said it but I just can’t say it ’til I said it   You’re a banga, banga, banga, banga, banga, I wanna pledge a bet Before the night is over, girl, I’m gonna make it that So, promise if I make you mine, so, promise if I make you mine You ain’t gonna play with that, show me where that turnt up at You’re a banga, banga, banga, banga, banga, I wanna pledge a bet Before the night is over, girl, I’m gonna make it that So, promise if I make you mine, so, promise if I make you mine You ain’t gonna play with that, show me where that turnt up at   You gotta promise, if I let you hop up in the Jeep You gon’ turn up in the seat, you like ridin’, don’t ya? (You ain’t gonna play with that) You like ridin’, don’t ya? (You ain’t gonna play with that, show me where that turnt up at)   I don’ said it, now what you gon’ do, formal introduction You got me focused, now it’s time for you to show me something You’re like a trophy on my dash, a diamond that you are Love to see you shining like a proper superstar Got me asthmatic cause you’re like a perfect ballerina I’m on my Brad Pitt, come and be my future Angelina (Now you know enough to get it with a cherry on top) Baby, if you let me love you, I ain’t never gonna stop   You’re a banga, banga, banga, banga, banga, I wanna pledge a bet Before the night is over, girl, I’m gonna make it that So, promise if I make you mine, so, promise if I make you mine You ain’t gonna play with that, show me where that turnt up at You’re a banga, banga, banga, banga, banga, I wanna pledge a bet Before the night is over, girl, I’m gonna make it that So, promise if I make you mine, so, promise if I make you mine You ain’t gonna play with that, show me where that turnt up at   Where that, where that turnt up Turnt up, turnt up Show me, show me where that turnt up, turnt up Show me, show me where that, where that Show me, show me, turnt up, turnt up Where that turnt up at   Your eyes are telling that you’re riding with me But I’d be lyin’ if I didn’t admit The things I wanna say to you right here I didn’t said it but I just can’t say it ’til I said it   You’re a banga, banga, banga, banga, banga, I wanna pledge a bet Before the night is over, girl, I’m gonna make it that So, promise if I make you mine, so, promise if I make you mine You ain’t gonna play with that, show me where that turnt up at You’re a banga, banga, banga, banga, banga, I wanna pledge a bet Before the night is over, girl, I’m gonna make it that So, promise if I make you mine, so, promise if I make you mine You ain’t gonna play with that, show me where that turnt up at   You gotta promise, if I let you hop up in the Jeep You gon’ turn up in the seat, you like ridin’, don’t ya? (You ain’t gotta play with that) You like ridin’, don’t ya? (You ain’t gotta play with that, show me where that turnt up at) You like ridin’, don’t ya?",0.9992,6,6,1,9,31,9,41,2,1,48
6,/songs/2942088,Austin Mahone,Better With You,https://genius.com/Austin-mahone-better-with-you-lyrics,http://api.genius.com/songs/2942088,For Me+You,2016-12-30," It's Saturday I finally got you to myself on your off day, oh yeah I know a place Where we can shut the whole world out and hide away, away   See, the cold drinks have a sweeter taste Whenever you're around and whenever you're around And the bedsheets feel a different way And it feels good, somewhere downtown Whenever you're around me Whenever you're around And it should be, come as no surprise   I like it better with you There's nothing that compares to your company I like it better with you You come around and change how I'm seeing things, oh yeah So baby don't you run away, run away, run away 'Cause I just wanna stay at dawn I like it better with you There's nothing that compares to your company I like it better with you   A city night Is so enticing, but I'd rather stay inside with you So lay beside Me and you do all the things we wanna try, oh yeah   See the cold drinks have a sweeter taste Whenever you're around, whenever you're around And the bedsheets feel a different way And it feels good, somewhere downtown Whenever you're around me Whenever you're around And it should be, come as no surprise   I like it better with you There's nothing that compares to your company I like it better with you You come around and change how I'm seeing things, oh yeah So baby don't you run away, run away, run away 'Cause I just wanna stay at dawn I like it better with you There's nothing that compares to your company I like it better with you   Traffic ain't bad when you're here with me I even love the rain when you're here with me I don't really care what we do, long as I'm there with you, baby Traffic ain't bad when you're here with me I even love the rain when you're here with me I don't really care what we do Nah...   I like it better with you There's nothing that compares to your company I like it better with you You come around and change how I'm seeing things, oh yeah So baby don't you run away, run away, run away 'Cause I just wanna stay at dawn I like it better with you There's nothing that compares to your company",0.9981,2,7,3,8,14,4,19,2,8,11
7,/songs/2391753,Austin Mahone,Brand New,https://genius.com/Austin-mahone-brand-new-lyrics,http://api.genius.com/songs/2391753,This is Not the Album,2015-12-17," Flashback to the summer It was you and me I just wanna know, babe Why you switched up on me We would spend the whole day Walking on the beach I thought we were ok Now you're just my old thing   Now I see you're out with the crew And I don't even know what to do All I ever wanted was you, but now The only thing I ever think about   It's everything that you do The city lights don't shine as bright like when I'm with you, babe It's like you're acting brand new I remember all the times you said you'd never change Girl, why you acting brand new? Say, why you acting brand new? Girl, why you acting brand new? Tell me why you're acting brand new   Riding through your city Riding through your town Wonder if you're still around Wonder if you're here now Maybe if I call you We can talk it out Baby, we can't play these games No   Now I see you're out with the crew And I don't even know what to do All I ever wanted was you, but now The only thing I ever think about   It's everything that you do The city lights don't shine as bright like when I'm with you, babe It's like you're acting brand new I remember all the times you said you'd never change Girl, why you acting brand new? Say, why you acting brand new? Girl, why you acting brand new? Tell me why you're acting brand new   Brand new Brand new B-b-b-brand new Brand new B-b-brand new No, no, no B-b-b-brand new B-b-brand new   It's everything that you do The city lights don't shine as bright like when I'm with you, babe It's like you're acting brand new I remember all the times you said you'd never change Girl, why you acting brand new? Say, why you acting brand new? Girl, why you acting brand new? Tell me why you're acting brand new   Brand new",-0.448,0,4,0,3,2,0,10,0,0,7
8,/songs/2387235,Austin Mahone,Can't Believe It (T-Pain Cover),https://genius.com/Austin-mahone-cant-believe-it-t-pain-cover-lyrics,http://api.genius.com/songs/2387235,None,2015-12-12," She make the people say yeah, yeah   I can put you in the log cabin Somewhere in Aspen Girl ain't nothing to the Pain Ain't tricking if you got it what you asking for Put you in the mansion Somewhere in Wisconsin Like I said ain't nothing to the Pain We can change that last name, what's happening Cause you look so good Tell me why you wanna work here I put you on the front page of a King Magazine But you gonna get yourself hurt here Baby I brought you in the back just to have a conversation Really think you need some ventilation Let's talk about you and me   Oh, I can't believe it Ooo ooo she all on me Man man I think she want me Nah I can't leave her lonely, naw Nah I can't leave her lonely, naw  And you don't understand she make the people say yeah, yeah, yeah She hit the main stage she make the people say yeah, yeah, yeah",0.9691,4,1,2,6,2,8,6,7,3,2
9,/songs/436096,Austin Mahone,Can't Fight This Love,https://genius.com/Austin-mahone-cant-fight-this-love-lyrics,http://api.genius.com/songs/436096,The Secret ,2014-05-22," I've been hit by a train It came out of the blue What a beautiful pain When I fell so hard for you I just can't look away When you walk in the room There's no way to escape There's only one thing I can do   Don't let it take control There's no way I let you go And the one thing that I know   Can't fight this love Can't fight this energy It's natural It's taking over me Can't fight this love Going straight through my heart Can't fight this love Can't fight this, can't fight this Can't fight this love   I don't know what it is I'm down on my knees I've trying to resist I can't take it anymore It gets harder to breathe Girl, I'm hooked for sure I can't hide what I feel 'Cause you opened every door   Don't let it take control There's no way I let you go And the one thing that I know   Can't fight this love Can't fight this energy It's natural It's taking over me Can't fight this love Going straight through my heart Can't fight this love Can't fight this, can't fight this Can't fight this love   It took one look And it was all over One smile and I was lost You broke through my defences So I'm yours (Can't fight this love) Yeah, ooh (Can't fight this love) Can't fight this love   Can't fight this love Can't fight this energy It's natural (It's natural) It's taking over me Can't fight this love Going straight through my heart Can't fight this love Can't fight this, can't fight this Can't fight this love",0.9991,25,1,0,28,17,32,21,5,1,4
