,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/3792448,Bastille,4AM*,https://genius.com/Bastille-4am-lyrics,http://api.genius.com/songs/3792448,Doom Days,2019-06-14," Four in the morning we find ourselves here Best of us passed out, I don't know who's where I got all the old friends and new friends I've met once before In a blanket of smoke as we sink through the floor   Here, here, my family You are my familiar, you are my familiar Here, here, my friends and me You are my familiar   Oh, there is nowhere I would rather be Never felt more comfortable, could never want for more when you're near Oh, there is nowhere I would rather be Never felt more comfortable, could never want for more when you're near   Time skips (by, noon? balloon?) hits I'm losing my mind Tuesday, the doom day Has got out of hand   Here, here, my family You are my familiar, you are my familiar Here, here, my friends and me You are my familiar   Oh, there is nowhere I would rather be Never felt more comfortable, could never want for more when you're near No, there is nowhere I would rather be Never felt more comfortable, could never want for more when you're near   I don't care if we're talking 'bout the same things I don't care if we're stuck in the familiar I don't care if we're going round in circles Again, again, again   Here, here, my family You are my familiar, you are my familiar Here, here, my friends and me You are my familiar   Oh, there is nowhere I would rather be Never felt more comfortable, could never want for more when you're near Oh, there is nowhere I would rather be Never felt more comfortable, could never want for more when you're near",-0.8931,3,1,0,1,5,5,19,1,0,20
1,/songs/2397158,Bastille,Adagio For Strings (ft. Maiday),https://genius.com/Bastille-adagio-for-strings-ft-maiday-lyrics,http://api.genius.com/songs/2397158,Other People's Heartache,2012-02-17,"We found a Lion! What! Backup! Backup Here!  What is love? Baby, don't hurt me Don't hurt me no more Baby don't hurt me Don't hurt me no more What is love? Yeah I don't know why you're not there I give you my love but you don't care So what is right and what is wrong? Gimme a sign What is love Baby, don't hurt me Don't hurt me no more What is love? Baby, don't hurt me Don't hurt me no more Whoa, whoa, whoa, whoa, whoa, whoa, uh, uh Whoa, whoa, whoa, whoa, whoa, whoa, uh, uh  Oh, I don't know, what can I do? What else can I say, it's up to you I know we're one, just me and you I can't go on What is love? Baby, don't hurt me Don't hurt me no more What is love? Baby, don't hurt me Don't hurt me no more Whoa, whoa, whoa, whoa, whoa, whoa, uh, uh Whoa, whoa, whoa, whoa, whoa, whoa, uh, uh  What is love? What is love? What is love? Baby, don't hurt me Don't hurt me no more",0.9985,14,0,0,15,18,15,36,14,0,18
2,/songs/2838632,Bastille,An Act Of Kindness,https://genius.com/Bastille-an-act-of-kindness-lyrics,http://api.genius.com/songs/2838632,Wild World,2016-09-09," An act of kindness Is what you show to me None more than I can take Oh none more than I can take Kindness is what you showed to me It holds me 'til I ache Overflow, and start to break   Oh, I got a feeling this'll shake me down Oh, I'm kind of hoping this will turn me round   And now it follows me every day And now it follows me every day And now it follows me every day And now it follows me every day, every day, every day And now it follows me every day And now it follows me every day And now it follows me every day And now it follows me every day, every day, every day   An act of kindness Is what you showed to me It caught me by surprise in this town of glass and ice Kindness, so many people passed me by But you warmed me to my core, and you left me wanting more   Oh I got a feeling this'll shake me down Oh I'm kind of hoping this'll turn me round Oh I got a feeling that however small Oh I'm kind of hoping this will reach my soul   And now it follows me every day And now it follows me every day And now it follows me every day And now it follows me every day, every day, every day And now it follows me every day And now it follows me every day And now it follows me every day And now it follows me every day, every day, every day   Oh, my back's up against the wall I feel guilty, I feel guilty And you want nothing in return I feel guilty, I feel guilty Oh, my back's up against the wall I feel guilty, I feel guilty And you want nothing in return I feel guilty, I feel guilty   And now it follows me every day And now it follows me every day And now it follows me every day And now it follows me every day, every day, every day And now it follows me every day And now it follows me every day And now it follows me every day And now it follows me every day, every day, every day (Now it follows me everyday)   Oh, my back's up against the wall I feel guilty, I feel guilty And you want nothing in return I feel guilty, I feel guilty",-0.9815,15,4,3,4,7,19,12,17,5,7
3,/songs/610438,Bastille,Axe To Grind,https://genius.com/Bastille-axe-to-grind-lyrics,http://api.genius.com/songs/610438,Vs. (Other People's Heartache Pt. III),2014-12-05," Long-lost opinions All the words you can't redeem Don't come round here And be a slave to old ideas Scream hallelujah If it's a thing that helps you breathe Your iron rule has often Had me on my knees   You'd better sharpen up, you'd better sharpen up 'cause All you have's your axe to grind Grind, grind Round here You'd better sharpen up, you'd better sharpen up 'cause All you have's your axe to grind Grind, grind Round here   Breaking the silence Like I'm bursting at the seams So many stifled thoughts And long-forgotten dreams Scream hallelujah I can almost taste reprieve Your iron rule has often Had me on my knees   You'd better sharpen up, you'd better sharpen up 'cause All you have's your axe to grind Grind, grind Round here You'd better sharpen up, you'd better sharpen up 'cause All you have's your axe to grind Grind, grind Round here   Keep on talking to yourself Cause no one needs to hear the words you reel off Keep on talking to yourself Cause you're gonna have to swing that axe round here Keep on talking to yourself Cause no one needs to hear the words you reel off Keep on talking to yourself Cause you're gonna have to swing that axe round here   You'd better sharpen up, you'd better sharpen up 'cause All you have's your axe to grind Grind, grind Round here You'd better sharpen up, you'd better sharpen up 'cause All you have's your axe to grind Grind, grind Round here",0.986,16,15,2,7,0,6,6,4,2,8
4,/songs/201672,Bastille,Bad Blood,https://genius.com/Bastille-bad-blood-lyrics,http://api.genius.com/songs/201672,Bad Blood,2012-08-19," I don't wanna talk about it I don't wanna talk about it I don't wanna talk about it I don't wanna talk about it   Oh-oh oh, oh-oh, oh-oh, oh-oh Oh-oh oh, oh-oh, oh-oh, oh-oh Oh-oh oh, oh-oh, oh-oh, oh-oh Oh-oh oh, oh-oh, oh-oh, oh-oh   We were young and drinking in the park There was nowhere else to go And you said you always had my back Oh, but how were we to know?   That these are the days that bind you Together, forever And these little things define you Forever, forever   All this bad blood here Won't you let it dry? It's been cold for years Won't you let it lie?   Oh-oh oh, oh-oh, oh-oh, oh-oh Oh-oh oh, oh-oh, oh-oh, oh-oh   If we're only ever looking back We will drive ourselves insane As the friendship goes, resentment grows We will walk our different ways   That those are the days that bind us Together, forever And those little things define us Forever, forever   All this bad blood here Won't you let it dry? It's been cold for years Won't you let it lie?   And I don't wanna hear about the bad blood anymore I don't wanna hear you talk about it anymore I don't wanna hear about the bad blood anymore I don't wanna hear you talk about it anymore   All this bad blood here Won't you let it dry? It's been cold for years Won't you let it lie?   Oh-oh oh, oh-oh, oh-oh, oh-oh Oh-oh oh, oh-oh, oh-oh, oh-oh Oh-oh oh, oh-oh, oh-oh, oh-oh Oh-oh oh, oh-oh, oh-oh, oh-oh",-0.9898,10,1,9,6,2,14,16,9,1,9
5,/songs/3829378,Bastille,Bad Blood [Album art + Tracklist],https://genius.com/Bastille-bad-blood-album-art-tracklist-lyrics,http://api.genius.com/songs/3829378,Bad Blood,2013-03-04,"Tracklist: 1. Pompeii 2. Things We Lost In The Fire 3. Bad Blood 4. Overjoyed 5. These Streets 6. Weight of Living, Pt. II 7. Icarus 8. Oblivion 9. Flaws 10. Daniel in the Den 11. Laura Palmer 12. Get Home Hidden Track: Weight of Living, Pt. I  Bad Blood Artwork:",-0.7906,3,3,4,6,3,8,3,6,2,2
6,/songs/495481,Bastille,​bad_news,https://genius.com/Bastille-bad-news-lyrics,http://api.genius.com/songs/495481,Vs. (Other People's Heartache Pt. III),2014-09-05," Bad news like a sucker punch, what do you say? Air knocked out of my lungs, your cue to stay When you hear something difficult, don't back away Some people say nothing, good ones engage   Don't turn your back on me Don't bury your head deep Just cause you don't know what to say   It's true That it kicks you in the teeth when you are least expecting Bad news Oh it beats you black and blue before you see it coming   Bad news like a sucker punch blew me away People fill the streets like nothing has changed Clock hands tick along they don't look the same Planes fly overhead like any old day     Maybe I just want some words of distraction I feel like I'm being consumed Maybe I'm expecting the perfect reaction To pull me back (back, back, back, back, back, back, back)   It's true That it kicks you in the teeth when you are least expecting Bad news Oh it beats you black and blue before you see it co-  ",-0.8497,10,8,4,7,4,13,11,11,3,11
7,/songs/1829417,Bastille,Basement,https://genius.com/Bastille-basement-lyrics,http://api.genius.com/songs/1829417,Other People's Heartache Pt. 2,2012-12-10,"[Verse 1: F.Stokes] Greyhound, Megabus, clothes in a plastic bag From shelter to shelter, six kids with no dad She left the city for a better life Ran to a small town where the population was mostly white Racial undertones, trying to get back home With barely enough to keep shirts on my backbone Now ain't this real life, numb to what pain feel like Demons knocking like the sound of steel pipes Same lady who gave birth never left my hometown But she the reason I travelled the earth Locked the door, my uncle's going through her purse ""Wake your brother up, they're giving free meals at church."" And I can't justify how my daddy could black your eye Now my sister can't trust a guy We never had much, but we had us And my brother found home in a pair of handcuffs   How am I gonna get myself back home? I-I-I, I-I-I, I-I-I  [Verse 2: F.Stokes] The sound of bullets bounce as I write raps in the kitchen Daddy in a cell trying to hold his ambition Witness the transition from a boy to a martyr Sell dope but go to school to be a barber The ghetto's like a prison, you locked but you still living Barely breathing up until if you're leaving But home is where the hate is And my cousin ain't thirty yet but she's got eight kids Half look up to me, but the other half rarely fuck with me 'Cause apparently, they think I see myself as better I see my songs as simply therapy Now let's go back to that whole Greyhound bus bit Mama worked there for old white folks, wiping up shit Tryna save ships, now close your eyes and envision How she turned a bus ride, into a spaceship   How am I gonna get myself back home? I-I-I, I-I-I, I-I-I How am I gonna get myself back home? I-I-I, I-I-I, I-I-I  [Verse 3: F.Stokes] My home is comprised of many elements Grandaddy was a junkie and found home in a needle filled with daily medicine Home is far less based on physicality (B: The birds are mocking me) But embracing the mentality that you can turn even the harshest conditions into an optimistic galaxy (B: They call to be heard) Come home daddy, it's okay now (B: The birds are mocking me) All the tears are dried up, mama's in a better place now No guns unless they're video games (B: They curse my return) But there's a darker side to sex, rock and roll and cocaine Come home   Oh how am I gonna get myself back home? I-I-I, I-I-I, I-I-I How am I gonna get myself back home? I-I-I, I-I-I, I-I-I   From the basement, to the ceiling Going back home to replace this feeling From the basement, to the ceiling Going back home to replace this feeling",-0.8595,11,10,10,11,11,18,22,13,2,20
8,/songs/3200661,Bastille,Basket Case,https://genius.com/Bastille-basket-case-lyrics,http://api.genius.com/songs/3200661,None,2017-08-17," Do you have the time To listen to me whine About nothing and everything, all at once? I am one of those Melodramatic fools Neurotic to the bone, no doubt about it   Sometimes I give myself the creeps Sometimes my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid or am I just stoned?   I went to a shrink To analyze my dreams She said it's lack of sex that's bringing me down I went to a whore He said my life's a bore So quit my whining cause its bringing her down   Sometimes I give myself the creeps Sometimes my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? Yeah Yeah Yeah   Grasping to control So I better hold on   Sometimes I give myself the creeps Sometimes my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? Or am I just stoned?  Am I just stoned? Am I just sto-o-oned?",-0.9183,0,3,4,3,1,22,1,3,3,2
9,/songs/598294,Bastille,Bite Down,https://genius.com/Bastille-bite-down-lyrics,http://api.genius.com/songs/598294,Vs. (Other People's Heartache Pt. III),2014-12-08," You don't have to look any further I've been waiting here for you for time You don't have to look any further You're missing what is right before your eyes  [Pre-Chorus: Bastille & HAIM] No one's gonna stick the pieces Together for you, together for you No one's gonna stick the pieces Together for you, together for you (You've got your claws buried deep)   Bite down, bite down into me Bite down, bite down into me You better sink your teeth before I disappear Bite down, bite down into me  [Post-Chorus: Bastille & HAIM] Ooh, I'm not gonna try Ooh, I'm not gonna try Ooh, I'm not gonna try No, no, no, I'm not gonna try   Oh, I'm trying to keep my composure But every time you're shaking me down, I die Are you gonna keep looking me over? I'm tired of waving my arms from the back of the line  [Pre-Chorus: Bastille & HAIM] No one's gonna stick the pieces Together for you, together for you No one's gonna stick the pieces Together for you, together for you (You've got your claws buried deep)   Bite down, bite down into me Bite down, bite down into me You better sink your teeth before I disappear Bite down, bite down into me   ‘Cause there are only so many times That I can come running ‘Cause there are only so many times That I can come running for you   Bite down, bite down into me Bite down, bite down into me You better sink your teeth before I disappear Bite down, bite down into me Bite down, bite down into me Bite down, bite down into me You better sink your teeth before I disappear Bite down, bite down into me  [Post-Chorus: Bastille & HAIM] Ooh, I'm not gonna try Ooh, I'm not gonna try Ooh, I'm not gonna try No, no, no, I'm not gonna try",-0.9714,2,4,0,11,0,32,7,4,0,2
