,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/4489139,Bebe Rexha,10 Minutes*,https://genius.com/Bebe-rexha-10-minutes-lyrics,http://api.genius.com/songs/4489139,None,2018-09-12,"Snippet   I wrote a happy song, I tried to sing along But I was faking it, yeah, I was faking it I put some makeup on to turn myself on But I was faking it   It's killing me, killing me   Don't wanna be sad anymore, can I get 10 minutes? Don't wanna keep [?] in it, 10 minutes on the dance floor Don't wanna be sad anymore, can I get 10 minutes? Don't wanna keep [?] in it, 10 minutes on the dance floor",-0.9473,2,2,0,2,4,2,8,3,0,8
1,/songs/4333094,Bebe Rexha,20 Anymore,https://genius.com/Bebe-rexha-20-anymore-lyrics,http://api.genius.com/songs/4333094,None,2018-09-12,"I feel so good at my skin Should I let you go or should I let you in? Because oh baby I don't need no one to show me what to do And beauty is more than a number When I was younger I didn’t knew that And if you give me a chance I would go back Cuz no I'm not 20 anymore Don't try to make me feel insecure Because I’m aging like wine I get finer with time, yes I do And oh I'm not 20 anymore And the lines on my face they weren't there before But I'm wiser, I'm stronger from all of the life I've been through And if one thing's for sure I don't want to be 20 anymore",0.9402,1,2,0,1,3,1,7,1,2,5
2,/songs/3570630,Bebe Rexha,24/7,https://genius.com/Bebe-rexha-24-7-lyrics,http://api.genius.com/songs/3570630,None,2018-09-12," Can you let me be a girl? Can I put my lipstick on? Yeah sexy for myself, you can't tell me it's wrong And if I wanna cry, I'll be crying like child Because sometimes it gets hard, being a woman  24/7 days a week uh-uh, yeah, 24/7, 24/7 24/7 days a week uh-uh, yeah, 24/7, 24/7 24/7 days a week uh-uh",0.2869,0,1,0,0,1,3,1,2,0,0
3,/songs/3600368,Bebe Rexha,2 Souls on Fire,https://genius.com/Bebe-rexha-2-souls-on-fire-lyrics,http://api.genius.com/songs/3600368,Expectations,2018-04-13," Desire, two souls on fire Desire, two souls on fire  [Verse 1: Bebe Rexha & Quavo] You got me out here looking foolish Look like a dog, I'm drooling Close your mouth, boy, and just prove it And you know just the way to do it You gon' make me bring the bag, girl, believe me (Oh yeah, yeah, yeah) You gon' make me pop some tags, fashion season (Oh yeah, yeah, yeah) You gon' make me do those moves, stop your breathing (Oh yeah, yeah, yeah) If you losing faith, I make you believe it  [Pre-Chorus: Quavo & Bebe Rexha] Got me feeling some type of way (Ooh-ooh-ooh-ooh) Got a chain on my heart, and it's spinning in diamonds   Desire, two souls on fire Make me feel some type of way Desire, two souls on fire Feel some type of way Desire, two souls on fire Make me feel some type of way Desire, two souls on fire  [Verse 2: Bebe Rexha & Quavo] We can go out to the islands on privates We can drive the latest cars, no mileage We can do whatever you like, just be quiet If you don't break my heart, I'll let you inside it  [Pre-Chorus: Quavo & Bebe Rexha] Got me feeling some type of way (Ooh-ooh-ooh-ooh) Got a chain on my heart and it's spinning in diamonds And that chain around your heart got me blinded   Desire, two souls on fire Make me feel some type of way Desire, two souls on fire Feel some type of way Desire, two souls on fire Make me feel some type of way Desire, two souls on fire Do I make you feel some type of way?   (Ooh-ooh-ooh-ooh) Got a chain around my heart and it's spinning in diamonds (Ooh-ooh-ooh-ooh) And that chain around your heart got me blinded   Desire, two souls on fire Make me feel some type of way Desire, two souls on fire Feel some type of way Desire, two souls on fire Make me feel some type of way Desire, two souls on fire Do I make you feel some type of way?",0.9549,3,3,3,16,6,8,11,4,5,4
4,/songs/2960561,Bebe Rexha,Apple,https://genius.com/Bebe-rexha-apple-lyrics,http://api.genius.com/songs/2960561,None,2018-09-12," Shoutout to Lauren cause she said it right That thing, that thing He just wanna bite   Don't let him hit it and quit it If he hits it and quits it You probably won't see him no more, no more And i hate to admit it, i hate to admit it But i've been that girl once before I ain't to worry bout that   East coast till I die But the west coast I reside And my momma told me right She said just remember you're the   Apple at the top of the tree Don't give it away so easily Don't give it away so easily One day he'll climb up to get that Apple at the top of the tree Don't give it away so easily Don't give it away so easily One day he'll climb up to that apple baby That apple baby, that apple baby   Don't let him hit it and quit it Girl, you're so caught up in it You don't see how special you are, you are And if you let him hit it, if you let him hit it He might run away with your heart I told you straight from the start   East coast till I die But the west coast I reside And my momma told me right She said just remember you're the   Apple at the top of the tree Don't give it away so easily Don't give it away so easily One day he'll climb up to get that Apple at the top of the tree Don't give it away so easily Don't give it away so easily One day he'll climb up to that apple baby That apple baby, that apple baby  ",0.9846,12,10,6,5,11,14,30,5,4,19
5,/songs/2410304,Bebe Rexha,Atmosphere,https://genius.com/Bebe-rexha-atmosphere-lyrics,http://api.genius.com/songs/2410304,All Your Fault: Pt. 1 - EP,2017-02-17," I feel in the beginning, we were living We were tripping, we were so high When you told me that you love me, were you bluffin'? Was it nothing? Now you're so dry You can tell me that you're sorry, but I know that you don't mean it Baby, don't lie Don't lie Baby, don't lie   And I can't blame myself for getting lost inside the promise of you And I can't blame you leaving 'Cause what's meant to be will always be true   There isn't enough love in the atmosphere to keep you here, ahh There isn't enough love in the atmosphere Don't leave me here all alone I ride for my baby I died for my baby I'd die for my baby, no lie There isn't enough love in the atmosphere In the atmosphere   Remember we were running up and down And getting messy in the hallways Told me that forever was the time we'd be together, baby, always Now you're saying that you're sorry But I know that you don't mean it 'cause you won't stay No, you won't stay You won't stay   And I can't blame myself for getting lost inside the promise of you And I can't blame you leaving 'Cause what's meant to be will always be true   There isn't enough love in the atmosphere to keep you here, ahh There isn't enough love in the atmosphere Don't leave me here all alone I ride for my baby I died for my baby I'd die for my baby, no lie There isn't enough love in the atmosphere In the atmosphere   If there's winners and losers, then I'll be the loser I'm still here, I choose ya I don't want another, if we can't have each other 'Cause baby, I love ya Maybe in a different world, baby, I could be your girl Maybe then I'll be with you If there's winners and losers, then I'll be the loser I'm still here, I choose ya   There isn't enough love in the atmosphere to keep you here, ahh There isn't enough love in the atmosphere Don't leave me here all alone I ride for my baby I died for my baby I'd die for my baby, no lie There isn't enough love in the atmosphere In the atmosphere",0.9767,11,3,11,3,31,20,40,15,5,13
6,/songs/2866360,Bebe Rexha,Bad Bitch,https://genius.com/Bebe-rexha-bad-bitch-lyrics,http://api.genius.com/songs/2866360,All Your Fault: Pt. 1 - EP,2017-02-17," You're sayin' that your tired of all your empty habits You want something that's deeper, 'cause you're over the generics You're fuckin' with them basics when you really want the baddest So c'mon, baby, get it, 'cause to miss it, it would be tragic   You say you want a bad bitch Baby, now you have it Now you got a bad bitch Show me you can handle this Say you want a bad bitch Baby, now you have it Now you got the baddest Show me you can handle this   Bad bitch, bad bitch Bad bitch, bad bitch Show me you can handle this Bad bitch, bad bitch Bad bitch, bad bitch Show me you can handle this Oh, yeah, yeah, yeah Oh, yeah, yeah, yeah  [Verse 2: Ty Dolla $ign] You know I can handle it You know I can handle it When you throw that thing back at me like a lateral You be goin' all night when you on that adderall We be goin' all night when you on that adderall Bad bitch, bad bitch You ain't never average Get some double C’s on your bag with the brass, oh Bad bitch, bad bitch You ain’t never average St. Laurent jeans with the St. Laurent bag too   You say you want a bad bitch Baby, now you have it Now you got a bad bitch Show me you can handle this Say you want a bad bitch Baby, now you have it Now you got the baddest Show me you can handle this   Bad bitch, bad bitch Bad bitch, bad bitch Bad bitch, bad bitch Bad bitch, bad bitch Show me you can handle this Oh, yeah, yeah, yeah Oh, yeah, yeah, yeah   I pay my own bills and I pay my own rent 'Cause I'm indepen-independent I buy my own rings and I do my own things 'Cause I'm indepen-independent I know it really hurts, I know it ain't fair You're not allowed to touch, but you can stare Know it really hurts, know it ain't fair So keep sayin' your prayers   You say you want a bad bitch Baby, now you have it Now you got a bad bitch Show me you can handle this Say you want a bad bitch Baby, now you have it Now you got the baddest Show me you can handle this   Bad bitch, bad bitch Bad bitch, bad bitch Bad bitch, bad bitch Bad bitch, bad bitch Show me you can handle this",-0.9997,76,2,74,76,9,78,11,76,0,12
7,/songs/2576810,Bebe Rexha,Bad Bitches Don't Cry,https://genius.com/Bebe-rexha-bad-bitches-dont-cry-lyrics,http://api.genius.com/songs/2576810,None,2018-09-12," I needed you like the stars need the night But you left me in the dark, here to die And we had something that money could never buy But you ruined it with all your twisted lies   Push through the storm, baby push through the pain Dust myself off and stay in the game Won't let you tell me, tell me I'm out I am the queen and this is my crown I am a fighter, I'm the igniter I'm gonna light your whole world on fire I wanna thank you for making me so much stronger   Bad bitches don't cry We just get even, even So raise your fist, raise them to the sky Baby keep believin'-lievin' And if there's one thing that I've ever learned It's that if you play with fire, you're bound to get burned But bad bitches don't cry, don't cry, don't cry, don't cry, don't cry   I bet you thought I'd be nothing without you But you thought wrong cause baby I am bulletproof   Push through the storm, baby push through the pain Dust myself off and stay in the game Won't let you tell me, tell me I'm out I am the queen and this is my crown I am a fighter, I'm the igniter I'm gonna light your whole world on fire I wanna thank you for making me so much stronger   Bad bitches don't cry We just get even, even So raise your fist, raise them to the sky Baby keep believin'-lievin' And if there's one thing that I've ever learned It's that if you play with fire, you're bound to get burned But bad bitches don't cry, don't cry, don't cry, don't cry, don't cry",-0.975,13,4,10,16,7,32,22,26,1,14
8,/songs/3575899,Bebe Rexha,Blanket,https://genius.com/Bebe-rexha-blanket-lyrics,http://api.genius.com/songs/3575899,None,2018-09-12," Taste, they get so tough The nights [?] where's the love Am I the only one That feels alone in a crowded room   Here I lie under my blanket With nobody nothing can get me When it gets too dark in life I close my eyes, yeah I'm safe in the night under my blanket I'll be alright, I'll be just fine Under my blanket I'll be alright, I'll be just fine   And I'll be right here till the safe to come out Don't want no more monsters to swallow me down Yeah I'll be right here till the safe to come out Yeah, safe to come out",0.9741,1,0,1,1,5,3,6,3,0,8
9,/songs/3870410,Bebe Rexha,Can't Make Somebody Love You,https://genius.com/Bebe-rexha-cant-make-somebody-love-you-lyrics,http://api.genius.com/songs/3870410,None,2018-09-12,"Hey. Yeah-e. Yeah  Who is that girl? Is she everything you ever wanted? And why did you leave? Were you seeing her while you were seeing me? Yeah-eh-oh  It's time to say it's time to say good bye! And don't worry bout me, cause baby boy I won't cry. (cry) If I would've known I would've just walked away. (Walked away) But I was stuck on you and you were stuck on my mind  You can't make somebody love you. (Ah) You can't make somebody love you. (Ah) You can't make somebody love you. (Ah) (When they love somebody else)  Member when (Yeah-e) we would talk? All day, yeah, even after it got dark Who would've know, it'd be like this.. It was my fault for thinking that you would want my kiss!  You can't make somebody love you. (Ah) You can't make somebody love you. (Ah) You can't make somebody love you. (Ah) (When they love somebody else)  Is it to much to want somebody Somebody that will love you, somebody that will love you! Is it to much to need somebody Somebody that will love you, somebody that will love you Is it to much to want somebody Somebody to love love you, somebody to love you! Is it to much to need somebody, Somebody to love me, somebody to love me!  Don't worry bout me, don't worry bout me Don't worry bout me, don't worry... Don't worry bout me, don't worry bout me Don't worry bout me, don't worry... Don't worry bout me, don't worry bout me Don't worry bout me, don't worry... Don't worry bout me, don't worry bout me, don't worry bout me... Chorus: You can't make somebody love you. (Ah) You can't make somebody love you. (Ah) You can't make somebody love you. (Ah) (When they love somebody else) (When they love somebody else)  Don't worry bout me, don't worry bout me.. Huh....ah.. You can't make somebody love you",-0.9969,15,23,1,18,26,38,46,23,3,19
