,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/446403,Billy Currington,23 Degrees And South,https://genius.com/Billy-currington-23-degrees-and-south-lyrics,http://api.genius.com/songs/446403,We Are Tonight,2010-09-17," 23 degrees and south Ride the river down to the mouth This crazy life I can do without Long as you're here with me Catch a wave and ride the crest Hang ten and hook it to the west Sell it all til' there's nothing left Long as you're here with me   Going to play this old guitar For beer and tips at a beach side bar Little out of key, we'll sing it loud Don't need a map to get us where we're going Sail wherever the breeze is blowing Rediscover what our love is all about You and me and 23 degrees south   Remember me, remember you All those crazy things we said we'd do We got so lost and out of the blue Dreams just slip away But I'm still here and you're my girl Still you and me against the world Pack a bag and pack it light Come on baby, we can leave tonight   Going to play this old guitar For beer and tips at a beach side bar Little out of key, we'll sing it loud Don't need a map to get us where we're going Sail wherever the breeze is blowing Rediscover what our love is all about You and me and 23 degrees south   Play songs on this guitar We'll get back to who we are Fall like shooting stars that don't burn out Don't need a map to get us where we're going Sail wherever the breeze is blowing Remember what our love is all about You and me and 23 degrees south, mmm, hmm Well, come on baby, pack it light, mmm, hmm 23 degrees south, oh yeah",0.981,3,5,0,3,12,7,19,8,4,7
1,/songs/446300,Billy Currington,Ain't What It Used To Be,https://genius.com/Billy-currington-aint-what-it-used-to-be-lyrics,http://api.genius.com/songs/446300,Billy Currington,2003-09-30," That backward town in my rear view Was going to be my whole world Til my factory job got shipped to Mexico And a city boy stole my sweet girl I used to know everybody by name Everybody's moved away Can't say that I'm really wanting to go But I've run out of reasons to stay   This ain't nothing like what I Had in mind for me But then again my future Ain't what it used to be   Well I thought like my dad and his daddy before That I would die where I was born Live a small town dream in a big backyard Raisin' babies and corn Now here I am, one eye on the road Trying to read a map on the dash Nowhere close to making up my mind With a fork in the road coming fast   This ain't nothing like what I Had in mind for me But then again my future Ain't what it used to be  This ain't nothing like what I Had in mind for me But then again my future Ain't what it used to be   That backward town in my rear view Was going to be my whole world",0.6935,0,3,1,1,2,8,4,2,1,1
2,/songs/446369,Billy Currington,All Day Long,https://genius.com/Billy-currington-all-day-long-lyrics,http://api.genius.com/songs/446369,Enjoy Yourself,2010-09-21," Come here girl I got a bottle of wine We can pass it around till we're feeling fine and crazy Mm hmm Been a long day let your hair fall down We can dance for a while Lay around and be lazy Mm hm We love all night yeah baby Sure feels good when ya take me In your arms Oh and then we start   We kiss like first time lovers Tangled up in the covers Lets get it on Love me all night, make me miss ya all day long   Give me a look with your bedroom eyes Gonna lock it away up in my mind For a daydream Well come on girl, come off of that sugar Take my hand baby now would you lay me down We love all night yeah baby Sure feels good when ya take me in your arms Oh and then we start   We kiss like first time lovers Tangled up in the covers Lets get it on Love me all night, make me miss ya all day long   Tomorrow I'll be watching that clock On the wall Till we pick back up Right where we left off Love all night yeah baby Sure feels good when ya take me, in your arms Oh and then we start   We kiss like first time lovers Tangled up in the covers Lets get it on Love me all night, make me miss ya all day long   All day long baby (all day long) All day long (all day long)",0.9969,2,26,1,2,22,7,24,3,7,11
3,/songs/446410,Billy Currington,Another Day Without You,https://genius.com/Billy-currington-another-day-without-you-lyrics,http://api.genius.com/songs/446410,We Are Tonight,2013-09-17," Another paper in my front yard Another wave at the crossing guard Parking lot spot 29 Ain't nothing different but the car next to mine And I let that song on the radio fade before I ever open the door And it's a Xerox copy, identical twin of the 24 hours before   Baby in the meantime In the in-between time All I do is think about you Just another hey, hey Weekends on the way, hey Just another Monday And a Tuesday nothing left to lose day Wednesday and a Thursday look just like the first day Friday night to Sunday all roll into one day Just another day without you, ah baby   It ain't Cheers but they all know my name A coke can, a beer can, it's all the same I always leave at 11:03 I know what's good and what's bad for me I could roll through this routine in my sleep if only I could sleep at all And the news and the weather say, it's gonna get better but not if you never call   Baby in the meantime In the in-between time All I do is think about you Just another hey, hey Weekends on the way, hey Just another Monday And a Tuesday nothing left to lose day Wednesday and a Thursday look just like the first day Friday night to Sunday all roll into one day Just another day without you, ah baby   And I could roll through this routine in my sleep if only I could sleep at all And the news and the weather say, it's gonna get better but not if you never call   Baby in the meantime In the in-between time All I do is think about you Just another hey, hey Weekends on the way, hey Just another Monday And a Tuesday nothing left to lose day Wednesday and a Thursday look just like the first day Friday night to Sunday all roll into one day Just another day without you, ah baby   Just another day without you, uh, huh Oh yeah, baby Living just another day without you baby, mm, hmm No, no, no",0.9431,4,5,4,5,11,7,16,5,6,5
4,/songs/446391,Billy Currington,Bad Day Of Fishin',https://genius.com/Billy-currington-bad-day-of-fishin-lyrics,http://api.genius.com/songs/446391,Enjoy Yourself,2010-09-21," Got up at dawn just to be out on the water Weather man said hot and getting hotter But he didn't say nothing bout it raining like hell (oh well) A bad day of fishing beats a good day of anything else Had a big one on and man I would a got them But he took my pole straight down to the bottom Leaving me with nothing, but a big ole story to tell (oh well) A bad day of fishing beats a good day of anything else   We should proly go to work, I mean everybody does Instead of sitting out here in the middle of nowhere working on a pretty good buzz   Didn't catch a damn thing, guess you could say we took a licking Tonights fish fry is going to taste like chicken But we did just fine, if I do say so myself A bad day of fishing beats a good day of anything else   We should proly go to work, I mean everybody does Instead of sitting out here in the middle of nowhere working on a pretty good buzz   Didn't catch a damn thing, guess you could say we took a licking Tonights fish fry is going to taste like chicken But we did just fine, if I do say so myself A bad day of fishing beats a good day of anything else",0.8438,9,11,7,9,9,9,13,6,11,9
5,/songs/446411,Billy Currington,Banana Pancakes,https://genius.com/Billy-currington-banana-pancakes-lyrics,http://api.genius.com/songs/446411,We Are Tonight,2013-09-17," Can't you see that it's just raining? Ain't no need to go outside   But, baby, you hardly even notice When I try to show you this Song is meant to keep you From doing what you're supposed to Waking up too early Maybe we can sleep in Make you banana pancakes Pretend like it's the weekend now   Can't you see that it's just raining? Ain't no need to go outside   But just maybe, like a ukulele Momma made a baby Really don't mind the practice 'cause you're my little lady Lady, lady, love me 'cause I love to lay here lazy We could close the curtains Pretend like there's no world outside   Can't you see that it's just raining? Ain't no need to go outside   Ain't no need, ain't no need, mmm, mmm Can't you see, can't you see? Rain all day, and I don't mind  But the telephone is singing Ringing It's too early Don't pick it up We don't need to We got everything We need right here And everything we need is enough Just so easy When the whole world fits inside of your arms Do we really need to pay attention to the alarm? Wake up slow, mmm mm, wake up slow   But, baby, you hardly even notice When I try to show you this Song is meant to keep you From doing what you're supposed to Waking up too early Maybe we can sleep in Make you banana pancakes Pretend like it's the weekend now   Can't you see that it's just raining? Ain't no need to go outside   Ain't no need, ain't no need Rain all day, and I really, really, really don't mind Can't you see, can't you see? You got to wake up slow",0.9903,0,1,0,1,6,5,14,0,1,8
6,/songs/3968622,Billy Currington,Bring It On Over,https://genius.com/Billy-currington-bring-it-on-over-lyrics,http://api.genius.com/songs/3968622,None,2018-09-19," Oh yeah   Baby I can't stop thinking 'bout last night Still taste your kiss, still taste the wine Tryna to turn this ten minute drive to five Oh, I've been Daydreaming 'bout you all day long Radio's been playing all our songs Just read your message on my phone It's turning me on   When you say you need me And you just got to see me And all you want is me right now Oh baby just wait a minute If you're in your bed stay in it I'm about to dive on in it Got to got to get you closer I'm about to bring you on over   Twisted you up in inside the sheets I bet you don't get no sleep (I'm gettin' closer) Make a little love to a Motown beat Catching your groove with me I'm about to bring it on over   I know that key's under the mat So girl just stay right where you're at Be right beside you just like that I want you so bad Girl let's pick up where we left off A little more love, a lot less talk About to hear my footsteps down your hall Hang on   When you say you need me And you just got to see me And all you want is me right now Oh baby just wait a minute If you're in your bed stay in it I'm about to dive on in it Got to got to get you closer I'm about to bring you on over   Twisted you up in inside the sheets I bet you don't get no sleep (I'm gettin' closer) Make a little love to a Motown beat Catching your groove with me I'm about to bring it on over   Wanna see our shadows on the wall Wanna see your beautiful body Ain't nobody gonna stop me I'm about to bring it on over Bring it on over Yeah, bring it on over Bring it on over   When you say you need me And you just got to see me And all you want is me right now Oh baby just wait a minute If you're in your bed stay in it I'm about to dive on in it Got to got to get you closer I'm about to bring you on over   Twisted you up in inside the sheets I bet you don't get no sleep (I'm gettin' closer) Make a little love to a Motown beat Catching your groove with me I'm about to bring it on over  Twisted you up in inside the sheets I bet you don't get no sleep (I'm gettin' closer) Make a little love to a Motown beat Catching your groove with me I'm about to bring it on over",0.9903,3,5,1,1,11,6,18,1,1,4
7,/songs/446408,Billy Currington,Closer Tonight,https://genius.com/Billy-currington-closer-tonight-lyrics,http://api.genius.com/songs/446408,We Are Tonight,2013-09-17," I don't know what you're doing, but baby I just had to find out Maybe it's too soon to call you, but it's too late now I've been thinking about the way you move And the way you look when I look at you And I just can't wait, tomorrow's too late   Baby just come over, we should be a little closer tonight Let's drink a little something and do a lot of nothing all night We can take it slow or we can go wherever you're feeling like It really doesn't matter as long as we get closer tonight   You can be here in a song, I'll meet you at the end of the street All we gotta lose is a lonely city night and some sleep And if you got to go, I'll walk you home Or if you don't want to wake up alone Come on, come on, don't wait too long   Baby just come over, we should be a little closer tonight Let's drink a little something and do a lot of nothing all night We can take it slow or we can go wherever you're feeling like It really doesn't matter as long as we get closer tonight   Closer tonight Don't think about it too much Just get in the car You're too far away If you're anywhere but in my arms, uh, huh   Baby just come over, we should be a little closer tonight Let's drink a little something and do a lot of nothing all night We can take it slow or we can go wherever you're feeling like It really doesn't matter as long as we get closer tonight   Closer tonight, oh, oh",0.1978,5,10,5,5,7,9,11,7,4,7
8,/songs/2033039,Billy Currington,Do I Make You Wanna,https://genius.com/Billy-currington-do-i-make-you-wanna-lyrics,http://api.genius.com/songs/2033039,Summer Forever,2015-06-02," Baby what's on your mind When you see me pull up in your drive? Do you wanna go downtown? Maybe have a little high dollar wine? Do you wanna go out to the country? And maybe blow all our money On some sugar at the truckstop and some scratch-offs See if we can lucky? Oh, I gotta know what's goin' on In your beautiful mind Baby don't be shy And tell me now   Do I Make you wanna dance real slow? Go Flyin' down a two lane road? Find A limb to hang your clothes? Do I make you wanna let your hair down? Play a little truth or dare now? Act just like you don't care now? Girl when I come around tell me Do I make you wanna?   Stay up 'til the sun Howl at the moon Baby, tell me the truth Do I make you wanna   Karaoke in the neon light? Go to Vegas, stay up all night? See if we can find a cheap flight Little 7, come 11, baby, roll those dice Do I make you feel pretty? Do I make you wanna lean back, lay back and kiss me? Do you wanna roll with me To the mountains, to the beach, to a party in the city? Do you wanna take in a broadway show Or maybe just lay low? I gotta know now   Do I Make you wanna dance real slow? Go Flyin' down a two lane road? Find A limb to hang your clothes? Do I make you wanna let your hair down? Play a little truth or dare now? Act just like you don't care now? Girl when I come around tell me Do I make you wanna?   Do I make you turn into somebody else? Do you feel like you can finally be yourself? Baby, tell me now   Do I Make you wanna dance real slow? Go Flyin' down a two lane road? Find A limb to hang your clothes? Out in the middle of nowhere now We can take it back downtown You know I don't care now Just wanna take you there now Do I Make you wanna dance real slow? Go Flyin' down a two lane road? Find A limb to hang your clothes? Do I make you wanna let your hair down? Play a little truth or dare now? Act just like you don't care now? Girl when I come around tell me Do I make you wanna?   Stay up 'til the sun? Howl at the moon? Oh baby Tell me do I make you wanna? Stay up 'til the sun? Howl at the moon? Baby, tell me the truth Do I make you wanna Let your hair down? Play a little truth or dare now? Act just like you don't care now? Baby Make you wanna dance real slow? Go flyin' down a two lane road? Find a limb to hang your clothes on? Oh, babe, tell me Do I make you wanna?",0.9849,4,12,4,3,23,4,41,3,10,33
9,/songs/446346,Billy Currington,Don't,https://genius.com/Billy-currington-dont-lyrics,http://api.genius.com/songs/446346,Little Bit Of Everything,2008-10-14," Don't ya hate hearing that clock on the wall chiming Saying it's time And don't you just wish we could just stay right here together All day long You know it wouldn't be a crime If we crawl back into bed Got as close as we could get Trying to figure out where this thing is going   Baby, Baby don't Don't just say you're leaving Why don't you just stay a little bit longer Got it going on And I just can't believe it This feeling it just keeps getting stronger   If ya got to go You got to know I might go crazy Here without you baby We're living every kiss You ain't leaving me like this It just ain't right Wait until tonight To lite another flame You know it wouldn't be the same as the fire we got burning this morning   Baby, Baby don't Don't just say you're leaving Why don't you just stay a little bit longer Got it going on And I just can't believe it This feeling it just keeps getting stronger   Love, no one else can love me like you do You know, I ain't even close to through- loving you   Baby, Baby don't Don't just say you're leaving Why don't you just stay a little bit longer Got it going on And I just can't believe it This feeling it just keeps getting stronger   Don't Baby, Baby don't No baby don't (Baby, baby, oh, baby, baby don't) Oh no, no, baby don't (Baby, baby, oh, baby, baby don't) You, Don't Baby, Baby, Don't",0.9561,6,8,5,7,28,9,47,5,4,23
