,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2390395,Billy Joel,2000 Years,https://genius.com/Billy-joel-2000-years-lyrics,http://api.genius.com/songs/2390395,River of Dreams,1993-08-10,"In the beginning There was the cold and the night Prophets and angels gave us the fire and the light Man was triumphant Armed with the faith and the will That even the darkest ages couldn't kill  Too many kingdoms Too many flags on the field So many battles, so many wounds to be healed Time is relentless Only true love perseveres  It's been a long time and now I'm with you After two thousand years    This is our moment Here at the crossroads of time We hope our children carry our dreams down the line They are the vintage What kind of life will they live? Is this a curse or a blessing that we give?  Sometimes I wonder Why are we so blind to fate? Without compassion, there can be no end to hate No end to sorrow Caused by the same endless fears  Why can't we learn from all we've been through After two thousand years?    There will be miracles After the last war is won Science and poetry ruling the new world to come  Prophets and angels Gave us the power to see What an amazing future there will be  And in the evening After the fire and the light One thing is certain: Nothing can hold back the night  Time is relentless And as the past disappears We're on the verge of all things new  We are two thousand years",-0.7,7,17,2,13,12,14,17,6,4,12
1,/songs/377193,Billy Joel,52nd Street,https://genius.com/Billy-joel-52nd-street-lyrics,http://api.genius.com/songs/377193,52nd Street,1978-10-13," They say it takes a lot to keep a love alive In every heart, there pumps a different beat But if we shift the rhythm into overdrive Well, we could generate a lot of heat On 52nd Street On 52nd Street   We're gonna have a little show parade Before they know the second bar was played We're gonna slip it to 'em short and sweet On 52nd Street",0.9209,0,3,0,1,4,2,5,0,3,3
2,/songs/1292797,Billy Joel,A Hard Day's Night,https://genius.com/Billy-joel-a-hard-days-night-lyrics,http://api.genius.com/songs/1292797,River of Dreams,1993-09-01,"It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log  But when I get home to you I find the things that you do Will make me feel all right  You know I work all day To get you money to buy you things And it's worth it just to hear you say You're gonna give me everything  So why on earth should I moan 'Cause when I get you alone You know I feel okay  When I'm home, everything seems to be right When I'm home, feeling you holding me tight Tight, yeah  It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log  But when I get home to you I find the things that you do Will make me feel all right, oh  So why on earth should I moan 'Cause when I get you alone You know I feel okay  When I'm home, everything seems to be right When I'm home, feeling you holding me tight Tight, yeah  It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log  But when I get home to you I find the things that you do Will make me feel all right  You know I feel all right You know I feel all right",0.952,3,3,2,4,3,2,7,4,3,3
3,/songs/339851,Billy Joel,Ain't No Crime,https://genius.com/Billy-joel-aint-no-crime-lyrics,http://api.genius.com/songs/339851,Piano Man,1973-12-09,"You got to open your eyes in the morning Nine o'clock comin' 'out any warnin' Gotta get ready to go You say you went out late last evenin' Did a lot of drinkin' Come home stinkin' And you went and fell asleep on the floor And then your lady comes and finds you asleepin' Starts in to weepin' 'bout the hours you been keepin' And you better get your ass out the door  Ain't no crime Yeah, it's good to get it on to get a load off your mind It ain't no crime Well, everybody gets that way some time It ain't no crime. Ooooh  You got to open your eyes in the mornin' Nine o'clock comin' without any warnin' Gots'ta get ready to go Well now you tell me you love somebody And you'll love 'em forever You may love 'em forever But you won't like 'em all of the time Well now you tell me you need somebody for the rest of your life You might have somebody But you won't want 'em ev'ryday  Ain't no crime Well it's just human nature Happens all the time It ain't no crime Well don't think twice about it Get it off your mind Ain't no crime. Ooooh  Ain't no crime Well, it's good to get it on to get a load off your mind I say it ain't no crime Well it's just human nature Happens all the time It ain't no crime. Ooooh You got to open your eyes in the morning Nine o'clock comin' 'out any warnin' You gotta get ready to go  And just as surely as the wind keeps blowin' The grass keeps growin' You gotta keep goin' And the Lord have mercy on your soul Woooh",0.9944,10,13,1,0,5,13,9,2,2,4
4,/songs/343547,Billy Joel,All About Soul,https://genius.com/Billy-joel-all-about-soul-lyrics,http://api.genius.com/songs/343547,River of Dreams,1993-08-10,"She waits for me at night, she waits for me in silence She gives me all her tenderness and takes away my pain And so far she hasn't run, though I swear she's had her moments She still believes in miracles while others cry in vain  It's all about soul It's all about faith and a deeper devotion It's all about soul Cause under the love is a stronger emotion She's got to be strong Cause so many things getting out of control Should drive her away So why does she stay? It's all about soul  She turns to me sometimes and she asks me what I'm dreaming And I realize I must have gone a million miles away And I ask her how she knew to reach out for me at that moment And she smiles because it's understood there are no words to say  It's all about soul It's all about knowing what someone is feeling The woman's got soul The power of love and the power of healing This life isn't fair It's gonna get dark, it's gonna get cold You've got to get tough, but that ain't enough It's all about soul  There are people who have lost every trace of human kindness There are many who have fallen, there are some who still survive She comes to me at night and she tells me her desires And she gives me all the love I need to keep my faith alive  It's all about soul It's all about joy that comes out of sorrow It's all about soul Who's standing now and who's standing tomorrow You've got to be hard Hard as the rock in that old rock 'n roll But that's only part, you know in your heart It's all about soul",0.9472,1,9,1,3,12,9,22,7,3,9
5,/songs/211937,Billy Joel,Allentown,https://genius.com/Billy-joel-allentown-lyrics,http://api.genius.com/songs/211937,The Nylon Curtain,1982-09-23,Well we're living here in Allentown And they're closing all the factories down Out in Bethlehem they're killing time Filling out forms Standing in line  Well our fathers fought the Second World War Spent their weekends on the Jersey Shore Met our mothers at the USO Asked them to dance Danced with them slow And we're living here in Allentown  But the restlessness was handed down And it's getting very hard to stay  Well we're waiting here in Allentown For the Pennsylvania we never found For the promises our teachers gave If we worked hard If we behaved  So the graduations hang on the wall But they never really helped us at all No they never taught us what was real Iron and coke And chromium steel And we're waiting here in Allentown  But they've taken all the coal from the ground And the union people crawled away  Every child had a pretty good shot To get at least as far as their old man got But something happened on the way to that place They threw an American flag in our face  Well I'm living here in Allentown And it's hard to keep a good man down But I won't be getting up today  And it's getting very hard to stay And we're living here in Allentown,0.7385,2,8,0,4,9,5,13,3,4,14
6,/songs/210025,Billy Joel,All for Leyna,https://genius.com/Billy-joel-all-for-leyna-lyrics,http://api.genius.com/songs/210025,Glass Houses,1980-03-10,"She stood on the tracks Waving her arms Leading me to that third rail, SHOCK Quick as a wink She changed her mind  She gave me a night That's all it was What will it take until I STOP Kidding myself, wasting my time, whoa  There's nothing else I can do 'cause I'm doing it all for Leyna I don't want anyone new 'cause I'm living it all for Leyna There's nothing in it for you 'cause I'm giving it all to Leyna  We laid on the beach Watching the tide She didn't tell me there were, ROCKS Under the waves Right off the shore  Washed up on the sand Barely alive Wishing the undertow would, STOP How can a man take anymore, whoa  There's nothing else I can do 'cause I'm doing it all for Leyna I don't want anyone new 'cause I'm living it all for Leyna There's nothing in it for you 'cause I'm giving it all to Leyna  I'm failing in school Losing my friends Making my family lose their minds I don't want to eat I don't want to sleep I only want Leyna, one more time  Now, I'm in my room Watching the tube Telling myself, she still may, DROP Over to say, she's changed her mind  So, I wait in the dark Listening for her Instead of hearing my old man saying, STOP Kidding yourself, wasting your time  There's nothing else I can do 'cause I'm doing it all for Leyna I don't want anyone new 'cause I'm living it all for Leyna There's nothing in it for you 'cause I'm giving it all to Leyna  All For Leyna  All For Leyna  All For Leyna  All For Leyna  All For Leyna  All For Leyna",-0.9457,5,8,3,6,3,9,12,6,2,9
7,/songs/1054480,Billy Joel,All Shook Up,https://genius.com/Billy-joel-all-shook-up-lyrics,http://api.genius.com/songs/1054480,Honeymoon in Vegas (Music From the Original Motion Picture Soundtrack),1992-08-11,"Well I bless my soul, what's wrong with me? I'm itching like a man on a fuzzy tree My friends say I'm actin' queer as a bug I'm in love, I'm all shook up Mm mm mmmmm,yay yay, yeah!  Well my hands are shaky and my knees are weak I can't seem to stand on my own two feet Now, who do you thank when you have such luck? I'm in love, I'm all shook up Mm mm, mmmm ,yay, yay, yeah!  Well please don't ask me what's on my mind I'm a little mixed up, but I'm feelin' fine When I'm near that girl that I love best My heart beats so that it scares me to death  She touched my hand what a chill I got Her kisses are like a volcano that's hot I'm proud to say she's my buttercup I'm in love, I'm all shook up Uh-huh, uh, yay, yay , yeah!  Well my tongue gets tied when I try to speak My insides shaken like a leaf on a tree There's only one cure for this soul of mine That's to have the girl that I love so fine  She touched my hand what a chill I got Her kisses are like a volcano that's hot I'm proud to say that she's my buttercup I'm in love, I'm all shook up Uh-huh, uhh, hey, yeah  Uh-huh, uhh, hey Uh-huh, oh, hey I'm all shook up",0.9983,7,11,4,6,15,9,16,1,9,7
8,/songs/377197,Billy Joel,All You Wanna Do Is Dance,https://genius.com/Billy-joel-all-you-wanna-do-is-dance-lyrics,http://api.genius.com/songs/377197,Turnstiles,1976-05-19,"Oh baby, you don't get turned on by the radio Oh baby, you got nothing to play on your stereo ""Why don't the Beatles get back together?"" ""Why don't nobody sing of romance?""- Oh baby, all you wanna do is dance  Oh baby, I think you are lost in the seventies Oh baby, ""The music she ain't what she used to be."" You don't understand what they're saying You've given it every chance Oh baby, all you wanna do is dance  Well you wish you were back in the good old days When tomatoes were cheaper And you never heard the words of your favorite songs Through a three inch speaker And you never messed around with dangerous drugs You were all getting sick on beer- And you didn't get any (unless you went steady and made out for a year)  Well you can hide away honey, in your rock and roll dreams You can stand by your blue suede shoes- But the party is over And I'm getting tired of waiting for you  Oh baby, ""Where are the oldies they used to play?"" Oh baby, you want to crawl back into yesterday You don't want to deal with the future You don't want to make any plans- Oh baby, all you wanna do is dance",0.6848,0,5,2,3,19,5,29,6,5,16
9,/songs/343439,Billy Joel,A Matter Of Trust,https://genius.com/Billy-joel-a-matter-of-trust-lyrics,http://api.genius.com/songs/343439,The Bridge,1986-07-26,"One, Two, One, Two, Three, Four...   Some love is just a lie of the heart The cold remains of what began with a passionate start And they may not want it to end But it will, it's just a question of when  I've lived long enough to have learned The closer you get to the fire the more you get burned But that won't happen to us Because it's always been a matter of trust  I know you're an emotional girl It took a lot for you to not lose your faith in this world I can't offer you proof But you're gonna face a moment of truth  It's hard when you're always afraid You just recover when another belief is betrayed So break my heart if you must It's a matter of trust  You can't go the distance With too much resistance I know you have doubts But for God's sake don't shut me out  This time you've got nothing to lose You can take it, you can leave it, whatever you choose I won't hold back anything And I'll walk away a fool or a king  Some love is just a lie of the mind It's make believe until it's only a matter of time And some might have learned to adjust But then it never was a matter of trust  I'm sure you're aware love We've both had our share of Believing too long When the whole situation was wrong  Some love is just a lie of the soul A constant battle for the ultimate state of control After you've heard lie upon lie There can hardly be a question of why   Some love is just a lie of the heart The cold remains of what began with a passionate start But that can't happen to us Because it's always been a matter of trust It's a matter of trust It's always been a matter of trust It's a matter of trust",0.9954,10,14,11,8,10,19,20,11,4,20
