,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/200681,Bob Dylan,"10,000 Men",https://genius.com/Bob-dylan-10000-men-lyrics,http://api.genius.com/songs/200681,Under The Red Sky,1990-09-10," Ten thousand men on a hill Ten thousand men on a hill Some of ’m going’ down, some of ’m gonna get killed   Ten thousand men dressed in Oxford blue Ten thousand men dressed in Oxford blue Drumming in the morning, in the evening they’ll be coming for you   Ten thousand men on the move Ten thousand men on the move None of them doing nothin’ that your mama wouldn’t disapprove   Ten thousand men digging for silver and gold Ten thousand men digging for silver and gold All clean shaven, all coming in from the cold   Hey! Who could your lover be? Hey! Who could your lover be? Let me eat off his head so you can really see!   Ten thousand women all dressed in white Ten thousand women all dressed in white Standing at my window wishing me Goodnight   Ten thousand men looking so lean and frail Ten thousand men looking so lean and frail Each one of ’m got seven wives, each one of ’m just out of jail   Ten thousand women all sweepin’ my room Ten thousand women all sweepin’ my room Spilling my buttermilk, sweeping it up with a broom   Ooh, baby, thank you for my tea! Baby, thank you for my tea! It’s so sweet of you to be so nice to me",0.967,1,7,1,2,8,3,12,4,1,6
1,/songs/200682,Bob Dylan,2 X 2,https://genius.com/Bob-dylan-2-x-2-lyrics,http://api.genius.com/songs/200682,Under The Red Sky,1990-09-10," One by one, they followed the sun One by one, until there were none Two by two, to their lovers they flew Two by two, into the foggy dew Three by three, they danced on the sea Four by four, they danced on the shore Five by five, they tried to survive Six by six, they were playing with tricks   How many paths did they try and fail? How many of their brothers and sisters lingered in jail? How much poison did they inhale? How many black cats crossed their trail?   Seven by seven, they headed for heaven Eight by eight, they got to the gate Nine by nine, they drank the wine Ten by ten, they drank it again   How many tomorrows have they given away? How many compared to yesterday? How many more without any reward? How many more can they afford?   Two by two, they stepped into the ark Two by two, they step in the dark Three by three, they’re turning the key Four by four, they turn it some more   One by one, they follow the sun Two by two, to another rendezvous",-0.6395,1,5,1,2,4,4,8,4,4,6
2,/songs/1686914,Bob Dylan,32-20 Blues,https://genius.com/Bob-dylan-32-20-blues-lyrics,http://api.genius.com/songs/1686914,"The Bootleg Series, Vol 8: Tell Tale Signs",2008-10-06," When I send for my baby, man, and she don't come Send for my baby, man, and she don't come All the doctors in Hot Springs sure ain't gonna help her none If she gets unruly, thinks she don't want you If she gets unruly and thinks she don't want you Take my 32-20 now and break her half in two She got a .38 special, but I believe it's much too light She got a .38 special, but I believe it's much too light I got a 32-30, makes the camp all right   If I send for my baby, man, and she don't come Send for my baby, man, and she don't come All the doctors in Hot Springs sure ain't gonna help her none Gonna shoot my pistol, shoot my Gatling gun Gonna shoot my pistol, got to shoot my Gatling gun You made me love you, now your man has come Aw baby, where'd you stay last night? Aw baby, where'd you stay last night? You got your hair all tangled and you ain't talking right Her .38 special, boys, it do very well Her .38 special, boys, it do very well I got a 32-20 now it's a burning hell   If I send for my baby, man, and she don't come Send for my baby, man, and she don't come All the doctors in, sure ain't gonna help her none Hey hey baby, where'd you stay last night? Hey hey baby, where'd you stay last night? Didn't come home till the sun was shining bright Oh boys, I just can't take my rest Oh boys, I just can't take my rest With this 32-20 laying up and down my breast",0.9772,11,2,7,9,17,16,30,1,2,12
3,/songs/1994655,Bob Dylan,900 Miles from My Home,https://genius.com/Bob-dylan-900-miles-from-my-home-lyrics,http://api.genius.com/songs/1994655,None,2015-02-09,But I'm down here on this track Not a shirt upon my back I will sell to you this island that I own Yes I feed the mouths I took But as down winds on the brook Lord I'm 900 miles from my home  If my old lady she says so I'll railroad no more Sidetrack this engine but I still roam Yes I've given in my call I've gladly given it all 'Cause I'm 900 miles from my home  If I get down by the bank And the river still does run Yes and everything I see turns to foam Even down on the ocean side No she don't wade in just to bang my pride 'Cause I'm 900 miles from my home  Oh Mary don't you moan Don't you weep on the ground Oh Mary don't you weep and don't you moan If I get myself in line I will be there in due time 'Cause I'm 900 miles from my home,0.969,1,2,2,3,1,4,7,5,2,8
4,/songs/118651,Bob Dylan,Abandoned Love,https://genius.com/Bob-dylan-abandoned-love-lyrics,http://api.genius.com/songs/118651,Biograph,2015-11-06," I can see the turning of the key I’ve been deceived by the clown inside of me I thought that he was righteous but he’s vain Oh, something’s a-telling me I wear the ball and chain   My patron saint is a-fighting with a ghost He’s always off somewhere when I need him most The Spanish moon is rising on the hill But my heart is a-tellin’ me I love ya still   I come back to the town from the flaming moon I see you in the streets, I begin to swoon I love to see you dress before the mirror Won’t you let me in your room one time ’fore I finally disappear?   Everybody’s wearing a disguise To hide what they’ve got left behind their eyes But me, I can’t cover what I am Wherever the children go I’ll follow them   I march in the parade of liberty But as long as I love you I’m not free How long must I suffer such abuse Won’t you let me see you smile one time before I turn you loose?   I’ve given up the game, I’ve got to leave The pot of gold is only make-believe The treasure can’t be found by men who search Whose gods are dead and whose queens are in the church   We sat in an empty theater and we kissed I asked ya please to cross me off-a your list My head tells me it’s time to make a change But my heart is telling me I love ya but you’re strange   One more time at midnight, near the wall Take off your heavy makeup and your shawl Won’t you descend from the throne, from where you sit? Let me feel your love one more time before I abandon it",0.6238,4,18,2,9,17,9,23,4,7,12
5,/songs/105773,Bob Dylan,Absolutely Sweet Marie,https://genius.com/Bob-dylan-absolutely-sweet-marie-lyrics,http://api.genius.com/songs/105773,Blonde On Blonde,1966-05-16,"Well, your railroad gate, you know I just can’t jump it Sometimes it gets so hard, you see I just sitting here beating on my trumpet With all these promises you left for me But where are you tonight, sweet Marie?  Well, I waited for you when I was half sick Yes, I waited for you when you hated me Well, I waited for you inside of the frozen traffic Yeah, when you knew I had some other place to be Now, where are you tonight, sweet Marie?  Well, anybody can be just like me, obviously But then, now again, not too many can be like you, fortunately  Well, six white horses that you did promise Were finally delivered down to the penitentiary But to live outside the law, you must be honest I know you always say that you agree Alright so where are you tonight, sweet Marie?  Well, I don’t know how it happened But the riverboat captain, he knows my fate But everybody else, even yourself They’re just gonna have to wait  Well, I got the fever down in my pockets The Persian drunkard, he follows me Yes, I can take him to your house but I can’t unlock it You see, you forgot to leave me with the key Oh, where are you tonight, sweet Marie?  Well, I been in jail when all the mail showed That a man can’t give his address out to bad company And now I stand here lookin’ at your yellow railroad In the ruins of your balcony Wondering where you are tonight, sweet Marie",0.9931,4,10,4,6,11,10,14,7,7,14
6,/songs/1534549,Bob Dylan,Acne,https://genius.com/Bob-dylan-acne-lyrics,http://api.genius.com/songs/1534549,None,2015-02-09,Doo wha. doo wha Doo doo doo wha x7 wahhhh! S'posed to do wha? mhmm Doo doo wha x11 Doo wha!? You said you'd ask me You said you'd ask me You said you'd ask me To the senior prom! (say somethin') Found out i had acne Now you won't ask me 'cuz i have acne To the senior prom Woooooohh!! Doo doo doo wha x5 Doo doo doo whaaaaaa? Mhmm Doo wha? x3 Get me a shotgun .22 rifle (doo wha!) Dooo whhaa!! I got it for my birthday I'll kill my parents Cuz they don't understand They don't dig a teenager at all Wooh! Dooooo wha wha wha wha wha wha wha,-0.8329,1,1,0,2,2,2,4,1,1,3
7,/songs/199634,Bob Dylan,A Fool Such As I,https://genius.com/Bob-dylan-a-fool-such-as-i-lyrics,http://api.genius.com/songs/199634,Dylan 1973,1973-11-19," Now and then there's a fool such as I Pardon me if I'm sentimental, came to say goodbye Don't be angry, don't be angry with me, should I cry When you are gone, I will dream a little dream as years go by Now and then there is a fool, a fool such as I   Now and then there's a fool such as I am over you You taught me how to love and now you happened to be untrue I am a fool but I love you, dear, yes I will until the day I die Now and then there is a fool, a fool such as I   Pardon me if I'm sentimental, came to say goodbye Don't be angry, don't be angry with me, should I cry When you are gone, when you are gone, I will dream a little I will dream as years go by Now and then, now and then there is a fool, a fool such as I   Now and then there's a fool, a fool such as I am over you You taught me how to love and now you say that we are through I am a fool, yes, but I love you dear, I will love you dear Till the day, till the day I die Now and then, now and then there is a fool, a fool such as I Now and then there is a fool, a fool such as I Now and then there is a fool, a fool such as I",-0.8805,4,0,22,2,5,27,16,4,0,6
8,/songs/105186,Bob Dylan,A Hard Rain's a-Gonna Fall,https://genius.com/Bob-dylan-a-hard-rains-a-gonna-fall-lyrics,http://api.genius.com/songs/105186,The Freewheelin' Bob Dylan,1963-05-27," Oh, where have you been, my blue-eyed son? And where have you been, my darling young one? I’ve stumbled on the side of twelve misty mountains I’ve walked and I’ve crawled on six crooked highways I’ve stepped in the middle of seven sad forests I’ve been out in front of a dozen dead oceans I’ve been ten thousand miles in the mouth of a graveyard   And it’s a hard, and it’s a hard, it’s a hard, it’s a hard It’s a hard rain’s a-going to fall   Oh, what did you see, my blue-eyed son? And what did you see, my darling young one? I saw a newborn baby with wild wolves all around it I saw a highway of diamonds with nobody on it I saw a black branch with blood that kept dripping I saw a room full of men with their hammers a-bleeding I saw a white ladder all covered with water I saw ten-thousand talkers whose tongues were all broken I saw guns and sharp swords in the hands of young children   And it’s a hard, it’s a hard, it’s a hard, and it’s a hard It’s a hard rain’s a-going to fall   And what did you hear, my blue-eyed son? And what did you hear, my darling young one? I heard the sound of a thunder that roared out a warning I heard the roar of a wave that could drown the whole world I heard one hundred drummers whose hands were a-blazing I heard ten-thousand whispering and nobody listening I heard one person starve, I heard many people laughing I heard the song of a poet who died in the gutter I heard the sound of a clown who cried in the alley   And it’s a hard, it’s a hard, it’s a hard, it’s a hard It’s a hard rain’s a-going to fall   Oh, what did you meet, my blue-eyed son? And who did you meet, my darling young one? I met a young child beside a dead pony I met a white man who walked a black dog I met a young woman, her body was burning I met a young girl, she gave me a rainbow I met one man who was wounded in love I met another man who was wounded in hatred   And it’s a hard, it’s a hard, it’s a hard, it’s a hard It’s a hard rain’s a-going to fall   And what will you do now, my blue-eyed son? And what will you do now, my darling young one? I’m a-going back out ’fore the rain starts a-falling I’ll walk to the depths of the deepest dark forest Where the people are many and their hands are all empty Where the pellets of poison are flooding their waters Where the home in the valley meets the damp dirty prison And the executioner’s face is always well hidden Where hunger is ugly, where the souls are forgotten Where black is the color, where none is the number And I’ll tell it, and speak it, and think it, and breathe it And reflect from the mountain so all souls can see it Then I’ll stand on the ocean until I start sinking But I’ll know my song well before I start singing   And it’s a hard, it’s a hard, it’s a hard, and it’s a hard It’s a hard rain’s a-going to fall",-0.9699,6,19,6,10,23,22,26,23,12,8
9,/songs/201810,Bob Dylan,Ain't Gonna Grieve,https://genius.com/Bob-dylan-aint-gonna-grieve-lyrics,http://api.genius.com/songs/201810,"The Bootleg Series, Vol 9: The Witmark Demos: 1962-1964",2010-10-19," Well, I ain’t a-gonna grieve no more, no more Ain’t a-gonna grieve no more, no more Ain’t a-gonna grieve no more, no more And ain’t a-gonna grieve no more   Come on brothers, join the band Come on sisters, clap your hands Tell everybody that’s in the land You ain’t a-gonna grieve no more   Brown and blue and white and black All one color on the one-way track We got this far and ain’t a-goin’ back And I ain’t a-gonna grieve no more   We’re gonna notify your next of kin You’re gonna raise the roof until the house falls in If you get knocked down get up again We ain’t a-gonna grieve no more   We’ll sing this song all night long Sing it to my baby from midnight on She’ll sing it to you when I’m dead and gone Ain’t a-gonna grieve no more  ",-0.9899,0,7,0,8,6,10,9,14,0,6
