,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/417958,Bon Jovi,99 In The Shade,https://genius.com/Bon-jovi-99-in-the-shade-lyrics,http://api.genius.com/songs/417958,New Jersey,1988-09-19," I feel I'm burning up with fever But the fire's feeling really good tonight And it's alright I'm going to see Sahara Jack and Suntan Sally Somebody tells me even Tommy's coming down tonight If Gina says it's alright I'm going to see those Senoritas Lying under the sun They're greasing it up With the stereos on You know I want to be their blanket Going to tell every girl Hey, baby... You're the one   Oh tell the boys I'm on my way I got the radio blasting in my old man's Chevrolet I got a party in my pocket because you know I just got paid And I'm feeling fine, it's 99 in the shade I'm feeling fine, it's 99 in the shade   When the sun goes down that's when the street heats up Senorita Margarita fills your empty cup tonight She make you feel alright A good time here don't cost much money Just a little sweet talking and a pretty native honey And you're set for life Or one hell of a night I'm going see those sons of beaches Out there living it up the surf And the sand Man that life ain't so tough So get me in the action so I can tell Every girl she's the one   Oh tell the boys I'm on my way I got the radio blasting in my old man's Chevrolet I got a party in my pocket cause you know I just got paid And I'm feeling fine, it's 99 in the shade I'm feeling fine, it's 99 in the shade",0.9848,8,14,9,8,14,10,18,7,12,15
1,/songs/1035923,Bon Jovi,Ain't No Cure For Love,https://genius.com/Bon-jovi-aint-no-cure-for-love-lyrics,http://api.genius.com/songs/1035923,None,2017-09-01,"Ain’t no cure for love Ain’t no cure for love There ain’t no cure for love Ain’t no cure  Cupid was a blind man He must have missed his mark Shot an arrow in the air and hit me in the heart I went to see Saint Valentine Said ""What’s come over me""? Daddy must have missed the chapter about the birds and bees You can be the King of diamonds You can cash in all your gold You could hire Johnnie Cochran It’s too late to save your soul  Don’t need no shot, no ambulance Don’t need prescription drugs There ain’t no cure for love They can find the cure for the common cold When the pushing comes to shove There ain’t no cure for love  Now someone call my lawyer I’m going to see my shrink I found myself in the jewelry store buying a diamond ring I went to see my doctor Said ""Won’t you help me please""? He said ""Son I’m sorry, it’s a terminal disease"" Can’t get no love insurance Cupid draws his bow I ain’t waving boys, I’m drowning It’s a damn good way to go  Don’t need no shot, no ambulance Don’t need prescription drugs There ain’t no cure for love They can find the cure for the common cold When the pushing comes to shove There ain’t no cure for love  You can be the King of Diamonds You can cash in all your gold You can hire Johnnie Cochran It’s too late to save your soul  Don’t need no shot, no ambulance Don’t need prescription drugs There ain’t no cure for love They can find the cure for the common cold When the pushing comes to shove There ain’t no cure for love  No aspirin No ambulance Or Voodoo you can think up Ain’t no cure for love  Ain’t’ no cure for love Ain’t no cure for love Ain’t no cure for love  There ain’t no cure for love Ain’t no cure for love Ain’t no cure for love",0.9898,14,7,4,15,29,21,41,9,6,20
2,/songs/418620,Bon Jovi,All About Loving You,https://genius.com/Bon-jovi-all-about-loving-you-lyrics,http://api.genius.com/songs/418620,This Left Feels Right,2003-05-02," Looking at the pages of my life Faded memories of me and you Mistakes you know I've made a few I took some shots and fell from time to time Baby, you were there to pull me through We've been around the block a time or two I'm going to lay it on the line Ask me how we've come this far The answer's written in my eyes   Every time I look at you, baby, I see something new That takes me higher than before and makes me want you more I don't want to sleep tonight, dreaming's just a waste of time When I look at what my life's been coming to I'm all about loving you   I've lived, I've loved, I've lost, I've paid some dues, baby We've been to hell and back again Through it all you're always my best friend For all the words I didn't say and all the things I didn't do Tonight I'm going to find a way   You can take this world away You're everything I am Just read the lines upon my face I'm all about loving you     All about loving you",0.8885,2,6,2,2,7,6,10,5,1,6
3,/songs/1076059,Bon Jovi,All About Lovin' You,https://genius.com/Bon-jovi-all-about-lovin-you-lyrics,http://api.genius.com/songs/1076059,Bounce,2002-10-08," Looking at the pages of my life Faded memories of me and you Mistakes you know I've made a few I took some shots and fell from time to time Baby, you were there to pull me through We've been around the block a time or two I'm going to lay it on the line Ask me how we've come this far The answer's written in my eyes   Every time I look at you, baby, I see something new That takes me higher than before and makes me want you more I don't want to sleep tonight, dreaming's just a waste of time When I look at what my life's been coming to I'm all about loving you   I've lived, I've loved, I've lost, I've paid some dues, baby We've been to hell and back again Through it all you're always my best friend For all the words I didn't say and all the things I didn't do Tonight I'm going to find a way   You can take this world away You're everything I am Just read the lines upon my face I'm all about loving you     All about loving you",0.8885,2,6,2,2,7,6,10,5,1,6
4,/songs/2900973,Bon Jovi,All Hail the King,https://genius.com/Bon-jovi-all-hail-the-king-lyrics,http://api.genius.com/songs/2900973,This House Is Not for Sale,2016-11-04," Heavy is the head that wears the crown All the people came to hear him speak from miles around They hung on every word, a song in every sound Heavy is the head that wears the crown  He touched the sky to light up all the stars He could snap his fingers and catch lightning in a jar I am you and you are me, we are who we are Touch the sky and light up all the stars   All hail the king whose castle's falling down The paper prince who wears a cardboard crown Poor man has his money, rich man has his gold All hail the king whose fortune is his Soul, soul, soul   He climbed the clouds to Heaven's highest hill When you get that high the earth below looks just like a blue pill Gave wind to all his horses, and to all his men good will When he climbed down from Heaven's highest hill   All hail the king, whose castle's falling down The paper prince who wears a cardboard crown Poor man has his money, rich man has his gold All hail the king whose fortune is his Soul, soul, soul   He breathed his last, they laid him in the ground False prophets spoke of riches and said all hail to us now The faithful wouldn't listen and they never would bow down He breathed his last, they laid him in the ground   All hail the king whose castle's falling down The paper prince who wears a cardboard crown Poor man has his money, rich man has his gold All hail the king whose fortune is his Soul, soul Soul, soul Soul, soul Soul",0.926,4,12,0,3,11,19,36,4,11,28
5,/songs/419207,Bon Jovi,All I Wanna Do Is You,https://genius.com/Bon-jovi-all-i-wanna-do-is-you-lyrics,http://api.genius.com/songs/419207,"100,000,000 Bon Jovi Fans  Can't Be Wrong",2004-11-16," Working hard eight days a week Most days we got no time to speak I feel like I'm chasing after my own life Girl can't you see you're my only vice Take the phone off the hook Turn the lights down low We'll play some old Sam Cooke Baby, let yourself go   All I want to do is you All I want to do is you I'll do anything you want me to All I want to do is you   I don't care what kinda clothes you wear It doesn't matter how you do your hair I don't need no champagne on ice Girl, can't you see that you're my only vice Turn the whole world off Keep your high heels on Take it nice and slow And make it last until dawn   I don't want to eat I don't want to sleep Don't want to sit around and watch TV When you're next to me it's where I want to be All I want to, all I want to, all I want to do[?] All I want to do is you All I want to do is you I'll do anything you want me to All I want to do is you",0.5733,0,3,0,1,2,4,9,0,1,7
6,/songs/418452,Bon Jovi,All I Want Is Everything,https://genius.com/Bon-jovi-all-i-want-is-everything-lyrics,http://api.genius.com/songs/418452,These Days,1995-06-27," Some 15 year old kid sits on his porch, just half-past noon Trying to figure out just what he's doing Why he had to grow up so soon With all the gangs, all the guns-watcha gonna learn in school There's got to be some way out of here He says ""man, this life is cruel"" I knew this puerto rican girl who lied to change her life She changed her name Her face because the grass looked greener on the other side She turned her back, she ran away straight into the night Her friends, her family feel the pain, but she's the one who cries   Tell me what you want Tell me what you need I want everything   I've had enough of having nothing, i won't take just anything I got my mind set on something, all i want is everything It's my life mr. - i ain't running, i'm no puppet on a string I want more than i see coming All i want is everything All i want is everything   My next door neighbor donnie Died in his room just the other day His brother come home Found him dead on the floor with a needle in his vain Cops come down with a body bag They said donnie was a casually I said, all it's about is the boy checked out He couldn't handle reality  ",-0.942,3,3,2,6,3,6,7,3,0,7
7,/songs/418349,Bon Jovi,Always,https://genius.com/Bon-jovi-always-lyrics,http://api.genius.com/songs/418349,Cross Road,1994-10-11," This romeo is bleeding But you can't see his blood It's nothing but some feelings That this old dog kicked up It's been raining since you left me Now I'm drowning in the flood You see I've always been a fighter But without you I give up Now I can't sing a love song Like the way it's meant to be Well, I guess I'm not that good anymore But baby, that's just me   And I will love you, baby, always And I'll be there forever and a day, always I'll be there till the stars don't shine Till the heavens burst and The words don't rhyme And I know when I die, you'll be on my mind And I'll love you, always   Now your pictures that you left behind Are just memories of a different life Some that made us laugh, some that made us cry One that made you have to say goodbye What I'd give to run my fingers through your hair To touch your lips, to hold you near When you say your prayers try to understand I've made mistakes, I'm just a man When he holds you close, when he pulls you near When he says the words you've been needing to hear I'll wish I was him cause those words are mine To say to you till the end of time   Yeah, I will love you baby, always And I'll be there forever and a day, always   If you told me to cry for you I could If you told me to die for you I would Take a look at my face There's no price I won't pay To say these words to you  Well, there ain't no luck In these loaded dice But baby if you give me just one more try We can pack up our old dreams And our old lives We'll find a place where the sun still shines   And I will love you, baby, always And I'll be there forever and a day, always I'll be there till the stars don't shine Till the heavens burst and The words don't rhyme And I know when I die, you'll be on my mind And I'll love you, always",-0.9906,1,9,2,6,20,8,33,9,6,16
8,/songs/417897,Bon Jovi,Always Run To You,https://genius.com/Bon-jovi-always-run-to-you-lyrics,http://api.genius.com/songs/417897,7800° Fahrenheit,1985-03-27," The clock strikes ten Out on the streets again I been looking for something to please me since I don't know when Out on the dark side of town Another rumble's gone down And life on the high side isn't what this boy's about She's got something I want man, it's something I need It takes more than the night to satisfy me   I stand accused I can always run to you Any road that you choose I can always run to you I stand accused I can always run to you I run to you Baby, I can always run   To a heart of chrome And a soul of steel We've done more white lines than you'll know any one we could steal And when I give her the gun You know she feels so right And we don't let go when we're alone when I'm holding her so tight She's got something I want man, it's something I need It takes more than the night to satisfy me   And when the morning comes and I go to sleep When I close my eyes she's waiting for me I know that tonight she'll satisfy me  ",-0.1531,5,2,1,4,2,6,4,2,0,3
9,/songs/418911,Bon Jovi,Amen,https://genius.com/Bon-jovi-amen-lyrics,http://api.genius.com/songs/418911,What About Now,2013-03-08," Last night I had a dream The dream I had was true I fell through the stars When walking on the moon Burned like a thousand candles in her arms  Her skin under my finger tips The honeysuckle on her lips Sweeter than a man deserves to taste   Mercy, mercy, what else can I say? But amen, amen, amen   Last night we were born together It was like we’d always been She’ll be with me forever If I don’t see her again We poured the wine until our cup ran over  Unfolding like a mystery Inside of her like poetry A thousand horses running through my veins   I laid down in her garden Naked on her floor Windows up, the curtains blowing She don’t lock the door   At the banquet table A beggar at a feast I felt her tongue between my lips And I forgot to breath We stayed there ‘til the candles burned the carpet  Last night I had a dream The dream I had was true  ",0.9738,0,3,0,0,8,2,12,2,1,9
10,/songs/419236,Bon Jovi,Another Reason To Believe,https://genius.com/Bon-jovi-another-reason-to-believe-lyrics,http://api.genius.com/songs/419236,"100,000,000 Bon Jovi Fans  Can't Be Wrong",2002-08-17," Love lives in New York City He got a place off of the park Heard he was standing in the ruins And in his hands a broken heart He called an army of his angels I heard they had to hide their wings It was them who brought you water If you listen closely I know you can hear The choir singing   Hey, hallelujah, baby Rise Up Hold out your hands and reach out Higher Get up on your feet Rise Up Let it flow though you, baby Run it through your veins Like a healing rain Everywhere you'll see Another reason to believe   I saw him down south of Canal Street Right there in a mother's eyes At a table in a restaurant window In a taxi passing by Love went running up the stairwell When the sky came falling down It was him in a newborn baby's cry He was there to make that sound That keeps this whole world spinning around   It's different than it was before Now we need it even more Fire's falling from the sky Innocence just said goodbye It may never be the same Maybe it was time to change A time to grieve A time to cry A time to live A time to fly",0.2263,1,8,0,6,9,8,15,8,1,4
11,/songs/418797,Bon Jovi,Any Other Day,https://genius.com/Bon-jovi-any-other-day-lyrics,http://api.genius.com/songs/418797,Lost Highway,2007-06-19," Alarm clock rings, it's 6:45 Must have hit that snooze button least 3 times Wishing this morning was still last night On any other day, just might wanna die  Traffics backed up 20 miles to the east Must have hit every damn red light on the street Weatherman says ""It's gonna rain for a week Hey, what can you do?   On any other day, I'd be blue eyes crying I could tell the world, 'At least I'm trying The clouds are breaking The sun is shining new for me and you   On any other day, I would just go crazy The grace is knowing that you're gonna save me Baby luck and love Will pull us through? On any other day Yeah, Yeah   On any other day, I might just stay in bed Sit down in a sea of blankets Pull them up over my head Get your papers in the morning  Just to get a little edge  Then maybe just give up in time to do it all again Hey, I like where this is going Yeah, 'cause I know where it's been   Alarm clock rings, it's 6:45 I like waking up with you on my mind Knowing that you're saving me One more time  ",0.8504,4,8,1,4,6,8,12,4,4,3
12,/songs/418928,Bon Jovi,Army Of One,https://genius.com/Bon-jovi-army-of-one-lyrics,http://api.genius.com/songs/418928,What About Now,2013-03-08," I’m in this war But got no gun Still standing strong An army of one So sign me up I’m a soldier  I’ve got a voice It’s all I need A beating heart inside of me I’m an army of one I’m a soldier  These eyes hold no disguise We’re fighting for our lives We’re all trying to get back home tonight   Never give up Never give up Never Never give up Never let up Ever Never give in You’re an army of one  Never give up Never give up Never Never forget Where you’re from Never give up You’re an army of one   I can’t hurt but I still feel I know that life’s a battlefield When the times get tough I’m a soldier  And when it’s time to face the fight With just my shadow at my side I’m an army of one I’m a soldier   So don't apologize Defend, just be alive We’re all trying To get it right tonight  ",-0.9802,9,3,0,7,1,9,9,8,0,3
13,/songs/2290798,Bon Jovi,A Teardrop To the Sea,https://genius.com/Bon-jovi-a-teardrop-to-the-sea-lyrics,http://api.genius.com/songs/2290798,Burning Bridges,2015-08-21," So this is it, here it is A pot of gold, a Judas kiss I got what I wanted I paid every cost I'd give it all back To get back what I've lost Like a wave on the beach Last leaf on the tree It's all just a memory   Love pick me up I'm down on my knees My treasure just rags Wings that don't fly I ain't praying, I'm choking I'll fix what's been broken Got nothing to hide No time for goodbye Nobody grieves A Teardrop to the sea   They shake my hand Pat my back They know my drink Welcome back Life of the party Tears of a clown Can't hear a heartbreak The music's too loud   Love pick me up I'm down on my knees My treasure just rags Wings that don't fly I ain't praying, I'm choking I'll fix what's been broken Got nothing to hide No time for goodbye Nobody grieves A Teardrop to the sea   It's just broken glass Chalk lines on the street Move along, move along Ain't nothing here to see   Love pick me up I'm down on my knees My riches just rags Wings that don't fly I ain't praying, I'm choking I'll fix what's been broken Got nothing to hide No bitter goodbyes Oh love pick me up Oh love pick me up Nobody grieves A Teardrop to the sea",0.9869,5,7,1,7,12,8,23,9,3,6
14,/songs/417933,Bon Jovi,Bad Medicine,https://genius.com/Bon-jovi-bad-medicine-lyrics,http://api.genius.com/songs/417933,New Jersey,1988-09-03," Your love is like bad medicine Bad medicine is what I need Oh-oh-oh, shake it up, just like bad medicine There ain't no doctor that can cure my disease (Bad medicine)   I ain't got a fever got a permanent disease It'll take more than a doctor to prescribe a remedy I got lots of money but it isn't what I need Gonna take more than a shot to get this poison out of me And I got all the symptoms count them, one, two, three   First you need, that's what you get for falling in love Then you bleed, you get a little but it's never enough On your knees, that's what you get for falling in love And now this boy's addicted cause your kiss is the drug   Your love is like bad medicine Bad medicine is what I need Oh-oh-oh, shake it up, just like bad medicine There ain't no doctor that can cure my disease (Bad, bad medicine)   I don't need no needle to be giving me a thrill And I don't need no anesthesia or a nurse to bring a pill I got a dirty down addiction, it doesn't leave a track I got a jolt for your affection like a monkey on my back There ain't no paramedic gonna save this heart attack   When you need, that's what you get for falling in love Then you bleed, you get a little but it's never enough On your knees, that's what you get for falling in love Now I'm addicted and your kiss is the drug   Your love is like bad medicine Bad medicine is what I need Oh-oh-oh, shake it up, just like bad medicine So let's play doctor, baby, cure my disease (Bad, bad medicine) That's what I want (Bad, bad medicine) That's what I need   I need a respirator cause I'm running out of breath You're an all night generator wrapped is stockings and a dress When you find your medicine you take what you can get 'Cause if there's something better baby well they haven't found it yet   Your love is like bad medicine Bad medicine is what I need Oh-oh-oh, shake it up, just like bad medicine There ain't no doctor that can cure my disease Bad medicine Bad medicine is what I need Oh-oh-oh, shake it up, just like bad medicine Your love's the potion that can cure my disease (Bad, bad medicine)",0.6763,34,6,33,35,19,42,32,37,7,16
