,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/566353,Brad Paisley,4wp,https://genius.com/Brad-paisley-4wp-lyrics,http://api.genius.com/songs/566353,Moonshine in the Trunk,2014-08-25,"I've been waiting all week for Saturday night Now I'm picking my baby up She's pretty as a peach and sweeter than a cheek Full of cherry Skoal long cut  Ooh, man alive can't wait 'til it gets dark We're gonna take this 4-wheel drive And put it into 4-wheel park  I'm pulling in her drive, she's waiting outside Just standing on her front porch Good Lord, she's taken them tight blue jeans And cut 'em off into jorts  Ooh, man alive, be still my beating heart I'm about to take this 4-wheel drive And slam it into 4-wheel park  There's a holler I know down an old dirt road Where we can be all alone Gonna back it on in, turn the headlights off And see if I can turn her on  Now the mood's just right and the dashboard light We're steaming up my windows Her favorite singer's singing her favorite song on the radio ""Let's get a little mud on the tires""  I've got the defrost on and the steam vac on And we're heading down highway 10 Lord have mercy, she's a getting all flirty And kissing my neck again  Ooh, man alive, she's about to hit restart I'm about to put this 4-wheel drive Right back into 4-wheel park I'm about to take this 4-wheel drive And slam it into 4-wheel park",4,8,3,3,8,9,15,3,3,9,0.8979
1,1,/songs/138303,Brad Paisley,Accidental Racist,https://genius.com/Brad-paisley-accidental-racist-lyrics,http://api.genius.com/songs/138303,Wheelhouse,2013-04-09," To the man that waited on me at the Starbucks down on Main I hope you understand When I put on that t-shirt, the only thing I meant to say Is I'm a Skynyrd fan The red flag on my chest somehow is Like the elephant in the corner of the south And I just walked him right in the room Just a proud rebel son with an ol' can of worms Lookin' like I got a lot to learn, but from my point of view   I'm just a white man coming to you from the Southland Tryin' to understand what it's like not to be I'm proud of where I'm from but not everything we've done And it ain't like you and me can re-write history Our generation didn't start this nation We're still picking up the pieces, walking on eggshells, fighting over yesterday And caught between Southern pride and Southern blame   They called it Reconstruction, fixed the buildings, dried some tears We're still siftin' through the rubble after a hundred-fifty years I try to put myself in your shoes and that's a good place to begin But it ain't like I can walk a mile in someone else's skin   'Cause I'm a white man livin' in the southland Just like you I'm more than what you see I'm proud of where I'm from but not everything we've done And it ain't like you and me can re-write history Our generation didn't start this nation And we're still paying for our mistakes That a bunch of folks made long before we came And caught somewhere between southern pride and southern blame  [Verse 3: LL Cool J] Dear Mr. White Man, I wish you understood What the world is really like when you're living in the hood Just because my pants are sagging doesn't mean I'm up to no good You should try to get to know me, I really wish you would Now my chains are gold but I'm still misunderstood I wasn't there when Sherman's March turned the south into firewood I want you to get paid but be a slave I never could Feel like a new fangled Django, dodging invisible white hoods So when I see that white cowboy hat, I'm thinking it's not all good I guess we're both guilty of judging the cover not the book I'd love to buy you a beer, conversate and clear the air But I see that red flag and I think you wish I wasn't here  [Chorus: Brad Paisley (w/ LL Cool J ad libs)] I'm just a white man (If you don't judge my do-rag) Comin' to you from the southland (I won't judge your red flag) Tryin' to understand what it's like not to be (Yeah) I'm proud of where I'm from (If you don't judge my gold chains) But not everything we've done (I'll forget the iron chains) It ain't like you and me can re-write history (Can't re-write history baby)  [Verse 4: Brad Paisley (LL Cool J)] Oh, Dixieland (The relationship between the Mason-Dixon needs some fixin') I hope you understand what this is all about (Quite frankly I'm a black Yankee But I've been thinkin' about this lately) I'm a son of the new south (The past is the past, you feel me) And I just want to make things right (Let bygones be bygones) Where all that's left is southern pride (RIP Robert E. Lee But I've gotta thank Abraham Lincoln for freeing me Know what I mean?) It's real, it's real It's truth",8,21,4,5,21,13,39,5,7,25,0.9982
2,2,/songs/198268,Brad Paisley,Ain't Nothin' Like,https://genius.com/Brad-paisley-aint-nothin-like-lyrics,http://api.genius.com/songs/198268,Mud on the Tires,2003-07-22, I like kicking back on the sofa Flipping through the channels just to see what's on I enjoy eating eggs over easy Sopping up with a biscuit 'til the yellow's gone   Ain't nothing like watching a bunch of young’s Run screaming through the sprinkler in their little bare feet And ain't nothing like finding twenty dollars In the pocket of the britches that you wore last week   I get into getting out on my mower In the early morning hours 'fore the sun gets hot And I like going down to the Kroger When the carnival comes to the parking lot   Ain't nothing like throwing a hula popper Dragging it across a spot a big 'un ought to be And ain't nothing like having him for supper With some good hush puppies and some sweet iced tea   This old world holds all kinds of treasures And everyday it just keeps getting' better   Ain't nothing like finding that woman That you know you're going to love for the rest of your life And ain't nothing like knowing the Lord's a coming Back one day to make you want to do right  ,3,8,2,1,8,2,14,0,4,8,0.9887
3,3,/songs/198279,Brad Paisley,Alcohol,https://genius.com/Brad-paisley-alcohol-lyrics,http://api.genius.com/songs/198279,Time Well Wasted,2005-05-09," I can make anybody pretty I can make you believe any lie I can make you pick a fight With somebody twice your size I been known to cause a few break ups I been known to cause a few births I can make you new friends Or get you fired from work   And since the day I left Milwaukee Lynchburg and Bordeaux, France Been making the bars lots of big money And helping white people dance I got you in trouble in high school But college, now that was a ball You had some of the best times You'll never remember with me Alcohol Alcohol   I got blamed at your wedding reception For your best man's embarrassing speech And also for those Naked pictures of you at the beach I've influenced kings and world leaders I helped Hemmingway write like he did And I'll bet you a drink or two that I can make you Put that lampshade on your head   Cause since the day I left Milwaukee Lynchburg and Bordeaux France Been making a fool out of folks just like you And helping white people dance I'm medicine and I am poison I can help you up or make you fall You had some of the best times You'll never remember with me Alcohol Alcohol  ",4,7,3,3,9,6,12,3,2,10,0.9423
4,4,/songs/1951985,Brad Paisley,All in,https://genius.com/Brad-paisley-all-in-lyrics,http://api.genius.com/songs/1951985,None,2016-06-30,"My father fought a fires like his father before him I'm from a long line of those that go all in Yeah, I can still remember when that siren would scream They'd be out the door and flyin right to the scene  Without hesitation and the face of fear and doubt Every fighter long that draft about to burn down There's smoke and flames and everybody needs out They're all in  So baby if you wondering how I'm going to be When life lines up all around you and me I'ain't going nowhere I won't fight for us Suit me up Send me in I live with that rush  Without hesitation and the face of fear and doubt Every fighter long that draft about to burn down There's smoke and flames and everybody else is getting out I'm all in  Listen to me now  And so when everything is coming down around you Ooo... I ain't going anywhere This is what I do  So tonight in every city Every little town Were living full moment when that whistle sounds Next time you see a burning building Scorching up the night Just be glad your out now Imagine going inside  Without hesitation and the face of fear and doubt Every fighter long that draft about to burn down There's smoke and flames and everybody needs out I'm all in  Ooo...  Without hesitation and the face of fear and doubt Every fighter long that draft about to burn down There's smoke and flames and everybody needs out I'm all in",7,12,1,16,2,16,4,4,1,6,-0.9066
5,5,/songs/198342,Brad Paisley,All I Wanted Was A Car,https://genius.com/Brad-paisley-all-i-wanted-was-a-car-lyrics,http://api.genius.com/songs/198342,5th Gear,2007-06-19, My buddy Blake was all-state with dreams of the NFL Jenny McClain had big brains She got a scholarship to Yale And there was Hershel who did two commercials And he was going to be a movie star But all I wanted was a car All I wanted was a car   Had a part time job making chicken kebabs at the food court at the mall I hauled my uncle's trash I cut my neighbor's grass And I raked the leaves in the fall My parents they were stunned how this former lazy bum was suddenly working so hard  But all I wanted was a car All I wanted was a car   Yeah when I was sixteen all of my dreams revolved around one thing   All I wanted was a car All I wanted was a car  When I finally got that big hunk of steel Those four wheels underneath I went everywhere in it Broke the speed limit And I even broke in the backseat   Now when I look outside sitting in the drive It blows my mind to see an SUV and a sedan And two kids playing and I can't believe they all belong to me  When I caught my mama's eye in that thing I used to drive I never dreamed it would take me this far   All I wanted was a car Sixteen all of my dreams revolved around one thing All I wanted was a car All I wanted was a car All I wanted was a car,1,6,3,5,5,7,8,5,3,5,-0.5022
6,6,/songs/198358,Brad Paisley,A Man Don't Have To Die,https://genius.com/Brad-paisley-a-man-dont-have-to-die-lyrics,http://api.genius.com/songs/198358,This Is Country Music,2011-05-23," Well he yelled out from the back row look here preacher man We all know you're new here but you need to understand It don't really scare us when you yell and shake your fist You see we already know that hell exists   It's six months short of thirty years when the boss man lays you off No thanking you, no parachute, and no shiny new gold watch Its payments you can't make on a house that you can't sell See a man doesn't have to die to go to hell No you don't have to die to go to hell   So tell us bout them angels and how they fly around and sing Tell us how to get there because we all want to be Resting in the arms of Jesus no shame or pain or tears There's hell enough to go around down here   It's a place out by the airport where the girls dance just for you And all you feel is drunk and broke and lonely when they're through It's waking up with nothing but that stale tobacco smell See a man doesn't have to die to go to hell No you don't have to die to go to hell   Oooh oooh oooh, oooh oooh oooh Oooh oooh oooh, oooh oooh oooh   It's every other weekend and Wednesdays with your kid And knowing that he'll hate you when he finds out what you did Because you'd all still be together if you loved his momma well There is no end to the stories we could tell Yeah a man doesn't have to die to go to hell  So tell us bout them angels how they fly around and sing   Oooh oooh oooh, oooh oooh oooh Oooh oooh oooh, oooh oooh oooh Oooh oooh oooh, oooh oooh oooh Oooh oooh oooh, oooh oooh oooh",15,7,11,21,5,26,10,19,4,8,-0.9959
7,7,/songs/566359,Brad Paisley,American Flag on the Moon,https://genius.com/Brad-paisley-american-flag-on-the-moon-lyrics,http://api.genius.com/songs/566359,Moonshine in the Trunk,2014-08-25," How do we honor those who have fallen and died for this dream? I'm sure of one thing, it's not with gridlock or bickering We're the children of explorers, that came here from every corner The adventurers that settled this land We led the world, fought tyranny, touched the stars, brought liberty Let's do that again   Tonight I dare you to dream Go on, believe impossible things Whenever anybody says there's anything we can't do I mean, after all, there's an American flag on the moon   Outside the other night, you should have seen the moonlight It's enough to make you squint your eyes So my five year old had learned about The lunar landing and he walked out And started staring at the sky Stood there for a while, he got a great big smile And said, ""Dad, I think I can see it, can you?"" I bowed my head, closed my eyes and said ""Yeah, son, I think I do""   Tonight I dare you to dream Go on, believe impossible things Whenever anybody says there's anything we can't do Cause, after all, there's an American flag on the moon   Oh, in two hundred years Think about all that we've done so far I don't see any reason why tomorrow can't be ours   Tonight I dare you to dream Go on, believe impossible things Whenever anybody says there's anything we can't do Cause, after all, after all There's an American flag on the moon (On the moon)",1,7,1,1,4,7,9,4,2,8,0.9367
8,8,/songs/148925,Brad Paisley,American Saturday Night,https://genius.com/Brad-paisley-american-saturday-night-lyrics,http://api.genius.com/songs/148925,American Saturday Night,2009-06-30," (Whoa oh oh oh) (Whoa oh oh oh)   She's got Brazilian leather boots on the pedal of her German car Listening to The Beatles singing ""Back in the USSR"" Yeah, she's going around the world tonight But she ain't leaving here She's just going to meet her boyfriend Down at the street fair   And it's a French kiss, Italian ice Spanish moss in the moonlight (whoa oh oh oh) Just another American Saturday night   There's a big toga party tonight down at Delta Chi They got Canadian bacon on their pizza pie They got a cooler full of cold Coronas and Amstel Light It's like we're all living in a big old cup Just fire up the blender, mix it all up   It's a French kiss, Italian ice Margaritas in the moonlight (whoa oh oh oh) Just another American Saturday night   You know everywhere has something they're known for Although usually it washes up on our shores My great-great-great-granddaddy stepped off of that ship I bet he never ever dreamed we'd have all this   You know everywhere has something they're known for Although usually it washes up on our shores Little Italy and Chinatown sitting there side by side Live from New York (It's Saturday Night!)   It's a French kiss, Italian ice Spanish moss in the moonlight (whoa oh oh oh) Just another American, I'm just another American And it's just another American Saturday night",0,4,0,1,3,1,5,0,3,0,0.962
9,9,/songs/198347,Brad Paisley,Anything Like Me,https://genius.com/Brad-paisley-anything-like-me-lyrics,http://api.genius.com/songs/198347,American Saturday Night,2010-03-29," I remember saying I don't care either way Just as long as he or she is healthy I'm OK Then the doctor pointed to the corner of the screen And said "" you see that thing right there well you know what that means"" And I started wondering who he was going to be And I thought heaven help us if he's anything like me He'll probably climb a tree too tall and ride his bike too fast End up every summer wearing something in a cast He's going to throw a ball and break some glass in a window down the street   He's going to get in trouble oh he's going to get in fights I'm going to lose my temper and some sleep It safe to say that I'm going to get my payback if he's anything like me   I can see him right now knees all skinned up With a magnifying glass trying to melt a Tonka truck Won't he be a sight with his football helmet on That'll be his first love till his first love comes along He'll get his heart broke by the time he's in his teens And heaven help him if he's anything like me He'll probably stay out too late and drive his car too fast Get a speeding ticket he'll pay for mowing grass He's going to get caught skipping class and be grounded for a week   He's going to love me and hate me along the way Years are going to fly by I already dread the day He's going to hug his momma he's going to shake my hand He's going to act like he can't wait to leave But as he drives out he'll cry his eyes out If he's anything like me There's worse folks to be like Aw, he'll be alright If he's anything like me",5,8,3,8,8,12,12,8,4,7,0.9453
