,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/89663,Britney Spears,3,https://genius.com/Britney-spears-3-lyrics,http://api.genius.com/songs/89663,The Singles Collection,2009-10-02," 1, 2, 3 Not only you and me Got one eighty degrees, and I'm caught in between Counting, 1, 2, 3 Peter, Paul and Mary Getting down with 3P Everybody loves... ooh Counting 1, 2, 1, 1, 1, 2, 3 Counting 1, 2 Counting 1, 2, 3   Babe, pick a night to come out and play If it's alright What do you say? Merrier the more Triple fun that way Twister on the floor What do you say?   Are you in? Living in sin is the new thing Yeah, are you in? I am counting   1, 2, 3 Not only you and me Got one eighty degrees, and I'm caught in between Counting, 1, 2, 3 Peter, Paul and Mary Getting down with 3P Everybody loves... ooh Counting, 1, 2, 3 Peter, Paul and Mary Getting down with 3P Everybody loves... ooh   Three is a charm Two is not the same I don't see the harm So are you game? Let's make a team Make them say my name Loving the extreme Now are you game?   Are you in? Living in sin is the new thing Yeah, are you in? I am counting   1, 2, 3 Not only you and me Got one eighty degrees, and I'm caught in between Counting, 1, 2, 3 Peter, Paul and Mary Getting down with 3P Everybody loves... ooh Counting, 1, 2, 3 Peter, Paul and Mary Getting down with 3P Everybody loves... ooh   What we do is innocent Just for fun and nothing meant If you don't like the company Let's just do it, you and me You and me, or three Or four, on the floor   1, 2, 3 Not only you and me Got one eighty degrees, and I'm caught in between Counting, 1, 2, 3 Peter, Paul and Mary Getting down with 3P Everybody loves... ooh  Counting, 1, 2, 3 Not only you and me Got one eighty degrees, and I'm caught in between Counting, 1, 2, 3 Peter, Paul and Mary Getting down with 3P Everybody loves... ooh",0.9646,2,2,2,3,10,3,20,2,0,5
1,1,/songs/4227449,Britney Spears,911 (Nine One One),https://genius.com/Britney-spears-911-nine-one-one-lyrics,http://api.genius.com/songs/4227449,None,2018-06-21," 911 911   Do you taste it, do you feel what I feel I feel it coming, and it's oh so near You got me breathing like an animal I won't be satisfied until you're here (911)   Every little time you touch my thighs I wanna cry (oh, I wanna cry) Every little touch you take me deeper in my mind (oh, I'm going deeper) Every little thing you do I swear I'm on a ride (Oh) You got me hypnotized (hypnotized), you got me hypnotized (911)   911, I call you when I'm feeling lonely 911, baby boy come get right on me 911, put this fire out I'm burning up, up up 911   Do you know just what you do to me What I'm needing, oh it's criminal Close my eyes and you're undressing me One step further boy and we will be (911)   Every little time you touch my thighs I want to cry (oh, I wanna cry) Every little touch you take me deeper in my mind (oh, I'm going deeper) Every little thing you do I swear I'm on a ride (Oh) You got me hypnotized (hypnotized), you got me hypnotized (911, hypnotized)   911, I call you when I'm feeling lonely 911, baby boy come get right on me 911, put this fire out I'm burning up, up, up 911   Sexing in the attic When you felt so automatic Felt explosive when you had it When you cum all over me  Boy I made it rain Just when I squeezed and made it tight Just so relaxed, so don't you fight Just calm down, feel the freaking heat   911 911   Every little time you touch my thighs I want to cry (oh, I wanna cry) Every little touch you take me deeper in my mind (oh, I'm going deeper) Every little thing you do I swear I'm on a ride (Oh) You got me hypnotized (hypnotized), you got me hypnotized (911)   911, I call you when I'm feeling lonely 911, baby boy come get right on me 911, put this fire out I'm burning up, up up 911   911 911 911 911",-0.9566,9,8,12,12,7,20,12,12,4,8
2,2,/songs/277318,Britney Spears,Alien,https://genius.com/Britney-spears-alien-lyrics,http://api.genius.com/songs/277318,Britney Jean,2013-12-03," There was a time I was one of a kind Lost in the world, out of me, myself and I Was lonely then, like an alien I tried, but I never figured it out Why I always felt like a stranger in a crowd Oh, that was then Like an alien   But the stars in the sky Look like home, take me home And the light in your eyes Lets me know, I'm not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone   Crossed through the universe to get where you are Travelled the night, riding on a shooting star Was lonely then, like an alien Had to get used to the world I was on While yet still unsure if I knew where I belonged Oh, that was then Like an alien   But the stars in the sky Look like home, take me home And the light in your eyes Lets me know, I'm not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone   But the stars in the sky Look like home, take me home And the light in your eyes Lets me know, I'm not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone Not alone, not alone, not alone (Not alone, not alone, not alone) (Not alone, not alone, not alone) (Not alone, not alone, not alone) (Not alone, not alone, not alone)",0.9982,3,5,6,8,5,9,8,3,0,5
3,3,/songs/193846,Britney Spears,Amnesia,https://genius.com/Britney-spears-amnesia-lyrics,http://api.genius.com/songs/193846,Circus,2008-11-28," I saw him standin' there in the parking lot He asked if I came here a lot And this is how I responded   I forgot my name I forgot my telephone number If he wanna see me, he don't even know it I forgot my address Damsel in distress I forgot my boyfriend was the one that had bought me this rock   I get amnesia when I'm standin' next to you He's been with me for several years, I know this much is true Didn't know it was over til you came on over And told me that you just, just can't forget about me   I talk to my girls I can talk to my girls like crazy To anyone, I speak my mind I tell them off, it don't phase me I'm not lazy, but boy lately When I see you, I stutter Watch you slip away like butterflies I saw you standing there in the VIP on Friday We conversate up in my fantasies, like, every day But I'm a dud whenever you approach Like yesterday, when you just came to say ""Hello""   I forgot my name I forgot my telephone number If he wanna see me, he don't even know it I forgot my address Damsel in distress I forgot my boyfriend was the one that had bought me this rock   I get amnesia when I'm standin' next to you He's been with me for several years, I know this much is true Didn't know it was over til you came on over And told me that you just, just can't forget about me Me, me This is how I do   I talk to most guys I can talk to most guys like crazy To anyone, I'll speak my mind I tell them off, it don’t faze me But you shake me Boy, you make me stop and stutter When we touch, I melt like butter I saw you standing there in the VIP on Saturday Now that I know you got a thing for me I should be straight Not the kinda girl who'll just let any guy get close All I can say is I'm gonna tell my guy he should just effin' go   I forgot my name I forgot my telephone number If he wanna see me, he don't even know it I forgot my address Damsel in distress I forgot my boyfriend was the one that had bought me this rock   I get amnesia when I'm standing next to you He's been with me for several years, I know this much is true Didn't know it was over until you came on over And told me that you just, just can't forget about me Me, me This is how I do",0.9492,5,1,5,6,3,15,18,5,4,8
4,4,/songs/193492,Britney Spears,Anticipating,https://genius.com/Britney-spears-anticipating-lyrics,http://api.genius.com/songs/193492,Britney,2002-06-24," Top down, on the strip Looking in the mirror and I'm checking out my lipstick Girlfriends up in the back We're out for an all night Feeling so crazy cool Vibe so right, don't know what they're ready for Valet, baby, here's the keys We're about to step inside   Skip on the drinks, head to the floor Making my way past the show My body's taking over and I want some more Whoa, oh, yeah, yeah   I'll be anticipating This is our song they're playing I wanna rock with you (Rock with you) You're feeling this right Let's do this tonight   Step up baby, don't be shy I know you're feeling me 'cause you're giving me the eye And I don't wanna play around Baby, watch me move Check this, let's make a scene Don't need to wait another Why you wanna make me long for you? Move it, baby, over here So we can set it off   We can get down to the DJ's sound Feeling so good, baby, all around Feeling kind of naughty come and get me now Whoa, oh, yeah, yeah   I'll be anticipating (Anticipating) This is our song they're playing I wanna rock with you You're feeling this right Let's do this tonight I'll be anticipating This is our song they're playing (They're playing) I wanna rock with you (Rock with you) You're feeling this right Let's do this tonight   Gotta really let me know if you want me You gotta turn me on and make me feel sexy Gotta show me you got everything that I need Gotta really let me know if you want me You gotta turn me on and make me feel sexy Gotta show me you got everything that I need Oh, oh, yeah   I'll be anticipating This is our song they're playing I wanna rock with you You're feeling this right Let's do this tonight (Gonna feel you, baby) I'll be anticipating This is our song they're playing I wanna rock with you You're feeling this right Let's do this tonight   Gotta really let me know if you want me You gotta turn me on and make me feel sexy Gotta show me you got everything that I need Gotta really let me know if you want me You gotta turn me on and make me feel sexy Gotta show me you got everything that I need",0.993,10,15,9,11,17,14,31,11,10,21
5,5,/songs/4096220,Britney Spears,Apology,https://genius.com/Britney-spears-apology-lyrics,http://api.genius.com/songs/4096220,None,2018-06-21,"Verse 1: Please turn me up Please turn me up I need you now Why didn't you call? Why didn’t you call? After it all went down  Prechorus: Oh, baby, I know what I did to you (Yeah) And I'm just glad that I ever knew you Trust me, It's harder to live Don’t got to look in any mirrors I know what I did I wish I could give you  Chorus: A proper apology I never got to say to you I'm sorry I never got to say a proper apology I never got to say to you I'm sorry I could take it all away  Verse 2: Oh, hey Something was off (Something was off) Something was wrong That wasn't me I let you go When I let you go I lost something  Prechorus: Cause lately I been facing the truth, yeah God, I'm just glad that I ever knew you Trust me, It's harder to live I know what I did  Chorus: A proper apology I never got to say to you I'm sorry I never got to say a proper apology I never got to say to you I'm sorry I could take it all away",0.9587,0,3,0,1,4,2,16,1,0,5
6,6,/songs/193632,Britney Spears,Autumn Goodbye,https://genius.com/Britney-spears-autumn-goodbye-lyrics,http://api.genius.com/songs/193632,...Baby One More Time,1998-10-23," I never promised you a happy ending You never said you wouldn't make me cry But summer love will keep us warm long after Our autumn goodbye, autumn goodbye Autumn goodbye   Thinking of you and the love of our lives In the sweet summertime So sad, but true (So true, so true) We must leave it behind In our hearts, in our minds   From April through September Bittersweet was the love that we share Don't forget; I remember   I never promised you a happy ending (You never said) You never said you wouldn't make me cry (But summer love) But summer love will keep us warm long after Our autumn goodbye, autumn goodbye, autumn goodbye I never promised you a happy ending (You never said) You never said you wouldn't make me cry (But summer love) But summer love will keep us warm long after Our autumn goodbye, autumn goodbye, autumn goodbye   Memories can fade (they can fade) But my heart has a place for the smile on your face (on your face) And maybe someday we can be more than friends Love will find us again Red leaves and blue tomorrows Time will give back the love that we shared On the time that we borrowed   I never promised you a happy ending (You never said) You never said you wouldn't make me cry (But summer love) But summer love will keep us warm long after Our autumn goodbye, autumn goodbye, autumn goodbye I never promised you a happy ending (You never said) You never said you wouldn't make me cry (But summer love) But summer love will keep us warm long after Our autumn goodbye, autumn goodbye, autumn goodbye   From April through September Bittersweet was the love that we share Don't forget; I remember, baby   I never promised you a happy ending (You never said) You never said you wouldn't make me cry (But summer love) But summer love will keep us warm long after Our autumn goodbye, autumn goodbye Autumn goodbye I never promised you a happy ending (You never said) You never said you wouldn't make me cry (But summer love) But summer love will keep us warm long after Our autumn goodbye, autumn goodbye Autumn goodbye   We'll leave behind the summertime Our hearts, our minds They will remind We won't forget The day we met The day we cried Autumn goodbye   I never promised you a happy ending (You never said) You never said you wouldn't make me cry (But summer love) But summer love will keep us warm long after Our autumn goodbye, autumn goodbye Autumn goodbye I never promised you a happy ending (You never said) You never said you wouldn't make me cry (But summer love) But summer love will keep us warm long after Our autumn goodbye, autumn goodbye Autumn goodbye",0.9987,0,24,0,0,40,16,42,12,4,19
7,7,/songs/78169,Britney Spears,...Baby One More Time,https://genius.com/Britney-spears-baby-one-more-time-lyrics,http://api.genius.com/songs/78169,...Baby One More Time,1998-10-23," Oh baby, baby Oh baby, baby   Oh baby, baby, how was I supposed to know That something wasn't right here? Oh baby, baby, I shouldn't have let you go And now you're out of sight, yeah   Show me how you want it to be Tell me, baby, 'cause I need to know now, oh, because   My loneliness is killing me (And I) I must confess I still believe (Still believe) When I'm not with you, I lose my mind Give me a sign Hit me baby one more time   Oh baby, baby, the reason I breathe is you Boy, you got me blinded Oh pretty baby, there's nothing that I wouldn't do It's not the way I planned it   Show me how you want it to be Tell me, baby, 'cause I need to know now, oh, because   My loneliness is killing me (And I) I must confess I still believe (Still believe) When I'm not with you, I lose my mind Give me a sign Hit me baby one more time   Oh baby, baby Oh baby, baby Oh baby, baby, how was I supposed to know? Oh pretty baby, I shouldn't have let you go   I must confess that my loneliness is killing me now Don't you know I still believe That you will be here and give me a sign Hit me baby one more time   My loneliness is killing me (And I) I must confess I still believe (Still believe) When I'm not with you, I lose my mind Give me a sign Hit me baby one more time   I must confess that my loneliness is killing me now Don't you know I still believe? That you will be here and give me a sign Hit me baby one more time",-0.9737,13,7,4,13,27,25,35,13,3,11
8,8,/songs/193588,Britney Spears,Before the Goodbye,https://genius.com/Britney-spears-before-the-goodbye-lyrics,http://api.genius.com/songs/193588,Britney,2001-11-05," Laying here in your arms And you hold me tight, tight Trying not to watch the clock Tick, ticking as the time goes by (By) And I know that you best be on your way But I'm wishing I could make you stay Stay with me for a while   Though you're near Still I wanna make it clear Love, I will always be around   You're leaving, I'm waiting Forgive me, I'm always missing you Before the goodbye I feel it already Forgive me, I'm always missing you Before the goodbye   Kinda hard for me to let you know Still don't let my feelings show How much I will miss in you All the little things that make me weak Your eyes and the way you speak Without you, baby, I'm not me (I'm not me)   Though you're near Still I wanna make it clear Love, I will always be around   You're leaving, I'm waiting Forgive me, I'm always missing you Before the goodbye I feel it already Forgive me, I'm always missing you Before the goodbye   You're leaving, I'm waiting Forgive me, I'm always missing you Before the goodbye I feel it already Forgive me, I'm always missing you Before the goodbye   You're leaving, I'm waiting Forgive me, I'm always missing you Before the goodbye I feel it already Forgive me, I'm always missing you Before the goodbye   You're leaving, I'm waiting Forgive me, I'm always missing you Before the goodbye",0.9381,1,4,1,11,4,10,14,10,1,3
9,9,/songs/2842059,Britney Spears,Better,https://genius.com/Britney-spears-better-lyrics,http://api.genius.com/songs/2842059,Glory,2016-08-26," Let's undo all the distance From your guards down to your buttons And get lost in your existence Whatchu, whatchu whatchu wanna do? And if you wanna get real And if you wanna get honest And baby you know the deal Whatchu wanna do?   Gotta open up cause it feels much better When we open up for each other And I know Oh, oh, oh, oh, oh, oh When you know somebody Oh, oh, oh, oh, oh, oh And they know your body It's so much better   Show me what's under your t-shirt And bare it like it's your first time You take it off like you've never Like you've never been hurt   Open up (open up) cause it feels much better (much better) When we open up (open up) for each other (for each other) And I know Oh, oh, oh, oh, oh, oh When you know somebody Oh, oh, oh, oh, oh, oh And they know your body It's so much better   So good, so good, so damn, so good So damn, so good, so right, so good (yeah) So good, so good, so damn, so good So damn, so good, so right, so good When you know somebody, when you know somebody When you know somebody, when you know somebody When you know   Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh) When you know somebody Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh) And they know your body Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh) When you know somebody Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh) And they know your body   Oh, get to know my body Better and better Better and better Damn It's so much better",0.9944,7,12,6,3,13,8,16,3,11,15
