,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/95068,Bruce Springsteen,"4th of July, Asbury Park (Sandy)",https://genius.com/Bruce-springsteen-4th-of-july-asbury-park-sandy-lyrics,http://api.genius.com/songs/95068,"The Wild, the Innocent & the E Street Shuffle",1973-09-11," Sandy, the fireworks are hailing over Little Eden tonight Forcing a light into all those stony faces left stranded on this warm July Down in the town, the Circuit's full of switchblade lovers, so fast, so shiny, so sharp As the wizards play down on Pinball Way on the boardwalk way past dark And the boys from the casino dance with their shirts open like Latin lovers on the shore Chasing all them silly New York virgins by the score   And Sandy, the aurora is rising behind us This pier lights our carnival life forever Oh, love me tonight, for I may never see you again Hey, Sandy girl My, my, baby   Now, the greasers, ah, they tramp the streets Or get busted for sleeping on the beach all night Them boys in their high heels, ah, Sandy Their skins are so white And me, I just got tired of hanging in them dusty arcades, banging them pleasure machines Chasing the factory girls underneath the boardwalk Where they all promise to unsnap their jeans And you know that tilt-a-whirl down on the south beach drag I got on it last night and my shirt got caught And they kept me spinning, babe, didn't think I'd ever get off   Oh, Sandy, the aurora is rising behind us This pier lights our carnival life on the water Running, laughing 'neath the boardwalk Ah, with the boss' daughter I remember, Sandy, girl Na, na, na, na, na, baby   Sandy, that waitress I was seeing lost her desire for me I spoke with her last night, she said she won't set herself on fire for me anymore She worked that joint under the boardwalk She was always the girl you saw bopping down the beach with the radio The kids say last night she was dressed like a star In one of them cheap little seaside bars And I saw her parked with lover boy out on the Kokomo Did you hear the cops finally busted Madame Marie For tellin' fortunes better than they do For me this boardwalk life's through, babe You ought to quit this scene, too   Sandy, the aurora is rising behind us This pier lights our carnival life forever Oh, love me tonight and I promise I'll love you forever Oh, I mean it, Sandy, girl My, my, my, my, my baby Yeah, I promise, Sandy, girl Sha, la, la, la, la, baby",0.9923,3,12,6,6,28,15,28,4,4,14
1,/songs/341611,Bruce Springsteen,57 Channels (and Nothin' On),https://genius.com/Bruce-springsteen-57-channels-and-nothin-on-lyrics,http://api.genius.com/songs/341611,Human Touch,1992-01-01," I bought a bourgeoise house in the Hollywood hills With a truckload of hundred thousand dollar bills Man came by to hook up my cable TV We settled in for the night my baby and me We switched 'round and 'round 'til half-past dawn: There was fifty-seven channels and nothin' on   Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on ‎  Well now home entertainment was my baby's wish So I hopped into town for a satellite dish I tied it to the top of my Japanese car I came home and I pointed it out into the stars A message came back from the great beyond: There's fifty-seven channels and nothin' on   ‎Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on   Well we might'a made some friends with some billionaires We might'a got all nice and friendly if we'd made it upstairs All I got was a note that said, ""Bye-bye, John Our love's fifty-seven channels and nothin' on,"" ‎  ‎Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on   So I bought a .44 magnum, it was solid steel cast And in the blessed name of Elvis well I just let it blast ‎'Til my TV lay in pieces there at my feet And they busted me for disturbin' the almighty peace Judge said, ""What you got in your defense son?"" ‎""Fifty-seven channels and nothin' on,""   ‎Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on   I can see by your eyes, friend, you're just about gone Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on",0.9887,3,9,1,3,11,3,15,0,4,8
2,/songs/391860,Bruce Springsteen,Across The Border,https://genius.com/Bruce-springsteen-across-the-border-lyrics,http://api.genius.com/songs/391860,The Ghost Of Tom Joad ,1995-11-21," Tonight my bag is packed Tomorrow I'll walk these tracks That will lead me across the border Tomorrow my love and I Will sleep beneath auburn skies Somewhere across the border We'll leave behind my dear The pain and sadness we found here And we'll drink from the Bravo's muddy water Where the sky grows gray and wide We'll meet on the other side There, across the border   For you I'll build a house High upon a grassy hill Somewhere across the border Where pain and memory Pain and memory have been stilled There, across the border And sweet blossoms fill the air Pastures of gold and green Roll down into cool clear waters And in your arms beneath open skies I'll kiss the sorrow from your eyes There, across the border   Tonight we'll sing the songs I'll dream of you, my corazón And tomorrow my heart will be strong And may the saints blessing and grace Carry me safely into your arms There, across the border   For what are we Without hope in our hearts That someday we'll drink from God's blessed waters And eat the fruit from the vine I know love and fortune will be mine Somewhere across the border",0.9652,0,12,2,5,14,7,25,8,6,11
3,/songs/105184,Bruce Springsteen,Adam Raised a Cain,https://genius.com/Bruce-springsteen-adam-raised-a-cain-lyrics,http://api.genius.com/songs/105184,Darkness on the Edge of Town,1978-06-02,"In the summer that I was baptized My father held me to his side As they put me to the water He said how on that day I cried We were prisoners of love, a love in chains He was standin' in the door I was standin' in the rain With the same hot blood burning in our veins Adam raised a Cain Adam raised a Cain Adam raised a Cain Adam raised a Cain  All of the old faces Ask you why you're back They fit you with position And the keys to your daddy's Cadillac In the darkness of your room Your mother calls you by your true name You remember the faces, the places, the names You know it's never over it's relentless as the rain Adam raised a Cain Adam raised a Cain Adam raised a Cain Adam raised a Cain  In the Bible brother Cain slew Abel And East of Eden mama he was cast You're born into this life paying For the sins of somebody else's past Daddy worked his whole life for nothing but the pain Now he walks these empty rooms looking for something to blame But you inherit the sins, you inherit the flames Adam raised a Cain Adam raised a Cain Adam raised a Cain Adam raised a Cain  Lost but not forgotten, from the dark heart of a dream Adam raised a Cain Adam raised a Cain Adam raised a Cain Adam raised a Cain Adam raised a Cain Adam raised a Cain Adam... Oh a Cain",-0.2668,6,1,4,6,4,9,5,9,0,4
4,/songs/1031205,Bruce Springsteen,A Good Man Is Hard To Find (Pittsburgh),https://genius.com/Bruce-springsteen-a-good-man-is-hard-to-find-pittsburgh-lyrics,http://api.genius.com/songs/1031205,Tracks,1998-11-10," It's cloudy out in Pittsburgh It's raining in Saigon Snow's fallin' all across the Michigan line Well she sits by the lights of the Christmas tree With the radio softly on Thinkin' how a good man is so hard to find   Well once she had a fella Once she was somebody's girl And she gave all she had that one last time Now there's a little girl asleep in the back room She's gonna have to tell about the meanness in this world And how a good man is so hard to find   Well there's pictures on the table by her bed Him in his dress greens and her in her wedding white She remembers how the world was the day he left And now how that world is dead And a good man is so hard to find   She got time now for Casanovas Yeah those days are gone She don't want that anymore, she's made up her mind Just somebody told her As the nights get on When a good man is so hard to find   Well she shuts off the TV And without a word Into bed she climbs Well she thinks how it was all so wasted And how expendable their dreams all were When a good man was so hard to find",0.8729,2,9,2,0,8,1,11,1,6,10
5,/songs/391453,Bruce Springsteen,Ain't Got You,https://genius.com/Bruce-springsteen-aint-got-you-lyrics,http://api.genius.com/songs/391453,Tunnel of Love,1987-10-09," I got the fortunes of heaven in diamonds and gold I got all the bonds baby that the bank could hold I got houses 'cross the country honey end to end And everybody buddy wants to be my friend Well I got all the riches baby any man ever knew But the only thing I ain't got, honey, I ain't got you   I got a house full of Rembrandt and priceless art And all the little girls, they wanna tear me apart When I walk down the street, people stop and stare Well, you'd think I might be thrilled but baby I don't care 'Cause I got more good luck honey than old King Farouk But the only thing I ain't got, baby, I ain't got you   I got a big diamond watch sittin' on my wrist I try to tempt you, baby, but you just resist I made a deal with the devil, babe, I won't deny Until I got you in my arms, I can't be satisfied   I got a pound of caviar sitting home on ice I got a fancy foreign car that rides like paradise I got a hundred pretty women knockin' down my door And folks wanna kiss me I ain't even seen before I been around the world and all across the seven seas Been paid a king's ransom for doin' what comes naturally But I'm still the biggest fool, honey, this world ever knew 'Cause the only thing I ain't got, baby, I ain't got you",0.9739,5,11,2,4,19,8,30,3,6,8
6,/songs/391935,Bruce Springsteen,All I'm Thinkin' About,https://genius.com/Bruce-springsteen-all-im-thinkin-about-lyrics,http://api.genius.com/songs/391935,Devils & Dust,2005-04-25," One, two, three, four   Blind man waving by the side of the road In a flatbed Ford carrying a heavy load Sweet thing sipping on a blueberry wine On a flat black highway down in Carolina Black bird slipping in a sky of blue   All I'm thinking about is you, baby All I'm thinking about is you, honey All I'm thinking about is you, baby All I'm thinking about is you There isn't nothing in this world I can do about it All I'm thinking about is you   Little boy carrying a fishing pole Little girl picking huckleberries from off of the vine Brown bag filled with a little green toad We hook him through the the lip and throw him off with a line A sweet pair of legs got me feeling so blue   All I'm thinking about is you, baby All I'm thinking about is you, honey All I'm thinking about is you, baby All I'm thinking about is you There isn't nothing in this world I can do about it All I'm thinking about is you   Black car shiny on a Sunday morning Mama go to church now, mama go to church now Friday night and daddy's shirt is torn Daddy's going downtown, daddy's going downtown Isn't no one understand the sweet thing you do   All I'm thinking about is you, baby All I'm thinking about is you, honey All I'm thinking about is you, baby All I'm thinking about is you There isn't nothing in this world I can do about it All I'm thinking about is you   Field turned up, the seed is sowed Rain coming in from over across the road Big black curtain coming across the field Blind will see and lame will be healed Brown eyed girl, turn my back on you, now it's lonely   All I'm thinking about is you, baby And all I'm thinking about is you All I'm thinking about is you, baby All I'm thinking about is you There isn't nothing in this world take away these blues All I'm thinking about is you   All I'm thinking about is you, baby All I'm thinking about is you Honey, all I'm thinking about is you Yeah, all I'm thinking about is you Isn't nothing in this world I can do about it All I'm thinking about is you",0.2235,2,8,4,2,16,11,21,9,4,7
7,/songs/391520,Bruce Springsteen,All Or Nothin' At All,https://genius.com/Bruce-springsteen-all-or-nothin-at-all-lyrics,http://api.genius.com/songs/391520,Human Touch,1992-03-31, Said youd give me just a little kiss And youd rock me for a little while Well youd slip me just a piece of it Listen up little child I want it all or nothin' at all I want it all or nothin' at all Said youd take me for a little dance If you had a little time on your hands Well all I do is push and shove Just to get a little piece of your love I want it all or nothin' at all I want it all or nothin' at all Well now I dont wanna be greedy But when it comes to love there ain't no doubt You just ain't gonna get what you want With one foot in bed and one foot out You got to give it all or nothin' at all All or nothin' at all Now I only got a little time So if youre gonna change your mind Then shout out what youre thinkin of   If what youre thinkin of is love I want it all or nothin' at all I want it all or nothin' at all I want to have it all or nothin at all I want it all or nothin' at all I want it all or nothin' at all I want to give it all or nothin at all,0.9748,2,4,1,2,6,4,7,1,3,2
8,/songs/391459,Bruce Springsteen,All That Heaven Will Allow,https://genius.com/Bruce-springsteen-all-that-heaven-will-allow-lyrics,http://api.genius.com/songs/391459,Tunnel of Love,1987-10-09," I got a dollar in my pocket There ain't a cloud up above I got a picture in a locket That says, ""Baby I love you"" Well, if you didn't look then boys Then fellas don't go lookin' now Well, here she comes a-walkin' All that heaven will allow Say hey there mister bouncer Now all I wanna do is dance But I swear I left my wallet Back home in my workin' pants C'mon, Slim, slip me in, man I'll make it up to you somehow I can't be late, I got a date With all that heaven will allow Rain and storm and dark skies Well, now they don't mean a thing If you got a girl that loves you And who wants to wear your ring So c'mon, mister trouble We'll make it through you somehow We'll fill this house with all the love All that heaven will allow Now some may wanna die young, man Young and gloriously Get it straight now, mister Hey buddy, that ain't me 'Cause I got something on my mind That sets me straight and walkin' proud And I want all the time All that heaven will allow",0.9929,1,5,1,1,9,6,14,3,3,8
9,/songs/391897,Bruce Springsteen,All the Way Home,https://genius.com/Bruce-springsteen-all-the-way-home-lyrics,http://api.genius.com/songs/391897,Devils & Dust,2005-04-25, I know what it's like to have failed baby With the whole world looking on I know what it's like to have been so sure Wake up and find it all gone Now you've got no reason to trust me And tonight my confidence is a little rusty It's getting late And if you don't feel leaving alone Well maybe I can walk you baby All the way home Our old fears and failures Well they do linger (Oh yes they do) Like the shadow of that ring That was on your finger Well those days darling Those days are dead and gone Oh I could walk you baby All the way home Now there's things no one can rearrange We both have yesterdays that we can't change It's closing time - bartender's ringing last call These days I don't stand on pride and I've learned how to take a fall Now the time has come And if your first choice - he's gone Well that's alright baby Because I can walk you all the way home All the way home All the way home,0.9169,1,3,1,4,7,5,11,3,0,6
