,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/3053792,Bryson Tiller,1.8.7.,https://genius.com/Bryson-tiller-187-lyrics,http://api.genius.com/songs/3053792,N.W.A. Vol. 2,2014-11-04," Yeah, B. Tiller, man Yes sir, yes sir Get the weed out   Your love is a 187 (yeah) Taking me to heaven It's killing me, no love should be this good   OK, first of all, you a badass bitch Hard for me to walk past that shit Your ass, all them niggas still @ that shit I'll pass shawty, come and let me grab that shit I feel like me and you could really do some things With your eyesight, you could probably do the same Yeah, just so tired of the usual baes How 'bout later on the night? I could use some brain Did you catch that? Sending back shots all through your spine, girl, I commit the crime Sentence me the time, girl, you checking me to find I just hope you never lie about the fact like [?] Girl, I keep it a hundred percent real Put it down whenever we be fucking up in here Don't worry, shawty, I'mma have you coming in here Drive by, mama, I'mma get the bussing in here, yeah Take me up, then take me to Heaven, yep Bryson Tiller, shawty, I'mma have you yelling that Hit it from the back, that ass hella fat Got them niggas like ""damn, what the hell is that?"" We be having fun in this bed I might fuck around and use my tongue in this bed People crunching up, tryna run in this bed Think I might end up using my gun instead This shit is hella bomb, explosive And I better make that come with that motion Girl respect that, never got to sweat that I'm just being myself like I'm supposed to   Your love is a 187 Taking me to heaven It's killing me, no love should be this good (Tell me what's good, girl, I get it in) Your love is a 187 Taking me to heaven It's killing me, no love should be this good (Fuck it, I'mma sing, sing this shit, yeah)   Yeah, you fucking with a real ass nigga I know a hundred real bitches that could vouch for me Sit back, laid up on that couch for me Cause I just bought an ounce of weed I rarely smoke but I've gotta get high for this Kissing all over your thighs and shit Roll your eyes back, unbutton your shirt Say you gon' fuck me, but it's more like the opposite Babe, twerk that, I work that You want that, girl come here, babe If I ever catch you come around my block I'mma take you to my spot, oh god, I'mma bust that Most girls ain't like you, hardcore They want it rough, and I'm sure (And my killer instinct's got her body choked out, laying on my floor) Nah, nah, she don't call it quits when I'm part of it She know I fuck her good right after the arguments And she ride slow, titties all in my face God damn, you know what I got my eyes on Dem chicks, she be pulling in the vid Just kill all them other hoes, bullet to the head Sex tape blood, mami put it in the red Don't answer the phone, girl, it could've been the feds (oh yeah) Your love is a 187 24/7, damn you fine I can't even run no clique, claim you mine Cuffing on your ass with my hands, oh god You thicker than a snicker It'll be a shame if I wanna hit-quit you I can never lose your love (Shawty, we can do it anywhere you like)   Cause your love is a 187 Taking me to heaven It's killing me, no love should be this good Your love is a 187 Taking me to heaven It's killing me, no love should be this good   Lil mama, I'm telling you that I rarely smoke I don't get drunk, just barely though She take a hit and get loose than a motherfucker Spin on my dick like a merry-go She fucking me like I'm rich or something Tell her gon' suck a nigga dick or something She on whatever, told me she gon' let me foster the pussy That mean I could bone forever That's funny cause I had a couple things in mind I eat it right shawty, but you came this time Told me I can do whatever, I'm like hell yeah On your knees, shawty, I'mma make it rain this time We take a break and we smoke it up Grab another bottle, let's pour it up Let's pour it up Now let's roll a blunt",-0.8516,34,24,18,22,29,41,43,21,15,27
1,/songs/2315361,Bryson Tiller,502 Come Up,https://genius.com/Bryson-tiller-502-come-up-lyrics,http://api.genius.com/songs/2315361,T R A P S O U L,2015-10-02," Yeah-yeah-eah-eah For real though, it's so wild now This shit crazy yeah   Woke up in the hills this morning Asking myself, how did I get here this morning? 'Vante Parker in that teal and orange And Russell in that gold and purple Youngest from the Ville, important I used to sit up in my room and ponder Finished school and get a Doctors I'm twenty-two, I gotta get it now Man who knew he'd have it figured out? Trapsoul, man, I crack codes Crack cocaine, that's what we putting out These fuck niggas saying Don't forget when you was broke, I was looking out And some say there's levels to this shit Damn look at all the levels that I skipped Feeling like there's a medal I should get All these haters getting heavy on my dick Look at my niggas, chasing paper Getting books with my niggas So how the fuck can people back home say I shook on my niggas? Your two cents ain't working for me All you niggas sound commercial to me, man I don't like commercial niggas Please shut the fuck up before I hurt you (Fuck your feelings) Don't take it personal (it's nothing personal) This a Derby City come up, this a Derby City vertical First 48, straight murder you   For years and years we waited on this Living in a place folks didn't know exist Surprise motherfucker, we up in this bitch I said I'm back and I'm so much better I'm so, so much better And I won't stop (Louis) I can't stop Not now (Louis) not ever (Louis, Louis)   Louis slugger with the hits Knock them out the park then I'm knocking down your bitch I'm watching how you pitch I'm not from Houston, no, I'm not from 'round the six Got the four series, I should cop the six after the World Series I just talked to Rich 'bout palm trees and bad bitches And how these snakes can harm me with bad business Damn, fuck out of here, nigga It's very rare for young black men to come up out of here, nigga Some will call it luck and some will call me up I ain't heard from you in years Please get the fuck out my ear, nigga My peers get it Only G-O-D can judge me, fuck the jurisdiction I'm working, ain't got time for thirsting Over how these chicks appear in pictures I'm just painting crystal-clear pictures Brushing up on my lyrics nigga I just wish momma was here to live up under chandeliers with us I guess all I ever had to do was take this shit a little more serious Let's get it   There's not much to say Woah, I'm from the Southside God Tiller  Damn",-0.9969,19,8,16,16,8,27,20,13,10,19
2,/songs/3097995,Bryson Tiller,Always (Outro),https://genius.com/Bryson-tiller-always-outro-lyrics,http://api.genius.com/songs/3097995,True to Self,2017-05-26," Oh, oh Oh, yeah Oh, baby Oh, woah Oh, woah Oh, baby Oh, woah   But I'm telling you, you know sometimes we Sometimes we fight (oh, baby) Sometimes we argue (oh, baby) Know we don't get along sometimes but (no I ain't giving up on you) (Baby) I could never give up on you, baby, ever (No I ain't giving up on you, baby) (Hey baby, know we got a lot of work to do) Don't you give up on me (yeah) Only way we gon' get through this is if we work together (oh no, no, no), for real If we work together (oh I want you forever) we can get through this And we could last forever, I don't think I could get over you (oh baby) (You will always be my baby) You were always, that's truth, yeah",-0.8558,2,0,0,1,10,2,17,0,0,5
3,/songs/653218,Bryson Tiller,Bad [Cover],https://genius.com/Bryson-tiller-bad-cover-lyrics,http://api.genius.com/songs/653218,None,2013-04-25," It ain't bad that you never made love, no you never did Come and show me how you fuck and be my bad girl So prove it to me Can't promise that you'll be good to me I ain't mad that's just you You won't commit Not having it But at least you can admit that you'll be bad She said, ""I'll be good in bed, but I'll be bad to you"" You never made love, you never did Come show me how you fuck and be my..   Bad girls ain't no good Hol up, that's what I like What she talking I need that in my life It's your crib where I'm sliding tonight Grabbing your thighs when you arrive Girl sex is the motive I'm ready to float and you wet as an ocean No resting till morning You get the pillow and you scream in it I go deep in it I'm so into loving you Time for the tongue girl Hol up don't you run girl noo Put this in your world noo Let's get it till 9 in the morn girl In it with a little massage if you want girl You ain't hurting in them thighs anymore girl You won't be my girl, that's cool just don't be shy girl Heard what I said? Damn no joke I'm a nerd with the head Swerve them hoes you don't want a nigga Well lord knows when I hit it we'll be gone till the morn     Is it bad that.. I wanted to fuck as soon I met you And wanted you to want it too, baby let loose You wanna fuck? That's cool Ima let you Probably bad for a nigga but I'm bad too Spending yesterday pick up girl I'm bad news Bunch of nicknames, bunch of tattoos Got a attitude but you cold, so I'm achoo Sick of these lames get this PHD Got a boyfriend baby he ain't me Cannibalism nigga she ate me Cannibism we on THC Yeah, cause all we do is smoke and fuck You can get on top Ima hold you up When you want it rough Ima fold you up She said oh my god so I hold my nut Ima take my time Now you never made love I show her the grind Have you ever made drugs? Shorty hold me tight like she never gave hugs She can't always take but she ain't never gave up And when she liking Ima time and reserve And put twice in I'm popping little mama I'm liking little mama Might go under water and bite that piranha Ha this so fun to me Know she loving my company Feel like I'm on top when she under me Pull her closer though Girl come to me Ha you know it ain't nothing to me Taste the cat when it run from me And I ain't even go deep Fuck her for an hour but I leave her so weak  ",0.9853,14,15,15,14,18,21,32,13,6,20
4,/songs/912341,Bryson Tiller,Been That Way,https://genius.com/Bryson-tiller-been-that-way-lyrics,http://api.genius.com/songs/912341,T R A P S O U L,2015-10-02," I wanna know how we became so distant girl The way we fell in love it was almost instant I'm tryna find a way around it Girl tell me how you feel about it You still love me, that's the way it's sounding Thank God I would have never found this, I doubt it I'm there for you if you allow it Girl you know I gotta keep you around me All this paper we counting, blazing these ounces Spending on you baby no matter what the amount is Now you wanna know what's gotten into me, what's changed? I guess I had a hard time showing it at first but   Baby it's been that way Baby it's been that way Baby I still feel the same Something I gotta maintain Listen to me when I say Baby it's always, always, always been that way It's always been that way (Didn't I tell you girl?) It's always been that way Baby I still feel the same Something I gotta maintain Listen to me when I say It's always been that way   How did we become so distant? Like I'm the one to blame and you're innocent I try to make a way, make a difference, but Some things don't change, I can't complain I try not to think about you What can I say, everytime I get near you I want that old thing back, now bring it to me Shorty keep telling me what to do about you Then she got jealous soon as she knew about you She don't never wanna see her go through round two (Cut her off!) Cut her off that's what I'm doing now, you Told me I should go out and do my thing (Damn right!) Damn right I do my thing Now you want to know what's gotten into me, what's changed? But baby none change   Baby it's been that way Baby it's been that way Baby I still feel the same Something I gotta maintain Listen to me when I say Baby it's always, always, always been that way It's always been that way (Didn't I tell you girl?) It's always been that way Baby I still feel the same Something I gotta maintain Listen to me when I say It's always been that way It's always been that way It's always been that way   We the trap in the soul We the trap",-0.8763,5,2,4,4,16,7,19,3,1,6
5,/songs/3097979,Bryson Tiller,Before You Judge,https://genius.com/Bryson-tiller-before-you-judge-lyrics,http://api.genius.com/songs/3097979,True to Self,2017-05-26," Check yourself Check, check, check Check, check yourself before you wreck yourself Chiddity-check, check yourself before you wreck yourself Ch-ch-check yourself before you wreck yourself Yeah Check, check yourself before you wreck yourself Before you wreck yourself, check, check, check   Hey, I'm back, so what's the deal now? I still don't give a fuck 'bout how they feel now I got you hot, lil' nigga, chill out Say he coming for the spot? Bitch It’s a spill now Leave a stain in the game, bruh Fuck the niggas waiting on Young Tiller to change up Niggas waiting on me to run out of paper I don't ever speak on niggas, nah, I barely say much Fuck, I look like, bringing niggas names up? I can't let a fuck nigga get famous These niggas, they wanna de-fame us They wanna betray us, they wanna play games, oh no, no Disloyal, this how they won't portray us Looked at my dog like, ""Fuck it, let's make 'em hate us"" If you got paid for the attention that you paid us You would be a rich nigga but you just a bitch nigga Foreign whip, make you throw a fit, nigga Foreign bitch, I know you won't get with her Lame niggas not the type that she consider You thinking of speaking with her Boy, you better reconsider Hey, I'm my daughter's keeper And I don't take with the threats or promises either, nigga You gon' have to see me one way or another And for my blood, bruh I'm a cold motherfucker (So!)   Before you judge me Check yourself before you judge me, hey Shit could get ugly Next time you might not be so lucky What you want from me? What these niggas want from me? Listen ""Don't fuck with me"", hey Think twice before you fuck with me   What it is though? 2016 Tiller on this shit, so Most likely I'ma vent up on this shit, so Well, um, damn, here it go You see the shit is so new to me, bro Not the music, that's easy, it come smooth to me, bro When I should've been in school, I was making tunes, truancy, bro Low-key, them cool kids weren't as cool as me, bro I fell in love and had a mini me, thank you, Jesus Ten fingers, ten toes on her pretty feet, seriously, thank you, Jesus Pray for it every day in the UPS trailers And you gave her to me like I asked, that's amazing, Jesus I know the saying, give them an inch and they take a mile But Jesus, I really need this, I gotta make it out Studio shit on eBay, I gotta purchase I told my niggas ""Lend me 600 dollars, it'll be worth it, let's cop it"" (Check, check, check, check) So many times I second guessed myself, nigga, I never wanted to be an artist, nah (Check, check, check, check) I don't wanna be the centre of attention but I guess I do this shit for lil' Harley, nah (Check, check, check, check) If you know me, you know I just want to be able to walk into Target and people not be astonished Man, let me do my shopping But this in my job, I asked for it, I got it, let's go Just got a new manager, my last one was fucking up my vision Can't believe this nigga still tryna get a percentage I gave you back your investment, get out your feelings Telling people that the money changed me Nigga, the money saved me Nigga, money is the reason that you fuck with me, ain't it? And even though this shit got me angry, I'ma let God fix it 'Cause I know if I fix it, my daughter gon' have to grow up without a father figure I'ma end up in prison Wishing I never got into this business It's nothing personal, I made a business decision I might have a job for you if you shape or you could fill the position That's as real as it gets And sometimes I don't know how to deal with this shit I've been searching for the answers in my idol's music In his earlier days, man, I know he went through this He got through this, I'll get through it   Before you judge me Check yourself before you judge me Hey, shit could get ugly Next time you might not be so lucky What you want from me? What these niggas want from me? This is a, ""Don't fuck with me"" Hey, think twice before you fuck with me   Check yourself Check, check, check Check, check yourself before you wreck yourself Chiddity-check, check yourself before you wreck yourself Check yourself before you wreck yourself Yeah Check, check yourself before you wreck yourself Before you wreck yourself, check, check, check",-0.9964,36,17,31,21,20,40,41,21,24,25
6,/songs/3330044,Bryson Tiller,Birmingham,https://genius.com/Bryson-tiller-birmingham-lyrics,http://api.genius.com/songs/3330044,None,2017-11-21," Oh, you said, we wasn't gon' pop off? That's what I thought you said Now, let me offer this as a rebuttal  Ooh, ooh Gang, gang, gang Fuck what y'all was talkin' 'bout Gang, gang, gang This how we used to do, you know what I'm sayin? Drop the shit, fuck it   Ever since I got to Europe, I've been planning to see 20 million once again, this time, I'm playing for keeps I went double on my first, fuck you saying to me? I'll quit talking shit when these niggas quit playing with me God damn Birmingham, I got them bands on me He see 9,000 when he put the scan on me Now, he seen 20,000 apple, put the scan on me You-you get knocked off, get your dapper dan from me O-okay, I got the sauce, go heat up the pan for me You fast food r&b, yeah, that's too bland for me Aye, she a freak, oh, she gon' do that with two hands for me She never fucked a rapper, she gon' take a chance for me I go beastmode nigga, God Tiller, know that's me hoe He ain't no threat to me, I turn him to a mink coat You ain't safe, it's a breach hoe Get down on your knees, ya'll gon' make me trigger squeeze Gah damn, hold on, hold on, hold on   (ya'll gon' make me trigger squeeze) Like metaphorically tho, not actually busting gats and shit Fuck it, hold on, we ain't done, let me rap   Before you drop another track, I'm gon need my swag back Couple niggas been my sons, fuck a dad hat I ran up on my stats, you gon have to match that Before you talk anymore trash, not behind my back Buddy, say it to my face, shawty told me everything Don't you love when niggas hate on the shit they can't make I got a lot to say, I should drop a mixtape Fuck it, that shit is on the way Let's go!   Gang, gang, gang God Tiller! Back on my shit, you know what I'm saying, just having fun",-0.3222,20,9,10,14,8,26,13,2,2,8
7,/songs/3097951,Bryson Tiller,Blowing Smoke,https://genius.com/Bryson-tiller-blowing-smoke-lyrics,http://api.genius.com/songs/3097951,True to Self,2017-05-26," Ayy It's 7 A.M. in the morning, I been up since 3 Fuck it, I'ma keep going Yeah   Young Pen Griffey I go to, I go to bat for my niggas The pun was intended, nigga Wow, look how I'm livin', nigga Angels say watch how you spendin', nigga Devil say cop a new Bentley, nigga Might as well, quick as you get it, nigga Made a prediction, nigga Fortune teller, nigga Ayy, I got it, yeah, I get it, nigga You a rappin' contradiction, nigga Hunnid racks on a sticker New whip and I'm in it with her Set it off, this a stick up 'Tiller came to shake shit up Shakin' that shit up Then I go put another check in the bank, nigga Got a lot up on my plate, nigga Grandma need a new estate, nigga You a fraud, you a fake, nigga Can't keep up with the pace, nigga Get the fuck up out the race, nigga   Yeah, pump your brakes, go slow Pump your brakes, go slow Just like my shawty, she like it slow Yeah, and just like her, I heard it all before Don't let 'em fool you, they blowing smoke Yeah, they blowing smoke, yeah Yeah, I heard it all before Don't let 'em lie to you anymore Hey, don't let 'em lie to you anymore   Ayy, don't let 'em fool you, baby Gene Snyder, gear shift a nigga Need a lighter for the spliff, nigga I pull up in; a street fighter chain, hit a nigga Now that I got your attention, nigga Keep my name off your lips, nigga Hey, just like her, I don't take you serious, nigga No you can't be serious, nigga You can't be serious, nigga I can't even hear it, nigga Gotta be up on my tier, nigga You ain't nowhere near, nigga Young Tiller don't fear a nigga Ayy, this no joke, no smoke, no mirrors, nigga Know you seen me last year, nigga All at Cleveland Cavaliers, nigga Thoroughbred, I'm a winner D'USSE in my cup, I feel like Jigga Wins got me hittin' liquor (faded) And they got you niggas feelin' bitter (you mad) Bitch, I been a heavy hitter But you barely makin' plays, nigga Fuck it, let me demonstrate, nigga Home runnin', now I'm safe, nigga Guess I got what it takes, nigga Can't keep up with the pace, nigga Get the fuck up out the race, nigga   Yeah, pump your brakes, go slow Pump your brakes, go slow Just like my shawty, she like it slow Yeah, and just like her, I heard it all before Don't let 'em fool you, they blowing smoke Yeah, they blowing smoke, yeah Yeah, I heard it all before Don't let 'em lie to you anymore Hey, don't let 'em lie to you anymore",0.9625,14,9,12,6,8,21,21,9,6,14
8,/songs/3436962,Bryson Tiller,Bonnie & Clyde,https://genius.com/Bryson-tiller-bonnie-and-clyde-lyrics,http://api.genius.com/songs/3436962,None,2019-01-16," Pull Up And Hop Out The Whip (skrtt) You know That I Am The Shit (whoa) Hop Out Fly Like A Pallas I'm The Reason Why You Getting Jealous Cause My Girl Bad To The Bone (To The Bone) But She Did That On Her Own (On Her Own) She Can Get Anything She Want She Can Have Anything She Want She Be Telling Me Things That I Know That Turning Me On When She Throw That Looking So Good When She Walked Past Looking So Good Had To Grab That I Guess We Goals Now (Goals Now) I Guess They Know Now (Know Now) How We Roll Now   She Say She Love Me She Say She Fuck With Your Boy Can't Leave Her Lonely Do Anything For Your Boy And I Ain't Ever Had No Shit Like That Do You Like It When I Kiss Your Lips Like That Hand On Your Face And Your Hips Like That Spend A Little Money Get You Did Like That   Spend Money Get You Did Like That Do You Like It When I Kiss Like That Hands On Your Hips Like That   Tell Her What She Need To Know Never Tell Her What She Wanna Know (Never That) I Do Her Right Cause He Did Her Wrong (Fuck Him) I Do Her Right, She Deserves It All (That's My Baby) She A Queen Ain't No Topping That (No No) I'm A King She Gon' Tell You That (Yeah Yeah) And We Clean Like A Laundromat We The Real, Y'all Just Copy Cats (Y'all Just Copies) When You See Her Yeah You Know That's Me And I'm Better Than That Nigga Times 3 Can't Nobody Have Her But Me Can't Nobody Do Her Like Me Can't Nobody Love You Like Me I Ain't Here To Brag (Nah)  But I'm The Man And You Know Your Boy Fly Like He Peter Pan And You Know Our Love Higher Than The Ceiling Fan And When I'm In The Crowd I'm Your Biggest Fan   She Say She Love Me She Say She Fuck With Your Boy Can't Leave Her Lonely Do Anything For Your Boy And I Ain't Ever Had No Shit Like That Do You Like It When I Kiss Your Lips Like That Hand On Your Face And Your Hips Like That Spend A Little Money Get You Did Like That   Spend Money Get You Did Like That Do You Like It When I Kiss Like That Hands On Your Hips Like That",0.9994,13,11,12,3,16,20,20,5,14,8
9,/songs/2149919,Bryson Tiller,Break Bread,https://genius.com/Bryson-tiller-break-bread-lyrics,http://api.genius.com/songs/2149919,None,2014-10-01," Go out on the weekends I barely (Bah) Peace and prosperity (Oow) Drinking not heavily (She is) She can’t stop texting me (Nah) I don’t know why she sweating me (Ion't know why) Live bitches can’t get with me (Bah, bah) Niggas better stop testing me (Wooh, wooh) Niggas can’t break bread with me (God Tiller)   She ain't on the same shit Young Tiller on (nope, aight) Kick her to the curb, if she ain’t willing to learn I'mma send her home Grams in a zip lock bag for the time that I spend alone And I’m just getting stoned (Killer) Got green like Piccolo Ya ain't talking money Then the convo short like Krillin though (Short) Killer song by the bank Its killer all (Killer) Nigga fuck a celebrity status (Wooh) Long as my money long Cut me a check I'ma cash it (Cut me a check I'ma cash it) I don’t pay these niggas no mind Cause I can’t write that off in my taxes Headed to the bank just laughing Ironically I’m from the city of Cassius I done met a lot of temporary people Like I’m in the fuckin' temp service If you ain't real stay away I encourage All my niggas stay down inverted Hey save your energy conserve it Keep your two cents don’t insert it Check the blueprints I’m in the building Squad in the building We turn up for certain you spy on me I am in your recent searches, nigga   What the hell is you telling me When it comes to fame nigga I care the least Free loaders screaming ""Share with me, we go way back"" Stay back You especially   Go out on the weekends I barely (Ayy) Peace and prosperity (Ayy) Drinking not heavily (She is, ayy) She can’t stop texting me (Ayy) I don’t know why she sweating me (Ion't know why) Live bitches can’t get with me (Ayy) Niggas better stop testing me (Ayy) Niggas can’t break bread with me   I am no god A king at most I just wait for my rise The beast's off the leash Who invested some time with a hell of a grind See these hoes are not yours (Yours) And these hoes are not mine (Mine) Rolly bust out cause it happen on time Believed in my niggas (I did) I knew  we were gon’ shine (I knew) Shout out to my dawg Who invested some time I’m one of a kind but still on my grind (My grind) Don’t start it or stop it Drew Brees in my pocket My bitch, she so tropic (She is) Pull up in that optic (I do) These bitches can’t stop it We want it we cop it On IG I’m trending (Wooh) My name is the topic Pull up in that aw shit (Skrrt, skrrt, skrrt) He bugging we off him My flow I be on it Don’t see no components (I don't) R.I.P to L.A (L.A.) They know I Capone it, they know I be on it (I do) They say numbers don’t lie (They don't) Including as pointers My niggas got work (Whip) Ain't talking employment Now go make your appointment She rub me like ointment   What the hell is you telling me (Come again?) When it comes to fame nigga I care the least (I swear I do) Free loaders screaming ""Share with me, we go way back"" Stay back You especially   Go out on the weekends I barely (Ayy) Peace and prosperity (Ayy) Drinking not heavily (She is, ayy) She can’t stop texting me (Ayy) I don’t know why she sweating me (Ion't know why) Live bitches can’t get with me (Ayy) Niggas better stop testing me (Ayy) Niggas can’t break bread with me",-0.9941,22,23,14,16,19,27,47,10,8,33
