,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/702251,Calvin Harris,5am,https://genius.com/Calvin-harris-5am-lyrics,http://api.genius.com/songs/702251,None,2015-02-10," Tryna live my life any way I like it Never let a simp' nigga mess up my eye lid Something 'bout yo' eyes, they hit me by surprise, shit Feelin' hella sprung, if you with it then you got it I've been waitin' up, nothin' on but your chain now Filling up the tub, what's the scent of the day now Boy you can't resist it, boy you know you miss it Can we find a way?   5 am I can't eat right, I can't sleep night I can't do anything without you I've been running from you all night and now it feel like I can't do anything without you Want you I want you babe I want it baby Want you I want you babe Yeah I need it baby Want you I want you babe I want it baby   5 am and I want you baby 5 am and I want you baby   What you tryna play boy, you know I'm ready I'm like a buffet, body's yours for the taking Almost done for breakfast, tell me you gon' make it7Hungry, hungry boy, you'll be begging for the bacon Practising my tricks, I got plenty Throw one down right now if you'd let me Tell me what you like Ride if you ready, ride if you ready, ide if you ready     Cause it's 5am, 5am I can't eat right I can't sleep right Won't do anything without you Can't do anything without you  ",0.9807,4,5,6,1,6,13,9,0,2,0
1,/songs/132744,Calvin Harris,Acceptable in the 80s,https://genius.com/Calvin-harris-acceptable-in-the-80s-lyrics,http://api.genius.com/songs/132744,I Created Disco,2006-12-11," It was acceptable in the '80s It was acceptable at the time It was acceptable in the '80s It was acceptable at the time   I got love for you If you were born in the '80s, the '80s I've got hugs for you If you were born in the '80s, the '80s I'll do things for you If you were born in the '80s, the '80s I've got hugs for you If you were born in the '80s, the '80s Yeah   It was acceptable in the '80s It was acceptable at the time It was acceptable in the '80s It was acceptable at the time   I got love for you If you were born in the '80s, the '80s I've got hugs for you If you were born in the '80s, the '80s I'll do things for you If you were born in the '80s, the '80s I've got hugs for you If you were born in the '80s, the '80s Yeah   It was acceptable in the '80s It was acceptable at the time It was acceptable in the '80s It was acceptable at the time",0.9933,0,6,0,0,6,0,18,0,0,4
2,/songs/512820,Calvin Harris,Blame,https://genius.com/Calvin-harris-blame-lyrics,http://api.genius.com/songs/512820,Motion,2014-09-07," Can't be sleeping Keep on waking without the woman next to me Guilt is burning, inside I'm hurting This ain't a feeling I can keep   So blame it on the night Don't blame it on me, don't blame it on me Blame it on the night Don't blame it on me, don't blame it on me   Blame it on the night Don't blame it on me, don't blame it on me So blame it on the night Don't blame it on me, don't blame it on me   Can't you see it? I was manipulated I had to let her through the door I had no choice in this, I was the friend she missed She needed me to talk   So blame it on the night Don't blame it on me, don't blame it on me Blame it on the night Don't blame it on me, don't blame it on me   Blame it on the night Don't blame it on me, don't blame it on me So blame it on the night Don't blame it on me, don't blame it on me   Oh I'm so sorry, so sorry baby (I'll be better this time...) I will be better this time I got to say, I'm so sorry Oh I promise (I'll be better this time, I'll be better this time...)   Don't blame it on me Don't blame it on me",-0.997,28,5,28,2,4,29,24,3,1,21
3,/songs/2290980,Calvin Harris,Blue,https://genius.com/Calvin-harris-blue-lyrics,http://api.genius.com/songs/2290980,Ready for the Weekend,2009-08-14," I've got to stop waiting for you And move onto someone new But everything around me is blue The colour that reminds me of you I've got to stop looking back My head can get lost off track And I know that you're not comin' back But Lord, I wish you would now   I feel like my life's cut short I feel like my love's shop-bought I'm looking happy but I'm not No I'm not, no, my baby I feel like my life's cut short I feel like my love's shop-bought I'm looking happy but I'm not No, no, no, oh   When I think there's nothing left to lose I take a look at what's in front of you It's upsetting when I'm forced to choose I'm reminded of the colour blue When I think there's nothing left to lose I take a look at what's in front of you It's upsetting when I'm forced to choose I'm reminded of the colour blue   I've got to stop waiting for you And move onto someone new But everything around me is blue The colour that reminds me of you I've got to stop looking back My head can get lost off track I know that you're not comin' back But Lord, I wish you would now   When I think there's nothing left to lose I take a look at what's in front of you It's upsetting when I'm forced to choose I'm reminded of the colour blue When I think there's nothing left to lose I take a look at what's in front of you It's upsetting when I'm forced to choose I'm reminded of the colour blue",-0.3382,4,4,6,8,5,12,7,12,4,4
4,/songs/60390,Calvin Harris,Bounce,https://genius.com/Calvin-harris-bounce-lyrics,http://api.genius.com/songs/60390,18 Months,2011-06-10," Bounce Bounce Bounce Bounce   I can't believe it, every day and every night Is gettin' better with you out of my life It's like I flicked a switch, and now I'm feeling good No way to stop it, now you wish that you could When the weekend comes, I know I feel alive You will be the last thing on my mind No regrets, do you know what that means?   Well, it's hot, it's loud, it's wild We'll bounce to this track And I don't care what anybody thinks about that   Hands to the sky, and throw your head back I can love again tonight We bounce to this track And I don't care what anybody thinks about that Hands to the sky, and throw your head back   Bounce Bounce Bounce   Well, it's hot, it's loud, it's wild We'll bounce to this track And I don't care what anybody thinks about that I don't care what anybody thinks about that",0.5978,3,6,1,1,4,4,10,2,4,7
5,/songs/3105140,Calvin Harris,Cash Out,https://genius.com/Calvin-harris-cash-out-lyrics,http://api.genius.com/songs/3105140,Funk Wav Bounces Vol. 1,2017-06-30," You can rock it, you can sock it You can even put on your brand new jacket Because I'm the man who can put you in the musical brackets   Uh, party like it's 1980 Where the afro shiny and the girls all purty Where the white girl molly And a dark-skinned Kylie, can I rock both bodies? Ayy New 'Rari, how I ride, both shotty, uh Keep your table, can we boogie on the floor? I've been stressin' all week, tryna clear it through the door now Ballin' like LeBron now, shots like a pro now Hella weed, yeah, it goes 'round Let me tell you how it goes down I ain't drivin' when it's goin', now pour me another cup This your favorite song on, don't tell me you in a rush When I give you all I have, you tell me it ain't enough I've been tryna clear our mind and wine and dine ya See I know just how you like it, I'll back behind ya If I look up at the stars, ain't hard to find ya, ayy   Passin' all them neighbors, cash out (cash out) Smashin' all them 'Raris, dash out (dash out) 'Member all them nights we used to trap out? Now we count until we pass out Passin' all them neighbors, cash out (cash out) Smashin' all them 'Raris, dash out (dash out) 'Member all them nights we used to trap out? Now we count it up until we pass out   Yo, uh, we gon' party like it's 1980 In a buggy-eyed 'Cedes or a dopeboy Caddy With a nickel bag baggie, gold Rolex Timin' for your climax climbin', got the bedsheets jumpin' With your heartbeat pumpin' and your love keep comin' Shake somethin', break somethin', shit, I'm tryna work somethin' Sho' you right, motorbike, you could ride me overnight, uh Never been one to judge, we rushin' back to the club Put it down from above, your body my only drug We do it like Vegas, rich and famous We doin' it major, we wakin' the neighbors   Passin' all them neighbors, cash out (cash out) Smashin' all them 'Raris, dash out (dash out) 'Member all them nights we used to trap out? Now we count until we pass out Passin' all them neighbors, cash out (cash out) Smashin' all them 'Raris, dash out (dash out) 'Member all them nights we used to trap out? Now we count it up until we pass out   Yeah, yeah, yeah, yeah, yeah, yeah, yeah Oooohhh Say yeah, yeah, yeah, yeah Yeah Say yeah, yeah (yeah, yeah) yeah, yeah Okay, okay, okay, it's on, hey   Let's party like the '70s, blowin' on hella tree Broccoli and collard greens (collard greens) It don't matter to me, yeah, yeah Let's party like the '70s, blowin' on hella tree Broccoli and collard greens (collard greens) It don't matter to me, yeah, yeah, yeah Let's party like the '70s, blowin' on hella tree Broccoli and collard greens (collard greens) It don't matter to me, yeah, yeah, yeah Let's party like the 70's, blowing on hella tree Broccoli and collard greens (collard greens) It don't matter to me, yeah, yeah, yeah   '70s Hella tree Collard greens, to me We play, babe",0.9986,16,22,6,9,28,2,47,3,9,41
6,/songs/1124461,Calvin Harris,Century,https://genius.com/Calvin-harris-century-lyrics,http://api.genius.com/songs/1124461,None,2018-05-28,Hello  Hello Can you hear me? Now put your hands in the air For a century  Hello If you hear me Now put your hands in the air For a century  Hello Can you hear me? Now put your hands in the air For a century  Hello If you hear me Now put your hands in the air For a century  Hello Can you hear me? Now put your hands in the air For a century  Hello If you hear me Now put your hands in the air For a century  Hello,0.0,0,0,0,0,0,0,0,0,0,0
7,/songs/2425464,Calvin Harris,Clouds,https://genius.com/Calvin-harris-clouds-lyrics,http://api.genius.com/songs/2425464,None,2005-01-01, My flow is nasty like tofu Have you sitting on clouds like a young Goku Dope niggas locked out four year rap trotted The sun is now gone See dark clouds coming out Boozy Brandy and Bacardi Beverages   But something was always missing like 6Dz I step through the stomach Replace the baby with some looking pounds You shouldn't look back to the past in fact just look up in the clouds But five years from now I bet she see   Ripping holes in clouds as my altitude diminishes How I do it thinking I'm new to this In the clouds where I sit off another spliff Vicious viscous clouds your flow Victory is my impulse   One look at the clouds Do you see me? Addicted to the hobby of making rap writings   No dark clouds Just silver linings,-0.7269,3,4,3,2,5,5,8,4,2,3
8,/songs/1964546,Calvin Harris,Colours - seamus haji big love dub,https://genius.com/Calvin-harris-colours-seamus-haji-big-love-dub-lyrics,http://api.genius.com/songs/1964546,None,2018-05-28,"Yeah Uh, uh, ah  Now I don't care what you dress like Or what you wear But please make sure baby You've got some colours in there Now it's all very well stepping out in black and white But you're no girlfriend of mine If you're doing that right (repeat)  Get some colours on, get some colours on  Now I don't care what you dress like Or what you wear But please make sure baby You've got some colours in there Now it's all very well stepping out in black and white But you're no girlfriend of mine If you're doing that right  Get some colours on, get some colours on Get some colours on, get some colours on  Yeah Uh, uh, ah",0.9385,0,2,0,0,4,4,6,2,0,6
9,/songs/2421670,Calvin Harris,Couldn't,https://genius.com/Calvin-harris-couldnt-lyrics,http://api.genius.com/songs/2421670,None,2004-07-04," Couldn't understand why things Soon as the stooly sings And it wasn't cause she couldn't control us Look, i'm back like niggas on a bus Oh i see you couldn't stop, it wasn't your fault, you couldn't restrain/ Who do you blame? it's a shame because the man's slain Fuck it turn my mic up a lil bit Too much greatness, you couldn't even grasp it Damn, they wanna label me a menace But still couldn't find any hope crevice And i don't run counters no more Couldn't find a thing worth fighting for,I couldn't imagine what would happen She smiles; a niggas full of passion I'm done thinking, this ain't enough drinking Couldn't keep sleeping, but kept thinking  [Instrumental Break + Verse + Instrumental Break]",-0.7006,5,3,3,3,4,8,9,2,5,6
