,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2962790,Cardi B,Back It Up,https://genius.com/Cardi-b-back-it-up-lyrics,http://api.genius.com/songs/2962790,"Gangsta Bitch Music, Vol. 2",2017-01-20,"[Intro: Konshens, Cardi B & (Hoodcelebrityy)] Yeah Cardi Aw yeah (Hoodcelebrityy)   Hey gyal, beg you listen to my offer Yuh body, me a beg a likkle wine offer This a nuh sum'n for your smile after Me guarantee it a go bun yuh like lava   Back it up for me Back it up for me, girl Back it up for me Back it up for me   Back it up, I'm sittin' while me back it up So me jack it up, sit down pon di cocky suh Him wah his cocky suck, so me take me tongue and plap it up Suck 'til cocky bruk, em seh gyal how you suh sloppy suh Bwoy, you a deal wid di realest And when me a cum, you gon' feel it Give you the best fuckin' of yuh life The way me back it up, me swear you naa go leave tonight Hey boy, watch how me a go put pah yuh The way me deal wid it, dem call me cumy master Dah pussy tight, so yuh cum faster And when me done wid you, you a go need wata   Back it up for me Back it up for me, girl Back it up for me Back it up for me   Gyal, mek it clap fi di Don Back it up pon me, me have di cash inna hand Pussy a buss out a di damn piece a thong So me love when gyal grab the mic, sing a song That's right, yuh titty dem a buss out a yuh dress like The strippers dem a wah yuh dress like Dem gyal deh me love, dem have the best vibe Me woulda fuck yuh 'til death and fuck yuh inna the next life   Hey gyal, beg you listen to my offer Yuh body, me a beg a likkle wine offer This a nuh sum'n for your smile after Me guarantee it a go bun yuh like lava   Back it up for me Back it up for me, girl Back it up for me Back it up for me   Yuh say yuh love it how me back it up Pussy fat, print out, me nuh affi pack it up Position, look round a back, how you a mash it up Pussy nice and firm, it get the cocky tough Wooii, yuh say me bad, yuh need a wine afta And the pussy, yah sumn you'd a die afta Give it to you one time, you woulda cry afta But me nuh waa nuh watchman weh come fi spy afta, wooii   Hey gyal, beg you listen to my offer Yuh body, me a beg a likkle wine offer This a nuh sum'n for your smile after Me guarantee it a go bun yuh like lava   Back it up for me Back it up for me, girl Back it up for me Back it up for me",0.9452,8,8,6,8,11,22,24,14,7,14
1,/songs/3344378,Cardi B,Bartier Cardi,https://genius.com/Cardi-b-bartier-cardi-lyrics,http://api.genius.com/songs/3344378,Invasion of Privacy,2017-12-22," Bardi in a 'Rari, diamonds all over my body (30, you a fool for this one) Shinin' all over my body Bardi, put that lil' bitch on molly, Bardi! Bitch on Molly (Cheeze) 21, diamonds all over my body Fucked that bitch on molly (KSR) Ask him if I'm 'bout it   Your bitch wanna party with Cardi Cartier Bardi in a 'Rari (21) Diamonds all over my body (Cardi) Shinin' all over my body (my body) Cardi got your bitch on molly Bitch, you ain't gang, you lame Bentley truck lane to lane, blow out the brain (21) I go insane, insane I drop a check on the chain, fuck up a check in the Flame Cardi took your man, you upset, uh Cardi got rich, they upset, yeah (from what?) Cardi put the pussy on Offset (say what?) Cartier, Cardi B brain on Offset (21) Cardi took your man, you upset, uh Cardi got rich, they upset, yeah (21) Cardi put the pussy on Offset (Cardi) Cartier, Cardi B brain on Offset (who's Cardi?)   Who get this motherfucker started? (Cardi) Who took your bitch out to party? (Cardi) I took your bitch and departed (Cardi) Who that be fly as a Martian? (Cardi) Who that on fleek in the cut? (Cardi) Who got the bricks in the truck? (Cardi) Them diamonds gon' hit like a bitch on a bitchy ass bitch Bitch, you a wannabe Cardi Red bottom MJ, moonwalk on a bitch Moonwalkin' through your clique I'm moonwalkin' in the 6 Sticky with the kick, moonrocks in this bitch I'm from the motherfuckin' Bronx (Bronx) I keep the pump in the trunk (trunk) Bitch, if you bad then jump (jump) Might leave your bitch in a slump (your back)   Your bitch wanna party with Cardi Cartier Bardi in a 'Rari (21) Diamonds all over my body (Cardi) Shinin' all over my body (my body) Cardi got your bitch on molly Bitch, you ain't gang, you lame Bentley truck lane to lane, blow out the brain (21) I go insane, insane I drop a check on the chain, fuck up a check in the Flame Cardi took your man, you upset, uh Cardi got rich, they upset, yeah (from what?) Cardi put the pussy on Offset (say what?) Cartier, Cardi B brain on Offset (21) Cardi took your man, you upset, uh Cardi got rich, they upset, yeah (21) Cardi put the pussy on Offset (Cardi) Cartier, Cardi B brain on Offset   Your bitch wanna party with a Savage (21) Saint Laurent Savage in an Aston (yeah) High end cars and fashion (21) I don't eat pussy, I'm fastin' (on God) I'm a Blood, my brother Crippin' Bitch, I'm drippin', ho, you trippin' Told the waitress, I ain't tippin' I like hot sauce on my chicken (on God) I pulled the rubber off and I put hot sauce on her titties (21) I'm in a Bentley truck, she keep on suckin' like it's tinted (21) All these VVSs, nigga, my sperm worth millions (on God) The bitch so bad, I popped a Molly 'fore I hit it (21, 21)   Your bitch wanna party with Cardi Cartier Bardi in a 'Rari (21) Diamonds all over my body (Cardi) Shinin' all over my body (my body) Cardi got your bitch on molly Bitch, you ain't gang, you lame Bentley truck lane to lane, blow out the brain (21) I go insane, insane I drop a check on the chain, fuck up a check in the Flame Cardi took your man, you upset, uh Cardi got rich, they upset, yeah (from what?) Cardi put the pussy on Offset (say what?) Cartier, Cardi B brain on Offset (21) Cardi took your man, you upset, uh Cardi got rich, they upset, yeah (21) Cardi put the pussy on Offset (Cardi) Cartier, Cardi B brain on Offset (who's Cardi?)   Step in this bitch in Givenchy (cash) Fuck up a check in Givenchy (cash) Boss out the coupe and them inches I fuck up a bag at the Fendi, I fuck up a bag in a minute Who you know drip like this? Who you know built like this? I'm poppin' shit like a dude Pull up to pop at your crew, brrrt, poppin' at you (woo) They say you basic, I flooded the Rollie with diamonds I flooded the Patek and bracelet I got your bitch and she naked Ice on the cake when I bake it I'm switchin' lanes in the Range Swap out the dick for the brain Swap out your bitch for your main Swap out the trap for the fame Ice on them Cardi B Cartier frames, bitch   Your bitch wanna party with Cardi Cartier Bardi in a 'Rari (21) Diamonds all over my body (Cardi) Shinin' all over my body (my body) Cardi got your bitch on molly Bitch, you ain't gang, you lame Bentley truck lane to lane, blow out the brain (21) I go insane, insane I drop a check on the chain, fuck up a check in the Flame Cardi took your man, you upset, uh Cardi got rich, they upset, yeah (from what?) Cardi put the pussy on Offset (say what?) Cartier, Cardi B brain on Offset (21) Cardi took your man, you upset, uh Cardi got rich, they upset, yeah (21) Cardi put the pussy on Offset (Cardi) Cartier, Cardi B brain on Offset (who's Cardi?)",-0.9995,72,22,36,53,16,74,40,53,3,15
2,/songs/3615018,Cardi B,Be Careful,https://genius.com/Cardi-b-be-careful-lyrics,http://api.genius.com/songs/3615018,Invasion of Privacy,2018-03-30," Yeah Care for me, care for me, care for me, uh Yeah, look   I wanna get married, like the Currys, Steph and Ayesha shit But we more like Belly—Tommy and Keisha shit Gave you TLC, you wanna creep and shit Poured out my whole heart to a piece of shit Man, I thought you would've learned your lesson 'Bout likin' pictures, not returnin' texts I guess it's fine, man, I get the message You still stutter after certain questions You keep in contact with certain exes Do you, though, trust me, nigga, it's cool, though Said that you was workin', but you out here chasin' culo And putas, chillin' poolside, livin' two lives I could've did what you did to me to you a few times But if I did decide to slide, find a nigga Fuck him, suck his dick, you would've been pissed But that's not my M.O., I'm not that type of bitch And karma for you is gon' be who you end up with You make me sick, nigga   The only man, baby, I adore I gave you everything, what's mine is yours I want you to live your life of course But I hope you get what you dyin' for Be careful with me, do you know what you doin'? Whose feelings that you're hurtin' and bruisin'? You gon' gain the whole world But is it worth the girl that you're losin'? Be careful with me Yeah, it's not a threat, it's a warnin' Be careful with me Yeah, my heart is like a package with a fragile label on it Be careful with me   Care for me, care for me Always said that you'd be there for me, there for me Boy, you better treat me carefully, carefully, look   I was here before all of this Guess you actin' out now, you got an audience Tell me where your mind is, drop a pin, what's the coordinates? You might have a fortune, but you lose me, you still gon' be misfortunate, nigga Tell me, this lust got you this fucked up in the head You want some random bitch up in your bed? She don't even know your middle name, watch her 'cause she might steal your chain You don't want someone who loves you instead? I guess not though It's blatant disrespect, you nothin' like the nigga I met Talk to me crazy and you quick to forget You even got me trippin', you got me lookin' in the mirror different Thinkin' I'm flawed because you inconsistent Between a rock and a hard place, the mud and the dirt It's gon' hurt me to hate you, but lovin' you's worse It all stops so abrupt, we started switchin' it up Teach me to be like you so I can not give a fuck Free to mess with someone else, I wish these feelings could melt 'Cause you don't care about a thing except your mothafuckin' self You make me sick, nigga   The only man, baby, I adore I gave you everything, what's mine is yours I want you to live your life of course But I hope you get what you dyin' for Be careful with me, do you know what you doin'? Whose feelings that you're hurtin' and bruisin'? You gon' gain the whole world But is it worth the girl that you're losin'? Be careful with me Yeah, it's not a threat, it's a warnin' Be careful with me Yeah, my heart is like a package with a fragile label on it Be careful with me",0.9391,20,17,18,17,15,33,36,16,13,17
3,/songs/3627145,Cardi B,Best Life,https://genius.com/Cardi-b-best-life-lyrics,http://api.genius.com/songs/3627145,Invasion of Privacy,2018-04-06," I'm livin' my best life, yeah, yeah I'm livin' my best life Made a couple M's, you know (IGH! Huh!)   Said I'm livin' my best life Said I'm livin' my best life Made a couple M's with my best friends Turned all my L's into lessons You see the whip pullin' up, it's like ""skrrt"" Dreams pullin' up, I'm like ""skrrt"" I'm livin' my best life It's my birthday, at least that's what I'm dressed like   I'm like Big Pop' mixed with 2Pac, I'm like Makaveli (yeah) You need some, Little Caesar's pizza, I be hot and ready (woo) Nigga, you a pussy and a rat, you like Tom and Jerry Nigga, you ain't ballin', you just talkin', that's that commentary (huh) I was in the field, man, I slaved for this (yeah) Had to talk to God, dropped down, and prayed for this To my surprise, He replied, said, ""You made for this"" I seen the car I wanted, then I went and paid for it, cash cash Hit the Tay-K, I hit the race, hit the dash dash That's when they came for me on Twitter with the backlash ""#CardiBIsSoProblematic"" is the hashtag I can't believe they wanna see me lose that bad They talkin' junk and they stink, these hoes mad trash I'm gigglin', can't let the devil have the last laugh Ain't no more beefin', I'm just keepin' to myself I'm my own competition, I'm competin' with myself (brrr)   I told y'all, I said I'm livin' my best life (woo) I told y'all, I said I'm livin' my best life (ayy) I made a couple M's with my best friends Turned all my L's into lessons (skrrt, skrrt) You see the whip pullin' up, it's like ""skrrt"" (like skrrt) Dreams pullin' up, I'm like ""skrrt"" (like skrrt) I'm livin' my best life It's my birthday, at least that's what I'm dressed like (Chance, The Rapper)  [Verse 2: Chance The Rapper] You don't like money, I can see it your eye You don't like winnin', I can see it in your tie Better be careful with these women when you trickin', send it fly She count money in her sleep and she don't ever spend the night But she trappin' and she had to make it happen for her life Don't be mad because she havin', shit, you had it your whole life We had baggage on our flight, we had badges on our asses You got passes in your life, you had gadgets on your bike God work magic, God work magic, God work magic in my life And that guala like Iyanla 'cause that bag just fixed my life And y'all know good and damn well I don't want no champagne But can we please get some more champagne? Please, no Andre, G like 'Venchy Reach like 'Bron James, pep talk from Yoncé 'Member my hands had ash like Pompeii Now they hold cash, won't peak like Dante   I told y'all, I said I'm livin' my best life I told y'all, I said I'm livin' my best life (ayy) I made a couple M's with my best friends Turned all my L's into lessons You see the whip pullin' up, it's like ""skrrt"" (skrrt, skrrt, like skrrt) Dreams fillin' up, I'm like ""skrrt"" (like skrrt) I'm livin' my best life It's my birthday, at least that's what I'm dressed like   I said I never had a problem showin' y'all the real me Hair when it's fucked up, crib when it's filthy Way-before-the-deal me, strip-to-pay-the-bills me 'Fore I fixed my teeth, man, those comments used to kill me But never did I change, never been ashamed Never did I switch, story stayed the same I did this on my own, I made this a lane Y'all gotta bear with me, I been through some things Went from small-ass apartments to walkin' red carpets Pissy elevators, now every dress is tailored This some real-life fairy tale Binderella shit I got further than them hoes said I will ever get And that only goes to show that only God knows I took pictures with Beyoncé, I met Mama Knowles I'm the rose that came from the concrete and arose I'm like gold, I'm life goals, man, I'm chosen, I'm floatin', ayy   I told y'all, I said I'm livin' my best life I told y'all, I said I'm livin' my best life (ayy) I made a couple M's with my best friends Turned all my L's into lessons (hey, hey, hey, hey) You see the whip pullin' up, it's like ""skrrt"" (like skrrt) Dreams pullin' up, I'm like ""skrrt"" (like skrrt) I'm livin' my best life It's my birthday, at least that's what I'm dressed like   Skrrt skrrt, it's goin' down right now Skrrt skrrt, Jamie Foxx in your town like Skrrt skrrt, money pilin' up, man All the blessings comin' down You don't know 'bout nothin' (you don't know) You don't know 'bout nothin' (ayy) You don't know 'bout nothin' You don't know 'bout nothin' (I told y'all, I told y'all) You don't know 'bout nothin' (I t-, I told y'all, I told y'all) You don't know 'bout nothin' (told y'all, I t-, I told y'all) You don't know 'bout nothin' (you don't know) You don't know 'bout nothin' You don't know 'bout nothin' (ayy, ayy, ayy, ayy) You don't know 'bout nothin' (ayy, ayy, ayy, ayy) You don't know 'bout nothin' (ayy, ayy, ayy, ayy) You don't know 'bout nothin' (ayy, ayy, ayy, ayy)",0.9994,35,27,13,19,25,41,58,10,15,49
4,/songs/3627143,Cardi B,Bickenhead,https://genius.com/Cardi-b-bickenhead-lyrics,http://api.genius.com/songs/3627143,Invasion of Privacy,2018-04-06," Goes for all my nasty hoes, yeah (A-alright, alright, alright, alright, alright) From across the globe, woo (Hol' up) This goes for all my nasty hoes, yeah (Alright-alright, alright, alright, alright, alright) From across the globe, look, uh   Now, I said luxury apartments (Wow) I'm young and I'm heartless (Yeah) There's a bitch that ain’t my bitch then that bitch is a target (Brrr) Lawyer is a Jew, he gon' chew up all the charges Don't matter if you fuck with me, I get money regardless (cash)   That guap, guap, get some chicken Guap, guap, get some bread Guap, guap, get some chicken Guap, guap, get some bread Bitch you pressed, you can flex Get some money, ho, tell me why you stressed   Now I said, hoes down, Gs up (Gs up) You know how I'm rockin', but my watch is freezed up (Ice!) I can't wait until they drop that Lamborghini truck (skrrt!) I'm careful where I park it, hoes will have it keyed up Them bitches getting beat up (Brrrat!) Slim waist, ass fat (fat), my shit is caked up My bad bitch at the bake (yeah), without no makeup This that collard greens, cornbread, neck bone, back fat Get it from my mama and you don't know where your daddy at Knick-knack, paddywhack, give a dog a bone (Bone) Put it on him, then your nigga never comin' home (Home) I'ma flex like a 'roid, I'm a ten, she a 'droid Stupid ho, unimportant, unattractive, unemployed   Get some guap, guap, get some chicken Guap, guap, get some bread Guap, guap, get some chicken Guap, guap, get some bread Bitch, you pressed, you can flex Get some money, ho, tell me why you stressed, uh Guap, guap, get some chicken   I need that cheese, shorty Show me where it's at (boy, please, whatever) You play with me (Guap-guap, chicken-chicken) I might pop up where you at (boy, please, whatever) You make-believe (Guap-guap, chicken-chicken) Now with me it's only facts (boy, please, whatever) Expensive weave, and my checks is worth some racks, uh   Yeah, pop that pussy like you ain't popped that pussy in a while Pop that pussy like poppin' pussy is goin' out of style Pop that pussy while you work, pop that pussy up at church Pop that pussy on the pole, pop that pussy on the stove Make that pussy slip and slide, like you from the 305 Put your tongue out in the mirror, pop that pussy while you drive Spread them asscheeks open, make that pussy crack a smile Lock your legs 'round that nigga, make him give your ass a child (woo) Gimme some neck, gimme a check Pussy so good, make a nigga invest Get a little spit, I'm gettin' it wet I'll get it back up, just give me a sec' Give him some vag', I'm gettin' a bag Give him some ass, I'm gettin' some Raf When I'm done, I make him cum, but then he comin' off that cash   Get you some guap, guap, get some chicken Guap, guap, get some bread Guap, guap, get some chicken Guap, guap, get some bread Bitch, you pressed, you can flex Get some money, ho, tell me why you stressed, uh Guap, guap, get some chicken   I need that cheese, shorty Show me where it's at (boy, please, whatever) You play with me (Guap-guap, chicken-chicken) I might pop up where you at (boy, please, whatever) You make-believe (Guap-guap, chicken-chicken) Now with me it's only facts (boy, please, whatever) Expensive weave, and my checks is worth some racks, uh   Alright-alright, alright, alright, alright, alright Alright-alright, alright, alright, alright, alright Alright-alright, alright, alright, alright, alright Alright-alright, alright, alright, alright, alright",0.9411,19,12,24,32,13,41,20,20,17,17
5,/songs/3095483,Cardi B,Bodak Yellow,https://genius.com/Cardi-b-bodak-yellow-lyrics,http://api.genius.com/songs/3095483,Invasion of Privacy,2017-06-16," KSR It's Cardi, ayy Said, ""I'm the shit, they can't fuck with me if they wanted to"" I dont gotta dance   Said, ""Lil bitch, you can't fuck with me if you wanted to"" These expensive, these is red bottoms, these is bloody shoes Hit the store, I can get 'em both, I don't wanna choose And I'm quick, cut a nigga off, so don't get comfortable, look I don't dance now, I make money moves (ay, ay) Say I don't gotta dance, I make money move If I see you and I don't speak, that means I don't fuck with you I'm a boss, you a worker, bitch, I make bloody moves   Now she say she gon' do what to who? Let's find out and see Cardi B, you know where I'm at, you know where I be You in the club just to party, I'm there, I get paid a fee I be in and out them banks so much, I know they're tired of me Honestly, don't give a fuck 'bout who in front of me Dropped two mixtapes in six months, what bitch working as hard as me? I don't bother with these hoes, don't let these hoes bother me They see pictures, they say, ""Goals,"" bitch, I'm who they tryna be Look, I might just chill in some BAPE, I might just chill with your boo I might just feel on your babe, my pussy feel like a lake He wanna swim with his face, I'm like, ""Okay"" I'll let him get what he want, he buy me Yves Saint Laurent And the new whip, when I go fast as a horse, I got the trunk in the front I'm the hottest in the street, know you prolly heard of me Got a bag and fixed my teeth, hope you hoes know it ain't cheap And I pay my mama bills, I ain't got no time to chill Think these hoes be mad at me, their baby father run a bill   Said, ""Lil bitch, you can't fuck with me if you wanted to"" These expensive, these is red bottoms, these is bloody shoes Hit the store, I can get 'em both, I don't wanna choose And I'm quick, cut a nigga off, so don't get comfortable, look I don't dance now, I make money moves Say I don't gotta dance, I make money move If I see you and I don't speak, that means I don't fuck with you I'm a boss, you a worker, bitch, I make bloody moves   If you a pussy, you get popped, you a goofy, you a opp Don't you come around my way, you can't hang around my block And I just checked my accounts, turns out, I'm rich, I'm rich, I'm rich I put my hand above my hip, I bet you dip, he dip, she dip I say I get the money and go, this shit is hot like a stove My pussy glitter is gold, tell that lil bitch play her role I just arrove in a Rolls, I just came up in a Wraith I need to fill up the tank, no, I need to fill up the safe I need to let all these hoes know that none of their niggas is safe I go to dinner and steak, only the real can relate I used to live in the P's, now it's a crib with a gate Rollie got charms, look like Frosted Flakes Had to let these bitches know, just in case these hoes forgot I just run and check the mail, another check from Mona Scott   Said, ""Lil bitch, you can't fuck with me if you wanted to"" These expensive, these is red bottoms, these is bloody shoes Hit the store, I can get 'em both, I don't wanna choose And I'm quick, cut a nigga off, so don't get comfortable, look I don't dance now, I make money moves Say I don't gotta dance, I make money move If I see you and I don't speak, that means I don't fuck with you I'm a boss, you a worker, bitch, I make bloody moves",-0.1223,33,16,20,19,22,35,53,21,9,50
6,/songs/2435742,Cardi B,BON,https://genius.com/Cardi-b-bon-lyrics,http://api.genius.com/songs/2435742,Gangsta Bitch Music Vol. 1 ,2016-03-07,"Fuck all that talking shit Fuck all that stalling shit I came here to eat I ain't with that starving shit Been on the hustle since young, so I been involved in shit: The fakes, the snakes, heartbreaks-- I mean all of it I'm in my zone now and I ain't gon fold up They like Cardi all grown up yea bitch I glo'ed up They ain't see the blizzard coming these niggas done froze up They mad they been sleeping on me just be like you woke up I don't make scenes I just make movies Clip after clip after clip call it a uzi I feel like a bad ass, I feel like I'm Boosie They quick to judge a bitch just wish they knew me I know a couple hittas done pulled a couple triggers Violate me they gon come and get you And I'm tired of y'all baby mamas y'all nothing but drama Always worrying about the new bitch why you so foolish watching my moves you like how I do shit I make you feel insecure but that's not my problem Just worry about your kid and I'ma keep popping my collar And for those who want to know I'm not your average hoe I be on my bullshit, but yea I got standards though Yeah I fucked a couple niggas pulled a couple tricks Bust a couple splits sucked a couple dicks But there is a story to everything and that's just real shit My family had to eat and I had to pay the rent If it's green I'ma get it please stay the fuck out my business Bitch try me I promise you get it Bitch try me there will be no winning Gotta watch all these faces there's too many counterfeits Sometimes when you hear them say I got you you can't even count on it That's why I fuck with my bitches only my bitches My day one bitches so please do not fuck with my bitches That's a brick in your face and you gon need stitches I see that you moving suspicious 200 dollars, they do you with quickness That's word to my niece I'm not kidding I fuck with them BONs and they get vicious",-0.9987,20,8,20,17,6,30,13,16,4,8
7,/songs/3565100,Cardi B,Booty,https://genius.com/Cardi-b-booty-lyrics,http://api.genius.com/songs/3565100,CB2*,2018-12-18," Booty so stupid it's a motherfucking retard I'm from the Bronx, but my booty from the DR Booty so big I don't need to have titties Booty prolly got a job at Magic City Booty so poppin have your girl doin research I'm the white stain on the bottom of his T-Shirt Booty so big have you calling outta work nigga Drop it down fuck around I might hurt niggas Booty so big that it swallow up panties Same with these hoes I'm Cardi B [?] Booty on [?] fuck around Goddamn call me Cardi, [?] But I put it on his forehead I remember when I used to pay bills with it Now I just [?] Booty so big have to question a nigga dick game Booty so big that it got it's own nickname Booty so big that it got it's own zip code Booty so big [?]",-0.9899,1,2,2,2,2,6,5,3,0,3
8,/songs/2856955,Cardi B,Bronx Season,https://genius.com/Cardi-b-bronx-season-lyrics,http://api.genius.com/songs/2856955,"Gangsta Bitch Music, Vol. 2",2016-09-15," Oh, how you doin'? I'm alright (laughs)   Now how much times do I gotta prove these niggas wrong? And how much times I gotta show these bitches I ain't soft? How many shows I gotta sell out 'fore you get the cost? Why they really tryna front like I ain't hit the charts? All these labels, throwin' deals from left to right But I ain't givin' in until they get them numbers right All these people think that this shit happen overnight All that flexin' they be doin', shit is all a hype No tolerance for a hatin' bitch talkin' shit Only time I hold my tongue is when I'm suckin' dick So when I see you in the streets, yeah, it's fuckin' lit And don't be talkin' all that sorry shit, don't flip the script I see the lights, I hear the hype, I hit the mic I kill the show, I get my dough, I catch a flight I see a hater, I'm runnin' down, it's on sight I throw my hands, I hit em' left, I hit em' right They sleepin' on me just because I used to strip But it's all good 'cause now they wanna get up in my VIP Blowin' up my phone, sayin' everythin' I touch is lit Actin' corn and wanna fuck me like they wasn't talkin' shit, woah I let 'em live, let the shady motherfuckers live Get them the price then it's time to show them what it is Don't got the bat? Well then what you really tryna pitch? Don't waste my time, I ain't never been no average bitch Not to mention, I did my tour and that shit was winnin' Independent, the headline, award of feelin' I thank the Lord for all the blessings that he is given I love the fans, they fill me up with their ammunition I don't really talk shit but now I gotta off this I don't know why bitches think we work in the same office Corny bitches tryna keep up? Look exhausted Wave the white flag, girl, you might as well just forfeit My ex told me I was never gon' be shit Lookie, lookie now, lookie now, nigga I'm that bitch What you thought? Yeah, you really lost, now you kinda sick But I ain't never need a nigga, I was always on my shit, yeah I used to stare at magazines on the train Lookin' at these models like, ""I gotta be this one day"" Fuck around, got myself a name, now I'm gettin' paid Left the corny bitches in the grave, so they throwin' shade",-0.9982,21,14,19,10,7,33,19,14,5,19
9,/songs/2392654,Cardi B,Cheap Ass Weave,https://genius.com/Cardi-b-cheap-ass-weave-lyrics,http://api.genius.com/songs/2392654,None,2015-12-15," The nerve of you bitches Like, oh my God, I got no words for you bitches Like, who's really serving you bitches? I need some answers, I'm worried for bitches Like, this really absurd No wonder these niggas stay curving you bitches Don't even take no more selfies That weave don't even deserve any pictures Like, where did you buy that shit? Who really acknowledged it? What made you feel that you would be lit if you went and copped that shit? They tell you ya look good? Wasn't you iffy? Oh, I know, they tell you that you get two bundles for fifty Girl, you ain't low I know how this go Cheap shoes is okay, cheap dress is okay, but cheap weave is a ""no"" Don'tcha do it to yourself that's bad for your health Don't fuck up your flow Talk shit about me with ya dusty ass weave? Now you outta control I'm Cardi B, I come through and I kill everything, everything and that's a fact Got me on my hitman shit like brrap-brrap-brrap-brrap-brrap-brrap-brrap I'm fully reloaded, full clip I cut to the chase, snip-snip That weave gotta go, pink slip Looking washed up, drip-drip   I can't believe it This is insane How can you talk about me when your weave is inside of the grave? (It's dead, bitch) I can't believe it Or is it just me? But why all these bitches just walking the streets with some cheap ass weave   Cheap ass weave Cheap ass weave How everything on fleek when you got some cheap ass weave? Cheap ass weave Cheap ass weave Don't even step to me if you got some cheap ass weave   So check yourself before you come at me Cardi B killing shit, I'm causing casualties I am a masterpiece, you are a tragedy Finish you like Mortal Kombat; fatality I got shit jumping like What a Time... Like Jumpman, Jumpman That weave you got should be a crime You got no luck, man And how you niggas even let them in the crib with that? You know that weave stink, that shit need a Tic Tac Now you tell me you pulling hair off your pillows, hair off the sheets, and even hair out your asscrack So cheap weave is okay? I think I missed that I see a track showing, you need to fix that You got a braid loose, you need to twist that You got it fucked up, I would never pick that Lady Leshurr done told y'all to go brush your teeth But after you done, you leave the crib with that cheap ass weave? I'm begging Lord, oh God, oh God, oh please, oh please Please just bless these thots, these thots with they cheap ass weave   I can't believe it This is insane How can you talk about me when your weave is inside of the grave? (It's dead, bitch) I can't believe it Or is it just me? But why all these bitches just walking the streets with some cheap ass weave   Cheap ass weave Cheap ass weave How everything on fleek when you got some cheap ass weave? Cheap ass weave Cheap ass weave Don't even step to me if you got some cheap ass weave",-0.9996,23,9,19,22,7,56,25,19,4,16
