,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/397916,Casting Crowns,All You've Ever Wanted,https://genius.com/Casting-crowns-all-youve-ever-wanted-lyrics,http://api.genius.com/songs/397916,Thrive,2014-01-28," I just looked up today And realized how far away I am from where You are You gave me life worth dying for But between the altar and the door I bought the lies that promised more And here I go again  Lord, I know I let You down But somehow, I will make You proud I'll turn this sinking ship around And make it back to You  But all my deeds and my good name Are just dirty rags that tear and strain To cover all my guilty stains That You already washed away  (Cause) all You've ever wanted, all You've ever wanted All You've ever wanted was my heart Freedom's arms are open, my chains have all been broken Relentless love has called me from the start And all You wanted was my heart  I was chasing healing when I'd been made well I was fighting battles when You conquered hell Living free but from a prison cell Lord, I lay it down today  So I'll stop living off of how I feel And start standing on Your truth revealed Jesus is my strength, my shield And He will never fail me  No more chains, I've been set free No more fighting battles You've won for me Now in Christ, I stand complete",0.7918,10,6,7,4,5,14,11,6,1,10
1,/songs/397833,Casting Crowns,Always Enough,https://genius.com/Casting-crowns-always-enough-lyrics,http://api.genius.com/songs/397833,Until The Whole World Hears,2009-11-27," In the dry and weary land Lord, You are the rain In a sea of shattered ones Your love comes rushing in You hold the world within Your hands And see each tear that falls Through every fire and every storm You're always enough, always enough   Your love is peace to the broken Faith for the widow Hope for the orphan Strength for the weak Your love is the anthem of nations Rings out through the ages And You're always enough for me   In the watches of the night Lord, You are my song Hope is in the morning light Your love shines like the dawn You keep my heart in perfect peace My life is in Your hands When confusion hides my way You're always enough, always enough   Your love is peace to the broken Faith for the widow Hope for the orphan Strength for the weak Your love is the anthem of nations Rings out through the ages And You're always enough for me   I'll rejoice for my saviour reigns I'll rejoice for He lives in me God on high, He has set me free And worthy is the Lord I'll rejoice for my saviour reigns I'll rejoice for He lives in me God on high, He has set me free And worthy is the Lord   Your love is peace to the broken Faith for the widow Hope for the orphan Strength for the weak Your love is the anthem of nations Rings out through the ages And You're always enough for me   I'll rejoice for my saviour reigns I'll rejoice for He lives in me God on high, He has set me free And worthy is the Lord I'll rejoice for my saviour reigns I'll rejoice for He lives in me God on high, He has set me free And worthy is the Lord   In the dry and weary land Lord, You are the rain",0.9987,5,26,7,14,33,19,51,13,13,42
2,/songs/397758,Casting Crowns,American Dream,https://genius.com/Casting-crowns-american-dream-lyrics,http://api.genius.com/songs/397758,Casting Crowns,2003-10-07,"All work no play may have made Jack a dull boy But all work no God has left Jack with a lost soul But he's moving on full steam He's chasing the American dream And he's gonna give his family the finer things Not this time son I've no time to waste Maybe tomorrow we'll have time to play And then he slips into his new BMW And drives farther and farther and farther away So he works all day and tries to sleep at night He says things will get better Better in time   And he works and he builds with his own two hands And he pours all he has in a castle made with sand But the wind and the rain are coming crashing in Time will tell just how long his kingdom stands His kingdom stands  His American Dream is beginning to seem More and more like a nightmare With every passing day ""Daddy, can you come to my game?"" ""Oh Baby, please don't work late"" Another wasted weekend And they are slipping away Cause he works all day and lies awake at night He tells them things will get better It'll just take a little more time He used to say, ""Whoever dies with the most toys wins But if he loses his soul, what has he gained in the end I'll take a shack on the rock Over a castle in the sand  Now he works all day and cries alone at night It's not getting any better Looks like he's running out of time Cause he worked and he built with his own two hands And he poured all he had in a castle made with sand But the wind and the rain are coming crashing in Time will tell just how long his kingdom stands His kingdom stands   All they really wanted was you",0.9527,2,14,5,2,2,11,6,6,1,2
3,/songs/2859539,Casting Crowns,At Calvary,https://genius.com/Casting-crowns-at-calvary-lyrics,http://api.genius.com/songs/2859539,Glorious Day: Hymns of Faith,2015-02-25,"Years I spent in vanity and pride Caring not my Lord was crucified Knowing not it was for me He died At Calvary  By God's word at last my sin I learned Then I trembled at the law I'd spurned Until my guilty soul imploring turned To Calvary   There Your mercy and Your grace was free There Your pardon multiplied to me There my burdened soul found liberty At Calvary  Now I've given Jesus everything Now I gladly know Him as my king Now my raptured soul can only sing Of Calvary   There Your mercy and Your grace was free There Your pardon multiplied to me There my burdened soul found liberty At Calvary Calvary  Oh the love that drew salvation's plan Oh the grace that brought it down to man Oh the mighty gulf that God did span At Calvary   There Your mercy and Your grace was free There Your pardon multiplied to me There my burdened soul found liberty At Calvary Oh, at Calvary   There Your mercy and Your grace was free There Your pardon multiplied to me There my burdened soul found liberty At Calvary Calvary  There my burdened soul found liberty At Calvary",0.9936,3,10,2,4,17,5,34,3,5,18
4,/songs/397867,Casting Crowns,At Your Feet,https://genius.com/Casting-crowns-at-your-feet-lyrics,http://api.genius.com/songs/397867,Until The Whole World Hears,2009-11-27," Here at Your feet, I lay my past down My wanderings, all my mistakes down And I am free Here at Your feet, I lay this day down Not in my strength, but in Yours I’ve found All I need, You’re all I need   Jesus, Jesus, at Your feet Oh, to dwell and never leave Jesus, Jesus, at Your feet There is nowhere else for me There is nowhere else for me   Here at Your feet, I lay my future down All of my dreams, I give to You now And I find peace, I find peace Here at Your feet, I lay my life down For You my King, You’re all I want now And my soul sings   Jesus, Jesus, at Your feet Oh, to dwell and never leave Jesus, Jesus, at Your feet There is nowhere else for me There is nowhere else for me   'Cause I am free (here at Your feet) All I need (is at Your feet) I find peace We're at Your feet We're at Your feet And I am free (here at Your feet) All I need (is at Your feet) I find peace We're at Your feet We're at Your feet We're at Your feet We're at Your feet   Here at Your feet I lay my life down",0.9894,0,4,0,0,5,3,7,3,2,6
5,/songs/4029237,Casting Crowns,Awaken Me,https://genius.com/Casting-crowns-awaken-me-lyrics,http://api.genius.com/songs/4029237,Only Jesus,2018-11-16," Lord, what were You saying? I must've fallen asleep Could've sworn I heard You talking Or maybe it was just a dream It sounded something like redemption An echo from a younger day Lord, how long have I been drifting? My tears are falling as I pray   Lord, wake up this sleeper I lift my head, I lift my head Your searchlights found me Here at my end, I'm at my end   Is it the fear of falling down again? Oh, that keeps me sitting here I'd rather wander in the shadows Than have to look into the mirror There's so much madness all around me They wear their darkness on their sleeves But now my blinded eyes are open And I see the darkest part of me   Lord, wake up this sleeper I lift my head, I lift my head Your searchlights found me Here at my end, I'm at my end   Lord, let Your fire make holy these lips unclean Shine down in all Your glory, awaken me Lord, let Your fire make holy these lips unclean Shine down in all Your glory, awaken me   Lord, wake up this sleeper Lord, let Your fire make holy these lips unclean Your searchlights found me Shine down in all Your glory, awaken me, oh-ohhh-ohh Lord, let Your fire make holy these lips unclean Shine down in all Your glory, awaken me",0.3073,3,6,13,8,8,20,27,3,1,18
6,/songs/1350656,Casting Crowns,Away in a Manger,https://genius.com/Casting-crowns-away-in-a-manger-lyrics,http://api.genius.com/songs/1350656,Peace On Earth,2008-10-03,"Away in a manger, no crib for a bed The little Lord Jesus lay down His sweet head The stars in the sky look down where He lay The little Lord Jesus asleep on the hay  The cattle are lowing, the baby awakes The little Lord Jesus, no crying He makes I love Thee, Lord Jesus, look down from the sky And stay by my cradle, 'Til morning is nigh  Be near me, Lord Jesus, I ask Thee to stay Close by me forever, and love me I pray Bless all the dear children, in Thy tender care And fit us for heaven, to live with Thee there  Away in a manger, no crib for a bed The little Lord Jesus, lay down His sweet head Lord of all creation, lay down His sweet head The Savior of the nation, lay down His sweet head",0.9818,0,9,7,1,13,8,23,1,5,17
7,/songs/1157595,Casting Crowns,Beautiful Savior,https://genius.com/Casting-crowns-beautiful-savior-lyrics,http://api.genius.com/songs/1157595,None,2018-11-09,"All my days I will sing the song of gladness Give my praise to the fountain of delights For in my helplessness, You heard my cry And waves of mercy poured down on my life  Beautiful Savior, wonderful counselor Clothed in majesty, Lord of history You're the way, the truth and the life Star of the morning, glorious in holiness You're the risen one, heaven's champion And you reign, you reign over all  I will trust in the cross of my Redeemer I will sing of the Lamb that never fails Of sins forgiven, of conscience cleared Of death defeated and life without end  Beautiful Savior, wonderful counselor Clothed in majesty, Lord of history You're the way, the truth and the life Star of the morning, glorious in holiness You're the risen one, heaven's champion And you reign, you reign over all  You're my beautiful Savior  Wonderful counselor Beautiful risen one  Beautiful Savior, wonderful counselor Clothed in majesty, Lord of history You're the way, the truth and the life Star of the morning, glorious in holiness You're the risen one, heaven's champion And you reign, you reign over all  I long to be where the praise is never ending Yearn to the will where the glory never fades Where countless worshipers sing one song And the voices of the nations Sing worthy, worthy, worthy Worthy beautiful, beautiful one Jesus You are worthy, beautiful, beautiful one  Jesus You're worthy",0.9988,3,17,5,7,32,10,54,10,8,43
8,/songs/397909,Casting Crowns,Blessed Redeemer,https://genius.com/Casting-crowns-blessed-redeemer-lyrics,http://api.genius.com/songs/397909,Until The Whole World Hears,2009-11-27," Up Calvary’s mountain one dreadful morn Walked Christ my Savior, weary and worn Facing for sinners death on the cross That He might save them from endless loss Blessed Redeemer, precious Redeemer Seems now I see Him on Calvary’s tree Wounded and bleeding, for sinners pleading Blind and unheeding, dying for me “father, forgive them,” my Savior prayed Even while His lifeblood flowed fast away Praying for sinners while in such woe No one but Jesus ever loved so Dying for me Oh how I love Him, Savior and friend How can my praises ever find end Through years unnumbered on Heaven’s shore My songs shall praise Him forevermore",0.979,11,6,10,12,9,15,11,14,3,7
9,/songs/397926,Casting Crowns,Broken Together,https://genius.com/Casting-crowns-broken-together-lyrics,http://api.genius.com/songs/397926,Thrive,2014-01-28," What do you think about when you look at me I know were not the fairy tale you dreamed wed be You wore the veil, you walked the aisle, you took my hand And we dove into a mystery  How I wish we could go back to simpler times Before all our scars and all our secrets were in the light Now on this hallowed ground, we've drawn the battle lines Will we make it through the night  Its going to take much more than promises this time Only God can change our minds Maybe you and I were never meant to be complete Could we just be broken together If you can bring your shattered dreams and I'll bring mine Could healing still be spoken and save us The only way well last forever is broken together  How it must have been so lonely by my side We were building kingdoms and chasing dreams and left love behind I'm praying God will help our broken hearts align And we won't give up the fight",0.8817,7,7,2,9,7,8,9,6,1,8
