,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/13439,Chamillionaire,100 Million,https://genius.com/Chamillionaire-100-million-lyrics,http://api.genius.com/songs/13439,Mixtape Messiah 7 (Disc 1),2009-01-01," Haha, a wise man once told me keep me your friends close and keep your enemies closer And he only got close enough to tell me that because, well he was a enemy Shout out to all my frenemies, haha, Major Pain boy Yeah, yeah!   I'm in first place, in this wonderful World chase I'm a current case of a rapper that won't break Playin dirty (yeah), I'm too sick with the word play I make words that don't rhyme start rhymin like ""you're gay"" Be on your way, I'm a mercy mercy You be workin hard, she givin me your pay Women walk up to me, ""it's nothin"" that girl say (yeah) Stick money on my shirt like it was my birthday (hey!) Let's go, rest mo', get slowed I'm like ""f hoes"", they metroed, I'm petroed Get blowed by your girl like red nose And every single day I'm catchin a head cold (hachoo) ""Pimp Mode"", Katt Williams, yeah them know Put it on a tape and call it the ""Best Show"" Koop' versus Chamillionaire, which is the best flow? You'll probably see a tie like NBA dress code Be the best to, jump up and get squashed Just thoughts, just talk your lip gloss Cause you spit soft, dick bosses get off And I know what you're thinkin, I hit ya with this pause (haha) They say you shouldn't throw stones at a glass house Got my money up and I throw out of my stash house What your cash 'bout? I ain't takin the tag out Ask me why I bought it, my wallet just passed out Rapper ran mouth and I bet he get ran out I bet another sucker gonna follow that man route I'm a bad cough, that sick, big, bad boss See me and they bow like ""Wow!""...Shad Moss (haha) Tryin to say that you ain't real if you got it Yeah I'm on the internet because it fill up my wallet Uh, street money helped me get into college I bust you in your face, log on and Twitter about it (woo!) Uh, the auducity, run 'em over like athletes Self serve means I'm the only person that's gassin me You should ask of me, money lookin like math to me One plus one equals equity, what it has to be Uh, better come at your boy carefully Or get shown the definition of real reality Who's as bad as me? Any other name is calamity Cause I be flippin the G's daily like Vanna be Wanna challenge me? What a beautiful day that that'll be You could battle me any Sunday through Saturday You a cavity, too sweet to even handle me I'm insanity, not sane, my brain out of me (woo) Take a budget, turn it into confetti If I start another label I'm a call it ""Machete"" Nah, won't drop an album 'til I'm motherf'in ready Was gonna call it ""Venom"", when I'm strikin I am deadly Don't know me Mister, don't ask me about my sister They don't really know me but label me like a risk a You can have all the swagger, you can have the charisma If I want your opinion, I'll log on the 'net and Twit ya (Tweet) It's the Mister ""Sicker Than Every Pic Ya Makin"" But it's no hate and they waitin to get ya issue And it's official, I'm so official Turn my iPhone towards me and I take a picture (cheese!) Women say you real and say that they wanna kiss ya Haters see it happen, that day they gonna wanna diss ya Promise it's a myth, you need to know I will get ya Richer, so I call up my lawyer before I hit ya (uh) You mess with me, impossible gonna be possible What you think we even look at the Oscars for? Hang with me to hear product cause he a gossiper Thought that we was fly but ain't like a ostrich bro (woo) That's why I say no way, Larry King of this thing, my pay stay okay Mixtapes in the street and pass A plus K Aunt Jemima plus vagina, you a sweet pussy Every verse is a better verse, you know what it's worth Since my birth been blessed with a curse, realest on the Earth It's a curse, get another nurse, in a mini skirt Make her work 'til her feet is hurt, open up your purse, Captain Kirk I can't ever be, she'll be payin me (me) Walkin through the mall like we on a shopping spree (spree) Open up the garage, yeah everything you see, black on black like the NAACP Gettin money, yeah I let the cat out I get any sicker then I'm probably gonna pass out In the studio cause they sleep on me like the black couch Still got mad clout, that's what haters is mad 'bout Here we go, here we go, I'm in the studio My whip got me feelin like my name was Domino Cause it's a big six with me everywhere I go Your chick is still tryin to get me in a figure four Lookin for some hotness, let a heat seeker know George Bush, one push, let a heat seeker go Hit the studio, there goes another heat seeker ""whoa!"" (whoa) But I don't know why they doubt cause I've done this before (whoa)   I want a hundred million dollars, hundred million dollars Hundred million dollars, hundred million dollars Try to get on my level, try to get on my level, let's go, um",33,22,23,22,20,47,48,22,14,38,0.9742
1,1,/songs/13382,Chamillionaire,2 MPH,https://genius.com/Chamillionaire-2-mph-lyrics,http://api.genius.com/songs/13382,Mixtape Messiah 4,2008-08-16,"""Sippin, sippin on lean, sippin, sippin on bo'""   Comin down grippin grain, diamonds up against the wood Tops drop, blades chop, trunk is popped, I'm lookin good Swangin down the boulevard, chunky deuce, the fifth is shinin The queen is ridin shotgun and Finger's behind me So never you mind me, I'm just hustling, grindin My pockets are heavy and my diamonds are blindin My pistols are loaded and cocked so know that I'm ready I'll die for my family dog but I'll kill for my fair day R.I.P. to my baby bro, UGK until It ain't no stopping this movement, you lose on the real Cause we keeping it trill, that's from ashes to dust We got paper to make and fake nigga's asses to bust If you down for your hood, and you bangin that Screw Put your sets in the sky, cause this one is for you Keep on keepin it true, fuck haters and again Cause we don't play the game to say we play, we play to win  [Hook: Mistah F.A.B.] {X2} Leanin to the side, you cain't speed through Two miles per hour, so everybody sees you Ridin by myself, with the pistol in the do' ""Sippin, sippin on lean, sippin, sippin on bo'""  [Mistah F.A.B.] Candy on my big wheel, yeah man I'm still a kid Twenty-six, rims same age as me, can you dig? Ridin down the block, knockin pictures off your wall Just showin off my grill made by Paul Wall Alpine speakers in my grill on blast Like my boys in Texas, hittin corner on them slabs Seat laid back, you know how us pimps be Keep your head up Bun B, rest in peace Pimp C A mill' on mine rolled back to back and young millionaires we haven't scratched Rhyme through the hood and habitat, candy paint look like some cabbage patch Haters hot, they mad at that, Chamillionaire, how F.A.B. get that? Two dimes in a car, how bad is that? King of the jungle, you an alley cat Prince of the coast brought Cali back, just threw some D's on a Cadillac Smoke so much, got cataracts, been rollin up for a matter of fact F.A.B. get love where F.A.B. is at, from the Bay to the South where them slabs is at Oakland down to Houston, only rollin with them savage cats   {X2}   {*Over Hook: Chamillitary mayne, yeah*} It's gon' be, F-A-C, T to the Feds gon' mess with me And F-A-B, when they see, mixtape money yes they pay me Mugabe, Inspector G, bring 'em all cause they cain't get me Ten vehicles parked in the yard, pick your choice, I'll get that key Take that jet out to West, let's swang and get our swerve on Hit that strip in my whip, gon' strip and let them sexy curves show Vehicle sittin very low, pimp that caddy very slow They like ""Yeah, Chamillionaire, the realest I done heard holmes""   I'm leanin to the side sideways, sittin crooked My Jolly Rancher paint got all of the people lookin I'm beatin down the block, givin the streets an ass whoopin Peep the way a player move, take notes lil young-un I'm movin slow mo', leanin off a potent fo' Pistol in my lap, plus another one in the side do' You know I'm just a young hustler all about my doe Gettin cake and stackin up that paper, I need mo'   {X2}  ""Sippin, sippin on lean, sippin, sippin on bo'""",11,11,7,12,12,30,26,8,8,11,-0.9601
2,2,/songs/1829344,Chamillionaire,2 MPH FAKE,https://genius.com/Chamillionaire-2-mph-fake-lyrics,http://api.genius.com/songs/1829344,None,2009-07-21,"""Sippin, sippin on lean, sippin, sippin on bo'""   Comin down grippin grain, diamonds up against the wood Tops drop, blades chop, trunk is popped, I'm lookin good Swangin down the boulevard, chunky deuce, the fifth is shinin The queen is ridin shotgun and Finger's behind me So never you mind me, I'm just hustling, grindin My pockets are heavy and my diamonds are blindin My pistols are loaded and cocked so know that I'm ready I'll die for my family dog but I'll kill for my fair day R.I.P. to my baby bro, UGK until It ain't no stopping this movement, you lose on the real Cause we keeping it trill, that's from ashes to dust We got paper to make and fake nigga's asses to bust If you down for your hood, and you bangin that Screw Put your sets in the sky, cause this one is for you Keep on keepin it true, fuck haters and again Cause we don't play the game to say we play, we play to win  [Hook: Mistah F.A.B. X2] Leanin to the side, you cain't speed through Two miles per hour, so everybody sees you Ridin by myself, with the pistol in the do' ""Sippin, sippin on lean, sippin, sippin on bo'""  [Mistah F.A.B.] Candy on my big wheel, yeah man I'm still a kid Twenty-six, rims same age as me, can you dig? Ridin down the block, knockin pictures off your wall Just showin off my grill made by Paul Wall Alpine speakers in my grill on blast Like my boys in Texas, hittin corner on them slabs Seat laid back, you know how us pimps be Keep your head up Bun B, rest in peace Pimp C A mill' on mine rolled back to back and young millionaires we haven't scratched  Rhyme through the hood and habitat, candy paint look like some cabbage patch Haters hot, they mad at that, Chamillionaire, how F.A.B. get that? Two dimes in a car, how bad is that? King of the jungle, you an alley cat Prince of the coast brought Cali back, just threw some D's on a Cadillac Smoke so much, got cataracts, been rollin up for a matter of fact F.A.B. get love where F.A.B. is at, from the Bay to the South where them slabs is at Oakland down to Houston, only rollin with them savage cats    [Chamillionaire (Over Hook: Chamillitary mayne, yeah)] It's gon' be, F-A-C, T to the Feds gon' mess with me And F-A-B, when they see, mixtape money yes they pay me Mugabe, Inspector G, bring 'em all cause they cain't get me Ten vehicles parked in the yard, pick your choice, I'll get that key Take that jet out to West, let's swang and get our swerve on Hit that strip in my whip, gon' strip and let them sexy curves show Vehicle sittin very low, pimp that caddy very slow They like ""Yeah, Chamillionaire, the realest I done heard holmes""   I'm leanin to the side sideways, sittin crooked My Jolly Ratchet paint got all of the people lookin I'm beatin down the block, givin the streets an ass whoopin Peep the way a player move, take notes lil young-un I'm movin slow mo', leanin off a potent fo' Pistol in my lap, plus another one in the side do' You know I'm just a young hustler all about my doe Gettin cake and stackin up that paper, I need mo'   ""Sippin, sippin on lean, sippin, sippin on bo'""",11,11,7,12,12,30,26,8,8,11,-0.9601
3,3,/songs/13388,Chamillionaire,2 Real,https://genius.com/Chamillionaire-2-real-lyrics,http://api.genius.com/songs/13388,Mixtape Messiah 4,2008-08-27,"(187, 187, 187) (Who's next?)  [Intro - Chopped and Screwed Voice - talking behind Hook] - w/ ad libs Screwed Up Click You know what this means, right? Clover G! Let's go Yeah, I'm too real to be an actor Ya dig? You know who you are You be home, you behind the mic Not me though   ""Nigga's a threat, too real to be an actor"" - 8X  [Verse 1 - Lil' Flip] This ain't a movie, this more like a screenplay Cause on the real I went to the block each day (for real) The G way, so hit me on my three way Look if you want to live, you better take it easy You jump, fly with me, I clip your wings off You violate me again, I infa beam y'all This H-Town, the home of the trunk poppers Oh and I'm on that kush nigga, I'm a funk doctor I make hits in the streets and in the booth So keep playin I'll put one on you (YOU) I'm tatted up, cause I love takin pain I give my artist's a cheat and tell 'em ""keep the change"" I ain't petty player, I buy the whole thang My work pure since you want to talk blow man I got that shit that made Len Bias overdose Yours truly, the King of the Third Coast     Yo, it's Koopa baby, uh Jackers pay attention and don't get the script confused Cause I promise Black & Decker ain't gon' miss you with the tools Better duck before you lose, like McDuck or Mr. Scrooge I ain't givin away a golden cent or nothin to you fools Clownin on the camera, tryin to get you on the news Sometimes the cloest ones, the ones who tryin to see you lose They say that family matters, tell Urkel that I'm the truth Because I'm a be a Family Guy until Stewie gets it misconstrued Scratchin off the serial, materials get thrown away For jackers, I got that serial, I'm pouring out the Special K Don't get blown away, plot and you will bowl away From no one just with a Cheerio size hole to stay Homie it ain't no debate, some Pirelli's known to hate So I had to motivate a set of O's to hold my swangs Tippin on my rollerblades, head to toe way on them thangs Tickets just get thrown away like I was supposed to pay    [Verse 3 - Lil' Flip] Look, aye it's way too late to try to make peace Just be glad they didn't find your ass on the streets First they said H-Town wasn't gonna blow But we proved 'em wrong, even Bun B went gold I'm Michael Phelps, the way I swim up in your wife Look I'm the reason her juice box ain't tight (Who the King of Houston?), y'all better say me Cause Def Jam Vendetta is the only way you'll play me   NBA Live 2006, only way that they'll play me I was born to be a boss and you just a trainee In money that we trust, so you can trust in me Cause I am money, you should see how much I clutched this week They say that money talks, so you can trust this speech It's Barack O'Balla baby, let's do lunch, let's feast Landlord of the H, let's discuss this lease If you in Texas and you leanin, then adjust your seat, for Pimp C   - w/ ad libs  [Outro - Lil' Flip - talking] Hey, we too real man For real, yeah Too real to be an actor, man (187, 187, who's next?) 187, who's next? Hahaha Hey Cham man It feel good to be amongst the platinum elite club baby Hey let 'em know The grind don't stop, Flipgates, Chamillionaire It's Volume 4, right? Hey Cham man, let these niggas know man I'm fuckin with these beats now 682-561-8900",15,12,6,8,18,22,43,8,6,24,0.9604
4,4,/songs/102456,Chamillionaire,After The Superbowl,https://genius.com/Chamillionaire-after-the-superbowl-lyrics,http://api.genius.com/songs/102456,None,2014-03-20," Say that she a model and she know how to dance (dance) She do what she want she ain't got no man at allll Say she not a groupie and she a steelers fan I said girl if that's true then I'm a let you know the plan And you should go and bring some partners thorugh Let's chill after the superbowl (superbooowl) Maybe me and you can kick it for a few After the packers loooose Here lizard, lizard, lizard   I took my Black Card out and slid it Told my crew that it's time to get it Black & yellow crime scene tape just so you know who did it Got a clip and you can fit it Ever on no band wagons So if you bet me bring my change And a couple rubber band wagons, pants sagging Chick you having she nicknamed me the dragon Cause she know that I spit that fire And my dick so big that it be draggin Yea your misses prolly having carpet burns while she grabbin Knees red look like she bein giving head to aladdin Why they rapping cause it's a rap You can not like koopa but don't get slapped Never seen losers in yellow and black And they call them the Packers cause they's gon' pack Know what I mean told the green Bay gon' be the losing team Only thing me and Green Bay got in common is the green   Ey I spit his just to be like I told ya Steelers win stole that game over Then I wroom start in a range rover Packers just got signed like solar Front page steelers stealinyour exposure Murderer fam never get closure Why my money stay HIGH as a toker Cause I got as much drive as a chauffer, ha Chicks straight up out of Playboy Kinda mirror I'm a whip it like a play toy Ally year with the internet cake boy Matter fact you ain't on my rap radar I'm too dope boy, get cash You can back and just let me get that My whip fast, when I whip fast Got em breaking they neck you can call it whiplash Pull her jeans low frappuchino Cause she be creamin when I touch Never bein ready my hustle game heavy I bet your dreams I'l get to crushed Can't rock with chamillionaire He be singing way too much Well I'm a keep singing so you keep comin and just swinging on my nuts Hold up  ",11,7,6,6,9,13,16,7,1,14,0.9159
5,5,/songs/13385,Chamillionaire,All Around the World,https://genius.com/Chamillionaire-all-around-the-world-lyrics,http://api.genius.com/songs/13385,Mixtape Messiah 4,2008-08-27," (All around the world), yeah (All around the world), yeah (All around the world), uh (This goes out to girls all around the world), let's go (All around the world), woo! (All around the world), I like that (All around the world), let me set the scenery real quick, cheah (This goes out to girls all around the world)  [Verse 1 - Chamillionaire - rapping] Black watch, black shirt, starin through my locs (locs) Lookin at you lookin like you know I'm goin to approach (approach) We could do a uh, well we could do a toast While you sit across the table tryin to figure out my gross (gross) You out your mind, if you ain't mind makin (mind makin) Cause I ain't got the time for time takin (time takin) Money doesn't grow on trees but I'm thinkin (but I'm thinkin) You ain't never seen the millions I'm rakin (millions I'm rakin) In, get a garbage bag I be talkin trash, let me throw away my swag (let me throw away my swag) I be talkin math baby, they be talkin half (half) I be talkin yacht language, they be talkin raft (raft) Where you want to fly?? Give you wings like Red Bull (Red Bull) We'll be flyin on the jet skies like Jet Blue You freaky I could probably give your knees a schedule You freaky I could probably give your weave it's next pull (woo!) And I got plenty of sky miles (sky miles) The four is goin to come after the G, when I'm out (when I'm out) And she already knowin what I'm 'bout (I'm 'bout) The paper boy, it's only G's on my route If you want to (want to), then we can do whatever ('ever) Whatever is clever or whatever is never (never) Whatever is green, baby whatever is yellow That's whatever is G's (cheese), whatever is chedder I promise the card ain't got a maximum (maximum) Stacks with 'em, so he goin to have the straps with 'em (straps with 'em) They be like you look exactly like it's him (it's him) Car dashin/Kardashian, it looks exactly like a Kim (like a Kim) I'm in a zone, she ask ""can she hold me?"" (hold me) I won't let her, I'm just tryin to score like Kobe (score like Kobe) And you just tryin to block like goalie (block like goalie) But I'm a give her D like my first name Moby (first name Moby)   (All around the world, girls all around the world), haha, get 'em (This goes out to girls all around the world), yeah (All around the world, girls all around the world), get 'em (This goes out to girls all around the world), all around the world (All around the world, all, all around the world), get her (This goes out to girls all around the world), know what I'm talkin 'bout?? Yeah (All around the world, all, all around the world) I know they be tryin to talk about my singing, but (get her) (This goes out to girls all around the world), let me do it, let's go  [Verse 2 - Chamillionaire - singing] I used to not know why haters would try so hard to hate (why they hatin baby?) Until I moved up from Ramen Noodles to shrimp and steak Ewww (I know you like that steak) Girl (filet mignon) You can order what you like (haha, it's on me) You can order what you like (haha, it's on me baby) Cause we'll be on a yacht, starin at white beaches and waves (that's what I'm talkin about) And you'll be tannin topless tellin me you're feelin great Ewww (you're feelin great baby) Girl, I'm a help you clear your mind I'm a help you clear your mind (Chamillitary mayne)  [Verse 3 - Chamillionaire - rapping] Uh, yeah She said ""Hakeem, we should pause for a quick flick"" Seen my jewels, I remind her of Slick Rick Dough that'll grow like we heatin up biscuits Chamill got a mil that's as cheesy as it gets (I don't get it) Cheddar, Velveeta with the money I don't break a sweat baby, even if it's sunny Ladies they love me, I'm Fresh like Doug E I hated being broke so I made money my buddy (haha) I promise I don't say it just to spit it (spit it) Go to Saint Martin and tell 'em I already did it (did it) French or the Dutch side, tell me if you with it (with it) Cook like the Curry goin be finished in a minute Steak's so large, she goin to say she want to split it (split it) Passport fool, you would think I run the city (city) Put me on the stand, I'm like ""ah, damn (ah, damn) I promise there's a witness that saw me gettin in that - pool Yeah, the Thrilla in Manila (woo) Thrilla in Manila, naw I'm trilla than Manila We could catch a flight, maybe we can get a dinner While I'm bumpin that ""Trilla"", while I feel ya in the villa (villa) Business man, do whatever stop no ma'am BlackBerry's near, always lookin for mo' grands Ronald Isley is the sound of the slow jam If sex is a weapon, then I'm ready to go BLAM! (hah) Get a two day tan Cause the other two days, me and you stay in Turn backwards like Kriss and them used to do they pants Your homegirl just mad, cause her dude ain't Cham The kid goin to prevail when it come to the skills Like LL ""I be doin it and doin it well"" But right now when I do it, I don't do it for sales (oh yeah?) When I do what I be doin, I just do it for self (haha)   - w/ ad libs All around the world, girls all around the world This goes out to girls all around the world All around the world, girls all around the world This goes out to girls all around the world All around the world, all, all around the world This goes out to girls all around the world All around the world, all, all around the world This goes out to girls all around the world  [Outro - Chamillionaire - talking over the Hook] Yeah, we in Dubai on a peninsula baby Not an island, a peninsula An island is completely surrounded by water And a peninsula is almost all the way surrounded by water Haha, we do it big like that Hugh Hefner's next door too What up Hef?",13,19,14,5,28,19,44,7,10,20,0.9987
6,6,/songs/1313979,Chamillionaire,All Black,https://genius.com/Chamillionaire-all-black-lyrics,http://api.genius.com/songs/1313979,None,2014-03-20,"I bring that Major Pain  (All black everything)  The game won't be the same  I bring that major pain  (All black everything)  The game won't be the same  Pockets fulla stacks Yup Walk around with heavy jeans Money on the line I'm a pick up when my celly rings Child, I'm ya destiny like Beyonce and Kelly Team? Get her wetter than the weather that the broken levy bring She noticed my earring was way larger than a belly ring Betta take off that wedding ring Cause I don't want that head to sting Think you got the best head that the Dirty South has ever seen Than go down down Like that old-school song that Nelly sing All the plates on them say Kupa Foriegn cars Introduce ya That's Barack That's Michelle And that there is my Martin Luther All black hoopy train Wait for me to enter lobby All black Mazariti Hard body No Keyoti I ain't never met a Robert But I'm friends with a Deniro Also international I can get it in the Euro Girl I gotta real big ego Plus I'm colder than sub-zero Boy don't try to be a hero Shoot a bullet through a needle I bring that Major Pain  (All black everything)  The game won't be the same  I bring that major pain  (All black everything)  The game won't be the same  Pockets fulla stacks Yup Walk around with heavy jeans Money on the line I'm a pick up when my celly rings Child, I'm ya destiny like Beyonce and Kelly Team? Get her wetter than the weather that the broken levy bring She noticed my earring was way larger than a belly ring Betta take off that wedding ring Cause I don't want that head to sting Think you got the best head that the Dirty South has ever seen Than go down down Like that old-school song that Nelly sing All the plates on them say Kupa Foriegn cars Introduce ya That's Barack That's Michelle And that there is my Martin Luther All black hoopy train Wait for me to enter lobby All black Mazariti Hard body No Keyoti I ain't never met a Robert But I'm friends with a Deniro Also international I can get it in the Euro Girl I gotta real big ego Plus I'm colder than sub-zero Boy don't try to be a hero Shoot a bullet through a needle",8,10,6,10,10,26,24,16,6,20,0.4617
7,7,/songs/141523,Chamillionaire,All Mine,https://genius.com/Chamillionaire-all-mine-lyrics,http://api.genius.com/songs/141523,Ammunition (Digital),2012-03-20," The time has come, we gotta expand, the whole operation Distribution, New York, Chicago, L.A We gotta set our own mark, and enforce it We gotta think big now Think big   Sitting in my jacuzzi, sitting in my jacuzzi Over here talking about 9-5, nah, that ain't gon' move me Anything less than ten, bro, that's that old Nintendo Cause y'all playin' games, stop playing games, I spent that on my windows (You spent that on your) N-O, I spent that on my ten ho When your dough get long enough, then they said you got extendo You can turn your doors to bulletproof and that won't stop an attempt, though Ain't worried about anybody shooting through cause I'm thinking 'bout the demo (Hello? Hello?) Don't call me on the wrong Jack (Don't call you on the wrong, what?) No, just hang up and don't call back Hope your car is trustworthy, hope you got the car fax Hope you don't open the door and explode right after contact I keep a banana with me, I think I'm Axel Foley Hope you get my point like you try not to be a goalie You said ""they have real rubber"", what's this garbage they sold me If the world was sucker free, then I'd probably be here lonely   If you ain't got it, you ain't God of me and you just ain't the same Got that viral ""Ammunition"", watch me hit them with the pain Sitting in my Jacuzzi, watching a groupie do her thang If she work it well enough, I might remember this girl's name Moving through the airport, hundreds with the small face I know they gon' check me so they [?] Walk into the [?] house, she thought this was our place This my house, what you think, it's Scarface   Yeah, this world is all mine Yeah, this world is all mine I said, yeah, this world is all mine Yeah, this world is all mine   You need people like me, so you can point your fucking fingers, and say ""that's the bad guy."" Well say good night to the bad guy!   All mine, all mine, come and take me up off the throne They'll pull my hollows up out your dome And I'm back in town, I ride alone, they tryna run up inside my home Copycats, my body clones, oh, no, they softer than Styrofoam If your problems with me is on wax I'm gon' argue with you, that's non-fact, I don't buy them weed, I buy 'em back I could sit on top of these tall Gats, just sit on top of these tall stacks And be higher than you little liars in, you still wouldn't get to reach where I'm at I lead where I'm at, and I'm poppin' up on you out the blue Who you think that you talkin' to, what that do casa mi casa, fool Keep surveillance for all my haters, you watchin' me, well, I'm watchin' you Keep the butcher knife and a drill, just try not to get chopped and screwed  ",13,14,8,13,6,26,20,9,6,17,-0.9686
8,8,/songs/1830791,Chamillionaire,Already Dead,https://genius.com/Chamillionaire-already-dead-lyrics,http://api.genius.com/songs/1830791,None,2014-03-20,Hey there little fella I know you missed me You're a mean little fella aren't you? You hungry?  Chamillitary mayne  Here lizard lizard lizard Here lizard lizard lizard Major pain major pain Here lizard lizard lizard Here lizard lizard lizard  Hustles and my players let's talk to these haters do your boy a favor turn right to your neighbors We got of the majors but still doing major nobody can save ya when Koopa bring that major pain  Here we go Nah I won't let them turn me pop even though my little niece like Justin Beiber Yeah I made that song Ridin Dirty but that should let ya know that I clutch a heater Yeah I got played by Michael Jordan and I swear MJ he such a diva Moral of the story is I don't care cuz yeah I'm still here plus I don't need ya Yeah I met a girl at taco bell that slipped me her number in a fajita Funny thing is ain't order that I took that hoe back and got her beat up  Why I gotta get back on my throne on and keep turning these fake fans to believers Yeah I got a car(?) from my major label I swear hung up tha receiver  Do you wanna be successful so bad that you know you would do it ever? Would you be the one to jump the ship to be safe or hold that ship together? Would be the chicks that try to leave once you can't live like Cinderella? Would you be broke and chill with god or you would be rich and with the devil? What you gonna do when the music stops or would you still do this accapela? That decision is really yours and it really ain't much that I could tell ya What I know is that I ain't you and my words I'll be the realest ever Chamillitary will rain forever just know I ain't talking about the weather  Right and then left right and then left march with me forever soldier take another step Right and then left right and then left march with me forever soldier take another step  This is for you know who and don't you ever be mislead I know just how I said it and I meant just what I just said I feel as good as ever when I hop outta my bed Baby you ain't living life you must be already dead,6,8,4,8,8,14,28,10,3,17,-0.4777
9,9,/songs/1263510,Chamillionaire,Answering Machine Skit,https://genius.com/Chamillionaire-answering-machine-skit-lyrics,http://api.genius.com/songs/1263510,None,2014-03-20,"""Niggas better see a nigga roll Starch diamonds and I'm rollin on 84"" Ay, ay, ay swang and I swang and I swang to the left I pop my trunk and now she tellin me she's so impressed (yes) It's the answer machine (yes), it's the answer machine Leave the message for me after the tone If you callin bout some money, you say I owe you youse a bloody lie That's a science fiction like that movie with the ugly fly Money stackin high, got it lookin like a money sky Jam rag by your thigh, (ha ha!) baby youse a bloody lie I don't care what they show you OR they tol' you, (tol' you) nigga please! Tell you-know-who they shouldn'ta been bootleggin my mix CD (please!) Some of y'all sucks, so keep suckin while I squirt and squeeze Liftin up the muscle, like, ""Hercules! Hercu-LES!"" Hope you don't hurt ya knees, let me grant ya next wish Awkward feelin that you got soon as you leave ya ex-it Ladies, don't be shy, give it a try, you should mess wit The Mixtape Messiah's runnin in, that's right you guessed it Laid up wit a broad (broad), help me with my message It's Chamilitary mayne, you know who the best is You know won't nobody in the underground can test this You know who the flyest and the freshest in the flesh is Nah, I got no daughter or no son, but I confess this A playa in a playa that I'd know you'd be impressed wit I could sit here braggin about how lovely that my sex is But words cannot describe my lovin in a couple seconds Enough wit all the small talk, come over and undress miss You won't have a small thought when you come and undress this Naw, just say ""ah"" open up ya jaw and press this Up against ya tonsils then after that I'll press this",9,8,7,3,10,15,25,8,8,15,0.9595
