,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/3623000,Charlie Puth,1984,https://genius.com/Charlie-puth-1984-lyrics,http://api.genius.com/songs/3623000,None,2014-03-16," All of you You could do so much better What you got now it's not enough But you Let it go to your head now Hope no one have calls your bluff   Every single word that I hear you saying It's just another lie to cover up your feeling, baby It's got to be worst so don't walk out the door I know just what you been missing   Let me love you so right Girl, your body I can ignore We'll be running with the night Like it's 1984   Oh you Wish you would give me something You would've leave me with nothing at all But you Leaning right on the edge now Knowing that I'm there to break your fall   Every single word that I hear you saying It's just another lie to cover up your feeling, baby It's got to be worst so don't walk out the door I know just what you been missing, yeah  (Hey!)   Let me love you so right Girl, your body I can ignore We'll be running with the night Like it's 1984   Queen of a castle Destined to catch her fall (Ooh) Seems like a dead game Before she was born at all (Ooh)  (Let me love you - Girl) (Let me love you - Girl)",0.9484,4,4,4,4,9,12,14,9,6,10
1,/songs/2412019,Charlie Puth,As You Are,https://genius.com/Charlie-puth-as-you-are-lyrics,http://api.genius.com/songs/2412019,Nine Track Mind (Deluxe),2016-01-29," Thinking back in time when I had you to lose Those were the days baby you were the truth And nothing you could do would ever change that You riding with me, me riding for you We followed our hearts don’t forget what they do   But somewhere down the line I left you hanging For you, I could climb Mount Kilimanjaro a thousand times Oh my friend, I’ll never break your heart again   'Cause I, I will always love you Baby, I could never judge you I would take you as you are, are, are, are, are I, I will always love you Baby I could never judge you I would take you as you are, are, are, are, are   You know me like inside and out, how I feel Nothing more nothing less you’re the real   I wanna take this time to thank you baby For you, I could climb Mount Kilimanjaro a thousand times Oh my friend, I’ll never break your heart again   'Cause I, I will always love you Baby, I could never judge you I would take you as you are, are, are, are, are I, I will always love you Baby I could never judge you I would take you as you are, are, are, are, are   So let it be known now You’re queen to my throne now It’s you at all times I’ll never reject you I’ll love and respect you 'Cause you’re my lifeline Only thing on my wishlist You love and forgiveness For that I will climb (Mount Kilimanjaro a thousand times) Why would I fight it? I know that it’s right when you’re holding my hand I knew when I saw you That God was just giving me a second chance I’ll climb every mountain And scream at the top of my lungs that I’m yours You know that I’m yours   'Cause I, I will always love you (I will always love you) Baby I could never judge you (I could never judge you) I would take you as you are, are, are, are, are I, I will always love you (Darling I will always love you I will always love you) Baby I could never judge you I would take you as you are, are, are, are, are",0.9987,5,10,3,7,24,6,30,3,5,10
2,/songs/3224826,Charlie Puth,Attention (Spotify Singles),https://genius.com/Charlie-puth-attention-spotify-singles-lyrics,http://api.genius.com/songs/3224826,Spotify Singles ,2017-08-23," Da-da-da-da-da-da-da Da-da-da-da Da-da-da-da-da-da-da   You've been runnin' 'round, runnin' 'round, runnin' 'round Throwin' that dirt all on my name 'Cause you knew that I, knew that I, knew that I'd Call you up You've been going 'round, going 'round, going 'round Every party in LA 'Cause you knew that I, knew that I, knew that I'd Be at one, oh   I know that dress is karma, perfume regret You got me thinking 'bout when you were mine, woah And now I'm all up on ya, what you expect? But you're not coming home with me tonight   You just want attention, you don't want my heart Maybe you just hate the thought of me with someone new Yeah, you just want attention, I knew from the start You're just making sure I'm never gettin' over you, oh   You've been runnin' 'round, runnin' 'round, runnin' 'round Throwin' that dirt all on my name 'Cause you knew that I, knew that I, knew that I'd Call you up Baby, now that we're, now that we're, now that we're Right here standin' face to face You already know, 'ready know, 'ready know That you won, oh   I know that dress is karma, perfume regret You got me thinking 'bout when you were mine, woah And now I'm all up on ya, what you expect? But you're not coming home with me tonight   You just want attention, you don't want my heart Maybe you just hate the thought of me with someone new Yeah, you just want attention, I knew from the start You're just making sure I'm never gettin' over you, woah   What are you doin' to me? What are you doin', huh? What are you doin' to me? What are you doin', huh? What are you doin' to me? What are you doin', huh? What are you doin' to me? What are you doin'?   I know that dress is karma, perfume regret You got me thinking 'bout when you were mine And now I'm all up on ya, what you expect? But you're not coming home with me tonight   You just want attention, you don't want my heart Maybe you just hate the thought of me with someone new Yeah, you just want attention, I knew from the start You're just making sure I'm never gettin' over you, over you   What are you doin', huh? (What are you doin', love?) What are you doin' to me? What are you- You just want attention I knew from the start You're just making sure I'm never gettin' over you Woah",0.8693,6,15,5,3,2,11,15,6,3,6
3,/songs/2284639,Charlie Puth,Back to Your Heart,https://genius.com/Charlie-puth-back-to-your-heart-lyrics,http://api.genius.com/songs/2284639,None,2013-03-28," Okay This is a song about how I used to get really scared around girls And it goes like this  [Chorus: Jackson 5 Sample (Charlie Puth)] Won't you please let me Back to your heart? (Yeah, alright) Won't you please let me (I'm gonna go in now, this is me going in) (Here we go) Back to your heart (Okay)   '04, seventh grade High top Adidas and I thought I had game But it turns out that I didn't and I learned the hard way When I walked up to this girly and I asked her ""What's your name?"" She said ""Don't, stop! Why are you talking to me? You're the new kid in town and you look like you're three And it's easy to see by your pale-ass skin That you're always home alone, McCauley Caulkin"" I need consultin' for all of my fears 'Cause I didn't have another girl for four more years And they gave me every one of their gracing chances Paid no attention to all their advances But freshman in college I found my first love And I took her out to dinner and I thanked the gods above But when she went to give me a kiss had a pain in my stomach Too much food, had to vomit (Ugh, we should do this again sometime -- BLUGH)  [Chorus: Jackson 5 Sample (Charlie Puth)] (Ugh, I swear this never happens) Won't you please let me Back to your heart (Oh baby please give me another chance! We could go to the good-house garden) Won't you please let me (Yeah) Back to your heart   Mike Ballz did it, oh! Oh damn These girls all assessing me In a line-up, but they ain't selecting me I'm too obedient and missing one ingredient I need a little L-O-V-E up in this recipe (Yup) But they say ""nice guys finish last"" So I gotta be an ass if I win my class Nah, nope, I just can't do it Maybe they'll be feeling me now I that make some music Maybe not, I'll go right till I'm famous Flaunt all of my swag, I'll snag me at A-list Hey, Taylor Swift, are you feeling this? Give a rapper a chance Somebody make sure that she's hearing this But I'm for real, shit, I just need a chance Seventh grade girls were laughing at me when I ripped my pants I'm no Brad Pitt or George Clooney But I'm a real dude that can make your life feel like a movie  [Chorus: Jackson 5 Sample (Mike Ballz and Charlie Puth)] (Well, uh, probably a low budget movie, actually) Won't you please let me (Yeah) Back to your heart (With… With a lot less special effects) (But, it'll be really cool) Won't you please let me (You probably wouldn't die in the end)  [Breakdown: Charlie Puth, Mike Ballz and the Jackson 6] Ladies, this your chance (Grape jam) Put up your hands (Or any other body part) Wave 'em side to side Let's ride (Eh, that was lame) Yeah It's Mike Ballz, baby It's Mike Ballz, baby It's Mike Ballz, baby It's Charlie Puth, baby It's Mike Ballz, and Charlie Puth (oh no) We're chilling up in that booth (John Wilkes) But it's not really a booth 'Cause it's just in his living room (Very convenient) It's right next to the kitchen (Uh) Yo, Charlie, what you dishing? (Domino's Pizza) Do you watch the dishes (Won't you please let me) (Nah) 'Cause you got some dishes in your sink That sucks Wash your dishes, son Boom! (Charlie Puth, bitch)",0.9656,6,9,8,11,18,15,33,7,11,12
4,/songs/2286514,Charlie Puth,Beautiful Corruption,https://genius.com/Charlie-puth-beautiful-corruption-lyrics,http://api.genius.com/songs/2286514,Ego,2013-10-26," Midnight, lock all the doors Keep playing that song all day Just the sound of the traffic The patron of you switching lanes San Diego, Hard Rock hotel Wondering why I came I said I'll try not to think of you If you say you don't feel the same   Oooh, oooh Ooh, you're reluctant 'cause you know I'll leave you nothing to see Oooh, oooh I'll be self-destructing when your beautiful corruption touches me   Feels like the end of the world Right in this new poor town Oooh, I should have kept quiet Yeah, I should have shut my stupid mouth  The long table The boomerang Traveling way down south And it's ironic 'cause it's probably the last time that you see me around   Oooh, oooh Ooh, you're reluctant 'cause you know I'll leave you nothing to see Oh yeah Oooh, oooh I'll be self-destructing when your beautiful corruption touches me   I said I'll be self-destructing when your beautiful corruption touches me",0.8225,0,3,3,2,3,8,8,3,3,3
5,/songs/3303192,Charlie Puth,Betty Boop,https://genius.com/Charlie-puth-betty-boop-lyrics,http://api.genius.com/songs/3303192,None,2014-10-01,"Alright gentleman I want you to repeat after me Just how I do it Ready?  Ra-da da da dada dada da da Your turn! La-da da da dada dada da da Very good! La-da da dada da ah Go ahead now! La-da da dada da dum Good golly! La-da dada da da ah Bring it around now! La-da da da dada dada da ah Ladies ! La-da da da dada dada da ah Good golly!  La da da dada da ah La da da dada da ah La-da da dada da ahhh Yeah!  Ladies and gentlemen I present to you Mr Charlie Puth on keys! Aw yeah! Oh ohhh Ohhh Bring the beat back! Oh oh oh oh oh ohhh Aw aww aw aww aw aww  Let you see my Betty Boop When the beat drops  Alright ladies and gentlemen That was very good We're going to do the whole thing one more time Follow my steps 2,3,4 and  Da-da da da dada dada da ah What'd I say? Da-da da da dada dada da ah Very good! La-da da dada da dum Yes! La-da da dada da dum Good golly! La-da da da dada dada da ah Bring it around now! Ra-da da da dada dada da dum Ladies! La-da da da dada dada da ah Good golly! La-da da da dada dada Aw yeah! Let's bring it on home!  Aw yeah! Oh ohhh Ohhh  Bring the beat back! Oh oh oh oh oh ohhh Aw aww aw aww aw aww  Let me see you're Betty Boop When the beat drops",0.9891,0,10,0,0,8,0,12,0,8,11
6,/songs/3600017,Charlie Puth,BOY,https://genius.com/Charlie-puth-boy-lyrics,http://api.genius.com/songs/3600017,Voicenotes,2018-05-11," I got these girls tryna lock me down And I always up and leave But for the first time in a while I wanna throw away the key And I know you've been in a couple more relationships than me 'Cause you talk a different talk And you kiss me differently   Now I don't know where to go After you loved me this way After you love me so good How are you gonna tell me you don't wanna stay?   You tell me I'm too young, but I gave you what you wanted Baby, how dare you treat me just like Like a boy You won't wake up beside me 'Cause I was born in the '90s Baby, how dare you treat me just like Like a boy (Go and treat me like) Boy (Go and treat me like) Boy   You told me you needed a perfect guy That'll make your parents proud Guess you still ain't found him yet (why?) 'Cause we're still messin' around (oh) And now you watch me put in all this work Just to say it won't work out (work out) You never took me seriously (took me seriously) Now what the hell is that about?   Now I don't where to go (After you love me this) After you loved me this way (After you love me so) After you loved me so good How are you gonna tell me you don't wanna stay?   You tell me I'm too young, but (young, but) I gave you what you wanted (what you wanted) Baby, how dare you treat me just like Like a boy You won't wake up beside me (beside me) 'Cause I was born in the '90s (in the '90s) Baby, how dare you treat me just like (Just like) Like a boy (Go and treat me like) Boy (Go and treat me like) Boy Baby, don't you treat me like a boy Boy (Go and treat me like) Boy (Go and treat me like) Boy   You tell me I'm too young, but (young, but) I gave you what you wanted (what you wanted) Baby, how dare you treat me just like Like a boy You won't wake up beside me (beside me) 'Cause I was born in the '90s (in the '90s) Baby, how dare you treat me just like Like a boy (Go and treat me like) Boy (Go and treat me like) Boy Baby, don't you treat me like a boy Boy (Go and treat me like) Boy (Go and treat me like) Boy   Just like, like a boy Just like, like a boy",0.9995,19,36,41,20,40,42,48,20,29,35
7,/songs/2007507,Charlie Puth,Break Again,https://genius.com/Charlie-puth-break-again-lyrics,http://api.genius.com/songs/2007507,None,2018-10-13," Well I’m crying and I’m dying ’Cause I really thought that you would be the one And I tried to stand beside you But it was over way before it had begun I like to think it’s all okay And one day you’ll come back and stay with me Come and stay with me   But now you’re gone (but now you're gone) And I don’t know if I can carry on (carry on)   I don’t wanna hear no love songs And I don’t wanna see you at all ’Cause I can’t afford to have my heart break again I just thought that maybe you’d change But you’re still the same, the same, the same As you were back then I’ve had enough (I've had enough) Enough of you (enough of you) And I won’t let you break my heart again   Lately, every day now I go to bed and sleep my life away till four ’Cause I don’t know (’cause I don’t know) What it feels like (what it feels like) To not wake up and run a mile right to your door   You’re still gone And I don’t know if I can carry on (carry on)   I don’t wanna hear no love songs And I don’t wanna see you at all ’Cause I can’t afford to have my heart break again I just thought that maybe you’d change But you’re still the same, the same, the same As you were back then I’ve had enough (I've had enough) Enough of you (enough of you) And I won’t let you break my heart again   Why you gotta break my heart again? And I can’t keep holding on (can’t keep holding on)   I don't wanna hear no love songs And I don’t wanna see you at all ’Cause my heart’s gonna break again I’ve had enough (I've had enough) Gave it my all (gave it my all) Just thought you changed (just thought you'd changed) But I was wrong And now that you’re gone (now that you’re gone) You can’t break my heart again, again Can’t break my heart again",0.9451,1,6,1,3,3,3,15,2,8,10
8,/songs/3597290,Charlie Puth,Change,https://genius.com/Charlie-puth-change-lyrics,http://api.genius.com/songs/3597290,Voicenotes,2018-03-23," One, two, three, four Why are we looking down On our sisters and brothers? Isn't love, all that we got? Don't we know everyone's Got a father and mother? The day we know we're all the same Together we can make that change  [Verse 1: James Taylor, Both] Look around, there are too many of us crying And not enough love to go around What a waste, another day Another good one dying But I know that the world will change The day we know we're all the same   Why can’t we just get along? If loving one another's wrong Then how are we supposed to Get close to each other? We gotta make that change, yeah Why can’t we just get along?  [Verse 2: James Taylor, Charlie Puth, Both] What a waste it would be to deny somebody Of a chance to be theirselves What a waste it would be if we hurt for nothing? But I know that the world can change The day we know we're all the same   Why can’t we just get along? If loving one another's wrong Then how are we supposed to Get close to each other? We gotta make that change, yeah   I know we could break apart We don’t have to go that way Not today   Why can’t we just get along? If loving one another's wrong Then how are we supposed to Get close to yeah Why can’t we just get along? If loving one another's wrong Then how are we supposed to Get close to each other? We gotta make that change, yeah   That change, yeah",0.4199,3,2,4,9,8,12,11,4,3,10
9,/songs/3660238,Charlie Puth,Chop Like This,https://genius.com/Charlie-puth-chop-like-this-lyrics,http://api.genius.com/songs/3660238,None,2018-10-13," Baby you gone serve it up on a platter Serve it hot serve it cold baby girl it don’t matter Just need a dash of your touch Girl it don’t have to be much Just wanna feel the heat of your love   Sugar and spice makin everything better You gotta, push it girl salt n’ peppa Tryin to give what you need Only need one recipe Wanna feel the heat of your love   I’m feelin’ summer nights Oh when they fade away these Summer nights summer nights We’ll still be burnin babe Ooooo, Got me like Ooooo, Got me like  I wanna see ya… Chop Like This, Drop Like This   Everything you do is just so enticing Wishin you’d come over here and ignight it Frostin all up on your lips The sweeter the touch of your kiss Wanna feel the heat of your love   Follow the steps we done got with this lovin You be so hot girl so hot like an oven She hadn’t even begun I hadn’t even enough Wanna feel the heat of your love   I’m feelin’ summer nights Oh when they fade away these Summer nights summer nights We’ll still be burnin babe Ooooo, Got me like Ooooo, Got me like   I’m feelin’ summer nights Oh when they fade away these Summer nights summer nights We’ll still be burnin babe Ooooo, Got me like Ooooo, Got me like  Chop Like This...",0.9919,3,2,0,0,7,9,11,0,1,5
