,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/62387,Chris Brown,100%,https://genius.com/Chris-brown-100-lyrics,http://api.genius.com/songs/62387,Boy In Detention (Mixtape),2011-08-05," Beats I be servin', Saks Fifth splurgin' Diamonds got so many cuts, call my jeweller the surgeon Ain't nobody fuckin' with me, label me the virgin I'm hot burnin', like when you leave a perm in Everywhere I go these hoes be diggin' in they purses for a Sharpie 'Cause they tryna get the autograph in cursive Little bit of Coke mixed with a lot of bourbon Got your boy leanin', sorry if my words slurrin' Swervin' in that DB9 on purpose The roof disappear, call it magic like Earvin Johnson Get up off my johnson, no more ridin' dick Shawty, this ain't magic mountain I've been killin', killin' every song that I been spittin' on And if I ain't spittin', better somethin' that I written on Can't even say it was a long road gettin' on Only took a year and a half and now I'm shittin' on 'em   Get it how I live it, come faster than I could spend it Money to the ceilin', bitch, I'm in the buildin' I'm a giant in the room full of midgets, tell 'em Money talks so don't say nothin' unless you talkin' business 100%, I go 100%, I go 100%, I go 100%, I go 100%, I go 100%, I go 100%, I go 100%, I go   Lemme count this money, one million, two million Put this up for my new car, save that for my baby momma and all you bums can keep the change   Yeah, I got them bullet proof Ray Bans so haters never in my head Money hungry good for me, yeah, I call it wheat bread Ladies say I'm long strokin', yeah, that’s what she said Crib like a castle so I'm fuckin' on that king spread Haha, big ballin', fuck a loft And money turn me on so I had to fuck it off Skinny ass nigga's pockets lookin' so bulimic And I never spill my drink, you can call me Tempur-Pedic Allergic to the haters, addicted to the money You askin' why I'm laughin' 'cause all of you niggas funny And they call me Action Jackson 'cause every day I'm stuntin' And I'm writin' hit songs like it's nothin' So nigga, you buggin', frontin', what you think this is hoe? Paparazzi tryna pop me everywhere that Chris go Never been no sucker no lame, mad nigga And your flow is more watered down than a drain, ass nigga   Get it how I live it, come faster than I could spend it Money to the ceilin', bitch, I'm in the buildin' I'm a giant in the room full of midgets, tell 'em Money talks so don't say nothin' unless you talkin' business 100%, I go 100%, I go 100%, I go 100%, I go 100%, I go 100%, I go 100%, I go 100%, I go",14,13,5,7,12,11,24,5,11,17,-0.9809
1,1,/songs/54007,Chris Brown,100 Bottles,https://genius.com/Chris-brown-100-bottles-lyrics,http://api.genius.com/songs/54007,Boy In Detention (Mixtape),2011-08-05," We in the motherfuckin' buildin'   100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles Stuntin' is my motto with 200 bad models And 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles I need 100 fuckin' bottles, 100 fuckin' bottles Stuntin' is my motto with 200 bad models and a   Oh my God waiter, we packed up in this bitch And I’m feelin' hater vapors, yeah, it’s hot up in this bitch But, but you won’t ever phase me and I know why you hate me 'Cause my fuckin' cleanin' lady look hotter than your bitch And you know I'm 'bout to spend 100 racks up on this bar, bar You don’t wanna drink, you wanna be nosy Mrs. Aardvark And I know that you not used to rejection But if you don’t get naked, get the fuck up out my section   I'ma need 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles Stuntin' is my motto with 200 bad models And 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles I need 100 fuckin' bottles, 100 fuckin' bottles Stuntin' is my motto with 200 bad models and a   All up in that VIP, that shit look like a cloud Guess Aladdin got 200 Jasmines comin' to the house And we bangin' on that magic carpet, fuckin' on the couch All that fettucini say she saw a genie, that’s that loud They say silence is golden, so my chain don’t make a sound But these bottles I’m holdin', I’ma give them to the crowd Oh, that must be that shit they talkin' ’bout Can you hear me now or I gotta say it loud?   I need 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles I need 100 fuckin' bottles, 100 fuckin' bottles Stuntin' is my motto with 200 bad models And 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles Stuntin' is my motto with 200 bad models and a   I see you standing in the back, babe Let me help you out with that, babe You looking badder than a bitch The baddest in your clique, see you picking up your slack, babe So let me take you back to my place We so drunk, so high, babe We can do this over and over, I ain’t got no hangover You can tell by the look on my face, I need   100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles Stuntin' is my motto with 200 bad models And 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles 100 fuckin' bottles, 100 fuckin' bottles Stuntin' is my motto with 200 bad models and a",19,1,16,15,1,20,13,16,1,4,-0.9967
2,2,/songs/516349,Chris Brown,101 (Interlude),https://genius.com/Chris-brown-101-interlude-lyrics,http://api.genius.com/songs/516349,X,2014-09-16," You got me doing 101 on the 101 Don't go nowhere, baby, don't you run You got me doing 101 on the 101 Got me speeding for your love   I've been waiting for you all day, stuck in traffic Tryna make it to my baby, I'm tryna go half on a baby Just wear that sexy shit I like and I will do you just right Don't you worry, help is soon on the way, yeah 'Cause I'll kiss you up, I'll lick you up, I'll stick it up, I'll smack it up I'll flip it up, I'll pick you up, I'll sex you up I like it when your bottom up, your top down, take you down Won't fuck around, I'll hold you down, I'ma break it down when I lay you down, yeah",2,4,2,1,6,6,11,2,2,6,0.9516
3,3,/songs/3103904,Chris Brown,10 Feet,https://genius.com/Chris-brown-10-feet-lyrics,http://api.genius.com/songs/3103904,None,2017-05-31," Ain't no way we could ignore this fire When I'm this close to you Ain't no way we could push up to the side No, no   I've been missing you, you And all the sexy things we do, do Even when you say you're through, through Deep inside, I know you're listening too, woah, oh You've been talking (Oh), you don't mean that Where your head at? (Head) Where your head at? (Head) I've been calling (Calling), tryna get up (Oh) Where your head at? Where your head at?   Take me away, but I can't reach you Reach you, even though we're in the same room 10 feet away, and still I can't reach you Reach you, even though we're in the same room   I gotta re-up sometimes I wanna re-up sometimes, yeah Just give me a reason why Just give me a reason why You want me to stay ‘Cause if I go on this roller coaster I want no games You know I'm gonna ride for you That will never change   I've been missing you, you And all the sexy things we do, do Even when you say you're through, through (Yeah) Deep inside, I know you're listening too (I know you're listening too), woah, oh You've been talking (Stop that), you don't mean that (No) Where your head at? (Head at) Where your head at? I've been calling, tryna get up Where your head at? Where your head at?   Take me away (Oh yeah, yeah), but I can't reach you (Yeah) Reach you, even though we're in the same room 10 feet away (Away), and still I can't reach you Reach you (Ooh), even though we're in the same room (Ow!)",0,0,0,4,0,3,4,2,0,2,0.8592
4,4,/songs/57217,Chris Brown,2011 BET Cypher Chris Brown and Friends,https://genius.com/Chris-brown-2011-bet-cypher-chris-brown-and-friends-lyrics,http://api.genius.com/songs/57217,None,2019-04-04," Welcome to the Cypher Myself, K-Mac, Ace Hood, Tyga It's the Cypher, let's go   Moment of silence for this beat that I'm about to kill And all you rappers signed a suicidal deal No hard feelings pimpin', it's what authentic is Month old denims thirty grand in the steel Sleepin' on me I put gas in your Nyquil Gettin' money while your pockets on the diet pill Flow knock 'em cold out like Benadryl Glock cold fourteen, call it Emmett Till Yeah billionaire it's a state of mind Thats the Rollie on thankful for these good times Michael Corleone back when he was in his prime That's how I'm feelin' while I'm fuckin' my new Spanish dime Damn, and you can tell I'm on another level He think he better then I? He get the J letter Yeah jumped in jack be a trend setter You lookin' at the best how you doin', it's a pleasure   I'm at the top like high note Killin' for survival Jeffery Dahmer, I'ma slaughter every beat that I'm on Ya'll was sleepin' on me so I had to turn the lights on My pockets swollen, I should put some ice on Shout to Breezy coulda never did this shit alone Like potty trainin', coulda never did this shit alone If we ain't the best to do this then this shit was wrong Sicker than HIV I guess that mean I'm full-blown And of course I'm speakin' metaphorically Livin' Fantastic I wonder if there's Four of me This is just a sample so if you want more of me You have to rewind time unless the microphone recordin' me K-Mac rhymin' on the payback, the truth will set you free so I'ma testify and say that Ballin' like a preacher catch me rollin' in my Maybach Shinin' 'cause I blew myself up, Arab   Look at me now, my dogs said we gon' be rich one day But I'm Anfernee, I did things the Hardaway Easy Bake, fast cake Rearrange your vertebra Try like a murder case, you gon' need ice gates Thin ice, I be icier than a winter lake Oh you, copied my swag, well you a little late Prolly make more when I'm gone, Mike J Smooth Criminal, sweet bass I call it Shawtay Why you starin' so long, what your eyes gay Money talk so I just walk and let it translate You ain't fuckin' with me I don't fornicate I just let her taste-test than I let my kids chase Young Money Cash Money dollars, big face So when you talk new rappers don't compare me I'ma last king we don't talk rappers if it ain't YMCMB   They said I was down for the count let's make them eat they words And if it's beef well sweet I make them bite the curb This probation got me walkin' on the straight and narrow I'm takin' shots in the club just likes it's double barrel Come on live through what I been through This media so fucked up that's why I don't do no interviews And I ain't gotta break shit but I bend the rules I skateboard kick-flip right in my pool With two hundred model chicks super gettin' loose They just wanna big dick did I say that, oops Ha, oh my, oh my where's my manners Pardon me for this grammar, this Virginia country grammar Goin' nuts like some Planter's, and my chain feel like an anchor When I told you to use your head but I ain't want you to be no thinker Fresher than a mothafucka yeah you got yo stank up Yeah swallow your pride, yeah go head and drank up",20,17,11,12,14,23,39,9,17,25,0.9745
5,5,/songs/79425,Chris Brown,2012,https://genius.com/Chris-brown-2012-lyrics,http://api.genius.com/songs/79425,Fortune,2012-06-29," Faire l'amour lendemain   What if the sky was turning red? I know we'd be safe right here in my bed, laying face to face Oh girl, I love the way you sound when you rain on me So tonight let's act it out, show you how it's gon' be I'm gon' kiss your other set of lips Hold your body by your legs and hips The world can't end until we finish Girl, we gon'   And we gon' do it like it's 'bout to be the end of the world And they depending on us To make Earth shaking love As we lay down, lay down Telling me to go harder, go harder You're telling me to go deeper, go deeper I feel your knees getting weaker and weaker We can go longer if you just lay down, lay down, down   All these vibrations from your legs, massaging my back I got your body shivering 'cause we're covered in sweat And girl, I like the way it opens up, when you throw it back, babe Girl, it might be too much, oh babe, if you keep doing that I got that pillow for your knees right here Baby, can you make it disappear? Your voice is the last thing I'm gonna hear Then I wanna make you holler   We gon' do it like it's 'bout to be the end of the world And they depending on us To make Earth shaking love As we lay down, lay down You're telling me to go harder, go harder You're telling me to go deeper, go deeper I feel your knees getting weaker and weaker We can go longer as we lay down, lay down, down   Do it like we only got one, baby, let's pretend we only got one night One last time, let me take my time and do it to you right Buildings and bridges may be falling down, but that won't stop me from turning that thing around, girl, yeah Won't you come on over and we can treat it like it's the motherfuckin' end of the world? Woo   And they depending on us To make Earth shaking love As we lay down, lay down Telling me to go harder, go harder (a nigga goin' hard in the paint, you think I can) You're telling me to go deeper, go deeper (a nigga so deep, underwater, can you feel my submarine?) I feel your knees getting weaker and weaker (my hands, baby you gon' feel this ) We can go longer if you just lay down, lay down, down   A nigga going hard in the paint, you think I can? Watch a nigga go hard in the paint, you think I can? Going for miles, no stops, a nigga going hard in the paint Watch a nigga go hard in the paint Watch a nigga go hard in the paint, you think I can? Watch a nigga go hard in the paint, you think I can? Watch a nigga go hard in the paint Watch a nigga go hard in the paint",3,11,1,12,11,8,14,2,2,4,0.8478
6,6,/songs/60609,Chris Brown,2 Complicated,https://genius.com/Chris-brown-2-complicated-lyrics,http://api.genius.com/songs/60609,None,2012-06-19," Shattered glasses and cigarettes There's a lot built up inside of me And I have so many regrets This isn't how things used to be And you're never satisfied Guess what? I'll stop fucking trying You suck In case you didn't know, you're horrible   But it's always true, I'm always wrong, anything I do And I always go to war with you and I lose, yeah, yeah I'm a silly dude 'cause I keep coming back to you This is feeling like deja vu My head's spinning around and you got me saying   I, I, I, I You're way too complicated I, I, I, I I can no longer take it I, I, I, I We're no good, let's just face it I, I, I, I 'Cause you're way too complicated   You're such a snobby girl, used to think you were a queen Damn, sure did rain on my parade (Oh-oh-oh) Same old silly games you play, this is such a waste of time I'm starting to think that you're insane, cuckoo cuckoo, cuckoo cuckoo   But it's always true, I'm always wrong anything I do And I always go to war with you and I lose, yeah, yeah I'm a silly dude 'cause I keep coming back to you This is feeling like deja vu My head's spinning around and you got me saying   I, I, I, I You're way too complicated I, I, I, I I can no longer take it I, I, I, I We're no good, let's just face it I, I, I, I 'Cause you're way too complicated   I'm not sure, what else can I do? I've had enough of your rules Yeah, you, way too Soduku, true Ain't in no mood for proofs and square roots Go ahead, run and find yourself another man who, who, who could Figure you wild, I'm sick of your mouth 'Bout to slip, don't have to listen and rather sleep on the couch Yeah, stick to my decision, chick, I'm kickin' you out No mathematician, take the digits and bounce You got me screamin' out   I, I, I, I You're way too complicated I, I, I, I I can no longer take it I, I, I, I We're no good, let's just face it I, I, I, I 'Cause you're way too complicated I, I, I, I You're way too complicated I, I, I, I I can no longer take it I, I, I, I We're no good, let's just face it I, I, I, I 'Cause you're way too complicated",8,10,8,11,14,37,13,9,13,13,-0.9576
7,7,/songs/3089879,Chris Brown,2 the Side,https://genius.com/Chris-brown-2-the-side-lyrics,http://api.genius.com/songs/3089879,None,2017-05-28," Oh, oh, oh, babe, yeah I know what you need, babe   Here we are again All this running through my head like I know what you need right It's what you 'bout to get We can do this right now, no acting shy now Fuck it, I don't care I know I want it, girl, you know you want it, girl Take it to the head Ain't gotta put 'em down, down, down, down   We can turn this backseat to a bed (We can turn this backseat to a bed) Fog up all the windows, heating up (Fog up all the windows, heating up) We don't even have to get undressed 'Cause we ain't, trying to make love, yeah   And I'm gon' keep my shirt on You can keep your heels on Baby, don't take them panties off Just pull 'em to the side, to the side, to the side (Baby) You on me and me on you So we don't need, we don't need a bedroom (Oh) Don't take them panties off Just pull 'em to the side, to the side, side   You gon' get that quick shit With that good shit, that dick got you screamin' That rough type, what you like My Mars, all in your Venus Baby, I'ma change your life And do it all in just one night We gon' get explicit Try somethin' different Legs on my shoulders All kind of positions Girl, I do the shit you like I'ma do the shit you like, oh yeah   We can turn this backseat to a bed (We can turn this backseat, baby) Fog up all the windows, heating up (Woah, oh) We don't even have to get undressed (We don't have to get undressed) Put it up there, leave it right there, baby girl, leave all your clothes on   And I'm gon' keep my shirt on (We could get naked) You can keep your heels on (You can keep 'em on now) Baby, don't take them panties off Girl, just pull 'em to the side, to the side, to the side (Oh, oh) You on me and me on you (Me) So we don't need, we don't need a bedroom (No bed, no ned) Please don't take them panties off Just pull 'em to the side, to the side, side (Pull 'em, baby)   I know you want it, baby 'Cause your body's been calling, baby Let's not waste any time, we ain't got all night I'ma go all in, baby I know you want it, baby Your body's been calling me Like, ""Let's get on top of me and drive me crazy"" Even if it takes all night I'ma gonna do you right, promise   And I'm gon' keep my shirt on (I'm gon' keep it on, keep it on) You can keep your heels on (Yeah, yeah) You don't gotta take them panties off Just pull 'em to the side, to the side, to the side You on me and me on you So we don't need, we don't need a bedroom (We don't need a bed) Keep them panties on Just pull 'em to the side, to the side, side (Just pull 'em to the side)   Oh, babe (Just pull 'em to the side) Oh, babe I said wassup, babe (Just pull 'em to the side) Oh-oh-oh We don't need, we don't need a bedroom (Just pull 'em to the side, side) Oh, oh, oh, babe, yeah Your panties, just pull 'em to the side",6,3,5,2,15,13,47,3,3,23,-0.1984
8,8,/songs/2404874,Chris Brown,45,https://genius.com/Chris-brown-45-lyrics,http://api.genius.com/songs/2404874,None,2017-05-31," And I'm like Jordan wearin' 45 I told you I was comin' back And every time they tried to push me out I told you I was comin' back (Huh) 45, 45, goin' back like I ain't leave 45, 45, I been nice since 23 Ballin' hard, ballin' hard, swear I need a referee I can see the jealousy, the haters always mad at me, I know   Now why you get me goin'? Why you get me goin'? (Goin') Knowin' they can't stop a nigga But I know they know and they already know it Yeah, I know I'm on but I'll still off a nigga (Woah) Before we even talkin', what's your offer, nigga? (Woah) Make sure the bank account is looking proper, nigga (Woo!) Make sure my niggas eatin' steak and lobster, nigga We hustle hard, you hardly hustle, that's your problem, nigga Question us and we can solve it, what's your problem, nigga? (Woo!) Funny how these busters turn to Prima Donna niggas (Woah)   My whole team, my whole team Yeah, we lookin' like the Bulls in '92 and '93, yeah My whole team, my whole team Yeah, you know it's OHB, 45   And I'm like Jordan wearin' 45 Yeah, I told you I was comin' back (Back) And every time they tried to push me out (I told you) I told you I was comin' back (Back, huh) 45, 45, goin' back like I ain't leave 45, 45, I been nice since 23 Ballin' hard, ballin' hard, swear I need a referee I can see the jealousy, the haters always mad at me, I know   Now why they keep me goin'? Why they keep me goin'? Knowin' they can't stop a nigga They quick to try and put my shit out in the open Yeah, it's cool, I ain't forgot it, nigga, no Now these famous bitches started blowin' up my line again Basic bitches callin' 'cause they bank accounts is minusin', no Money ain't a problem, we got commas, boy (Woah) If you don't want these problems, save the drama, boy (No) Fame for the real ones, shut the roster boy (Woah) And my niggas still gon' eat that steak and lobster, boy, so go   My whole team, my whole team Now we lookin' like the Bulls in '92 and '93, yeah My whole team, my whole team Yeah, we lookin' hard to beat   And I'm like Jordan wearin' 45 (I told you I was comin' back) I told you I was comin' back And every time they tried to push me out (Me out) I told you I was comin' back (Back, huh) 45, 45, goin' back like I ain't leave (Huh, oh) 45, 45, I been nice since 23 Ballin' hard, ballin' hard, swear I need a referee I can see the jealousy, the haters always mad at me, I know   I'ma spend a 100 racks in A.O.D You know they suckin' dick if they in V.I.P Told the waitress to roll up, bitch, forget the drinks All this money in the air, the pussy follow me A .45 on my side, I'm 'bout to drive Trap jumpin' out the jam, think I can fly 45, 23, bounce Money I'm countin', wanna be like Mike   And I'm like Jordan wearin' 45 I told you I was comin' back And every time they tried to push me out I told you I was comin' back (Huh) 45, 45, goin' back like I ain't leave 45, 45, I been nice since 23 Ballin' hard, ballin' hard, swear I need a referee I can see the jealousy, the haters always mad at me, I know",16,7,16,15,4,27,18,20,7,26,-0.9491
9,9,/songs/2877,Chris Brown,48 Bar Rap,https://genius.com/Chris-brown-48-bar-rap-lyrics,http://api.genius.com/songs/2877,Fan of a Fan,2010-05-16," Yeah, leggo It's what they wanted right?   Black shades, dark tint Your girl, nigga, I get it in Stick shiftin', switchin' and burnin' out in the Benz Wood grippin', kissin' all of they model friends Mr. Dolo, with a bunch of freaks And you know they get the party bouncin' like a pogo I'm in slow mo But fast forward me to the part where me and your girl underneath the sheets Just keep your eyes on Got a whole bunch of niggas behind me wearin' red, Verizon New money, I get my super size on I like a long hair, bad chick, thighs long Knowin' all the words to my songs And she fuckin' every girl that's in my phone I'm, I'm so fly Flight models up 'cause I'm so high Lil nigga get your cheese up Black Ice on my neck, make you freeze up Oh you worried 'bout me? Go figure I ain't sweatin' it, fuck them old niggas Lambo, Range Rove, with my pants low I got the audience clappin' like a backboard She put her hands up and then I stand up And get to workin' on the pole like a dancer I double up, I call it double Dutch Two girls at the same time, what the fuck? Rabbit foot in the air 'cause my luck is up Bring the first aid out 'cause I'm cuttin' up Bang, bang, now that's some G shit No chain gang, like I'm really on some free shit They jaw dropped, I'm leavin' niggas speechless World premier, get a sneak peek, bitch I'm great, today is a new day Fuckin' with me, do the moon walk on your face No games, I'm oh so serious And y'all niggas straight pussy, period They say a singer can't rap, I ain't hearin' it 'Cause after these couple songs. I been killin' shit Oh no, niggas sayin' I'm loco But they Pinocchio niggas, watch their nose grow It's Young Money, shoutout my nigga Tyga too They on their first mixtape, I'm on volume two Turn me up, I'll show you what a tiger do And I'ma rip this beat up like lion food Louis luggage and the case for the passport I don't buy shit, nigga. I ask for it I'm the freshest, I'm the best I suggest that I get it off my motherfuckin' chest, Breezy",13,10,9,9,7,15,15,9,7,9,-0.7584
