,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/4161032,Christina Perri,​a dream is a wish your heart makes,https://genius.com/Christina-perri-a-dream-is-a-wish-your-heart-makes-lyrics,http://api.genius.com/songs/4161032,songs for carmella: lullabies & sing-a-longs,2019-01-17,A dream is a wish your heart makes When you're fast asleep In dreams you will lose your heartaches Whatever you wish for you keep  Have faith in your dreams and someday Your rainbow will come smiling through No matter how your heart is grieving If you keep on believing The dream that you wish will come true  Have faith in your dreams and someday Your rainbow will come smiling through No matter how your heart is grieving If you keep on believing The dream that you wish will come true,0.9766,1,2,1,1,6,2,8,2,1,6
1,/songs/2016415,Christina Perri,All That Matters,https://genius.com/Christina-perri-all-that-matters-lyrics,http://api.genius.com/songs/2016415,Finding Neverland: The Album (Songs from the Broadway Musical),2015-06-09," When I thought that my whole world had ended The colors had faded to gray Just when I'd given up on hoping The feelings, they rush back again   There's a bright light in the sky tonight Guiding us safely to shore Not afraid anymore   All that matters now is where we go from here There's an easier way if we live for today To find that all we are is all that matters, is all that matters   Remember all you've forgotten The joy and the simplest of things Refuse to take life for granted But choose to celebrate all that life brings   There's a bright light in the sky tonight Guiding us safely to shore Not afraid anymore   All that matters now is where we go from here There's an easier way if we live for today To find that all we are is all that matters   There's a bright light in the sky tonight Guiding us safely to shore Not afraid anymore   All that matters now is where we go from here There's an easier way if we live for today To find that all we are is all that matters, is all that matters There's an easier way if we live for today To find that all we are is all that matters",0.9919,1,2,2,5,2,6,6,3,1,1
2,/songs/168007,Christina Perri,Arms,https://genius.com/Christina-perri-arms-lyrics,http://api.genius.com/songs/168007,lovestrong.,2011-03-15, I never thought that you would be the one to hold my heart But you came around and you knocked me off the ground from the start   You put your arms around me And I believe that it's easier for you to let me go You put your arms around me and I'm home   How many times will you let me change my mind and turn around? I can't decide if I'll let you save my life or if I'll drown   I hope that you see right through my walls I hope that you catch me cause I'm already falling I'll never let our love get so close You put your arms around me and I'm home   The world is coming down on me and I can't find a reason to be loved I never wanna leave you but I can't make you bleed if I'm alone   You put your arms around me And I believe that it's easier for you to let me go...   I hope that you see right through my walls I hope that you catch me cause I'm already falling I'll never let a love get so close You put your arms around me and I'm home   I tried my best to never let you in to see the truth And I've never opened up I've never truly loved 'til you put your arms around me And I believe that it's easier for you to let me go   I hope that you see right through my walls I hope that you catch me cause I'm already falling I'll never let our love get so close You put your arms around me and I'm home,0.9863,0,10,0,2,10,5,12,5,10,9
3,/songs/4161048,Christina Perri,​a thousand years (lullaby),https://genius.com/Christina-perri-a-thousand-years-lullaby-lyrics,http://api.genius.com/songs/4161048,songs for carmella: lullabies & sing-a-longs,2019-01-03, Heart beats fast Colors and promises How to be brave? How can I love when I'm afraid to fall But watching you stand alone? All of my doubt suddenly goes away somehow One step closer   I have died everyday waiting for you Darling don't be afraid I have loved you For a thousand years I'll love you for a thousand more   Time stands still Beauty in all she is I will be brave I will not let anything take away What's standing in front of me Every breath Every hour has come to this One step closer   I have died everyday waiting for you Darling don't be afraid I have loved you For a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more,0.9943,0,2,0,4,8,5,11,2,1,7
4,/songs/1836336,Christina Perri,"A Thousand Years, Pt. 2",https://genius.com/Christina-perri-a-thousand-years-pt-2-lyrics,http://api.genius.com/songs/1836336,The Twilight Saga: Breaking Dawn – Part 2 (Original Motion Picture Soundtrack),2012-11-09, The day we met Frozen I held my breath Right from the start I knew it I found a home for my Heart beats fast Colors and promises How to be brave How can I love when I'm afraid to fall Watching you stand alone All of my doubt suddenly goes away somehow  [Pre-Chorus: Christina Perri & Steve Kazee] One step closer   I have died everyday waiting for you Darling don't be afraid I have loved you For a thousand years I'll love you for a thousand more   Time stands still Beauty in all she is I will be brave I will not let anything take away What's standing in front of me Every breath Every hour has come to this  [Pre-Chorus:Christina Perri & Steve Kazee] One step closer   I have died everyday waiting for you Darling don't be afraid I have loved you For a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more I'll love you for a thousand more  [Pre-Chorus:Christina Perri & Steve Kazee] One step closer   I have died everyday waiting for you Darling don't be afraid I have loved you For a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more,0.9962,0,4,0,5,13,6,20,2,1,11
5,/songs/1112585,Christina Perri,Ave Maria,https://genius.com/Christina-perri-ave-maria-lyrics,http://api.genius.com/songs/1112585,A Very Merry Perri Christmas ,2012-10-16,"Ave Maria, gratia plena Maria, gratia plena Maria, gratia plena Ave, Ave dominus Dominus tecum  Benedicta tu in mulieribus Et benedictus Et benedictus fructus ventris Ventris tui, Jesus Ave Maria  Ave Maria, gratia plena Maria, gratia plena Maria, gratia plena Ave, Ave dominus Dominus tecum  Benedicta tu in mulieribus Et benedictus Et benedictus fructus ventris Ventris tui, Jesus Ave Maria",0.0,0,0,0,0,0,0,0,0,0,0
6,/songs/976561,Christina Perri,Backwards,https://genius.com/Christina-perri-backwards-lyrics,http://api.genius.com/songs/976561,lovestrong.,2011-05-10,"Take me backwards, turn me around Cannot find my balance on the ground This world is too heavy For a feather falling quickly  And I wrote your story But I'm afraid of how it ends And though my friends are doing well And I'm still on the mend  I'm going to lay back down Hope the wind takes me around I gotta find some courage in this town  'Cause nobody's going to save Somebody who won't change I tried to be brave  And nothing's coming easy, and all at once I feel a little queasy Oh, but if your love's my remedy Won't you please come and be with me?  It's not like there's much better Nobody's grass is as green as mine I can't say that I'm satisfied Three thousand miles from your kiss goodbye  I'm going to lay back down Hope the wind takes me around I gotta find some courage in this town And everybody's afraid 'Cause chances come from change And everybody's afraid 'Cause chances come from breaking The chances are you're breaking open  I'm going to lay back down Hope the wind takes me around I gotta find some courage in this town 'Cause nobody's going to save Somebody who won't change It's time to be brave",0.9968,0,7,1,6,11,5,15,1,7,9
7,/songs/324853,Christina Perri,Bang Bang Bang,https://genius.com/Christina-perri-bang-bang-bang-lyrics,http://api.genius.com/songs/324853,lovestrong.,2011-05-10," All my life, you know I haven't been very love strong There's been so many fights that I've fought and I've never won So I decided that I should just give up on trying to right your wrongs And word on the street is that she did to you what you did to me   5, 4, 3, 2, 1 Bang, bang, bang, boy You're going down, down, down, boy To the ground where you left my heart to bleed Bang, she shot you, karma tastes so... Bang, bang, bang, boy You're going down, down, down, boy To the ground where you left my heart to bleed Bang, she shot you, karma tastes so sweet   So unfortunately, for girls like me there are more like you Bending and breaking the rules and we're making exceptions too But how does it feel to swim in your own tears? You lied and you lied, and I died, and I died and now you know why   5, 4, 3, 2, 1 Bang, bang, bang, boy You're going down, down, down, boy To the ground where you left my heart to bleed Bang, she shot you, karma tastes so... Bang, bang, bang, boy You're going down, down, down, boy To the ground where you left my heart to bleed Bang, she shot you, karma tastes so sweet Bang, bang, bang, boy You're going down, down, down, boy To the ground where you left my heart to bleed Bang, she shot you, karma tastes so... Bang, bang, bang, boy You're going down, down, down, boy To the ground where you left my heart to bleed Bang, she shot you, karma tastes so...   Bang, bang, bang, boy You're going down To the ground Ooh",-0.9391,34,3,40,36,4,48,6,33,35,12
8,/songs/394031,Christina Perri,Be My Forever,https://genius.com/Christina-perri-be-my-forever-lyrics,http://api.genius.com/songs/394031,Head or Heart,2014-04-01,"[Verse 1: Christina Perri with Ed Sheeran] We're on top of the world We're on top of the world now darling, so don't let go Can I call you mine? So can I call you mine now, darling? For a whole life time My heart finally trusts my mind And I know somehow it's right   And oh, we got time Yeah So darling just say you'll stay right by my side And oh, we got love Yeah So darling just swear you'll stand right by my side  [Verse 2: Christina Perri & Ed Sheeran] We're on top of the world We're on top of the world Now darling so don't let go, mmm I've got something to say You're perfect in every way I'm gonna shout it out I'm gonna tell you now 'Cause I know somehow it's right   And oh, we got time Yeah So darling just say you'll stay right by my side And oh, we got love Yeah So darling just swear you'll stand right by my side   Be my forever Be my forever Be my forever Be my forever Be my forever Be my forever  [Verse 3: Christina Perri & Ed Sheeran] You're my bright blue sky You're the sun in my eyes Oh baby, you're my life You're the reason why We're on top of the world We're on top of the world now darling, so don't let go (One, two, three, four)   And oh, we got time Yeah So darling just say you'll stay right by my side And oh, we got love Yeah So darling just swear you'll stand right by my side   Be my forever Be my forever Be my forever Be my forever Be my forever Be my forever  [Outro: Christina Perri, Ed Sheeran, Both] Will you love me forever? I'll love you forever Be my forever Be my forever Be my forever Be my forever",0.998,1,13,1,0,19,0,33,1,3,26
9,/songs/1057823,Christina Perri,Black + Blue,https://genius.com/Christina-perri-black-blue-lyrics,http://api.genius.com/songs/1057823,lovestrong.,2011-05-10," I've been meaning to say this to you My heart isn't black and blue anymore And your words don't mean a thing They're sung, in vain Maybe I was wrong I only remember feeling so alone   This isn't where I meant to lay down But you dug this grave Fits me perfectly And if you're asking if I'm over love You're a fool to believe That you gave me some   It's been raining here like it never should And I can't help but believe it's because you're coming You tried once to run away, and you tried to hide But don't come following your fantasy 'Cause you might be surprised she'll run right back inside Maybe I was wrong I only remember feeling so alone   This isn't where I meant to lay down But you dug this grave Fits me perfectly And if you're asking if I'm over love You're a fool to believe, fool to believe, fool to believe   This isn't where I meant to lay down But you dug this grave Fits me perfectly And if you're asking if I'm over love You're a fool to believe That you gave me some   This isn't where I meant to lay down But you dug this grave Fits me perfectly And if you're asking if I'm over love You're a fool to believe, you're a fool to believe That you gave me some",-0.0566,2,3,9,7,6,16,9,8,3,5
