,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/13852,Ciara,"1, 2 Step",https://genius.com/Ciara-1-2-step-lyrics,http://api.genius.com/songs/13852,Goodies,2004-10-23," Ladies and Gentlemen (Ladies and Gentlemen) This is a Jazze Phizzle Productshizzle Missy! The princess is here, she's Ciara!  [Verse 1: Ciara & Missy Elliot] This beat is Automatic, supersonic, hypnotic, funky fresh (Ha!) Work my body, so melodic, this beat rolls right through my chest (Yup) Everbody, ma, and papi, came to party Grab somebody, work ya body, work ya body Let me see you 1, 2 step (Here we go!)   Rock it, don't stop it Everybody get on the floor Crank the party up We about to get it on Let me see you 1, 2 step I love it when you 1, 2 step Everybody 1, 2 step We about to get it on  [Verse 2: Ciara & Missy Elliot] This beat is Outrageous, so contagious, make you crave it Jazze made it (Ha!) So retarded, top charted, ever since the day I started Strut my stuff, and yes, I flaunt it Goodies make the boys jump on it No, I can't control myself Now let me do my 1, 2 step (Come on!)   Rock it, don't stop it Everybody get on the floor Crank the party up We about to get it on Let me see you 1, 2 step I love it when you 1, 2 step Everybody 1, 2 step We about to get it on   We gon' flip it like this, ooh, wee!   It don't matter to me, we can dance slow (Ladies and gentlemen) Whichever way the beat drops, our bodies will flow (I like this) So swing it over here Mr. DJ (Hey, hey) And we will, we will rock you It don't matter to me, we can dance slow Whichever way the beat drops, our bodies will flow So swing it over here Mr. DJ (Ladies and gentlemen) And we will, we will rock you   (Let's shake!) I shake it like Jello, make the boys say hello 'Cause they know I'm rockin the beat I know you heard about a lot of great MC's But they ain't got nothing on me Because I'm 5 foot 2, I wanna dance with you And I'm sophisticated fun I eat filet mignon, I'm nice and young Best believe I'm number one   Rock it, don't stop it Everybody get on the floor Crank the party up We about to get it on Let me see you 1, 2 step I love it when you 1, 2 step Everybody 1, 2 step We about to get it on Rock it, don't stop it Everybody get on the floor Crank the party up We about to get it on Let me see you 1, 2 step I love it when you 1, 2 step Everybody 1, 2 step We about to get it on   This is for the hearing impaired A Jazze Pha Production",1,5,3,2,10,11,32,0,2,15,0.9956
1,1,/songs/1454107,Ciara,Addicted,https://genius.com/Ciara-addicted-lyrics,http://api.genius.com/songs/1454107,Ciara: The Evolution,2006-12-05,"You know, I just can't help it A bad habit, I'm hooked He's got me, I can't break it  One hit, can't quit, last sip, thats it Quick fix, don't fall, withdraw Hell naw! Can't put down the bottle, tipsy got me throwed off Tryin' not to stumble Slurrin' words that mumble sayin  Baby, baby, baby Your poison's got me up and down Head spinnin 'round and 'round I'm goin crazy, crazy, take me and Boy you got that ghetto love, I just can't get enough  Thats why, I'm so addicted I'm feenin' for ya baby I really need it So hit me up, you got that stuff I like That's so so fine Hit me one more time I'm an addict, gotta have it baby  Go go, slow slow, more more, pour, pour Oh boy you got me wired Hyper but I'm tired Sweatin' hot like fire I can't get enough I'm so...  Baby, baby, baby Your poison's got me up and down Head spinnin 'round and 'round I'm goin crazy, crazy, take me and Boy you got that ghetto love, I just can't get enough  Thats why, I'm so addicted I'm feenin' for ya baby I really need it So hit me up, you got that stuff I like Thats so so fine Hit me one more time I'm an addict, gotta have it baby  Got my lights in my trunk Let it glow, feel the bass Let it bump, let it bump Down here in the A We can kick it wit' my girls We can kick it wit' the boys If you feel me make some noise Hit It One, two, three  Now you really got to get it Fired Up! Fired Up! Put ya hands up to the ceilin' Higher! Higher! If you wit me, let me see ya Lighters! Lighters! Cuz you really got me feenin' bad One more hit I need it bad  I'm so addicted I'm feenin' for ya baby I really need it So hit me up, you got that stuff I like Thats so so fine Hit me one more time I'm an addict, gotta have it baby  I'm so addicted I'm feenin' for ya baby I really need it So hit me up, you got that stuff I like Thats so so fine Hit me one more time I'm an addict, gotta have it baby  I'm so addicted Oh oh oh oh oh I really need it Oh oh oh oh oh I'm so addicted Oh oh oh oh oh I really need it I need it",24,5,12,13,17,38,22,14,1,3,0.9671
2,2,/songs/4172209,Ciara,Ahh!,https://genius.com/Ciara-ahh-lyrics,http://api.genius.com/songs/4172209,None,2016-12-19,"Time to break you off And let you know Boy you Ride me into you And that's for sure When you Put your hands on me It turns me on I'm not Bout to drop my secrets On the floor cause    Something bout the way You make me feel i Lose control For you I don't know what to do I can't explain the way You make me feel boy The things I wanna do I can't wait Until I get you In my room  Ahh, ahhh I'm jus tryna be Down wit you baby Ahh, ahh So many things  I wanna do Ahh ahh See i'm jus' trying To be real wit you Ahh, ahh I jus' wanna Rock wit you  Now it's getting Awfully hot in here And your Rubbin' down my back Whose that Tell me Do you hear what I hear Sounds like someones Trying To get up in here   Something bout the way You make me feel i Lose control For you I don't know what to do I can't explain the way You make me feel boy The things I wanna do I can't wait Until i get you In my room  Ahh, ahhh I'm jus tryna be Down wit you baby Ahh, ahh So many things  I wanna do Ahh, ahh See i'm jus trying To be real wit you Ahh, ahh I jus' wanna Rock wit you  You gotta go Cause if they Catch together Baby you know That were doing wrong Here they come You better run",6,3,5,2,3,11,17,2,4,7,0.0036
3,3,/songs/1780043,Ciara,All Good,https://genius.com/Ciara-all-good-lyrics,http://api.genius.com/songs/1780043,Jackie (Deluxe Edition),2015-05-01," Ay, this got feel good right here All good   Tell me what you wanna do, tonight Thinking about you riding down to 85 Baby we can do whatever you like It's all good It's all good I've been thinking bout you It's all good Tell me what you wanna do It's all good Shawty I can fall through It's all good in my hood, yeah   Touch down Atlanta Roll in a Phantom Headed to Decatur The East-side where it’s greater I'm going up, elevator But I ain't on an elevator I don't worry about the haters I keep my eyes on the paper babay Rolling through these streets Just a ATL peach Yeah you know I'm sweet Sweet enough to eat In my 678, all my 404 All my 770 Anywhere it goes baby   Southernplayalistic through speakers in my trunk Roll the windows down and just enjoy the ride Even when I'm out of town they know just where I'm from ATLANTA, GA that's right No lie   Tell me what you wanna do, tonight Thinking about you riding down to 85 Baby we can do whatever you like It's all good It's all good I've been thinking bout you It's all good Tell me what you wanna do It's all good Shawty I can fall through It's all good in my hood, yeah   I might throw some skates on Get my straight on Out here getting to it Cause you know I can't stay home I got this thing turned up Everybody's hands going up I might just live in the moment Cause I can't get enough We all wanna have fun sometimes So let's do it one time for the one time You know I be going in Tomorrow we do it again Can't wear high heels on this song Might see me out here with some kicks on Even if I get a little crazy You know I still remain calm   Southernplayalistic through speakers in my trunk Roll the windows down and just enjoy the ride Even when I'm out of town they know just where I'm from ATLANTA, GA that's right No lie   Tell me what you wanna do, tonight Thinking about you riding down to 85 Baby we can do whatever you like It's all good It's all good I've been thinking bout you It's all good Tell me what you wanna do It's all good Shawty I can fall through It's all good in my hood, yeah",10,26,5,6,26,17,31,7,19,23,0.9979
4,4,/songs/308572,Ciara,And I,https://genius.com/Ciara-and-i-lyrics,http://api.genius.com/songs/308572,Goodies,2005-08-30," I don't need me a basketball player All I need is somebody that's down for me And he don't have to have money His love is just like honey, it's so sweet to me He can have everything in this world, but he'll sacrifice it all for me And I made up my mind, I'm in love this time And it feels so real   And I Know that he won't break my heart And I Know that we won't ever part It's time, time for us to settle down And I Wanna be with him forever   They can say that I am crazy For making him my baby, but that's how it's gone be See, I done been through many changes But this one I ain't changing, it's gon' stay the same I can have everything in this world, but I'll sacrifice it all for him And I made up my mind, I'm in love this time And it feels so real   And I Know that he won't break my heart (Break my heart, no) And I Know that we won't ever part (We won't ever part) It's time, time for us to settle down And I (And I) Wanna be with him forever (Wanna be with him)   I love you And all of the things that you do Oh baby, please I need you (I need you) So believe me (I do) I do (Ooh) 'Cause I love you (I love you) And every little thing, baby (You do) No, no, whoa, oh They don't know how I feel 'Cause I know this is real   And I Know that he won't break my heart (No, he won't break my heart) And I Know that we won't ever part (We won't ever part) It's time, time for us to settle down (Time to settle down) And I (And I) Wanna be with him forever (Wanna be with him) And I Know that he won't break my heart (No, he won't break my heart) And I Know that we won't ever part (He won't ever part) It's time, time for us to settle down And I",2,14,0,2,12,2,19,1,9,8,0.9873
5,5,/songs/354299,Ciara,Anytime,https://genius.com/Ciara-anytime-lyrics,http://api.genius.com/songs/354299,One Woman Army [Shelved],2014-02-04," (I'll be there anytime) Baby, I'll go to war   Baby I Baby I'll go to war for you, in this life Baby I'll get the scars to prove (I'll be there anytime)   Anytime that you need Anytime that you call Anytime that you fall I'll be there anytime Anytime that you hurt Anytime you're in pain Baby call my name I'll be there anytime   Damn, running with romance And now my heart is beating so fast And I've been dreaming 'bout this feeling for so long Man, ever since you came in my life My stars aligned, you spent the time It feels so right, I know this can't be wrong I cry happy, happy tears every night (damn) I'mma spend the rest of my life Just lovin' on you, kissing' on you, being on you Holding on you, touching on you, leaning on you   Baby I Baby I'll go to war for you (in this life) Baby I'll get the scars to prove (I'll be there anytime)   Anytime that you need Anytime that you call Anytime that you fall I'll be there anytime Anytime that you hurt Anytime you're in pain Baby call my name I'll be there anytime  [Verse 2: Future & (Ciara)] I'm your soldier, I'm your soldier I'll go to war because I love ya (You're my soldier, you're my soldier I'll wait for you, cause I love ya) I'm your soldier, I'm your soldier I'll go to war because I love ya Hit me, I come in no time I get right on the front line We the new Bonnie and Clyde Yeah   Baby I Baby I'll go to war for you (in this life) Baby I'll get the scars to prove I'll be there anytime   Anytime that you need Anytime that you call Anytime that you fall I'll be there anytime Anytime that you hurt Anytime you're in pain Baby call my name I'll be there anytime   You're my baby And I adore you I love my baby You know I'll always be here for you You're my baby And I adore you I love my baby You know I'll always be here for you   Baby I Baby I'll go to war for you (in this life) Baby I'll get the scars to prove I'll be there anytime  [Hook/Outro: Future] Anytime that you need Anytime that you call Anytime that you fall I'll be there anytime Anytime that you hurt Anytime you're in pain Baby call my name I'll be there anytime",20,11,7,22,33,33,44,26,2,8,-0.9015
6,6,/songs/184531,Ciara,Backseat Love,https://genius.com/Ciara-backseat-love-lyrics,http://api.genius.com/songs/184531,One Woman Army [Shelved],2013-07-05," You gotta reverse that motion when you're with me to ride this ride Don't hesitate goin' the speed tonight No time to waste We can get away So baby come with me And I'll fulfill your fantasy   You can get anywhere that you wanna Tonight it's all on me Waiting for that bom bom bom bom boy Come lay it down on me Now we're together We gonna be bumpin' up in them streets I feel the pressure I got that overdrive you need   You got me right there where where you want me Your hands on on my body This feels so right Let's park it right here, babe That's how I like it Backseat windows up that's the way that I like to (uh) Backseat windows up that's the way that I like to (uh) Backseat windows up that's the way that I like to (uh) That's the way that I like to (uh) That's the way that I like to (uh)   I'm putting in that special order for you for tonight You want that on the side We both grown, so turnt on Put all your love in me Baby, put all your love in me   You can get anywhere that you want now Tonight it's all on me Waiting for that bom bom bom bom boy Come lay it down on me Now we're together We gonna be bumpin' up in them streets I feel the pressure I got that overdrive you need   You got me right there where where you want me Your hands on on my body This feels so right Let's park it right here, babe That's how I like it Backseat windows up that's the way that I like to (uh) Backseat windows up that's the way that I like to (uh) Backseat windows up that's the way that I like to (uh) That's the way that I like to (uh) That's the way that I like to (uh)   I think somebody's watchin', but I don't care It's just me and you Let's keep going (keep goin', keep goin') The windows fogged up, the car is rockin My feet on the dash, we ain't stopping Right there, don't stop   You got me right here where you want me Your hands all on my body This feels so right Lets park it right here that's how I like it Backseat windows up Backseat, backseat love Backseat windows up",0,2,3,0,7,5,10,0,0,3,0.9806
7,7,/songs/351239,Ciara,Bang It Up,https://genius.com/Ciara-bang-it-up-lyrics,http://api.genius.com/songs/351239,Ciara: The Evolution,2006-12-05," C.I.A.R.A. (I.A.R.) C.I.A.R.A. (I.A.R.) C.I.A.R.A. (I.A.R.) C.I.A.R.A. (I.A.R.)   I feel it, it’s in me tonight I see this tonight, I’m pulling up I see him, he’s walking out He gives me the eye, and he’s a thug What’s the deal, I’m 21 I'm legal hey, now I'm free to run That’s the one I meet this morning Pulling me to the floor wanna get to know me   I’m ready to have fun-lets bang the thing up But you gotta be prepared to get your weight up See I’m at the train since I came up In the ATL is where it came from   Bang it up boy gonna bang it up I’m full grown you can go tear it up (bang it up) Bang it up boy gonna bang it up Last one I had on the floor couldn’t do enough (bang it up) Bang it up boy gonna bang it up (bang it up) Bang it up boy gonna bang it up (bang it up) Don’t talk about it boy be about it If you got it we can see about it shorty what’s up   Wait a minute, no he didn’t You’ll the DJ tried to slow it up Oh my bad, he didn’t All he did was (erra) switched it up See that, now you see that Cause this burn up will start acting up You’ll might let me start showing my signs Ain’t nobody here seen my fun     I see you out on the floor Acting like u want more Never seen me before and i like it You know it don't ya' You said you wanna move Whats taking me so long Since you been patient boy You've got the right to...    [Bridge Been on the floor Ci at the door We know you want it Ci getting on it   Bang it up, bang it up, bang it up (3x) Bang it up, bang it up, bang, bang, bang Bang, bang, bang, bang-bang, bang, bang, bang, bang (2x)",32,11,39,33,4,40,11,32,32,6,0.8689
8,8,/songs/51161,Ciara,Basic Instinct (U Got Me),https://genius.com/Ciara-basic-instinct-u-got-me-lyrics,http://api.genius.com/songs/51161,Basic Instinct,2010-12-10,"U Got Me U Got Me...  See I was out buyin chanel bags, while I was doin dat u turned up ur swag (U got Me) Yup caught me slippin well get ur hustle on shawty I ain't trippin (U Got Me). I been in da game since 03' u can try but u still can't do it like me (U Got Me). I hate it when they talk about me, but I love it when they talk about me (U Got Me). I got a lil too prissy I didn't expect y'all bitches tryna get me (U Got Me). But I'mma need that u can go and write ur blogs I don't need ur feedback (U Got Me). See I was on da red carpet when I shoulda been in da studio layin down hot shit (U Got Me). Madder than a motherfucker, I can't lie a bitch madder than a motherfucker (U Got Me) I'm badder than a motherfucker been up all night like a UPS trucker (U Got Me). I'm back up on my job, I'm back up in da trap, shawty give me dap(U Got Me). Back in my falsetto, got me takin off these five-inch stilettos (U Got Me). Back up out my phantom, I'm back up in da jeep, back up in these streets (U Got Me). I'm all fired up, and tell ur informant I'm all wired up (U Got Me). Please no pictures, (U Got Me). Up off of my twitter, (U Got Me). I'm back up on my ish, and when I see da stage I'mma black bag dat bitch (Next song). I'mma black bag dat bitch, and when I see da stage I'mma black bag dat bitch, (Next song). I'mma black bag dat bitch and when I see da stage I'mma black bag dat bitch. Ohhhh (ohhh ahhh ahhh ahhh) I'mma black bag dat bitch (no ohhhhh) I'mma black bag dat bitch oh yeah and u can tell dat I'mma black dat bitch.  I shoulda listened to myself, before I let u in. I shoulda warned myself, tell me again and again. I shoulda cautioned myself, before I fell in love wit u. But I just pushed myself... That's what lovers do ohh ohh. Pickin up the pieces of my heart, I'm tired of lovin u in da dark. I wish I coulda seen... What u had planned for me... Fancy clothes, and fancy cars will go that far but turn into misery... When u don't go wit ur Basic Instinct (Ohh) Wit ur Basic Instinct (Ohh) Wit ur Basic Instinct (Ohh Ohh) Yeah oh yeah (13x)",15,5,14,14,5,25,15,23,2,4,0.9672
9,9,/songs/4431274,Ciara,Beauty Marks,https://genius.com/Ciara-beauty-marks-lyrics,http://api.genius.com/songs/4431274,Beauty Marks,2019-05-10," Oh, what a feeling To wake up everyday knowing I am loved by you I can't believe it What did I do to deserve someone to hold me like you do?   If nobody's perfect Then all that I want is to be imperfect with you   'Cause you take me as I am And I take you as you are With your heart in weathered hands And the bruises on my heart That make me who I am That make you who you are Baby, when you take my hand You show me that my scars are beauty marks   Oh, beauty marks Beauty marks   I look in the mirror, and I see all my flaws But you see light in all I do Now I'm realizing that the uglyness I saw There are pretty things to you   And I don't have to cover anything, I share it all I don't have to hide from the truth   'Cause you take me as I am And I take you as you are With your heart in weathered hands And the bruises on my heart That make me who I am That make you who you are Baby, when you take my hand You show me that my scars are beauty marks   Oh, beauty marks Beauty marks   Now I know why you love me So real, it feels like a dream No looking back to the past It was all part of the plan I feel the love in your haze Boy, when you touch me like that The way you love every part You show me my scars are beauty marks, beauty marks Oh, they're beauty marks, beauty marks   'Cause you take me as I am And I take you as you are With your heart in weathered hands And the bruises on my heart That make me who I am That make you who you are Baby, when you take my hand You show me that my scars are beauty marks",6,9,6,7,21,11,27,6,1,14,0.9987
