,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/448310,Colbie Caillat,All of You,https://genius.com/Colbie-caillat-all-of-you-lyrics,http://api.genius.com/songs/448310,All of You,2011-03-07," I know that I was wrong When I read your letters But I just had to know If you still miss her 'Cause you feel far away When I kiss you And every word you say Sounds so confused I don't wanna hold you If you don't wanna stay   So tell me everything, tell me every little thing And I won't run away, no matter what you say I wanna hear your heart, every single beating part The good and the bad, I swear I won't be mad It's you I want All of you, you, you   No matter what I'm feeling I won't hide it And know that you can tell me Every secret 'Cause I'm no good at guessing I just need to know   So tell me everything, tell me every little thing And I won't run away, no matter what you say I wanna hear your heart, every single beating part The good and the bad, I swear I won't be mad It's you I want All of you   All of you (You) All of you All of you   So tell me everything, tell me every little thing And I won't run away, no matter what you say I wanna hear your heart, every single beating part The good and the bad, I swear I won't be mad It's you I want All of you   Just all of It's you I want Just all of you You, you, you You, you, you You, you, you You, you, you",0.5851,10,7,7,11,6,11,12,10,6,12
1,1,/songs/448327,Colbie Caillat,Auld Lang Syne,https://genius.com/Colbie-caillat-auld-lang-syne-lyrics,http://api.genius.com/songs/448327,Christmas In the Sand,2012-10-23," Should old acquaintance be forgot And never brought to mind? Should old acquaintance be forgot Auld lang syne   For auld lang syne My dear, for auld lang syne We'll take a cup of kindness yet For auld lang syne   Should old acquaintance be forgot And never brought to mind? Should old acquaintance be forgot Auld lang syne   For auld lang syne My dear, for auld lang syne We'll take a cup of kindness yet For auld lang syne   Da da da da...   Should old acquaintance be forgot And never brought to mind? Should old acquaintance be forgot Auld lang syne   Marry Christmas and Happy New Year",0.9376,0,2,0,1,2,0,6,0,1,2
2,2,/songs/448301,Colbie Caillat,"Baby, It's Cold Outside",https://genius.com/Colbie-caillat-baby-its-cold-outside-lyrics,http://api.genius.com/songs/448301,Christmas In the Sand,2012-10-23," Hey, where you goin? I gotta go But you haven't even finished this drink  [Verse 1: Colbie Caillat & Gavin DeGraw] I really can't stay, but baby it's cold outside I've got to go away, but baby it's cold outside This evening has been, been hoping that you'd drop in So very nice, I'll hold your hands, they're just like ice My mother will start to worry, beautiful, what's your hurry? My father will be pacing the floor Listen to the fireplace roar So really I'd better scurry, beautiful, please don't hurry Well, maybe just a half a drink more Put some records on while I pour The neighbours might think, baby, it's bad out there Say, what's in this drink? No cabs to be had out there I wish I knew how, your eyes are like starlight To break the spell, I'll take your hat, your hair looks swell I ought to say no, no, no, sir, mind if I move in closer? At least I'm gonna say that I tried What's the sense in hurting my pride? I really can't stay, baby don't hold out  [Chorus: Colbie Caillat & Gavin DeGraw, Both] Oh, but it's cold outside Oh, oh, oh Come on, give me a chance  [Verse 2: Colbie Caillat & Gavin DeGraw] I simply must go, but, baby, it's cold outside The answer is no, oh, darling, it's cold outside This welcome has been, I'm lucky that you dropped in So nice and warm, look out the window at that storm Oh, oh, oh My sister will be suspicious, man, your lips look delicious My brother will be there at the door, waves upon a tropical shore My maiden aunt's mind is vicious Gosh, your lips are delicious Maybe I'll just have a drink more Never such a blizzard before I've got to go home, baby, you'll freeze out there Say, will you lend me your coat It's up to your knees out there You've really been grand I'm thrilled when you touch my hand But don't you see, how can you do this thing to me? There's bound to be talk tomorrow, think of my life long sorrow At least there will be plenty implied If you caught pneumonia and died I really can't stay, get over that hold out   Ohhh, but it's cold outside   You better get back over here Man, you don't give up do you? I gotta go home Hey, you know what? Why don't you just go home then? Fine Fine, im leaving Good  [Bridge 2: Colbie Caillat & Gavin DeGraw] I ought to say no, no, no, sir, mind if I move in closer? At least I'm gonna say that I tried What's the sense in hurting my pride? I really can't stay, baby don't hold out  [Outro: Colbie Caillat & Gavin DeGraw, Both] Oh, but it's cold outside Oh, but it's cold outside I gotta go home Give me one more hour I don't trust you It's for your own good, Colbie I am having a really good time",0.9951,6,12,2,6,19,19,38,6,6,19
3,3,/songs/448436,Colbie Caillat,Battle,https://genius.com/Colbie-caillat-battle-lyrics,http://api.genius.com/songs/448436,Coco ,2007-07-17," You thought we'd be fine All these years gone by Now your asking me to listen Well then, tell me 'bout everything No lies, we're losing time   'Cause this is a battle and it's your final last call It was a trial, you made a mistake, we know But why aren't you sorry, why aren't you sorry, why? This can be better, you used to be happy, try Oooh, oooh, oooh, oooh   You've got them on your side And they won't change their minds Now it's over and I'm feeling like we've missed out on everything I just hope it's worth the fight   Cause this is a battle and it's your final last call (Why'd you have to let it go?) It was a trial, you made a mistake, we know (Can't you see you've hurt me so?) But why aren't you sorry, why aren't you sorry, why? Things could be better, you can be happy, try Oooh, oooh, oooh, oooh Oooh, oooh, oooh, oooh 'Cause this is a battle and it's your final last call It was a trial, you made a mistake, we know (Can't you see you've hurt me so?) But why aren't you sorry, why aren't you sorry, why? Things could be better, you could be happy, try   Oooh, oooh This is a battle, this is a battle Oooh, oooh And it's your final last call Oooh, oooh This is a battle, this is a battle Oooh, oooh And it's your final last call This is a battle and it's your final last call",-0.8523,15,7,2,5,5,18,6,8,2,5
4,4,/songs/448249,Colbie Caillat,Before I Let You Go,https://genius.com/Colbie-caillat-before-i-let-you-go-lyrics,http://api.genius.com/songs/448249,All of You,2011-03-07," Boy, I see you looking over You keep on looking back at what you knew When will you come closer? Closer to the one that's good for you 'Cause you're still going back to that life And I refuse to stand on the side By sparing her from heartache Don’t you know you end up hurting me?   I see your head spinning right around She makes you fall hard and hit the ground When you ever gonna let her go? I see the way that she breaks you so All I’m asking is for you, please To take control and be set free Make the space so we can grow Save us before I let you go   So you say this will get better Better for you, her, or me? Well, I don’t know what to tell ya It’s not my fault that I don’t believe 'Cause you're still so stuck in that life And I refuse to stay on this ride 'Cause we’re going 'round in circles Aren’t you tired of never having peace?   I see your head spinning right around She makes you fall hard and hit the ground When you ever gonna let her go? I see the way that she breaks you so All I’m asking is for you, please To take control and be set free Make the space so we can grow Save us before I let you go   I have been waiting For you to change this But it has taken too long So I can’t keep waiting I’ve got to change this It's hard for me to have to be so strong   I see your head spinning right around She makes you fall hard and hit the ground When you ever gonna let her go? I see the way that she breaks you so All I’m asking is for you, please To take control and be set free Make the space so we can grow Save us before I let you go I see your head spinning right around She makes you fall hard and hit the ground When you ever going to let her go I see the way that she breaks you so All I’m asking is for you, please To take control and be set free Make the space so we can grow Save us before I let you go   Oh, baby I, baby I, baby I, baby I Don’t wanna let you go I don’t wanna let you go Save us before I let you go Oh, baby I, baby I, baby I, baby I Don’t wanna let you go I don’t wanna let you go Oh no, oh no No, I don’t ever wanna let you go",0.9872,5,7,1,3,19,15,27,7,5,23
5,5,/songs/448124,Colbie Caillat,Begin Again,https://genius.com/Colbie-caillat-begin-again-lyrics,http://api.genius.com/songs/448124,Breakthrough,2010-02-16," I can't get you out of the sunlight I can't get you out of the rain I can't get you back to that one time 'Cause you and me are still recovering   So let's just try to cool it down The fighting, this feeding of flames So let's just try to slow it down We crash when we race   Oh, this is not the way that it should end It's the way it should begin It's the way it should begin, again No, I never wanna fall apart Never wanna break your heart Never wanna let you break my own Yes, I know we've said a lot of things That we probably didn't mean But it's not too late to take them back So, before you say you're gonna go I should probably let you know That I never knew what I had I never knew what I had   See, I look for you in the morning 'Cause that's what my mind always calls And I can't wait to get to the evening 'Cause that's when I want you the most   So let's just try to cool it down The fighting, this feeding of flames So let's just try to slow it down We crash when we race   Oh, this is not the way that it should end It's the way it should begin It's the way it should begin, again No, I never wanna fall apart Never wanna break your heart Never wanna let you break my own Yes, I know we've said a lot of things That we probably didn't mean But it's not too late to take them back So, before you say you're gonna go I should probably let you know That I never knew what I had I never knew what I had   But I know it now I wish I would've known before How good we were Is it too late to come back? Or is it really over? If it's really over   Oh, this is not the way that it should end It's the way it should begin It's the way it should begin, again No, I never wanna fall apart Never wanna break your heart Never wanna let you break my own Yes, I know we've said a lot of things That we probably didn't mean But it's not too late to take them back So, before you say you're gonna go I should probably let you know That I never knew what I had I never knew what I had I never knew what I had I never knew what I had I never knew what I had   (I never knew what I had) I never knew, but I'm telling you (I never knew what I had) I never knew (I never knew) (I never knew what I had) (I never knew what I had)",0.7319,2,3,0,2,1,12,3,9,9,1
6,6,/songs/699876,Colbie Caillat,Bigger Love,https://genius.com/Colbie-caillat-bigger-love-lyrics,http://api.genius.com/songs/699876,Gypsy Heart,2014-09-30," Oh, would you try if you knew That you couldn't fail? Oh, would you dream if you knew That your dreams had sails? There's a gulf you can never give us There's a lot of fuel in you and below Would you give it all you got If you knew you would be loved?   When the gates fall and your guard's going down When your heart calls and you let it all out Whoa whoa, you know you found bigger love When it's magic, what you touch turns to gold And you're screaming for the whole world to know Whoa whoa, you know you found bigger love, bigger love Bigger love, bigger love...   Every mistake that you made Turns into something better Every fear that you face Will just make you stronger Close your eyes and thinking at all Though you might of second guessed just know Just give it all you got If you got something you love   When the gates fall and your guard's going down When your heart calls and you let it all out Whoa whoa, you know you found bigger love When it's magic, what you touch turns to gold And you're screaming for the whole world to know Whoa whoa, you know you found bigger love, bigger love Bigger love, bigger love... When the gates fall and your guard's going down When your heart calls and you let it all out Whoa whoa, you know you found bigger love When it's magic, what you touch turns to gold And you're screaming for the whole world to know Whoa whoa, you know you found bigger love, bigger love Bigger love, bigger love...",0.9963,4,0,3,7,22,8,28,4,0,12
7,7,/songs/699861,Colbie Caillat,Blaze,https://genius.com/Colbie-caillat-blaze-lyrics,http://api.genius.com/songs/699861,Gypsy Heart,2014-09-30," We're boarding the night train We're bored of sunlight We want moon rays and nitrate We want silver and fire 'Cause every day that we spend overthinking Makes me wanna spend the night over drinking If insane's the new sane Then you're lost and go wild   If the cops are all coming We stay and not running We'll be raging like crazy Fly with me, baby Like we've only got tonight It's gonna be the best night of our lives If we're gonna go down in flames Let's go out in a blaze Ooh, go out in a blaze Ooh, go out in a blaze   We're dancing on tables We're kicking off shoes We're sick of the same ol' So we're singing like fools Cut the Camus and the Jameson in the blue dream Flipping cups, drifting up to the ceiling Yeah, we're breaking those tables And we're bending those rules   If the cops are all coming We stay and not running We'll be raging like crazy Fly with me, baby Like we've only got tonight It's gonna be the best night of our lives If we're gonna go down in flames Let's go out in a blaze Ooh, go out in a blaze Ooh, go out in a blaze   Every night, every day We'll light the sky Up in a blaze Shine like the stars Burn like a flame No, we're never going out Every night, every day We'll light the sky Up in a blaze Shine like the stars Burn like a flame No, we're never going out   If the cops are all coming We stay and not running We'll be raging like crazy Fly with me, baby Like we've only got tonight It's gonna be the best night of our lives If we're gonna go down in flames Let's go out in a blaze Ooh, go out in a blaze Ooh, go out in a blaze Ooh, go out in a blaze Ooh, go out in a blaze",0.8271,21,5,5,12,5,25,9,6,1,6
8,8,/songs/448460,Colbie Caillat,Brand New Me,https://genius.com/Colbie-caillat-brand-new-me-lyrics,http://api.genius.com/songs/448460,Coco: Summer Sessions,2007-07-17," This is my same old card And my same old shoes I was the same old me With the same old blues Then you touched my life Just by holding my hand Now I look in the mirror And see a brand new girl I got a brand new walk A brand new smile Since I met you, baby I got a brand new style   Just because of you, boy Just because of you Just because of you, boy Just because of you   I got the same old friends They got the same old sins I tell the same old jokes Give the same old grins But now the jokes sound new And the laughter does too Everyday of my life As fresh as morning dew   Just because of you, boy Just because of you Just because of you, boy Just because of you   I go to the same old places See the same old faces Look at the same old skies See them all brand new Ooh, ooh   Just because of you, boy Just because of you Just because of you, boy Just because of you Just because of you, boy Just because of you Just because of you   Now I'm feeling like a brand new girl Now I'm feeling like a brand new girl Just because of you Got me feeling like a brand new girl Just because of you Now I'm feeling like a brand new girl Just because of you, boy Just because of you Like a brand new girl",0.9865,5,6,13,5,9,16,10,6,7,7
9,9,/songs/699871,Colbie Caillat,Break Free,https://genius.com/Colbie-caillat-break-free-lyrics,http://api.genius.com/songs/699871,Gypsy Heart,2014-09-30," I tried to keep you in my pocket Couldn't stop you, couldn't stop it You were running from the very start I was driving with my hair down With the breaks on, the lights out We were drifting, didn't know how far I see the way you look at me It's not the same as it used to be You can say what you want, but You can say what you want, but you won't stay Say goodbye, it's so messed up, I'm torn inside You can say what you want, but I   I just gotta break free, free I cry black tears and scream, but you never hear me, me I can't go on, playing along Let me go, let me go, let me Let me go, let me go The longer you take the harder I break So let me break free   I remember how it started Like a windstorm, couldn't fight it We were strangers from the very start I tried to keep you in my pocket Couldn't stop you, couldn't stop it You were running, didn't know how far I wish you'd just walk away This is all that I can take You can say what you want, but I   I just gotta break free, free I cry black tears and scream, but you never hear me, me I can't go on, playing along Let me go, let me go, let me Let me go, let me go The longer you take the harder I break So let me break free   I can't go on, playing along Let me go, let me go, let me I can't go on, playing along Let me go, let me go, let me 'Cause I know that I can't wait for you (Let me go, let me go, let me, baby)   I just gotta break free, free I cry black tears and scream, but you never hear me, me I can't go on, playing along Let me go, let me go, let me Let me go, let me go The longer you take the harder I break I just gotta break free Cry black tears and scream, but you never hear me, me I can't go on, playing along Let me go, let me go, let me Let me go, let me go The longer you take the harder I break So let me break free",0.8985,5,3,4,6,1,16,1,8,16,0
