,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/417569,Coldplay,1.36,https://genius.com/Coldplay-136-lyrics,http://api.genius.com/songs/417569,The Singles 1999-2006,2002-11-04, Stuck in a corner Like monkeys in cages That don't have a number And fight one another Try to recover   Climb up a ladder Look up and you see birds Blind as each other How long can we suffer? We're as blind as each other   On the cloud that you're sitting There's one born every minute So much to discover I've become a believer   Sisters and brothers Who fight one another Will mourn and deceive us Will find us and keep us Take us or leave us   How soon is now? Only how long is never? I'm nothing but normal We're something together Come on and stick together   On the cloud that you're sitting There's one born every minute So much to discover I've become a believer   Yeah! Yeah! Yeah! Yeah!,0.5643,3,2,1,2,0,9,2,4,1,4
1,1,/songs/874985,Coldplay,2000 Miles,https://genius.com/Coldplay-2000-miles-lyrics,http://api.genius.com/songs/874985,Sweet Tracks 2003,2003-12-02,"She's gone 2000 miles, it's very far The snow came down Gets colder day by day, I miss her  I hear children singin' It felt like Christmas time  In these frozen and silent nights Sometimes in a dream you appear Outside under the purple sky Diamonds in the snow sparkle  And our hearts were singin' It felt like Christmas time  2000 miles is very far through the snow I think of you wherever you go 2000 miles is very far through the snow I think of you wherever you go  She's gone 2000 miles, it's very far The snow came falling now Gets colder day by day, I miss you  I hear people singin' It felt like Christmas time  I hear people singin' It felt like Christmas time  I hear people singin' It felt like Christmas time  I hear people singin' It felt like Christmas time",0.9325,0,8,0,0,3,1,4,1,1,0
2,2,/songs/123289,Coldplay,42,https://genius.com/Coldplay-42-lyrics,http://api.genius.com/songs/123289,Viva la Vida or Death and All His Friends,2008-06-12," Those who are dead are not dead They're just living in my head And since I fell for that spell I am living there as well, oh   Time is so short And I'm sure There must be something more   Those who are dead are not dead They're just living in my head And since I fell for that spell I am living there as well, oh   Time is so short And I'm sure There must be something more   You thought you might be a ghost You thought you might be a ghost You didn't get to heaven, but you made it close You didn't get to heaven, but you made it close You thought you might be a ghost You thought you might be a ghost You didn’t get to heaven, but you made it close You didn’t get to heaven, but you oh-oh-ooh, oh-oh-ooh Oh, oh   Those who are dead are not dead They're just living in my head",-0.9904,0,6,0,4,0,2,0,2,0,0
3,3,/songs/2349494,Coldplay,Adventure of a Lifetime,https://genius.com/Coldplay-adventure-of-a-lifetime-lyrics,http://api.genius.com/songs/2349494,A Head Full of Dreams,2015-11-06,"     Turn your magic on Umi she'd say Everything you want's a dream away And we are legends, every day That's what she told me   Turn your magic on, to me she'd say Everything you want's a dream away Under this pressure, under this weight We are diamonds   Now I feel my heart beating I feel my heart underneath my skin And I feel my heart beating Oh, you make me feel Like I'm alive again Alive again Oh, you make me feel Like I'm alive again   Said I can't go on, not in this way I'm a dream that died by light of day Gonna hold up half the sky and say Only I own me   Now I feel my heart beating I feel my heart underneath my skin Oh, I can feel my heart beating Cause you make me feel Like I'm alive again Alive again Oh, you make me feel Like I'm alive again   Turn your magic on, Umi she'd say Everything you want's a dream away Under this pressure, under this weight We are diamonds taking shape We are diamonds taking shape (Woo, woo)   If we've only got this life This adventure, oh then I And if we've only got this life You'll get me through And if we've only got this life In this adventure, oh then I Want to share it with you With you, with you Yeah I do   (Woo hoo, woo hoo) (Woo hoo, woo hoo) (Woo hoo, woo hoo) (Woo hoo, woo hoo) (Woo hoo, woo hoo) (Woo hoo, woo hoo)",0.9878,4,11,2,6,12,8,17,6,2,9
4,4,/songs/2860823,Coldplay,A Ghost,https://genius.com/Coldplay-a-ghost-lyrics,http://api.genius.com/songs/2860823,Unreleased,2017-10-09,They're calling you Some kind of ghost But I know that's not true  Cause time and time again I spoke And I have spoke with you  They're saying I Am some kind of ghost But that's so hard to say  Maybe I'll go Maybe you're safe No there's no way to say  And I would love you To come over And I would love you to,0.5214,0,2,0,2,6,2,6,0,0,4
5,5,/songs/2357065,Coldplay,A Head Full of Dreams,https://genius.com/Coldplay-a-head-full-of-dreams-lyrics,http://api.genius.com/songs/2357065,A Head Full of Dreams,2016-08-19," Oh, I think I landed In a world I hadn't seen When I'm feeling ordinary When I don't know what I mean   Oh, I think I landed Where there are miracles at work For the thirst and for the hunger Come the conference of birds   Saying it's true, it's not what it seems Leave your broken windows open And in the light just streams And you get a head, a head full of dreams You can see the change you wanted Be what you want to be And you get a head, a head full of dreams Into life, I’ve just been spoken With a head full, a head full of dreams   Oh, I think I landed Where there are miracles at work When you got me open-handed When you got me lost for words I sing oh-oh-oh   A head full of dreams A head full of dreams Into life I’ve just been woken With a head full, a head full of dreams",0.9042,2,5,1,3,5,4,18,6,5,7
6,6,/songs/3007855,Coldplay,A L I E N S,https://genius.com/Coldplay-a-l-i-e-n-s-lyrics,http://api.genius.com/songs/3007855,Kaleidoscope EP,2017-07-07," We were just about to lose our home Diamonds ate the radio Moving in the dead of night We took photographs just some just so History has some to know We were moving at the speed of flight   Kids cry If you want to That's alright If you want to Hold me Hold me tight   Just an alien   We were hovering without a home Millions are UFO Hovering in hope some scope tonight Sees the light and says   Fly if you want to That's alright But if you want to Call me Call this line   Just an alien Just an alien Oh, we just want to get home again   Tell your leader Sir or ma'am We come in peace We mean no harm Somewhere out there In the unknown All the E.T.'s are phoning home Watching my life On the skyline Crossing your eyes For a lifetime   Just an alien Moving target Target movement A patch, a corner Of the spacetime Just an alien Turning toward it Turning pages Over Asia Crossing ages Just an alien Oh, we just want to get home again",-0.3818,1,3,7,9,3,11,6,2,2,4
7,7,/songs/3007852,Coldplay,All I Can Think About Is You,https://genius.com/Coldplay-all-i-can-think-about-is-you-lyrics,http://api.genius.com/songs/3007852,Kaleidoscope EP,2017-06-15," One, two, three   Fish fell out of water Bird stuck on the ground Chaos giving orders Everything is upside down The whole world on a flight path I wonder where they'll go, ah Trouble's on the outside, I know   But now, all I can think about is you All I can think about is you If all that I'm on earth to do Is solo, then what a lone poor shoe I want to walk in a two   Go It's all I can It's all I can It's all I can It's all I can do It's all I can do   Everything is falling all around you It's all I can do All I can think about is you It's all I can All I can think about is you Love is the only thing left that's true",0.2732,1,0,0,1,2,3,3,4,0,2
8,8,/songs/432021,Coldplay,All Your Friends,https://genius.com/Coldplay-all-your-friends-lyrics,http://api.genius.com/songs/432021,A Sky Full Of Stars EP,2014-05-02,"On and on You're told which side you're on You're forced you're thrown To become the scythe to cut the corn And all your friends they Ride into the sunset Fly into the sunset And away they go All your friends they Ride into the sunset Fly into the sunset And away they're thrown Into the fire  Ten below Call comes in on the radio Over you go And red now, all the rivers flow The poppies grow  All your friends they Ride into the sunset Fly into the sunset And away they're blown All your friends they Ride into the sunset Ride into the sunset And they're taken home Open fire Open fire  Open fire Open fire Open fire Just ride and fire",-0.7579,0,9,0,8,5,1,15,0,0,5
9,9,/songs/387506,Coldplay,Always In My Head,https://genius.com/Coldplay-always-in-my-head-lyrics,http://api.genius.com/songs/387506,Ghost Stories,2014-05-16,"  I think of you I haven't slept I think I do But I don't forget  My body moves Goes where I will But though I try My heart stays still  It never moves Just won't be led So my mouth waters to be fed And you're always in my head  You're always in my head You're always in my head You're always in my head  You're always in my head Always in my Always in my  This, I guess Is to tell you you're chosen out From the rest",0.2498,0,0,0,0,0,1,4,0,2,2
