,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/1204553,D4L,Bankhead,https://genius.com/D4l-bankhead-lyrics,http://api.genius.com/songs/1204553,Down for Life,2005-11-08," Bankhead, nigga Read it in the headlines Bank, Bank, B-Bankhead, nigga Bank, B-bank, B-Bankhead, nigga Bank, B-bank, B-Bankhead, nigga Bankhead nigga, B-Bankhead nigga Bankhead, nigga; read it in the headlines Miracle smoke strong and I did it with the {???} B-Bankhead, nigga; read it in the headlines Miracle smoke strong and I did it with the {???}   Stuntman stay so fresh, so clean on that (Bankhead) I got a machine gun to kill yo' team on that (Bankhead) Got {???} and got cream on that (Bankhead) If you fuck with me, there's mo' dead on that (Bank, B-Bankhead) Stay iced out and never scared on that (Bankhead) Choppa Family comin' soon off that (Bankhead) You think I'm lyin', you better ask somebody on (Bank-Bankhead) Key & J still ride 24's on that (Bankhead)   Aye, if you lookin' for my mob, just ride up and down that (Bankhead) You gon' find me, I guarantees ya, 'cuz I'm from (Bankhead) Playboy, don't get mad 'cuz yo' bitch was on that (Bankhead) Fuckin' with a young thug nigga from that (B-B-Bankhead) Man, I got a team and they gettin' cream on that (Bankhead) Sellin' hard, soft, pills, and green on that (Bank, B-Bankhead) The Feds can't do it, wreck shop on that (Bankhead) Locked up white boy, {???} on that (Bank, Bank, Bankhead)   Whoever mention Bankhead didn't acknowledge me What, you blind? Need some glasses to see? You got a deal, still ain't rockin' more ice than me I thought you would've been more nice to me You ain't seen more stacks and {???} than me {???} just a bite to me, so be polite to me 'Cuz when you see me, I'm a sight to see (Bankhead) (Bank, Bank, Bankhead)   Bankhead, nigga Read it in the headlines Bank, Bank, B-Bankhead, nigga Bank, B-bank, B-Bankhead, nigga Bank, B-bank, B-Bankhead, nigga Bankhead nigga, B-Bankhead nigga Bankhead, nigga; read it in the headlines Miracle smoke strong and I did it with the {???} B-Bankhead, nigga; read it in the headlines Miracle smoke strong and I did it with the {???}   I'm Dennis Buttler, a.k.a. Mookie (Bankhead) Everywhere I go, you knows I represent that (Bankhead) Got bitches be comin' from everywhere to (Bankhead) Haters get mad 'cuz they ain't got no rank on (Bank, B-Bankhead) Every artist in the game knows 'bout that (Bankhead) Out-of-town muthafuckas scared of that (Bankhead) {???} niggas rockin' dreads to put it down on (B-Bankhead) Two {???} that make that palace on that (Bank, Bankhead)   Me and T-Rock keep shit crunk on that (Bankhead) Sold pounds of leaves from out of town on that (Bankhead) I lost a lot of homeboys from that (Bankhead) We D4L, and we keep shit real on (B-B-Bankhead) Got cats rockin' county blue screamin' (Bankhead) You can't holla ""ATL"" without that (B-B-Bankhead) 'Cuz the head of the bank is on that (Bankhead) And if you hate, you don't want none of (Bank, Bank, Bankhead)   Bankhead, nigga Read it in the headlines Bank, Bank, B-Bankhead, nigga Bank, B-bank, B-Bankhead, nigga Bank, B-bank, B-Bankhead, nigga Bankhead nigga, B-Bankhead nigga Bankhead, nigga; read it in the headlines Miracle smoke strong and I did it with the {???} B-Bankhead, nigga; read it in the headlines Miracle smoke strong and I did it with the {???}   Bankhead Bankhead Bankhead B-B-bankhead",13,13,10,11,13,19,21,9,11,49,0.9706
1,1,/songs/15240,D4L,Betcha Can't Do it Like Me,https://genius.com/D4l-betcha-cant-do-it-like-me-lyrics,http://api.genius.com/songs/15240,Down for Life,2005-11-08,"You fuckin' thieves We D4L And we back  Betcha, betcha, betcha, betcha, betcha....   I betcha can't do it like me (nope) I betcha can't do it like me (nope) I betcha can't do it like me (nope) I betcha can't do it like me (nope) I betcha can't do it like me (nope) I betcha can't do it like me (nope) I betcha can't do it like me (nope) I betcha can't do it like me (nope)  (Oh, Fa-bo)  Prince O in the house and we represent the south And I got to let 'em know D4L came to ride and we can roll Ain't nothin' but the pimpin' inside and she can go We done kicked up, they can watch me roll Anybody buck better lock and load Ain't goin' to the truck better watch that ho If she knuck, if she buck she can hit 'em wit a fo'  Oh, I betcha stand on one toe With ya arms in the air immitate Fa-bo Stop drop roll pop one time Lean back, Sprewell and pop one mo' Oh I betcha can't get like me Roll a blunt and take a hit like me Step in the club and pull a bitch like me He split like hair he should like me  I betcha can't do it like me I'm tipsy off Coke and Hennessy When I walk up you niggas envy me Cause I'm D4L you know who we be Made ya first streak in 2003 2004 it's all about me I'm gonna explain so ya'll folks can see Watch me do it, it's so easy First ya get real low Bounce on ya toes Snap ya finger, make yo arm roll Hit the flo' do the Fa-bo Get real crazy and scream out Oh! I'm tired of givin' you suckers game for free Next time when I pull out my cd Thirty-two tracks to thirty-two G's I bet you can't do my dance like me, Oh!    Now we on some other shit D4L, ya can't see this Stayin' down with them ghetto hits A team of soldiers spittin' lyrics Talkin' slick, he gon' beats this shit Choppa will, it's gonna hit you quick Splack-a, Splack-a duck bitch Betcha can't work this streak like this Flip a P and it keeps so quick Broke down in dimes and nicks Hit the club so fresh with click On the floor, doin' a dance like this  Locster that walked through the door With a box of the blunts and an ounce of the dro And a bag of them pills and ya know I'm spinnin' like whoa I'll knock a nigga ass to the flo' Ask Carlos, ask Fa-bo Ask Lamar and Mook-B ask Bruski, they all know Nope, I ain't really playin' with a ho When the cat start sprayin' I ain't layin' with a ho I catch 'em in the hood and hit with the fo' Do my dance on that ho  Nope, I betcha can't do it like a G Grab a tee and wipe the feet like met Ain't gonna do it right but they still wanna see And they all wanna but they can't do it like me  Nope, but I can do it like me Shake the leg and get to it like me DJ booth, you like me Make 'em dance and get crunk like me    They know I'm low I'm C-E-O Got stacks on deck, I pop I roll The cars the clothes, the life I know The hard, the soft, the dro that's so It's time that I shine, it's D4L On my grandmama potna, all haters go to hell I can't stand drama shawty ain't no stories I can't tell Betcha can't do it like me, can't break no bank Everytime they try they fail, come on    Nope Nope Nope Nope Nope Nope",19,8,9,14,4,28,16,8,9,11,-0.9987
2,2,/songs/1330104,D4L,Diggin' Me,https://genius.com/D4l-diggin-me-lyrics,http://api.genius.com/songs/1330104,Down for Life,2005-11-08,"They diggin me' look at everybody diggin me,diggin me.They diggin me, look at everybody diggin me. Look at everybody diggin me, they diggin me. look at everybody diggin me  I see ya lookin at me, you wanna know whats happening, Do I want them keys or them keys streamin till rappin. Till I live that life, now I'm living right, you see this necklace around my neck, filled with so much ice, and my packets fat, like I got the momps, until you haters come on and try to play me like i'm a cump, we go them killers on our team and they ready ta dump, I hope you dig that, cause this aint where its at. Just keep a gangsta up help a player spin up these stacks, cause that beef shit, na you dont want that. We 50 deep with them twos everywhere we at. So you better check a hole and nigger try and fuck that  They diggin me, look at everybody diggin me, diggin me.They diggin me,diggin me, diggin me look at everybodt diggin me, diggin me, they diggin me look at everybody diggin me, diggin me  One step threw da door, they loadding me, D4L they chasing the ices  GOT MORE TO GO GET BACK WIT YA AS FAST AS I CAN!",1,2,2,0,1,4,2,1,1,2,-0.6719
3,3,/songs/15246,D4L,Do it Like Me Baby,https://genius.com/D4l-do-it-like-me-baby-lyrics,http://api.genius.com/songs/15246,Down for Life,2005-11-08," Do it like me baby Lean wit' me rock wit' me from side to side Snap yo' fingers do it do it do it   Do it like me On the dance floor So icy I rock Kangols Yeah I need help I'm a nympho K-rab arab set the tempo For the streets for the best for the thugs For the girl gettin loose in the club Bring it back don't act like that D4L and K-rab got stacks ask Dizzm Ask Loe Ask Mou, Stuntman and Fabull Yeah I'm down wit the beat for the street DJ Pooh do it like me West side zone 4, zone 3, 107.9 and V103 Made them shake their laffy taffy Told them do it like me Rock harder DJ from the L.O.E   Some really don't dance but I think I can I'm a lean one time I'ma pop my hands I'ma do it do it do it do it on the floor Do it so long 'til my legs get sore See this girl in front of me she rockin her hips and movin her knees Oh shit there she go She dancin all fast lookin like Fabo I was just playing I don't really think so get back home said I don't won't no mo' She said so I said no Baby I'm gone off to much 'dro pop that pill And I pop 2 mo' now I'm really geeked up on that floor I'ma lean wit' it wit' stacks wit it D4L the best dub did it   Oh No check this out right here D4L put it down bitch this year Put the clique up, gotta keep it so trill Poppin' that bottom spend a hundr'd dolla' bill Finished last shot a true streetwear appeal Lay it on the line now I see what the deal Yeah I know you wanna get with this here The way you shakin ass tryin' to keep a playa near  But I'ma just lean Left to the right On the dance floor doin dance all night Nigga so cool I ain't worried 'bout no fight I rule too deep I want some pussy and a mic We got them motherfuckin 2's on site My bitch hit shawtay 'n' try to get right Jus' look at bankhead they feelin so nice Don't hate shit nigga Take 5     Do it like ya crazy how ya want it I'll do it slow Go fabo go fabo go Go fabull go fabo go Lean wit it rock wit it Bear ons Bankhead go  Go fabo go fabo go Go fabo go fabo go  Fo' the old folks, po' folks Whats in the drawer pro You don't really want none 'Cause it ain't... Noo baby girl whatcha got in that trunk? Get Loose Get Low I'm gon' get it get it I pop, I roll (They can't feel me) (They can't feel me)  ",13,4,6,9,9,18,29,8,6,14,-0.7332
4,4,/songs/1137311,D4L,Front Street,https://genius.com/D4l-front-street-lyrics,http://api.genius.com/songs/1137311,Down for Life,2005-11-08," Bankhead we ain't neva scared you heard what lil mark said D4L put it down radio gotta play it Still on that front street f*** wit dem young g's Cicero Martin Luther King Bankhead boys they down wit me Harris home still my home county boys got them toys ya'll M*** F*** Can't pull my card Im mookie b the dop e mate papa chasin weildin it grab da mike and keep that M*** F*** S*** crunk   Front Street Woah  Woah woah woah   Big Trucks Big Bucks stuntman stay flexed up ice on my wrist to my M*** F*** Neck up Ya'll N*** Ain't neva heard ov me like that song called S*** Me ain't to fly for akey dont make me give that Price to me hit me on my cell fone 44368 posted on that front get there check and dont be late Label me Tha bad guy cash floa it mutiply neva seen so much money in my bank stacked so Hi   Thats front street wo get geeked like O like stunt ain't got no rep give em 2 dollas fabo i can pop Like lo make ya bend ya nees till ya hips go next time you think first befo you run yo lip (o) I was born evangelist see bankhead ain't havin this we got the trap locked down yall freshly rapin it 2 35s on that new rov oh suka you will die when that front street woah i pop i roll beat at the trap Doah and a hundre D4L fans runin thru that back doah (Woah) (woah) he'll do it now (Woah) (Woah) she'll Do It Now   Swereve like this thru that front street woah Range rov 24s wit a poket full ov dough Im lo Girl Im lo Let em know thow a bow oh no D4L dun walked thru da doah and we high off dro knokin hatas to tha flow Make a way to tha bar for tha cris and tha mo Fabo geeked up do ya dance on em' he done popped anotha Spree well spinnin like O like woah N**** spinnin like woah, Like woah N*** spinnin like woah  ",5,4,3,4,4,12,14,3,5,8,0.9564
5,5,/songs/1665283,D4L,Game Owe Me,https://genius.com/D4l-game-owe-me-lyrics,http://api.genius.com/songs/1665283,Down for Life,2005-11-08, The game owe me Game owe me The game owe me Game owe me The game owe me Game owe me The game owe me Game owe me The game owe me Game owe me The game owe me Game owe me The game owe me Game owe me The game owe me  About 4 o 5 years ago I made a promise 2 my momma that I would neva sell no mo dope And tha world so cold Where tha real die young And the hate grow old But they all die slow I wonder how it get so close and its hard 2 focus when ya got bout 4 or 5 hoes Bout 6 7 pounds of tha dro Faybo unleashed a roll at tha do Tha game old Speakin of tha game no smoke I always keep 44 They don't know tha life I know From tha dro smoke New po'smoke Maybe no smoke Whether its my folks or ur folks Never go broke Betta owe six with tha smoke they owe me With my mind and my heart and my soul  Check out now mook-b Yall know me Grabbed tha mike since 93 Hatin ass niggas wouldn't let me eat But I kept it real Stayed true to tha streets Stayed down Turned up tha frown 'cause I knew tha game was gonna bounce back around Still in it till tha mothaf**kin finish U can best believe im gonna get me a ticket  The game owe me Speak money Paid dues to be a five star G Worked hard didn't get shit free Made a lot of bitch niggas in tha industry Suckas weren't hearin or feelin me I ain't rappin on tha mothaf**kin booty shit beat Now I got a hit bitch gimmie off E hey hey   Hit me now Most of these boys like hangin round Smokin yay Plotin and planin Thieving my trays for all my manes Used to be my gat-man my errand boy my neophyte After I-C-E bo-triple-x drop and heat all nite We made a pact when I was grindin U was broke man Im sellin weight and getting money in tha fat lane We can pop that gat we can pull that steel we can pull that 12 front gauge When u had blonde hair hoops it is and actin bitch made My track got hot my weight was up bottom matchin at clay court 5 deep can't get no sleep and constantly mashin on tha hoes Its D4L mack a therma real feel pimpin Red snapper fillet mignon and eat and barbecue shrimpin Limos in tha drive way sittin from tha nite befo Meter runnin it don't matter 'cause in getting mo and mo The game been good to me The game still owe'n me In and out I said So much blood so much sweat so much tear tha game been good   Game owe me I ain't gotta lie Who says a man ain't supposed to cry Lord ain't gon put no more u can't stand Get on one knee and raise yo hand 2004 my mama got sick Start them bells all kinds of shit Wanna ride good wanna look good too Game owe me I don't know about u Believe it  ,17,15,15,12,14,29,27,16,10,23,-0.1972
6,6,/songs/15245,D4L,I'm Da Man,https://genius.com/D4l-im-da-man-lyrics,http://api.genius.com/songs/15245,Down for Life,2005-11-08," Bitch I'm the man, I, I, I'm the man Got no wife but the white be my girlfriend Got no wife but the white be my girl... Got, got, no wife but the white be my girlfriend   I don't know what y'all been told Shawty Lo back on the map, what's up That's what's hannenin' And you know I keep work Seventeen five, same color t-shirt What's hannenin' I'm the man Bitch I'm the man Got no wife but the white be my girlfriend I'm hustlin' Got units in the city If you want it come and get it (ha ha) Work (whoa)   Bitch I'm the man I, I, I'm the man Got no wife but the white be my girlfriend G-got no wife but the white be my girl... Got, got, no wife but the white be my girlfriend Bitch I'm the man I, I, I'm the man Got no wife but the white be my girlfriend Bitch I'm the man I, I, I'm the man I, I'm the man I, I, I'm the man   Don't look suprised they can't hold me I'm like oil base, I'm hard to lock up You can't beat me, still hard to lock up Hit the Westside I made them stand up CEO, colonel, whatever they call me Niggas gain weight They obese They done got fat Its that time, Jenny Craig Got that Shawty Lo crack Whoa made them stop that They don't want that D4L made them suckas lean back, way back ’Cause I'm the man Yeah, bitch I'm the man Catch me in the club poppin' rubberbands ’cause I can I like to stunt a lot See me in the parking lot 645 a roof gone, yeah I dropped the top   Bitch I'm the man I, I, I'm the man Got no wife but the white be my girlfriend Bitch I'm the man I, I, I'm the man I, I'm the man I, I, I'm the man Bitch I'm the man I, I, I'm the man Got no wife but the white be my girlfriend G-got no wife but the white be my girl... Got, got, no wife but the white be my girlfriend   The cars, the hoes, the life I chose The ice is froze, my flow is cold I'm hot for sho', you know it's Lo I been getting money way back in '94 The base, my trap, and you know it be on fire D4L ain't gettin' money? That's a motherfuckin' lie I already got money, can't you look at me dummy? I'm laced head to toe, look at the way your ho chose Bank roll unfold, I made it rain on them hoes '04 four-door double-o on them hoes Bubble kush I blow, leave the smell on your clothes I'm gettin' money in the hood and they already know Whoa!   Bitch I'm the man I, I, I'm the man Got no wife but the white be my girlfriend G-got no wife but the white be my girl... Got, got, no wife but the white be my girlfriend Bitch I'm the man I, I, I'm the man Got no wife but the white be my girlfriend Bitch I'm the man I, I, I'm the man I, I'm the man I, I, I'm the man Bitch I'm the man I, I, I'm the man Got no wife but the white be my girlfriend G-got no wife but the white be my girl... Got, got, no wife but the white be my girlfriend",22,28,19,16,25,24,32,17,7,32,-0.9988
7,7,/songs/15242,D4L,Laffy Taffy,https://genius.com/D4l-laffy-taffy-lyrics,http://api.genius.com/songs/15242,Down for Life,2005-11-08," That laffy taffy (candy girl) Girl, shake dat laffy taffy That laffy taffy Shake that laffy taffy That laffy taffy Girl, shake that laffy taffy That laffy taffy That laffy taffy (candy girl) That laffy taffy   I'm lookin' for Mrs. Bubble Gum I'm Mr. Chik-O-Stick I wanna (dun dun dunt)(oh) Cause you so thick Girls call me Jolly Rancher Cause I stay so hard You can suck me for a long time (Oh my God!) Girl this ain't no dance flo' This a candy sto' And I'm really geeked up And I got mo' dro' I pop? I roll It's all I do It's the summer time But yo laffy taffy got me cold (oh) Gone get loose (oh) Gone get low (oh) Don't be shy Ho I'm Fabo (oh) I know you wanna ride You a star and it shows (well tell 'em, damn whassup, whassup let's go, let's go, let's go)   That laffy taffy (candy girl) Girl, shake dat laffy taffy That laffy taffy Shake that laffy taffy That laffy taffy Girl, shake that laffy taffy That laffy taffy That laffy taffy (candy girl) That laffy taffy   C'mon trick, c'mon trick Here go Mr. Chocolate I like the way you break it down Waddle, stop you watchin' me Laffy taffy I'm likin' this Big ole ass you shakin' bitch Close yo mouth and don't say shit Bend on ova and hit a split Work that pole and work it well Stacks on deck, yo ankles swell Girl, lemme touch ya I will neva tell Security guard don't scare nobody Damn right I touched that ho All the money just hit the flo' D4L I'm ready to go Ho can't even shake no mo' They tired out Let's ride out Bitch you wanna go Then she can go She get in my car I ain't playin' no mo' Start movin' on my Faybo Bitch she probably already know Lemme see that laffy taffy (dun dun dunt)   That laffy taffy (candy girl) Girl, shake dat laffy taffy That laffy taffy Shake that laffy taffy That laffy taffy Girl, shake that laffy taffy That laffy taffy That laffy taffy (candy girl) That laffy taffy   Say baby girl Ay what you gon' do I got a hundred ones I wanna po' on you Just keep that ass shakin' And I keep tippin' you While I sit back like a playa And sip that grey goose Feelin' all loose Cause girl you on yo job You got my dick hard The way you touch them toes Workin' them micros On the stilletos You made it skeet skeet skeet Like a water hose (candy girl) Got me goin' in my pocket pullin' out mo' dough Let the waitress know I need to order, five hundred mo' You best believe later on we headed to the mo' So gone and pack them bags And let's motherfuckin' go I'm waitin' on yo fine ass At the front do' Girl, you don't know I'mma toss the laffy taffy Toss it, flip it, and slap it Bust a couple of nuts And get right back at it   That laffy taffy (candy girl) Girl, shake dat laffy taffy That laffy taffy Shake that laffy taffy That laffy taffy Girl, shake that laffy taffy That laffy taffy That laffy taffy (candy girl) That laffy taffy",11,10,6,6,6,22,13,3,8,11,-0.9909
8,8,/songs/884225,D4L,Make It Rain,https://genius.com/D4l-make-it-rain-lyrics,http://api.genius.com/songs/884225,Down for Life,2005-11-08,"I make it rain on these bitches, what the f**k my niggas tryin me, kilt the other joint, mayne that was f**ked up, fabo in dis bitch and im richer then richerd pryer, if yo girl ask what happend just tell her that im higher, i make it rain on all yall hoes, so back yo bitch ass the f**k up, i put bullet in yo ass so buck up, my money is greener, my nigga im meaner... dem other hoes like my chain and my thing, and my mathaf**kin pinky ring i make it rain, i make rain hoe, i make it rain, i make it rain hoe (2x)  D4L tuck yo ice in, wit all the money i got i can get 59 new mercedes bens, flip a coin, flip a coin, flip a coin, naw bitch just flip it, if u work dat ass real good, imma have 2 tip it, f**k what a hater think, i got money in the bank so so so so hoe whatchu think, oh yea i almost 4got bitch im on the next rank, i make it rain, i make it rain, i make it rain, hell yea D4L makin it rain like SHIT NIGGA i make it rain, i make it rain hoe (2x)",10,4,7,7,4,8,7,6,5,6,-0.9877
9,9,/songs/15243,D4L,Scotty,https://genius.com/D4l-scotty-lyrics,http://api.genius.com/songs/15243,Down for Life,2005-11-08,"I've gotta see my doctor.. Scotty's calling me.. Scotty baby I'm in the zone I wanna fly mornin, noon, and night  I'm geeked up   I'm geeked up and I can't see and all the walls keep lookin at me I tell myself theres nothin wrong but I can't stop grittin my teeth I can't sleep I can't eat I just geek I just geek And I know I can't take one so why not three shake it deep I can't help the way I feel when I geek I keep it real In the hood I keep my steel Try to blow my high you will get killed Cause it's real bankhead real fabo Broad daylight, don't keep shit low Roll my blunt right in front of po po Fuck them hoes the can blame it on the 'dro  I'm in the zone I've gotta see my doctor.. Scotty's calling me.. Scotty baby I'm in the zone I wanna fly mornin, noon, and night  I'm geeked up   Star Trek Star Trek, Scotty don't wanna give a star back I'm in the zone and I bought me a star gack And I'm really geeked up thats a star fact I'm startin to see space ships on bankhead I roll with gangsters pill poppers anddank heads I got partners and words the boom buddy and famous I got sistas like gas mask chocolate porches they dangerous I fly like blaze when I'm burning purp Real body heads we burning hurt Geek music I'm earning turf While your footballs soft like nerf  I'm in the zone I've gotta see my doctor.. Scotty's calling me.. Scotty baby I'm in the zone I wanna fly mornin, noon, and night  I'm geeked up ",5,9,3,3,12,7,26,2,0,19,-0.9646
