,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/113119,Daft Punk,Around the World,https://genius.com/Daft-punk-around-the-world-lyrics,http://api.genius.com/songs/113119,Homework,1997-01-20,"Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world",0.0,0,0,0,0,0,0,0,0,0,0
1,/songs/530918,Daft Punk,"Around the World / Harder, Better, Faster, Stronger",https://genius.com/Daft-punk-around-the-world-harder-better-faster-stronger-lyrics,http://api.genius.com/songs/530918,Alive 2007,2007-10-15,"Steam machine, Steam machine, Steam machine, Steam machine Steam machine, Steam machine, Steam machine, Steam machine  Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world    Work it, make it, do it, makes us  Harder, better, faster, stronger  More than, hour, our, never  Ever, after, work is, over  Work it, make it, do it, makes us (Around the world, around the world) Around the world, around the world  Harder, better, faster, stronger (Around the world, around the world) Around the world, around the world  More than, hour, our, never (Around the world, around the world) Around the world, around the world  Ever, after, work is, over (Around the world, around the world) Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world Around the world, around the world  Work it harder, make it better Do it faster, makes us stronger More than ever, hour after Our work is never over Work it harder, make it better Do it faster, makes us stronger More than ever, hour after Our work is never over Work it, make it better Do it faster, makes us stronger More than ever, hour after Our work is never over Work it harder, make it better Do it faster, makes us stronger More than ever, hour after Our work is never over  Work it harder, do it faster, makes us stronger More than ever, our work is never over  Work it harder Do it faster More than ever Our work is never over  Work it harder Make it better Do it faster Makes us stronger More than ever Hour after Our work is never over   Work it, work it, work it, work it Harder, harder, harder, harder Work it, work it, work it, work it Faster, faster, faster, faster Work it, work it, work it, work it Harder, harder, harder, harder Work it, work it, work it, work it Faster, faster, faster, faster Work it, work it, work it, work it Harder, harder, harder, harder Work it, work it, work it, work it Faster, faster, faster, faster Work it, work it, work it, work it Harder, harder, harder, harder Work it, work it, work it, work it Faster, faster, faster, faster Work it, work it, work it, work it Harder, harder, harder, harder Work it, work it, work it, work it",0.9892,0,0,0,0,0,0,0,0,0,8
2,/songs/151375,Daft Punk,Beyond,https://genius.com/Daft-punk-beyond-lyrics,http://api.genius.com/songs/151375,Random Access Memories,2013-05-17," Dream beyond dreams Beyond life You will find your song Before sound To be found Close your eyes and rise Higher still Endless thrill To the land of love Beyond love Come alive, angel eye Forever watching you and I   You are the night, you are the ocean You are the light behind a cloud You are the end and the beginning A world where time is not allowed There's no such thing as competition To find a way we lose control Remember, love's our only mission This is a journey of the soul The perfect song is framed with silence It speaks of places never seen Your home's a promise long forgotten It is the birthplace of your dreams",0.9726,3,8,1,5,11,5,12,3,3,6
3,/songs/1388606,Daft Punk,Burnin'/ Too Long,https://genius.com/Daft-punk-burnin-too-long-lyrics,http://api.genius.com/songs/1388606,Alive 2007,2007-11-19,"You know you need it, hey, I need it too, well alright You know you need it, it's good for you We gon' move! You know you need it, hey, I need it too, well alright You know you need it, it's good for you We gon' move! ... I Know you need it hey! I Know you need it hey!",0.9212,0,2,0,0,2,0,2,0,2,2
4,/songs/378163,Daft Punk,Computerized,https://genius.com/Daft-punk-computerized-lyrics,http://api.genius.com/songs/378163,None,2014-03-10,"   Computerized Computerized Computerized Everyone will be... Computerized   She says I'm cold Only time I'm comfortable kissing is sending X and Os I send a message back to dispute this fact, but this I know I hope to find my love, like we used to before dial-up Whatever happened to our phone sex? Right now, can't think of anything we don't text I broke her heart on the email I'm so cold, I'ma just spare y'all the details I can't even tell y'all whats real I got an iTouch, but I can't feel   Past was the word, now I'm living in the future   Start mackin' on my black berry, she got jealous I was tappin' on my Blackberry So she didn't keep in touch and I can't tell the difference, we ain't see each other much Aside from some late night texts, a couple Os, a few Xs My current feels just like my exes, different characters, same letters Red light, another message, spilling her heart out, what a mess this is P.S., this is B.S., I can't even spell it out, am I that unaffectionate?     x6 I don't know how I feel Somebody tell me what's real     She said it got better and worser And it's supposed to be vice-versa I don't know, I kinda like this surf stuff We used to see tears when we hurt stuff I guess it got faster but colder We iChat, that's how she comes over That's better than not seeing her And I'm so glad I'm serving her like Serena She can YouTube in the arena And we close, no matter how many miles between us I told her, ""Welcome to the future"" That's just how it is, I'm a user  ",0.9794,3,6,2,2,4,10,10,4,2,9
5,/songs/151381,Daft Punk,Contact,https://genius.com/Daft-punk-contact-lyrics,http://api.genius.com/songs/151381,Random Access Memories,2013-05-17,"   Hey, Bob I'm looking at what Jack was talking about And, uh, it's definitely not a particle that's nearby It is a bright object and it's obviously rotating because it's flashing It's way out in the distance Certainly rotating in a very rhythmic fashion Because the flashes come around almost on time As we look back at the earth, it's up at about 11 o'clock About, uh, well, maybe ten or twelve diame...Earth diameters I don't know whether that does you any good, but there's something out there  ",0.7184,0,3,0,0,1,0,2,0,1,2
6,/songs/1180122,Daft Punk,Da Funk / Daftendirekt,https://genius.com/Daft-punk-da-funk-daftendirekt-lyrics,http://api.genius.com/songs/1180122,Alive 2007,2007-11-19,"Da funk back to the punk, come on Da funk back to the punk, come on Da funk back to the punk, come on Da funk back to the punk, come on  Da funk back to the punk, come on Da funk back to the punk, come on Da funk back to the punk, come on Da funk back to the punk, come on  Da funk back to the punk, come on Da funk back to the punk, come on Da funk back to the punk, come on Da funk back to the punk, come on  Da funk back to the punk, come on Da funk back to the punk, come on Da funk back to the punk, come on Da funk back to the punk, come on",0.0,0,0,0,0,0,16,0,16,0,0
7,/songs/72011,Daft Punk,Digital Love,https://genius.com/Daft-punk-digital-love-lyrics,http://api.genius.com/songs/72011,Discovery,2001-02-26,"   Last night I had a dream about you In this dream, I'm dancing right beside you And it looked like everyone was having fun The kind of feeling I've waited so long Don't stop, come a little closer As we jam, the rhythm gets stronger There's nothing wrong with just a little little fun We were dancing all night long The time is right to put my arms around you You're feeling right, you wrap your arms around too But suddenly I feel the shining sun Before I knew it, this dream was all gone   Ooh, I don't know what to do About this dream and you I wish this dream comes true Ooh, I don't know what to do About this dream and you We'll make this dream come true   Why don't you play the game? Why don't you play the game?",0.9801,2,9,2,2,9,3,16,2,4,11
8,/songs/151378,Daft Punk,Doin' It Right,https://genius.com/Daft-punk-doin-it-right-lyrics,http://api.genius.com/songs/151378,Random Access Memories,2013-05-17, Doin' it right Everybody will be dancing And we'll feeling it right Everybody will be dancing And be doin' it right Everybody will be dancing When we're feeling all right Everybody will be dancing tonight Doin' it right Everybody will be dancing And we'll feeling it right Everybody will be dancing And be doin' it right Everybody will be dancing When we're feeling all right Everybody will be dancing tonight Doin' it right Everybody will be dancing And we'll feeling it right Everybody will be dancing And be doin' it right Everybody will be dancing When we're feeling all right Everybody will be dancing tonight Doin' it right Everybody will be dancing And we'll feeling it right Everybody will be dancing And be doin' it right Everybody will be dancing When we're feeling all right Everybody will be dancing tonight Doin' it right Everybody will be dancing And we'll feeling it right Everybody will be dancing And be doin' it right Everybody will be dancing When we're feeling all right Everybody will be dancing tonight Doin' it right Everybody will be dancing And we'll feeling it right Everybody will be dancing And be doin' it right Everybody will be dancing When we're feeling all right Everybody will be dancing tonight   If you do it right Let it go all night Shadows on you break Out into the light If you do it right Let it go all night Shadows on you break Out into the light   If you lose your way tonight That's how you know the magic's right That's how you know the magic's right   Doin' it right Everybody will be dancing And we'll feeling it right Everybody will be dancing And be doin' it right Everybody will be dancing When we're feeling all right Everybody will be dancing tonight   If you do it right Let it go all night Shadows on you break Out into the light If you do it right Let it go all night Shadows on you break Out into the light   If you lose your way tonight That's how you know the magic's right If you lose your way tonight That's how you know the magic's right   If you do it right Let it go all night Shadows on you break Out into the light If you do it right Let it go all night Shadows on you break Out into the light If you do it right Let it go all night Shadows on you break Out into the light If you do it right Let it go all night Shadows on you break Out into the light   If you lose your way tonight That's how you know the magic's right If you lose your way tonight That's how you know the magic's right If you lose your way tonight That's how you know the magic's right   If you lose your way tonight That's how you know the magic's right,-0.7845,21,14,21,21,14,21,14,21,29,14
9,/songs/354414,Daft Punk,Emotion,https://genius.com/Daft-punk-emotion-lyrics,http://api.genius.com/songs/354414,Human After All,2005-03-14,Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion Emotion...,0.0,0,0,0,0,0,0,0,0,0,0
