,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/1637063,Daniel Powter,Back On The Streets,https://genius.com/Daniel-powter-back-on-the-streets-lyrics,http://api.genius.com/songs/1637063,None,2017-01-06,"Someone pull me back on the streets to the morning light Have to get back on the streets to the morning light 'Cause I feel like somebody else Yeah, you know what I mean Have to be back on the streets to the morning light, light, light  Well, the moment you get back in my arms Dip, dip, dip in life Oh, life Yeah, the moment you get back in my arms Dip, dip, dip in life Oh, life  I've been searching for myself my entire life, that's right I'm walking back and forth my entire life 'Cause I feel like somebody else Yeah, you know what I mean Have to be back on the streets to the morning light, light, light  Well, the moment you get back in my arms Dip, dip, dip in life Oh, life Yeah, the moment you get back in my arms Dip, dip, dip in life Oh, life Watch out  Well, the moment you get back in my arms Life, give me life The moment you get back in my arms Life, give me life The moment you get back in my arms Life, give me life The moment you get back in my arms Life, life The moment you get back in my arms Life, give me life Now that I'm back in your arms Life, life, life",0,1,0,1,0,0,1,0,0,0,0.9442
1,1,/songs/75001,Daniel Powter,Bad Day,https://genius.com/Daniel-powter-bad-day-lyrics,http://api.genius.com/songs/75001,Daniel Powter,2005-06-27," Where is the moment we needed the most? You kick up the leaves and the magic is lost They tell me your blue skies fade to gray They tell me your passion's gone away And I don't need no carryin' on   You stand in the line just to hit a new low You're faking a smile with the coffee to go You tell me your life's been way off line You're falling to pieces every time And I don't need no carryin' on   Because you had a bad day You're taking one down You sing a sad song just to turn it around You say you don't know You tell me, don't lie You work at a smile and you go for a ride You had a bad day The camera don't lie You're coming back down and you really don't mind You had a bad day You had a bad day   Will you need a blue sky holiday? The point is they laugh at what you say And I don't need no carryin' on   You had a bad day You're taking one down You sing a sad song just to turn it around You say you don't know You tell me, don't lie You work at a smile and you go for a ride You had a bad day The camera don't lie You're coming back down and you really don't mind You had a bad day (Ooh, a holiday)   Sometimes the system goes on the blink And the whole thing turns out wrong You might not make it back and you know That you could be well, oh, that strong And I'm not wrong (Yeah, yeah, yeah)   So where is the passion when you need it the most? Oh, you and I You kick up the leaves and the magic is lost   'Cause you had a bad day You're taking one down You sing a sad song just to turn it around You say you don't know You tell me don't lie You work at a smile and you go for a ride You had a bad day You've seen what you're like And how does it feel? One more time You had a bad day You had a bad day   Ah, yeah, yeah, yeah Had a bad day (ah) Had a bad day (ah, yeah, yeah, yeah) Had a bad day (ah)",22,11,20,14,12,28,27,28,5,23,-0.9949
2,2,/songs/1527117,Daniel Powter,Come Home,https://genius.com/Daniel-powter-come-home-lyrics,http://api.genius.com/songs/1527117,None,2017-01-06,"My new friends are looking out for me And I'm doing just fine Everything is how it ought to be But we both know that's just a lie  I hear things are going well for you You're out there having a blast But if it's somehow not ringing true Know that I still want you back  Home, won't you come home Back to the place where you belong I need you home So we're not alone No one remembers who was wrong I don't care where you've gone Just come back home  Now looking down this empty hallway You're still here in the frames I see your face on every stranger that walks by And I swear I hear you call out my name  Home, won't you come home Back to the place where you belong I need you home So we're not alone No one remembers who was wrong I don't care where you've gone Just come back home  And now I've watched the leaves Changing colors for second time Am I getting closer to you Or am I running blind  I'm moving through our lives backwards Just to meet you at the start I can't tell if I'm together Or just falling back apart Just falling back apart  Home, won't you come home Back to the place where you belong I need you home So we're not alone No one remembers who was wrong Just come back Home  Just come back I don't care where you've gone Just come back Home",2,2,2,2,2,10,6,3,1,6,-0.9575
3,3,/songs/1855879,Daniel Powter,Crazy All My Life,https://genius.com/Daniel-powter-crazy-all-my-life-lyrics,http://api.genius.com/songs/1855879,None,2017-01-06,"Well something got me shaking My mind was racing pacing the room I don't know but I think I fell to pieces The moment that I first saw you  Now it's true I thought I could get over it Brushed you off my shoulder but now I'm a mess, every day is worse And the hurt is always bringing me down Help me  Cause I don't know if I can take it I'm so tired of trying to fake it Tell me you know That I've been crazy all my life  I try to be cool but I want more Now I'm standing right here at your front door I need to know that I've been crazy all my life Crazy all my life  Well tell me you can help me I'm nothing but a shell of a man Baby please the only time I'm right Is when I am by your side understand?  Can't you see? Baby it's irrational Maybe I'm a natural freak All I know is love can make you stupid And you are just a song on repeat Help me  Cause I don't know if I can take it I'm so tired of trying to fake it Tell me you know That I've been crazy all my life  I try to be cool but I want more Now I'm standing right here at your front door I need to know that I've been crazy all my life Crazy all my life My life, my life  Maybe you're just a fool like me And you're feeling crazy too Maybe it just fool you see Maybe we found we've been crazy all our life  Don't know if I can take it I'm so tired of trying to fake it I wanna know That I've been crazy all my life  I try to be cool but I want more Now I'm standing right here at your back door I wanna know if I've been crazy all my life Crazy all my life My life, my life  Yeah crazy all my life Yeah, something's been shaking my mind was racing Crazy all my life Dreamed up that before Crazy all my life Mind you, baby Crazy all my life Hoo~Hoo~ Crazy all my life Hoo~Hoo~ Crazy all my life Hoo~Hoo~ Crazy all my life Hoo~Hoo~ Crazy all my life",22,3,5,26,7,37,18,24,2,8,-0.9972
4,4,/songs/2949204,Daniel Powter,Delicious,https://genius.com/Daniel-powter-delicious-lyrics,http://api.genius.com/songs/2949204,None,2017-01-06," You look so delicious The way your body moves Cherry lipstick kisses Sends me to the moon You got me so excited Come wrap your legs around me Let's get on it   You're so delicious Wanna take a bite Baby it's on tonight Let's stop wasting time Just wanna touch you Make you feel alright I can do what you like Cause baby I'm yours tonight You're so delicious   You gotta work harder than that   Show me no mercy I like the games you play Now tie me to your bedpost honey Keep me there all day Legs that go to heaven Driving me insane Let's get on it   You're so delicious Wanna take a bite Baby it's on tonight Let's stop wasting time Just wanna touch you Make you feel alright I can do what you like Cause baby I'm yours tonight You're so delicious   Oh yeah Now you feel good And girl you look so fine Now woo, I can hardly stand it You know just how to make a grown man cry   You're so delicious Wanna take a bite Baby it's on tonight Let's stop wasting time Just wanna touch you Make you feel alright I can do what you like Cause baby I'm yours tonight You're so delicious   Oh wah ooh ooh You're so delicious Uh huh Baby, baby, baby you're so delicious Aw now Oh wah ooh ooh You're so delicious",1,6,3,4,22,8,25,4,3,3,0.9969
5,5,/songs/1146551,Daniel Powter,Fall In Love (The Day We Never Met),https://genius.com/Daniel-powter-fall-in-love-the-day-we-never-met-lyrics,http://api.genius.com/songs/1146551,None,2017-01-06,Take a perfect picture on the day we meet Then imagine someone hits delete And now the story you never has a start I never meet the girl that stole my heart  And if you're anything like me It keeps you up nights wondering  What if the sun went out And everything up was down The best was the worst Forward went in reverse Could anyone fall in love  If I hadn't lost my way I'd never have seen the face I could never forget Then why should I feel regret But that was the day we never met  Some call it fate They say it's meant to be You meet that someone who fits you perfectly The one that keeps you up all night The one that makes you feel alright  What if the sun went out And everything up was down The best was the worst Forward went in reverse Could anyone fall in love  If I hadn't lost my way I'd never have seen the face I could never forget Then why should I feel regret But that was the day we never met  'Cause in that moment we knew instantly That it was meant to be The sun lights up the sky And every door is opening up wide  What if the sun went out And I never saw her smile The best was the worst Forward went in reverse Could anyone fall in love  If I hadn't lost my way I'd never have seen the face And every path would be set We'd remain separate But that be the day we never met,1,7,0,0,9,12,13,8,5,6,0.9806
6,6,/songs/2284876,Daniel Powter,Free Loop,https://genius.com/Daniel-powter-free-loop-lyrics,http://api.genius.com/songs/2284876,Daniel Powter,2005-06-27," I'm a little used to calling outside your name I won't see you tonight so I can keep from going insane But I don't know enough, I get some kinda lazy day Hey yeah I've been fabulous through to fight my town a name I'll be stooped tomorrow if I don't leave as them both the same But I dont know enough, I get some kinda lazy day Hey yeah   Cause it's hard for me to lose In my life I've found only time will tell And I will figure out that we can baby We can do a one night stand, yeah And it's hard for me to lose in my life I've found outside your skin right near the fire That we can baby We can change and feel alright   I'm a little used to wandering outside the rain You can leave me tomorrow if it suits you just the same But I don't know enough, I need someone who leaves the day Hey yeah   Cause it's hard for me to lose In my life I've found only time will tell And I will figure out that we can baby We can do a one night stand, yeah And it's hard for me to lose in my life I've found outside your skin right near the fire That we can baby We can change and feel alright  Cause it's hard for me to lose In my life I've found only time will tell I will figure out that we can baby We can do a one night stand, yeah  And it's hard for me to lose in my life I've found outside your skin right near the fire That we can baby We can change and feel alright  Cause it's hard for me to lose In my life I've found only time will tell And I will figure out that we can baby We can do a one night stand, yeah  And it's hard for me to lose in my life I've found outside your skin right near the fire That we can baby We can change and feel alright",10,6,8,18,16,14,19,10,10,11,-0.9772
7,7,/songs/1379744,Daniel Powter,Give Me Life,https://genius.com/Daniel-powter-give-me-life-lyrics,http://api.genius.com/songs/1379744,Daniel Powter,2005-06-27,"My direction's a problem with your friends Understand my point of view I'm not bothered, I'll break before I'll bend Give me life, give me life for what I do  I can't remember if everything is the same What you think that I should be You push me backwards, I played the stupid game Give me life, give me life for what I say  In the moment that you lose yourself You wish that you were someone else And the only thing that comes apart To take us back from where we start  'Cause I got no excuses for the way I talk to you But you don't compromise, you're nothing new Let's get together to see what we've become Give me life, give me life for what I have done  What's the answer, we fall between the cracks I'll be happy when we sink I was promised if you're through with us Give me life, give me life for what I think  In the moment that you lose yourself You wish that you were someone else And whatever else is going on Everyone will know once you're halfway gone  You got no excuses for the way you're treating me And I don't compromise too easily Let's stay together to see what we've become Give me life, give me life for what I have done  Give me life, give me life for what I have done Give me life, give me life for what I have done",2,2,3,3,2,10,5,4,3,4,0.6934
8,8,/songs/1838264,Daniel Powter,Happy X’mas (War Is Over),https://genius.com/Daniel-powter-happy-xmas-war-is-over-lyrics,http://api.genius.com/songs/1838264,None,2017-01-06,"So this is Xmas What have you done Another year over And a new one just began So this is Xmas I hope you have fun The near and the dear one The old and the young  And a very Merry Xmas And a happy New Year Let's hope it's a good one Without any fear  So this is Xmas For weak and for strong For rich and the poor ones The world is so wrong And so happy Xmas For black and for white For yellow and red ones Let's stop all the fight  And a very Merry Xmas And a happy New Year Let's hope it's a good one Without any fear  So this is Xmas (war is over) What have we done (if you want it) Another year over (war is over) And a new one just began (now) So happy Xmas (war is over) We hope you have fun (if you want it) The near and the dear one (war is over) The old and the young (now)  And a very Merry Xmas And a happy New Year Let's hope it's a good one Without any fear  War is over, if you want it War is over now War is over, if you want it War is over now  And a very Merry Xmas And a happy New Year Let's hope it's a good one Without any fear  War is over, if you want it War is over now War is over, if you want it War is over now Happy Xmas",5,22,0,17,26,19,28,1,12,18,0.9988
9,9,/songs/1312085,Daniel Powter,Hollywood,https://genius.com/Daniel-powter-hollywood-lyrics,http://api.genius.com/songs/1312085,Daniel Powter,2005-06-27,"Hey hey, well this could be cool 'Cause we could be together And nothing lasts forever And me, I'll be your fool Pick you up when you fall down And when you are cross the dance floor Let me buy you a drink or two  And you could be my star for weekends Do you like your Hollywood As far as I'm concerned The lesson's been learned At least that's what I understood  That's right Hey, tell your daddy not to wait up You're not coming home You're all mine And that's fine I'll keep you by my side Oh, fill you up with all my lies  And when you are across the dance floor Let me buy you a drink or two  And you could be my star for weekends Do you like your Hollywood As far as I'm concerned The lesson's been learned At least that's what I understood Come on  Write them a letter That you're not coming back These days ain't been good But then these days ain't so bad Sooner or later when you come around If you got these problems Then I'll let you down  Let me be your star for weekends And do you like your Hollywood As far as I'm concerned The lesson's been learned At least that's what I understood  Let me be your star for weekends Do you like your Hollywood As far as I'm concerned The lesson's been learned At least that's what I understood",3,13,3,7,7,7,13,9,1,12,0.8545
