,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/1474216,David Cook,4 Letter Word,https://genius.com/David-cook-4-letter-word-lyrics,http://api.genius.com/songs/1474216,This Loud Morning,2011-06-28," Hold your tongue Hold it tight Or we'll be destined to fall, like the sun did tonight Leave it out, 'cause it might Take the both of us down before we get it right   Oh, I know just what you're thinking But if we ever let it go   I see us slipping away Starting to fade Crumbling down till we both hit the ground You know if we never say We'll never crash and burn 'Cause love is a four letter word   Looking back, now I see Seeing just how it feels to cause such misery All I want is to keep this moment alive Featuring you and me   And I know just what you're thinking But if we ever let it go   I see us slipping away Starting to fade Crumbling down till we both hit the ground You know if we never say We'll never crash and burn 'Cause love is a four letter word   I'm afraid of losing all that we had now A four letter word It could all get ruined if it's ever said out loud   Slipping away Starting to fade Crumbling down till we both hit the ground You know if we never say We'll never crash and burn 'Cause love is a four letter word I see us slipping away Starting to fade Crumbling down till we both hit the ground You know if we never say We'll never crash and burn 'Cause love is a four letter word 'Cause love is a four letter word",0.9886,7,9,2,7,7,22,13,13,6,12
1,1,/songs/1262748,David Cook,A Daily AntheM,https://genius.com/David-cook-a-daily-anthem-lyrics,http://api.genius.com/songs/1262748,David Cook,2008-11-18," Break your neck for some substance This is temporary sanity, an exercise in vanity So long to the ordinary day Wrought with fictitious tales or that there's any other way   Hold on to anything at all It's a long way down between the summer and the fall If I told you that you're everything Would you sing along? Would you sing along?   It's a daily anthemt Would you sing my song at the top of your lungs? And we'll all sing along We'll all sing along It's a half day blessing For the lessons I've learned Never deserved And we'll all sing along We'll all sing along   Now the verses take hold A gentle under current are more years to grow old Say goodbye to the cold and try to begin everything (there's life)   As we sing your daily anthem Would you sing my song at the top of your lungs And we'll all sing along We'll all sing along It's a half day blessing For the lessons I've learned Never deserved And we'll all sing along We'll all sing along",0.8895,0,24,0,0,16,5,24,14,1,20
2,2,/songs/3355255,David Cook,Another Day In Paradise,https://genius.com/David-cook-another-day-in-paradise-lyrics,http://api.genius.com/songs/3355255,Chromance - EP,2018-02-16," She calls out to the man on the street ""Sir, can you help me? It's cold and I've nowhere to sleep Is there somewhere you can tell me?"" He walks on, doesn't look back He pretends he can't hear her Starts to whistle as he crosses the street Seems embarrassed to be there   Oh think twice It's another day for you and me in paradise Oh think twice It's just another day for you You and me in paradise Just think about it   She calls out to the man on the street He can see she's been crying She's got blisters on the soles of her feet She can't walk but she's trying   Oh think twice It's another day for you and me in paradise Oh think twice It's just another day for you You and me in paradise Just think about it   Oh Lord Is there nothing more anybody can do Oh Lord There must be something you can say   You can tell from the lines on her face You can see that she's been there Probably been moved on from every place Cause she didn't fit in there   Oh think twice It's another day for you and me in paradise Oh think twice It's just another day for you You and me in paradise Just think about it   It's just another day for you and me in paradise (paradise) It's just another day for you and me in paradise (paradise) It's just another day for you and me in paradise",0.9937,1,1,3,1,0,7,3,2,0,3
3,3,/songs/1671518,David Cook,Avalanche,https://genius.com/David-cook-avalanche-lyrics,http://api.genius.com/songs/1671518,David Cook,2008-11-18," I feel alive beside you And all at once, I am whole again We fall into each other Your atmosphere is all I'm breathing in And in this rush, we are crushed   Carry me down Rolling in your arms Cause I can't remember ever falling this hard Tell me tonight All that we have been Was it nothing more than noise inside my head? Crashing down, crashing down In your avalanche In your avalanche   These scars we wear remind us The more we change, the more we're all the same Swept up in this emotion We've fumbled through and made the same mistakes 'Cause we are led to the edge   Carry me down Rolling in your arms 'Cause I can't remember ever falling this hard Tell me tonight All that we have been Was it nothing more than noise inside my head? Crashing down, crashing down In your avalanche Crashing down, crashing down   Carry me down Rolling in your arms 'Cause I can't remember ever falling this hard   Tell me tonight All that we have been Was it nothing more than noise inside my head? Carry me down Rolling in your arms 'Cause I can't remember ever falling this hard Tell me tonight All that we have been Was it nothing more than noise inside our heads? Crashing down, crashing down Was it nothing more than noise inside our heads? Crashing down, crashing down   I feel alive beside you And all at once, I am whole again",-0.3147,2,2,2,6,2,17,2,11,3,3
4,4,/songs/722515,David Cook,Bar-ba-sol,https://genius.com/David-cook-bar-ba-sol-lyrics,http://api.genius.com/songs/722515,David Cook,2008-11-18," When I woke up, I could see That daylight had already passed me It was such a fight to fade away asleep It's a fugue I'm on Falling to chase down the dawn And I fell every night, as it turns into light With my eyes just shut tight   Sailing all alone, thought I'd made it home But I threw it all away   Oh, where I've been, sold and spun again All before me like a dream Fallin' in between I feel sick, I feel nervous I know just what I did to deserve this Oh, I know it's not a dream   Keep it quiet, lay low Holdin' on to what I don't wanna know Til the daylight turns to ash and blows away Missin' keys, bloody nose Consequences of what I chose Keep runnin' into me, don't want my memory It all comes so deathly   Sailing all alone, I thought I'd made it home But I threw it all away   Oh, where I've been, sold and spun again All before me like a dream Fallin' in between I feel sick, I feel nervous I know just what I did to deserve this Oh, I know it's not a dream Oh, where I've been, sold and spun a...     Oh, where I've been, sold and spun again All before me like a dream Fallin' in between I feel sick, I feel nervous I know just what I did to deserve this Oh, I know it's not a dream Oh, where I've been, sold and spun again All before me like a dream Fallin' in between I feel sick, I feel nervous I know just what I did to deserve this Oh, I know it's not a dream",-0.8842,6,11,6,6,1,15,8,8,1,7
5,5,/songs/2318173,David Cook,Better Than Me,https://genius.com/David-cook-better-than-me-lyrics,http://api.genius.com/songs/2318173,Digital Vein,2015-09-18," You ain't even scared 'Cause you know I know you'll conquer it Yeah, you're finally getting there I wish I had it all 'cause I'd offer it  And it feels like a last stop And it feels like an open wound Whatever it is that you did to me You didn't have to be so soon So soon (But)   (Go on) (Go on) (Go be better than me) (Go on) (Go on) (Go be better than me) Go be better than me (Go on) (Go on)   Look beneath your feet The road rolls out in front of you And your soul to keep In the arms of Madison Avenue  And it hits like a running train And it hurts like being alive If you really gave up Then why'd you tell me I've become the shadow You the light   (Go on) (Go on) (Go be better than me) Go on, go be better than me (Go on) (Go on) (Go be better than me) Go be better Go be better (Go on) (Go on)   Hey, all the hot lights and the famous streets It's just the first step in forgetting me   (Go on) (Go be better than me) Go be better (Go on) Go on (Go be better than me) Go be better (Go on)",0.9925,4,2,1,2,2,3,4,2,1,2
6,6,/songs/1068852,David Cook,Breathe Tonight,https://genius.com/David-cook-breathe-tonight-lyrics,http://api.genius.com/songs/1068852,David Cook,2008-11-18," You broke when I just bent You cried; I never meant to break you down This time, did I steal the best... of you?   Can you breathe tonight? As the air is leaving you Scream tonight Like the words are new to you Can we go back to the last time my arms could carry you? Breathe tonight You're alive   Lost; don't leave me in the dark alone Shine a light Cause you're the road that got me home Cause I, I never knew that love was true Did you?   Can you breathe tonight? As the air is leaving you Scream tonight Like the words are new to you Can we go back to the last time my arms could carry you? Breathe tonight You're alive   You, you broke when I just bent Goodbye, only if you're over it   Can you breathe tonight? As the air is leaving you Scream tonight Like the words are new to you Can we go back to the last time my arms could carry you? Breathe tonight You're alive You're alive",-0.8063,4,8,3,6,6,8,11,6,5,9
7,7,/songs/2357233,David Cook,Broken Windows,https://genius.com/David-cook-broken-windows-lyrics,http://api.genius.com/songs/2357233,Digital Vein,2015-09-18," These two hearts are like a house along the fault line Cut our feet on nails and glass, walking the slow grind We locked up our love and we threw away the keys It’s hard to see you through these   Broken windows Looking so close Shattered pieces I can’t see through these Broken windows We could let go But I won’t give up If you won’t give up, oh   Crumbling walls and empty halls inside of your eyes These picture frames a tear away from saying goodbye But still, there’s glimpses of the way we used to be I’m trying to see you through these   Broken windows Looking so close Shattered pieces I can’t see through these Broken windows We could let go But I won’t give up If you won’t give up, oh   Built this place out of blood and bricks So we could still stand up when the world is shaking Tell me there’s a way we can somehow fix these Broken windows   Broken windows Looking so close Shattered pieces I can’t see through these Broken windows We could let go But I won’t give up If you won’t give up, oh Broken windows Looking so close Shattered pieces I can’t see through these Broken windows We could let go But I won’t give up If you won’t give up, oh",-0.9947,9,0,0,10,1,16,1,15,0,0
8,8,/songs/2357300,David Cook,But You Won't,https://genius.com/David-cook-but-you-wont-lyrics,http://api.genius.com/songs/2357300,Digital Vein,2015-09-18," It’s cold outside Just like the year before But I can’t help but feel like this is something new But it’s nothing more I remember goodbye It’s been tattooed on my eyes From the note you left beside the bed, the promises you made That you wrote inside   You could find your way home You could find your way home Baby, you could find your way home But you won’t But you won’t   So here I stand Just like the year before And I can’t help but understand you’re never coming back So there’s nothing more That I could say To make you never leave So please understand I can’t believe a single word you say When you’re telling me   You could find your way home You could find your way home Baby, you could find your way home But you won’t But you won’t   Now here we are Face to face again And you’re telling me you still can see us making this thing work That you still believe   We could find our way home We could find our way home Baby, we could find our way home But we won’t But we won’t",0.9718,0,1,0,0,4,2,5,1,1,2
9,9,/songs/2312289,David Cook,Carry You,https://genius.com/David-cook-carry-you-lyrics,http://api.genius.com/songs/2312289,Digital Vein,2015-09-18," This lightning's gonna strike Right through this heart of mine Again, again 'cause this rain ain't gonna stop And we're feeling every drop As they keep dancing on our heads   But you gotta hold on You gotta be strong Right here with me if it all goes wrong To keep you from harm Away in my arms Steer you away from the storm   When the sun won't come around And your world keeps washing out I won't let this love fall down I'll carry you I'll carry you   So let's run toward waiting lights 'Cause I know there's better skies Ahead, ahead Sand through an hourglass This flood is gonna pass And we'll still be standing, hand in hand   Oh, you gotta hold on You gotta be strong Right here with me if it all goes wrong To keep you from harm Away in my arms Steer you away from the storm",0.9089,5,2,1,5,3,9,7,2,3,2
