,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/1465569,Diana Ross,After You,https://genius.com/Diana-ross-after-you-lyrics,http://api.genius.com/songs/1465569,Diana Ross (1976),1976-02-10,Raining again I ought to get out from under Sometimes I wonder Sometimes I don't wonder at all  And as for loving again Somewhere somebody might need me But where would it lead me? I'd just be rising to fall  Love was easy to believe in When you wanted me yesterday But I couldn't feel the touch of time upon tomorrow  After you What am I gonna be? You took a part of me As you were passing through  After you How am I gonna find The me I left behind That I'll meet after you  Drifting again From place to place without reason Season to season I just keep running away  And as for people again I'm just a girl who discovers Now and then lovers Who never ask me to stay  Love was easy to believe in When I walked in the light of you Now I'm walking by myself And all I see is darkness  After you What am I gonna be? You took a part of me As you were passing through  After you How am I gonna find The me I left behind That I'll meet after you  Raining again I ought to get out from under Sometimes I wonder Sometimes I don't wonder at all  After you How am I gonna find The me I left behind That I'll meet after you  After you What am I gonna be You took a part of me As you were passing through  Raining again Raining again Raining again  After you What am I gonna be Raining again,0.9806,1,4,0,1,5,2,9,2,0,4
1,/songs/579785,Diana Ross,Ain't No Mountain High Enough,https://genius.com/Diana-ross-aint-no-mountain-high-enough-lyrics,http://api.genius.com/songs/579785,Diana Ross,1970-07-16," If you need me, call me No matter where you are No matter how far Just call my name I'll be there in a hurry On that you can depend and never worry You see, my love is alive It's like a seed that only needs the thought of you to grow So if you feel the need for company Please, my darling, let it be me   I may not be able to express The depth of the love I feel for you But a writer put it very nicely When he was away from the one he loved He sat down and wrote these words   No wind, (no wind) no rain, (no rain) Nor winter's cold Can stop me, babe (oh, babe) baby (baby) If you're my goal  No wind, no rain Can stop If you want to go   I know, I know you must follow the sun Wherever it leads But remember If you should fall short of your desires Remember life holds for you one guarantee You'll always have me  And if you should miss my love One of these old days If you should ever miss the arms That used to hold you so close, or the lips That used to touch yours so tenderly Just remember what I told you The day I set you free   Ain't no mountain high enough, aah Ain't no valley low enough Ain't no river wide enough To keep me from you  Ain't no mountain high enough Ain't no valley low enough (say it again) Ain't no river wide enough To keep me from you   Ain't no mountain high enough Nothing can keep me To keep me from you   Ain't no mountain high enough Ain't no valley low enough (one more time) Ain't no river wide enough (say it again) To keep me from you   Ain't no mountain high enough Nothing can keep me To keep me from you Nothing in this world",0.1605,0,13,0,1,9,3,14,2,1,8
2,/songs/1217690,Diana Ross,Ain't No Sad Song,https://genius.com/Diana-ross-aint-no-sad-song-lyrics,http://api.genius.com/songs/1217690,Everything Is Everything,1970-11-03,"Baby, the love we used to share Has faded day by day And now you wanna leave me So you're lookin' for away And if you see a tear in my eye It's not for you I cry  Don't you know I tried to make our love Like every love should be You say it ain't enough So you're walking out on me But if you can't find just what you want Don't you come runnin' back to me  Baby, I know you think I'm at home Cryin' the blues But remember darlin' Somebody else will want what you couldn't use Oh, yeah, what you couldn't use  Ain't no sad song Since you've been gone Ain't no sad song Since you've been gone You made me so very, very happy boy But if you don't wanna be mine  Hey, when will I stop lovin' you Oh baby, I don't know, I don't know All my friends give me advice They say hang on, girl Ooh, but I want him Hang on girl I don't need him  The clock didn't stop ticking 'Cause you let me be Time will let nobody Take your love from me  You made me so very, very happy boy But if you don't wanna be mine I know you wanna be With someone for yourself But I know you don't want me To be with no one else  Ain't no sad song Since you've been gone Ain't no sad song Since you've been gone Ain't no sad song Since you've been gone",0.9906,0,5,2,0,11,4,19,3,1,13
3,/songs/1413673,Diana Ross,Ain't No Sad Song (alternate lyrics),https://genius.com/Diana-ross-aint-no-sad-song-alternate-lyrics-lyrics,http://api.genius.com/songs/1413673,Everything Is Everything,1970-11-03,"Baby, the love we used to share Has faded day by day And now you wanna leave me So you're lookin' for away And if you see a tear in my eye It's not for you I cry  Don't you know I tried to make our love Like every love should be You say it ain't enough So you're walking out on me But if you can't find just what you want Don't you come runnin' back to me  Baby, I know you think I'm at home Cryin' the blues But remember darlin' Somebody else will want what you couldn't use Oh, yeah, what you couldn't use  Ain't no sad song Since you've been gone Ain't no sad song Since you've been gone You made me so very, very happy boy But if you don't wanna be mine  Hey, when will I stop lovin' you Oh baby, I don't know, I don't know All my friends give me advice They say hang on, girl Ooh, but I want him Hang on girl I don't need him  The clock didn't stop ticking 'Cause you let me be Time will let nobody Take your love from me  You made me so very, very happy boy But if you don't wanna be mine I know you wanna be With someone for yourself But I know you don't want me To be with no one else  Ain't no sad song Since you've been gone Ain't no sad song Since you've been gone Ain't no sad song Since you've been gone",0.9906,0,5,2,0,11,4,19,3,1,13
4,/songs/1084845,Diana Ross,Ain't Nothin' But a Maybe,https://genius.com/Diana-ross-aint-nothin-but-a-maybe-lyrics,http://api.genius.com/songs/1084845,Diana Ross,1970-07-16,"Could it be he's interested Or am I just wanting it to be so Do I dare speak to him Should I let the moment go  Forget this hunger inside Forget this hunger inside Should I let the feeling flow Should I just let it flow Ain't nothing maybe, baby I sure would like to know  Could it be he's just friendly That ain't nothing to get excited about On the other hand he could be answering Good vibrations I'm sending out  Well I just don't know What I'm really seeing Should I make a move Or keep on day dreaming  Ain't nothing maybe, baby I sure would like to I wanna know I wanna know I wanna know I sure would like to  Could it be he's interested Should I let the moment go Forget this feeling inside Forget this feeling inside  Should I let the feeling flow Should I just let it flow Ain't nothing maybe, baby I sure would like to I wanna know I wanna know I wanna know  Forget this hunger inside Forget this hunger inside Should I let the feeling flow Should I just let it flow Ain't nothing maybe Ain't nothing maybe, baby  Forget this hunger inside Forget this hunger inside Should I let the feeling flow Should I just let it flow Ain't nothing maybe, baby Ain't nothing maybe, baby Forget this hunger inside Forget this hunger inside",-0.7256,6,10,8,6,15,17,26,9,8,11
5,/songs/1753754,Diana Ross,All for One,https://genius.com/Diana-ross-all-for-one-lyrics,http://api.genius.com/songs/1753754,The Boss,1979-05-23,"All for one and one for all You live, you give, you have a ball  There's no need to live on an island Cause everyone here respects your opinion It all adds up to It's your strength we need So get behind and push If you don't want to lead  Cause it's all for one and one for all You live, you give, you have a ball  I don't know your future plans But divided I'm sure You will not stand I said all that to say There's an easier way If it's love that we share Then there's no debt to pay Cause we are all down here under the sky Won't you try Won't you try  We're all down here You're not alone You've been pushing and pulling and shoving Since the day you were born So let's try  All for one and one for all You live, you give, you have a ball And a smile will appear on your face Cause suddenly, suddenly the world is a beautiful place Cause it's all for one and one for all You live, you give, you have a ball  All for one and one for all You live, you give, you have a ball All for one and one for all Let's try, let's try You live, you give, you have a ball All for one and one for all You live, you give, you have a ball If it's love that we share Love that we share It's one for all All for one and one for all Get down inside Together",0.9909,0,6,0,0,10,1,15,1,3,9
6,/songs/1248218,Diana Ross,All Night Lover,https://genius.com/Diana-ross-all-night-lover-lyrics,http://api.genius.com/songs/1248218,Baby It's Me,1978-04-13,"Oooh, I was created for you So glad that I've waited for you  All night lover Use your magic power You can thrill me All night lover Thrill me by the hour  Every time you hold me You just about control me For so long, so strong I'm gettin' weaker  Each night with you Is like a beginning Oooh, renew me, do me Send that lovin' feelin' right through me  All night lover Ooh you light the fire All night lover Lovin' never tires  I don't wanna sleep now I got too much to keep now I dream, my dream When I'm wide awake  I can't believe the way you move me You shake me, you take me You don't know how happy you make me  Oooh, I was created for you So glad that I've waited for you More and more you, I adore you  All night lover Use your magic power You can thrill me All night lover Thrill me by the hour  Every time you hold me You just about control me Oooh, renew me, do me Send that lovin' feelin' right through me  All night lover oh you light the fire Baby, baby all night lover Thrill me by the hour you can thrill me All night lover Use your magic power I can't believe  You can thrill me You can move me, you can groove me All night lover Use your magic power, all night lover All night lover Use your magic power",0.9975,0,26,0,9,25,0,27,0,7,16
7,/songs/579825,Diana Ross,All of Me,https://genius.com/Diana-ross-all-of-me-lyrics,http://api.genius.com/songs/579825,Lady Sings the Blues (Original Motion Picture Soundtrack),1972-12-18," All of me Why not take all of me Can't you see I'm no good without you   Take my lips I want to lose them Take my arms I'll never use them   Your goodbye Left me with eyes that cry How can I go on, dear Without you  You took the part That once was my heart So why not take all of me  ",-0.296,1,1,1,1,1,2,2,2,2,1
8,/songs/1508842,Diana Ross,All of My Life,https://genius.com/Diana-ross-all-of-my-life-lyrics,http://api.genius.com/songs/1508842,Touch Me in the Morning,1983-01-01,All of my life I have walked alone In search of a star You are that star You're the one I've waited for You're the one I've waited for  All of my life There's a song to sing A chorus for two All that love can bring I'll share here with you You can make it all come true  So darling All of your life to share Is all I'm asking All of the minutes and the years All of your happiness And sometimes all your tears  So darling All of my life to share Is all I give you All of the flowers in the field We'll walk together through the sunsets and the years  So darling All of my life to share Is all I'll give you And all of the flowers in the field We'll walk together through the sunsets and the years All of my life There's a song to sing A chorus for two All that love can bring I'll share here with you You can make it all come true  So darling All of my life to share Is all I'm asking All of the minutes and the years All of your happiness And sometimes all your tears  So darling All of my life to share Is all I give you All of the flowers in the field We'll walk together through the sunsets and the years  So darling All of your life to share Is all I'm asking,0.9963,0,17,0,0,24,0,29,2,0,20
9,/songs/1646760,Diana Ross,All Of You,https://genius.com/Diana-ross-all-of-you-lyrics,http://api.genius.com/songs/1646760,Swept Away,1984-06-12,"I've never had this feeling before I've never wanted anyone more And something in your eyes tells me You feel the way that I do (I feel like you do)  If you would like to stay here all night You know that I would say It's all right 'Though I'm saying yes I confess I've got more on my mind 'Cause I want more of you Than your time  All of you, your body and soul Every kind of love you can express All the secret dreams you've never told I want everything And I'll take nothing less All of you as long as you live Everything you've never shared before I want all of you that you can give All your joys and all your sorrows Your todays and your tomorrows  How I long to feel the warmth of your touch And then if I'm not asking too much I'd like to spend my life wand'ring through All the wonders of you  And when we're lying close in the dark So close I feel each beat of your heart I want you to reveal what you feel All you hold deep inside There is nothing I want you to hide  All of you, your body and soul Everything you want this love to be I want all of you All that you can give And in return for all your giving Let me give you all of me  All of you, your body and soul Every kind of love you can express All the secret dreams you've never told I want everything (everything) everything All of you as long as you live (As long as you live) Everything you want this love to be I want all of you All that you can give In return (in return) I wanna give you",0.9879,2,7,2,3,8,4,10,3,1,6
