,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/445331,Dierks Bentley,5-1-5-0,https://genius.com/Dierks-bentley-5-1-5-0-lyrics,http://api.genius.com/songs/445331,Home ,2012-02-03," Ever since I met you girl, you been on my brain I can’t think of nothing else but you all night and day It’s like I got a first class seat up on Ozzy’s train It’s driving me insane   5-1-5-0, somebody call the po-po I’m going crazy, thinking ‘bout you baby 5-1-5-0, just this side of loco I’m going crazy, think I love you baby   I gotta get your number girl, I gotta call you up I gotta get you riding shotgun in my truck This little bit of you I’ve got, it ain’t good enough Yeah, you got me all messed up   5-1-5-0, somebody call the po-po I’m going crazy, thinking ‘bout you baby 5-1-5-0, just this side of loco I’m going crazy, think I love you baby   Cause I, ain’t never felt like this, no And I, I just need one kiss, from you And I’ll be good as new If I don’t get some of your sweet loving no telling what I might do   5-1-5-0, somebody call the po-po uhm I think I'm losing my mind girl 5-1-5-0, just this side of loco yeah yeah yeah yeah   5-1-5-0, somebody call the po-po I’m going crazy, thinking ‘bout you baby 5-1-5-0, spinning my head like a yo-yo I’m going crazy, think I love you baby",0.9851,11,4,0,7,14,11,15,7,4,6
1,/songs/2480633,Dierks Bentley,All the Way to Me,https://genius.com/Dierks-bentley-all-the-way-to-me-lyrics,http://api.genius.com/songs/2480633,Black,2016-05-27," Something 'bout George Jones on the headphones Truth through a microphone Livin' on and on and on in a melody Something 'bout starlight on Kansas The way a wheat field dances Fence posts as far as the eye can see   It just gets all the way to me It just gets all the way to me   Something 'bout the sound of crack in bottle tops Makes troubles fade and time stop Holdin' that cold somehow sets you free Or thinking back to who I was Saving up for that used truck Her Levi's laying on my Chevy seats   It just gets all the way to me It just gets all the way to me   It ain't like smoke gets in your clothes Naw, it cuts through my skin and digs in way down deep Soaks in like rain Burns like a flame Takes ahold of my soul underneath It just gets all the way to me It just gets all the way to me   Something 'bout a drawer full of yesterdays A hand-me-down knife and a last name And a shoebox full of roots from the family tree Something 'bout me and her And how our love turned into brown eyes looking up The sound of hardwood floors on little feet   It just gets all the way to me   It ain't like smoke gets in your clothes Naw, it cuts through my skin and digs in way down deep Soaks in like rain Burns like a flame Takes ahold of my soul underneath Just gets all the way to me Just gets all the way to me, hey   Something 'bout a wooden cross Forgiving sins and no love lost Gratitude I find on bended knee   It just gets all the way to me It just gets all the way to me It just gets all the way to me It just gets all the way to me It just gets all the way to me It just gets all the way to me It just gets all the way to me It just gets all the way to me, all the way to me",-0.067,9,3,2,2,5,14,11,3,1,6
2,/songs/445294,Dierks Bentley,Am I The Only One,https://genius.com/Dierks-bentley-am-i-the-only-one-lyrics,http://api.genius.com/songs/445294,Home ,2012-02-03," Well it was friday in the p.m And just like every weekend I was ready to throw down Yeah get a little tore up So I call my bros up to meet me out on the town Well wild man willy said I like to really But idol's on tv And ray had a date With his wife and Nate quit drinking But he didn't tell me   Am I the only one who wants to have fun tonight? Is there anybody out there who wants to have a cold beer Kick it to the morning light? If I have to raise hell all by myself I will but y'all, that ain't right It's time to get it on Am I the only one who wants to have fun tonight?   Well I was flying solo down at Silverado's The joint looking like a morgue When this country cutie with a rock and roll booty Came strutting in through the door Yelled who wants to dance and fired up the band with with a franklin and a shot of patron She looked right at me and said ""What's it gonna be Are you gonna let me to party alone?""   Am I the only one who wants to have fun tonight? Is there anybody out there who wants to have a cold beer Kick it to the morning light? If I have to raise hell all by myself I will but y'all, that ain't right It's time to get it on Am I the only one who wants to have fun tonight?   Am I the only one who wants to have fun tonight? Is there anybody out there who wants to have a cold beer Kick it to the morning light? If I have to raise hell all by myself I will but y'all, that ain't right It's time to get it on Am I the only one who wants to have fun tonight?   Come on come on Get your good time on Let's have a little fun tonight Let's have a little fun tonight Let's have a little fun tonight Let's have a little fun tonight",0.9922,7,16,4,6,15,14,19,5,3,3
3,/songs/445504,Dierks Bentley,Back Porch,https://genius.com/Dierks-bentley-back-porch-lyrics,http://api.genius.com/songs/445504,Riser,2012-08-21," Ain't no line around the corner, no security No velvet rope, no dress code, everybody's VIP You can wear your hat, dance in your bare feet No credit card, no roll of cash, just BYOB   Woah oh oh, chilling on a back porch Little hottie swinging up in the swings Them good old boys picking six strings Woah oh oh, leave your trouble at the door No cover charge, get in for free No last call, let's party on a back porch (Chilling on the back porch, oh yeah Chilling on the back porch, oh yeah)   Got a tin roof on the top just in case it rains Got a kiddy pool off the deck for those hot as hell days Got beer on ice, all day all night Now if that sounds like something you like come on     On a back porch Little hottie swinging up in the swings Them good old boys picking six strings No cover charge, get in for free No last call, so let's party on a back porch See ya on the back porch",0.9611,3,4,3,3,5,6,9,3,3,9
4,/songs/445299,Dierks Bentley,Bad Angel,https://genius.com/Dierks-bentley-bad-angel-lyrics,http://api.genius.com/songs/445299,Up On The Ridge,2010-06-08," Bad angel, get off of my shoulder Bad angel, let me be I'm standing at the cross roads Of Temptation and Salvation Street   I woke up bound and determined That I would not light it up today But one drag would stop my shaking Right now I could go either way    Well the cap is on the bottle And the bottle is on the shelf Should I take it or leave it? Honey, how am I going to help myself?     Well I know I should not gamble Cause I can't afford to lose She'd hang me from the rafters Put the laces in my old working shoes  ",0.4209,5,4,3,6,3,10,10,6,4,6
5,/songs/445241,Dierks Bentley,Band Of Brothers,https://genius.com/Dierks-bentley-band-of-brothers-lyrics,http://api.genius.com/songs/445241,Long Trip Alone,2006-10-17," I came up through the trenches where We only played for tips and alcohol You find out what you're made of when there Ain't no gold or platinum on the wall And there's a few more like me who Ain't of fighting for the cause   Me and my band of brothers we got you covered Out here on the honky tonk front lines We're loaded up with country music we ain't afraid to use it Even if we have to play all night Well we ain't no rookies it's our third tour of duty but that's all right Yeah that's all right Me and my band of brothers got you covered On the honky tonk front lines   From the bars of San Diego to the County dair way up in Bangor Maine We keep the tour bus rolling just like it was A big old Sherman tank Like those who came before us Owens, Haggard, Willie, Waylon, Jones and Hank (and Johnny Cash)  ",0.9435,2,1,0,2,2,3,5,2,0,4
6,/songs/445197,Dierks Bentley,"Bartenders, Etc...",https://genius.com/Dierks-bentley-bartenders-etc-lyrics,http://api.genius.com/songs/445197,Dierks Bentley,2003-08-19," Bartenders, Bar stools and Barmaids A jukebox and a pocket full of change Just a few of my favorite things Bartenders, Bar stools and Barmaids   Bartenders listen when you talk And bar stools are there when you can't walk And I'll always make a waitress my best Until the music stops and closing time begins   Outside lies a heart that's been broke And in here it's a world of song and smoke That way my eyes and ears can lie to me While I drink another shot of make believe  ",0.25,3,1,2,3,2,4,4,5,1,4
7,/songs/445272,Dierks Bentley,Beautiful World,https://genius.com/Dierks-bentley-beautiful-world-lyrics,http://api.genius.com/songs/445272,Feel That Fire,2009-02-03," All the noise and the voices are screaming what they have to say And the headlines and sound bites are giving me demons to hate And the man on TV, he tells me it's ugly but if you ask me it's a Beautiful world, it's a beautiful world There's tears and there's fears and there's losses and crosses to bear And sometimes the best we can do is just to whisper a prayer Then press on because There's so much to live for and so much to love in this   Beautiful world Say what you will but I still believe It's a beautiful world It's a beautiful world   And I know I'm not dreaming I just choose to believe it   So I hate that I sometimes miss what's right in front of my eyes And I know at the end of my road I'll be wanting more time Just another sunset One more kiss from my baby A smile from my friend, in this  ",0.9893,8,3,5,8,10,11,12,6,2,2
8,/songs/445279,Dierks Bentley,Better Believer,https://genius.com/Dierks-bentley-better-believer-lyrics,http://api.genius.com/songs/445279,Feel That Fire,2009-02-03," Life is seen more clearly through our tears Cause we all find some faith When we face our fears When my life's going like I want God becomes an after thought And I start trying to build my Heaven here   A better believer would look to the skies And shout ""hallelujah"" with tears in his eyes Open his heart and start giving it all away When I take a hard look at myself And count my blessings I can't but help But wonder if there's been some kind of mistake This life of mine should belong to a better believer   All we really need in life is love And in my time I've had more than enough But some days I'm not satisfied It happens to me all the time I look around instead of looking up   With all I've got to be thankful for I should be doing so much more I know  ",0.94,2,8,0,2,7,2,11,1,1,7
9,/songs/2474121,Dierks Bentley,Black,https://genius.com/Dierks-bentley-black-lyrics,http://api.genius.com/songs/2474121,Black,2016-05-14," The moon outside Too bright Those blinds, yeah, let's just keep 'em closed, you know My hands, they know where to go To find your finger tips Trace 'em back to your lips Take you on a trip Flip that switch   Make my world go black Hit me like a heart attack Knock me flat on my back, yeah, just keep doing that That thing you're doing there Brush me with your hair I swear I don't know how long that I can last Make my world go black, black Make my world go black, black   Like your dress on the floor Yeah the one you don't need anymore Black like a sky with no stars Just find me and fall into my arms   And make my world go black Hit me like a heart attack Knock me flat on my back, yeah, just keep doing that That thing you're doing there Brush me with your hair I swear I don't know how long that I can last Make my world go black, black Make my world go black, black   I don't wanna see a thing Baby I just wanna feel your touch, feel your rush I don't wanna see a thing I just wanna feel your love   Make my world go black Hit me like a heart attack Knock me flat on my back, yeah, just keep doing that That thing you're doing there Brush me with your hair I swear I don't know how long that I can last Make my world go black, black Make my world go black, black   Make my world go black, black I don't wanna see a thing (Black, black) I just wanna feel your touch, feel your rush (Black, black) (Black, black)",0.9382,6,4,0,3,3,32,14,25,1,11
