,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/701084,Elle King,Ain't Gonna Drown,https://genius.com/Elle-king-aint-gonna-drown-lyrics,http://api.genius.com/songs/701084,Love Stuff,2015-02-13," Train's coming, but I'm stuck on this road Moon's rising, and my blood is growing cold  Preacher man can't save a soul like mine Miracles are just too damn hard to find   Ain't gonna drown in the water Ain't gonna drown in the water Ain't gonna drown in the water 'Cause the good Lord ain't bringing me home   I'm bound for the broken promise land To meet my demons and get back my upper hand Law man can't catch a soul like mine Miracles are just too damn hard to find   Ain't gonna drown in the water Ain't gonna drown in the water Ain't gonna drown in the water 'Cause the good Lord ain't bringing me home   Law man can't catch a soul like mine Miracles are just too damn hard to find   Ain't gonna drown in the water Ain't gonna drown in the water Ain't gonna drown in the water 'Cause the good Lord ain't bringing me home Ain't gonna drown in the water Ain't gonna drown in the water Ain't gonna drown in the water 'Cause the good Lord ain't bringing me home",0.9928,5,9,8,14,10,23,15,14,9,15
1,/songs/3258103,Elle King,American Girl,https://genius.com/Elle-king-american-girl-lyrics,http://api.genius.com/songs/3258103,None,2015-05-04,"When she was an American Girl, raised on promises She couldn't help thinking that there Was a little more to life, somewhere else After all, it was a great big world With lots of places to run to And if she packed up, trying She got one little promise she was gonna keep Oh yeah, alright Take it easy baby, make it last all night (make it last all night) She was an American Girl!  Well, it was kinda cold that night She stood alone on her balcony Yeah, she could hear the cars roll by on the road 41 Like the waves crashing on the beach Checked for one desperate moment there He crimped back in her memory God, it's so painful something that's so close But still so far out of reach! Oh yeah, alright Take it easy baby, make it last all night (make it last all night) She was an American Girl!",0.949,1,1,1,2,6,3,5,1,0,3
2,/songs/709731,Elle King,America's Sweetheart,https://genius.com/Elle-king-americas-sweetheart-lyrics,http://api.genius.com/songs/709731,Love Stuff,2015-02-13," No, there ain't nothing that I gotta prove You think your words will make me black and blue But I, I think I'm pretty with these old boots on I think it's funny when I drink too much, hey You try and change me, you can go to hell Cause I don't want to be nobody else I like the chip I got in my front teeth And I got bad tattoos you won't believe   So kick out the jams, kick up the soul Pour another glass of that rock and roll Turn up the band, fire in the hole Gonna lose control tonight   What do you want from me? I'm not America's sweetheart So beat the drum with me, I'm not America's sweetheart Well, they say I'm too loud for this town So I lit a match and burned it down What do you want from me, I'm not America's sweetheart But you love me anyway   My hands are dirty and my heart is cold The boys I've been with say I got no soul When I, I meet another honey at the bar I'll think it's funny when I break his heart, mmm now My kind of medicine is whiskey straight I got a mouth to put you in your place And they, they said I'll never be the poster type But they don't make posters of my kind of life   So kick out the jams, kick up the soul Pour another glass of that rock and roll Turn up the band, fire in the hole Gonna lose control tonight   What do you want from me? I'm not America's sweetheart So beat the drum with me, I'm not America's sweetheart Well, they say I'm too loud for this town So I lit a match and burned it down What do you want from me, I'm not America's sweetheart But you love me anyway You love me anyway You love me anyway   So kick out the jams, kick up the soul Pour another glass of that rock and roll Turn up the band, fire in the hole Gonna lose control tonight Kick out the jams, kick up the soul Pour another glass of that rock and roll Turn up the band, fire in the hole Gonna lose control tonight   What do you want from me? I'm not America's sweetheart So beat the drum with me, I'm not America's sweetheart Well, they say I'm too loud for this town So I lit a match and burned it down What do you want from me, I'm not America's sweetheart But you love me anyway You love me anyway You love me anyway   I'm not America's sweetheart, no, no, no",-0.9941,14,11,8,11,20,18,33,18,6,16
3,/songs/3945736,Elle King,Baby Outlaw,https://genius.com/Elle-king-baby-outlaw-lyrics,http://api.genius.com/songs/3945736,Shake the Spirit,2018-10-19," I been runnin' since the day I was born I'm the definition of worn Shed a tear for each soul set free But that's what happens when you dance with me Pity the man that stands in my way I'm a nightmare, even in the day I'd be wise with which words you say 'Cause they could be the last breath you take Go ahead baby, tell me   Well I ain't nobody's baby Baby, I'm an outlaw Call me a criminal, maybe Baby, I'm an outlaw You know I ain't evil, but I ain't a saint Can't help it, I was born this way Yeah, baby, outlaw Oh, baby, I'm an outlaw   I was cornered in the desert by a man He took the pistol right from my hand As he put it to my temple, I asked Do you think it's gonna be that simple You see, I got a bullet for a tooth and I'm gonna use it to shoot you Even though you gotta gun to my head You'll be the one that ends up dead Go ahead baby, tell me   Well I ain't nobody's baby Baby, I'm an outlaw Call me a criminal, maybe Baby, I'm an outlaw You know I ain't evil, but I ain't a saint Can't help it, I was born this way Yeah, baby, outlaw Oh, baby, I'm an outlaw   And I looked him right between his eyes He was terrified I thought I told you not to babydoll me   Well I ain't nobody's baby Baby, I'm an outlaw Call me a criminal, maybe Baby, I'm an outlaw You know I ain't evil, but I ain't a saint Can't help it, I was born this way Yeah, baby, outlaw Little baby outlaw",0.7882,9,4,7,10,21,25,25,6,3,5
4,/songs/749303,Elle King,Catch Us If You Can,https://genius.com/Elle-king-catch-us-if-you-can-lyrics,http://api.genius.com/songs/749303,None,2015-04-12," I know I didn't choose you We've got no time left to lose Catch us if you can, catch us if you can The red and blue in the rear view   If I'm a fifth of whiskey You're the champagne If you're a wildflower I'm a grenade   We are the wild, we are the reckless Set every mile, they'll never catch us Our star won't fade We are the wild, we are the reckless Set every mile, they'll never catch us Hey, hey, hey, hey We are rebel runaways   Catch us if you can, catch us if you can Catch us if you can, catch us if you can   Mugshots and Jimmy Choo Diamonds and orange jumpsuits Catch us if you can, catch us if you can Looking real good on the evening news   If I'm a fifth of whiskey You're the champagne If you're a wildflower I'm a grenade   We are the wild, we are the reckless Set every mile, they'll never catch us Our star won't fade We are the wild, we are the reckless Set every mile, they'll never catch us Hey, hey, hey, hey We are rebel runaways   The prince with the manicure Handcuffs are prison couture Catch us if you can, catch us if you can   We are the wild, we are the reckless Set every mile, they'll never catch us We are the wild, we are the reckless Set every mile, they'll never catch us Our star won't fade We are the wild, we are the reckless Set every mile, they'll never catch us Hey, hey, hey, hey We are rebel runaways We are rebel runaways Catch us if you can, Catch us if you can We are rebel runaways We´re runaways We´re runaways We´re runaways Catch us if you can We are rebel runaways",-0.9732,15,5,1,17,5,37,7,12,29,5
5,/songs/3945748,Elle King,Chained,https://genius.com/Elle-king-chained-lyrics,http://api.genius.com/songs/3945748,Shake the Spirit,2018-10-19," We can runaway But we can't hide for long And all that lingers harms us I can lie to you But the truth comes alive Every time I die Saying goodbye   'Cause I don't want to change And I can't stay this way And I don't even mind staying chained And thinking of you Thinking of you   Is it up to me? It's always been up to you To find the peace we needed to Is it said and done Is it carved in the stone And how many days is it gonna take 'Til we get back home   'Cause I don't want to change And I can't stay this way And I don't even mind staying chained And thinking of you Thinking of you   Will you wake me up Will you shake me up 'Cause I'm losing my way in the game Even at our best, my love Neither one of us was every be good enough   And I don't know why I can't change And I will always stay this way And I don't even mind staying chained And thinking of you Thinking of you",0.9268,3,5,1,6,4,6,11,4,1,10
6,/songs/720473,Elle King,Ex's & Oh's,https://genius.com/Elle-king-exs-and-ohs-lyrics,http://api.genius.com/songs/720473,Love Stuff,2014-09-23," Well, I had me a boy, turned him into a man I showed him all the things that he didn't understand Whoa, and then I let him go Now, there's one in California who's been cursin' my name 'Cause I found me a better lover in the UK Hey, hey, until I made my getaway   One, two, three, they're gonna run back to me Cause I'm the best baby that they never gotta keep One, two, three, they're gonna run back to me They always wanna come, but they never wanna leave   Ex's and the oh, oh, oh's they haunt me Like gho-o-osts they want me to make 'em oh, oh, oh They won't let go Ex's and oh's   I had a summer lover down in New Orleans Kept him warm in the winter, left him frozen in the spring My, my, how the seasons go by I get high, and I love to get low So the hearts keep breaking, and the heads just roll You know that's how the story goes   One, two, three, they're gonna run back to me 'Cause I'm the best baby that they never gotta keep One, two, three, they're gonna run back to me They always wanna come, but they never wanna leave   Ex's and the oh, oh, oh's they haunt me Like gho-o-osts they want me to make 'em oh, oh, oh They won't let go Ex's and the oh, oh, oh's they haunt me Like gho-o-osts they want me to make 'em oh, oh, oh They won't let go Ex's and oh's   One, two, three, they gonna run back to me Climbing over mountains and a-sailing over seas One, two, three, they gonna run back to me They always wanna come, but they never wanna leave   My ex’s and the oh, oh, oh’s they haunt me Like gho-o-osts they want me to make ‘em oh, oh, oh They won’t let go Ex’s and the oh, oh, oh’s they haunt me Like gho-o-osts they want me to make ‘em oh, oh, oh They won’t let go Ex’s and oh’s",0.9807,0,3,1,5,6,9,7,3,3,3
7,/songs/2488240,Elle King,Good Girls,https://genius.com/Elle-king-good-girls-lyrics,http://api.genius.com/songs/2488240,Ghostbusters (Original Motion Picture Soundtrack),2016-06-03," I've been a-dancing in a devil's dirt I'm a whole lot of trouble in a itty-bitty skirt Well, the best kind of loving is the one that hurts You can get your kicks, but I'll get my purse I can take you down when the damned get wild There's a whole lot of sinning but they're greener for miles Three hits on the 6, there's a number that you dial You can be like me but I'm a real brat child   I do what the good girls don't I do what the good girls don't I do what the good girls should never ever, never ever do   Hey, hey, hey Since I'm gonna go to hell anyway I'll go out with a bang, bang, bang Crashing, burning all away Hey, hey, hey Since I'm gonna go to hell anyway I'll go out with a bang, bang, bang Crashing, burning all away   Well, I walked in the light and I lived in the sun Now I die for the night 'cause the days are done I kissed a couple of angels but it wasn't much fun So I shake, shake, shake it with an evil tongue   I do what the good girls don't I do what the good girls don't I do what the good girls should never ever, never ever do   Hey, hey, hey Since I'm gonna go to hell anyway I'll go out with a bang, bang, bang Crashing, burning all away Hey, hey, hey Since I'm gonna go to hell anyway I'll go out with a bang, bang, bang Crashing, burning all away   I do what the good girls don't I do what the good girls don't I do what the good girls should never ever, never ever do   Hey, hey, hey Since I'm gonna go to hell anyway I'll go out with a bang, bang, bang Crashing, burning all away Hey, hey, hey Since I'm gonna go to hell anyway I'll go out with a bang, bang, bang Crashing, burning all away   I do, what the good girls don't I do, what the good girls don't I do, what the good girls should never ever, never ever do",-0.9519,29,17,28,28,18,34,27,28,33,25
8,/songs/3944572,Elle King,Good Thing Gone,https://genius.com/Elle-king-good-thing-gone-lyrics,http://api.genius.com/songs/3944572,Shake the Spirit,2018-09-06," Never wanted to let you down Never wanted us to fight Oh, sweet love of mine I guess this is goodbye to you and I   Time is a stubborn affair The distance was too much to bear Oh, with a heavy heart I must leave the one I love   We could've tried a bit harder, mhm I could've practiced more patience, mhm Look at this good love we've wasted, uh-huh Another good thing gone   Neither one of us is wrong Neither one of us is right I never fully had faith, you see 'Cause I always knew you'd fall out of love with me   We could've tried a bit harder, mhm I could've practiced more patience, mhm Look at this good love we've wasted, uh-huh Another good thing gone   So why should I change If love always ends this way? You couldn't put down that last drink I couldn't get that shit past me   We could've tried a bit harder, mhm But I just ain't got that much patience, uh-uh Look at this good love we've wasted, uh-huh Another good thing gone Another good thing gone   What a shame Another good thing gone",0.9863,6,14,5,4,19,9,23,3,13,16
9,/songs/1956003,Elle King,Good to Be a Man,https://genius.com/Elle-king-good-to-be-a-man-lyrics,http://api.genius.com/songs/1956003,The Elle King EP,2012-06-11," It's good to be a man these days Don't have no conscious about my evil ways Don't ever feel bad for the awful things I say It's good to be a man these days To be a man would be serene Drinking beer till I get mean Chewing tabaco, kissing girl like life's a dream To be a man would be serene   And I bet it gets tiring Always having to be right Well I'd love to be a cheating man To fill those lonely nights   To be a man would be just fine My only worry would be my receding hair line I only give love that's on my own time To be a man would be just fine To be a man would be damn good I'd do dumb things 'cause I should Getting stuck in a ditch like my woman knew I would To be a man would be damn good  It's good to be a man these days It's good to be a man these days It's good to be a man these days It's good to be a man these days",0.9811,6,10,6,5,11,11,13,5,8,13
