,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/330226,Fall Out Boy,20 Dollar Nose Bleed,https://genius.com/Fall-out-boy-20-dollar-nose-bleed-lyrics,http://api.genius.com/songs/330226,Folie à Deux,2008-12-16," Have you ever wanted to disappear? And join a monastery Go out and preach on Manic Street? Who will I be when I wake up next to a stranger On a passenger plane? (Passenger plane)   Permanent jet lag Please take me back (Please take me back) Please take me back I'm a stray dog sick Please let me in (Please let me in) The mad key's tripping Singing vows before we exchange smoke rings   Give me a pen Call me Mr. Benzedrine But don't let the doctor in I wanna blow off steam and Call me Mr. Benzedrine (Mr. Benzedrine) But don't let the doctor Don't let the doctor in   It feels like fourteen carats but no clarity When I look at the man who would be king The man who would be king Goes to the desert, the same war his dad rehearsed Came back with flags on coffins and said ""We won, oh we won""   Permanent jet lag Please take me back (Please take me back) Please take me back I'm a stray dog sick Please let me in (Please let me in) The mad key's tripping Singing vows before we exchange smoke rings   Give me a pen Call me Mr. Benzedrine But don't let the doctor in I wanna blow off steam and Call me Mr. Benzedrine (Mr. Benzedrine) But don't let the doctor Don't let the doctor in   Ba ba ba ba benzedrine Bla bla bla benzedrine Ba ba ba ba ba benzedrine ah Ba ba ba ba benzedrine Bla bla bla benzedrine Ba ba ba ba ba benzedrine ah   Only one book really matters The rest of the proof is on the television, on the   Call me Mr. Benzedrine But don't let the doctor in I want to blow off steam Call me Mr. Benzedrine (Mr. Benzedrine) But don't let the doctor Don't let the doctor in  Have you ever wanted to disappear?   It's not me, it's you Actually, it's the taxidermy of you and me Untie the balloons from around my neck and ground me I'm just a racehorse on the track Send me back to the glue factory Always thought I'd float away And never come back But I've got enough miles on my card To fly the boys home on my own But you know me: I like being all alone And keeping you all alone And the charts are boring And the kids are snoring And my egos in a sling You say you're not listening and I said I'm wishing And I said... I said",5,6,6,8,3,17,27,8,0,25,0.4938
1,1,/songs/134850,Fall Out Boy,27,https://genius.com/Fall-out-boy-27-lyrics,http://api.genius.com/songs/134850,Folie à Deux,2008-12-16," If home is where the heart is, then we're all just fucked I can't remember, I can't remember And I want it so bad, I'd shoot the sunshine into my veins I can't remember the good old days   And it's kind of funny The way we're wearing anchors on our shirts When being anchored aboard Just feels like a curse   My mind is a safe, and if I keep it, then we all get rich My body is an orphanage, we take everyone in Doing lines of dust and sweat off last night's stage Just to feel like you   The m-m-milligrams in my head burning tobacco in the wind Chasing the direction, chasing the direction you went You're a bottled star, the planets align, you're just like Mars You shine in the sky, you shine in the sky   Are all the good times getting gone? They come and go and go and come and go, oh yeah I've got a lot of friends who are stars But some are just black holes   My mind is a safe, and if I keep it, then we all get rich My body is an orphanage, we take everyone in Doing lines of dust and sweat off last night's stage Just to feel like you   And it's kind of funny The way we're wearing anchors on our shirts When being anchored aboard Just feels like a curse   My mind is a safe, and if I keep it, then we all get rich My body is an orphanage, we take everyone in Doing lines of dust and sweat off last night's stage Just to feel like you   If home is where the heart is Then we're all just fucked",4,5,3,7,11,10,17,4,2,10,0.9697
2,2,/songs/330223,Fall Out Boy,7-9 Legendary,https://genius.com/Fall-out-boy-7-9-legendary-lyrics,http://api.genius.com/songs/330223,Unreleased/Demos,2009-05-28," I got that midnight tennis elbow Got the solitaire rugburn Took a turn An ace up my sleeve (so to speak)   I want to choke And get sick off of you Like secondhand smoke You got me sweating like Calcutta nights Just heat and epiphany   I am a wing (wing) I'm a prayer (prayer) A thimble and an acorn A promise from a poor apothecary To an understudy in love forlorn  I'll give you heatstroke I'm getting you and I'm losing me   We'd get legendary Tonight little darlin' Uh huh, little darlin' But I've got a nomadic head I love you but I've caught the doom and the dread  We'd get legendary Tonight little darlin' Uh huh, little darlin' But I've got a nomadic head I love you but I've caught the doom and the dread",3,2,1,4,4,9,7,4,0,1,-0.431
3,3,/songs/131338,Fall Out Boy,7 Minutes in Heaven (Atavan Halen),https://genius.com/Fall-out-boy-7-minutes-in-heaven-atavan-halen-lyrics,http://api.genius.com/songs/131338,From Under the Cork Tree,2005-05-03," I'm sleeping my way out of this one With anyone who will lie down I'll be stuck fixated on one star When the world is crashing down   I keep telling myself I keep telling myself I'm not the desperate type But you've got me looking in through blinds I keep telling myself I keep telling myself I'm not the desperate type   Sitting out dances on the wall Trying to forget everything that isn't you I'm not going home alone 'Cause I don't do too well Sitting out dances on the wall Trying to forget everything that isn't you I'm not going home alone 'Cause I don't do too well on my own   The only thing worse than not knowing Is you thinking that I don't know I'm having another episode I just need a stronger dose   I keep telling myself I keep telling myself I'm not the desperate type But you've got me looking in through blinds I keep telling myself Keep telling myself I'm not the desperate type   Sitting out dances on the wall Trying to forget everything that isn't you I'm not going home alone 'Cause I don't do too well Sitting out dances on the wall Trying to forget everything that isn't you I'm not going home alone 'Cause I don't do too well   Ta-ta-ra, ta-ta-ra Ta-ra-ra-ra Doo, doo, doo   I keep telling myself I keep telling myself I'm not the desperate type But you've got me looking in through blinds I keep telling myself Keep telling myself I'm not the desperate type   Sitting out dances on the wall Trying to forget everything that isn't you I'm not going home alone 'Cause I don't do too well on my own",1,1,1,1,6,16,13,2,0,12,-0.2165
4,4,/songs/131344,Fall Out Boy,"A Little Less Sixteen Candles, a Little More ""Touch Me""",https://genius.com/Fall-out-boy-a-little-less-sixteen-candles-a-little-more-touch-me-lyrics,http://api.genius.com/songs/131344,From Under the Cork Tree,2006-06-06," I confess, I messed up Dropping ""I'm sorry"" like you're still around And I know you dressed up ""Hey, kid, you'll never live this down""   And you're just the girl all the boys want to dance with And I'm just the boy who's had too many chances I'm sleeping on your folks' porch again, dreaming She said, she said, she said ""Why don't you just drop dead?""   I don't blame you for being you But you can't blame me for hating it So, say, what are you waiting for? Kiss her, kiss her I set my clocks early 'cause I know I'm always late   Write me off, give up on me 'Cause darling, what did you expect? I'm just off, a lost cause A long shot, don't even take this bet   You can make all the moves, you can aim all the spotlights Get all the sighs and the moans just right I'm sleeping on your folks' porch again, dreaming She said, she said, she said ""Why don't you just drop dead?""   I don't blame you for being you But you can't blame me for hating it So, say, what are you waiting for? Kiss her, kiss her I set my clocks early 'cause I know I'm always late   Always on You said you'd keep me honest (Always on) But I won't call you on it (Always on)   I don't blame you for being you But you can't blame me for hating it So, say, what are you waiting for? Kiss her, kiss her I set my clocks early 'cause I know I'm always late   I set my clocks early 'cause I know I'm always late",11,12,9,3,9,18,17,8,9,11,0.9848
5,5,/songs/138297,Fall Out Boy,Alone Together,https://genius.com/Fall-out-boy-alone-together-lyrics,http://api.genius.com/songs/138297,Save Rock and Roll,2013-08-06," I don't know where you're going But do you got room for one more troubled soul? I don't know where I'm going But I don't think I'm coming home And I said, I'll check in tomorrow if I don't wake up dead This is the road to ruin and we're starting at the end   Say, yeah Let's be alone together We could stay young forever Scream it from the top of your lungs Say, yeah Let's be alone together We can stay young forever We'll stay young, young, young, young, young Uh, uh, uh, uh-oh   Cut me off, I lost my track It's not my fault, I'm a maniac It's not funny anymore, no it's not My heart is like a stallion, they love it more when it's broken Do you wanna feel beautiful, do you wanna, yeah   I'm outside the door, invite me in So we can go back and play pretend I'm on deck, I'm up next Tonight I'm high as a private jet Because   I don't know where you're going But do you got room for one more troubled soul? I don't know where I'm going But I don't think I'm coming home And I said, I'll check in tomorrow if I don't wake up dead This is the road to ruin and we're starting at the end   Say, yeah Let's be alone together We could stay young forever Scream it from the top of your lungs Say, yeah Let's be alone together We can stay young forever We'll stay young, young, young, young, young Uh, uh, uh, uh-oh   My heart is like a stallion, they love it more when it's broken Do you wanna feel beautiful, do you wanna, yeah   I'm outside the door, invite me in So we can go back and play pretend I'm on deck, I'm up next Tonight I'm high as a private jet, yeah   Let's be alone together We could stay young forever Scream it from the top of your lungs Say, yeah Let's be alone together (yeah) We could stay young forever (yeah) We'll stay young-yo-yo-young   I don't know where you're going But do you got room for one more troubled soul? I don't know where I'm going But I don't think I'm coming home And I said, I'll check in tomorrow if I don't wake up dead This is the road to ruin and we're starting at the end",6,30,3,9,24,13,41,7,23,17,0.7801
6,6,/songs/138702,Fall Out Boy,Alpha Dog,https://genius.com/Fall-out-boy-alpha-dog-lyrics,http://api.genius.com/songs/138702,Believers Never Die - Greatest Hits,2009-10-26," Clap until your hands hurt Standing ovations or (boo-boo-boo) boos Wa-watch us until we blur Walk off into the sunset  Tell rock n' roll I'm alone again I wanna put the Midwest home again Your time has passed, they say never means never Solar flare stares won't last, but never means forever Never means forever   Alpha dog and oh, oh, Omegalomaniac Alpha dog and oh, Omega-megalo Welcome to the new déjà vu I can almost see the wizard through the curtains Alpha dog and oh, oh, Omegalomaniac   We must have the best coats Tell the best jokes We must make it hard to look so easy Doing something so hard  You must see my wink They squint when they look at me I'm a, I'm a star I'm a, I'm a star I'm a star Oh, I'm a star   Alpha dog and oh, oh, Omegalomaniac Alpha dog and oh, Omega-megalo Welcome to the new déjà vu I can almost see the wizard through the curtains Alpha dog and oh, oh, Omegalomaniac   You're not the first or the last But you're possibly the prettiest, whoa He's a fighter past his prime He's in the gutter waving his hand, ""I'm just fine""  You're not the first or the last But you're possibly the prettiest, whoa He's a fighter past his prime He's in the gutter waving his hand   Alpha dog and oh, oh, Omegalomaniac Alpha dog and oh, Omega-mega-lo Welcome to the new déjà vu I can almost see the wizard through the curtains Alpha dog and oh, oh, Omegalomaniac   Whoa, oh, whoa (Abracadabra) Whoa, oh, whoa",1,11,2,2,5,8,13,2,3,5,0.9951
7,7,/songs/592919,Fall Out Boy,American Beauty/American Psycho,https://genius.com/Fall-out-boy-american-beauty-american-psycho-lyrics,http://api.genius.com/songs/592919,American Beauty/American Psycho,2014-12-15," She's an American beauty I'm an American psycho She's an American beauty I'm an American I'm an American American Psycho I'm an American I'm an American I'm, I'm, I'm an American psycho   I think I fell in love again Maybe I just took too much cough medicine I'm the best worst thing that hasn't happened to you yet The best worst thing You take the full, full truth, then you pour some out You take the full, full truth, then you pour some out And you can kill me, kill me or let God sort ‘em out And you can kill me, kill me or...whoa   She's an American beauty I'm an American psycho She's an American beauty I'm an American I'm an American American Psycho I'm an American I'm an American I'm, I'm, I'm an American psycho   I wish I dreamt in the shape of your mouth But it's your thread count I really care about Stay up 'til the lights go out Stay up, Stay up You take the full, full truth, then you pour some out You take the full, full truth, then you pour some out And as we're drifting off to sleep All those dirty thoughts of me They were never yours to keep, keep, whoa   Altar boys, altered boys We’re the things that love destroys (I'm an American...I'm an American) You, me, us, them We’re just resurrection men (I'm an American...I'm an American) Us, we were only meant, to make you live again (I'm an American...I'm an American) Us, we were pity sex, nothing more and nothing less (I'm an American)   She's an American beauty I'm an American psycho She's an American beauty I'm an American I'm an American American Psycho I'm an American I'm an American I'm, I'm, I'm an American psycho",0,3,4,5,10,9,24,6,1,7,0.9678
8,8,/songs/330225,Fall Out Boy,American Boy,https://genius.com/Fall-out-boy-american-boy-lyrics,http://api.genius.com/songs/330225,Covers,2018-02-21," Just another one champion sound We about to get down Who the hottest in the world right now Just touched down in London town Bet they give me a pound Tell them put the money in my hand right now Tell the promoter we need more seats We just sold out all the floor seats Take me on a trip, I'd like to go some day Take me to New York, I'd love to see LA I really want to come kick it with you You'll be my American Boy",3,2,1,0,3,4,3,0,2,2,0.9371
9,9,/songs/240753,Fall Out Boy,American Made,https://genius.com/Fall-out-boy-american-made-lyrics,http://api.genius.com/songs/240753,PAX•AM Days,2013-10-15, When I was younger I couldn't wait for the days to pass Now I know they'll never last And I just want my childhood back I just want my childhood dead I- I just wanna take it back   Cargo and despair All American made Let's see who burns the truest in the flame  Cargo and despair All American made Let's see who burns the truest in the flame Huh   When I was younger I couldn't wait for the days to pass And now I know they'll never last And I just want my childhood back I just want my childhood dead I- I just wanna take it back   Cargo and despair All American made Let's see who burns the truest in the flame   Whoo! Fuckin' flames,3,2,3,3,4,5,6,3,0,0,-0.7088
