,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/259099,Far East Movement,2gether,https://genius.com/Far-east-movement-2gether-lyrics,http://api.genius.com/songs/259099,Free Wired,2010-10-12,"We can get together  Now I don't usually do this But I ain't myself tonight I wanna drink a lil mo, mo Forget it all, all And dance till I'm dead, dead, dead on the floor (floor)   This is club is goin' crazy You've got me goin' crazy This DJ's goin crazy And now I'm elevated We havin' fun in here So hands up in the air We havin fun in here So get your hands up in the air   (2x) We can get together So get your hands up in the air Right here, right now  I-I-I been loving my whole life But something feels different tonight I been jumpin' my whole life But you got me jumpin' tonight (tonight)   We can get together Right here, right now   (2x) Tonight I don't care We waited all year Everyone shine Get yo hands in the air (air)   (2x) We can get together So get your hands up in the air Right here, right now",-0.9622,3,2,0,3,4,4,7,3,0,4
1,/songs/1826257,Far East Movement,2 Is Better,https://genius.com/Far-east-movement-2-is-better-lyrics,http://api.genius.com/songs/1826257,Free Wired,2010-10-29,"(feat. Ya Boy, Natalia Kills)   I like girls that like girls So they have an open invitation to my world If you know one, I am open to referrals So go and tell a girl to tell a girl to tell a girl (girl girl girl) I like girls that like me So you and me and her can have a fun menag-a-three Let's party in the club, in the whip or in the sheets Doesn't matter how we party, long as I am inbetween   There's something about her, there's something about you There's something about us, that makes me just want to So we can have Fun fun fun fun fun Cause 2 is better than 1   Pink ring on, Hes so pimpin, Louis V on, shes so temptin When I met her she was like he Different Just try it girl stop trippin Turn the club to a bedroom, you and her, we got leg room Did you hear what I said boo? I want you, and your friend too We can do all the above, ya'll gonna make a nigga fall in love BFFs and it's all because, you both use me like a party drug Now tell me how you want YB, grab her arm and just stay by me I'll show you how to have some fun, the number 1 rule is 2s better than 1   There's something about her, there's something about you There's something about us, that makes me just want to So we can have Fun fun fun fun fun Cause 2 is better than 1   I see you, you see me, I see her too let's be 3 Don't hate, you can all get some, 2 is better than 1 I know shes down, call her up, roll on thru let's get messed up Don't hate, you can all get some, 2 is better than 1   2 is Better than 1, 2 Is Better than 1   There's something about her, there's something about you There's something about us, that makes me just want to So we can have Fun fun fun fun fun Cause 2 is better than 1",0.9987,4,20,3,4,20,8,23,4,1,5
2,/songs/788128,Far East Movement,3D,https://genius.com/Far-east-movement-3d-lyrics,http://api.genius.com/songs/788128,Animal,2010-10-12,"I wanna see you in 3D Lemme see you in 3D X4  There's something mysterious about you Now I can't leave this club without you Girl, I'm just so curious, so curious Stop playin' babe, no mo guessin' games Don't leave me so curious  You the hottest chick that I've seen this far Shutter shades on gotcha glowin' in the dark Seen you at the club wanna know who you are Baby hop in the space ship we can go to Mars We can go to Mars, ya I know whattcha 'bout You got them fly kicks with the tongues hangin' out I like yo red lips to ya finganail tips But chu need a little mo than a myspace pic  All my 3D girls, puttcha hands in the air Wit cher neon nails, gottcha hands in the air With yo LV bag, you the one right there All my fresh females rockin' all the right gear Wit cha skytops on, you the one right there Ya the girl got swag, you're the one right there 'cause I like yo style, you make me stare All my 3D girls, gottcha handsi n the air  There's something mysterious about you Now I can't leave this club without you Girl, I'm just so curious, so curious Stop playin' babe, no mo guessin' games Don't leave me so curious  I wanna see you in 3D Lemme see you in 3D X4  Lemme use my imagination Somethin' 'bout you got me fascinated Is it the way that chu got me faded I'm seeing stars like constellations Constellations, lemme set the mood Right to the moon, I can get a better view If it takes two, then it's me + you 'cause you're so 3D, lemme get a preview  All my 3D girls, puttcha hands in the air Wit cher neon nails, gottcha hands in the air With yo LV bag, you the one right there All my fresh females rockin' all the right gear Wit cha skytops on, you the one right there Ya the girl got swag, you're the one right there 'cause I like yo style, you make me stare All my 3D girls, gottcha handsi n the air  There's something mysterious about you Now I can't leave this club without you Girl, I'm just so curious, so curious Stop playin' babe, no mo guessin' games Don't leave me so curious There's something mysterious about you Now I can't leave this club without you Girl, I'm just so curious, so curious Stop playin' babe, no mo guessin' games Don't leave me so curious  I wanna see you in 3D Lemme see you in 3D X4",0.9941,3,6,0,4,2,13,14,9,12,5
3,/songs/725547,Far East Movement,A Beautiful Day,https://genius.com/Far-east-movement-a-beautiful-day-lyrics,http://api.genius.com/songs/725547,Animal,2010-10-12," My, what a day and I got what it takes I got that keep on, keep on, keep on Got that keep on, keep on, keep on  It's a beautiful day, it's a beautiful day It's a beautiful day in the neighborhood It's a beautiful day, it's a beautiful day So won't you, won't you be my neighbor?  Sunblock, flip flops, pack of smokes Two turn tables and my boxer shorts I'm ready for the beach, so I hop in the ride But then I run back in my house to kiss my mama good bye It's Californ-I-A and I ain't got no complaints Cause I skip my jay-o, hey o, so come out and play Hit the PCH and meet me down by the pier In between two ladies on top of the ferris wheel Warm weather and blue skies This the type of day where I'm happy to be alive Feels like father time and mother nature were making love Nine months ago and today they have a son    Yo, hopscotch, ice cream, hoop dreams at the park Palm trees, light green, oh E after dark Just a typical day, such a beautiful day And I'm trying to make due with my minimal pay Two tacos, one buck, late night at the trucks 64s, dip low, everybody liquored up Ain't no reason to drip, so let the good times roll Please do yourself a favor and let the good vibes flow Cause we getting too old to be fighting like children Lemme see you smile and enjoy that feeling Got nothing but love, it's all hugs and dabs Get yo three fingers up, we all folks and fam  Come to a place where you can get away Won't you come and be with me in the neighborhood It's a beautiful day  It's a beautiful day, it's a beautiful day It's a beautiful day in the neighborhood It's a beautiful day, it's a beautiful day So won't you, won't you be my neighbor?  Ha, headphones, iPod, packed my back (check) Wallet, skateboard, breakfast jack (check) Jamming through downtown, wheels go round round I'm about to pass out, piss on my past now Bus on the one way, no going back now Beautiful fun day, showing the Monday Lunch time: tuna sandwich and a coke (check) Pen, no book and a pack of Newports (check) City of Angels, city don't slow down Gotta keep moving because my mama don't know how You loosing what I found, right under your nose Everyday is beautiful as long as you grow it    Come to a place where you can get away Won't you come and be with me in the neighborhood It's a beautiful day",0.9994,5,29,4,2,38,9,47,6,10,23
4,/songs/780892,Far East Movement,ACID (Dirty Bass ReFlip),https://genius.com/Far-east-movement-acid-dirty-bass-reflip-lyrics,http://api.genius.com/songs/780892,None,2018-10-26,"Acid Acid Acid Acid I love, I love, I love Dirty bass I love, I love, I love Dirty bass I love, I love, I love Dirty bass I love, I love, I love Dirty My girl's from acid I love, I love, I love I love that acid I love that Bass I love that Bass I love that I'll bang that woofer, if she's a looker I'm cruising Hollywood & Vine, I don't want no hooker I need a 5'4 freak for this FM creep Let's take it back to the motel, now I'm in too deep I make girls jiggle, right down the middle My girl's from Assadena, she ain't that ghetto She likes to sip the pub, VIP at the club But when it comes to bass, my girl got a big trunk Dig the way that you roll, put your bass down low You can come to the crib What you here for? Ain't that what you here? I'm going HAM when the beat drop Got beef, eat it like a pork chop And the bass pump, pump like a Reebok Sitting so high in the Phantom like a tea cup Hit thriller bang at a scandal Big Willie, chilling on the big Willah Your girl icky Give me lick, licky No smalls, all biggie, biggie And she bop to the beat Back it up, hear the beep, beep Come to L.A., life on the beach And she give me brain Club popping, dirty bass, girls dropping Young Money, cash, got it Now shake that ass, dunk it I dip low when I feel loco Don't trip, make a dip like a lo-lo Make a dip like a lo-lo Make a dip like a lo-lo Make a dip like a lo-lo My girl's from acid I love that I love that acid I love that I, I I love that I I love that I love that I love that I love that",0.9983,5,3,9,6,31,23,33,3,5,4
5,/songs/1620594,Far East Movement,Ain't Coming Down,https://genius.com/Far-east-movement-aint-coming-down-lyrics,http://api.genius.com/songs/1620594,Dirty Bass,2013-07-23," Higher now over it all Livin' it up I ain't coming down Coming down Coming down, down, down Higher now over it all Livin' it up I ain't coming down Coming down Coming down, down, down  [Verse 1 - J-Splif:] Yo, I got a crazy feelin' like Something's going down Everybody's jumping Grass monkey to the sound (Grass money) I see you covered in gold From the window to the wall Dirty bass is in your boombox Banging tron   (I would've take you higher) Let me see your hands up in the air (Ain't nobody flier) 'Cause ain't nobody booming like it's here (In this party right here) We keeps the dirty bass We don't care We going higher and higher And we ain't coming down   Higher now over it all Livin' it up I ain't coming down Coming down Coming down, down, down Higher now over it all Livin' it up I ain't coming down Coming down Coming down, down, down   Check it out yo Every night's a movie night When you ride with me (It's a movie) White girls in the boot Peeling clothes like Tanturines (Make it straight) I need reinforcements, bring the bass That submarines 'Cause we on girls on girls on girls So when we teen Dirty bass   (I would've take you higher) Let me see your hands up in the air (Ain't nobody flier) 'Cause ain't nobody booming like it's here (In this party right here) We keeps the dirty bass We don't care We going higher and higher And we ain't coming down   Higher now over it all Livin' it up I ain't coming down Coming down Coming down, down, down Higher now over it all Livin' it up I ain't coming down Coming down Coming down, down, down   I wanna take you higher Ain't nobody flier In this party right here We going higher And higher And higher And higher And higher And higher We ain't coming down We ain't coming down Dirty bass Higher, higher We ain't coming down Ain't coming down",-0.4178,2,26,5,1,2,6,6,1,1,5
6,/songs/2963705,Far East Movement,All About Me,https://genius.com/Far-east-movement-all-about-me-lyrics,http://api.genius.com/songs/2963705,Folk Music,2006-08-04," Yes, it is me-time Sing it 'em Jane   I won't play no more games Ain't no shame, in my way It's not about you, you It's all about me, me All I need is some time To get my peace of mind It's not about you, you It's all about me, me   Aight like this, hey I keep it real as you do you You always say nothing fades what we been through We on the phone every night till quarter past two Picking a fight like we live on paper view I'm out of air, need to give a brah some space I don't care, 'cause this ain't the time nor place I'm through with you, and back to me Find a leave, Kev Nish living half a league  [Verse 2: J-Splif] You can call me selfish but I need my space Delete you of my list, us two is passé Time to party, the wicked witch is dead No more fighting for the sheets, put your ass in bed You're all I needed so please give the step in Don't ever call again and don't ever leave a message It was good livin', time to set myself free I don't care about your feelings, it's all about me   I won't play no more games Ain't no shame, in my way It's not about you, you It's all about me, me All I need is some time To get my peace of mind It's not about you, you It's all about me, me   Goddamnit girl, why you call agian Give me some room, I need the oxygen You know me, I gotta concentrate So I ain't really have time for us to conversate Ain't much for you to contemplate 'Cause we had our time, now be on your way (See ya) I got a past like [?] Why you take it serious, it was just a date   Say hey, hey it's all about me I ain't got what you looking for Pass it on, move along   All I need is some time To get my peace of mind It's not about you, you It's all about me, me   And I don't waste no time, I'm at the club at 8 And I don't wait in line, you know how I play Tonight's all about me, I'm the VIP I ain't looking for love, so love better find me Loving what I'm doing, it ain't that confusing You ain't coming home so I'm gonna have to keep it moving Y'all know how we do it, never stop the music Keep the party going with the far east movement   I won't play no more games Ain't no shame, in my way It's not about you, you It's all about me, me All I need is some time To get my peace of mind It's not about you, you It's all about me, me It's time to unwind Leave your problems behind It's not about you, you It's all about me, me All I need is tonight To get my peace of mind It's not about you, you It's all about me, me   Shut the do', there's a draft coming in",0.9878,5,24,7,8,12,16,20,10,5,16
7,/songs/787873,Far East Movement,All Night,https://genius.com/Far-east-movement-all-night-lyrics,http://api.genius.com/songs/787873,Animal,2010-10-12,"Where we can do it all, (night) All night long, all (all night) Yeah, until the break of day (all night) Where we can do it all, (night) All night long, (all night) Yeah, until the music fades  She wanna, Come party Fiesta, forever Come'on celebrate She wanna, Come party Fiesta, forever So DJ play my song (yeah)  Pretty young thing got me hypnotized I'm sprung off the crib tonight {or kryptonite??} Babygirl lemme spend the night Just can't get you out my mind The way you shine, you're a superstar Hottest one on the boulevard What you drinkin? Cos I'm at the bar Don't be shy you can have it all Movin at the speed of light Dance cos the feelin's right You and me tonight Oh what a feelin, this can't be life  Where we can do it all, (night) All night long, all (all night) Yeah, until the break of day (all night) Where we can do it all, (night) All night long, (all night) Yeah, until the music fades  She wanna, Come party Fiesta, forever Come'on celebrate (yeah) She wanna, Come party Fiesta, forever So DJ play my song (yeah)  Oh yeah, party with your hands in the air Like dang, lemme see you pop champagne Like yeah, baby look good all night And damn, we can get lost when the music plays Hey mama, say mama, star Girl you look good with the club lights on Freaks on the dance floor getting it on  And, all I wanna do is sing along Like Yeah, all my ladies wanna stay right here Bounce in the club like it's a new year You get to drink up like a million men And it would be okay (we don't care)  Where we can do it all, (night) All night long, all (all night) Yeah, until the break of day (all night) Where we can do it all, (night) All night long, (all night) Yeah, until the music fades  She wanna, Come party Fiesta, forever Come'on celebrate (yeah) She wanna, Come party Fiesta, forever So DJ play my song  Go D, this is how it goes with an MVP Playa for life, I'm from the 213 Pop your heart (??), then have your drinks on me Lets get it poppin, betta get like me Dance floor poppin, lean and a rockin Check my options, damn you sparkle But still look flawless, everybody pause And there's so many girls but it's you {...this line I'm not sure about} Sh-sh-sh-sh-she's picture perfect, so incredible This girl, she's my sweet escape One look at her, and you already know She's come to my secret hideaway  Where we can do it all, (night) All night long, all (all night) Yeah, until the break of day (all night) Where we can do it all, (night) All night long, (all night) Yeah, until the music fades  She wanna, Come party Fiesta, forever Come'on celebrate She wanna, Come party Fiesta, forever So DJ play... my... song (yeah)",0.9981,2,26,2,1,27,10,32,7,19,22
8,/songs/1984454,Far East Movement,Animal,https://genius.com/Far-east-movement-animal-lyrics,http://api.genius.com/songs/1984454,Animal,2009-01-27," Animal I'm an animal Animal   I'm an animal (a-aa-a-a-a-a-a-aa) I'm an animal (a-aa-a-a-a-a-a-aa-animal) The world is filled with pimps and hoes I'm an animal inside my skin and bones   I'm an animal, a freak without warning Hustling from dusk to dawn and I give high mileage and great performance Take a ride you can feel the horses Proh is all business, bounty hunter Welcome to the jungle, bust ya Get attached, nah I ain't your man I swing like the new tarzan And I'm out for my next prey, can't delay Lioness thru the glass of the mandalay I get that play then I'm on my way Don't love them hoes, just love the chase   I'm an animal (a-aa-a-a-a-a-a-aa) I'm an animal (a-aa-a-a-a-a-a-aa-animal) The world is filled with pimps and hoes I'm an animal inside my skin and bones  [Verse 2: J-Splif] I'm a beast with no leash and I reign supreme Keep it fresh, keep it clean in the place to be Only dream, makin cream and inhaling green Got my team on the scene and we make you scream Midnight at the zoo and the lights are flashing Girls are dancing with their butt cheeks flapping I smell reefer, somebody better pass it To the left and I'm next to get plastered Now that's better, back to the action We going to play around and always keep it cracking So let's boogie, boogie on down I'm an animal, I'm about to get wild   I'm an animal (a-aa-a-a-a-a-a-aa) I'm an animal (a-aa-a-a-a-a-a-aa-animal) I'm an animal (a-aa-a-a-a-a-a-aa) I'm an animal (a-aa-a-a-a-a-a-aa-animal) I'm an animal, I, I I'm an animal, I, I I'm an animal, I, I I, I, animal   What's the sound, time for chow I'll eat your insides pound for pound Animal instincts, I'm on the prowl Looking for a girl with a freaky style Bare back pussy cat in the pocket Type in the password to unlock it After dark is when the is dogs barking Animal house and I came to party So I'm gonna rock right now I'm Kev Nish and i came to get down I'm not internationally known But I'm here to rock the microphone so let's go   The world is filled with pimps and hoes I'm an animal inside my skin and bones I'm an animal (a-aa-a-a-a-a-a-aa) I'm an animal (a-aa-a-a-a-a-a-aa-animal) I'm an animal (a-aa-a-a-a-a-a-aa) I'm an animal (a-aa-a-a-a-a-a-aa-animal) I'm an animal (a-aa-a-a-a-a-a-aa) I'm an animal (a-aa-a-a-a-a-a-aa-animal) I'm an animal (a-aa-a-a-a-a-a-aa) I'm an animal (a-aa-a-a-a-a-a-aa-animal)",0.8414,6,5,3,8,7,15,13,3,5,7
9,/songs/4047540,Far East Movement,Bamboo,https://genius.com/Far-east-movement-bamboo-lyrics,http://api.genius.com/songs/4047540,None,2018-10-26," I couldn’t see the forest through the trees Cause I was always staring at the problem I was always falling on my knees Didn’t see you there to pick me up Until you weren’t there one day My blue skies, now they all turned grey It’s hard to trust in a heart That’s too broke to follow, tell you that without you I’m…   Hollow, I feel hollow like bamboo 快樂之後的不快樂好像沒有人記得，也湊合(without you) Swallow, hard to swallow, it's the truth 活得清白，活得渾濁，沒了你我怎麼活 I’m just hollow like bamboo I’m just hollow like bamboo   交換過的不只是年輕 還有空虛落地的聲音 如果可以足夠的幸運 一定聽得懂誠實的焦慮 愛與索取的間距 雙手合十的縫隙 好不容易記起你來時的樣子 怎麼捨得叫醒你……   Hollow, I feel hollow like bamboo 快樂之後的不快樂好像沒有人記得，也湊合(without you) Swallow, hard to swallow, its the truth 活得清白，活得渾濁，沒了你我怎麼活 I’m just hollow like bamboo  Ooh ooh ooh, ooh ooh ooh Bamboo, oooh ooh ooh, ooh Hollow like bamboo, Ooh ooh ooh, ooh ooh ooh Hollow like bamboo, Ooh ooh ooh, ooh  When I’m feelin it feelin, I feel it flash back What’s written in my past, I’m out to match that That’s why I’m spending all my nights up with the trees, searching for melodies Feeling chills, finding electricity I’m never gone gone gone, Just in another zone Music on my mind, Love and grind, feelin good n grown If you don’t see me again, you’ll feel the shadow Throw the rope, reel you back in, My magic lasso…hollow  多相信你 富有的 貧窮的 都愛著 (without you I’m…) 富有過 貧窮過 都愛了 (​​without you I’m…) Without you   Hollow, I feel hollow like bamboo 快樂之後的不快樂好像沒有人記得，也湊合(without you) Swallow, hard to swallow, its the truth 活得清白，活得渾濁，沒了你我怎麼活 I’m just hollow like bamboo  Ooh ooh ooh, ooh ooh ooh Bamboo, oooh ooh ooh, ooh Hollow like bamboo, Ooh ooh ooh, ooh ooh ooh Hollow like bamboo, Ooh ooh ooh, ooh",0.9859,3,4,3,3,6,20,13,21,4,9
10,/songs/337681,Far East Movement,Bang It To The Curb,https://genius.com/Far-east-movement-bang-it-to-the-curb-lyrics,http://api.genius.com/songs/337681,Ktown Riot,2014-01-09," B-bang it B-bang it to the curb B-bang it   Hit the turn, flip the bird Bust a bitch, make'm swerve B-bang it to the curb   Bangin down the block with my Remy bottle Reppin 213, California lotto Servin all the fiends like King Taco My cheese, nachos, flossin til ya unfollow Windows down the 'Lac, just an ass crack Nothin but the Alpine system on smash Hit the stash in the dash, better puff puff pass Flyin faster than the 5-0, bang it to the curb!   Hit the turn, flip the bird Bust a bitch, make'm swerve B-bang it to the curb Oh word, we absurd Got that fire, we can burn B-bang it to the curb Bang it to the curb Bang it to the curb Bang it to the curb Hit the turn, flip the bird Bust a bitch, make'm swerve B-bang it to the curb   B-bang it Hit the turn, flip the bird Bust a bitch, make'm swerve B-bang it to the curb   F1 Indy hoes burning my rubbers 4 rooms at the motel undercover Player clique cruising LA in a 4Runner Pop the hatchback booty slappin like my subwoofer Slip slidin thru ya house word to Dogg Pound Fat beats for that kitty from the underground Hit up Sidney Samson if ya need a fat fix Lootin liquor stores time to flick the match sticks   Hit the turn, flip the bird Bust a bitch, make'm swerve B-bang it to the curb Oh word, we absurd Got that fire, we can burn B-bang it to the curb Bang it to the curb Bang it to the curb Bang it to the curb Hit the turn, flip the bird Bust a bitch, make'm swerve B-bang it to the curb   Nothin but that fat bass for that fat ass With my 808 on blast Nothin but that fat bass for that fat ass With my 808 on blast Nothin but that fat bass for that fat ass With my 808 on blast   Hit the turn, flip the bird Bust a bitch, make'm swerve B-bang it to the curb Bang it Bang it to the curb Bang it to the curb Bang it to the curb Bang it to the curb Bang it to the curb Hit the turn, flip the bird Bust a bitch, make'm swerve B-bang it to the curb   Bang it",-0.9957,53,2,45,51,1,67,5,45,41,4
11,/songs/79871,Far East Movement,Basshead,https://genius.com/Far-east-movement-basshead-lyrics,http://api.genius.com/songs/79871,Dirty Bass,2013-07-23," Give me that bass, make it bang Boom, boom   Cruising down town with me and my crew Girls on the sidewalk, how do you do ? I like your bass, that’s something to screw If you’re looking for a good time, follow the boom Dip to the liquor store then to the crib Knock on the door, damn look who it is It’s the L.A. freaks with all that base Ain't nothing like a hoochie with an 8o8   Pack that stump in, anything to trunk it And girl is a basshead, let me see you pump it Yeah, get wasted, to the, to the pavement Let me see you pump it, girl you’re a basshead Girl you’re a basshead, girl you’re a bass head Let me see you pump it girl, you’re a basshead Go girl you’re a bass head, yeah you’re a basshead Let me see you pump it girl, you’re a basshead   Pop, pop, fizz, fizz Take a sip, blacked out we the cool kids Take a hit blacked out on a cool hit Cross-faded all day on the new shit Tripping out when the bass look real fat She got a sub that can hit like a heart attack Oh, girl got bass, with a nice shape Nothing like a hoochie with an 8o8   For my L.A. creep, no sleep, no tweek, just an L.A. freak All bass, fly tweets, five highness' in the back seat And they thumping, hell yeah, thump thumping, hell yeah And they thumping, hell yeah, thump thumping, ya flow girl   So, so fly, face so cute,her cush-cush taste like mango fruit Heard you looking for a baller, shot caller She gave me her number but I’m not gonna call her I know what you gon' to, young 2Pac I got to choose Them boys like Dr.Seuss now get higher than a mother Show no love for the suckers, I ain’t never scared like no pressure Said she love me but I don’t trust her Get rich and have four baby mothers Yeah, get hit or get lost I’m trynna be the same person, pushing lip gloss Now go girl, it's hurting them hair curls  ",0.9443,20,6,9,12,8,29,17,13,6,10
