,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/140764,Fergie,A Little Party Never Killed Nobody (All We Got),https://genius.com/Fergie-a-little-party-never-killed-nobody-all-we-got-lyrics,http://api.genius.com/songs/140764,The Great Gatsby (Music from Baz Luhrmann's Film),2013-05-06," Just one night all we got Just one night all we got Just one night all we got Just one night all we got   I ain’t got time for you baby, either you’re mine or you’re not Make up your mind sweet baby, right here, right now’s all we got   A little party never killed nobody, so we gon’ dance until we drop, uhm A little party never killed nobody, right here, right now’s all we got   Islands, diamonds, trips around the world Don’t mean a thing if I ain’t your girl   A little party never killed nobody, so we gon’ dance until we drop A little party never killed nobody, right here, right now’s all we got Oooh, a little party never killed nobody, so we gon’ dance until we drop A little party never killed nobody, right here, right now’s all we got  [Post-Chorus: Q-Tip] All we got, all we got, all we got, all we got All we got, all we got, all we got, all we got , got, got Got Damn  [Verse 3: Q-Tip] Glad that you made it, look around You don’t see one person sitting down They got drinks in their hands and the room’s a bust At the end of the night maybe you’ll find love Fake chit chat ’bout the things they got And my stout reputation keeping it hot At the party of the year and my master plan Is to make you realize I’m your man   If the people get live underneath the moonlight Hotsy-totsy, paparazzi, hold it while I take this flick Speakeasy, rockin' the feathers, I’m breezy Hope you can keep up boys, cause believe me, I’m the bee's knees   It don’t mean a thing if I give you my heart If you tear it apart, no, uh, uh, ah, oh It don’t mean a thing if I ain’t in your eyes Probably ain’t gonna fly, no, uh, uh, ah, oh It don’t mean a thing if I give you my heart If you tear it apart, no, uh, uh, ah, oh It don’t mean a thing if I ain’t in your eyes Probably ain’t gonna fly, no, uh, uh, ah, oh  [Post-Bridge: Q-Tip] Just one night all we got Just one night all we got Just one night all we got Just one night all we got   What do you think GoonRock? Are you ready?   A little party never killed nobody, so we gon’ dance until we drop A little party never killed nobody, right here, right now’s all we got A little party never killed nobody, so we gon’ dance until we drop A little party never killed nobody, ah, ah",4,6,2,1,12,4,20,0,3,13,0.9944
1,1,/songs/3177791,Fergie,A Little Work,https://genius.com/Fergie-a-little-work-lyrics,http://api.genius.com/songs/3177791,Double Dutchess,2017-07-29," Got a lot of answers I'm looking for in these meds 'Bout time I talk to somebody, shrink my head A lot of promises, broken things that were said And I can't get out of this bed Got bruises on my heart, plenty scars on my mind Got blisters under the band-aid over my life Gonna rip it open and show the world what's there Lord knows I'm not perfect   When everything around me starts to fall I rise up again to the call   We're all just a little bit broken (Yeah) We're all just a little bit hurt (Yeah) We've all got wounds half open (Yeah) We all can use a little work A little work, a little   Gotta wait first of the month to pick up that check He bounced, and left, it was over, never came back Had a lot of questions 'bout daddy after he left Now it's just momma and them kids, and she said ""I'll hold her down, don't you worry, we'll find a way No matter how, I'll make sure the bills get paid"" She gave it all and thank God their mouths got fed She prayed the cycle would end   When everything around us starts to fall We rise up again to the call   We're all just a little bit broken (Yeah) We're all just a little bit hurt (Yeah) We've all got wounds half open (Yeah) We all can use a little work A little work, a little   Sometimes when you feel like you need it They send in the medic, woah But if it's your soul that is bleeding That slow drip won't help it, no It's time to get up to the front of the line The guards of the battle and straight for the mind Well, well, well, well There's nothing that's holding you down Stuck on the ground, far from the crown 'Cause you are a warrior more than you know   We're all just a little bit broken (Yeah) We're all just a little bit hurt (Yeah) We've all got wounds half open (Yeah) We all can use a little work A little work, a little (A little, a little ) A little",15,9,4,17,3,23,11,16,1,8,-0.8154
2,2,/songs/3245163,Fergie,A Little Work [Visual Experience Transcript],https://genius.com/Fergie-a-little-work-visual-experience-transcript-lyrics,http://api.genius.com/songs/3245163,Double Dutchess,2017-09-22," I got to a point where I was seeing devils everywhere. Devil faces. Creatures that would appear to me in which they'd fly, fly, fly, and not even maybe saying it, but just looking at me and flying around. I would constantly be in this state of listening to the messages that all these characters and these demons or creatures, what, what they were going to tell me and what their messages were, and what I should do, and life became almost like this, this whole game. I was just gonna lose it, I was about to start screaming at everybody on the street. I ended up on Wilshire and I saw this church and I was, you know, there's nobody in there. I started going through the different aisles and started to pray. I saw the altar, and panicked. I, I, I thought, ""This is it. They're all out there. That's it. This is it. This is the moment.""  Got a lot of answers I'm looking for in these meds 'Bout time I talk to somebody, shrink my head A lot of promises, broken things that were said And I can't get out of this bed Got bruises on my heart, plenty scars on my mind Got blisters under the band-aid over my life Gonna rip it open and show the world what's there Lord knows I'm not perfect   When everything around me starts to fall I rise up again to the call   We're all just a little bit broken (Yeah) We're all just a little bit hurt (Yeah) We've all got wounds half open (Yeah) We all can use a little work A little work, a little work  I, I have journals of it all, and I, I remember writing to myself throughout, you know, the periods of my life. That's how I can divulge my true feelings because it's been difficult to trust for me in my life. So the paper was always where I could emotionally get to those, those, those crevices, those little corners of feelings. I'm so glad I did it because at least I was checking in with myself. At least I knew that I was becoming a fuck-up.  Gotta wait, first of the month to pick up that check He bounced, left, it was over, never came back Had a lot of questions 'bout daddy after he left Now it's just momma and them kids, and she said ""I'll hold her down, don't you worry, we'll find a way No matter how, I'll make sure the bills get paid"" She gave it all and thank God their mouths got fed She prayed the cycle would end   When everything around me starts to fall I rise up again to the call   We're all just a little bit broken (Yeah) We're all just a little bit hurt (Yeah) We've all got wounds half open (Yeah) We all can use a little work A little work, a little work  I had to really work hard at telling the spirit, the vision, to go away. I had to say it out loud: ""Leave me alone, I choose the good."" It was just this epiphany I had in the, in the war, that I believe in the holy war, the war between good against evil and that good will always be more powerful.  We're all just a little bit broken (Yeah) We're all just a little bit hurt (Yeah) We've all got wounds half open (Yeah) We all can use a little work A little work, a little  My grandfather, I always thought he was my guardian angel. My, my Grandpa Gore on my, uh, mom's side. And so I thought that he was leading me, telling me where to go, in the good direction. You gotta honor that part of yourself and let yourself fly, let yourself soar. And that's really taking those steps and getting there are those steps, and that battle, that fight in your mind, it's all here, and it's all internal, and it's making those little, those choices that are the hardest choices to make because they're not comfortable. They don't feel good all the time, making those choices, because they're the right ones to make.  I rise up again to the call   We're all just a little bit broken (Yeah) We're all just a little bit hurt (Yeah) We've all got wounds half open (Yeah) We all can use a little work A little work, a little work  I was living in an alternate, parallel universe to what was really going on in the world. I kept feeling like this weird kinetic energy through my body. Feel it around me, it was all encompassing. It was like this crazy laser camera that was following me. They're watching, everybody's watching. They're all gonna get me, the SWAT team, everything. This was real fear, serious fear.  Sometimes when you feel like you need it They send in the medic, woah But if it's your soul that is bleeding That slow drip won't help it, no It's time to get up to the front of the line The guards of the battle and straight for the mind Well, well, well, well There's nothing that's holding you down Stuck on the ground, far from the crown 'Cause you are a warrior more than you know   We're all just a little bit broken (Yeah) We're all just a little bit hurt (Yeah) We've all got wounds half open (Yeah) We all can use a little work A little work, a little work  That walk out of there, all of that, that demon that was there, it all of a sudden felt like it just lifted, and it was almost like walking into the light. And I've realized that I finally needed to honor myself and that, uh, is really a, a, still a, a challenging place, that I, that I often have to work on to this day. But when I honor my true self, and I honor that part of me that is that magic, that's when I am at that place that I can call happy. I can feed that love outward, not only to friends and to my parents and to my sister, and now to my husband and to my little boy.",38,32,21,47,22,53,46,34,15,38,-0.9341
3,3,/songs/662574,Fergie,All That I Got (The Make Up Song),https://genius.com/Fergie-all-that-i-got-the-make-up-song-lyrics,http://api.genius.com/songs/662574,The Dutchess,2006-09-13,"[​Verse 1: Fergie] Baby, baby when you're lookin' deep in my eyes I know you're seeing past my makeup Into the little girl that used to hide out and cry When her parents fought, trying to be strong   You can see the hurt in me The cover ups so secretly And all that I aspire to be You see, you see You know who I really am No entourage, or caravan Do you even give a damn? About all that, now tell me   Would you love me If I didn't work out or I didn't change my natural hair? And I could be the one you want to grow older with, baby I'll give you all that I got  [​Verse 2: Fergie] So, I don't mean to scare you now or push you away 'Cause I'm not tryna rush anything But when I look into your eyes I'm not scared to say I see little you I'm in the picture too   Like a happy family tree We're together constantly This could be eventually We'll see, we'll see But all that I have got to know Is with me, baby, will you grow? Through sun and rain and heavy snow Oh, tell me so, now baby   Would you love me If I didn't work out or I didn't change my natural hair? And I could be the one you want to grow older with, baby I'll give you all that I got  [Bridge: will.i.am] It's as simple as one and two, I'm in love with you And three and four, you're all I adore To the seven and eight See, I've been making mistakes 'Cause when you're on my mind, I just can't think straight Back to the five and six, I'm all in your mix And I'm all into you, without the lipstick Without the L'Oreal You remain the same angel that I fell for For real, for real   Would you love me If I didn't work out or I didn't change my natural hair? (No, no, no, no) And I could be the one you want to grow older with, baby (baby) I'll give you all that I got (ooh, no)   (Could you love me?) No, no, no, no, no, no, no, no, no, whoa No, no, no, no, no, no, no, no, no (Could you love me?) I'll give you all that I got (Whoo-hoo-hoo-hoo) Hey, yeah Don't let our love end",4,11,2,6,25,6,29,7,4,15,-0.2606
4,4,/songs/352864,Fergie,Bailamos,https://genius.com/Fergie-bailamos-lyrics,http://api.genius.com/songs/352864,Poseidon (Music from the Motion Picture),2006-05-09," Whoo! Whoo! Whoo! Come on y'all! Whoo! Keep movin' and movin' and movin' it! Keep movin' and movin' and movin' it! Keep movin' and movin' and movin' it! Keep movin' and movin' and movin' it! Like this, like that! Like this, whoah...   Can you feel the life? It's a full moon tonight So bring your appetite To feast on the mood Drink up the groove Feel the bass in your bones As the horns make you moan Let the drums take the throan And get in the mood Slide in the groove   'Cause I really wanna see ya dancin' I really wanna see ya movin' There's a party on the boat we cruise in Woah...   If you're feelin' like I'm feelin' Then move your body Don't stop, don't stop Move your body Give it all you got now everybody Bailamos! Bailamos! If you're feelin' like I'm feelin' Then move your body Don't stop, don't stop Move your body Give it all you got now everybody Bailamos! Bailamos!   Now they're looking your way As your starting to sway To the band as they play So feast on the mood Drink up the groove Move your hips, shake your thang! Tell the guitar to sing Hear the fever bells ring Now piano moves   'Cause I really wanna see ya dancin' I really wanna see ya movin' There's a party on the boat we cruise in Woah woah   If you're feelin' like I'm feelin' Then move your body Don't stop, don't stop Move your body Give it all you got now everybody Bailamos! Bailamos! F you're feelin' like I'm feelin' Then move your body Don't stop, don't stop Move your body Give it all you got now everybody Bailamos! Bailamos!   Feelin' like I'm feeling Feelin' like I'm feeling If you're feelin' like I'm feelin' Bail la la la la la la la la mo oh oh woah os! Whoo!",2,3,2,4,3,2,12,4,2,11,0.9922
5,5,/songs/1676094,Fergie,Barracuda,https://genius.com/Fergie-barracuda-lyrics,http://api.genius.com/songs/1676094,The Dutchess Deluxe,2008-05-30," So this ain't the end, I saw you again today I had to turn my heart away Smile like the sun, kisses for everyone And tales, it never fails!   You lying so low into the weeds I bet you gonna ambush me You'd have me down, down, down, down on my knees Now won't you, Barracuda?   Back over time, we were all trying for free You met the porpoise and me No right, no wrong, you're selling a song, a name Whisper game   And if the real thing don't do the trick You better make up something quick You gonna burn, burn, burn, burn, burn to the wick Ooh, Barracuda   ""Sell me sell you"" the porpoise said Dive down deep to save my head I think that you got the blues, too  All that night and all the next Swam without looking back Made for the western pools, silly, silly fools!   If the real thing don't do the trick, no You better make up something quick You gonna burn, burn, burn, burn, burn it to the wick  Ohh, Bara-Barracuda  ",2,3,2,1,6,8,10,1,6,7,0.9031
6,6,/songs/268843,Fergie,Big Girls Don't Cry (Personal),https://genius.com/Fergie-big-girls-dont-cry-personal-lyrics,http://api.genius.com/songs/268843,The Dutchess,2007-05-22," La, da, da, da   The smell of your skin lingers on me now You're probably on your flight back to your hometown I need some shelter of my own protection, baby Be with myself and center Clarity, peace, serenity   I hope you know, I hope you know That this has nothing to do with you It's personal, myself and I We got some straightening out to do And I'm gonna miss you like a child misses their blanket But I've got to get a move on with my life It's time to be a big girl now And big girls don't cry Don't cry, don't cry, don't cry   The path that I'm walking, I must go alone I must take the baby steps 'til I'm full grown, full grown Fairytales don't always have a happy ending, do they? And I foresee the dark ahead if I stay   I hope you know, I hope you know That this has nothing to do with you It's personal, myself and I We got some straightening out to do And I'm gonna miss you like a child misses their blanket But I've got to get a move on with my life It's time to be a big girl now And big girls don't cry   Like the little schoolmate in the school yard We'll play jacks and UNO cards I'll be your best friend and you'll be my Valentine Yes, you can hold my hand if you want to 'Cause I wanna hold yours too We'll be playmates and lovers And share our secret worlds But it's time for me to go home It's getting late and dark outside I need to be with myself and center Clarity, peace, serenity, yeah   I hope you know, I hope you know That this has nothing to do with you It's personal, myself and I We got some straightening out to do And I'm gonna miss you like a child misses their blanket But I've got to get a move on with my life It's time to be a big girl now And big girls don't cry Don't cry, don't cry, don't cry   La, da, da, da, da, da",1,21,1,0,19,11,36,12,7,36,0.9979
7,7,/songs/3730868,Fergie,Clones,https://genius.com/Fergie-clones-lyrics,http://api.genius.com/songs/3730868,None,2019-02-09,"Let all fall back They all want a mini-me, whatcha call that? Clones Had The Dutchess in your speaker box People that you speak to speak a lot I see what you...",0,0,0,0,0,1,0,1,0,0,0.0772
8,8,/songs/3252795,Fergie,Close to You,https://genius.com/Fergie-close-to-you-lyrics,http://api.genius.com/songs/3252795,The Dutchess,2008-02-25," I just wanna be close to you   The way you look in the morning I can see your face and your daze The way (The way, the way) Your silence always has so much to say, to say With you, my king is where I belong Our castle is beautiful and strong   I just wanna be close to you I just wanna be close to you   How you own this body Smoke your cigarette Sing to me in bed The way (The way, the way) You hold me like you're protecting your throne I'll be your queen We can fit so well If near me darling is where you dwell   I just wanna be close to you I just wanna be close to you, to you   You say I'm talking and laughing, mI'm not Breakfast in bed, have a play pillow fight We'll hang like homies 'cause your my best friend I know I'm safe just as long as I feel your skin Not that I need, I'm secure with myself Space, trust and respect, I understand well   Baby, I just see such beauty in you That I need is being close too If near me darling is where you dwell   I just wanna be close to you, you, you, oh I just wanna be close to you, oh, oh (la, dada...) I just wanna be close to you I just wanna be close to you",1,3,0,1,10,2,15,1,0,9,0.9946
9,9,/songs/369759,Fergie,Clumsy,https://genius.com/Fergie-clumsy-lyrics,http://api.genius.com/songs/369759,The Dutchess,2006-09-13," She can't help it, the girl can't help it (Oh, baby!) She can't help it, the girl can't help it (Oh, baby!) She can't help it, the girl can't help it (Oh, baby!) She can't help it   First time that I saw your eyes Boy, you looked right through me, mmm, mmm Played it cool, but I knew you knew That cupid hit me, mmm, mmm   You got me trippin' (oh), stumblin' (oh), flippin' (oh), fumblin' Clumsy 'cause I'm fallin' in love (in - in, love - love) You got me slippin' (oh), tumblin' (oh), sinkin' (oh), crumblin' Clumsy 'cause I'm fallin' in love (in - in, love - love) So in love with you   She can't help it, the girl can't help it (Oh, baby!) She can't help it, the girl can't help it (Oh, no!) She can't help it, the girl can't help it (No how!) She can't help it   Can't breathe, when you touch my sleeve Butterflies so crazy, mmm, mmm Whoa now, think I'm goin' down Friends don't know what's with me, mmm, mmm   You got me trippin' (oh), stumblin' (oh), flippin' (oh), fumblin' Clumsy 'cause I'm fallin' in love (in - in, love - love) You got me slippin' (oh), tumblin' (oh), sinkin' (oh), crumblin' Clumsy 'cause I'm fallin' in love (in - in, love - love) So in love with you   She can't help it, the girl can't help it (Oh, no!) She can't help it, the girl can't help it (Oh, please!) She can't help it, the girl can't help it (Oh, no!) She can't help it   You know, this ain't the first time this has happened to me This ""love sick"" thing I like serious relationships and, uh A girl like me don't stay single for long 'Cause every time a boyfriend and I break up My world is crushed and I'm all alone The love bug crawls right back up and bites me And I'm back!   She can't help it, the girl can't help it (In love!) She can't help it, the girl can't help it (Oh, God!) She can't help it, the girl can't help it (I'm back in love!) Can't help it (Ooh, whoo, ooh!) She can't help it, the girl can't help it (I'm back in love now!) She can't help it, the girl can't help it (I'm back in love now, baby!) She can't help it, the girl can't help it (I'm back in love now!) She can't help it (And now you got me)   You got me trippin' (oh), stumblin' (oh), flippin' (oh), fumblin' Clumsy 'cause I'm fallin' in love (in - in, love - love) You got me slippin' (oh), tumblin' (oh), sinkin' (oh), crumblin' Clumsy 'cause I'm fallin' in love (in - in, love - love) So in love with you Clumsy 'cause I'm fallin' in love (in - in, love - love) You got me slippin' (oh), tumblin' (oh), sinkin' (oh), crumblin' Clumsy 'cause I'm fallin' in love (in - in, love - love) So in love with you So in love with you So in love with you",3,5,13,4,44,16,47,3,1,4,0.9985
