,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/399642,Fleetwood Mac,Although The Sun Is Shining,https://genius.com/Fleetwood-mac-although-the-sun-is-shining-lyrics,http://api.genius.com/songs/399642,Then Play On,1969-09-19," Although the sun is shining High above There's one thing on my mind You my love   I see a weeping willow In the park Like this there's sadness growing In my heart   When we're together We will never part And if you leave me It'll break, it'll break my heart  ",0.34,0,2,0,0,3,2,3,3,4,2
1,/songs/3249854,Fleetwood Mac,Angel,https://genius.com/Fleetwood-mac-angel-lyrics,http://api.genius.com/songs/3249854,Tusk,1979-10-12," Sometimes, the most beautiful things The most innocent things And many of those dreams, pass us by Keep passing me by   You feel good I said it's funny that you understood I knew you would When you were good, you were very, very good   So I close my eyes softly 'Til I become that part of the wind That we all long for sometime, yeah And to those that I love, like a ghost through a fog Like a charmed hour and a haunted song And the angel of my dreams Angel of my dreams   (You said) You feel good I said it's funny that you understood I knew you would When you were good, baby You were very good   I still look up, when you walk in the room I've the same wide eyes, now they tell the story I try not to reach out, when you turn 'round you say hello And we both pretend I'm no great pretender   So I close my eyes softly 'Till I become that part of the wind That we all long for sometime And to those that I love, like a ghost through a fog Like a charmed hour and a haunted song And the angel, angel of my dreams Angel of my dreams   I still look up I try hard not to look up, yeah That girl was me, yeah Track a ghost through the fog, yeah A charmed hour and a haunted song   Track a ghost through the fog, baby Track a ghost through the fog, baby Ooh, you try hard That girl was me But you'll never catch me, yeah",0.9843,0,16,0,8,20,7,21,3,12,12
2,/songs/400222,Fleetwood Mac,As Long As You Follow,https://genius.com/Fleetwood-mac-as-long-as-you-follow-lyrics,http://api.genius.com/songs/400222,Greatest Hits,1988-11-28," I've been searching For a pot of gold Like the kind you find At the end of the rainbow I've been dreaming I thought it was in vain Ah but now you're here Can't believe that you're back again   Now I know I can't lose As long as you follow I'm going to win (I'm going to win) I'm going to beg, steal, or borrow As long as you follow   I've been wandering Gone away too far But the road was rough To get back where you are And the sun went down It never seemed to rise Ah but now you're here With the light shining in your eyes     (As long as you follow) As long as you follow (As long as you follow) As long as you follow",0.7038,2,9,1,2,3,3,4,3,2,2
3,/songs/399656,Fleetwood Mac,Before The Beginning,https://genius.com/Fleetwood-mac-before-the-beginning-lyrics,http://api.genius.com/songs/399656,Then Play On,1969-09-19, So many nights I lay awake Can't sleep I lay here thinking about a woman I used to love Can't sleep but no good to count sheep I'll just count the worries That I've got plenty of   And how many times Must I be the fool Before I can make it Oh make it on home I've got to find a place to sing my words Is there nobody listening to my song?   You talk about a life Been searching for the key But can't find an answer To comfort me I ask myself about love Can't even find the door To take me to a place I've never seen before   But how many times Must I be the fool Before I can make it Oh make it on home I've got to find a place to sing my words Is there nobody listening to my song?,0.7777,0,7,2,1,6,3,11,3,1,8
4,/songs/128184,Fleetwood Mac,Big Love,https://genius.com/Fleetwood-mac-big-love-lyrics,http://api.genius.com/songs/128184,Tango in the Night (Deluxe),1987-03-23," Looking out for love In the night so still Oh I'll build you a kingdom In that house on the hill   Looking out for love Big, big love   You said that you love me And that you always will Oh, you beg me to keep you In that house on the hill   Looking out for love Big, big love  Ooh, ah Ooh, ah  Ooh, ah Ooh, ah   I wake up Alone with it all I wake up But only to fall   Looking out for love Big, big love Just looking out for love Big, big love   Ooh, ah Ooh, ah  Ooh, ah Ooh, ah  Ooh, ah Ooh, ah  Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah",0.9908,0,0,0,0,10,2,11,2,0,0
5,/songs/1074331,Fleetwood Mac,Big Love (House on the Hill Dub),https://genius.com/Fleetwood-mac-big-love-house-on-the-hill-dub-lyrics,http://api.genius.com/songs/1074331,Tango in the Night (Deluxe),1987-08-29," Looking out for love   I Wake up I Wake up I wake up I Wake up   In that house on the hill   Well, I'm looking out for love   House, house, hou-hou-hou In that house on the hill H-h-h-h-h-hou-hou-hou-hou-hou In that...  Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah Ooh, ah",0.8885,0,0,0,0,2,0,2,0,0,0
6,/songs/400227,Fleetwood Mac,Black Magic Woman,https://genius.com/Fleetwood-mac-black-magic-woman-lyrics,http://api.genius.com/songs/400227,English Rose,1968-03-29," Got a black magic woman I got a black magic woman Yes, I got a black magic woman She's got me so blind I can't see But she's a black magic woman And she's trying to make a Devil out of me   Don't turn your back on me baby Don't turn your back on me baby Don't turn your back on me baby Yes, don't turn your back on me baby You're messing around with your tricks Don't turn your back on me baby Because you might just break up my magic stick   You got your spell on me baby You got your spell on me baby Yes, you got your spell on me baby You're turning my heart into stone I need you so bad, magic woman I can't leave you alone   Yes, I need you so bad Well, I need you darling Yeah, I need you darling Yes, I want you to love me I want you to love me Whoa, I want you to love me, ah Whoh, yeah Oh, whoa, baby Yes, I need your love Oh, I need your love so bad Yes, I want you to love me",0.9952,5,1,4,4,17,12,22,9,3,7
7,/songs/399646,Fleetwood Mac,Blood on the Floor,https://genius.com/Fleetwood-mac-blood-on-the-floor-lyrics,http://api.genius.com/songs/399646,Kiln House,1970-09-18," Well goodbye world It's sad but true Got a date with the hangman I have to leave you I shot my darling Three times of more   The reason I'm going Is blood on the floor   The nights are so lonely The days are so long I'm in the jailhouse Because they say I've done wrong I don't say I'm sorry I just say I'm sore   Well I came home one night She were lying With her legs around Another mans bod She saw me, stared laughing But she cried, when she saw my gun Goodbye world I guess we must part They're taking my life Because I shot my sweetheart I don't say I'm sorry I just say I'm sore  ",-0.534,7,3,2,5,4,10,7,7,4,5
8,/songs/399761,Fleetwood Mac,Blue Letter,https://genius.com/Fleetwood-mac-blue-letter-lyrics,http://api.genius.com/songs/399761,Fleetwood Mac,1975-07-11," It was a blue letter she wrote to me It's silver words she told Wanna be on the road to paradise I want a lover who don't get old   Do I read a message in your eyes You want a love to stay another night Baby, when your day goes down I won't be waiting around for you   For every voice you've ever heard There's a thousand without a word Redbird, don't say you told me so Give me one more song to go   Do I read a message in your eyes You want a love to stay another night Baby, when your day goes down I won't be waiting around for you   For every voice you've ever heard There's a thousand without a word Redbird, don't say you told me so Give me one more song to go   Do I read a message in your eyes You want a love to stay another night Baby, when your day goes down I won't be waiting around for you   I ain't waiting ",0.9744,0,2,0,0,7,0,13,1,0,7
9,/songs/400029,Fleetwood Mac,Book Of Love,https://genius.com/Fleetwood-mac-book-of-love-lyrics,http://api.genius.com/songs/400029,Mirage,1982-06-18," Walked out, goodbye I swore I never would cry Tore a page of my heart She wants me to be her friend I'm lonely again Tore a page of my heart   Oh, tell me who wrote the book of love Was it somebody from above (ha, ha, ha) Surely he must know all the rules (ha, ha, ha) Knowledge not meant for mortal fools Must have been someone from above Tell me, who wrote the book of love   In silence the lonely make all their mistakes Tore a page of my heart Someone in heaven above Shop me how to love Tore a page of my heart  ",0.962,2,0,3,3,4,6,5,4,0,2
